"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"32","13","    Durable goods","B690RC1","1,092.0","1,228.0","1,252.0","1,188.0","1,188.0","1,144.0","1,160.0","1,264.0","1,204.0","1,184.0","1,372.0","1,320.0","1,652.0","1,580.0","1,704.0","1,872.0","2,128.0","2,360.0","2,576.0","2,664.0","3,156.0","3,440.0","3,320.0","3,168.0","2,964.0","2,952.0","3,244.0","3,388.0","3,836.0","3,876.0","3,956.0","4,140.0","4,164.0","4,108.0","4,300.0","4,116.0","5,240.0","6,108.0","5,800.0","6,502.0","6,633.0","7,010.0","7,019.0","8,403.0","12,078.0","9,080.0","8,630.0","9,264.0","9,038.0","9,314.0","8,958.0","8,542.0","7,728.0","8,118.0","8,292.0","6,895.0","6,773.0","6,926.0","6,595.0","6,879.0","6,865.0","6,792.0","6,549.0","6,750.0","6,374.0","6,573.0","6,118.0","6,527.0","6,630.0","7,372.0","7,604.0","8,770.0","8,302.0","9,554.0","9,434.0","10,603.0","11,521.0","13,331.0","13,450.0","15,062.0","17,935.0","20,015.0","19,125.0","20,963.0","22,420.0","23,947.0","24,603.0","23,318.0","24,113.0","23,930.0","24,380.0","24,960.0","25,930.0","26,002.0","26,661.0","26,846.0","27,208.0","28,050.0","28,929.0","28,501.0","28,526.0","30,084.0","30,866.0","31,811.0","32,171.0","32,428.0","32,642.0","32,787.0","33,436.0","34,422.0","35,336.0","36,826.0","37,575.0","40,092.0","40,341.0","40,125.0","39,944.0","40,825.0","41,360.0","40,947.0","39,246.0","40,911.0","42,107.0","44,791.0","46,652.0","46,025.0","47,716.0","46,284.0","49,192.0","48,449.0","44,704.0","43,095.0","43,504.0","44,021.0","44,759.0","43,360.0","43,368.0","44,717.0","46,744.0","49,373.0","49,952.0","53,189.0","55,128.0","57,291.0","59,500.0","60,853.0","63,335.0","64,517.0","67,231.0","70,336.0","71,395.0","75,276.0","78,345.0","81,275.0","83,354.0","87,493.0","91,464.0","94,923.0","94,252.0","81,664.0","72,569.0","70,958.0","76,728.0","80,855.0","81,631.0","85,855.0","88,796.0","93,222.0","94,126.0","97,153.0","97,542.0","98,696.0","99,066.0","99,007.0","97,903.0","98,713.0","99,227.0","108,683.0","101,087.0","107,039.0","108,954.0","112,371.0"
"33","14","    Nondurable goods","B691RC1","1,240.0","1,464.0","1,452.0","1,500.0","1,620.0","1,600.0","1,600.0","1,616.0","1,604.0","1,612.0","1,932.0","1,424.0","1,836.0","1,744.0","1,916.0","2,028.0","2,128.0","2,316.0","2,376.0","2,652.0","2,928.0","3,168.0","3,208.0","3,208.0","3,284.0","3,252.0","3,388.0","3,768.0","3,824.0","4,104.0","4,052.0","4,300.0","4,420.0","4,684.0","5,220.0","4,712.0","4,797.0","5,443.0","5,626.0","6,004.0","6,260.0","6,544.0","6,793.0","7,256.0","7,767.0","7,694.0","8,087.0","8,404.0","8,922.0","8,877.0","8,597.0","8,537.0","8,408.0","8,568.0","8,246.0","8,259.0","8,034.0","7,864.0","8,202.0","8,426.0","8,059.0","8,304.0","8,460.0","8,559.0","8,387.0","8,022.0","8,028.0","8,348.0","8,700.0","9,016.0","9,292.0","9,535.0","9,816.0","10,625.0","11,311.0","11,583.0","12,368.0","13,294.0","14,023.0","14,878.0","15,135.0","16,592.0","16,761.0","16,964.0","18,344.0","20,312.0","19,884.0","21,183.0","22,822.0","22,011.0","21,766.0","22,324.0","23,430.0","24,603.0","25,535.0","25,931.0","25,804.0","25,810.0","26,519.0","27,018.0","27,270.0","28,499.0","30,624.0","31,164.0","30,339.0","31,148.0","32,572.0","32,522.0","33,920.0","34,086.0","34,006.0","35,261.0","37,017.0","37,367.0","37,297.0","38,310.0","38,039.0","38,916.0","38,932.0","38,511.0","39,454.0","38,476.0","38,895.0","39,592.0","40,931.0","42,660.0","43,748.0","43,204.0","43,447.0","43,013.0","40,385.0","40,849.0","39,074.0","40,265.0","40,731.0","41,579.0","43,442.0","43,066.0","44,299.0","44,502.0","47,683.0","49,393.0","49,089.0","51,055.0","52,025.0","53,266.0","52,633.0","54,784.0","56,642.0","56,662.0","58,136.0","60,457.0","62,860.0","62,719.0","64,428.0","62,979.0","66,024.0","69,703.0","73,404.0","73,195.0","72,466.0","73,224.0","72,966.0","77,380.0","80,757.0","73,741.0","74,996.0","80,638.0","75,212.0","78,216.0","78,556.0","79,372.0","78,120.0","82,542.0","83,916.0","84,606.0","82,973.0","85,630.0","86,346.0","82,452.0","84,302.0","84,854.0"
"34","15","  Other \2\","A643RC1","3,299.0","3,326.0","3,228.0","3,780.0","3,992.0","3,932.0","4,230.0","4,025.0","4,453.0","4,529.0","4,349.0","4,369.0","4,896.0","5,064.0","5,152.0","5,532.0","5,768.0","6,820.0","6,768.0","8,968.0","8,112.0","9,388.0","8,424.0","9,720.0","10,484.0","9,284.0","9,060.0","10,904.0","10,572.0","9,000.0","11,148.0","11,888.0","12,844.0","13,248.0","13,900.0","12,948.0","11,804.0","12,156.0","10,668.0","12,460.0","12,669.0","10,931.0","10,785.0","11,283.0","15,392.0","12,626.0","15,419.0","15,450.0","16,907.0","20,370.0","20,458.0","18,588.0","18,233.0","18,218.0","18,608.0","19,729.0","21,283.0","18,453.0","19,691.0","19,696.0","22,110.0","22,294.0","23,352.0","22,848.0","26,185.0","25,264.0","23,580.0","23,660.0","21,872.0","23,618.0","23,844.0","27,679.0","32,272.0","33,557.0","31,778.0","31,601.0","33,400.0","35,402.0","35,542.0","34,034.0","34,348.0","34,747.0","34,612.0","36,779.0","31,550.0","31,865.0","34,534.0","36,156.0","35,767.0","34,558.0","33,039.0","37,077.0","36,604.0","35,363.0","35,525.0","34,044.0","33,395.0","37,021.0","36,224.0","35,531.0","33,749.0","38,469.0","39,159.0","39,292.0","41,174.0","38,496.0","41,287.0","41,746.0","40,542.0","42,341.0","44,348.0","48,242.0","45,638.0","50,111.0","50,058.0","48,715.0","50,692.0","48,497.0","49,849.0","54,079.0","53,006.0","54,715.0","50,315.0","52,565.0","50,463.0","50,045.0","52,083.0","53,865.0","49,582.0","52,204.0","49,006.0","47,268.0","50,147.0","51,817.0","55,436.0","52,852.0","49,074.0","48,365.0","49,791.0","48,519.0","50,350.0","53,776.0","51,070.0","51,160.0","55,847.0","56,886.0","61,319.0","60,963.0","64,182.0","60,356.0","65,492.0","66,619.0","66,467.0","64,048.0","63,835.0","68,553.0","66,442.0","68,689.0","58,442.0","59,512.0","55,645.0","53,481.0","50,828.0","60,725.0","56,988.0","60,405.0","61,125.0","55,705.0","56,612.0","52,516.0","53,650.0","50,824.0","54,061.0","54,077.0","56,354.0","64,224.0","59,845.0","53,823.0","58,701.0","64,087.0","59,175.0","64,256.0"
"35","16","Exports of services \1\","A646RC1","11,911.0","13,469.0","13,380.0","13,951.0","13,497.0","15,013.0","15,000.0","15,177.0","16,557.0","16,734.0","16,372.0","17,405.0","18,199.0","17,456.0","18,933.0","18,441.0","18,735.0","19,363.0","20,340.0","19,556.0","21,593.0","23,132.0","22,974.0","24,925.0","26,433.0","28,363.0","24,306.0","25,763.0","26,572.0","27,537.0","29,075.0","28,940.0","29,030.0","30,566.0","31,689.0","32,469.0","34,756.0","35,609.0","37,675.0","39,865.0","40,802.0","41,999.0","43,024.0","45,628.0","46,529.0","49,689.0","52,156.0","53,002.0","58,223.0","59,705.0","60,637.0","61,565.0","60,896.0","60,852.0","61,116.0","59,774.0","61,009.0","63,414.0","63,863.0","63,504.0","68,630.0","72,243.0","71,344.0","72,162.0","73,906.0","75,381.0","75,102.0","78,498.0","88,917.0","87,251.0","90,657.0","91,388.0","93,466.0","96,555.0","99,775.0","103,759.0","107,487.0","110,973.0","114,899.0","116,827.0","124,705.0","127,639.0","130,313.0","135,500.0","142,007.0","145,293.0","148,812.0","158,324.0","152,521.0","163,636.0","168,966.0","174,058.0","175,601.0","177,374.0","178,811.0","179,190.0","183,237.0","186,182.0","188,342.0","190,540.0","197,107.0","201,735.0","203,082.0","208,344.0","210,007.0","215,668.0","225,648.0","230,156.0","230,794.0","237,859.0","233,109.0","253,460.0","249,511.0","253,476.0","256,522.0","256,158.0","254,855.0","263,589.0","258,688.0","264,526.0","273,512.0","275,453.0","285,290.0","286,777.0","291,793.0","301,403.0","302,418.0","302,703.0","297,379.0","290,637.0","280,672.0","262,817.0","282,817.0","289,191.0","291,773.0","293,608.0","288,680.0","287,718.0","302,897.0","316,144.0","338,048.0","343,195.0","345,394.0","361,857.0","377,842.0","375,151.0","381,878.0","394,398.0","407,161.0","422,793.0","423,185.0","453,849.0","468,941.0","482,845.0","504,662.0","536,367.0","534,170.0","555,276.0","547,771.0","535,338.0","507,409.0","511,833.0","522,240.0","549,012.0","544,547.0","557,592.0","581,858.0","606,972.0","617,338.0","640,649.0","655,095.0","644,955.0","652,267.0","661,801.0","664,686.0","689,260.0","691,023.0","693,177.0","702,748.0","710,652.0","709,454.0","717,687.0"
"36","17","  Transport","Y800RC1","2,544.0","3,288.0","3,296.0","3,280.0","3,484.0","3,666.0","3,782.0","3,742.0","3,904.0","4,016.0","4,065.0","3,674.0","4,030.0","4,120.0","4,296.0","4,668.0","5,145.0","5,261.0","5,621.0","5,734.0","6,336.0","6,769.0","6,799.0","7,300.0","6,861.0","6,659.0","6,876.0","7,121.0","7,814.0","7,620.0","8,024.0","8,445.0","7,988.0","8,808.0","8,728.0","8,298.0","8,980.0","9,416.0","9,980.0","10,580.0","11,180.0","11,584.0","12,516.0","13,228.0","13,532.0","13,940.0","14,468.0","14,896.0","15,656.0","15,648.0","15,764.0","15,616.0","15,736.0","15,640.0","15,332.0","15,272.0","15,732.0","16,052.0","16,264.0","16,764.0","17,296.0","17,988.0","18,000.0","18,228.0","18,348.0","18,548.0","19,084.0","20,372.0","20,576.0","20,104.0","21,676.0","21,728.0","22,052.0","23,584.0","24,728.0","25,752.0","27,268.0","28,380.0","28,808.0","28,692.0","30,672.0","30,840.0","30,892.0","32,336.0","35,664.0","36,284.0","37,392.0","40,020.0","35,332.0","38,172.0","39,792.0","40,660.0","38,112.0","38,092.0","37,976.0","38,412.0","38,400.0","38,524.0","38,392.0","38,624.0","38,684.0","40,616.0","41,352.0","42,360.0","43,332.0","44,244.0","45,592.0","46,792.0","45,112.0","46,260.0","45,352.0","49,256.0","47,536.0","47,756.0","47,696.0","48,500.0","45,380.0","45,888.0","45,624.0","45,920.0","42,166.0","42,554.0","43,565.0","44,585.0","44,674.0","46,420.0","45,730.0","46,212.0","45,610.0","43,755.0","41,012.0","36,483.0","40,737.0","41,481.0","42,089.0","43,337.0","40,509.0","39,826.0","41,496.0","43,950.0","46,916.0","47,654.0","48,438.0","47,884.0","50,618.0","52,039.0","52,933.0","54,898.0","55,808.0","56,695.0","58,043.0","59,302.0","62,407.0","63,390.0","66,934.0","70,568.0","74,536.0","75,922.0","77,986.0","71,448.0","63,139.0","60,442.0","61,294.0","63,883.0","67,633.0","71,841.0","72,842.0","74,306.0","75,484.0","78,944.0","83,152.0","81,741.0","82,612.0","84,628.0","82,508.0","84,620.0","87,492.0","87,516.0","85,340.0","88,720.0","89,540.0","91,712.0"
"37","18","  Travel (for all purposes including education)","Y801RC1","2,008.0","2,056.0","2,056.0","2,052.0","2,296.0","2,316.0","2,300.0","2,412.0","2,492.0","2,436.0","2,496.0","2,712.0","2,692.0","2,780.0","2,852.0","2,944.0","3,344.0","3,268.0","3,440.0","3,596.0","3,888.0","3,876.0","4,084.0","4,280.0","4,748.0","4,508.0","4,576.0","4,956.0","5,296.0","5,772.0","6,072.0","5,828.0","5,748.0","6,084.0","6,212.0","6,556.0","6,692.0","7,152.0","7,356.0","7,532.0","8,176.0","8,300.0","8,232.0","9,056.0","10,188.0","10,136.0","10,948.0","11,080.0","14,900.0","14,993.0","15,467.0","16,898.0","16,106.0","15,811.0","15,253.0","14,928.0","13,983.0","14,161.0","15,548.0","14,358.0","19,427.0","22,261.0","21,450.0","22,071.0","21,894.0","22,929.0","22,192.0","22,396.0","24,925.0","24,314.0","26,169.0","26,525.0","26,735.0","28,494.0","29,900.0","30,880.0","32,445.0","33,886.0","36,820.0","37,485.0","40,456.0","41,290.0","43,780.0","46,311.0","49,332.0","49,896.0","49,975.0","54,362.0","49,999.0","56,387.0","58,521.0","61,755.0","63,470.0","63,975.0","63,568.0","64,893.0","66,472.0","67,778.0","68,081.0","69,194.0","68,271.0","69,743.0","69,131.0","70,280.0","70,713.0","71,567.0","77,068.0","80,219.0","78,833.0","82,782.0","76,963.0","88,764.0","85,780.0","85,715.0","87,227.0","86,238.0","85,068.0","86,311.0","83,106.0","85,794.0","89,505.0","89,929.0","95,254.0","94,666.0","97,922.0","101,668.0","100,977.0","100,186.0","98,139.0","92,323.0","86,544.0","69,926.0","81,294.0","82,360.0","81,362.0","82,458.0","77,697.0","74,882.0","82,628.0","86,121.0","90,381.0","92,110.0","92,130.0","94,927.0","101,884.0","102,535.0","100,365.0","101,093.0","101,518.0","103,934.0","106,927.0","108,181.0","111,705.0","115,449.0","119,810.0","129,184.0","134,753.0","138,774.0","134,923.0","126,596.0","116,404.0","116,821.0","121,472.0","124,911.0","130,742.0","133,933.0","139,325.0","144,042.0","144,734.0","153,568.0","152,418.0","152,748.0","155,227.0","161,913.0","163,592.0","164,265.0","170,801.0","170,546.0","174,963.0","176,215.0","178,874.0","182,741.0"
"38","19","  Charges for the use of intellectual property n.e.c.","B684RC1","1,940.0","2,056.0","1,996.0","2,084.0","2,204.0","2,324.0","2,388.0","2,408.0","2,448.0","2,496.0","2,508.0","2,724.0","2,652.0","2,712.0","2,812.0","2,904.0","3,120.0","3,000.0","3,432.0","3,348.0","3,676.0","3,808.0","4,024.0","4,216.0","4,324.0","4,408.0","4,412.0","4,500.0","4,440.0","4,440.0","4,496.0","4,476.0","4,672.0","4,896.0","5,248.0","5,308.0","5,792.0","5,748.0","6,008.0","6,472.0","6,000.0","6,188.0","6,396.0","6,668.0","6,824.0","7,252.0","7,252.0","7,524.0","7,400.0","7,392.0","7,436.0","7,524.0","5,912.0","5,708.0","5,844.0","4,944.0","5,684.0","5,876.0","5,820.0","5,736.0","6,000.0","6,120.0","6,188.0","6,404.0","6,200.0","6,368.0","6,356.0","7,788.0","7,496.0","8,020.0","8,244.0","8,696.0","9,532.0","9,760.0","10,504.0","10,884.0","11,452.0","11,896.0","12,060.0","13,152.0","13,532.0","13,528.0","13,852.0","14,364.0","15,228.0","16,280.0","17,268.0","17,768.0","17,392.0","17,464.0","17,744.0","18,672.0","20,612.0","20,812.0","21,180.0","20,768.0","21,028.0","22,016.0","21,504.0","22,228.0","26,164.0","26,620.0","26,672.0","27,396.0","28,876.0","29,716.0","31,288.0","31,276.0","31,644.0","31,592.0","32,792.0","33,852.0","32,944.0","33,432.0","33,540.0","33,000.0","34,296.0","35,220.0","34,888.0","38,096.0","46,846.0","46,891.0","48,538.0","48,649.0","51,222.0","52,066.0","52,317.0","51,627.0","49,216.0","49,709.0","48,449.0","50,572.0","50,727.0","54,389.0","56,114.0","54,198.0","54,907.0","55,919.0","57,798.0","58,632.0","64,173.0","64,673.0","67,000.0","72,525.0","74,524.0","73,471.0","74,428.0","75,371.0","80,096.0","83,618.0","81,288.0","89,196.0","90,888.0","95,046.0","100,148.0","105,130.0","102,155.0","102,147.0","103,733.0","100,466.0","91,153.0","95,629.0","95,171.0","111,670.0","106,398.0","105,108.0","106,392.0","112,186.0","121,375.0","122,504.0","126,376.0","123,078.0","124,281.0","122,862.0","124,993.0","129,834.0","128,992.0","129,934.0","130,323.0","127,465.0","128,891.0","130,248.0"
"39","20","  Other business services \3\","Y802RC1","844.0","896.0","960.0","996.0","1,012.0","1,016.0","1,056.0","1,088.0","1,168.0","1,240.0","1,316.0","1,388.0","1,444.0","1,472.0","1,484.0","1,528.0","1,568.0","1,636.0","1,720.0","1,836.0","2,824.0","2,884.0","2,988.0","3,148.0","3,368.0","3,628.0","3,776.0","3,976.0","4,164.0","4,372.0","4,660.0","4,804.0","4,840.0","4,880.0","4,876.0","5,080.0","5,572.0","5,756.0","6,572.0","6,752.0","6,924.0","7,160.0","7,244.0","7,708.0","7,676.0","8,400.0","8,856.0","9,364.0","10,062.0","10,577.0","10,527.0","10,869.0","13,201.0","13,467.0","13,907.0","14,545.0","13,605.0","14,116.0","14,062.0","14,460.0","14,844.0","14,421.0","14,577.0","14,238.0","14,484.0","14,375.0","14,783.0","15,598.0","23,017.0","23,171.0","23,194.0","23,669.0","23,575.0","24,014.0","24,243.0","24,878.0","25,197.0","25,589.0","25,610.0","26,434.0","28,650.0","29,928.0","30,922.0","31,684.0","31,000.0","31,743.0","32,845.0","35,323.0","37,642.0","39,755.0","40,589.0","41,426.0","40,367.0","40,576.0","41,915.0","41,471.0","42,491.0","42,715.0","43,476.0","45,427.0","47,909.0","49,390.0","49,782.0","52,643.0","51,366.0","52,515.0","54,620.0","55,823.0","58,472.0","60,423.0","61,313.0","65,173.0","67,288.0","70,769.0","72,798.0","73,756.0","75,019.0","78,429.0","78,756.0","80,047.0","78,084.0","78,961.0","79,915.0","81,282.0","80,435.0","82,218.0","83,972.0","85,954.0","87,305.0","87,618.0","86,807.0","89,764.0","93,883.0","94,852.0","94,767.0","97,010.0","98,762.0","100,126.0","101,860.0","107,677.0","115,042.0","117,655.0","115,686.0","125,238.0","125,812.0","121,539.0","127,884.0","138,677.0","142,193.0","147,051.0","147,340.0","166,626.0","171,537.0","182,284.0","188,561.0","193,028.0","193,085.0","205,920.0","202,005.0","208,216.0","208,675.0","207,566.0","208,304.0","219,055.0","210,378.0","216,858.0","232,612.0","246,840.0","241,437.0","248,692.0","255,912.0","251,571.0","253,650.0","256,798.0","257,701.0","272,851.0","266,727.0","268,498.0","274,676.0","283,344.0","278,545.0","280,211.0"
"40","21","  Government goods and services n.e.c.","Y803RC1","3,541.0","4,102.0","3,960.0","4,388.0","3,300.0","4,456.0","4,214.0","4,247.0","5,263.0","5,247.0","4,663.0","5,551.0","5,976.0","4,916.0","5,972.0","4,808.0","3,904.0","4,444.0","4,260.0","3,048.0","2,724.0","3,516.0","2,676.0","3,468.0","4,504.0","6,464.0","1,928.0","2,452.0","2,136.0","2,604.0","3,068.0","2,584.0","2,892.0","2,924.0","3,552.0","4,036.0","4,424.0","4,076.0","4,104.0","4,660.0","4,356.0","4,392.0","4,080.0","4,264.0","3,600.0","5,088.0","5,564.0","4,848.0","4,424.0","5,244.0","5,688.0","5,148.0","5,200.0","5,680.0","6,220.0","5,304.0","6,420.0","7,300.0","6,052.0","5,984.0","5,176.0","5,460.0","4,876.0","4,556.0","4,928.0","4,764.0","4,020.0","3,700.0","4,424.0","3,524.0","3,672.0","3,176.0","4,224.0","3,312.0","3,004.0","3,960.0","3,708.0","3,772.0","3,772.0","3,420.0","3,584.0","4,308.0","3,412.0","3,520.0","3,596.0","4,012.0","4,288.0","3,764.0","5,208.0","4,900.0","5,004.0","4,120.0","5,200.0","5,692.0","5,692.0","4,808.0","5,640.0","5,580.0","6,912.0","4,912.0","5,452.0","4,260.0","5,076.0","4,356.0","4,368.0","6,480.0","6,160.0","5,280.0","6,156.0","6,464.0","6,264.0","5,968.0","5,452.0","5,112.0","4,844.0","4,160.0","4,728.0","7,604.0","6,376.0","5,208.0","7,328.0","7,761.0","8,457.0","7,704.0","7,367.0","8,678.0","9,238.0","8,798.0","7,548.0","7,883.0","8,596.0","6,967.0","7,182.0","6,833.0","8,033.0","6,927.0","7,065.0","7,253.0","9,448.0","10,179.0","11,731.0","11,114.0","11,806.0","10,701.0","14,392.0","14,916.0","15,450.0","13,416.0","16,283.0","20,219.0","18,451.0","19,509.0","21,229.0","15,735.0","17,630.0","27,093.0","17,971.0","20,415.0","17,162.0","16,593.0","16,691.0","19,861.0","24,811.0","17,970.0","18,303.0","18,521.0","19,347.0","17,920.0","21,804.0","23,997.0","23,484.0","21,901.0","22,869.0","22,237.0","22,693.0","24,580.0","24,348.0","23,930.0","24,487.0","21,564.0","20,189.0","19,371.0"
"41","22","  Other","B980RC1","1,034.0","1,071.0","1,112.0","1,151.0","1,201.0","1,235.0","1,260.0","1,280.0","1,282.0","1,299.0","1,324.0","1,356.0","1,405.0","1,456.0","1,517.0","1,589.0","1,654.0","1,754.0","1,867.0","1,994.0","2,145.0","2,279.0","2,403.0","2,513.0","2,628.0","2,696.0","2,738.0","2,758.0","2,722.0","2,729.0","2,755.0","2,803.0","2,890.0","2,974.0","3,073.0","3,191.0","3,296.0","3,461.0","3,655.0","3,869.0","4,166.0","4,375.0","4,556.0","4,704.0","4,709.0","4,873.0","5,068.0","5,290.0","5,781.0","5,851.0","5,755.0","5,510.0","4,741.0","4,546.0","4,560.0","4,781.0","5,585.0","5,909.0","6,117.0","6,202.0","5,887.0","5,993.0","6,253.0","6,665.0","8,052.0","8,397.0","8,667.0","8,644.0","8,479.0","8,118.0","7,702.0","7,594.0","7,348.0","7,391.0","7,396.0","7,405.0","7,417.0","7,450.0","7,829.0","7,644.0","7,811.0","7,745.0","7,455.0","7,285.0","7,187.0","7,078.0","7,044.0","7,087.0","6,948.0","6,958.0","7,316.0","7,425.0","7,840.0","8,227.0","8,480.0","8,838.0","9,206.0","9,569.0","9,977.0","10,155.0","10,627.0","11,106.0","11,069.0","11,309.0","11,352.0","11,146.0","10,920.0","10,766.0","10,577.0","10,338.0","10,425.0","10,447.0","10,511.0","10,692.0","10,417.0","10,504.0","10,364.0","10,137.0","9,938.0","9,461.0","9,583.0","9,357.0","9,561.0","9,891.0","10,173.0","10,353.0","10,184.0","9,926.0","9,561.0","9,349.0","9,264.0","9,105.0","8,994.0","9,276.0","9,408.0","9,678.0","9,740.0","9,712.0","9,667.0","9,585.0","9,805.0","9,989.0","10,334.0","10,582.0","10,612.0","10,651.0","10,818.0","10,943.0","11,263.0","11,276.0","11,136.0","11,035.0","11,175.0","10,941.0","11,579.0","11,364.0","11,670.0","12,098.0","11,962.0","12,019.0","11,347.0","11,514.0","11,188.0","11,523.0","11,093.0","11,331.0","11,340.0","11,678.0","12,504.0","12,944.0","13,753.0","13,916.0","13,628.0","13,363.0","13,199.0","13,110.0","12,663.0","12,753.0","12,959.0","13,344.0","13,415.0","13,404.0"
"42","23","    Imports of goods and services","B021RC1","43,803.0","52,671.0","52,364.0","53,126.0","53,517.0","55,204.0","56,431.0","57,889.0","58,652.0","63,295.0","65,482.0","61,939.0","72,173.0","71,409.0","74,091.0","79,190.0","85,360.0","89,469.0","91,138.0","98,669.0","110,314.0","129,382.0","133,610.0","136,552.0","124,888.0","115,245.0","122,055.0","128,730.0","138,938.0","147,116.0","155,848.0","162,679.0","176,433.0","183,041.0","182,903.0","187,393.0","203,282.0","208,840.0","215,062.0","221,816.0","229,827.0","243,097.0","257,307.0","280,466.0","304,312.0","292,598.0","279,201.0","299,200.0","319,724.0","321,963.0","309,897.0","319,447.0","309,477.0","299,115.0","309,282.0","294,860.0","295,250.0","317,950.0","343,381.0","357,971.0","387,978.0","406,499.0","409,590.0","416,361.0","397,308.0","418,571.0","414,167.0","438,868.0","439,418.0","443,990.0","459,434.0","468,626.0","477,686.0","502,338.0","517,318.0","537,513.0","542,713.0","546,098.0","552,849.0","574,314.0","586,154.0","595,389.0","584,427.0","598,152.0","626,767.0","614,759.0","630,102.0","647,282.0","620,317.0","613,921.0","621,669.0","638,270.0","645,823.0","658,951.0","677,853.0","688,536.0","699,310.0","716,281.0","719,251.0","745,049.0","761,827.0","797,560.0","833,751.0","860,559.0","886,899.0","908,343.0","905,843.0","909,201.0","936,735.0","952,751.0","973,757.0","992,620.0","1,027,213.0","1,039,651.0","1,070,888.0","1,085,344.0","1,098,236.0","1,109,622.0","1,109,901.0","1,145,000.0","1,170,088.0","1,218,181.0","1,278,526.0","1,327,650.0","1,406,765.0","1,452,310.0","1,513,689.0","1,517,753.0","1,488,371.0","1,413,923.0","1,365,176.0","1,314,101.0","1,348,589.0","1,423,471.0","1,453,236.0","1,490,581.0","1,513,083.0","1,513,695.0","1,542,440.0","1,606,516.0","1,687,929.0","1,780,331.0","1,823,966.0","1,910,479.0","1,944,982.0","1,989,219.0","2,042,279.0","2,143,856.0","2,194,408.0","2,244,983.0","2,285,726.0","2,263,924.0","2,308,949.0","2,358,045.0","2,399,635.0","2,466,029.0","2,571,371.0","2,679,885.0","2,697,215.0","2,311,554.0","1,913,357.0","1,864,465.0","2,002,002.0","2,152,885.0","2,241,931.0","2,337,255.0","2,404,859.0","2,475,921.0","2,595,802.0","2,695,272.0","2,715,258.0","2,739,126.0","2,777,128.0","2,781,062.0","2,744,966.0","2,746,680.0","2,747,411.0","2,768,441.0","2,778,288.0","2,787,486.0","2,822,677.0","2,898,742.0"
