"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"45","26","  From persons (net)","B070RC1","992.0","1,180.0","1,120.0","1,168.0","1,260.0","1,340.0","1,284.0","1,260.0","1,268.0","1,296.0","1,408.0","1,432.0","1,352.0","1,388.0","1,360.0","1,420.0","1,184.0","1,248.0","1,272.0","2,512.0","1,372.0","1,368.0","1,364.0","1,348.0","1,348.0","1,196.0","1,460.0","1,348.0","1,444.0","1,304.0","1,340.0","1,416.0","1,404.0","1,412.0","1,356.0","1,328.0","1,384.0","1,600.0","1,560.0","1,756.0","1,548.0","1,516.0","1,704.0","2,088.0","1,888.0","1,860.0","1,960.0","2,100.0","5,229.0","5,381.0","5,669.0","6,033.0","6,404.0","6,757.0","6,874.0","6,918.0","6,436.0","6,868.0","7,284.0","7,403.0","7,636.0","7,905.0","7,814.0","8,241.0","8,411.0","8,164.0","8,537.0","8,195.0","8,881.0","8,869.0","9,166.0","9,658.0","9,470.0","9,955.0","10,395.0","10,290.0","10,722.0","10,712.0","10,527.0","11,197.0","11,147.0","11,429.0","11,397.0","12,234.0","12,050.0","11,802.0","12,540.0","12,487.0","13,756.0","13,835.0","14,054.0","14,683.0","11,535.0","12,603.0","19,302.0","14,526.0","16,269.0","16,697.0","17,314.0","17,998.0","18,493.0","18,866.0","19,086.0","19,276.0","18,908.0","18,941.0","20,163.0","23,007.0","21,425.0","22,657.0","22,940.0","23,520.0","25,103.0","25,128.0","25,584.0","26,837.0","26,879.0","28,743.0","30,381.0","32,661.0","31,397.0","32,796.0","32,521.0","31,993.0","35,047.0","34,630.0","34,435.0","34,483.0","37,405.0","38,115.0","38,770.0","38,034.0","40,016.0","39,822.0","40,877.0","41,809.0","40,541.0","41,347.0","38,947.0","43,926.0","43,484.0","44,144.0","44,022.0","42,746.0","48,940.0","48,196.0","47,624.0","48,660.0","46,667.0","52,086.0","52,619.0","55,002.0","57,611.0","58,662.0","59,990.0","61,046.0","64,799.0","67,712.0","69,792.0","62,354.0","63,734.0","65,162.0","65,936.0","69,444.0","74,375.0","71,351.0","72,669.0","73,643.0","74,139.0","73,975.0","73,038.0","75,153.0","74,345.0","73,286.0","69,178.0","75,753.0","75,202.0","75,264.0","72,177.0","74,472.0","75,377.0","73,771.0"
"46","27","  From government (net)","B088RC1","3,632.0","5,288.0","4,044.0","5,132.0","4,264.0","5,060.0","5,244.0","5,156.0","5,804.0","5,996.0","5,680.0","7,032.0","7,932.0","6,816.0","8,096.0","6,616.0","5,188.0","6,816.0","6,028.0","4,484.0","4,668.0","8,916.0","5,896.0","6,044.0","7,920.0","9,988.0","4,528.0","5,820.0","4,520.0","5,056.0","8,468.0","4,640.0","4,900.0","5,724.0","5,692.0","5,044.0","5,804.0","5,948.0","5,876.0","6,032.0","6,188.0","6,656.0","6,780.0","7,648.0","8,648.0","6,552.0","7,528.0","10,316.0","7,460.0","7,748.0","9,100.0","8,752.0","9,672.0","8,616.0","9,132.0","11,300.0","7,780.0","8,664.0","10,008.0","13,908.0","9,384.0","9,776.0","12,708.0","17,128.0","12,580.0","13,572.0","15,344.0","16,228.0","12,140.0","16,692.0","17,200.0","15,692.0","11,768.0","12,248.0","12,240.0","17,464.0","12,524.0","10,700.0","12,772.0","18,908.0","12,512.0","11,372.0","14,920.0","18,128.0","14,688.0","18,956.0","16,816.0","8,324.0","-72,884.0","-28,344.0","-2,012.0","7,220.0","17,276.0","20,576.0","18,488.0","31,664.0","17,260.0","20,012.0","22,536.0","31,912.0","15,580.0","17,260.0","21,072.0","30,664.0","16,124.0","15,024.0","15,392.0","15,672.0","23,308.0","15,176.0","15,520.0","26,032.0","13,556.0","13,672.0","14,088.0","25,468.0","14,484.0","13,572.0","15,792.0","25,724.0","14,792.0","16,284.0","14,732.0","25,924.0","13,176.0","15,668.0","17,808.0","30,988.0","12,948.0","14,120.0","15,460.0","20,472.0","30,188.0","17,124.0","16,380.0","20,944.0","28,093.0","24,960.0","26,230.0","21,374.0","34,348.0","23,346.0","24,343.0","23,919.0","39,550.0","26,651.0","30,658.0","41,570.0","25,354.0","31,262.0","32,837.0","19,152.0","44,431.0","24,074.0","29,993.0","39,696.0","41,954.0","35,917.0","32,287.0","24,675.0","32,687.0","49,538.0","59,324.0","41,021.0","51,911.0","38,826.0","46,087.0","45,681.0","51,449.0","57,461.0","48,792.0","48,343.0","50,541.0","46,585.0","47,060.0","33,056.0","40,338.0","44,557.0","44,871.0","33,128.0","35,911.0","-5,119.0"
"47","28","  From business (net)","W164RC1","276.0","292.0","308.0","336.0","368.0","396.0","408.0","432.0","424.0","420.0","428.0","428.0","388.0","408.0","424.0","708.0","692.0","608.0","540.0","900.0","904.0","736.0","736.0","1,588.0","720.0","600.0","664.0","976.0","1,280.0","796.0","832.0","1,392.0","1,404.0","1,320.0","1,116.0","1,748.0","1,232.0","1,432.0","1,080.0","1,664.0","1,596.0","1,788.0","2,148.0","2,548.0","2,316.0","2,344.0","2,240.0","2,720.0","2,788.0","3,204.0","3,292.0","3,500.0","2,989.0","3,730.0","3,410.0","3,541.0","3,182.0","3,411.0","3,284.0","3,754.0","3,552.0","3,483.0","3,425.0","3,519.0","2,813.0","2,850.0","2,994.0","2,914.0","3,447.0","2,922.0","3,072.0","3,315.0","2,826.0","3,335.0","3,716.0","3,533.0","4,630.0","4,732.0","4,054.0","4,478.0","4,472.0","4,278.0","4,557.0","5,152.0","4,283.0","4,895.0","5,205.0","4,893.0","4,874.0","5,107.0","5,021.0","5,057.0","5,174.0","5,476.0","5,635.0","5,390.0","5,297.0","5,250.0","5,357.0","5,517.0","5,658.0","5,348.0","5,976.0","7,034.0","8,681.0","8,557.0","8,642.0","7,087.0","6,665.0","6,807.0","6,695.0","7,307.0","7,575.0","8,552.0","9,360.0","10,773.0","13,641.0","13,920.0","13,360.0","10,975.0","8,358.0","6,960.0","7,430.0","6,900.0","8,540.0","10,526.0","11,863.0","14,604.0","17,459.0","18,581.0","18,288.0","18,743.0","12,223.0","10,978.0","10,844.0","10,969.0","12,613.0","12,259.0","13,763.0","15,995.0","22,291.0","25,820.0","23,727.0","33,414.0","34,841.0","33,889.0","28,582.0","27,815.0","19,180.0","19,634.0","24,016.0","24,903.0","36,291.0","32,855.0","31,499.0","22,495.0","38,044.0","35,048.0","32,592.0","35,092.0","24,855.0","19,736.0","18,495.0","21,646.0","26,938.0","23,845.0","22,714.0","16,799.0","28,456.0","16,123.0","20,275.0","21,412.0","22,540.0","24,436.0","24,092.0","24,186.0","21,294.0","22,247.0","24,309.0","25,331.0","27,343.0","31,071.0"
"48","29","    Balance on current account, NIPAs","A124RC1","1,605.0","645.0","1,452.0","2,714.0","3,791.0","5,226.0","3,491.0","2,385.0","4,340.0","71.0","-345.0","-2,821.0","-5,031.0","-4,753.0","-3,599.0","-2,782.0","2,205.0","5,408.0","12,475.0","15,357.0","16,518.0","2,663.0","309.0","4,392.0","17,889.0","21,454.0","18,389.0","21,623.0","13,152.0","8,994.0","2,406.0","3,826.0","-8,022.0","-8,842.0","-7,857.0","-18,935.0","-25,010.0","-12,855.0","-11,386.0","-1,262.0","-1,810.0","-2,700.0","2,433.0","-2,587.0","-10,667.0","9,846.0","28,158.0","6,707.0","1,670.0","171.0","7,073.0","4,591.0","652.0","17,438.0","-14,037.0","-17,251.0","-7,896.0","-27,637.0","-47,909.0","-56,768.0","-78,537.0","-87,923.0","-90,436.0","-103,420.0","-89,413.0","-111,362.0","-121,275.0","-135,167.0","-128,322.0","-141,860.0","-150,218.0","-150,295.0","-150,932.0","-154,383.0","-154,049.0","-157,009.0","-126,872.0","-109,954.0","-106,454.0","-119,615.0","-106,700.0","-93,573.0","-81,653.0","-87,480.0","-90,034.0","-72,862.0","-82,377.0","-54,313.0","46,571.0","14,772.0","-13,026.0","-16,793.0","-21,792.0","-39,387.0","-52,703.0","-68,410.0","-56,520.0","-73,666.0","-76,547.0","-107,392.0","-92,066.0","-108,272.0","-120,812.0","-137,649.0","-118,389.0","-118,587.0","-99,003.0","-84,230.0","-102,032.0","-108,417.0","-132,588.0","-113,390.0","-131,133.0","-101,083.0","-122,006.0","-162,947.0","-164,041.0","-195,235.0","-223,782.0","-234,976.0","-240,975.0","-274,082.0","-306,251.0","-326,776.0","-378,749.0","-386,589.0","-423,305.0","-428,282.0","-418,997.0","-380,437.0","-412,357.0","-344,122.0","-406,503.0","-451,357.0","-452,905.0","-492,856.0","-532,764.0","-516,050.0","-514,896.0","-502,501.0","-537,831.0","-617,437.0","-635,436.0","-715,051.0","-697,226.0","-706,068.0","-735,926.0","-832,222.0","-792,985.0","-814,187.0","-858,007.0","-750,908.0","-798,184.0","-757,934.0","-685,456.0","-628,909.0","-721,283.0","-713,601.0","-706,094.0","-603,501.0","-386,725.0","-351,490.0","-369,842.0","-401,078.0","-438,331.0","-451,939.0","-476,760.0","-424,566.0","-488,396.0","-503,432.0","-458,993.0","-471,220.0","-523,660.0","-502,505.0","-467,005.0","-435,670.0","-456,002.0","-459,223.0","-420,476.0","-352,932.0","-465,590.0","....."
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","30","  Net lending or net borrowing (-), NIPAs","W162RC1","1,601.0","645.0","1,448.0","2,714.0","3,791.0","5,222.0","3,487.0","2,373.0","4,328.0","59.0","-361.0","-2,845.0","-5,055.0","-4,777.0","-3,635.0","-2,818.0","2,169.0","5,372.0","12,435.0","15,321.0","16,482.0","2,627.0","273.0","4,356.0","17,841.0","21,394.0","18,329.0","21,563.0","13,092.0","8,946.0","2,358.0","3,778.0","-8,074.0","-8,902.0","-7,929.0","-19,007.0","-25,094.0","-12,939.0","-11,470.0","-1,358.0","-1,906.0","-2,808.0","2,325.0","-2,707.0","-10,787.0","9,718.0","28,026.0","6,575.0","1,542.0","51.0","6,953.0","4,471.0","532.0","17,322.0","-14,145.0","-17,359.0","-8,004.0","-27,741.0","-48,005.0","-56,864.0","-78,625.0","-88,015.0","-90,536.0","-103,532.0","-89,549.0","-111,510.0","-121,427.0","-135,303.0","-128,442.0","-141,968.0","-150,326.0","-150,403.0","-151,060.0","-154,519.0","-154,193.0","-157,153.0","-127,008.0","-110,086.0","-106,590.0","-119,747.0","-106,832.0","-93,717.0","-81,797.0","-88,452.0","-90,866.0","-73,014.0","-82,533.0","-82,665.0","42,131.0","14,204.0","-29,038.0","-16,969.0","-22,016.0","-39,807.0","-46,759.0","-68,602.0","-59,160.0","-73,878.0","-76,995.0","-107,592.0","-92,238.0","-111,884.0","-121,880.0","-137,877.0","-118,625.0","-118,319.0","-100,979.0","-83,962.0","-102,248.0","-108,621.0","-132,792.0","-113,602.0","-131,417.0","-101,659.0","-122,686.0","-163,311.0","-164,257.0","-195,431.0","-224,054.0","-235,212.0","-241,255.0","-274,354.0","-306,555.0","-343,788.0","-379,133.0","-386,961.0","-423,741.0","-428,462.0","-419,225.0","-380,645.0","-359,837.0","-344,446.0","-406,867.0","-451,725.0","-453,545.0","-493,484.0","-533,376.0","-521,421.0","-517,167.0","-502,750.0","-538,322.0","-617,677.0","-623,030.0","-715,573.0","-706,123.0","-706,672.0","-674,736.0","-832,494.0","-798,142.0","-816,413.0","-858,295.0","-751,500.0","-798,444.0","-756,433.0","-685,976.0","-629,267.0","-721,662.0","-714,046.0","-682,293.0","-604,839.0","-387,172.0","-351,985.0","-370,430.0","-401,805.0","-438,835.0","-452,497.0","-477,888.0","-425,108.0","-489,001.0","-507,310.0","-460,628.0","-471,645.0","-524,282.0","-503,881.0","-469,287.0","-405,422.0","-456,606.0","-460,535.0","-421,506.0","-353,349.0","-466,045.0","....."
"51","31","    Balance on current account, NIPAs","A124RC1","1,605.0","645.0","1,452.0","2,714.0","3,791.0","5,226.0","3,491.0","2,385.0","4,340.0","71.0","-345.0","-2,821.0","-5,031.0","-4,753.0","-3,599.0","-2,782.0","2,205.0","5,408.0","12,475.0","15,357.0","16,518.0","2,663.0","309.0","4,392.0","17,889.0","21,454.0","18,389.0","21,623.0","13,152.0","8,994.0","2,406.0","3,826.0","-8,022.0","-8,842.0","-7,857.0","-18,935.0","-25,010.0","-12,855.0","-11,386.0","-1,262.0","-1,810.0","-2,700.0","2,433.0","-2,587.0","-10,667.0","9,846.0","28,158.0","6,707.0","1,670.0","171.0","7,073.0","4,591.0","652.0","17,438.0","-14,037.0","-17,251.0","-7,896.0","-27,637.0","-47,909.0","-56,768.0","-78,537.0","-87,923.0","-90,436.0","-103,420.0","-89,413.0","-111,362.0","-121,275.0","-135,167.0","-128,322.0","-141,860.0","-150,218.0","-150,295.0","-150,932.0","-154,383.0","-154,049.0","-157,009.0","-126,872.0","-109,954.0","-106,454.0","-119,615.0","-106,700.0","-93,573.0","-81,653.0","-87,480.0","-90,034.0","-72,862.0","-82,377.0","-54,313.0","46,571.0","14,772.0","-13,026.0","-16,793.0","-21,792.0","-39,387.0","-52,703.0","-68,410.0","-56,520.0","-73,666.0","-76,547.0","-107,392.0","-92,066.0","-108,272.0","-120,812.0","-137,649.0","-118,389.0","-118,587.0","-99,003.0","-84,230.0","-102,032.0","-108,417.0","-132,588.0","-113,390.0","-131,133.0","-101,083.0","-122,006.0","-162,947.0","-164,041.0","-195,235.0","-223,782.0","-234,976.0","-240,975.0","-274,082.0","-306,251.0","-326,776.0","-378,749.0","-386,589.0","-423,305.0","-428,282.0","-418,997.0","-380,437.0","-412,357.0","-344,122.0","-406,503.0","-451,357.0","-452,905.0","-492,856.0","-532,764.0","-516,050.0","-514,896.0","-502,501.0","-537,831.0","-617,437.0","-635,436.0","-715,051.0","-697,226.0","-706,068.0","-735,926.0","-832,222.0","-792,985.0","-814,187.0","-858,007.0","-750,908.0","-798,184.0","-757,934.0","-685,456.0","-628,909.0","-721,283.0","-713,601.0","-706,094.0","-603,501.0","-386,725.0","-351,490.0","-369,842.0","-401,078.0","-438,331.0","-451,939.0","-476,760.0","-424,566.0","-488,396.0","-503,432.0","-458,993.0","-471,220.0","-523,660.0","-502,505.0","-467,005.0","-435,670.0","-456,002.0","-459,223.0","-420,476.0","-352,932.0","-465,590.0","....."
"52","32","    Less: Capital account transactions (net) \2\","W167RC1","4.0","0.0","4.0","0.0","0.0","4.0","4.0","12.0","12.0","12.0","16.0","24.0","24.0","24.0","36.0","36.0","36.0","36.0","40.0","36.0","36.0","36.0","36.0","36.0","48.0","60.0","60.0","60.0","60.0","48.0","48.0","48.0","52.0","60.0","72.0","72.0","84.0","84.0","84.0","96.0","96.0","108.0","108.0","120.0","120.0","128.0","132.0","132.0","128.0","120.0","120.0","120.0","120.0","116.0","108.0","108.0","108.0","104.0","96.0","96.0","88.0","92.0","100.0","112.0","136.0","148.0","152.0","136.0","120.0","108.0","108.0","108.0","128.0","136.0","144.0","144.0","136.0","132.0","136.0","132.0","132.0","144.0","144.0","972.0","832.0","152.0","156.0","28,352.0","4,440.0","568.0","16,012.0","176.0","224.0","420.0","-5,944.0","192.0","2,640.0","212.0","448.0","200.0","172.0","3,612.0","1,068.0","228.0","236.0","-268.0","1,976.0","-268.0","216.0","204.0","204.0","212.0","284.0","576.0","680.0","364.0","216.0","196.0","272.0","236.0","280.0","272.0","304.0","17,012.0","384.0","372.0","436.0","180.0","228.0","208.0","-52,520.0","324.0","364.0","368.0","640.0","628.0","612.0","5,371.0","2,271.0","249.0","491.0","240.0","-12,406.0","522.0","8,897.0","604.0","-61,190.0","272.0","5,157.0","2,226.0","288.0","592.0","260.0","-1,501.0","520.0","358.0","379.0","445.0","-23,801.0","1,338.0","447.0","495.0","588.0","727.0","504.0","558.0","1,128.0","542.0","605.0","3,878.0","1,635.0","425.0","622.0","1,376.0","2,282.0","-30,248.0","604.0","1,312.0","1,030.0","417.0","455.0","....."
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","1. Exports and imports of certain goods, primarily military equipment purchased",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","and sold by the federal government, are included in services.  Beginning with 1986,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","nonfinancial assets.  Prior to 1982, reflects only capital grants paid to the U.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","territories and the Commonwealths of Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
