"","Table 5#4#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","2","Nonresidential","B009RW2",2.48,0.13,-0.8,1.34,3.26,-0.91,-5.02,1.17,1.79,5.7,5.19,2.62,4.21,-0.94,-6.67,6.88,3.47,-5.43,-1.24,0.28,0.84,0.64,-5.18,-2.77,-0.11,0.71,2.36,2.24,2.87,2.08,0.04,3,-0.61,-7.02,-1.31,-0.13,0.51,2.13,4.33,2.63,-9.88,-8.73,1.14,6.54,0.78,3.86
"12","3","  Commercial and health care","W001RW2",1.99,0.19,1.42,1.39,0.67,-0.94,-3.53,-0.19,0.63,1.5,2.12,1.28,1.27,1.47,-0.59,3.93,3.02,-1.54,-0.72,0.58,-0.25,-0.79,-4.47,-1.22,0.62,0.7,0.89,1.22,1.67,1.05,0.62,1.14,-0.84,-2.51,-0.9,0.31,-0.11,0.69,1.27,-0.58,-5.37,-3.78,-0.07,1.05,0.42,1.48
"13","4","    Office \1\","W031RW2",0.6,-0.08,0.52,-0.14,0.3,-0.31,-1.18,-0.21,0.18,0.56,1.03,1.1,1.18,1.62,-1.01,1.69,1.59,-1.11,-0.88,0.12,-0.19,-0.6,-1.62,-1.04,0.01,0.13,0.53,0.36,0.91,1.05,0.43,0.81,-0.59,-2.09,-0.76,0.05,0.1,0.42,0.47,-0.05,-2.14,-1.69,-0.18,0.45,0.29,0.86
"14","5","    Health care","W032RW2",0.68,0.37,0.29,0.13,-0.13,-0.21,-0.32,0.08,-0.16,-0.03,0.08,0.23,0.41,0.9,0.18,0.01,-0.13,-0.25,0,0.32,-0.08,0.1,-0.41,0,0.16,-0.15,-0.26,0.1,0.39,-0.05,-0.02,0.04,-0.11,0.33,0.15,0.07,0,0.09,0.18,0.2,-0.17,-0.59,-0.13,0.32,-0.3,-0.23
"15","6","      Hospitals and special care","C311RW2",0.61,0.38,0.23,0.15,-0.16,-0.17,-0.19,0.11,-0.17,-0.09,-0.04,0.09,0.26,0.69,0.31,-0.19,-0.32,-0.11,0.11,0.31,-0.05,0.18,-0.22,0.13,0.16,-0.16,-0.32,0.06,0.26,-0.04,-0.12,0.05,-0.02,0.3,0.02,-0.07,0.02,0.23,0.14,0.09,-0.02,-0.32,-0.15,0.18,-0.36,-0.2
"16","7","        Hospitals","W033RW2",0.49,0.3,0.19,0.12,-0.13,-0.14,-0.15,0.09,-0.14,-0.07,-0.04,0.07,0.21,0.56,0.25,-0.16,-0.26,-0.09,0.09,0.25,-0.04,0.14,-0.18,0.11,0.13,-0.09,-0.35,-0.13,0.26,-0.15,-0.06,0.04,0.09,0.32,0.12,0,0.08,0.18,0.14,0.05,0.02,-0.29,-0.18,0.07,-0.31,-0.24
"17","8","        Special care","W034RW2",0.12,0.07,0.04,0.03,-0.03,-0.03,-0.04,0.02,-0.03,-0.02,-0.01,0.02,0.05,0.13,0.06,-0.04,-0.06,-0.02,0.02,0.06,-0.01,0.03,-0.04,0.03,0.03,-0.07,0.02,0.19,0,0.11,-0.06,0.01,-0.11,-0.01,-0.1,-0.07,-0.05,0.05,0,0.05,-0.05,-0.02,0.03,0.11,-0.05,0.04
"18","9","      Medical buildings","W035RW2",0.07,-0.01,0.06,-0.03,0.03,-0.04,-0.14,-0.03,0.02,0.06,0.12,0.14,0.15,0.21,-0.13,0.2,0.19,-0.14,-0.11,0.01,-0.02,-0.07,-0.19,-0.13,0,0.01,0.06,0.04,0.13,-0.01,0.11,-0.01,-0.09,0.03,0.13,0.14,-0.02,-0.14,0.04,0.1,-0.15,-0.27,0.02,0.13,0.06,-0.03
"19","10","    Multimerchandise shopping","W036RW2",0.27,-0.03,0.23,0.52,0.18,-0.16,-0.75,-0.03,0.23,0.34,0.36,-0.02,-0.13,-0.39,0.09,0.82,0.57,-0.07,0.06,0.05,0.01,-0.11,-0.89,-0.06,0.17,0.03,-0.12,0.23,-0.24,0.1,0.22,-0.1,0.13,-0.14,-0.07,0.25,0.18,0.37,0.29,-0.36,-1.35,-0.67,0.07,0.13,0.15,0.31
"20","11","    Food and beverage establishments","W037RW2",0.14,-0.02,0.12,0.28,0.1,-0.09,-0.41,-0.01,0.12,0.19,0.19,-0.01,-0.07,-0.21,0.05,0.44,0.31,-0.04,0.03,0.03,0,-0.06,-0.48,-0.03,0.09,-0.08,0.15,0.05,0.14,0.04,-0.15,0.04,-0.03,-0.12,0.03,-0.07,-0.11,-0.07,0.01,-0.03,-0.32,-0.02,0.07,0.05,0.07,0.07
"21","12","    Warehouses","W038RW2",0.12,-0.01,0.1,0.24,0.08,-0.07,-0.34,-0.01,0.1,0.16,0.16,-0.01,-0.06,-0.17,0.04,0.37,0.26,-0.03,0.03,0.02,0,-0.05,-0.4,-0.03,0.08,0.16,0.5,0.37,0.13,-0.05,0.09,0.09,0.06,-0.48,0.01,-0.11,-0.02,0.05,0.12,-0.08,-0.7,-0.47,0.1,0.03,0.17,0.48
"22","13","    Other commercial \2\","W039RW2",0.17,-0.03,0.15,0.37,0.13,-0.1,-0.53,0,0.14,0.28,0.29,0,-0.06,-0.29,0.06,0.61,0.43,-0.05,0.05,0.04,0.01,-0.08,-0.66,-0.06,0.1,0.61,0.09,0.12,0.33,-0.03,0.05,0.25,-0.29,-0.01,-0.26,0.12,-0.26,-0.18,0.2,-0.25,-0.69,-0.35,0,0.06,0.05,-0.01
"23","14","  Manufacturing","C307RW2",0.43,-0.29,-1.49,-0.8,1.2,0.84,-0.32,-0.63,0.18,1.95,1.61,-1.38,1.05,-0.3,-2.58,0.22,0.69,-0.99,-0.13,0.28,1.06,0.86,-0.61,-0.64,-1.48,0.95,1.03,0.35,-0.3,0.21,-0.98,0.15,-0.13,-1.88,-0.2,0.07,0.3,0.16,0.48,0.86,0.24,-1.87,-0.23,0.76,0.22,0.57
"24","15","  Power and communication","W003RW2",0,1.02,0.1,0.47,0.65,-0.68,-0.93,1.13,-0.18,0.48,0.35,0.09,0.26,-0.57,-1.47,0.18,-0.08,0.45,-0.76,-0.35,0.22,-0.43,1.13,0.48,-0.37,-0.67,0.12,-0.88,-0.18,0.8,0.88,0.83,0.19,-0.15,-0.48,-0.87,0.15,0.25,1.78,0.71,0.13,-1.92,-0.91,2.28,-0.52,0.63
"25","16","    Power","W028RW2",-0.54,0.43,0.07,0.3,0.33,-0.47,-0.45,1.15,-0.35,0.08,0.11,0.06,0.16,-0.61,-1.24,-0.04,-0.12,0.25,-0.82,-0.41,0.4,-0.42,1.34,0.47,-0.48,-0.75,0.06,-0.92,-0.24,0.79,0,0.83,0.16,0.03,0.03,-0.89,-0.07,0.21,1.44,0.84,0.72,-1.52,-0.7,2.49,-0.7,0.7
"26","17","      Electric","C571RW2",0.07,0.64,0.17,0.29,0.33,-0.58,-0.76,0.66,0.74,0.32,-0.05,-0.12,0.14,-0.27,-0.8,-0.06,-0.29,0.28,-0.81,-0.47,0.28,-0.5,1.12,0.14,-0.18,-0.47,-0.21,-0.63,-0.09,0.23,0.35,0.93,0.16,-0.1,0.04,-0.7,0.04,0.16,1.01,0.66,0.75,-1.62,-0.08,2.2,-1.77,0.69
"27","18","      Other power","W029RW2",-0.61,-0.21,-0.1,0.01,0,0.1,0.3,0.49,-1.09,-0.24,0.16,0.17,0.02,-0.34,-0.44,0.01,0.17,-0.03,-0.01,0.06,0.11,0.08,0.22,0.33,-0.3,-0.28,0.27,-0.29,-0.15,0.56,-0.35,-0.1,0,0.13,-0.01,-0.2,-0.11,0.04,0.44,0.18,-0.02,0.1,-0.62,0.3,1.07,0.01
"28","19","    Communication","C314RW2",0.54,0.59,0.03,0.17,0.32,-0.21,-0.48,-0.02,0.16,0.4,0.24,0.03,0.1,0.05,-0.23,0.22,0.03,0.2,0.05,0.06,-0.17,-0.02,-0.21,0.01,0.11,0.07,0.06,0.04,0.06,0.01,0.88,0,0.03,-0.18,-0.51,0.02,0.22,0.04,0.34,-0.13,-0.59,-0.41,-0.21,-0.22,0.18,-0.07
"29","20","  Mining exploration, shafts, and wells","E318RW2",0.15,-0.21,-0.25,0.2,0.17,0.53,0.71,0.47,0.77,0.88,0.45,2.83,1.87,-1.14,-2.45,1.25,-0.93,-2.86,-0.08,0.31,-0.35,0.53,-0.09,-0.77,0.54,-0.1,-0.5,0.19,0.54,-0.48,-0.48,0.61,0.58,-1.2,0.54,0.27,0.48,0.51,-0.13,0.65,-3.04,1.55,3.11,1.76,0.35,0.91
"30","21","    Petroleum and natural gas","C319RW2",0.11,-0.24,-0.27,0.19,0.14,0.41,0.63,0.3,0.65,0.98,0.49,2.74,1.68,-0.95,-2.25,1.21,-0.9,-2.7,-0.01,0.31,-0.37,0.5,-0.13,-0.75,0.53,-0.18,-0.39,0.16,0.56,-0.42,-0.46,0.58,0.6,-1.32,0.57,0.13,0.38,0.31,-0.05,0.7,-2.94,1.39,2.56,1.82,0.34,0.92
"31","22","    Mining","C320RW2",0.03,0.03,0.02,0.01,0.04,0.11,0.08,0.17,0.12,-0.09,-0.04,0.09,0.19,-0.19,-0.2,0.04,-0.03,-0.16,-0.07,0.01,0.02,0.03,0.03,-0.01,0.01,0.08,-0.11,0.03,-0.02,-0.06,-0.02,0.04,-0.01,0.11,-0.03,0.14,0.1,0.2,-0.08,-0.05,-0.1,0.16,0.55,-0.06,0.01,-0.01
"32","23","  Other structures","W004RW2",-0.08,-0.58,-0.59,0.09,0.56,-0.65,-0.95,0.4,0.4,0.89,0.66,-0.21,-0.24,-0.41,0.42,1.29,0.77,-0.49,0.45,-0.54,0.15,0.48,-1.14,-0.61,0.58,-0.16,0.83,1.36,1.14,0.5,0.01,0.26,-0.4,-1.27,-0.26,0.09,-0.32,0.52,0.93,0.99,-1.83,-2.71,-0.77,0.69,0.33,0.28
"33","24","    Religious","C309RW2",-0.21,-0.14,-0.22,-0.03,-0.08,0.01,-0.1,0.05,0.02,0.08,0.09,-0.01,-0.02,-0.07,0.09,0.11,0.08,0.07,0.03,0.02,0.04,-0.07,-0.08,-0.1,0.06,-0.03,0.06,0.02,0.18,0.1,0.07,0.05,0.01,-0.02,0,-0.1,-0.1,-0.05,-0.05,-0.04,-0.07,-0.08,-0.14,-0.06,-0.05,-0.05
"34","25","    Educational and vocational","W044RW2",-0.19,-0.26,0,-0.03,-0.13,-0.24,-0.11,0.03,-0.01,0.03,0.04,0.13,-0.01,0.04,0.05,0.01,0.09,0.11,0.32,-0.25,0.08,0.08,0.01,0.04,0,0,0.1,0.23,0.33,0.1,-0.13,0.24,0.09,-0.01,-0.02,-0.16,-0.07,-0.02,0.08,0.04,-0.17,-0.39,-0.03,0.23,-0.13,-0.04
"35","26","    Lodging","W045RW2",0.06,-0.12,-0.08,0.46,0.15,-0.62,-0.52,-0.16,-0.01,0.14,0.4,0.23,0.22,-0.06,0.37,0.46,0.13,0,-0.05,-0.19,0.17,0.34,-0.79,-0.74,0.22,-0.02,0.54,0.84,0.34,0.29,0.09,-0.06,-0.37,-0.62,-0.12,0.18,-0.03,0.37,0.87,0.76,-1.03,-2.01,-0.48,0.27,0.32,0.23
"36","27","    Amusement and recreation","W046RW2",0.19,0.04,-0.06,-0.02,0.05,-0.11,-0.11,0.12,0.04,0.13,0.08,0.03,-0.01,0.13,0.14,0.33,0.29,-0.13,0.08,0.09,-0.21,0.05,-0.12,-0.02,0.12,0.01,0.05,0.11,0.11,-0.04,0.1,-0.19,-0.19,-0.07,0.01,0.02,-0.17,0.11,0.04,0.01,-0.2,-0.23,0.03,-0.1,0.05,0.02
"37","28","    Transportation","W047RW2",0.04,-0.17,0.03,0.04,0.05,-0.01,-0.18,0.3,0.09,0.21,-0.01,-0.09,-0.05,-0.09,-0.06,0.18,0.16,-0.28,-0.11,-0.03,0.02,-0.02,-0.07,0.11,0.01,0.04,0.02,0.16,0.09,0.15,-0.13,0.02,-0.01,-0.05,-0.04,0.01,0.01,0.1,0.01,0.05,-0.09,0.09,-0.07,0.16,0,0.05
"38","29","      Air","W048RW2",0.02,0,-0.01,0,0.01,-0.01,-0.01,0.01,0,0.01,0.01,0,0,0.01,0.01,0.03,0.02,-0.01,0.01,0.02,-0.03,0,-0.01,-0.01,0.02,0.01,0,0.03,0,0.02,0.02,0.07,0.01,-0.09,-0.04,-0.01,-0.02,-0.01,0.01,-0.01,-0.03,-0.02,0.03,0.06,-0.01,-0.01
"39","30","      Land \3\","W049RW2",0.03,-0.17,0.04,0.04,0.04,0,-0.17,0.28,0.08,0.2,-0.01,-0.09,-0.04,-0.11,-0.08,0.15,0.14,-0.28,-0.11,-0.04,0.04,-0.02,-0.06,0.12,0,0.03,0.02,0.12,0.09,0.13,-0.15,-0.05,-0.03,0.04,0,0.02,0.03,0.11,0,0.06,-0.06,0.11,-0.1,0.1,0.01,0.06
"40","31","    Farm","C316RW2",-0.04,0.09,-0.13,-0.27,0.47,0.3,0.12,0.08,0.12,0.17,0,-0.42,-0.34,-0.4,-0.21,-0.05,-0.3,-0.05,0.09,-0.07,0.01,0.04,-0.02,-0.09,0.21,-0.06,-0.07,0.11,0.01,0.05,0.08,0.09,-0.13,0.04,-0.08,0.01,-0.01,-0.04,0.02,0.15,-0.12,-0.04,-0.08,0.2,0.13,-0.02
"41","32","    Other \4\","W050RW2",0.1,0.09,-0.02,-0.06,-0.01,-0.03,-0.02,0.02,0.07,0.07,0.08,-0.04,0,0.02,0.1,0.21,0.29,-0.18,0.09,-0.16,0.07,0.11,-0.03,0.18,-0.08,-0.13,0.1,-0.16,-0.1,0.01,-0.07,0.08,-0.14,-0.11,0.04,0.04,-0.04,0.05,0.01,-0.02,-0.12,0.03,-0.03,-0.06,-0.01,0.06
"42","33","    Brokers' commissions on sale of structures","C321RW2",-0.05,-0.06,-0.05,-0.02,0.08,0.04,-0.04,-0.01,0.08,-0.02,-0.02,-0.02,-0.02,-0.01,0,0.05,0.04,-0.01,0.01,0.02,0.02,0.01,-0.05,-0.01,0,0.02,0.03,0.03,0.03,0.02,0.01,0.02,-0.02,-0.04,-0.01,0.01,0.02,0.03,0.05,0.04,-0.04,-0.08,0,0.04,0.01,0.02
"43","34","    Net purchases of used structures","E322RW2",0.01,-0.05,-0.06,0.01,-0.01,0,0.02,-0.02,0.01,0.06,-0.02,-0.01,-0.03,0.04,-0.06,-0.02,-0.01,-0.02,-0.01,0.02,-0.05,-0.07,0,0.01,0.04,0.02,0,0.03,0.16,-0.17,-0.01,0.01,0.37,-0.4,-0.03,0.08,0.07,-0.04,-0.11,0,0.03,0,0.05,0.02,0,0
"44","35","Residential","A012RW2",1.57,-2.95,13.77,9.86,-0.55,-11.62,-6.37,11.66,11.72,4.01,-2.37,-11.82,-4.01,-7.86,16.46,7.53,1.1,6.3,1.09,-0.57,-1.92,-4.85,-4.83,7.62,4.93,5.61,-2.19,5.04,1.51,5.15,3.73,0.35,0.53,3.68,6.02,6.88,4.65,-5.4,-12.56,-13.82,-10.2,-1.26,0.23,6.8,4.75,0.89
"45","36","  Permanent site","A943RW2",1.06,-3.4,11.35,8.16,-0.2,-11.38,-7.86,9.08,9.82,1.79,-2.4,-10.16,-2.04,-5.2,12.87,5.36,-0.41,3.48,0.45,-1.22,-0.81,-3.11,-4.2,4.78,2.17,3.96,-2.31,3.06,0.18,3.03,2.43,0.28,0.2,1.34,3.53,4.41,2.81,-3.51,-9.58,-9.96,-8.69,-0.66,-0.61,3.89,4.34,1.96
"46","37","    Single-family structures","A944RW2",-1.35,-3.15,8.21,4.9,-0.61,-6.17,-1.99,9.24,8.33,1.1,-3.63,-9.48,-1.79,-4.09,10.79,3.75,-0.2,3.26,2.07,-0.34,-0.8,-2.48,-3.18,5.35,2.77,3.28,-2.97,2.7,-0.1,3.07,2.15,0.34,0.04,1.15,3.42,4.12,2.43,-3.53,-9.08,-9.45,-7.13,1.1,-0.7,2.97,3.42,1
"47","38","    Multifamily structures","C292RW2",2.4,-0.25,3.13,3.26,0.41,-5.21,-5.86,-0.17,1.49,0.68,1.22,-0.68,-0.24,-1.12,2.08,1.61,-0.2,0.22,-1.62,-0.89,-0.01,-0.63,-1.01,-0.57,-0.6,0.68,0.66,0.36,0.27,-0.04,0.28,-0.06,0.15,0.19,0.1,0.3,0.38,0.03,-0.49,-0.51,-1.56,-1.76,0.09,0.92,0.92,0.96
"48","39","  Other structures","A863RW2",0.51,0.45,2.42,1.7,-0.35,-0.24,1.49,2.58,1.9,2.22,0.03,-1.66,-1.97,-2.66,3.58,2.17,1.51,2.82,0.64,0.65,-1.11,-1.74,-0.64,2.84,2.76,1.65,0.12,1.98,1.33,2.12,1.3,0.07,0.34,2.34,2.49,2.47,1.83,-1.89,-2.98,-3.86,-1.52,-0.6,0.84,2.91,0.41,-1.07
"49","40","    Manufactured homes","A945RW2",0.62,-0.13,0.98,0.84,0.2,-1.01,-0.83,0.4,0.41,0.07,0.01,-0.33,0.04,-0.09,0.5,0.03,-0.08,-0.21,-0.03,-0.07,-0.08,-0.08,-0.15,0.27,0.36,0.35,0.27,0.23,0.08,0.1,-0.11,-0.47,-0.27,0.05,-0.14,0.03,0.17,-0.16,-0.11,-0.15,-0.32,-0.01,-0.03,0.03,0.04,0.04
"50","41","    Dormitories","C295RW2",-0.12,-0.15,-0.09,-0.07,0.01,-0.02,0.06,-0.07,-0.05,0.02,-0.02,0.01,0.03,0.02,0.02,0.02,-0.01,0.01,0.05,-0.01,0.01,0.02,-0.11,0.02,0.04,-0.05,0.03,0.01,0.03,0.02,0.04,0,0.02,-0.01,0.02,-0.02,-0.02,0.03,0.06,0.08,-0.11,-0.1,0.07,0.09,0.09,-0.06
"51","42","    Improvements","A946RW2",-0.16,0.36,0.53,0.19,-0.73,0.68,1.37,1.19,0.56,1.28,0.3,0.16,-0.94,-1.58,0.63,1.43,0.76,2.23,0.61,0.18,-0.39,-1.11,-0.57,1.52,1.91,0.92,-0.01,0.67,0.28,0.17,0.57,0.45,0.3,0.9,0.69,0.29,0.39,-0.07,-0.47,-1.15,-0.4,-0.27,0.26,0.91,-0.97,-0.05
"52","43","    Brokers' commissions and other ownership transfer costs \5\","A758RW2",0.11,0.48,1.21,0.69,0.05,-0.09,0.46,1.03,1.04,0.89,-0.34,-1.47,-1.1,-0.98,2.39,0.77,0.92,1.03,-0.02,0.23,-0.59,-0.5,0.18,1.02,0.56,0.21,-0.14,1.16,1.05,1.91,0.83,-0.2,0.34,1.56,1.93,2.06,1.16,-1.61,-2.35,-2.55,-0.77,-0.09,0.22,1.88,1.22,-0.97
"53","44","    Net purchases of used structures","A759RW2",0.06,-0.11,-0.21,0.05,0.11,0.21,0.43,0.03,-0.07,-0.04,0.09,-0.03,-0.01,-0.02,0.05,-0.08,-0.09,-0.24,0.03,0.32,-0.06,-0.06,0.02,0,-0.1,0.23,-0.03,-0.09,-0.11,-0.1,-0.02,0.28,-0.04,-0.17,-0.01,0.1,0.15,-0.09,-0.11,-0.11,0.08,-0.13,0.32,0,0.03,-0.03
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","45","  Private fixed investment in new structures","W040RW2",3.91,-3.07,12.09,10.48,2.48,-12.69,-12.27,11.81,12.45,8.82,3.11,-7.68,1.35,-7.83,7.4,13.68,3.7,0.1,-0.16,-0.89,-0.41,-3.59,-10.16,3.83,4.33,5.84,0.31,6.15,3.26,5.56,2.98,3.24,-0.73,-4.29,2.83,4.5,3.76,-1.57,-5.71,-8.58,-19.38,-9.69,0.78,11.4,4.28,5.72
"56","46","    Nonresidential structures \6\","A771RW2",2.52,0.24,-0.69,1.35,3.19,-0.95,-5.01,1.21,1.7,5.66,5.23,2.64,4.25,-0.97,-6.62,6.84,3.43,-5.41,-1.24,0.24,0.86,0.7,-5.13,-2.76,-0.14,0.67,2.33,2.17,2.69,2.23,0.05,2.97,-0.96,-6.58,-1.27,-0.21,0.42,2.13,4.39,2.59,-9.86,-8.65,1.09,6.48,0.78,3.83
"57","47","    Residential structures \7\","A756RW2",1.4,-3.31,12.77,9.13,-0.71,-11.74,-7.26,10.6,10.75,3.16,-2.12,-10.32,-2.9,-6.86,14.02,6.83,0.27,5.51,1.08,-1.13,-1.27,-4.29,-5.03,6.59,4.47,5.17,-2.02,3.97,0.57,3.33,2.93,0.27,0.24,2.29,4.1,4.72,3.34,-3.71,-10.1,-11.17,-9.52,-1.04,-0.31,4.93,3.5,1.89
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","by power utilities for their own use. Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes buildings and structures used by the retail, wholesale and selected service industries.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Consists of auto dealerships, garages, service stations, drug stores, restaurants, mobile structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","and other structures used for commercial purposes. Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","5. Consists of brokers' commissions on the sale of residential structures and adjoining land, title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
