"","Table 6#19B# Corporate Profits After Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"13","6","  Mining","A3206BC0",497,693,695,497,1188,2624,2727,2548,1658,856,1891,4757,948,-2959,-4021,-3310,-5865,-5660,-2651
"14","7","    Metal mining","B3207BC0",18,107,-6,-27,245,306,-1,168,-36,-125,255,165,-19,-540,-368,-390,-866,-697,-689
"15","8","    Coal mining","B3208BC0",115,327,213,169,302,1414,1249,952,634,290,366,451,608,408,162,275,-62,153,182
"16","9","    Oil and gas extraction","B3209BC0",160,115,293,156,277,461,1098,1033,620,45,526,3358,-246,-3087,-4019,-3679,-5285,-5394,-2762
"17","10","    Nonmetallic minerals, except fuels","B3210BC0",205,144,194,200,364,443,381,395,440,646,744,784,605,261,206,484,347,277,618
"18","11","  Construction","B3211BC0",1136,1015,1267,1191,1200,1175,896,1402,2445,3746,4189,3453,1619,787,329,579,3658,4366,5738
"19","12","  Manufacturing","A3212BC0",25397,20545,24885,30342,40045,45721,42641,55063,61293,74164,82901,74463,84255,64968,65186,74601,72207,37246,62962
"20","13","    Durable goods","A3213BC0",13524,8952,12297,16762,21588,21424,18864,26246,31356,39068,38628,25995,25874,14364,22937,35890,33552,26156,35044
"21","14","      Lumber and wood products","B3214BC0",929,485,757,1082,1712,1191,885,1801,2310,3153,3124,1331,-122,-13,1578,1805,1093,1652,3579
"22","15","      Furniture and fixtures","B3215BC0",255,204,227,318,318,270,265,383,485,583,585,521,556,588,781,749,964,997,1041
"23","16","      Stone, clay, and glass products","B3216BC0",661,508,727,917,1100,989,911,1373,1686,1929,2200,1458,873,-834,972,1925,2327,2867,1821
"24","17","      Primary metal industries","B3217BC0",1108,704,765,1310,2240,4851,2391,2638,1610,3635,4675,3041,3092,-4072,-4040,-672,-887,322,2347
"25","18","      Fabricated metal products","B3218BC0",1273,834,1012,1500,2135,2596,2236,2838,3376,3854,4460,3515,3743,1783,2014,3257,3394,2981,3527
"26","19","      Machinery, except electrical","B3219BC0",2196,1933,2030,2936,3766,4106,4441,4969,6551,8182,8268,7395,8195,3865,3077,4210,4587,-795,2984
"27","20","      Electric and electronic equipment","B3220BC0",2253,1707,2101,2913,3513,3059,3362,3971,5540,6815,7033,7823,8202,4189,5989,7031,5066,4509,7593
"28","21","      Motor vehicles and equipment","B3221BC0",2840,1267,3437,4099,4601,2090,2024,5580,6905,7336,5239,-717,2123,1997,5844,8414,8601,5226,3114
"29","22","      Other transportation equipment","B3222BC0",881,436,372,513,794,974,837,851,890,1177,593,-576,-3759,4813,5237,6596,6198,7250,7380
"30","23","      Instruments and related products","B3223BC0",885,697,680,818,933,915,999,1272,1387,1724,1710,1744,2228,1469,1616,1988,1620,1089,1333
"31","24","      Miscellaneous manufacturing industries","B3224BC0",244,177,190,358,475,382,513,569,618,680,740,462,745,578,-129,585,589,59,326
"32","25","    Nondurable goods","A3225BC0",11874,11592,12587,13580,18457,24296,23777,28817,29937,35097,44273,48468,58380,50605,42249,38712,38655,11090,27918
"33","26","      Food and kindred products","B3226BC0",1706,1899,2133,2024,2757,3129,4261,4320,4382,4719,4542,4910,5128,4670,4673,4378,4218,3885,5653
"34","27","      Tobacco manufactures","B3227BC0",406,473,540,507,448,543,642,740,816,1158,1206,1348,1171,1279,1619,1794,1652,1602,1069
"35","28","      Textile mill products","B3228BC0",519,465,522,606,771,479,376,736,835,1180,1030,929,872,623,1064,713,700,1274,1430
"36","29","      Apparel and other textile products","B3229BC0",421,405,479,698,711,548,779,859,1010,1060,947,1131,1186,1343,1688,1061,815,1146,1304
"37","30","      Paper and allied products","B3230BC0",1024,822,773,1151,1681,2072,1578,2110,2126,2416,3317,2598,2529,2401,2179,2978,2613,2875,4054
"38","31","      Printing and publishing","B3231BC0",1298,1243,1369,1522,1790,1947,2173,2472,3099,3582,3691,3622,3884,3819,4191,4582,5142,4745,6141
"39","32","      Chemicals and allied products","B3232BC0",2774,2667,2926,3538,4515,5268,4971,6304,5927,6417,7298,6453,8225,5703,6451,7691,5875,4505,10686
"40","33","      Petroleum and coal products","B3233BC0",3052,3197,3166,2696,4747,9265,8020,10050,10353,13088,20697,26196,33746,29193,18425,13467,15402,-10177,-3887
"41","34","      Rubber and miscellaneous plastics products","B3234BC0",557,340,555,711,914,922,787,905,1163,1166,1207,843,1213,1159,1584,1741,2012,1166,1087
"42","35","      Leather and leather products","B3235BC0",116,81,125,127,123,124,189,321,227,308,337,440,424,414,374,307,227,69,381
"43","36","  Transportation and public utilities","A3236BC0",5895,4863,5613,6695,7142,8076,8758,14290,17223,20291,19781,20073,22670,23192,26709,33927,28280,23579,24071
"44","37","    Transportation","A3237BC0",13,-624,108,690,685,1733,-90,1791,2390,3052,3215,2045,475,-1544,1024,3388,552,-1037,-741
"45","38","      Railroad transportation","B3238BC0",-60,-395,-228,-93,-77,541,-187,211,492,172,830,1355,228,-248,401,1870,687,298,252
"46","39","      Local and interurban passenger transit","B3239BC0",50,11,-22,33,16,37,39,68,80,90,133,167,125,116,181,176,107,9,-13
"47","40","      Trucking and warehousing","B3240BC0",253,175,420,568,489,488,204,638,735,1056,1031,537,632,226,1081,1062,1536,1381,80
"48","41","      Water transportation","B3241BC0",3,-29,-44,-21,4,254,107,180,149,100,196,114,-49,-407,-425,-573,-774,-650,-206
"49","42","      Transportation by air","B3242BC0",-292,-471,-136,69,189,238,-370,486,790,1226,163,-806,-1213,-1867,-784,479,-1518,-2156,-996
"50","43","      Pipelines, except natural gas","B3243BC0",77,102,121,126,109,180,192,213,183,376,623,611,728,688,611,421,520,342,525
"51","44","      Transportation services","B3244BC0",-17,-17,-3,8,-43,-4,-75,-6,-40,32,239,68,22,-52,-40,-48,-5,-261,-384
"52","45","    Communication","A3245BC0",3229,3119,2950,3309,3732,4072,4467,6363,7466,9255,9510,9190,11156,11762,12823,14343,15000,16248,14615
"53","46","      Telephone and telegraph","B3246BC0",2703,2622,2505,2556,3134,3258,3657,4697,5287,6850,6913,7453,8561,9441,10410,11514,12870,15170,14045
"54","47","      Radio and television","B3247BC0",526,497,445,753,598,814,810,1666,2178,2405,2597,1737,2595,2321,2414,2829,2130,1078,570
"55","48","    Electric, gas, and sanitary services","B3248BC0",2653,2368,2555,2696,2725,2271,4381,6136,7367,7985,7056,8838,11039,12975,12862,16196,12728,8368,10197
"56","49","  Wholesale trade","B3249BC0",3382,3467,3827,6180,9916,13523,11769,11977,13698,16683,21063,20507,20761,16842,18914,22671,14068,13734,14915
"57","50","  Retail trade","B3250BC0",4464,4353,5173,5312,6321,6161,7273,8784,10651,12467,12041,10164,9626,11035,14421,15278,15940,14783,15882
"58","51","  Finance, insurance, and real estate","A3251BC0",7524,8276,10061,10994,11436,10431,10349,13973,19765,24582,23387,16010,10305,7144,15804,10227,14340,18705,21515
"59","52","    Banking","J3252C0",5394,5503,5354,5804,6319,7216,7865,8185,8091,9229,9854,8157,15702,34500,14812,14590,20211,23510,23835
"60","53","      Federal Reserve banks","B3253BC0",56,32,-45,113,135,131,228,2,172,639,154,92,369,40,357,379,-1450,-2288,-1490
"61","54","      Commercial and mutual banks","J3254C0",5338,5471,5399,5691,6184,7085,7637,8183,7919,8590,9700,8065,15333,34460,14455,14211,21661,25798,25325
"62","55","    Credit agencies other than banks","J3255C0",1385,1362,2012,2424,2868,2610,2509,3502,4637,5609,4452,-357,-14132,-31743,-707,-141,708,1149,4890
"63","56","    Security and commodity brokers","B3256BC0",-54,-275,-5,-16,114,12,198,-306,-222,180,-108,147,-457,-1070,-157,-1304,-600,-1322,223
"64","57","    Insurance carriers","B3257BC0",619,1613,2668,3132,2682,1240,653,3194,6555,7884,7666,7824,8431,5881,1989,-1808,-7010,-6407,-4877
"65","58","    Insurance agents, brokers, and service","B3258BC0",201,290,337,309,371,365,433,459,943,977,979,897,935,839,593,650,891,1271,2291
"66","59","    Real estate","B3259BC0",520,256,348,88,-97,-416,-339,166,1028,1124,1020,-252,-1651,-2320,-1469,-2882,-3843,-4214,-2577
"67","60","    Holding and other investment offices","B3260BC0",-542,-473,-654,-748,-821,-596,-970,-1228,-1266,-421,-476,-405,1476,1056,742,1122,3983,4718,-2269
"68","61","  Services","A3261BC0",1670,1203,1636,2464,3385,3306,3525,5845,7824,8947,10374,10395,12365,12250,11120,10293,9902,9200,8566
"69","62","    Hotels and other lodging places","B3262BC0",121,18,-26,58,20,-100,-40,118,218,493,600,504,324,189,150,-163,-386,-854,-930
"70","63","    Personal services","B3263BC0",198,159,167,199,216,295,303,349,370,430,473,471,525,615,511,576,422,367,585
"71","64","    Business services","B3264BC0",261,196,368,579,902,560,848,1167,2013,2089,2177,1987,2353,2763,2001,2721,2368,2520,2553
"72","65","    Auto repair, services, and parking","B3265BC0",116,63,65,107,165,134,163,275,350,303,244,229,283,220,243,44,-256,-10,-289
"73","66","    Miscellaneous repair services","B3266BC0",55,47,41,58,64,118,105,117,167,215,180,204,264,171,176,291,234,311,403
"74","67","    Motion pictures","B3267BC0",297,18,71,179,55,67,83,787,647,633,1100,574,629,487,-31,-704,-826,-587,-1166
"75","68","    Amusement and recreation services","B3268BC0",103,112,146,76,157,218,216,309,436,473,471,415,450,225,-67,-696,-286,192,-129
"76","69","    Other services","A3269BC0",518,590,805,1208,1806,2013,1846,2724,3623,4311,5130,6011,7537,7579,8137,8225,8631,7260,7539
"77","70","      Health services","B3270BC0",140,283,430,643,982,1252,1247,1677,2084,2574,3109,3844,4791,4927,5237,5084,5221,4271,4141
"78","71","      Legal services","B3271BC0",-1,-34,53,61,102,118,130,178,220,281,405,422,585,881,980,1005,996,1203,1339
"79","72","      Educational services","B3272BC0",29,78,76,103,204,230,209,293,319,417,362,487,440,467,393,429,303,24,145
"80","73","      Other \1\","B3273BC0",352,262,246,401,518,413,260,576,1000,1039,1254,1257,1721,1305,1527,1706,2111,1761,1914
"81","74","Rest of the world \2\","A3274C0",6595,7100,7855,9534,14898,17469,14631,16548,19113,22869,34611,35471,29679,32587,35056,36569,38098,39474,48009
"82","75","  Receipts from the rest of the world","B3275C0",8047,8656,9781,11751,17575,20398,17906,20938,23790,29001,42560,43845,38078,36670,41103,46104,46799,48717,58922
"83","76","  Less: Payments to the rest of the world","B3276C0",1452,1556,1926,2217,2677,2929,3275,4390,4677,6132,7949,8374,8399,4083,6047,9535,8701,9243,10913
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services, membership organizations, and miscellaneous professional services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","2. Consists of receipts by all U.S. residents, including both corporations and persons, of dividends",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of their incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","foreign affiliates, and earnings of unincorporated foreign affiliates (line 75), net of corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","payments (line 76).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
