"","Table 7#9# Rental Income of Persons by Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"12","5","    Farm tenant-occupied housing owned by farm operator landlords","W156RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2
"13","6","  Farms owned by nonoperator landlords \1\","B1437C1",1.6,1.6,1.5,2.3,3.6,3.1,3.1,2.6,2.6,3.2,3.9,4,3.9,3.6,3.3,4.9,4.5,3.4,4.3,3.8,4.3,4.5,4.3,4.6,4.9,4.7,4.8,5.2,5.6,5.4,5.2,4.6,4.6,4,4.4,4.2,4.4,3.8,3.8,4.8,4.9,6.3,6.3,8.1,8.9,8.7
"14","7","  Nonfarm nonresidential properties \2\","B1438C1",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,1,1.1,1.5,1.5,1.2,1,0.8,0.6,0.9,1.1,1.2,1,1.3,1.5,1.4,1.4,1.1,1.2,0.4,0.2,0.3,0.2,-0.1,0,0,-0.5,-0.1,-0.1,-0.2,-0.2,-0.5,-0.6
"15","8","  Royalties","B1439C1",1.2,1.4,1.4,1.6,2,2.9,3.3,3.9,3.7,4.1,4.7,6,8.7,9.4,8.6,9.5,10.1,7.3,5.6,5.6,5.9,6.5,7,7.2,7.1,7.2,7.2,8.6,9.5,8.3,9.1,11.1,14.5,10.9,14.6,16.7,21.7,23.2,24,35.8,21.1,25.2,29.8,32.7,32.9,32.9
"16","9","Households and nonprofit institutions","W157RC1",14.4,14.5,15.6,15.5,14.7,14.9,14,12.1,7.2,7.3,5.9,6,6.3,2.9,2.2,-0.2,-3.1,-8.3,-8.7,-2.5,-2.2,1.1,7.1,21.4,44.4,64.3,71.2,85.6,88.2,105,119,124.6,139.1,151,170,185,162.9,129.4,102,153.4,224.1,276.1,336.2,365,403.5,443.2
"17","10","  Nonfarm owner-occupied housing","A2217C1",13.2,13.2,14.1,13.7,13,13.3,12.5,10.7,5.7,5.8,4.3,4.3,4.5,1.1,0.4,-1.8,-4.6,-9.6,-10.1,-4,-4,-1,4.6,18.3,40.7,59.9,66.3,80.4,83,99.5,113.5,118.2,132.4,143.9,163,176.3,153,119.2,92,143,212.3,263.4,321.4,351.1,388.1,427.4
"18","11","    Permanent site","B1434C1",12.9,12.9,13.8,13.3,12.6,12.9,12.1,10.3,5.2,4.7,3.2,3.3,3,-0.2,-1.2,-3.6,-6.8,-12.4,-13.1,-7.7,-8.5,-6.8,-3.2,9.6,32.6,52.6,60.3,74.8,77.6,94.6,108.8,111.9,120.3,129.2,147.4,160.5,139.1,108.7,82.9,134.3,202.5,253.3,310.8,340,378.3,417.4
"19","12","    Manufactured homes","B1435C1",0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.5,1.1,1.2,1,1.6,1.3,1.7,1.8,2.2,2.7,3,3.7,4.6,5.8,7.8,8.7,8,7.2,5.9,5.6,5.4,4.8,4.6,6.4,12.1,14.7,15.6,15.8,13.9,10.5,9.1,8.6,9.8,10.1,10.5,11,9.8,10
"20","13","  Farm owner-occupied housing owned by farm operators","W158RC1",1.2,1.3,1.4,1.6,1.5,1.5,1.4,1.3,1.3,1.4,1.4,1.3,1.3,1,0.8,0.7,0.4,0.2,0.2,0.4,0.7,0.9,1.2,1.5,2,2.3,2.2,2.3,1.9,1.8,1.7,2.6,2.4,2.4,2.4,3.9,5.1,5.2,4.4,4.3,4.4,4.7,5.6,4.3,5.8,5.8
"21","14","  Tenant-occupied housing owned by nonprofit institutions","W159RC1",NA,NA,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.5,0.8,0.9,1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.6,1.8,2.1,2.6,2.9,3.2,3.7,3.8,3.8,4.3,4.7,4.7,4.8,4.9,5,5.6,6.2,7.3,8,9.2,9.6,9.6,10.1
"22",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Rental income with capital consumption adjustment (1-8)","A2215C1",19.2,19.4,20.5,21.3,21.3,20.4,19.2,16.7,12.5,12.8,11.8,13.7,16.7,16.7,18.9,18.4,19.4,14.6,14.6,19.5,18.5,24.8,35,57.1,86.5,110.3,122,138.4,142.5,161.5,174,176.6,193,206.4,223.4,238.7,216.7,184.4,165.4,226.4,312.6,377.6,455.4,492.6,530.5,578
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","1. Includes housing, service structures, and land.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2. Includes rental income of private employee pension funds imputed to persons.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
