"","Table 1#9#3# Real Net Value Added by Sector, Quantity Indexes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","4","  Farm","A365RA3",16,16.486,17.503,17.374,16.968,16.361,20.114,18.749,19.863,18.735,20.721,19.707,29.561,31.974,16.667,27.329,37.277,35.96,37.23,32.202,38.595,42.433,42.782,52.536,44.767,57.99,42.421,51.317,58.864,54.393,57.702,74.159,66.433,70.229,80.773,87.471,93.29,93.35,72.408,81.703,100,101.063,94.852,79.701,101.82,103.143
"12","5","Households and institutions","W503RA3",35.186,35.715,37.325,38.729,39.892,41.508,42.913,43.186,43.054,44.748,46.114,47.705,48.77,50.385,52.184,53.712,55.067,56.774,59.113,62.415,64.873,66.937,68.286,70.104,73.856,76.235,78.527,79.924,82.198,84.694,86.607,89.79,91.357,92.179,93.33,94.929,97.16,97.615,96.801,99.89,100,101.087,102.343,103.274,103.958,105.407
"13","6","  Households","W504RA3",34.737,35.508,37.333,38.878,40.055,41.987,43.142,43.369,42.639,45.036,46.122,47.774,48.435,49.007,50.342,51.838,53.955,54.824,56.385,58.708,60.325,61.391,62.429,64.161,67.436,70.994,73.603,74.896,76.767,78.44,81.512,85.309,88.065,87.871,89.654,92.761,97.269,98.825,96.691,100.422,100,100.979,101.935,101.655,102.714,105.354
"14","7","  Nonprofit institutions serving households \3\","W505RA3",35.664,35.765,37.005,38.171,39.302,40.439,42.186,42.521,43.231,43.941,45.67,47.167,48.758,51.796,54.232,55.789,56.093,58.936,62.323,66.933,70.522,73.944,75.71,77.631,82.001,82.779,84.633,86.159,88.963,92.564,92.892,95.243,95.243,97.383,97.727,97.482,97.041,96.241,96.921,99.275,100,101.212,102.815,105.135,105.393,105.517
"15","8","General government \4\","A194RA3",68.264,68.284,68.383,68.333,68.734,70.365,71.555,72.101,72.788,74.24,74.922,75.857,75.968,76.478,76.516,76.952,78.73,80.13,81.356,83.16,84.841,86.715,87.174,87.202,87.202,87.175,87.239,87.312,87.946,88.886,89.488,90.906,92.505,94.226,95.142,95.338,95.713,95.94,96.826,98.503,100,100.133,99.07,98.239,97.126,97.179
"16","9","  Federal","B568RA3",120.073,113.663,108.013,102.736,98.972,99.356,98.902,99.051,99.174,100.505,99.93,101.23,102.304,103.298,104.858,105.896,107.371,107.196,108.431,108.275,108.45,109.582,109.223,105.567,102.567,98.133,93.322,89.914,87.676,86.381,85.196,85.914,86.211,88.207,90.909,91.568,91.697,90.865,90.891,94.298,100,103.65,103.824,102.779,99.395,98.123
"17","10","  State and local","B251RA3",51.015,53.258,55.427,57.331,59.34,61.499,63.344,64.053,64.965,66.497,67.648,68.472,68.242,68.589,68.092,68.33,70.236,72.176,73.41,75.849,78.014,80.123,80.829,81.959,82.843,84.106,85.601,86.706,88.196,89.801,90.932,92.559,94.543,96.184,96.537,96.584,97.039,97.62,98.793,99.892,100,98.973,97.499,96.74,96.366,96.848
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1. Equals net domestic product excluding net value added of households and institutions and of general",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2. Equals net domestic business value added excluding net farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","3. Equals gross value added of nonprofit institutions excluding consumption of fixed capital on fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","assets owned and used by nonprofit instututions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","4. Equals compensation of general government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
