"","Table 3#16# Government Current Expenditures by Function","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"12","5","  Interest payments \2\","G160051",34,41,44.6,48.7,55.5,62.2,69.2,76.4,84.5,100.1,114.9,133.1,162.7,186.9,206.5,237,261,276,285.8,303,332,350.9,371.9,380.5,383.7,392.6,428.9,432.3,435.8,427,410,405.8,396.7,387,407.8,416.6,456.2,492.4,529.8,515,542.4,572.7,616.4,624,616.2,621.4
"13","6","  Other \3\","G160061",3.9,4.5,5.4,6.1,7.8,9.9,11.1,12.3,14.1,15.3,16.8,19,20.3,21.2,23.7,25.1,27.5,29.5,32.7,33.5,36.5,38.9,40.5,44.7,45.9,47.5,48.4,49.9,53,57.9,62.3,66.4,72.3,76.5,78.1,80.4,89.7,99,100.8,102.5,106.2,107.4,105.8,106.3,107.8,110.3
"14","7","National defense","G160071",85.2,84.5,85.9,88.9,87.1,91.5,96.5,98.5,105.1,113.2,123.4,141.5,163.6,185.2,199.8,213.7,230.6,245.9,259.2,274.2,283.5,295.5,311.1,308.5,301.9,295,291.3,292,292.8,288.7,301.5,308.5,325.2,358.5,409.4,446.9,476.3,500.8,526.5,583.3,613.8,653.6,662.7,654.5,615.1,600.6
"15","8","Public order and safety","G160081",10.3,11.8,13.7,15.4,17.1,19.4,22.1,23.9,26.1,28.9,32.1,35.6,39.9,44.4,48.5,52.6,58.3,63.4,68.7,75.8,84.9,94.3,103.2,113.3,122.1,131,140.1,149.2,157.2,167.4,182.3,197.5,214.4,228.9,237.5,252.7,266.2,281.7,300.7,321.6,328.8,331.8,336.2,342.9,344.2,353.7
"16","9","  Police","G160091",5.1,5.8,6.8,7.7,8.5,9.5,10.7,11.5,12.5,13.7,14.9,16.3,18.2,20,21.6,23.2,25.5,27.2,29,31.6,34.7,38,41.6,45.8,50,52.6,55.5,59.8,64.1,68,73.4,79.2,85.5,92.5,98.1,106.2,111.8,118,126.9,137.7,141.5,145.2,149.1,155.9,157.2,162
"17","10","  Fire","G160101",2.2,2.5,2.8,3,3.3,3.6,4.2,4.4,4.8,5.2,5.7,6.3,7,7.8,8.4,9,9.8,10.8,11.6,12.1,13.4,14.6,15.6,17.4,17.9,18.9,19.7,20.6,21.5,22.9,24.5,26.7,28.4,30.7,32.4,34.6,36.9,39.9,42.7,45.9,47.8,48.5,49.6,50,50.9,52.2
"18","11","  Law courts","G160111",1.6,1.8,2.1,2.4,2.7,3.1,3.6,3.9,4.3,4.9,5.6,6.5,7.2,7.9,8.5,9.1,10,10.6,11.5,13.3,15,16.9,18.7,20.3,22.6,23.6,25.8,26.9,28.6,31.1,34.2,36.6,40.1,43.1,42.8,44.7,46.9,49,51.5,54.1,55.3,55.7,55.5,55.2,53,53.8
"19","12","  Prisons","G160121",1.5,1.7,2,2.3,2.6,3.2,3.7,4.1,4.6,5.1,5.8,6.6,7.5,8.8,10,11.3,13,14.7,16.6,18.8,21.7,24.8,27.2,29.8,31.6,35.9,39.1,41.9,43.1,45.4,50.2,55.1,60.3,62.6,64.2,67.2,70.5,74.8,79.7,84,84.2,82.4,82.1,81.8,83,85.7
"20","13","Economic affairs","G160131",26.2,28,30.9,34.6,35,37.4,44.1,46.4,51.4,59.1,62.3,71.8,81.5,86.7,98.4,96.6,103.8,113.8,117.9,112.8,119.1,125.7,129.6,139.1,147.1,147.8,151.6,154.9,162.7,170.6,189.8,203.8,226.1,219.8,232.8,237.5,259.1,264.5,276.9,295.7,310.1,321.8,316.4,320.5,320.7,324.1
"21","14","  Transportation","G160181",11.3,12.7,14,15.1,16.7,19.8,22.7,23.7,25.4,27.6,30.4,34.3,37.6,40.6,42.6,44.3,46.7,48.3,49.8,52.4,54.4,57.6,61.3,64.4,66.7,70.5,72.3,75,79.4,82.6,87.3,92.7,103.9,106.6,114.7,117.1,125.7,134.3,143.8,154.8,157.8,161.3,164.7,169.1,170.4,174.2
"22","15","    Highways","G160191",9.1,10.1,11,11.8,13,15.7,17.6,18.1,18.9,20.5,22.4,25.4,28.5,31.2,32.2,33.5,35.7,38,39.5,40.9,42.7,45.5,48,50.2,52.3,55.4,58,60.5,63,66,70.9,75.4,79.7,83.3,86,90.3,98.1,105.4,115.1,122.9,124.3,125.3,130.3,133.9,136.7,140.1
"23","16","    Air","G160201",1,1.3,1.5,1.5,1.6,1.8,1.9,2,2.2,2.3,2.4,2.6,2.7,2.7,3.4,3.6,4.1,4.1,4,4.5,4.8,5.1,5.4,6.1,6.1,6,5.7,6.1,8.1,8.3,8.4,8.6,14.7,14.1,18,15.2,15.5,16.6,16.8,18.3,18.9,19.7,19,19.9,19,19
"24","17","    Water","G160211",1.1,1.2,1.4,1.5,1.7,1.9,2,2.1,2.3,2.6,3,3.3,3.6,3.9,4.4,4.7,4.7,4.4,4.6,4.9,5,5.3,6,6,6.1,6.2,6,6.1,6,6.4,6.6,7.2,7.6,7.1,8.7,9.4,9.8,10.2,9.9,11.4,11.9,13,12.4,12.6,12,12.3
"25","18","    Transit and railroad","G160221",0.1,0.1,0.2,0.3,0.4,0.5,1.2,1.5,2,2.1,2.6,3.1,2.8,2.9,2.5,2.5,2.2,1.8,1.8,2,1.9,1.7,1.8,2.2,2.3,2.8,2.5,2.3,2.3,1.8,1.5,1.6,1.8,2.1,2,2.2,2.3,2.1,2,2.2,2.7,3.4,3,2.7,2.6,2.7
"26","19","  Space","G160241",1.8,2.2,2.6,2.6,2.6,3.2,3.6,3.4,3.4,3.5,3.8,4.7,5.4,6.1,7,7.3,7.6,7.3,7.8,8.9,10.4,11.6,12,12.1,12.8,12.5,12.7,13.5,14.3,13.9,13.6,13.8,14.4,13.8,14.3,15.6,15.7,15.7,17.9,19.9,21.2,20.6,17.9,17.5,16.7,19.4
"27","20","  Other economic affairs","W690RC1",13.1,13.2,14.3,16.9,15.8,14.4,17.8,19.3,22.6,28,28.1,32.7,38.5,40.1,48.8,44.9,49.5,58.3,60.2,51.5,54.3,56.5,56.3,62.6,67.6,64.9,66.6,66.4,69,74.2,88.9,97.3,107.7,99.3,103.9,104.8,117.7,114.5,115.2,121,131.2,140,133.8,133.9,133.7,130.5
"28","21","    General economic and labor affairs","G160141",4.4,4.8,5.9,6.7,7.2,7,7.6,8.9,9.6,11.4,12.4,14.5,14,13.7,13.2,13.5,15,15.7,17.2,17.9,20.2,23.7,21.6,24.1,21.5,21.8,23.5,24.5,25.4,26,27.6,32.1,33.1,30.6,30.6,31.7,34.2,35.2,37,40.4,49.6,47.9,54.6,54.6,55.9,53.8
"29","22","    Agriculture","G160151",6.8,6.1,5.7,7,5.5,3.2,4.4,4.3,5.6,7.4,6.1,8,8.8,12.7,20.3,15.9,19.3,28.1,27.6,18.1,19,16.9,17.7,19.7,23.7,17.4,16.4,16.6,18.3,22.4,33.5,35.9,36.7,27.9,31.1,27.4,38.6,32.2,26.5,27.7,27.1,30.7,25.8,25.8,25.6,25.4
"30","23","    Energy","G160161",0.5,0.5,0.6,0.7,0.7,1.4,2.3,2.7,3.7,5.2,4.5,4.5,8.7,6.1,6.8,6.8,6.2,5.2,5.5,5.5,4.8,5,4.7,5.7,9.9,9.9,11.2,9.1,8.7,8.1,9.7,8.6,15.8,12.8,14.7,16.3,14.1,14.7,14.8,16.3,17.1,22.5,16,15.8,15.7,14.8
"31","24","    Natural resources","G160171",1.4,1.9,2.1,2.4,2.4,2.8,3.5,3.4,3.7,4,5.2,5.7,7.1,7.6,8.6,8.7,9.5,9.5,9.8,10.6,10.8,11.6,12.9,13.4,12.5,15.9,15.6,16.3,16.5,17.7,18.1,20.6,22.1,28,27.2,29.1,30.5,32.3,37,36.5,37.4,38.9,37.5,37.8,36.6,36.6
"32","25","    Postal service","G160231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,-0.6,-0.3,0.1,-0.5,-0.5,-0.7,-0.5,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","26","    Other \4\","G160251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,0,0,0,0,0.1,0,0,0,0.2,0.3,0.3,0.1,-0.1,0,-0.1,-0.1,-0.1,-0.1,-0.1,0
"34","27","Housing and community services","G160261",1.6,2.1,2.8,3.3,3.7,4.3,4.8,5.1,5.7,6.5,7.5,8.8,10.3,12.1,13,13.7,15.2,15.6,16,17.7,19.6,21.5,23.5,25.1,27.8,28.6,31,32.1,31.1,29.7,29.8,28.1,30.2,34.5,36.9,38.8,43.1,41.6,48.9,45,46.1,46.1,47.3,46.5,46.9,47.7
"35","28","Health","G160271",21.1,24.2,27.6,31.5,36.1,42.3,50.2,55.6,62.5,70.3,78.7,92,105.7,117.2,129.6,142.4,153.8,165.1,178.5,193.3,217.4,245.2,282.1,319.3,347.6,374.2,403.4,428.7,447.2,456.2,475.8,505.9,569.2,618,657.2,714.4,770.3,838.3,905.8,970.6,1044.9,1097,1135.9,1170.2,1212.3,1310.5
"36","29","Recreation and culture","G160281",1.7,1.9,2.2,2.4,2.7,3.2,3.5,3.8,4.1,4.6,5,5.5,6,6.3,6.7,7.7,8.1,8.7,8.9,9.6,10.6,11.7,12.6,13.5,13.9,14.8,15.5,16,16.6,17.7,18.8,20.5,22.3,24.6,25.2,26.6,28.3,30.3,32,33.6,33.9,34,33.3,33.7,34.2,35
"37","30","Education","G160291",42.4,49.5,56.6,63.1,68.6,76.8,89.9,96.5,103.1,110.3,120.9,131.8,143.2,151.9,161.2,173.5,187.7,202,216.4,232,254.5,276,291.9,309.9,327.6,344.1,364.6,380.9,401,426.7,455.3,491.1,528.4,547.2,570.4,606.1,637,671.2,714,755.1,780.2,816.4,824,829.3,838.4,854.7
"38","31","  Elementary and secondary","G160301",32.8,37.5,42.4,46.9,50.8,56.1,63.7,69.1,74.6,80.1,88.3,95.8,102.9,109.9,117.3,127.8,138.2,150.5,163,174.8,190,206.7,219.6,233.7,244.1,255.5,271.1,285.1,300.9,319.6,342,368.5,392.6,409.7,433.8,458.8,481.5,509.2,537.7,563.7,573.9,583.9,581.5,581.1,587.3,595.3
"39","32","  Higher","G160311",6,7.4,8.6,9.5,10.5,12.3,15.3,16.9,18.8,20.2,22.6,25.8,29.2,30.7,32.4,33.7,36.6,38,39.3,42.4,48.1,51.4,53,55.4,60.8,63.9,66.3,67.6,71.1,76.5,80.6,86.6,96.3,93.4,90.2,97.5,102.2,107.3,119.5,131.2,142,158.3,163.7,166,168.3,173.9
"40","33","  Libraries and other","W691RC1",3.5,4.6,5.6,6.6,7.4,8.4,10.8,10.5,9.8,10,10,10.3,11,11.2,11.4,12,12.9,13.5,14.2,14.8,16.4,17.8,19.4,20.9,22.7,24.8,27.1,28.2,29,30.6,32.6,36.1,39.4,44,46.4,49.8,53.3,54.7,56.8,60.2,64.3,74.2,78.8,82.2,82.8,85.4
"41","34","    Libraries","G160321",0.6,0.7,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.7,1.8,2,2.2,2.4,2.6,2.9,3.1,3.3,3.6,3.9,4.2,4.5,4.6,4.9,5.2,5.5,5.9,6.2,6.7,7.2,7.7,8.1,8.5,9.1,9.6,10,10.7,11.5,11.7,11.6,11.3,11.4,11.6,11.9
"42","35","    Other","G160331",2.9,3.9,4.8,5.8,6.5,7.4,9.7,9.3,8.5,8.6,8.5,8.6,9.2,9.2,9.3,9.7,10.3,10.7,11.1,11.5,12.8,13.9,15.1,16.3,18,19.9,21.9,22.7,23.1,24.3,26,28.9,31.7,35.9,38,40.6,43.7,44.6,46.1,48.7,52.6,62.6,67.4,70.8,71.2,73.5
"43","36","Income security","G160341",47.5,58.7,69.9,77.4,88.6,104.7,132.1,142.9,151.9,160.3,178.6,213.3,238.8,265.7,283.2,284.9,299.6,315.2,324.6,343.9,368.8,403,446.4,494,513.7,530.5,551.3,569.7,583.2,601.1,624.7,657.3,701,768.8,808.1,836.9,880.2,922.4,966.3,1134,1242.8,1346.9,1336.4,1319.5,1348.6,1363.6
"44","37","  Disability","G160351",9,10.1,11.6,13.2,15.3,17.3,19.6,22.1,24.7,26.6,29.9,32.8,36.2,37.9,39,39.9,41.7,43.2,45,47.4,49.9,54,58.8,63.7,69.5,71.4,74.7,80,82.7,85.2,87.5,93.2,103.7,115.4,123.3,134.7,145.6,153.6,161.8,169.8,186.4,199.1,208.1,219.7,229.8,235.8
"45","38","  Retirement \5\","G160361",25.8,30.7,35.6,39.6,48.5,54.6,61.9,69.3,76.9,84.4,94.9,109.8,129,144.6,155.5,163.9,173.5,183.2,190.2,202.3,215,230.2,247.9,262.4,273.5,286.4,299.6,309.6,322.7,334.1,343.1,361.5,378.4,394.7,408.4,422.6,441.5,467.9,495.4,521,581.5,586.4,605.8,651.2,685.5,720.7
"46","39","  Welfare and social services","G160371",10.2,13.4,16.3,18.3,19.7,25.1,30.3,32.9,34.9,36.9,41.2,48.6,52.9,54.1,58.5,61.4,64.7,67.9,70.4,74.8,80.8,90.7,102.1,113.9,120.6,127,129.8,129.3,127.4,130.6,136.2,142,151.1,162.6,175.5,178.4,190.6,192.9,201.3,231.7,248.1,264,265.8,267.8,269.9,267.7
"47","40","  Unemployment","G160381",2.3,4.1,5.9,5.8,4.5,6.9,17.7,16.3,13,10.1,10.2,18.4,16.9,25.6,26.5,16.1,16.2,16.8,14.9,13.5,14.7,18.5,27.3,39.5,34.7,24.2,22.1,22.7,20.5,20.2,21,21,32.8,54.2,53.6,38.2,32,31,33.5,52.2,141.4,150.2,107.6,83.8,62.1,35.5
"48","41","  Other","G160391",0.3,0.4,0.4,0.5,0.6,0.8,2.5,2.3,2.5,2.3,2.4,3.7,3.8,3.6,3.6,3.6,3.6,4.1,4.1,5.9,8.4,9.6,10.4,14.5,15.4,21.5,25.2,28.2,29.9,31,37,39.6,35,42,47.2,63,70.6,77,74.2,159.3,85.4,147.2,149.2,96.9,101.3,103.9
"49","42","      Federal","W013RC1",196.9,219.9,241.5,267.9,286.9,319.1,373.8,402.4,435.8,483.7,531.5,619.9,706.9,783.3,849.8,903.5,971.3,1030.6,1062.7,1119.8,1199.1,1288.5,1354,1487,1542.8,1583,1658.2,1714.8,1758.5,1787,1838.8,1911.7,2017.4,2141.1,2297.9,2426.6,2608.2,2764.8,2932.8,3213.5,3487.2,3772,3818.3,3789.1,3782.2,3896.7
"50","43","General public service","G160411",32.6,39.9,43.2,49.1,59.2,64.7,70.5,78.9,86.4,100.3,112.7,130.8,154.1,175.8,190.9,219.8,244.2,257.4,258.6,275.3,297.5,319.3,297.6,346.6,349.8,358.1,386,397.9,403,403,392.8,395.9,373.2,353.3,360.3,373.4,423.4,446.2,492.6,479.8,456.5,488.3,537.3,532.3,521.7,542.9
"51","44","  Executive and legislative","G160421",3.9,4.8,6,7,6.4,7.3,9.2,10.3,9.6,10.1,10.8,12.5,12,14.1,13.5,16.4,19.6,22.9,19.3,19.4,19.3,21.1,-16.9,28.5,29.3,28.3,24.5,29.3,27.5,28.5,30.2,33.4,29.6,39,56.6,55.7,67,60.9,70.7,76.2,87.8,90.5,98.6,94.5,90.8,90.3
"52","45","  Tax collection and financial management","G160431",1.3,1.7,2,2.3,2.5,2.8,2.8,2.9,3.3,3.5,3.6,3.9,4.2,4.4,5.3,5.2,6,6.3,6.9,8,8.5,9.3,10.1,11.2,9.1,8.9,9.2,8.6,9.9,9,10.4,8.8,12.4,11.6,11.1,11.6,11.9,13,13.7,15.6,15.1,17.1,13,15,14.8,12.6
"53","46","  Interest payments \2\","G160441",27.5,33.3,35.2,37.6,43.3,48,52.5,58.9,65.3,79.1,91.5,107.5,133.4,152.7,167,193.8,213.7,224.2,232.3,247.9,269.7,289,304.4,306.9,311.4,320.8,352.3,360,365.6,365.6,352.2,353.7,331.2,302.7,292.6,306.1,344.4,372.3,408.2,388,353.6,380.6,425.7,422.9,416.1,440.1
"54","47","  Other \6\","G160451",NA,NA,0,2.1,7,6.6,6.1,6.9,8.3,7.6,6.9,6.8,4.5,4.6,5.1,4.4,4.8,4,0.1,0,0,-0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","48","National defense","G160461",85.5,84.7,86.1,89.1,87.4,91.8,96.8,98.9,105.6,113.8,124,142.3,163.7,185.3,199.8,213.9,230.8,246.1,259.4,274.4,283.7,295.7,311.3,308.8,302.2,295.3,291.7,292.4,293.1,289,301.8,308.8,325.7,358.9,409.9,447.5,476.8,501.4,527.1,583.9,614.6,654.4,663.3,655.2,615.7,601.2
"56","49","Public order and safety","G160471",0.6,0.8,1.1,1.5,1.8,2.2,2.5,2.7,2.8,2.8,3.1,3.4,3.4,3.4,3.8,4.2,4.6,5.1,5.6,6.6,7.4,8,9.4,10.8,12.8,13.6,14.6,15.9,17.2,18.8,20.9,24.4,27,29.5,31.7,35.5,38.9,41.6,43,48.6,52.9,54.9,55.9,61.9,57.9,58.7
"57","50","  Police","G160481",0.3,0.5,0.7,1,1.2,1.2,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.5,1.9,2.1,2.4,2.4,2.7,3.3,3.5,3.7,4.4,5.1,7.3,7.1,6.6,7.8,10,11.6,12.4,14.6,15.6,16.6,19.7,23.3,26.1,27.6,28.9,33.5,36.5,37.8,39.1,44.5,42.7,43.1
"58","51","  Fire","G160491",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.2,0.4,0.7,0.2,0.2,0.7,0.5,0.7,1.1,1,1,0.9,0.8,0.8
"59","52","  Law courts","G160501",0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.7,0.7,0.8,1,1.2,1.3,1.3,1.4,1.6,1.8,1.9,2.2,2.3,2.7,3.1,3.8,4.2,4.3,4,5.1,5.1,5.4,5.7,6.4,6.6,7.3,8.4,6.6,6.6,7.1,7.4,7.8,8,8.7,9.3,9.1,9.3,7.3,7.4
"60","53","  Prisons","G160511",0.1,0.1,0.2,0.3,0.3,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.7,0.7,0.9,1.1,1.1,1.2,1.5,1.2,2.5,2.9,2.9,1.6,1.4,2.2,3.1,4,4.2,4.7,5.2,5.5,5.8,5.8,6.4,6.7,6.9,6.7,7.2,7.1,7.5
"61","54","Economic affairs","G160521",15.7,16.4,18.4,22.2,21.1,20,26.3,28.5,33.7,43.7,41.9,46.1,50.5,49.6,59.7,56.1,60.1,67.1,68.4,61.2,64.4,67.4,67.8,73.6,79.2,77.2,77.2,76.7,80.7,84.4,96.9,104.4,111.9,107.1,119.1,119.2,131.8,128.2,128.4,137.7,152,166.8,160.1,158.5,152.4,150.4
"62","55","  Transportation","G160571",2.3,2.7,3.1,3.5,3.8,4.3,5.3,5.7,6.6,7.1,7.9,9,9,9.3,10.2,10.8,11,10.3,10.5,11.4,11.7,12.2,13.3,14.4,14.8,16.1,15.1,15.3,16.7,16.8,16.7,17.5,24.3,23.5,29,27.2,28.5,29.9,29.6,32.8,34.5,37,35.8,36.2,34.4,34.6
"63","56","    Highways","G160581",0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.7,1.5,1.1,1,0.7,0.7,0.7,0.6,0.7,0.7,0.8,0.8,1.3,1.3,1.3,1.3,1.3,1.3,1.7,1.3,1.1,1
"64","57","    Air","G160591",1,1.3,1.5,1.5,1.6,1.8,1.9,2,2.2,2.3,2.4,2.6,2.7,2.7,3.4,3.6,4.1,4.1,4,4.5,4.8,5.1,5.4,6.1,6.1,6,5.8,6.1,8.1,8.3,8.4,8.6,14.7,14.1,18,15.2,15.5,16.6,16.8,18.3,18.9,19.7,19,19.9,19,19
"65","58","    Water","G160601",1.1,1.2,1.4,1.5,1.7,1.9,2,2.1,2.3,2.6,3,3.3,3.6,3.9,4.4,4.7,4.8,4.4,4.6,4.9,5,5.4,6,6,6.1,6.2,6,6.1,6,6.4,6.6,7.2,7.6,7.1,8.7,9.4,9.8,10.2,9.9,11.4,12,13.1,12.6,12.7,12.2,12.4
"66","59","    Transit and railroad","G160611",0,0.1,0.1,0.3,0.3,0.3,1.1,1.3,1.8,1.9,2.3,2.8,2.4,2.5,2.1,2.1,1.9,1.5,1.6,1.7,1.5,1.4,1.4,1.8,1.9,2.5,2.2,2,1.9,1.3,1,1.1,1.2,1.6,1.6,1.8,1.9,1.7,1.6,1.8,2.3,2.9,2.6,2.2,2.2,2.3
"67","60","  Space","G160631",1.8,2.2,2.6,2.6,2.6,3.2,3.6,3.4,3.4,3.5,3.8,4.7,5.4,6.1,7,7.3,7.6,7.3,7.8,8.9,10.4,11.6,12,12.1,12.8,12.5,12.7,13.5,14.3,13.9,13.6,13.8,14.4,13.8,14.3,15.6,15.7,15.7,17.9,19.9,21.2,20.6,17.9,17.5,16.7,19.4
"68","61","  Other economic affairs","W692RC1",11.6,11.5,12.8,16,14.8,12.5,17.4,19.4,23.7,33.1,30.2,32.4,36.1,34.2,42.5,38,41.5,49.5,50.1,40.8,42.3,43.6,42.5,47.1,51.6,48.6,49.4,48,49.8,53.7,66.6,73.1,73.2,69.8,75.8,76.4,87.6,82.6,80.8,85,96.4,109.2,106.3,104.8,101.4,96.3
"69","62","    General economic and labor affairs","G160531",3.8,3.9,5.3,6.6,6.9,6.2,8.9,10.4,12.3,18.2,16.3,16.1,13.6,10.5,10.1,9.9,11.1,11.3,11.9,12.3,13.9,16.6,14.1,15.9,13,13.5,14.9,15.6,16.1,16.1,16.8,20.7,19.1,15.8,16.4,18.1,18.7,18.3,19,21.1,31.3,30.6,39,37.8,38.8,35.3
"70","63","    Agriculture","G160541",6.5,5.7,5.4,6.9,5.6,3,3.8,3.7,4.9,6.7,5.3,7.1,7.6,11.3,18.7,14.2,17.4,26.2,25.5,16.1,16.8,14.6,15.4,17.1,21.2,15,13.9,13.6,15,18.7,29.2,31,31.6,22.8,26,22.4,33.6,27.2,21.5,22.7,22.3,25.7,21.1,21.4,21,20.6
"71","64","    Energy","G160551",0.6,0.6,0.7,0.9,0.9,1.6,2.6,3.1,4.1,5.6,5,5.2,9.8,6.9,7.3,7.3,6.8,5.7,6,5.9,5.3,5.4,5.1,6.1,10.4,10.4,11.7,9.5,9.2,8.5,10.1,9.1,9.3,12.9,15.7,16.9,14.7,15.4,15.4,17,18.5,26.1,21.1,19.5,16.6,15.6
"72","65","    Natural resources","G160561",0.7,1.2,1.3,1.6,1.4,1.7,2.1,2.1,2.5,2.6,3.6,4,5.1,5.5,6.4,6.5,6.8,6.6,6.6,7,7,7.6,8.3,8.3,7,9.7,9,9.3,9.5,10.4,10.5,12.5,13.3,18.3,17.8,19,20.6,21.6,24.9,24.1,24.3,26.9,25.1,26.2,25.1,24.8
"73","66","    Postal service","G160621",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,0,-0.6,-0.3,0.1,-0.5,-0.5,-0.7,-0.5,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
