"","Table 3#20# State Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"46","38","    Capital transfer receipts","W764RC1",2.3,1.8,2,2.2,2.7,3.2,3.1,3.4,3.1,4,3.7
"47","39","  Total expenditures","W765RC1",25.9,27.3,30.2,32.5,35.8,38.6,42.6,48.9,55.4,63.3,71.4
"48","40","    Current expenditures","W751RC1",20.9,22.9,25,27,29.4,31.9,35.6,40.7,46.8,54.6,62.8
"49","41","    Gross government investment","W767RC1",6.5,5.9,6.8,7.2,8.2,8.7,9.3,10.7,11.5,12,12.8
"50","42","    Capital transfer payments","W080RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","    Net purchases of nonproduced assets","W768RC1",0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.6,0.6,0.2
"52","44","    Less: Consumption of fixed capital","W769RC1",1.9,2,2.1,2.2,2.4,2.6,2.8,3.2,3.5,3.9,4.3
"53","45","  Net lending or net borrowing (-)","W770RC1",-2,-2.2,-3.2,-3.2,-4,-3.7,-4.4,-4,-6.7,-5.6,-6.1
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Interest payments includes interest accrued on the actuarial liabilities of defined benefit pension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","plans for state government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Note. State receipts plus local receipts and state expenditures plus local expenditures do not sum to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","the consolidated state and local government account totals because grants-in-aid from states to local",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","governments and from local to state governments are netted in the consolidated account totals. In addition,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","the receipt category 'surplus of government enterprises' and the expenditure category 'subsidies' do",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","not sum to the consolidated account totals because the level of government making subsidy payments accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for them as subsidies while recipient governments account for them as surpluses of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
