"","Table 7#23# Transactions of Federal Government Defined Benefit P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"12","5","      Actual employer contributions","Y270RC1",4.3,5.2,6.9,7.6,8.2,10.6,13.8,15.8,19.6,20.8,23.9,28.5,32.9,35.4,37.7,47.5,51.2,51.7,53,53.4,55.1,55.4,59.1,60.2,58.5,58.1,57.1,61.4,62.9,63,63.9,66.5,68.5,72.2,70.4,81.3,85.1,91.3,114.1,123.8,136.7,144.7,149.3,156.3,160,164.5
"13","6","        Civilian \2\","Y271RC1",1.6,2,3.2,3.4,3.5,4.9,6.9,8.1,11,11.3,13.1,15.9,18.7,19.9,21.2,21.4,22.9,23.5,24,24.9,26.1,27.9,30.2,31.9,33,33.5,33.9,34.5,36.2,36.7,37.3,38.3,39.1,40.4,37.4,43.3,44,47.4,49.2,51.3,54,56.6,56.4,58.8,58.7,61.1
"14","7","        Military \3\","Y272RC1",2.7,3.2,3.7,4.2,4.7,5.7,6.9,7.8,8.6,9.5,10.8,12.6,14.2,15.5,16.4,26.1,28.2,28.3,29,28.5,28.9,27.5,28.9,28.3,25.5,24.7,23.2,26.9,26.7,26.3,26.6,28.2,29.4,31.8,33,38,41.1,43.9,65,72.4,82.6,88.1,92.9,97.4,101.3,103.4
"15","8","      Imputed employer contributions","Y273RC1",7.3,7.8,8.3,8.5,8.6,7,4.9,3.8,1.3,1.6,0,-2.2,-3.6,-4.3,-5.8,-13.6,-15,-15.3,-19.7,-19,-20.2,-20.9,-23.3,-25.4,-27.8,-27.9,-28,-33.3,-34.9,-34.8,-35.1,-36.8,-37.4,-38.5,-34.2,-43.6,-45.8,-51.5,-72.2,-77.9,-86.7,-87.1,-90.3,-96.3,-99.9,-103.6
"16","9","        Civilian \2\","Y274RC1",3.2,4,5,5.3,5.9,5.2,4,3.7,1.6,2.4,1.5,0,-1.6,-2.3,-3.6,-2.8,-3.1,-4.1,-8.2,-8.6,-9.3,-10.3,-11.7,-13,-15.7,-16.2,-17,-17.8,-19.5,-19.9,-20.1,-20.7,-20.8,-20.9,-17.2,-22.2,-21.8,-24.5,-25.3,-25.9,-27.5,-25.8,-25,-26.7,-25.8,-27.4
"17","10","        Military \3\","Y275RC1",4.1,3.7,3.3,3.1,2.7,1.9,0.9,0.1,-0.3,-0.8,-1.5,-2.2,-2,-2,-2.2,-10.8,-12,-11.2,-11.5,-10.4,-10.9,-10.6,-11.6,-12.5,-12.1,-11.8,-11,-15.5,-15.4,-14.9,-15,-16.1,-16.6,-17.6,-16.9,-21.4,-24,-27,-46.9,-51.9,-59.2,-61.4,-65.4,-69.6,-74.1,-76.2
"18","11","      Actual household contributions","Y276RC1",1.5,1.9,2,2.1,2.2,2.5,2.7,2.9,3,3.3,3.5,3.8,4,4.3,4.5,4.7,4.8,4.7,4.7,4.5,4.5,4.5,4.6,4.8,4.7,4.6,4.6,4.5,4.5,4.3,4.6,4.8,4.7,4.6,4.6,4.6,4.5,4.4,4.3,4.3,4.2,4.1,4,3.7,3.5,3.5
"19","12","        Civilian \2\","Y277RC1",1.5,1.9,2,2.1,2.2,2.5,2.7,2.9,3,3.3,3.5,3.8,4,4.3,4.5,4.7,4.8,4.7,4.7,4.5,4.5,4.5,4.6,4.8,4.7,4.6,4.6,4.5,4.5,4.3,4.6,4.8,4.7,4.6,4.6,4.6,4.5,4.4,4.3,4.3,4.2,4.1,4,3.7,3.5,3.5
"20","13","        Military \3\","Y278RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","14","      Less: Pension service charges \1\","Y296RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"22","15","    Household pension contribution supplements \4\","Y279RC1",12.5,16.7,18.7,20.4,22.2,24,25.9,27.8,31.1,37.2,40.1,43,46.1,49.3,52.6,56.2,60,64.1,68.3,72.4,76.7,81,85.5,90.2,94.4,97.7,101.8,104.9,109.2,113.2,115.7,118.5,121.9,122.7,127.3,132.2,136.5,139.5,143.7,145.1,145.6,148,154,157.7,162.3,166.9
"23","16","  Income receipts on assets (including plans' claims on employers)","Y279RC1",12.5,16.7,18.7,20.4,22.2,24,25.9,27.8,31.1,37.2,40.1,43,46.1,49.3,52.6,56.2,60,64.1,68.3,72.4,76.7,81,85.5,90.2,94.4,97.7,101.8,104.9,109.2,113.2,115.7,118.5,121.9,122.7,127.3,132.2,136.5,139.5,143.7,145.1,145.6,148,154,157.7,162.3,166.9
"24","17","    Interest","Y280RC1",12.5,16.7,18.7,20.4,22.2,24,25.9,27.8,31.1,37.2,40.1,43,46.1,49.3,52.6,56.2,60,64.1,68.3,72.4,76.7,81,85.5,90.2,94.4,97.7,101.8,104.9,109.2,113.2,115.7,118.5,121.9,122.7,127.3,132.2,136.5,139.5,143.7,145.1,145.6,148,154,157.7,162.3,166.9
"25","18","      Monetary interest","Y281RC1",0.9,1.1,1.4,1.5,1.7,2,2.3,2.6,2.9,3.4,4.3,5.2,6.5,8.4,10.2,12.6,15.7,18.1,20.5,23.8,26.3,29.4,32.1,34.6,36.4,38.2,39.8,42.1,43.6,46.5,46.2,48.1,49.2,49.1,48.2,47,49.6,47.9,50,51.3,45.7,48.7,54.9,52.8,41,39.1
"26","19","      Imputed interest on plans' claims on employers \5\","Y282RC1",11.6,15.6,17.3,18.9,20.5,22,23.5,25.1,28.1,33.8,35.8,37.8,39.5,40.9,42.4,43.5,44.3,46,47.7,48.6,50.3,51.6,53.4,55.6,58.1,59.5,61.9,62.7,65.6,66.7,69.5,70.5,72.6,73.6,79.1,85.2,86.9,91.6,93.7,93.8,99.8,99.3,99.1,105,121.3,127.9
"27","20","    Dividends","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","21","Current expenditures, accrual basis","Y284RC1",38.2,48.3,54.5,59,63.3,68.1,73,78,86,100.1,107.6,116.1,125.4,133.9,141.5,150.8,161,169.4,174.5,183.7,192.7,201.1,211.4,219.9,224.3,230.3,237.2,242.3,251,258.9,264.8,271.6,279.6,283.7,295.5,306.7,316.8,323.2,333.5,340.4,345.3,357.6,370.9,379.2,388.3,398.3
"29","22","  Administrative expenses","Y296RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"30","23","  Imputed income payments on assets to persons","Y279RC1",12.5,16.7,18.7,20.4,22.2,24,25.9,27.8,31.1,37.2,40.1,43,46.1,49.3,52.6,56.2,60,64.1,68.3,72.4,76.7,81,85.5,90.2,94.4,97.7,101.8,104.9,109.2,113.2,115.7,118.5,121.9,122.7,127.3,132.2,136.5,139.5,143.7,145.1,145.6,148,154,157.7,162.3,166.9
"31","24","    Interest","Y280RC1",12.5,16.7,18.7,20.4,22.2,24,25.9,27.8,31.1,37.2,40.1,43,46.1,49.3,52.6,56.2,60,64.1,68.3,72.4,76.7,81,85.5,90.2,94.4,97.7,101.8,104.9,109.2,113.2,115.7,118.5,121.9,122.7,127.3,132.2,136.5,139.5,143.7,145.1,145.6,148,154,157.7,162.3,166.9
"32","25","    Dividends","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","26","  Benefit payments and withdrawals","Y293RC1",5.3,6.2,7.3,8.4,9.9,12.1,14.7,16.7,18.6,21,23.9,28.3,32.6,35.7,37.9,37.9,41.6,42.8,45.5,48.7,51.3,54.4,58,59.9,62.6,65,68.1,70.5,74.1,76.2,77.8,80.5,84.3,86.6,88.6,92.5,97.1,103,108.8,114.3,122.1,123.6,125.2,131.7,135.7,139.6
"34","27","    Civilian \2\","Y294RC1",2.6,3,3.5,4.2,5.1,6.4,7.8,9,10,11.4,13.1,15.7,18.4,20.2,21.5,22.4,23.8,24.7,26.8,28.9,30.3,32.2,34.2,34.7,36.1,37.5,39.5,40.8,42.9,44.2,45,46.7,49.1,50.6,52,54.2,56.9,60.3,63.5,66,70.6,71.7,72.8,77.1,80.1,82.4
"35","28","    Military \3\","Y295RC1",2.7,3.2,3.7,4.2,4.7,5.7,6.9,7.8,8.6,9.5,10.8,12.6,14.2,15.5,16.4,15.5,17.7,18.1,18.7,19.8,21,22.2,23.9,25.2,26.5,27.5,28.6,29.7,31.1,32,32.7,33.8,35.2,36,36.5,38.3,40.2,42.6,45.2,48.2,51.5,52,52.4,54.6,55.6,57.3
"36","29","  Net change in benefit entitlements \6\","Y289RC1",20.4,25.3,28.6,30.2,31.3,32,32.4,33.5,36.3,41.9,43.6,44.8,46.7,49,51,56.8,59.3,62.4,60.8,62.5,64.7,65.6,67.8,69.8,67.2,67.5,67.2,66.8,67.5,69.4,71.2,72.5,73.3,74.3,79.5,81.9,83.1,80.7,81,80.9,77.5,85.9,91.6,89.6,90.2,91.6
"37","30","Cash flow","Y290RC1",1.4,2,3,2.9,2.3,3,4,4.6,6.9,6.5,7.8,9.1,10.8,12.3,14.4,26.9,30,31.7,32.7,33,34.6,34.9,37.7,39.6,36.9,35.9,33.2,37.4,36.8,37.4,36.7,38.8,38,39.2,34.6,40.3,41.9,40.5,59.6,64.9,64.3,73.7,82.8,80.9,68.8,67.3
"38","31","  Actual employer and household contributions (5+11)","Y291RC1",5.8,7.1,8.9,9.8,10.5,13.1,16.5,18.7,22.7,24.1,27.4,32.3,36.9,39.7,42.1,52.1,56,56.5,57.7,57.9,59.6,60,63.7,65,63.2,62.8,61.6,65.9,67.4,67.3,68.4,71.3,73.2,76.8,75.1,86,89.6,95.6,118.4,128,140.8,148.8,153.3,160,163.6,168
"39","32","  Monetary income receipts on assets (18+20)","Y292RC1",0.9,1.1,1.4,1.5,1.7,2,2.3,2.6,2.9,3.4,4.3,5.2,6.5,8.4,10.2,12.6,15.7,18.1,20.5,23.8,26.3,29.4,32.1,34.6,36.4,38.2,39.8,42.1,43.6,46.5,46.2,48.1,49.2,49.1,48.2,47,49.6,47.9,50,51.3,45.7,48.7,54.9,52.8,41,39.1
"40","33","  Less: Benefit payments and withdrawals","Y293RC1",5.3,6.2,7.3,8.4,9.9,12.1,14.7,16.7,18.6,21,23.9,28.3,32.6,35.7,37.9,37.9,41.6,42.8,45.5,48.7,51.3,54.4,58,59.9,62.6,65,68.1,70.5,74.1,76.2,77.8,80.5,84.3,86.6,88.6,92.5,97.1,103,108.8,114.3,122.1,123.6,125.2,131.7,135.7,139.6
"41","34","    Civilian \2\","Y294RC1",2.6,3,3.5,4.2,5.1,6.4,7.8,9,10,11.4,13.1,15.7,18.4,20.2,21.5,22.4,23.8,24.7,26.8,28.9,30.3,32.2,34.2,34.7,36.1,37.5,39.5,40.8,42.9,44.2,45,46.7,49.1,50.6,52,54.2,56.9,60.3,63.5,66,70.6,71.7,72.8,77.1,80.1,82.4
"42","35","    Military \3\","Y295RC1",2.7,3.2,3.7,4.2,4.7,5.7,6.9,7.8,8.6,9.5,10.8,12.6,14.2,15.5,16.4,15.5,17.7,18.1,18.7,19.8,21,22.2,23.9,25.2,26.5,27.5,28.6,29.7,31.1,32,32.7,33.8,35.2,36,36.5,38.3,40.2,42.6,45.2,48.2,51.5,52,52.4,54.6,55.6,57.3
"43","36","  Less: Administrative expenses","Y296RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"44",NA,"Effect of participation in defined benefit plans on personal income, saving, and wealth:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","37","Effect on personal income (1-11-15 or 21-11-15)","Y297RC1",24.1,29.7,33.9,36.5,38.9,41.6,44.5,47.4,51.9,59.6,64,69.3,75.3,80.4,84.5,90,96.2,100.5,101.6,106.8,111.6,115.5,121.3,125,125.1,128,130.9,132.9,137.2,141.4,144.5,148.3,153.1,156.4,163.6,169.9,175.8,179.3,185.6,191,195.5,205.5,213,217.7,222.4,227.8
"46","38","Less: Effect on personal consumption expenditures (2)","Y296RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"47","39","Equals: Effect on personal saving","Y299RC1",24.1,29.7,33.9,36.5,38.9,41.6,44.5,47.4,51.9,59.6,64,69.3,75.3,80.4,84.4,90,96.1,100.5,101.5,106.7,111.5,115.5,121.3,124.9,125.1,127.9,130.8,132.8,137.1,141.3,144.4,148.2,152.9,156.3,163.5,169.8,175.7,179.2,185.5,190.9,195.4,205.4,212.8,217.6,222.3,227.7
"48","40","Plus: Implied funding of benefits from holding gains on assets","Y300RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","41","  Interest accrued on benefit entitlements","Y301RC1",12.5,16.7,18.7,20.4,22.2,24,25.9,27.8,31.1,37.2,40.1,43,46.1,49.3,52.6,56.2,60,64.1,68.3,72.4,76.7,81,85.5,90.2,94.4,97.7,101.8,104.9,109.2,113.2,115.7,118.5,121.9,122.7,127.3,132.2,136.5,139.5,143.7,145.1,145.6,148,154,157.7,162.3,166.9
"50","42","  Less: Interest and dividend income received by plans (16)","Y279RC1",12.5,16.7,18.7,20.4,22.2,24,25.9,27.8,31.1,37.2,40.1,43,46.1,49.3,52.6,56.2,60,64.1,68.3,72.4,76.7,81,85.5,90.2,94.4,97.7,101.8,104.9,109.2,113.2,115.7,118.5,121.9,122.7,127.3,132.2,136.5,139.5,143.7,145.1,145.6,148,154,157.7,162.3,166.9
"51","43","Equals: Change in personal wealth \7\","Y303RC1",24.1,29.7,33.9,36.5,38.9,41.6,44.5,47.4,51.9,59.6,64,69.3,75.3,80.4,84.4,90,96.1,100.5,101.5,106.7,111.5,115.5,121.3,124.9,125.1,127.9,130.8,132.8,137.1,141.3,144.4,148.2,152.9,156.3,163.5,169.8,175.7,179.2,185.5,190.9,195.4,205.4,212.8,217.6,222.3,227.7
"52","44","Less: Benefit payments and withdrawals (26)","Y293RC1",5.3,6.2,7.3,8.4,9.9,12.1,14.7,16.7,18.6,21,23.9,28.3,32.6,35.7,37.9,37.9,41.6,42.8,45.5,48.7,51.3,54.4,58,59.9,62.6,65,68.1,70.5,74.1,76.2,77.8,80.5,84.3,86.6,88.6,92.5,97.1,103,108.8,114.3,122.1,123.6,125.2,131.7,135.7,139.6
"53","45","Plus: Household actual contributions (11)","Y276RC1",1.5,1.9,2,2.1,2.2,2.5,2.7,2.9,3,3.3,3.5,3.8,4,4.3,4.5,4.7,4.8,4.7,4.7,4.5,4.5,4.5,4.6,4.8,4.7,4.6,4.6,4.5,4.5,4.3,4.6,4.8,4.7,4.6,4.6,4.6,4.5,4.4,4.3,4.3,4.2,4.1,4,3.7,3.5,3.5
"54","46","Equals: Change in benefit entitlements including implied funding of benefits from holding gains on assets \7\","Y306RC1",20.4,25.3,28.6,30.2,31.3,32,32.4,33.5,36.3,41.9,43.6,44.8,46.7,49,51,56.8,59.3,62.4,60.8,62.5,64.7,65.6,67.8,69.8,67.2,67.5,67.2,66.8,67.5,69.4,71.2,72.5,73.3,74.3,79.5,81.9,83.1,80.7,81,80.9,77.5,85.9,91.6,89.6,90.2,91.6
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Included in personal consumption expenditures as part of financial services furnished without payment;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","the value is equal to administrative expenses (line 22).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2. Consists of civil service, foreign service, Public Health Service officers, Tennessee Valley Authority,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","and several small retirement programs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","3. Includes the Coast Guard, which is included in nondefense compensation in NIPA table 3.10.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","4. Imputed income payments received by persons from the pension plans (line 23) are reinvested as household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","pension contribution supplements.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","5. Plans' claims on employers is the difference between actuarial liabilities and financial assets held",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","by plans. When actuarial liabilities exceed plan assets, imputed interest is positive; when plan assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","exceed actuarial liabilities, imputed interest is negative.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","6. Excludes implied funding of benefits from holding gains on assets and excludes effects on change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","in the estimated value of benefit entitlements that come from differences between actual experience",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","and previous actuarial assumptions, changes in actuarial assumptions, and changes in plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","7. Excludes effects on change in the estimated value of benefit entitlements that come from differences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","between actual experience and previous actuarial assumptions, changes in actuarial assumptions, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","changes in plan provisions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Note. In the NIPAs, pension plans are treated as 'pass-through' institutions that hold financial assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","on behalf of households, which are the effective owners. Pension plans are classified as financial corporations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","that receive contributions and property income on behalf of plan participants but do not have saving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
