"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","            Compensation of general government employees","A194RC1",4.6,4.8,5,4.7,4.9,5.8,6.2,7.6,7.2,8,8,8.3,10.7,17.8,28.6,35.2,38.3,25.2,19.9,20.3,22.5,24.1,31.9,36.3,37.3,37.8,39.5,41.9,44.7,48,49.8,53.1,56.9,60.7,64.7,70,75.5,85.3,94.5,105.9,116.1
"12","5","            Consumption of general government fixed capital \2\","A265RC1",0.8,0.8,0.8,0.7,0.8,0.9,1,1.1,1.2,1.2,1.3,1.3,1.8,3.4,6.2,9,10.4,11.2,11.1,10.1,9.3,8.6,9.4,10.4,11.4,12.3,13.1,14.5,15.7,16.5,17.6,18.6,19.7,21.1,22.5,23.7,24.9,26.5,28.4,30.8,33.2
"13","6","          Intermediate goods and services purchased \3\","W104RC1",1.9,2.1,2.1,2,2.3,3.2,3.2,3.7,3.5,4,4.4,4.2,7.1,17.8,26.1,30.2,28.1,7.5,5.8,7.5,9.5,9.6,16.3,22.2,25.6,21.4,21.4,20.1,22.8,24,22.8,20.9,21.5,25.7,26.4,26.8,29.4,35.5,42.9,48,50.5
"14","7","            Durable goods","W105RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.3,0.4,0.4,0.4,1.7,7.4,13.2,13.6,13.7,0.7,0.5,1,1.2,1.9,4.6,8.3,9.4,7.1,6.3,6.3,7.1,7.4,5.5,4.9,4.2,5.2,5.4,4.7,5,7.1,7.2,8.6,7.8
"15","8","            Nondurable goods","W106RC1",0.9,1,1,1,1.1,1.4,1.4,1.6,1.5,1.7,2,1.9,2.5,7.4,9.8,11.7,8.5,1.9,2.2,2.8,4.5,3.6,4.3,5.3,8.6,7.4,6.5,4.6,4.9,5.6,7.8,6,6,8.2,7.6,8,9,9.9,13.6,16.2,16.9
"16","9","            Services","W107RC1",1,1,1,0.9,1.1,1.6,1.4,1.7,1.7,1.9,2,1.9,2.9,3,3,4.9,5.8,5,3.2,3.7,3.9,4,7.4,8.5,7.6,6.9,8.6,9.1,10.8,11,9.5,10,11.3,12.3,13.5,14.1,15.4,18.5,22.1,23.2,25.8
"17","10","        Less: Own-account investment \4\","W108RC1",0.2,0.2,0.2,0.2,0.7,1.3,1.4,2.7,2.1,2.8,2.5,2.1,1.9,1.4,0.9,1.1,1,0.7,0.6,0.8,0.9,0.9,1.2,1.6,1.8,1.8,1.8,2,2.2,2.5,2.9,3,3.3,3.6,4,4.4,4.7,5.1,5.3,5.6,6.1
"18","11","        Less: Sales to other sectors \5\","W109RC1",0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.8,1.1,1.8,2.7,4.5,4.7,1.8,1.7,1.7,2,2.4,2.1,2.2,2.5,3.4,3.1,3.8,4.1,4.2,4.5,4.8,5.5,6.3,7,8,9.4,10.1,11.5,12.8
"19","12","Federal consumption expenditures \1\","A957RC1",1.6,1.7,1.6,1.5,1.8,2.6,2.3,4.5,4,4.6,5,5.2,10.6,29.3,50.5,62.7,62.8,29,23,22.7,24.6,23.9,37.4,47.6,51.6,47.2,46.8,47.4,50.9,52.6,51.8,50.9,52.7,59,61.2,63.1,66.5,76.5,88,96.8,100.4
"20","13","      Gross output of general government","W110RC1",1.7,1.8,1.7,1.6,2.2,3,3.1,5.1,4.5,5.1,5.6,5.7,11.2,30.3,52.2,65.6,67.4,33.3,24.1,23.6,25.3,24.9,38.9,48.9,53.1,48.7,49.1,49.2,53.3,55.2,54.4,53.7,55.5,62.1,64.6,66.9,70.6,81.2,92.5,101.4,105.6
"21","14","        Value added","W111RC1",1.3,1.3,1.3,1.2,1.5,2.1,2.2,4.1,3.6,4.1,4.1,4.3,7,15.3,28.7,37.9,41.9,28.5,21.6,19.6,20,20.3,27.5,31.6,32.4,32.5,33.6,35.1,36.9,38.6,39.9,41.6,43.6,46.5,48.9,52,54.5,60.6,66,72.1,76.9
"22","15","          Compensation of general government employees","B568RC1",1.1,1.1,1.1,1,1.3,1.9,2,3.8,3.2,3.7,3.6,3.9,6.2,13.1,23.7,30,32.6,18.6,12.1,11.2,12.4,13.4,20.2,23.4,23.3,22.5,22.9,23.5,24.3,25.3,25.8,26.6,27.7,29.5,30.8,33,34.8,39.8,43.8,48.3,51.4
"23","16","          Consumption of general government fixed capital \2\","B995RC1",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.9,2.2,4.9,7.9,9.2,9.9,9.6,8.4,7.5,6.9,7.3,8.2,9.2,10,10.7,11.6,12.6,13.3,14.2,15,15.9,17,18.1,19,19.8,20.8,22.2,23.8,25.5
"24","17","        Intermediate goods and services purchased \3\","W113RC1",0.5,0.5,0.4,0.4,0.7,0.9,0.8,1,0.9,1,1.5,1.4,4.2,15,23.6,27.7,25.5,4.7,2.5,4,5.3,4.6,11.4,17.3,20.7,16.3,15.5,14.1,16.4,16.5,14.5,12,11.9,15.6,15.6,14.9,16,20.6,26.5,29.3,28.7
"25","18","          Durable goods","W114RC1",0,0,0,0,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,1.6,7.3,13.2,13.6,13.7,0.6,0.4,0.8,1,1.8,4.4,8.1,9.2,6.9,6,6,6.7,7,5.1,4.4,3.7,4.6,4.8,4.1,4.3,6.3,6.3,7.5,6.5
"26","19","          Nondurable goods","W115RC1",0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.6,0.5,1,6,8.5,10.4,7.3,0.6,0.6,1.2,2.5,1.3,2.1,3.2,6.5,5.2,4,2.2,2.3,2.5,4.2,2.2,1.9,3.9,3,3.1,3.6,4,7.4,9.3,9
"27","20","          Services","W116RC1",0.3,0.3,0.3,0.3,0.4,0.7,0.4,0.6,0.6,0.7,0.8,0.7,1.7,1.7,1.8,3.7,4.6,3.6,1.5,1.9,1.8,1.5,4.8,6,4.9,4.2,5.4,5.9,7.3,6.9,5.2,5.4,6.3,7.1,7.8,7.7,8.2,10.3,12.8,12.5,13.1
"28","21","      Less: Own-account investment \4\","W117RC1",0,0.1,0.1,0.1,0.4,0.5,0.7,0.6,0.5,0.5,0.5,0.5,0.6,0.7,0.8,1.1,1,0.6,0.5,0.5,0.6,0.6,0.8,1.1,1.3,1.2,1.2,1.3,1.5,1.7,2,2.1,2.3,2.5,2.7,3.1,3.4,3.6,3.7,3.8,4.2
"29","22","      Less: Sales to other sectors","W118RC1",0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,1,1.8,3.6,3.7,0.6,0.4,0.2,0.3,0.6,0.2,0.2,0.3,1,0.5,0.9,0.9,0.7,0.6,0.5,0.6,0.7,0.7,0.8,1.1,0.8,0.8,0.9
"30","23","    Defense consumption expenditures \1\","A997RC1",1,1,1,0.9,0.9,0.8,1,1.1,1.1,1.2,1.3,1.9,7.9,27.1,48.7,60.6,60.9,25.3,19,17.7,18.1,19,33.1,42.2,44.2,39.9,39.4,40.9,44.6,46,42,42.6,44.2,48.6,50.5,51.4,53.9,63.8,73.7,81.4,82.6
"31","24","      Gross output of general government","W085RC1",1,1,1,1,0.9,0.8,1.1,1.1,1.1,1.2,1.3,2,8.2,27.8,50.1,62.9,64.3,28.5,19.4,18.2,18.6,19.5,34.1,43,45.2,40.8,40.6,42.2,46,47.7,43.6,44.4,46,50.4,52.3,53.3,55.9,66.1,75.7,83.4,84.9
"32","25","        Value added","W086RC1",0.8,0.8,0.8,0.8,0.7,0.7,0.8,0.9,0.9,1,1.1,1.6,5.1,14.2,27.3,36.8,40.5,25.6,18.3,16.2,16.3,16.3,23.4,27.3,28.1,28.2,29.1,30.3,31.8,32.9,33.7,34.8,36.2,38.4,39.9,41.9,43.5,48.3,52.5,57,60.3
"33","26","          Compensation of general government employees","B237RC1",0.7,0.7,0.7,0.6,0.6,0.5,0.7,0.7,0.7,0.8,0.9,1.4,4.6,12.4,22.7,29.4,31.7,16.2,9.3,8.4,9.4,10,16.7,19.8,19.7,19,19.3,19.6,20.1,20.6,20.7,21.1,21.7,22.9,23.6,25.2,26.4,30.8,34.2,37.6,40
"34","27","          Consumption of general government fixed capital \2\","B432RC1",0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,1.8,4.6,7.4,8.8,9.4,9,7.8,6.9,6.3,6.6,7.5,8.4,9.2,9.8,10.7,11.7,12.3,13,13.8,14.5,15.4,16.3,16.7,17.1,17.5,18.4,19.4,20.3
"35","28","        Intermediate goods and services purchased \3\","W087RC1",0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.4,3.1,13.6,22.8,26.1,23.8,2.9,1.1,2,2.3,3.2,10.7,15.7,17.1,12.6,11.5,11.9,14.3,14.8,9.9,9.6,9.8,12.1,12.4,11.4,12.4,17.9,23.2,26.4,24.6
"36","29","          Durable goods","A998RC1",0,0,0,0,0,0,0,0,0,0,0.1,0.1,1.4,7.2,13.1,13.5,13.6,0.5,0.3,0.8,1,1.7,4.4,8,9.1,6.8,6,5.9,6.7,7,5,4.4,3.6,4.6,4.7,4,4.2,6.2,6.2,7.5,6.5
"37","30","          Nondurable goods","A725RC1",0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.6,5.2,8.7,9.7,7.3,0.7,0.3,0.6,0.7,0.9,2.3,2.8,4.2,3,1.7,1.7,2,2,1.8,1.7,2.2,2.8,2.5,2.8,3.2,4.7,7.3,8.4,7.6
"38","31","          Services","A489RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,1,1.2,1,2.9,2.9,1.6,0.5,0.7,0.6,0.6,4,4.9,3.8,2.8,3.9,4.2,5.6,5.8,3.2,3.5,4,4.7,5.2,4.7,5.1,7,9.7,10.5,10.5
"39","32","      Less: Own-account investment \4\","W088RC1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.4,0.5,0.9,0.8,0.5,0.4,0.4,0.4,0.4,0.6,0.8,0.9,0.9,0.9,1,1.1,1.2,1.4,1.5,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.8,2.1
"40","33","      Less: Sales to other sectors","W089RC1",0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0.9,1.5,2.7,2.7,0,0.1,0,0,0.4,0,0,0,0.3,0.2,0.3,0.5,0.2,0.3,0.2,0.3,0.2,0.3,0.4,0.7,0.3,0.2,0.2
"41","34","    Nondefense consumption expenditures \1\","A542RC1",0.7,0.7,0.7,0.6,0.9,1.8,1.3,3.4,2.9,3.5,3.7,3.2,2.6,2.2,1.8,2.1,2,3.6,4,5,6.4,4.9,4.3,5.4,7.4,7.3,7.4,6.4,6.3,6.6,9.8,8.3,8.5,10.4,10.7,11.7,12.5,12.7,14.3,15.4,17.8
"42","35","      Gross output of general government","W128RC1",0.7,0.7,0.7,0.6,1.3,2.2,2,4,3.4,3.9,4.2,3.7,3,2.5,2.1,2.7,3.1,4.8,4.7,5.4,6.7,5.4,4.8,5.9,7.9,7.9,8.4,7,7.3,7.5,10.8,9.2,9.6,11.6,12.3,13.6,14.7,15,16.8,18,20.7
"43","36","        Value added","W129RC1",0.4,0.5,0.5,0.5,0.8,1.4,1.4,3.2,2.6,3.1,3,2.7,1.9,1.1,1.4,1.1,1.4,2.9,3.3,3.4,3.7,4,4.1,4.3,4.3,4.2,4.5,4.8,5.1,5.8,6.2,6.8,7.4,8.1,9.1,10.1,11.1,12.3,13.5,15.1,16.6
"44","37","          Compensation of general government employees","W130RC1",0.4,0.4,0.4,0.4,0.8,1.3,1.3,3.1,2.5,2.9,2.8,2.4,1.6,0.8,1,0.6,0.9,2.4,2.7,2.9,3.1,3.3,3.4,3.6,3.5,3.4,3.7,3.9,4.2,4.8,5.1,5.6,6.1,6.5,7.2,7.8,8.3,9,9.7,10.7,11.5
"45","38","          Consumption of general government fixed capital \2\","B546RC1",0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.9,1,1.1,1.2,1.4,1.6,1.9,2.3,2.7,3.3,3.8,4.4,5.1
"46","39","        Intermediate goods and services purchased \3\","W131RC1",0.3,0.3,0.2,0.2,0.5,0.8,0.6,0.7,0.7,0.8,1.2,1,1.1,1.4,0.7,1.6,1.7,1.9,1.4,2,3,1.4,0.7,1.6,3.6,3.6,3.9,2.3,2.1,1.7,4.6,2.4,2.1,3.5,3.2,3.5,3.6,2.7,3.3,2.9,4.1
"47","40","          Durable goods","A543RC1",0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"48","41","          Nondurable goods","A729RC1",0,0,0,0,0.1,0.2,0.2,0.2,0.2,0.2,0.5,0.4,0.4,0.7,-0.2,0.8,0,-0.1,0.3,0.6,1.8,0.5,-0.2,0.5,2.4,2.2,2.4,0.5,0.3,0.5,2.4,0.5,-0.3,1.1,0.6,0.3,0.4,-0.7,0.1,0.8,1.4
"49","42","            Commodity Credit Corporation inventory change","B826RC1",0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.6,-0.4,0.5,-0.4,-0.5,0.1,0.3,1.5,0.3,-0.4,0.2,2,1.9,2,0.2,-0.1,0.3,2.1,0.2,-0.8,0.3,-0.2,-0.4,-0.4,-1.5,-0.9,0.2,0.7
"50","43","            Other nondurable goods","B828RC1",0,0,0,0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.4,0.4,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.2,0.3,0.3,0.5,0.7,0.7,0.8,0.8,0.9,1,0.7,0.7
"51","44","          Services","A544RC1",0.2,0.2,0.2,0.1,0.3,0.6,0.3,0.5,0.5,0.6,0.6,0.5,0.7,0.5,0.8,0.8,1.6,1.9,1,1.3,1.2,0.9,0.8,1.1,1.2,1.4,1.5,1.7,1.8,1.2,2.1,1.9,2.3,2.4,2.6,3,3.1,3.3,3.1,2,2.6
"52","45","      Less: Own-account investment \4\","W136RC1",0,0,0,0.1,0.4,0.4,0.7,0.6,0.5,0.4,0.5,0.5,0.4,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.9,1.2,1.4,1.7,1.9,2,2,2.1
"53","46","      Less: Sales to other sectors","W137RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0.9,1.1,0.6,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0.7,0.3,0.6,0.4,0.4,0.3,0.3,0.3,0.5,0.4,0.4,0.4,0.5,0.7,0.8
"54","47","State and local consumption expenditures \1\","A991RC1",5.1,5.4,5.5,5.2,5.1,5.5,6,4.7,5.3,5.3,5.6,6,6.5,7.2,7.7,7.9,8.4,9.5,11.3,12.8,14.2,15.4,16.5,17.6,18.8,20.2,22.1,24,26.4,29.4,31.2,34.1,37.2,39.3,42.3,46,50.6,56.4,62.4,70.7,80.4
"55","48","      Gross output of general government","W138RC1",5.7,6,6.1,5.8,5.9,6.9,7.3,7.3,7.4,8.1,8.1,8.2,8.5,8.7,8.7,8.8,9.4,10.6,12.7,14.3,16,17.4,18.7,20,21.2,22.9,25.1,27.2,30,33.4,35.8,38.9,42.6,45.4,49.1,53.6,59.2,66.1,73.3,83.2,94.2
"56","49","        Value added","W139RC1",4.2,4.4,4.5,4.2,4.2,4.6,5,4.6,4.8,5.1,5.2,5.4,5.6,5.8,6.1,6.4,6.8,7.8,9.3,10.8,11.8,12.4,13.8,15.1,16.3,17.7,19.1,21.3,23.6,25.9,27.4,30,32.9,35.3,38.3,41.7,45.8,51.2,56.9,64.5,72.4
"57","50","          Compensation of general government employees","B251RC1",3.6,3.7,3.9,3.7,3.6,3.9,4.3,3.8,4,4.3,4.4,4.5,4.6,4.7,4.9,5.2,5.7,6.6,7.8,9.1,10,10.7,11.7,12.9,14,15.4,16.6,18.5,20.5,22.6,24,26.4,29.1,31.2,33.9,37,40.7,45.5,50.6,57.6,64.6
"58","51","          Consumption of general government fixed capital \2\","B986RC1",0.6,0.6,0.6,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1,1.2,1.2,1.2,1.1,1.3,1.5,1.7,1.7,1.7,2.1,2.2,2.3,2.3,2.5,2.9,3.1,3.2,3.4,3.6,3.8,4.1,4.4,4.7,5.1,5.7,6.2,6.9,7.8
"59","52","        Intermediate goods and services purchased \3\","W140RC1",1.5,1.6,1.7,1.6,1.7,2.3,2.3,2.7,2.5,3,2.9,2.8,2.9,2.8,2.5,2.5,2.6,2.8,3.4,3.6,4.2,4.9,4.9,4.9,4.9,5.2,6,5.9,6.4,7.5,8.3,8.9,9.6,10.1,10.8,11.9,13.4,14.9,16.4,18.6,21.8
"60","53","          Durable goods","B989RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.1,0,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.3
"61","54","          Nondurable goods","B337RC1",0.7,0.8,0.9,0.8,0.9,1.2,1.2,1.3,1.3,1.5,1.4,1.4,1.5,1.4,1.3,1.3,1.3,1.3,1.6,1.7,2,2.3,2.2,2.1,2.1,2.1,2.5,2.4,2.5,3.1,3.6,3.9,4.1,4.3,4.5,4.9,5.4,5.8,6.2,6.9,7.8
"62","55","          Services","A988RC1",0.6,0.7,0.7,0.7,0.7,1,1,1.1,1.1,1.3,1.2,1.2,1.3,1.3,1.2,1.2,1.3,1.4,1.7,1.8,2.1,2.5,2.5,2.5,2.6,2.8,3.2,3.2,3.5,4.1,4.3,4.6,5,5.2,5.7,6.4,7.3,8.2,9.3,10.6,12.7
"63","56","      Less: Own-account investment \4\","W144RC1",0.1,0.2,0.2,0.1,0.3,0.9,0.7,2.1,1.5,2.3,2,1.6,1.3,0.7,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.7,1,0.9,1,1.1,1.3,1.3,1.4,1.5,1.6,1.8,1.9
"64","57","      Less: Sales to other sectors","W145RC1",0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1.2,1.3,1.5,1.7,1.8,1.9,2,2.2,2.4,2.6,2.9,3.3,3.6,3.9,4.3,4.9,5.6,6.3,7.2,8.2,9.3,10.7,11.8
"65","58","        Tuition and related educational charges","B1065C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,1,1.2,1.4,1.6,1.9
"66","59","        Health and hospital charges","B1066C1",0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.9,1,1,1,1.3,1.3,1.5,1.8,2.1,2.5,3.1,3.5
"67","60","        Other sales \5\","W146RC1",0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.9,1,1.1,1.3,1.3,1.4,1.5,1.6,1.8,1.8,1.9,2.1,2.2,2.5,2.8,3.1,3.6,4,4.5,5,5.4,5.9,6.4
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","by government that are valued at their cost of production. Excludes government sales to other sectors",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","and government own-account investment (construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as a partial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","measure of the services of general government fixed assets; the use of depreciation assumes a zero net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Own-account investment is measured in current dollars by compensation of general government employees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","and related expenditures for goods and services and is classified as investment in structures, software,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","and research and development in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","5. Includes federal purchases of research and development produced by state and local general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
