"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","4","    Motor vehicles and parts","DMOTRA3",33.538,30.025,35.851,40.833,44.759,37.36,37.16,44.704,49.438,51.667,48.584,42.35,43.307,44.457,52.993,61.682,69.654,74.741,71.723,75.88,75.728,74.521,65.637,71.028,74.983,79.669,78.432,82.235,87.794,96.972,105.896,109.266,114.85,120.897,124.449,127.892,126.159,121.471,123.885,107.493,100,102.002,105.272,113.264,118.521,125.128
"12","5","      New motor vehicles (55)","DNMVRA3",42.438,36.03,45.063,52.286,57.53,44.61,44.644,56.705,64.513,67.37,61.215,50.23,51.614,53.986,67.858,79.307,90.719,98.92,92.313,97.512,96.104,90.949,73.39,80.279,85.528,89.819,85.465,86.967,91.609,101.818,113.626,119.82,131.516,141.566,148.377,149.862,147.025,138.552,140.099,113.002,100,107.829,119.847,134.37,140.113,147.851
"13","6","      Net purchases of used motor vehicles (56)","DNPVRA3",26.25,24.821,25.079,26.497,26.969,25.69,24.944,28.309,28.628,29.215,29.081,28.307,27.714,26.587,27.368,34.172,39.636,41.825,43.314,45.371,47.139,50.696,53.56,58.211,58.955,63.189,65.01,71.651,79.108,89.372,95.439,95.19,94.872,97.417,95.646,100.912,98.064,96.558,100.4,97.244,100,91.346,81.371,82.634,88.281,94.755
"14","7","      Motor vehicle parts and accessories (58)","DMVPRA3",24.831,26.7,30.19,33.638,38.39,38.422,38.121,39.333,41.743,44.656,46.102,45.52,47.305,48.197,53.701,57.56,59.333,59.664,60.182,65.13,65.362,68.245,66.558,68.323,74.46,82.033,85.696,91.374,95.493,97.146,101.558,102.972,99.232,98.477,103.231,109.715,115.13,116.812,118.866,110.032,100,105.097,109.045,110.624,113.545,116.901
"15","8","    Furnishings and durable household equipment","DFDHRA3",21.651,21.623,22.59,24.936,27.587,27.477,26.045,27.642,30.154,31.74,33.041,31.771,31.162,29.78,32.328,35.569,37.475,40.547,42.263,43.806,46.041,45.411,44.349,45.86,48.217,50.788,53.124,55.426,58.022,62.807,70.089,76.848,80.755,86.651,92.83,101.644,108.402,113.912,114.79,109.561,100,107.037,113.216,118.187,124.538,132.593
"16","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRA3",21.253,20.841,21.564,23.85,26.391,26.226,24.987,26.687,29.329,30.815,32.077,30.149,29.219,27.468,30.652,34.327,36.158,39.793,42.447,43.455,45.311,43.718,42.137,42.718,44.89,47.666,49.797,52.421,55.753,60.154,66.614,73.281,76.39,81.535,87.398,96.79,105.361,112.246,115.696,109.872,100,107.787,114.08,119.615,126.289,134.357
"17","10","      Household appliances (part of 33)","DAPPRA3",28.042,29.171,31.29,35.254,38.734,38.483,35.478,36.551,39.005,39.676,40.948,39.788,38.638,35.605,38.286,41.806,46.107,49.662,50.539,52.547,55.244,55.145,54.797,57.589,59.584,60.305,62.547,63.182,62.855,68.716,77.584,84.478,89.22,94.883,101.371,113.485,118.293,120.21,115.849,110.759,100,106.157,110.868,109.733,115.726,123.255
"18","11","      Glassware, tableware, and household utensils (34)","DUTERA3",20.88,20.565,20.95,21.93,23.96,23.45,22.033,23.53,25.393,27.684,28.504,28.561,29.074,30.254,30.953,32.587,33.173,33.973,33.119,35.364,37.475,38.553,38.044,40.347,42.784,45.46,48.362,51.054,53.273,57.495,66.146,74.003,80.062,89.475,96.325,100.725,104.709,110.762,110.711,106.627,100,106.781,115.007,125.287,131.983,141.248
"19","12","      Tools and equipment for house and garden (35)","DTOORA3",14.507,14.956,16.102,17.772,20.836,22.26,22.95,25.486,28.907,32.26,35.275,35.727,36.27,35.482,37.365,40.642,40.664,43.688,46.104,49.423,54.31,56.493,56.88,61.631,66.325,71.119,73.961,76.082,79.637,86.933,94.288,98.345,101.933,105.961,112.478,119.58,121.203,121.347,114.268,111.065,100,103.545,107.433,110.187,114.097,120.609
"20","13","    Recreational goods and vehicles","DREQRA3",2.542,2.719,2.812,3.262,3.605,3.621,3.878,4.22,4.503,4.804,5.055,4.858,4.988,5.013,5.803,6.808,7.567,8.758,9.809,10.74,11.203,11.475,11.86,12.608,14.547,16.886,19.308,22.296,25.764,30.835,37.23,43.468,47.47,52.885,59.776,68.908,78.228,88.483,98.419,101.635,100,110.873,121.854,136.041,148.057,158.548
"21","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRA3",0.48,0.508,0.529,0.605,0.688,0.724,0.779,0.851,0.9,0.969,1.054,1.09,1.146,1.203,1.559,1.849,2.194,2.728,3.12,3.559,3.764,3.962,4.31,4.754,5.708,6.929,8.338,10.3,12.692,16.432,21.062,25.61,29.307,34.37,40.583,49.497,59.831,71.958,85.216,93.702,100,117.394,132.108,151.64,167.312,180.916
"22","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRA3",7.665,7.66,7.907,9.808,10.291,11.1,12.371,14.599,15.678,17.055,17.516,18.014,18.133,17.718,18.359,21.067,22.729,24.803,28.582,30.776,33.027,33.848,33.416,35.305,38.711,41.858,44.171,46.863,48.898,54.177,62.736,72.126,77.791,83.403,87.999,94.947,101.667,109.923,113.457,110.689,100,103.851,114.943,125.451,135.658,143.173
"23","16","      Sports and recreational vehicles (79)","DWHLRA3",28.144,31.09,33.29,42.143,47.17,40.993,44.674,48.996,53.658,54.914,55.509,42.578,42.495,40.565,41.616,51.494,53.211,57.201,59.529,59.759,58.988,55.269,52.039,50.652,56.804,62.917,67.547,71.705,78.073,85.764,93.092,100.264,100.16,103.971,117.732,131.236,138.08,140.784,144.65,128.683,100,95.98,97.553,104.444,113.86,122.565
"24","17","      Recreational books (part of 90)","DRBKRA3",33.645,40.319,38.747,36.538,36.694,37.43,35.067,30.883,32.079,35.914,38.146,39.147,40.263,39.574,40.947,43.621,42.341,42.833,47.274,50.05,51.047,51.877,51.046,51.93,56.293,63.158,69.641,74.159,79.676,82.232,90.956,98.019,98.192,99.828,103.005,104.169,105.004,106.418,105.191,103.786,100,103.694,106.122,108.442,109.426,112.141
"25","18","      Musical instruments (part of 80)","DMSCRA3",23.25,23.349,22.878,25.147,27.712,28.119,28.793,30.575,31.015,31.9,32.661,30.816,29.436,26.604,29.609,32.03,35.359,38.121,40.37,42.194,41.904,43.796,46.397,46.061,49.83,55.954,61.588,64.364,67.615,73.601,84.147,101.913,104.864,110.216,108.703,115.802,115.788,120.365,120.607,113.469,100,99.966,104.343,109.083,107.898,111.965
"26","19","    Other durable goods","DODGRA3",17.043,17.871,18.689,19.708,22.386,23.49,24.853,27.366,28.924,30.508,30.111,27.541,27.952,28.002,30.517,33.987,36.533,40.704,42.168,43.583,44.137,44.364,42.436,43.296,45.478,47.562,48.672,51.906,54.505,59.859,67.002,72.956,71.388,75.79,82.903,90.263,96.935,103.953,108.865,105.261,100,104.237,109.969,114.087,117.956,121.976
"27","20","      Jewelry and watches (part of 119)","DJRYRA3",15.423,15.463,16.345,17.298,20.996,23.102,24.95,29.365,32.308,34.395,33.356,30.675,31.57,31.509,34.499,38.923,41.898,47.97,48.113,49.209,48.911,47.901,46.317,47.972,51.697,54.648,58.072,63.492,66.089,73.164,81.958,88.951,86.144,91.384,100.068,108.434,116.234,121.951,121.461,110.389,100,101.589,103.765,106.907,109.112,114.273
"28","21","      Therapeutic appliances and equipment (42)","DTAERA3",12.817,14.056,13.729,14.979,16.271,17.272,17.943,18.14,18.454,19.598,21.266,21.932,22.695,23.449,25.553,28.83,31.898,35.132,38.341,43.092,44.482,49.389,45.172,44.887,45.544,48.219,48.27,52.026,56.331,61.009,64.536,68.449,66.439,70.889,75.739,81.194,86.838,92.206,99.967,100.693,100,106.255,111.784,114.326,116.977,119.975
"29","22","      Educational books (96)","DEBKRA3",77.538,94.543,90.254,83.764,84.92,87.219,93.095,88.781,95.948,108.81,117.479,122.367,124.081,120.293,125.912,135.265,138.544,144.339,156.376,159.857,159.174,158.384,153.587,151.95,157.585,162.878,164.579,160.415,160.13,163.784,171.58,169.396,163.523,160.236,154.031,147.538,140.185,130.397,117.532,110.142,100,97.776,93.261,87.846,83.577,81.947
"30","23","      Luggage and similar personal items (part of 119)","DLUGRA3",28.033,29.439,32.554,34.437,37.263,35.943,37.051,39.202,39.038,38.898,35.008,25.888,23.607,22.95,26.1,28.901,31.433,34.655,36.451,34.245,35.649,32.681,32.31,33.43,34.484,33.775,31.5,31.879,33.376,37.94,47.793,56.082,54.182,57.644,65.413,74.934,84.197,94.336,102.324,103.075,100,109.31,126.836,136.78,147.154,144.801
"31","24","      Telephone and facsimile equipment (67)","DTCERA3",0.354,0.352,0.347,0.359,0.401,0.429,0.44,0.467,0.497,1.586,3.722,5.941,7.957,8.634,8.012,7.527,6.809,6.48,6.264,6.436,6.839,6.939,6.935,7.188,7.801,8.752,9.482,10.099,10.621,12.23,15.877,20.171,23.794,27.911,37.895,48.291,55.838,75.048,94.478,100.721,100,104.109,115.578,129.645,144.366,166.094
"32","25","  Nondurable goods","DNDGRA3",40.845,41.753,42.536,44.257,45.528,44.42,44.802,46.932,48.001,49.734,51.017,50.931,51.57,52.105,53.801,56.028,57.72,59.775,60.802,62.401,64.087,64.834,64.644,65.9,67.576,70.211,71.949,74.028,76.206,79.041,83.029,85.678,87.168,88.781,91.882,94.875,98.033,101.243,102.952,101.818,100,102.226,104.049,104.709,106.653,108.858
"33","26","    Food and beverages purchased for off-premises consumption","DFXARA3",58.647,60.286,61.004,62.221,61.137,59.904,60.985,63.975,64.921,64.638,65.537,66.212,65.988,67.268,68.968,70.355,72.431,73.91,73.438,75.378,76.318,77.899,77.802,77.499,78.132,80.309,80.723,81.533,82.243,83.389,86.774,88.907,90.131,90.528,92.636,94.78,98.397,101.411,102.769,101.547,100,102.145,103.271,103.338,104.348,104.88
"34","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRA3",62.871,64.171,64.311,65.19,63.381,61.456,62.608,65.755,66.329,65.888,66.575,67.078,66.669,67.939,69.69,71.377,73.395,74.91,74.591,76.78,77.689,79.047,79.845,80.153,80.642,82.574,82.733,83.208,83.638,84.363,87.556,89.134,90.05,90.263,92.727,94.945,98.775,101.533,102.861,101.551,100,101.594,102.355,101.87,103.062,103.421
"35","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRA3",34.738,37.608,40.886,43.468,45.941,47.744,48.649,50.689,53.802,55.018,57.452,59.326,60.254,61.833,63.275,63.017,65.495,66.837,65.812,66.316,67.601,70.689,65.309,61.604,63.094,66.643,68.569,71.401,73.832,77.466,82.027,87.507,90.619,92.084,92.125,93.805,96.106,100.594,102.244,101.54,100,105.639,109.164,112.845,112.371,114.07
"36","29","      Food produced and consumed on farms (6)","DFFDRA3",485.661,508.741,480.747,488.226,467.141,558.843,518.733,530.059,517.329,422.94,390.192,371.577,367.831,332.122,325.713,303.341,294.877,281.186,213.535,206.865,180.245,159.116,157.446,155.087,142.649,145.369,136.474,126.33,110.535,114.529,109.676,94.367,79.547,87.688,75.095,82.873,93,114.173,90.361,95.702,100,88.621,73.103,72.468,130.649,125.801
"37","30","    Clothing and footwear","DCLORA3",21.637,21.388,22.288,23.874,25.592,25.103,25.736,26.922,28.364,31.353,33.179,34.208,36.386,36.991,39.524,42.795,44.704,48.054,49.836,51.302,54.018,53.645,53.682,56.533,58.941,62.243,64.8,67.943,70.177,74.456,79.345,83.184,83.971,86.535,90.805,94.996,100.089,103.571,105.678,105.159,100,105.274,109.395,110.561,112.06,113.674
"38","31","      Garments","DGARRA3",20.412,20.374,21.285,22.817,24.499,24.173,24.978,26.129,27.553,30.457,32.313,33.44,35.653,36.558,39.158,42.668,44.535,47.855,49.553,51.143,53.802,53.262,53.588,56.755,59.265,62.509,65.175,68.234,70.496,74.678,79.318,83.167,84.072,86.918,91.159,95.286,100.501,103.399,105.021,104.801,100,105.625,109.365,110.107,111.527,113.117
"39","32","        Women's and girls' clothing (10)","DWGCRA3",17.927,17.919,18.836,19.858,21.219,20.955,21.733,22.714,23.854,26.592,28.416,29.751,32.252,33.48,36.386,40.149,42.268,46.189,47.481,48.67,51.414,50.444,50.77,54.117,56.221,58.53,61.053,64.017,65.538,70.271,76.085,80.955,82.135,85.325,89.678,94.31,100.125,102.895,104.696,104.895,100,105.744,109.471,111.186,112.565,113.935
"40","33","        Men's and boys' clothing (11)","DMBCRA3",26.519,26.116,27.286,29.829,32.034,31.55,32.695,34.109,36.235,39.301,40.965,41.56,43.101,43.056,45.317,48.506,50.109,52.743,55.223,57.557,60.337,60.896,61.387,64.719,68.105,73.361,76.542,80.344,84.023,87.151,90.036,92.317,92.3,94.427,97.905,100.33,103.659,105.88,105.859,104.515,100,105.732,109.264,109.106,110.285,112.625
"41","34","        Children's and infants' clothing (12)","DCICRA3",12.864,15.283,13.658,16.403,19.593,19.443,18.217,19.941,20.751,24.348,27.359,28.719,30.947,33.225,34.153,36.503,37.043,37.667,39.416,41.213,42.321,40.613,40.124,40.657,42.66,44.833,46.228,46.502,48.461,52.965,56.003,58.773,61.718,65.046,71.887,79.723,88.797,96.016,103.852,105.369,100,104.101,108.951,105.668,108.617,108.409
"42","35","      Other clothing materials and footwear (13 and 17)","DOCCRA3",27.884,26.493,27.315,29.17,31.052,29.701,29.401,30.748,32.269,35.662,37.327,37.869,39.884,39.086,41.31,43.459,45.57,49.072,51.259,52.128,55.122,55.53,54.204,55.58,57.518,61.092,63.161,66.678,68.793,73.501,79.512,83.307,83.565,84.886,89.284,93.753,98.322,104.214,108.309,106.578,100,103.911,109.507,112.337,114.146,115.86
"43","36","    Gasoline and other energy goods","DGOERA3",70.806,73.51,76.076,79.933,84.526,77.646,79.451,83.706,85.208,86.581,84.082,76.648,75.654,75.778,77.446,79.539,81.078,85.202,86.83,89.302,90.729,89.102,88.379,91.908,94.212,95.719,97.505,99.047,101.046,103.877,106.264,103.492,103.393,104.198,104.309,105.199,104.744,104.545,104.337,99.614,100,99.199,96.431,94.908,96.565,97.282
"44","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRA3",57.126,60.662,63.6,66.192,69.633,66.204,68.175,70.903,73.075,74.76,73.757,69.546,70.6,71.48,73.077,75.372,76.853,80.587,82.745,84.972,86.874,86.146,85.265,88.754,90.977,92.108,93.717,95.703,98.608,101.779,103.863,102.138,102.089,102.636,102.667,104.089,104.908,105.284,104.969,100.838,100,99.855,97.886,97.013,98.48,99.01
"45","38","      Fuel oil and other fuels (29)","DFULRA3",276.024,257.294,249.271,274.712,297.694,233.46,231.818,258.999,249.918,246.532,222.832,170.625,142.355,133.018,135.658,135.255,137.591,146.872,141.546,147.284,142.257,128.569,129.935,133.979,137.363,144.145,148.424,143.615,133.144,131.336,137.909,121.105,120.362,124.456,125.591,119.762,103.886,97.043,98.072,86.963,100,92.122,80.732,72.132,75.863,78.561
"46","39","    Other nondurable goods","DONGRA3",29.601,30.587,30.717,32.205,34.386,34.266,33.153,34.549,35.091,37.574,39.751,40.447,41.362,41.214,42.261,44.567,45.764,46.798,48.527,49.64,51.302,52.606,52.318,53.374,55.314,58.112,60.487,63.169,66.643,70.151,74.41,78.131,80.579,82.998,87.15,90.963,94.073,98.67,101.349,101.738,100,102.31,106.023,108.168,111.31,116.068
"47","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRA3",12.288,13.934,14.585,15.882,17.15,18.048,18.132,18.684,18.661,20.012,21.756,22.691,23.224,23.195,24.379,25.598,26.416,27.591,28.912,30.385,32.185,34.052,34.818,35.194,36.356,37.956,40.558,43.415,47.506,53.554,60.015,65.669,71.382,75.622,80.88,84.41,86.235,92.176,96.524,98.172,100,100.486,102.659,104.02,108.996,116.479
"48","41","      Recreational items (parts of 80, 92, and 93)","DREIRA3",12.192,12.647,12.996,13.939,15.518,16.557,16.724,18.107,18.885,20.388,21.607,21.678,22.58,23.14,24.646,26.563,28.038,29.079,31.216,32.792,35.005,36.86,37.954,40.068,42.527,45.337,47.699,49.932,52.624,56.869,63.026,68.057,70.784,75.203,79.479,83.845,91.751,97.442,102.575,103.161,100,106.591,113.335,119.721,126.352,136.153
"49","42","      Household supplies (parts of 32 and 36)","DHOURA3",37.688,37.831,36.963,38.646,42.204,40.224,36.413,36.719,37.055,39.952,43.059,44.239,45.253,45.295,46.751,49.762,50.868,53.131,53.78,55.863,56.62,57.658,57.897,60.794,64.519,69.311,71.782,75.015,78.535,80,83.485,84.237,84.748,86.727,92.793,97.164,100.861,103.864,105.53,104.736,100,104.112,108.739,111.058,115.331,119.056
"50","43","      Personal care products (part of 118)","DOPCRA3",23.433,24.3,24.644,25.83,28.059,28.257,27.728,28.885,30.989,32.871,34.365,34.638,34.72,33.913,35.369,37.964,39.7,41.429,43.694,44.907,46.186,47.368,47.021,47.262,49.466,52.29,55.277,58.705,61.815,64.685,68.596,71.967,73.911,76.242,81.57,87.013,92.298,97.554,101.342,103.107,100,105.658,111.926,115.007,118.882,122.156
"51","44","      Tobacco (127)","DTOBRA3",146.258,148.721,149.909,152.853,161.514,164,163.605,174.853,168.743,172.164,170.78,172.539,175.102,167.939,159.316,159.126,158.569,155.105,155.849,143.935,142.016,136.876,126.993,132.56,129.819,131.444,133.362,135.248,135.627,130.725,121.969,119.063,116.895,111.227,109.893,112.73,111.556,113.973,111.223,107.365,100,96.299,94.885,93.193,88.388,84.189
"52","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRA3",56.474,57.032,54.875,58.536,62.217,58.371,56.121,58.588,61.14,69.51,76.45,77.106,77.317,76.442,77.054,81.75,81.812,83.388,87.913,93.605,96.748,100.345,97.757,95.342,97.505,101.204,100.94,101.106,103.097,104.208,107.871,111.849,107.507,105.749,105.896,108.507,108.93,109.332,105.419,104.384,100,107.064,115.295,119.508,120.001,122.066
"53","46","      Net expenditures abroad by U.S. residents (131)","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","47","Services","DSERRA3",28.011,29.113,30.121,31.853,33.364,34.009,35.289,36.807,38.332,40.107,41.331,41.998,42.727,43.58,45.849,47.621,50.123,51.737,54.063,56.496,58.293,60.045,61.026,63.495,65.449,67.461,69.48,71.518,73.804,77.203,80.192,84.219,86.199,87.812,89.748,92.6,95.561,98.166,100.119,100.903,100,101.19,103.051,103.905,104.941,107.462
"55","48","  Household consumption expenditures (for services)","DHCERA3",29.686,30.832,31.875,33.715,35.359,36.084,37.48,39.072,40.721,42.605,43.902,44.561,45.242,45.933,48.171,49.849,52.427,53.953,56.321,58.677,60.331,61.807,62.572,64.777,66.663,68.59,70.602,72.608,75.205,78.546,81.483,85.476,87.294,88.631,90.435,93.356,96.467,98.733,100.67,100.982,100,101.206,103.192,103.795,104.793,107.328
"56","49","    Housing and utilities","DHUTRA3",33.425,34.708,36.203,38.139,39.922,41.809,43.149,44.37,45.605,47.775,49.472,51.179,51.939,52.339,53.438,55.23,57.409,58.783,60.397,62.455,64.016,65.224,66.638,67.991,69.838,72.123,74.318,76.036,77.663,80.056,82.428,85.089,87.35,87.923,89.101,91.33,95.076,96.927,97.862,98.889,100,101.237,102.499,102.56,103.075,104.263
"57","50","      Housing","DHSGRA3",31.052,32.196,33.701,35.466,37.229,39.219,40.34,41.482,42.505,44.627,46.441,48.099,49.213,49.57,50.497,52.463,54.62,56.258,57.684,59.493,60.992,62.595,63.962,65.669,67.144,69.529,71.876,73.395,75.32,77.792,80.299,82.967,85.745,86.073,87.19,89.75,93.844,96.36,97.215,98.716,100,101.079,102.87,103.455,103.775,105.184
"58","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRA3",40.481,41.953,43.883,45.98,48.201,49.409,50.404,51.593,52.522,53.444,54.011,55.448,57.185,58.592,59.913,62.555,67.304,70.022,70.933,71.919,72.389,74.675,75.284,76.251,76.75,78.032,80.759,81.011,81.76,83.212,84.41,85.186,86.786,86.149,83.491,83.839,85.307,88.021,93.039,95.619,100,103.46,109.838,111.112,109.864,112.807
"59","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRA3",27.409,28.485,29.915,31.635,33.314,35.551,36.716,37.874,38.965,41.5,43.731,45.501,46.475,46.549,47.402,49.205,50.653,52.01,53.605,55.671,57.478,58.894,60.492,62.45,64.23,66.968,69.239,71.131,73.388,76.146,79.028,82.078,85.246,85.866,88.067,91.312,96.236,98.738,98.391,99.606,100,100.395,100.845,101.355,102.158,103.134
"60","53","        Rental value of farm dwellings (22)","DFARRA3",76.182,76.356,76.536,76.859,76.902,77.841,78.263,78.636,79.473,80.102,80.013,80.301,80.099,79.642,79.263,78.953,78.624,78.445,78.601,78.261,78.452,78.794,78.82,78.709,78.43,78.784,78.872,79.264,81.646,84.202,86.591,101.2,100.521,100.459,101.206,100.711,100.791,100.749,100.634,100.38,100,99.634,99.562,91.962,91.605,91.212
"61","54","        Group housing (23)","DGRHRA3",225.807,225.404,216.103,208.832,208.336,221.097,231.906,224.66,193.141,162.655,146.696,127.263,113.493,108.471,88.735,90.12,81.615,72.094,68.978,74.883,80.99,87.453,91.501,80.216,83.615,82.482,86.098,92.457,90.771,95.303,95.872,95.227,91.277,82.908,86.274,86.481,86.658,90.286,97.017,98.233,100,101.642,108.393,122.026,124.781,129.332
"62","55","      Household utilities","DUTLRA3",47.211,49.388,50.626,53.603,55.351,56.385,59.05,60.718,63.181,65.613,66.638,68.637,67.56,68.187,70.177,71.209,73.588,73.642,76.308,79.79,81.715,80.643,82.335,81.646,85.636,87.357,88.664,91.559,91.407,93.302,94.779,97.361,96.408,98.507,100.06,100.22,101.885,99.985,101.365,99.828,100,102.098,100.493,97.687,99.28,99.258
"63","56","        Water supply and sanitation (25)","DWRSRA3",41.669,44.265,45.033,48.94,51.386,53.703,54.323,53.731,53.841,54.474,58.092,60.742,60.41,60.006,62.219,66.434,71.126,75.54,78.778,80.749,83.761,84.089,82.875,81.318,85.214,89.059,92.394,95.399,97.502,99.068,102.219,103.248,104.212,105.247,105.236,103.061,102.144,104.062,102.851,102.653,100,98.751,97.438,94.838,92.784,91.176
"64","57","        Electricity and gas","DELGRA3",48.2,50.267,51.608,54.338,55.905,56.637,59.726,61.861,64.809,67.615,68.075,69.935,68.72,69.538,71.482,71.912,73.834,72.997,75.528,79.353,81.009,79.584,82.047,81.601,85.611,86.694,87.37,90.227,89.356,91.359,92.259,95.376,93.797,96.247,98.326,99.264,101.778,98.675,100.865,98.908,100,103.293,101.579,98.694,101.818,102.465
"65","58","          Electricity (27)","DELCRA3",34.906,37.019,38.401,40.683,43.177,44.232,47.19,49.404,53.912,56.519,57.57,60.121,59.726,60.155,63.894,64.419,66.611,67.271,70.401,73.384,74.423,74.953,77.115,75.783,80.11,81.779,82.887,84.244,83.993,89.976,90.851,93.972,92.221,96.493,98.11,100.018,104.556,102.07,103.555,102.017,100,106.048,104.265,102.14,103.612,103.74
"66","59","          Natural gas (28)","DGHERA3",93.661,94.942,95.748,99.718,96.805,95.853,98.622,99.949,96.587,99.806,98.25,97.825,94.081,96.055,93.123,93.315,94.505,89.31,89.957,96.362,99.949,92.231,95.605,98.152,100.991,100.172,99.406,107.233,104.375,93.963,94.919,97.981,96.846,94.665,97.871,96.661,95.068,90.771,94.449,91.621,100,95.769,94.247,89.025,97.426,99.68
"67","60","    Health care","DHLCRA3",26.686,28.119,30.142,32.206,34.522,35.709,37.547,39.191,41.092,42.975,44.422,45.7,47.903,48.019,49.454,50.255,51.789,53.406,55.626,57.813,58.474,60.443,61.601,63.46,63.782,64.281,65.613,66.969,69.049,71.292,72.405,74.894,78.628,83.298,85.568,88.625,91.585,93.724,96.058,98.245,100,101.34,103.869,106.12,107.158,110.091
