"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"11","3","  Motor vehicles and parts","A165RX1",271.8,258.3,254.6,239.7,224.2,222.6,232,227.6,240.2,242.5,245.8,251.3,248,259.9,259.5,269.5,278,274.1,272.1,280.7,267.7,268.2,274.7,278.4,281.4,285.8,285.9,288.3,300.8,290.8,309.4,317.7,310.3,333.9,340,371.7,355.1,380.2,382.5,371.9,403.3,376.1,383.2,383.5,384.5,401.3,397.9,437.8,426.5,420.1,427.8,419,414.5,429.5,466.9,454.3
"12","4","  Furniture and household equipment","A166RX1",122.2,120.2,119,118.1,118.8,121.9,122.6,121.1,124.6,125.6,128.9,132,136.2,139.8,142.8,145.6,148.7,154.2,158.8,165.3,166.2,169.5,176.1,181.5,183.2,192.7,195.6,202,206.4,212.7,220.2,225.8,233.5,238.6,249,257.6,266.1,275.1,285.7,296.1,306.7,311.3,315.9,317.8,322.5,326.7,332.9,343.7,356.2,362.8,366.2,373.5,374.7,391.7,412.4,424
"13","5","  Other","A167RX1",94.6,92.2,92,92.1,90.6,90,88,86.4,88.3,88.7,91.5,92.4,94.4,95.8,98.3,99.4,100.4,103.1,104.9,108.5,108.3,110.1,112.9,113.5,115,119.2,120.7,123.6,124.8,125.1,128.3,130.9,132.7,136.2,138.9,142.5,146.6,149,152.9,158.4,162.9,163.9,164.7,164.1,162.3,161.7,160.8,164.8,168.2,169.6,170.1,173,177.6,185.9,191.4,196.1
"14","6","Nondurable goods","B004RX1",1483.2,1486.4,1491,1475.3,1474,1485.6,1486.5,1475.9,1500.6,1498.7,1508.6,1532.6,1530.5,1544.4,1559.6,1566.8,1582,1597,1610.6,1626,1628,1636.2,1642.2,1648,1657.5,1677,1686.5,1700.7,1710.8,1711.4,1736.2,1743,1765.4,1787.2,1799.7,1825.5,1849.2,1867.9,1873.7,1915.7,1917.2,1944,1955,1972.7,1974.5,1969.1,1983.4,2006.2,2035.9,2037.8,2038.8,2061.8,2090.5,2096.9,2134.3,2157.6
"15","7","  Food","A168RX1",777.6,787.4,789.9,782.6,779.7,786.5,786.4,780.7,789.5,780.6,783.1,798.5,795.2,799.6,806.2,807.6,810.8,821.9,825.2,829.5,826.6,826.5,827.3,828,830.7,835.3,834.2,838.7,844.7,841.9,848.8,845.7,852.9,862.7,869.6,877.1,878.4,889,894.5,912.4,916.1,925.6,927.8,931.2,936.5,935.7,936.3,939.6,952.9,957.7,958.4,963.9,979.6,985.4,1002.8,1010.7
"16","8","  Clothing and shoes","A169RX1",191,188.1,187.7,185.8,187.8,190.8,190,186.3,194.2,197.3,201.4,204,203.1,206.9,208.6,211,215.5,215,218.6,224.9,224.1,225.7,229.8,230,232.1,237.8,241.6,243.2,242.9,240.8,248.5,251.7,258.3,263.2,262.1,268.8,278.9,282.3,284.7,284.9,291.3,296.4,301.1,302.1,300.2,300.5,304.2,309.1,317.6,317.9,317.6,323.4,325.7,331.9,339.5,340.4
"17","9","  Gasoline, fuel oil, and other energy goods","A173RX1",159.6,158.7,160.5,155,154.4,156.7,158.6,157.2,159.5,163.2,163.8,164.7,164.1,166.1,169.1,168.2,170.5,169.5,170.2,168.5,172.7,174.2,172.3,172.6,175.3,176.7,176.6,176.2,177.2,179.8,180.5,181.2,184.9,185.5,185.2,189.6,193.2,193.5,188.9,195.1,191.6,190.2,189.1,195.2,198.1,189.1,191.4,200.5,203.4,197.5,195.1,201,203.1,192.9,194.7,199.9
"18","10","    Gasoline and oil","C170RX1",144,141.2,142,140.1,138.6,140.6,141.2,140.8,143.4,145,147.5,147.9,147.3,149.5,151.4,150.5,151.3,152.4,152,151,155.2,155.3,153.8,153.5,155.8,158.6,158.4,158.8,161,162.7,163.3,164.1,169.3,168.9,169.1,173.8,177,176.5,172.3,179.2,176.7,174.4,173,178.5,182.3,174.5,176.4,185.4,188.7,181.9,179.1,183.6,186.8,177.9,178.5,182.7
"19","11","    Fuel oil and coal","A171RX1",15.8,17.6,18.6,15,15.8,16.3,17.7,16.6,16.2,18.5,16.4,16.9,17,16.7,17.8,17.9,19.5,17.2,18.4,17.6,17.7,19.1,18.7,19.4,19.7,18.2,18.3,17.5,16.2,17.1,17.3,17.2,15.6,16.7,16.1,15.8,16.1,17.1,16.6,15.8,14.8,15.7,16.1,16.7,15.9,14.6,15,15.1,14.8,15.7,15.9,17.4,16.3,15.1,16.2,17.2
"20","12","  Other","A172RX1",362.1,360.2,361.3,360.3,359.7,358.7,358.9,359.8,364.2,363.7,365.5,370.8,373.5,376.8,381,384.7,389.4,395.1,400.5,405.8,407.9,413.3,415.4,420,422,429.4,435.9,444.4,448.1,451.6,460.5,466.4,471.4,477.2,484.3,491.8,500.4,504.3,505.7,524,518.4,531.9,537.1,544.1,539.4,543.6,551.3,557.9,563.1,564.8,567.5,573.8,582.2,587.4,598.3,607.3
"21","13","Services","B005RX1",2813.5,2849.5,2872.4,2871.3,2868.3,2896.8,2908.8,2925.8,2960.6,2987.9,3016.1,3038.7,3053.9,3065.4,3099.9,3123.5,3151.9,3167.9,3185.8,3200.9,3221.3,3251.2,3273.6,3293.4,3326.2,3345.4,3366.5,3385.9,3417.8,3446.9,3485.5,3521.6,3562,3602,3642.1,3653.7,3696.4,3738.5,3782.3,3815,3871.1,3908.2,3949.3,3986.8,3989.6,4013.3,4029.3,4057.4,4095.3,4137,4159.4,4175.4,4190.7,4208.4,4237.2,4259
"22","14","  Housing","A174RX1",796,800.1,804.4,808.2,811.6,817.9,823.7,827.1,829.7,831.4,833.7,836.2,837,837.9,843.1,849,859.8,865.5,873.2,878.9,882.8,885.9,889,892.5,895.2,898.6,902.8,907.9,913.9,919.3,925.4,931.2,939.4,945.8,952.4,957.8,969.4,975.2,981.8,987.9,995.7,1003.3,1009.9,1016.9,1025,1031.4,1036.5,1042.7,1051.1,1059,1065.7,1071.7,1078,1082.8,1088.7,1092.3
"23","15","  Household operation","A186RX1",258.7,267.7,271,268,263.6,273.4,272.6,269.9,269.9,276.7,279.1,283.9,285.4,286.2,295.6,297.1,300.5,305.5,303.8,303.4,302.6,310.9,319.3,318.6,327,328.1,323.6,330.4,331.2,336.4,341.1,352.8,350.2,358.5,363.5,356.1,362.8,371.1,379.9,373.7,376.3,388.6,392.5,403,397.1,389.9,389,384.9,389.2,398.3,394.7,395.6,396.6,393.4,396.8,400
"24","16","    Electricity and gas","A175RX1",111.3,118.5,120.5,119.3,117.3,125.5,122.6,119,116.7,120.6,120.3,124.1,125.1,123.2,129.5,129.4,129.9,132.6,127.7,124.9,123.6,129.8,135.2,132,138.6,136.5,129.8,134.1,130.9,132.8,132,139.2,133.8,140.2,141.1,131.5,135.5,138.5,143.2,135.4,133.9,142,143.8,153.6,150.4,139.7,138.8,135.8,140.4,147,145.7,147.9,148,143.1,144.5,146.5
"25","17","    Other household operation","A176RX1",147.9,149.6,151,149.2,146.8,148.3,150.4,151.3,153.6,156.6,159.3,160.2,160.8,163.5,166.5,168.2,171.2,173.4,176.6,179,179.4,181.6,184.7,187,188.9,192,194.2,196.8,200.6,203.9,209.4,214,216.7,218.7,222.8,224.5,227.3,232.6,236.9,238.2,242.4,246.8,248.9,249.2,246.2,250.6,250.5,249.4,249,251.2,248.9,247.6,248.5,250.5,252.4,253.6
"26","18","  Transportation","A177RX1",196.3,196.7,195.9,193.9,187.9,186.5,185.1,185.8,189.2,192.1,197.5,198,198.3,200.7,203.6,207.3,211.9,216.3,220.5,224.7,226.9,229.2,233.4,237.5,242.3,245.6,249,253.1,259.4,261.9,265.1,266.3,268.4,271.8,273.3,274.5,279.3,281.9,285.5,287,289.9,291.9,291.6,291.7,292.4,292.2,288.6,285.1,287.7,286.5,283.6,281.3,281.6,278.8,277.2,275.7
"27","19","  Medical care","A494RX1",780.8,793.9,805.2,810.6,813.1,818.6,827.4,839,851.5,861.7,868.9,872.4,875.7,875.5,878.1,879.5,882.6,885.5,888.3,892,900.1,904.2,908.5,912.8,913.6,920.9,923.5,932,932.6,939.1,947.3,952.2,966.4,968.3,972.4,975.5,978,983.7,992.5,1001.8,1010.7,1022,1032.1,1042.5,1051.1,1062.5,1077.6,1092.5,1110.4,1125.3,1137.8,1154.8,1169.3,1182.4,1196.9,1210.2
"28","20","  Recreation","A490RX1",167.5,170.4,171.6,172.9,170.3,170.5,171.5,174.1,180.2,182.5,184.8,188.4,191.4,193.8,198,198.4,200.4,203.4,206.8,208.6,213,218.1,221,224.6,225.3,227.6,230.7,231,234.3,236,235.4,236.9,241.5,242.7,246.4,249.1,251.8,256,260.6,262.9,264.2,267.6,270.1,271.1,273.3,272.7,274.1,277.7,282.4,284,285.3,287.5,287.5,290.1,291.9,295.5
"29","21","  Other","A178RX1",617,622.9,626.8,620.8,625.8,632.9,632.1,634.4,644.8,647.9,656.4,663.6,669.7,675,684.2,694.7,699.1,693.8,695.8,696,698.9,705.3,704.3,709.4,724.4,726.2,738.8,733.2,748,755.7,772.3,782.6,796.8,815.3,834.4,841.2,855.5,870.9,882.2,901.9,934.1,934.9,953.2,961.7,950.8,964.8,963.4,974.3,974.1,983.4,991.7,983.5,976.6,979.7,984.3,983.8
"30","22","Residual","A963RX1",-38.8,-44.3,-47.9,-50.3,-49.9,-48.2,-49.5,-54.1,-51.3,-51.7,-49.2,-47.3,-45.4,-42.7,-41.3,-39.8,-38.2,-35.5,-33.7,-28.7,-31.2,-30.1,-26,-24,-23.6,-19.5,-18.7,-17,-15.5,-15.6,-12.5,-10.5,-10.2,-8.1,-6.2,-4.4,-4.1,-2.6,-0.9,-1,0.2,-0.5,-0.5,0.3,0.9,-0.3,-0.1,-2.7,-3.9,-2.4,-2.1,-3,-2.8,-8.2,-15.3,-16.1
"31",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","23","  Energy goods and services \1\","BA02RX1",270.5,277.8,281.5,274.9,272.2,283.2,281.9,276.6,276.3,284,284.3,289.3,289.8,289.5,299.4,298.5,301,303.2,298.3,293.6,296.1,304.4,308.6,305.3,315,314,306.6,310.9,308.3,312.8,312.6,321.3,318.6,326.6,327.3,319.9,327.7,331.6,332.5,330.1,325.3,332,332.9,348.9,348.8,328.9,330.2,335.2,342.9,344.8,341,348.9,351.1,336.1,339.3,346.4
"33","24","  Personal consumption expenditures excluding food and energy","BA03RX1",3714.5,3713.4,3726.8,3706.5,3691.8,3715.4,3737.5,3744.2,3814.7,3844.2,3890.1,3927.5,3948,3988.3,4027.7,4072.5,4124,4148.6,4187.3,4240.1,4249,4285.6,4327.7,4366.9,4403.4,4459.8,4503.3,4541.6,4599.2,4624.4,4712,4767.5,4828,4905.8,4971.4,5052.3,5106.3,5190,5250.4,5314.5,5419.8,5445.9,5507.5,5544.6,5547.9,5608.1,5638,5733.6,5783.8,5822.3,5859.7,5886.2,5913.3,5983.3,6085.3,6117.7
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Consists of gasoline, fuel oil, and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Note. Chained (2000) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","quantity index and the 2000 current-dollar value of the corresponding series, divided by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","100. Because the formula for the chain-type quantity indexes uses weights of more than",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","one period, the corresponding chained-dollar estimates are usually not additive. The",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
