"","Table 3#10#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"22","15","          Compensation of general government employees","B568RL1",-2.1,1.6,2.2,4.5,0,0.5,0.5,8.6,7.9,1.5,0.3,-5.3,-5,-4.9,-3.7,0.3,-0.5,0.1,0.1,1.3,-0.6,1.3,1.1,1,1.5,1,1.4,-0.1,1.2,-0.2,0.1,1,-0.3,-3.5,-2.9,-4.3,-4.9,-3.7,-2.5,-1.5,-1.4,0.8,0.1,2,3.8
"23","16","          Consumption of general government fixed capital","B995RL1",1.9,2.5,1.9,3.4,3,1.9,1.1,1.5,2.8,2,0.2,-1.1,-3.4,-4.7,-3.8,-2.4,-0.8,0.4,0.9,1.1,1.7,2.6,3.1,3.9,5.2,6.7,8,8.2,7.5,5.8,4.7,4.3,3.4,2.2,1,-0.1,-0.6,-0.2,-0.2,-0.1,0.9,0.9,0.5,0.7,1.7
"24","17","        Intermediate goods and services purchased","W113RL1",-0.4,-7.5,1,19.4,5.5,-3.3,2.7,19.6,16.7,5.6,-5.6,-11.8,-5.6,3.6,-8.4,-1.1,-2.6,-4.7,6.6,4,5,8.2,8.3,5.8,8.3,0.1,10.6,8.1,2.3,-2.1,1.8,1.3,0.1,-2.3,-6.1,-1.1,-2.8,-0.2,2.5,-3,4.9,2.6,9.3,16.1,16.5
"25","18","          Durable goods","W114RL1",-28.5,-14.7,-16.6,24.9,2.3,-13,5.7,41.5,-2.1,13.5,-16.4,-10.9,-27,26.7,-8.2,-13.5,4,-9.5,26.1,12.3,8.6,5.3,15.2,8.8,19.2,1.3,7.1,6.7,6.4,2.9,-3.5,-2.9,-4.2,-9.2,-8.7,-13.3,-8.3,0.1,0.8,1,5.7,-0.1,2.2,5.4,7.5
"26","19","          Nondurable goods","W115RL1",82.2,-39.4,-9.5,62.4,-11.7,2,7.4,11.6,68.5,19.2,0.4,-31.5,-12.9,6.2,-24.2,0.3,-11.3,-5.5,5,2.8,1.1,16,21.7,-10,6.1,-19.9,15.6,31.6,-24.9,-36.1,59.7,-8.3,4.3,-0.7,-2.3,-7.7,-8.4,2.5,5.5,2.2,-5.6,11.1,9.1,13.2,-0.9
"27","20","          Services","W116RL1",-3.4,14.5,11.5,7.9,12.4,-1.5,0.5,15.4,9.8,-2.2,-4.6,-2.8,2.9,-1.5,-3.7,1.3,-1.5,-3.6,3.2,2.4,5.1,6.8,2,11,5.6,5.5,10.8,4,7.3,1.7,-1.9,4,0.7,-0.7,-6,2.5,-1.1,-0.5,2.4,-4.3,5.9,2.2,10.5,17.9,19.5
"28","21","      Less: Own-account investment","W117RL1",8,-3.1,4.3,0.5,-9.1,-2.9,3.4,10.4,-17.5,-9.8,-5.9,2.4,3.8,5.4,-6.9,-6.9,0.7,-2,-10.8,10.7,12.5,7.3,1.1,10.2,8.4,11.4,13.1,2.1,9.4,3.2,10.6,4.3,2.7,-0.1,-3,-7.9,-0.8,-5.9,-4.5,0,-10.4,-18.5,22.3,-0.9,-1.5
"29","22","            Sales to other sectors","W118RL1",-22.7,-10.1,-12.6,11.3,14.6,0.4,8.7,42.3,-31.9,-4.5,4.6,-5.2,-4.6,85.8,13.8,14.6,-21.5,-16.5,26.5,8.3,11.3,-7.6,-8.3,-5.8,-6.2,6.9,-0.8,4.7,8.4,9.7,-3.2,4.8,7.9,-7.7,-10.9,30.3,-29,6,-31.2,11.6,-21.8,37.7,-25.5,-10.7,-5.5
"30","23","    Defense consumption expenditures","A997RL1",-7.6,1.2,2.4,6.9,1.1,-2.6,0.4,14.1,13.1,4.2,-3.9,-9.1,-7.8,-6.1,-7.2,-3.2,-2.5,-1.7,1,1.1,1.3,3.9,5.7,6.7,5.3,3,6,4.6,3.7,1.1,-0.7,-0.7,-0.1,-5.2,-4.3,-4.5,-3.5,-1.7,-1.3,-2.5,1.5,-1,3.9,8.4,10.8
"31","24","      Gross output of general government","W085RL1",-8.1,1.3,2.2,7,1,-2.5,0.6,14.6,12,4,-3.9,-9.1,-7.8,-5.5,-6.8,-2.8,-3,-2.4,1.2,1.1,1.3,4,5.7,6.7,5,3.2,6,4.6,3.8,1.2,-0.7,-0.4,-0.1,-5,-4.2,-3.9,-4.2,-1.6,-1.5,-2.6,1.4,-1,4,8.4,10.6
"32","25","        Value added","W086RL1",-1,0.9,2,3.9,-0.3,0.4,0,6.9,6.7,1.4,0,-5.8,-6.7,-7.1,-5,-1.9,-1.4,-1.5,-0.5,0.6,-0.4,0.9,2.9,2.6,2.4,2.6,3.3,2.4,2.6,0.6,1.1,0.6,0.5,-3.8,-3,-3.9,-4.2,-3.4,-3,-2.7,-2,-0.7,0.2,1.4,3.3
"33","26","          Compensation of general government employees","B237RL1",-2.7,-0.1,2,4.3,-1.8,0,0.1,10.1,8.8,1.3,0.1,-7.3,-7.6,-7.6,-5.2,-1.5,-1.4,-2,-0.9,0.7,-0.8,0.6,3.1,2.3,1.5,1.4,1.9,0.5,0.9,-1.2,0,-0.6,-0.3,-5.9,-4.3,-5.2,-5.5,-4.2,-3.6,-3.1,-2.4,-0.7,0.6,2.1,4.1
"34","27","          Consumption of general government fixed capital","B432RL1",2.1,2.7,1.9,3.2,2.5,1.2,-0.1,0.2,1.9,1.5,-0.3,-1.7,-4.1,-5.5,-4.7,-3.2,-1.4,0,0.5,0.4,1,1.9,2.4,3.5,4.8,6.3,8,8.5,7.7,5.8,4.4,3.9,2.9,1.7,0.4,-0.8,-1.5,-1.5,-1.5,-1.6,-1.1,-0.8,-0.7,-0.2,1
"35","28","        Intermediate goods and services purchased","W087RL1",-18.8,2.1,2.8,12.9,3.2,-7.6,1.7,29.9,20.6,7.9,-9.5,-14.5,-9.9,-2.1,-10.4,-4.7,-6.5,-4.4,5.2,2.1,4.7,10.1,10.7,13.6,9,4.1,10.1,7.8,5.4,2.1,-3.4,-2,-1.2,-6.9,-6.2,-4.1,-4.3,1.5,1.2,-2.6,7.3,-1.4,9.9,18.8,20
"36","29","          Durable goods","A998RL1",-28.5,-15,-17.9,23.8,0.8,-15.5,3.7,45.6,-1.3,15.8,-16.6,-10.5,-28,27.8,-7.6,-13.5,3.9,-10.2,26.7,11.7,8.1,4.8,16.6,9.7,18.2,1.1,7.3,6.9,6.2,2.8,-4,-3.6,-4.6,-10,-9,-14.2,-9.1,-0.8,0.4,1.1,6.1,-0.8,1.4,4.3,8.8
"37","30","          Nondurable goods","A725RL1",-16.4,7.2,23.4,26.6,-7,10.4,8,42.6,53.8,14.5,-11.3,-30.4,-18.2,1.9,-25.7,-13.6,-17.2,-18.4,-6.6,0.8,3,9.3,5.8,-0.5,4.7,-5.3,-1.7,26.1,-2,-3.6,-3.2,-10.7,1.8,-7.5,-8.3,-9,-17.9,10.4,0.7,3.5,11.4,4.9,2.4,12.7,-4.5
"38","31","          Services","A489RL1",-10.3,13.6,9.4,4.9,7.4,-8.6,-1,19.2,18.9,1.6,-5.4,-8.8,0.1,-11.2,-6.3,1.3,-6.2,1.7,1.3,-1.3,3.6,12.7,9.9,19.9,5.9,7.7,13.6,5.7,6.1,2.6,-3.2,0,-0.3,-5.7,-5,-0.2,-1.7,1.3,1.4,-3.9,7.2,-2.2,12.8,22.4,24
"39","32","      Less: Own-account investment","W088RL1",-26.1,4.4,1.8,4.6,-7,-0.6,5.2,16.1,-61.4,1.2,6.3,5.2,-8.9,11.8,8.3,1.2,17.5,7,-7.9,6.2,13.8,0.2,9.6,19.4,12.2,15.2,16,4.8,9.1,1.1,13.4,-2.1,5,-0.9,-3,-9.9,-2.5,-7.3,-4.6,-4.9,-10.3,-17.2,27.1,28.3,4.9
"40","33","            Sales to other sectors","W089RL1",-50.8,24.6,-26.1,23.3,-19.2,33.9,37.7,79.8,-60.7,-48.1,-3.5,-6.8,-20.1,397.5,59.4,31.6,-37.1,-67,53.8,-1.3,-7.3,32.2,14.8,6.2,-53.3,34.3,-16.4,-0.1,17.4,18.9,-19.8,74.7,-11.6,24.4,6,68.2,-52.8,16.9,-23.8,-17.7,-2.9,11,0.4,-8.5,-29.2
"41","34","    Nondefense consumption expenditures","A542RL1",44.6,-12.3,-1,21.8,8.9,7,4.6,0.5,4.7,0.1,5.1,-0.3,4.7,7.6,-1.2,5.6,3.3,-0.1,4.2,4.1,1.7,5.2,1.6,-4.4,3.7,-3.6,5.7,3.7,-1.5,-4.8,8.6,8.1,1.2,6.2,-1.3,0.8,-1.5,-2.2,3.4,-1.1,2,5.8,4,6.1,5.8
"42","35","      Gross output of general government","W128RL1",42.6,-12.8,-0.8,20.4,9.3,6,4.1,0.7,5.1,0.4,4.9,-0.4,4.5,8.5,-1.5,5.2,2.9,0.5,4.9,4.6,2.6,4,0.7,-4.5,4.1,-3.3,5.7,3.7,-1.1,-4.1,8.2,7.4,1.8,5,-2,0.8,-1.6,-2.2,2.1,-0.3,1,6.2,3.2,5.5,5.7
"43","36","        Value added","W129RL1",0.1,6.9,2.4,5.4,6.3,3.4,3.4,5.4,5.6,2.9,1.3,1.5,2.9,2.6,0.4,4.5,1.8,4.6,2.3,2.8,0.5,3.2,-1.7,-0.8,2.3,1.3,1.4,-0.1,2.6,3.2,1.5,5.1,0.8,2.2,0.5,-1.9,-2.8,-1.4,0.3,1.9,1.4,3.6,0.3,2.1,3.3
"44","37","          Compensation of general government employees","W130RL1",0.3,8,2.6,5.3,5.8,2.3,1.9,4,4.9,2.4,0.9,1.3,3.3,2.9,0.2,5,1.8,5,2.2,2.6,-0.1,2.7,-2.9,-1.9,1.4,0.1,0.2,-1.5,1.8,2.5,0.6,5,-0.3,1.8,-0.1,-2.8,-4,-2.7,-0.6,1.2,0.2,3.1,-0.5,1.9,3.3
"45","38","          Consumption of general government fixed capital","B546RL1",-0.9,-0.6,1.3,6.1,10.2,11.7,14.2,14,9.6,5.9,3.6,2.3,1,0.6,1.1,1.6,2,2.4,3,4.6,5.3,6.2,6.2,5.7,7.2,8.4,7.9,7.1,6.6,6.1,5.8,5.9,5.7,4.3,3.5,2.7,3,4.5,4.9,5.3,7.1,6,3.8,3,3.4
"46","39","        Intermediate goods and services purchased","W131RL1",129.5,-31.6,-5.8,46.2,13,9.1,5,-4.8,4.4,-2.9,10,-3,7,17.5,-4.2,6.1,4.6,-5.3,8.9,7.2,5.5,5.1,4,-9.3,6.6,-9.5,12.2,9.1,-5.8,-14.9,21,11,3.6,9.4,-5.8,5.4,0.3,-3.4,5,-4,0.2,10.9,8.2,11,9.4
"47","40","          Durable goods","A543RL1",-24.3,20.4,81.2,61.8,39,29.7,27.7,3.9,-12.3,-20.2,-12.8,-20.1,-4.2,7.4,-21.1,-12.9,6.9,7.3,15.3,26,20.9,16.7,-11.1,-14.2,52.3,8.5,2.2,0.9,11.7,4.5,10,14,3,8.2,-2.6,0.3,2.8,11.4,5.9,0.1,-0.2,8.3,12.6,18,-7
"48","41","          Nondurable goods","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RL1",175.1,-21,16.7,-0.6,11.5,7.4,0.6,17.1,8,-19.7,25.7,2.5,-4.8,12.4,-13.7,10,-24.3,26.5,14.4,16.9,0.1,-1.3,65.8,-28.7,4.7,4.5,-12.3,-11.7,13.9,-1.6,-11.2,6.6,-14.8,22.5,-0.1,-2.9,-2.1,-3.8,7.8,-1.7,-20.1,8.9,18.4,22,4.2
"51","44","          Services","A544RL1",31,17.3,18.3,16.5,25.6,14.6,3.3,8.6,-7.7,-11.7,-2.3,13.7,9,18.4,0.4,1.1,5.3,-10.2,5.8,7.5,7,-0.6,-9,-3.8,5,1,4.6,0,10.2,-0.5,1.4,13.3,2.8,9.3,-7.6,7.5,0,-3.7,4.1,-4.9,3.7,9.9,6.8,10.4,11
"52","45","      Less: Own-account investment","W136RL1",41.6,-6.9,5.7,-1.6,-10.2,-4.2,2.4,7.3,8.4,-12.1,-8.8,1.6,7.5,3.8,-11,-9.6,-5.8,-6.4,-12.5,13.3,11.7,11.3,-3.3,4.9,6,8.8,11,0.1,9.6,4.9,8.6,9,1.1,0.5,-3,-6.6,0.2,-5.1,-4.4,2.8,-10.5,-19.2,19.8,-17.5,-7.1
"53","46","            Sales to other sectors","W137RL1",8.7,-28.1,-0.2,3.1,41.6,-14.6,-11.3,3.3,19.2,20.4,6.5,-4.8,-1.2,38,-6.4,1.6,-4.7,20.5,25.1,11.1,14.5,-13.3,-12.7,-9.4,11.8,1.4,3,5.8,6.5,7.7,0.9,-8.4,16.7,-17.5,-19.4,6.8,-6,-0.3,-34.7,35.2,-29.5,50,-36.5,-12.3,11.6
"54","47","State and local consumption expenditures","A991RL1",4.1,5.7,5.5,2.9,4.9,6.6,6.6,6.1,4.6,6.5,6.3,6,4.9,3.8,3.5,4.6,5,1.4,1.9,2,0.7,-0.2,-0.4,1.5,1.1,1.9,5.2,6.4,1.2,3.4,3,3.3,2.1,2.4,2,2.5,2.3,1.8,2.7,3.8,3.9,1.9,2.2,1.4,0.7
"55","48","      Gross output of general government","W138RL1",4.8,5.3,5.6,3.7,5.5,6.7,7,6.4,5.1,6.8,6.1,5.8,5.3,4.1,3.5,4,4.4,1.7,1.9,2.4,1.3,0.1,0.2,1.7,1.4,1.6,5,5.9,1.3,3.2,3,3.1,2.3,2.7,2.5,2.7,2.5,1.8,2.9,3.9,3.6,2.6,2.7,2,1.2
"56","49","        Value added","W139RL1",4.1,5.3,5.2,3.7,5.2,6,6.1,5.9,4.2,6,4.6,4.4,4.1,3.5,3.5,3.6,3,1.3,1.5,2.3,1.8,1.4,-0.1,0.6,-0.4,0.6,2.9,2.9,1.9,3.4,3.1,3,1.3,1.7,1.4,1.7,2,1.6,2,2.1,1.8,2.1,2.3,1.6,0.6
"57","50","          Compensation of general government employees","B251RL1",3.9,5.2,5.1,3.4,5.2,6,6.1,5.9,3.9,6,4.5,4.4,4.1,3.4,3.5,3.6,3,1.1,1.4,2.3,1.7,1.2,-0.3,0.5,-0.7,0.3,2.8,2.8,1.7,3.3,2.9,2.7,0.9,1.4,1.1,1.5,1.8,1.3,1.7,1.7,1.4,1.8,2.1,1.3,0.3
"58","51","          Consumption of general government fixed capital","B986RL1",5.9,5.6,5.5,5.7,5.8,6.2,6.3,6.4,6.4,5.9,5.5,4.8,4.1,3.6,3.5,3.5,3.3,2.8,2.3,2.1,2.4,2.6,2.1,1.8,1.9,2.6,3.5,4,3.9,4.1,4.9,5.4,4.9,4.3,3.9,3.6,3.7,3.7,4.3,4.8,4.9,4.8,4.4,3.9,3.3
"59","52","        Intermediate goods and services purchased","W140RL1",7.2,5.2,7,3.8,6.6,9.3,10,8.1,8,9.7,11.1,10.1,9.3,6.1,3.5,5.2,8.1,2.8,3,2.5,-0.1,-3.3,0.7,4.4,6.3,4.3,10.3,13.3,-0.2,2.7,3,3.2,4.7,5.1,4.9,4.8,3.7,2.4,4.9,7.8,7.4,3.5,3.5,2.7,2.4
"60","53","          Durable goods","B989RL1",12.5,5.5,6,7,6.5,6.9,12.2,7.8,5.2,16,14.3,13.1,15.6,11.3,7.9,5.1,2.6,4.4,3.6,2.5,2.2,-1,3.7,3.4,4.6,5.9,5.1,8,3.6,2.8,4.6,2.5,3.6,3,3.1,4.5,6.7,2.8,7,7.4,5.7,5.1,4.9,1,1
"61","54","          Nondurable goods","B337RL1",21.8,5.1,6.4,3.6,5.2,7.2,7.2,4.6,5.2,8.2,9.1,10.7,10,3.7,1.4,2.3,9.5,8.5,6.6,2.6,-0.8,-4.3,-0.4,2.4,5,5.3,6.9,9,3.1,3.1,4,3.2,4.8,4.6,4.5,5.9,4.5,2.7,4.6,7.7,7.5,4.5,4.7,3.5,2.7
"62","55","          Services","A988RL1",-3.6,5.3,7.6,3.7,7.8,11.2,12,10.7,10.2,10.1,12.1,9.4,8.2,6.9,4.2,7.1,7.9,-1.2,0.4,2.5,0.2,-2.7,1.3,6,7.3,3.5,12.9,16.1,-2.1,2.5,2.3,3.3,4.8,5.6,5.3,4.4,3.1,2.2,4.9,7.9,7.5,2.9,2.8,2.5,2.3
"63","56","      Less: Own-account investment","W144RL1",35.5,-6.3,4.7,6.2,12.5,-1.3,2.8,5.5,-3,5.4,0.7,1.1,0.1,-2.5,-2.9,6.4,-5.7,-11.6,-8.8,7.7,15.6,4.2,-4.5,0.7,-0.7,11,8,7.1,2.2,4.6,11.7,4.7,4.5,-0.9,-0.6,1,1.4,1.2,9.4,1.9,4.4,5.7,5.7,1.4,0.7
"64","57","            Sales to other sectors","W145RL1",5.6,3.9,6.8,11.1,9.9,9.5,11.3,9.1,10.1,9.7,4.7,4.7,9.2,7.2,4.4,-0.1,1,5.7,3.1,4.7,4.6,1.6,4.4,3,3.5,-0.2,3.4,3.3,1.6,1.9,2.8,1.9,3.3,4.5,4.8,3.5,3.7,1.9,3.4,4.5,2.4,5.1,4.9,4.4,3.4
"65","58","              Tuition and related educational charges","B1065L1",7.6,10.6,9.5,13.1,14.2,17,16.1,13.3,11.5,12.5,10,16.5,12.6,6.2,7.9,-0.3,0.1,3.2,4.1,5.4,2.8,3.3,2.2,-0.2,3.2,-0.1,-0.1,0.8,0.7,3.1,3,2.2,1.6,1.9,-1.2,0.1,0.4,0.3,2.3,3,3.4,4.1,2.4,1.5,2.4
"66","59","              Health and hospital charges","B1066L1",4.9,-7.3,1.9,17.1,3.7,8,14.2,14.3,13.4,16.8,3.5,1.8,16.5,14.6,11,3.1,2.8,6.3,1.9,7,8.4,0.9,6.3,3,2.5,-2.4,2.3,2.6,0.1,0,0.8,1,4.2,5.8,5.9,4,4.5,-0.4,2.4,5.6,0.8,4.6,6,5,2.9
"67","60","              Other sales","W146RL1",5.5,8.5,8.6,7.9,12,8.5,8.7,5.5,7.9,4.6,3.8,2.2,2.7,2,-2.9,-3,-0.3,6.3,4,1.8,0.9,1.6,3.1,4.8,5.3,3.3,7.3,5.8,4.6,4,5.8,2.9,2.9,4.1,7,4.9,4.6,6.9,5.7,3.8,4.3,6.4,4.9,5.3,4.9
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
