"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"32","25","        Value added","W086RA3",114.875,115.898,118.2,122.783,122.428,122.906,122.944,131.375,140.174,142.087,142.096,133.912,124.971,116.116,110.262,108.13,106.616,105.02,104.447,105.085,104.705,105.669,108.754,111.576,114.204,117.166,121.075,123.984,127.241,127.975,129.446,130.227,130.933,125.981,122.264,117.54,112.592,108.796,105.57,102.743,100.695,100,100.219,101.657,104.979
"33","26","          Compensation of general government employees","B237RA3",144.3,144.155,147.087,153.363,150.662,150.634,150.798,166.07,180.695,183.068,183.296,169.99,157.074,145.101,137.608,135.521,133.601,130.926,129.757,130.628,129.549,130.324,134.339,137.416,139.531,141.464,144.098,144.754,146.099,144.326,144.282,143.381,142.881,134.5,128.71,122.055,115.397,110.504,106.505,103.154,100.666,100,100.599,102.711,106.957
"34","27","          Consumption of general government fixed capital","B432RA3",62.457,64.151,65.371,67.442,69.098,69.9,69.814,69.955,71.295,72.36,72.142,70.95,68.028,64.267,61.257,59.32,58.518,58.535,58.817,59.073,59.658,60.768,62.253,64.44,67.533,71.783,77.534,84.118,90.613,95.858,100.1,103.999,106.976,108.783,109.214,108.303,106.716,105.134,103.535,101.839,100.761,100,99.324,99.107,100.069
"35","28","        Intermediate goods and services purchased","W087RA3",55.271,56.43,57.983,65.462,67.542,62.429,63.51,82.51,99.484,107.33,97.186,83.116,74.85,73.279,65.684,62.626,58.579,55.981,58.885,60.129,62.945,69.277,76.695,87.156,94.967,98.814,108.762,117.238,123.559,126.128,121.823,119.43,118.005,109.817,102.972,98.762,94.5,95.907,97.033,94.551,101.423,100,109.933,130.598,156.703
"36","29","          Durable goods","A998RA3",83.892,71.301,58.514,72.432,72.98,61.65,63.934,93.096,91.851,106.407,88.791,79.506,57.233,73.126,67.578,58.438,60.693,54.49,69.014,77.084,83.317,87.328,101.798,111.653,132.016,133.432,143.159,153.028,162.517,167.07,160.395,154.63,147.575,132.775,120.801,103.692,94.237,93.497,93.875,94.93,100.764,100,101.395,105.743,115.097
"37","30","          Nondurable goods","A725RA3",98.53,105.636,130.336,165.051,153.576,169.566,183.202,261.306,401.905,460.184,408.411,284.298,232.425,236.828,175.961,152.06,125.953,102.782,96.023,96.782,99.703,109.014,115.295,114.772,120.2,113.779,111.817,141.052,138.213,133.232,129.03,115.176,117.284,108.488,99.524,90.579,74.335,82.076,82.676,85.609,95.326,100,102.409,115.417,110.249
"38","31","          Services","A489RA3",39.166,44.511,48.674,51.046,54.837,50.144,49.663,59.22,70.4,71.556,67.725,61.793,61.831,54.92,51.444,52.134,48.891,49.721,50.379,49.712,51.488,58.018,63.75,76.46,80.957,87.183,99.075,104.712,111.124,113.97,110.318,110.275,109.958,103.651,98.437,98.225,96.57,97.872,99.247,95.342,102.209,100,112.769,138.001,171.12
"39","32","      Less: Own-account investment","W088RA3",83.517,87.178,88.749,92.861,86.367,85.885,90.325,104.909,40.487,40.971,43.539,45.82,41.722,46.662,50.517,51.137,60.076,64.299,59.236,62.88,71.581,71.742,78.633,93.922,105.357,121.382,140.761,147.489,160.856,162.652,184.438,180.629,189.723,187.925,182.239,164.189,160.103,148.46,141.63,134.667,120.777,100,127.063,163.043,170.961
"40","33","            Sales to other sectors","W089RA3",60.978,75.997,56.149,69.239,55.936,74.899,103.127,185.43,72.806,37.806,36.465,33.987,27.163,135.142,215.45,283.587,178.365,58.906,90.577,89.382,82.843,109.512,125.68,133.529,62.306,83.683,69.921,69.851,82.039,97.51,78.193,136.579,120.787,150.263,159.322,268.03,126.442,147.868,112.732,92.727,90.064,100,100.395,91.911,65.052
"41","34","    Nondefense consumption expenditures","A542RA3",37.488,32.878,32.542,39.635,43.156,46.173,48.317,48.555,50.823,50.88,53.492,53.34,55.834,60.086,59.387,62.688,64.775,64.704,67.407,70.19,71.396,75.111,76.341,72.994,75.705,72.953,77.132,79.999,78.764,74.95,81.386,88.013,89.098,94.613,93.352,94.061,92.636,90.61,93.673,92.65,94.508,100,104.025,110.398,116.816
"42","35","      Gross output of general government","W128RA3",38.852,33.879,33.614,40.473,44.221,46.855,48.796,49.137,51.648,51.865,54.412,54.191,56.654,61.453,60.508,63.64,65.497,65.829,69.039,72.198,74.049,77.008,77.579,74.066,77.097,74.584,78.82,81.769,80.898,77.55,83.91,90.1,91.763,96.384,94.452,95.211,93.665,91.621,93.535,93.221,94.145,100,103.188,108.891,115.144
"43","36","        Value added","W129RA3",41.541,44.415,45.493,47.936,50.965,52.721,54.535,57.466,60.709,62.485,63.311,64.242,66.132,67.848,68.091,71.172,72.44,75.78,77.554,79.752,80.188,82.724,81.292,80.631,82.487,83.581,84.786,84.741,86.933,89.672,90.978,95.653,96.381,98.529,99.039,97.145,94.406,93.049,93.368,95.146,96.495,100,100.255,102.398,105.793
"44","37","          Compensation of general government employees","W130RA3",52.637,56.864,58.33,61.406,64.973,66.488,67.747,70.434,73.901,75.644,76.32,77.319,79.868,82.211,82.413,86.533,88.048,92.411,94.486,96.928,96.8,99.425,96.495,94.674,96.037,96.088,96.307,94.901,96.565,99.006,99.551,104.502,104.224,106.107,106.024,103.035,98.929,96.285,95.694,96.806,96.992,100,99.458,101.379,104.731
"45","38","          Consumption of general government fixed capital","B546RA3",11.966,11.899,12.055,12.79,14.095,15.745,17.988,20.515,22.484,23.819,24.675,25.251,25.491,25.635,25.907,26.319,26.84,27.479,28.307,29.613,31.187,33.116,35.174,37.165,39.847,43.212,46.634,49.953,53.246,56.5,59.756,63.285,66.895,69.741,72.15,74.071,76.282,79.734,83.609,88.076,94.321,100,103.813,106.978,110.647
"46","39","        Intermediate goods and services purchased","W131RA3",33.084,22.644,21.341,31.205,35.258,38.457,40.369,38.416,40.109,38.953,42.848,41.578,44.487,52.292,50.11,53.182,55.605,52.673,57.366,61.525,64.91,68.245,71.004,64.415,68.665,62.153,69.726,76.041,71.602,60.916,73.724,81.831,84.738,92.737,87.324,92.039,92.325,89.206,93.666,89.962,90.18,100,108.197,120.093,131.392
"47","40","          Durable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","          Nondurable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RA3",57.543,45.466,53.07,52.778,58.841,63.199,63.547,74.402,80.357,64.523,81.102,83.132,79.106,88.933,76.789,84.475,63.936,80.858,92.497,108.119,108.24,106.807,177.084,126.237,132.146,138.139,121.149,107.008,121.9,120.002,106.518,113.581,96.808,118.564,118.463,115.042,112.674,108.375,116.845,114.881,91.842,100,118.437,144.492,150.593
"51","44","          Services","A544RA3",19.073,22.374,26.467,30.841,38.74,44.387,45.846,49.802,45.948,40.568,39.622,45.033,49.089,58.099,58.31,58.98,62.109,55.749,58.991,63.442,67.862,67.464,61.363,59.057,61.99,62.593,65.458,65.484,72.152,71.778,72.75,82.44,84.763,92.661,85.576,92.014,92.003,88.607,92.277,87.779,91.016,100,106.782,117.862,130.819
"52","45","      Less: Own-account investment","W136RA3",115.191,107.295,113.443,111.597,100.194,95.963,98.27,105.43,114.249,100.441,91.578,93.065,100.036,103.86,92.438,83.554,78.689,73.683,64.491,73.098,81.661,90.877,87.894,92.162,97.666,106.293,118.018,118.081,129.458,135.751,147.434,160.745,162.514,163.375,158.554,148.028,148.311,140.698,134.443,138.217,123.709,100,119.786,98.831,91.793
"53","46","            Sales to other sectors","W137RA3",54.31,39.023,38.96,40.17,56.874,48.592,43.102,44.519,53.083,63.928,68.107,64.814,64.053,88.399,82.737,84.099,80.148,96.547,120.765,134.218,153.685,133.243,116.255,105.298,117.759,119.351,122.947,130.046,138.541,149.216,150.496,137.925,160.96,132.733,107.031,114.35,107.5,107.199,69.969,94.618,66.678,100,63.532,55.699,62.16
"54","47","State and local consumption expenditures","A991RA3",25.185,26.627,28.086,28.894,30.308,32.307,34.424,36.528,38.207,40.682,43.262,45.851,48.109,49.933,51.663,54.016,56.692,57.475,58.569,59.748,60.142,60.017,59.783,60.668,61.356,62.493,65.759,69.941,70.783,73.197,75.367,77.818,79.429,81.339,82.959,85.055,86.989,88.564,90.971,94.406,98.098,100,102.176,103.568,104.26
"55","48","      Gross output of general government","W138RA3",23.847,25.105,26.509,27.49,29.014,30.965,33.126,35.258,37.043,39.572,41.971,44.389,46.754,48.668,50.367,52.399,54.688,55.619,56.695,58.043,58.78,58.816,58.916,59.902,60.77,61.769,64.849,68.685,69.562,71.788,73.977,76.237,77.989,80.105,82.068,84.27,86.406,87.976,90.552,94.08,97.492,100,102.746,104.753,106.037
"56","49","        Value added","W139RA3",31.388,33.049,34.755,36.031,37.912,40.184,42.628,45.159,47.056,49.876,52.156,54.465,56.684,58.642,60.694,62.897,64.815,65.666,66.672,68.225,69.441,70.38,70.344,70.797,70.512,70.931,72.968,75.082,76.526,79.146,81.574,84.003,85.085,86.532,87.725,89.249,91.024,92.436,94.291,96.232,97.947,100,102.34,103.935,104.592
"57","50","          Compensation of general government employees","B251RA3",33.433,35.188,36.986,38.248,40.22,42.619,45.198,47.855,49.737,52.723,55.078,57.494,59.833,61.888,64.053,66.386,68.389,69.159,70.151,71.799,73.025,73.901,73.656,74.018,73.502,73.757,75.819,77.919,79.236,81.886,84.225,86.503,87.266,88.488,89.454,90.815,92.439,93.638,95.262,96.912,98.271,100,102.082,103.381,103.694
"58","51","          Consumption of general government fixed capital","B986RA3",18.71,19.758,20.852,22.033,23.3,24.744,26.31,28,29.793,31.555,33.276,34.863,36.301,37.617,38.936,40.308,41.638,42.801,43.797,44.738,45.821,47.007,48.017,48.883,49.798,51.086,52.882,54.983,57.137,59.476,62.386,65.728,68.923,71.908,74.706,77.413,80.281,83.252,86.803,90.937,95.409,100,104.396,108.421,111.992
"59","52","        Intermediate goods and services purchased","W140RA3",11.598,12.203,13.058,13.556,14.455,15.795,17.378,18.785,20.288,22.251,24.723,27.216,29.743,31.547,32.639,34.351,37.142,38.167,39.321,40.308,40.278,38.966,39.258,40.975,43.554,45.424,50.092,56.736,56.622,58.135,59.882,61.822,64.747,68.059,71.424,74.88,77.684,79.544,83.447,89.959,96.622,100,103.52,106.33,108.847
"60","53","          Durable goods","B989RA3",9.221,9.731,10.31,11.036,11.748,12.559,14.089,15.185,15.975,18.538,21.187,23.967,27.703,30.841,33.279,34.986,35.889,37.46,38.819,39.797,40.685,40.279,41.789,43.193,45.194,47.875,50.326,54.352,56.324,57.877,60.548,62.072,64.335,66.272,68.331,71.383,76.192,78.334,83.84,90.018,95.118,100,104.899,105.896,106.928
"61","54","          Nondurable goods","B337RA3",13.751,14.452,15.384,15.938,16.765,17.97,19.262,20.147,21.197,22.933,25.025,27.713,30.491,31.625,32.075,32.822,35.955,39.004,41.593,42.657,42.328,40.502,40.336,41.286,43.365,45.666,48.832,53.22,54.846,56.529,58.784,60.681,63.583,66.517,69.524,73.599,76.919,79.028,82.693,89.046,95.698,100,104.734,108.404,111.367
"62","55","          Services","A988RA3",10.494,11.049,11.886,12.321,13.288,14.774,16.546,18.322,20.199,22.229,24.91,27.246,29.478,31.506,32.82,35.154,37.922,37.485,37.646,38.577,38.642,37.596,38.081,40.366,43.328,44.832,50.621,58.768,57.52,58.938,60.32,62.322,65.322,68.96,72.629,75.818,78.183,79.894,83.773,90.388,97.186,100,102.816,105.359,107.77
"63","56","      Less: Own-account investment","W144RA3",38.331,35.935,37.632,39.964,44.94,44.362,45.598,48.114,46.66,49.163,49.493,50.054,50.093,48.829,47.397,50.454,47.555,42.031,38.332,41.266,47.716,49.736,47.518,47.869,47.527,52.769,56.97,61.01,62.349,65.207,72.849,76.283,79.684,78.938,78.49,79.258,80.395,81.358,88.979,90.701,94.648,100,105.681,107.211,108.009
"64","57","            Sales to other sectors","W145RA3",15.152,15.743,16.82,18.679,20.524,22.479,25.015,27.302,30.061,32.979,34.545,36.159,39.473,42.323,44.185,44.156,44.6,47.123,48.587,50.88,53.211,54.056,56.432,58.106,60.156,60.021,62.043,64.071,65.108,66.35,68.239,69.518,71.811,75.046,78.635,81.374,84.407,85.999,88.927,92.949,95.182,100,104.92,109.505,113.25
"65","58","              Tuition and related educational charges","B1065A3",12.339,13.641,14.936,16.886,19.285,22.565,26.201,29.689,33.102,37.244,40.963,47.707,53.726,57.042,61.521,61.32,61.407,63.39,65.978,69.567,71.541,73.926,75.523,75.394,77.828,77.72,77.673,78.324,78.838,81.287,83.762,85.635,87.015,88.672,87.589,87.672,87.983,88.241,90.255,92.922,96.062,100,102.427,103.924,106.465
"66","59","              Health and hospital charges","B1066A3",13.217,12.246,12.481,14.614,15.155,16.366,18.682,21.346,24.205,28.263,29.255,29.784,34.692,39.764,44.12,45.483,46.742,49.683,50.606,54.142,58.701,59.2,62.926,64.802,66.442,64.855,66.361,68.1,68.138,68.159,68.711,69.427,72.358,76.555,81.077,84.28,88.061,87.693,89.832,94.881,95.632,100,106.013,111.31,114.488
"67","60","              Other sales","W146RA3",16.071,17.438,18.944,20.445,22.89,24.836,26.994,28.47,30.717,32.138,33.345,34.083,34.99,35.679,34.627,33.6,33.485,35.587,37.013,37.676,38.032,38.643,39.825,41.741,43.954,45.391,48.682,51.511,53.889,56.056,59.318,61.046,62.835,65.409,69.961,73.407,76.802,82.123,86.774,90.064,93.961,100,104.868,110.414,115.867
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
