"","Table 2#3#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"20","12","    Other nondurable goods","DONGRG3",19.057,19.353,19.4,19.464,19.734,20.027,20.305,20.71,21.217,22.03,22.845,23.911,24.827,25.445,26.139,28.711,32.008,33.664,35.615,37.552,40.007,43.661,47.362,51.028,54.542,56.564,58.752,61.092,63.552,66.397,70.065,73.61,77.532,80.45,81.807,82.38,83.839,85.425,86.318,87.942,91.377,93.38,95.548,97.125,97.307,98.479,100,102.161,103.537,106.032,110.691,112.804
"21","13","Services","DSERRG3",13.23,13.581,13.827,14.09,14.306,14.573,14.846,15.277,15.786,16.468,17.326,18.287,19.285,20.103,21.078,22.868,24.836,26.558,28.56,30.779,33.353,36.805,40.558,43.712,46.433,48.85,51.053,53.378,55.413,58.127,60.844,63.812,66.586,69.24,71.299,73.205,75.37,77.479,79.817,81.695,83.515,85.824,88.428,90.807,93.692,96.687,100,103.411,106.973,110.566,112.233,114.167
"22","14","  Household consumption expenditures (for services)","DHCERG3",12.636,13.014,13.252,13.507,13.714,13.977,14.234,14.643,15.131,15.788,16.604,17.533,18.489,19.275,20.199,21.873,23.751,25.411,27.332,29.467,31.916,35.229,38.882,42.086,44.908,47.392,49.635,52.025,54.106,56.862,59.738,62.93,65.93,68.869,71.116,73.087,75.323,77.457,79.765,81.529,83.306,85.523,88.064,90.505,93.572,96.707,100,103.463,107.112,110.832,112.718,114.734
"23","15","    Housing and utilities","DHUTRG3",15.565,15.859,16.07,16.243,16.416,16.562,16.703,16.934,17.225,17.619,18.184,18.975,19.947,20.703,21.632,22.829,24.624,26.406,28.746,30.775,33.263,36.746,40.8,44.563,47.446,49.86,52.486,54.983,56.96,59.215,61.601,64.277,66.41,68.263,70.236,72.049,73.998,76.187,78.263,80.108,82.014,84.783,88.718,91.297,94.164,96.66,100,104.282,107.958,111.871,113.24,113.509
"24","16","    Health care","DHLCRG3",7.035,7.508,7.678,7.872,8.095,8.371,8.631,9.016,9.59,10.195,10.914,11.738,12.343,12.867,13.475,14.755,16.414,17.996,19.496,21.142,23.202,26.012,29.188,32.474,35.444,38.097,40.408,42.81,45.564,49.116,53.435,57.995,62.476,66.868,70.442,73.304,75.978,77.766,79.324,80.82,82.594,84.919,87.769,90.065,93.481,96.932,100,103.039,106.842,109.73,112.693,115.557
"25","17","    Transportation services","DTRSRG3",15.543,15.891,16.355,16.707,16.779,17,17.294,17.608,18.266,19.089,20.265,21.831,23.364,24.254,25.326,27.497,30.537,32.815,35.092,37.414,40.741,47.289,53.041,55.979,58.104,60.397,61.589,62.206,64.842,67.873,70.857,73.565,75.584,77.732,80.436,81.417,83.214,84.263,86.13,87.648,88.956,91.625,92.643,93.072,95.07,96.459,100,104.215,106.631,112.406,115.633,118.008
"26","18","    Recreation services","DRCARG3",16.475,17.087,17.56,17.978,18.367,18.881,19.266,19.773,20.465,21.56,22.476,23.514,24.548,25.177,26.071,27.879,29.934,31.416,32.919,34.887,37.191,40.004,42.553,44.873,46.821,48.845,50.953,52.922,54.974,57.083,59.921,63.192,66.478,68.541,70.736,72.246,73.839,76.299,78.766,80.716,83.311,86.536,89.372,91.943,94.761,97.27,100,103.37,106.237,109.542,110.815,112.016
"27","19","    Food services and accommodations","DFSARG3",13.05,13.403,13.672,14.012,14.315,14.537,14.823,15.396,16.25,17.098,18.121,19.461,20.499,21.257,22.71,25.337,27.619,29.447,31.579,34.34,38.047,41.732,45.46,48.059,50.135,52.396,54.648,56.888,59.203,61.748,64.544,67.499,70.194,71.684,73.09,74.373,76.128,78.179,80.497,82.654,84.79,87.16,89.644,91.818,93.773,96.889,100,103.35,107.394,111.644,114.375,115.949
"28","20","    Financial services and insurance","DIFSRG3",11.65,12.159,12.57,13.088,13.103,13.651,13.998,14.842,15.183,16.307,17.765,18.677,19.797,21.01,21.506,23.229,24.948,25.955,27.949,31.638,33.361,35.942,38.658,40.89,44.831,47.666,49.7,52.479,53.873,57.147,59.147,62.102,64.836,69.726,70.503,71.664,74.514,77.523,82.117,84.071,84.91,85.66,85.177,87.519,91.48,96.488,100,102.303,106.85,110.015,109.533,113.098
"29","21","    Other services","DOTSRG3",13.964,14.353,14.517,14.754,15.074,15.41,15.805,16.262,16.782,17.524,18.373,19.258,20.395,21.439,22.699,25.154,26.957,28.642,30.113,31.693,33.994,37.082,40.878,44.06,46.547,48.916,50.698,53.357,54.646,56.933,59.081,61.488,64.426,67.158,69.489,72.092,74.479,76.639,78.786,80.394,82.357,83.942,86.539,89.912,93.234,96.358,100,103.422,106.436,110.819,113.329,116.508
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",49.452,46.284,46.749,47.411,48.173,48.393,49.743,51.569,53.242,55.28,58.721,61.268,64.628,67.272,71.595,81.93,89.516,94.258,100.718,107.37,117.927,129.131,135.99,129.701,120.696,115.921,113.63,110.239,108.437,107.544,101.09,93.192,86.681,79.268,75.32,75.252,75.316,76.668,79.859,85.104,88.129,92.985,97.282,98.066,96.567,96.198,100,102.104,103.606,104.298,101.105,101.189
"31","23","    Gross output of nonprofit institutions \2\","DNPERG3",10.811,11.082,11.288,11.501,11.778,12.063,12.413,12.845,13.433,14.14,15.062,16.044,16.815,17.608,18.735,20.988,23.099,24.893,26.751,28.785,31.674,35.46,39.333,42.394,44.678,46.836,48.715,50.416,52.626,55.727,58.789,61.571,64.43,66.767,68.823,70.801,72.809,74.808,76.723,79.019,81.179,84.377,87.611,90.203,93.108,96.179,100,103.617,106.832,109.594,111.137,113.607
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",6.494,6.995,7.157,7.309,7.514,7.768,7.998,8.268,8.697,9.211,9.823,10.552,11.03,11.577,12.317,13.686,15.104,16.411,17.671,19.074,21.002,23.686,26.724,29.952,32.815,35.354,37.465,39.567,42.072,45.462,49.701,54.117,58.676,63.096,66.607,69.112,71.652,73.828,75.372,76.845,78.744,81.427,84.316,87.498,91.913,96.172,100,104.129,107.955,111.494,114.836,118.185
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRG3",18.69,19.024,19.262,19.525,19.778,20.081,20.335,20.795,21.432,22.351,23.4,24.498,25.651,26.48,27.492,29.673,32.159,34.114,36.303,38.731,41.55,45.356,49.318,52.501,55.22,57.513,59.695,61.945,64.3,67.088,69.856,72.838,75.673,78.218,80.068,81.836,83.721,85.346,86.981,88.242,89.555,91.111,92.739,94.345,95.784,97.788,100,102.292,104.696,107.151,108.774,110.211
"35","26","  Energy goods and services \5\","DNRGRG3",12.231,12.513,12.56,12.601,12.61,12.537,12.796,12.998,13.289,13.486,13.846,14.176,14.678,15.058,16.357,21.326,23.429,25,27.112,28.639,35.713,46.658,52.932,53.857,54.36,55.046,55.626,48.741,49.28,49.657,52.591,57.038,57.29,57.557,58.081,58.307,58.766,61.517,62.163,56.906,59.237,70.117,71.79,67.582,76.18,85.021,100,111.413,119.358,136.449,110.25,121.606
"36","27","  Market-based PCE \6\","DPCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.483,67.004,70.105,73.524,76.354,78.53,80.403,81.965,83.644,85.27,86.545,87.074,88.306,90.421,92.139,93.157,94.983,97.246,100,102.762,105.405,109.016,109.372,111.092
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.475,68.287,71.319,74.601,77.744,80.316,82.42,84.138,85.921,87.325,88.616,89.611,90.722,92.092,93.715,95.11,96.403,98.078,100,102.234,104.365,106.778,108.826,110.018
"38",NA,"Personal consumption expenditures by major function (From NIPA table 2.5.4):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","      Personal consumption expenditures","DPCERG3",18.305,18.606,18.801,19.023,19.245,19.527,19.81,20.313,20.824,21.636,22.616,23.674,24.68,25.525,26.901,29.703,32.184,33.95,36.155,38.687,42.118,46.641,50.81,53.615,55.923,58.038,59.938,61.399,63.589,66.121,68.994,72.147,74.755,76.954,78.643,80.265,82.041,83.826,85.395,86.207,87.596,89.777,91.488,92.736,94.622,97.098,100,102.746,105.564,109.061,109.258,111.125
"40","30","Household consumption expenditures \7\","DPHCRG3",17.94,18.259,18.451,18.668,18.884,19.164,19.437,19.927,20.427,21.223,22.178,23.218,24.2,25.024,26.369,29.097,31.523,33.254,35.412,37.895,41.249,45.688,49.804,52.655,55.042,57.209,59.141,60.645,62.871,65.435,68.423,71.735,74.499,76.889,78.701,80.362,82.178,83.972,85.503,86.215,87.567,89.685,91.332,92.591,94.569,97.121,100,102.762,105.615,109.192,109.488,111.406
"41","31","  Food and beverages purchased for off-premises consumption","DFXARG3",19.838,20.004,20.105,20.257,20.47,20.883,21.305,22.204,22.232,22.905,23.932,25.267,25.843,27.075,30.502,35.14,37.782,38.484,40.751,44.65,49.035,53.158,56.946,58.444,59.115,60.891,61.554,63.003,64.99,66.929,70.458,73.9,76.22,76.805,77.88,79.184,80.9,83.368,84.956,86.024,87.433,89.486,92.116,93.528,95.296,98.267,100,101.709,105.728,112.089,113.538,113.938
"42","32","  Clothing, footwear, and related services","DCAFRG3",48.728,49.526,49.839,50.056,50.55,51.049,51.563,53.061,55.275,58.297,61.404,63.748,66.003,67.19,69.47,74.806,78.375,81.083,84.663,86.674,88.868,92.589,96.025,97.708,99.221,99.957,102.221,102.005,105.013,108.447,110.247,113.917,116.222,117.186,116.758,115.047,112.579,111.391,111.571,109.737,108.503,107.432,105.66,103.183,100.878,100.711,100,99.77,98.988,98.465,99.447,98.934
"43","33","  Housing, utilities, and fuels","DHUFRG3",15.016,15.264,15.49,15.648,15.822,15.938,16.086,16.319,16.611,16.999,17.535,18.295,19.24,19.947,20.918,22.48,24.255,26.011,28.368,30.353,33.183,37.086,41.356,44.982,47.665,50.049,52.553,54.685,56.64,58.84,61.231,64.054,66.087,67.856,69.78,71.535,73.432,75.709,77.745,79.442,81.326,84.426,88.273,90.693,93.709,96.341,100,104.405,108.146,112.497,113.269,113.766
"44","34","  Furnishings, household equipment, and routine household maintenance","DFHHRG3",32.923,33.486,33.616,33.712,33.857,34.038,34.161,34.717,35.61,37.154,38.543,39.852,40.99,41.788,42.991,47.454,53.194,56.256,59.121,62.388,66.655,72.307,77.922,82.339,84.655,86.135,87.781,89.032,90.749,92.476,93.847,95.365,96.874,98.061,98.714,99.889,100.735,101.612,101.881,102.362,102.254,103.04,103.066,102.121,99.866,99.238,100,100.427,100.099,100.743,101.266,98.537
"45","35","  Health","DHLTRG3",8.309,8.748,8.869,9,9.173,9.418,9.655,10.015,10.538,11.095,11.776,12.568,13.15,13.634,14.193,15.418,17.079,18.64,20.146,21.807,23.846,26.635,29.826,33.129,36.115,38.782,41.151,43.588,46.346,49.819,54.024,58.517,62.972,67.263,70.654,73.363,75.806,77.574,79.082,80.626,82.585,85.003,87.991,90.471,93.689,96.986,100,103.176,106.559,109.33,112.331,115.317
"46","36","  Transportation","DTRNRG3",20.606,20.693,20.826,21.128,21.217,21.329,21.529,21.669,22.196,22.894,23.651,24.495,25.536,25.893,26.843,30.722,33.535,35.731,37.909,40.235,46.317,55.475,61.109,61.778,62.402,63.495,64.639,61.9,64.575,66.035,69.167,72.239,73.483,74.645,76.568,78.585,80.854,82.991,83.733,81.555,83.382,88.617,88.406,87.209,89.448,93.114,100,105.018,108.735,116.038,105.27,113.652
"47","37","  Communication","DCMCRG3",47.531,48.394,48.597,48.65,49.581,49.861,49.311,48.43,49.161,50.009,50.783,51.349,54.638,57.753,59.147,62.417,64.422,68.21,69.026,70.348,70.6,71.756,79.245,87.527,92.522,98.54,102.178,105.395,103.393,103.555,103.946,103.914,106.172,106.511,107.061,109.055,109.613,110.064,110.823,109.893,107.41,104.109,102.805,103.307,102.918,101.048,100,99.684,97.206,98.636,100.27,100.124
"48","38","  Recreation","DRRLRG3",42.817,43.682,44.24,44.689,45.42,46.226,46.531,47.025,48.082,49.967,51.74,53.273,55.538,56.658,58.028,61.976,66.636,69.304,71.933,75.133,79.368,85.33,90.793,94.875,96.874,98.44,99.955,100.649,102.321,104.434,107.302,110.061,112.96,114.067,114.518,115.211,115.236,114.516,112.698,110.27,107.667,106.539,105.147,103.522,101.917,101.135,100,99.131,97.808,97.758,96.535,94.471
"49","39","  Education","DEDURG3",5.746,5.868,5.976,6.104,6.239,6.379,6.605,6.904,7.186,7.517,7.974,8.507,8.969,9.44,10.132,11.402,12.387,13.286,14.15,14.918,16.201,17.974,20.087,22.376,24.316,26.406,28.419,30.408,32.565,34.979,37.449,40.08,43.315,46.889,50.231,53.174,56.082,59.069,61.92,64.748,67.938,71.356,75.191,80.077,86.178,93.319,100,106.339,112.494,119.083,125.724,131.647
"50","40","  Food services and accommodations","DFSARG3",13.05,13.403,13.672,14.012,14.315,14.537,14.823,15.396,16.25,17.098,18.121,19.461,20.499,21.257,22.71,25.337,27.619,29.447,31.579,34.34,38.047,41.732,45.46,48.059,50.135,52.396,54.648,56.888,59.203,61.748,64.544,67.499,70.194,71.684,73.09,74.373,76.128,78.179,80.497,82.654,84.79,87.16,89.644,91.818,93.773,96.889,100,103.35,107.394,111.644,114.375,115.949
"51","41","  Financial services and insurance","DIFSRG3",11.65,12.159,12.57,13.088,13.103,13.651,13.998,14.842,15.183,16.307,17.765,18.677,19.797,21.01,21.506,23.229,24.948,25.955,27.949,31.638,33.361,35.942,38.658,40.89,44.831,47.666,49.7,52.479,53.873,57.147,59.147,62.102,64.836,69.726,70.503,71.664,74.514,77.523,82.117,84.071,84.91,85.66,85.177,87.519,91.48,96.488,100,102.303,106.85,110.015,109.533,113.098
"52","42","  Other goods and services","DOISRG3",14.122,14.426,14.522,14.66,14.952,15.318,15.668,16.074,16.617,17.337,18.309,19.306,20.106,21.004,21.944,23.875,25.87,27.244,28.731,30.476,32.938,37.226,40.491,43.292,46.891,49.099,50.836,52.907,55.713,58.779,62.253,65.97,69.472,72.257,74.108,75.189,76.991,78.437,80.038,82.261,86.361,89.143,91.747,93.791,95.33,97.325,100,103.26,107.381,111.532,116.685,120.069
"53","43","  Net foreign travel and expenditures abroad by U.S. residents","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","44","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",49.452,46.284,46.749,47.411,48.173,48.393,49.743,51.569,53.242,55.28,58.721,61.268,64.628,67.272,71.595,81.93,89.516,94.258,100.718,107.37,117.927,129.131,135.99,129.701,120.696,115.921,113.63,110.239,108.437,107.544,101.09,93.192,86.681,79.268,75.32,75.252,75.316,76.668,79.859,85.104,88.129,92.985,97.282,98.066,96.567,96.198,100,102.104,103.606,104.298,101.105,101.189
"55","45","  Gross output of nonprofit institutions \2\","DNPERG3",10.811,11.082,11.288,11.501,11.778,12.063,12.413,12.845,13.433,14.14,15.062,16.044,16.815,17.608,18.735,20.988,23.099,24.893,26.751,28.785,31.674,35.46,39.333,42.394,44.678,46.836,48.715,50.416,52.626,55.727,58.789,61.571,64.43,66.767,68.823,70.801,72.809,74.808,76.723,79.019,81.179,84.377,87.611,90.203,93.108,96.179,100,103.617,106.832,109.594,111.137,113.607
"56","46","  Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",6.494,6.995,7.157,7.309,7.514,7.768,7.998,8.268,8.697,9.211,9.823,10.552,11.03,11.577,12.317,13.686,15.104,16.411,17.671,19.074,21.002,23.686,26.724,29.952,32.815,35.354,37.465,39.567,42.072,45.462,49.701,54.117,58.676,63.096,66.607,69.112,71.652,73.828,75.372,76.845,78.744,81.427,84.316,87.498,91.913,96.172,100,104.129,107.955,111.494,114.836,118.185
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
