"","Table 6#19D# Corporate Profits After Tax by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9"
"43","36","    Nondurable goods","N3236C0",13662,16460,18774,18793,NA,NA
"44","37","  Retail trade","N3237C0",47759,48284,43060,52137,59574,56925
"45","38","  Transportation and warehousing","N3238C0",15167,11695,10747,-1539,-2930,6757
"46","39","    Air transportation","N3239C0",5818,4020,1644,-9904,NA,NA
"47","40","    Rail transportation","N3240C0",-3,-169,1679,717,NA,NA
"48","41","    Water transportation","N3241C0",201,-136,293,230,NA,NA
"49","42","    Truck transportation","N3242C0",3027,2376,2023,2033,NA,NA
"50","43","    Transit and ground passenger transportation","N3243C0",653,419,580,586,NA,NA
"51","44","    Pipeline transportation","N3244C0",647,249,-300,488,NA,NA
"52","45","    Other transportation and support activities \2\","N3245C0",4237,4254,4326,3882,NA,NA
"53","46","    Warehousing and storage","N3246C0",587,682,502,429,NA,NA
"54","47","  Information","N3247C0",-1480,-16001,-41452,-34301,-15024,-9590
"55","48","    Publishing industries (includes software)","N3248C0",1413,4444,-7201,-3015,NA,NA
"56","49","    Motion picture and sound recording industries","N3249C0",-2811,-946,-1315,1717,NA,NA
"57","50","    Broadcasting and telecommunications","N3250C0",5342,-11485,-14368,-20005,NA,NA
"58","51","    Information and data processing services","N3251C0",-5424,-8014,-18568,-12998,NA,NA
"59","52","  Finance and insurance","N3291C0",37767,60569,44814,61501,93071,109065
"60","53","    Federal Reserve banks","N3253C0",-1376,887,5455,1215,NA,NA
"61","54","    Credit intermediation and related activities","N3292C0",29924,40424,41549,53640,NA,NA
"62","55","    Securities, commodity contracts, and investments","N3293C0",5106,521,-16330,828,NA,NA
"63","56","    Insurance carriers and related activities","N3256C0",-3356,-5915,-9082,-17972,NA,NA
"64","57","    Funds, trusts, and other financial vehicles","N3257C0",7469,24652,23222,23790,NA,NA
"65","58","  Real estate and rental and leasing","N3258C0",7132,7073,6867,7841,7861,8147
"66","59","    Real estate","N3259C0",4217,5569,6759,6555,NA,NA
"67","60","    Rental and leasing services and lessors of intangible assets \3\","N3260C0",2915,1504,108,1286,NA,NA
"68","61","  Professional, scientific, and technical services","N3261C0",19998,16297,-2239,7904,15731,15963
"69","62","    Legal services","N3262C0",4607,4856,6282,8458,NA,NA
"70","63","    Computer systems design and related services","N3263C0",2063,-2330,-16632,-10784,NA,NA
"71","64","    Miscellaneous professional, scientific, and technical services \4\","N3264C0",13328,13771,8111,10230,NA,NA
"72","65","  Management of companies and enterprises \5\","N3265C0",38059,46353,60453,73638,88231,85876
"73","66","  Administrative and waste management services","N3268C0",6469,7825,7186,8447,8620,7871
"74","67","    Administrative and support services","N3269C0",5137,6551,6058,7068,NA,NA
"75","68","    Waste management and remediation services","N3270C0",1332,1274,1128,1379,NA,NA
"76","69","  Educational services","N3271C0",1601,1373,1538,1670,2119,2104
"77","70","  Health care and social assistance","N3272C0",13228,18426,22954,29406,35459,38209
"78","71","    Ambulatory health care services","N3273C0",9557,12936,15697,21494,NA,NA
"79","72","    Hospitals and nursing and residential care facilities","N3277C0",2770,3975,4332,4200,NA,NA
"80","73","    Social assistance","N3278C0",901,1515,2925,3712,NA,NA
"81","74","  Arts, entertainment, and recreation","N3279C0",1769,2266,1734,2737,3297,2623
"82","75","    Performing arts, spectator sports, museums, and related activities","N3280C0",900,1198,889,1480,NA,NA
"83","76","    Amusements, gambling, and recreation industries","N3281C0",869,1068,845,1257,NA,NA
"84","77","  Accommodation and food services","N3282C0",6340,8940,11132,9155,11025,9894
"85","78","    Accommodation","N3283C0",1010,2306,2868,757,NA,NA
"86","79","    Food services and drinking places","N3284C0",5330,6634,8264,8398,NA,NA
"87","80","  Other services, except government","N3285C0",5817,6871,7632,8083,6671,6415
"88","81","Rest of the world \6\","A3274C0",102950,121513,145703,169697,157780,176912
"89","82","  Receipts from the rest of the world","B3275C0",146976,176804,202480,182580,205999,250728
"90","83","  Less: Payments to the rest of the world","B3276C0",44026,55291,56777,12883,48219,73816
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA
"93","2. Consists of scenic and sightseeing transportation; transportation support activities;",NA,NA,NA,NA,NA,NA,NA,NA
"94","and couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA
"95","3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA
"96","4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA
"97","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA
"98","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA
"99","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA
"100","5. Consists of bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA
"101","6. Consists of receipts by all U.S. residents, including both corporations and persons, of",NA,NA,NA,NA,NA,NA,NA,NA
"102","dividends from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of their incorporated",NA,NA,NA,NA,NA,NA,NA,NA
"103","foreign affiliates, and earnings of unincorporated foreign affiliates (line 82), net of",NA,NA,NA,NA,NA,NA,NA,NA
"104","corresponding payments (line 83).",NA,NA,NA,NA,NA,NA,NA,NA
"105","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA
"106","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA
