"","Table 1#16# Sources and Uses of Private Enterprise Income       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"11","4","  Interest","W262RC1",7.1,7.6,8.3,9.2,10.4,11.6,12.4,14,16.1,18.2,19.1,22.4,25.5,26.8,29.8,33,36.5,39.7,44.5,49.1,56.3,68.4,80.8,88.4,99.1,124,157.3,175.2,177.2,195.3,234.8,296.3,373,499.1,575.3,585.7,640.7,705.5,721,758.9,860.9,1018.3,1041.7,999,888.8,841.4,914.1,1087.6,1147.5,1266.4,1364.8,1466.8,1762,1717.8,1444.2,1401.5
"12","5","  Dividend receipts from the rest of the world","B3375C1",1.1,1.1,1.3,1.5,1.4,1.5,1.7,1.9,2.2,2.3,2.1,2.3,2.4,2.9,3.2,3.2,3.8,4,3.6,3.9,4.2,4.8,5,6.1,6.5,8.6,11.6,8.6,11.7,14.1,14.7,19.9,21.5,20.7,23.9,19.5,19.7,21,27.9,27.9,45.1,47.9,43.7,41.4,44.7,39.5,58.8,58.4,69,83.4,83.4,92.7,86.3,87.4,85.4,82.1
"13","6","  Reinvested earnings on U.S. direct investment abroad","B3475C1",0.6,0.4,0.5,0.8,0.9,0.8,0.7,1,1.2,1.4,0.9,1.1,1.4,1.2,1.3,1.6,1.6,1.7,2,2,2.8,3.2,3.6,3.7,5.2,9,8.8,9.3,9.3,9.6,14.3,22.7,22.4,17.3,12.8,21.6,26.5,25.8,20.8,31,26.5,27.6,37.3,34,33.6,49.5,44.9,68.8,70.3,75.5,63.5,84.1,116.1,95.2,120.6,168.6
"14","7","    Uses of private enterprise income","W263RC1",89,83.5,95.5,108.5,109.7,112.2,113.9,129.7,133.7,139.4,139.9,156.8,160.1,167.6,184,196.1,213,235.1,253.1,261.3,282.6,302,310.1,344,386.5,453.3,493.3,549.1,594.1,667,773,885.9,984,1201,1291.3,1391.9,1609.6,1736.2,1782.1,1903.2,2142,2370.6,2436.1,2388.1,2350.2,2392.8,2590.5,2899.9,3137.7,3426.7,3604.5,3844.2,4263.6,4217.3,4046.5,4221.4
"15","8","Income payments on assets","W264RC1",9.9,10.8,11.9,13.2,14.8,16.7,18.3,20.6,23.4,26.7,29.1,32.5,36.5,39.6,44.3,48.5,54.3,59.9,67.5,75.2,84.3,103.1,122.2,134.4,150.2,184.1,232.9,261.7,266.8,299.8,357.1,445.8,564.4,736.4,846.4,874.9,977.4,1066.9,1116.9,1164.9,1293.3,1498.4,1527.7,1459.6,1322.9,1260.8,1354,1542,1623.8,1803.5,1972.9,2100,2480,2417.9,2150.6,2134.6
"16","9","  Interest and miscellaneous payments \1\","W265RC1",9.6,10.4,11.4,12.7,14.4,16.2,17.8,20.1,22.9,26.2,28.5,31.9,35.9,38.9,43.6,47.7,53.4,58.8,66.4,74,83,101.6,120.7,132.5,148,181.5,230,258.4,262.4,295.1,351,437.8,556,728,842.3,868.8,967.8,1058.2,1107.7,1154,1278.7,1490,1522.8,1460.6,1317.7,1248.8,1327.4,1507.6,1586.4,1755.6,1928.9,2044.7,2423.2,2405,2102.4,2060.8
"17","10","  Dividend payments to the rest of the world","B3376C1",0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.1,1.4,1.6,1.8,1.9,2.1,2.7,3.1,3.5,3.9,4.7,5.3,7.5,7.4,7.4,9.2,10,11.2,13.2,16.3,18.7,17.1,16.6,18.9,21.5,25.8,28.7,32.8,41,51,56.8,46.5,42.8,61.6
"18","11","  Reinvested earnings on foreign direct investment in the United States","B3476C1",0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.5,0.4,0.4,0.6,0.6,0.9,1.1,1.2,1.7,1.6,2.6,4.1,3.6,3.1,-3.4,-1.3,2.2,-0.5,-0.7,-0.3,1.4,-7.9,-13.9,-18.1,-11.4,-6.9,5.1,8.6,8.7,15.2,3,4.3,-0.1,-33.7,5.4,12.2
"19","12","Business current transfer payments (net)","B029RC1",0.7,0.7,0.9,1.2,1.3,1.2,1,1.4,1.7,1.9,1.8,1.8,1.9,2,2.2,2.7,3.1,3.6,3.5,3.8,4.3,4.9,4.5,4.3,4.9,6,7.1,9.4,9.5,8.4,10.6,13,14.4,17.6,20.1,22.5,30.1,34.8,36.6,33.8,34,39.2,39.4,39.9,42.4,40.7,43.3,46.9,53.1,49.9,64.7,67.4,87.1,92.8,80.9,77.7
"20","13","  To persons (net)","B931RC1",0.4,0.4,0.6,0.9,0.9,0.8,0.6,0.9,1.2,1.4,1.2,1.3,1.3,1.4,1.5,1.9,2.2,2.3,2.1,2.3,2.8,3.3,2.9,2.7,3.1,3.9,4.7,6.8,6.7,5.1,6.5,8.2,8.6,11.2,12.4,13.8,19.7,22.3,22.9,20.2,20.6,23.5,22.2,17.9,19.6,14.4,15.1,19,22.9,19.4,26,34.1,42.4,50,33.7,28.9
"21","14","  To government (net)","W061RC1",0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.4,0.5,0.7,0.7,0.8,0.9,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.8,2,2.4,2.6,2.8,3.3,4.1,4.8,5.7,6.4,7.8,8.7,10.4,12.6,13.6,13.6,13.4,15.7,17.2,22,24.5,26.6,28.6,26.5,31.1,29.7,35,35.9,43.7,47.5,46.7,46.6
"22","15","  To the rest of the world (net)","W237RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7,-0.3,-0.4,1.4,-1,0.8,3.8,-2.6,1,-4.7,0.4,2.2
"23","16","Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",39.3,34.7,37.6,42.7,43.1,42.1,42.3,44.3,45.8,47.9,50.1,50.7,50.8,53.2,55.4,56.5,59.4,63.9,68.2,69.8,74.3,77.4,78.4,84.8,95.9,113.5,113.1,119.5,132.2,145.7,166.6,180.1,174.1,183,176.3,192.5,243.3,262.3,275.7,302.2,341.6,363.3,380.6,377.1,427.6,453.8,473.3,492.1,543.2,576,627.8,678.3,728.4,771.9,769.6,834.1
"24","17","Rental income of persons with capital consumption adjustment","A048RC1",7.9,8.2,9.2,10.1,11.2,12.5,13.5,13.9,14.2,14.6,15.4,16.2,17.1,17.9,18.8,19.5,19.6,20.2,20.8,21.2,20.9,21.2,21.4,22.4,23.4,24.3,24.3,23.7,22.3,20.7,22.1,23.8,30,38,38.8,37.8,40.2,41.9,33.5,33.5,40.6,43.1,50.7,60.3,78,95.6,119.7,122.1,131.5,128.8,137.5,147.3,150.3,167.4,170.9,153.8
"25","18","Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",31.2,29.1,36,41.2,39.3,39.7,38.8,49.5,48.5,48.4,43.5,55.7,53.8,54.9,63.3,69,76.5,87.5,93.2,91.3,98.8,95.4,83.6,98,112.1,125.5,115.8,134.8,163.3,192.4,216.6,223.2,201.1,226.1,209.7,264.2,318.6,330.3,319.5,368.8,432.6,426.6,437.8,451.2,479.3,541.9,600.3,696.7,786.2,868.5,801.6,851.3,817.9,767.3,874.6,1021.1
"26","19","  Taxes on corporate income","A054RC1",12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.7,218.7,231.7,246.1,248.3,258.6,265.2,204.1,183.8,234.9
"27","20","    To government","W025RC1",12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.6,22.7,22.8,24,26.2,28,30.9,33.7,32.7,39.4,39.7,34.4,37.7,41.9,49.3,51.8,50.9,64.2,73,83.5,88,84.8,81.1,63.1,77.2,94,96.5,106.5,127.1,137.2,141.5,140.6,133.6,143.1,165.4,186.7,211,223.6,237.1,239.2,248.8,255,194.9,174.6,225.8
"28","21","    To the rest of the world","B930RC1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.7,1,0.7,1.1,1.4,1.4,2,2.4,3.2,3.4,3.4,3.5,2.9,3.2,3.4,4.5,4.6,4.8,5,5.5,5.7,7.1,7.7,8,8.9,9.1,9.9,10.2,9.2,9.3,9.1
"29","22","  Profits after tax with inventory valuation and capital consumption adjustments","A551RC1",18.7,18.9,18.1,18.6,19.9,19.4,21.2,27.5,26.5,26.9,24.5,32,31,32,39.2,42.6,48.3,56.4,59.3,58.4,59.2,55.4,48.9,59.9,69.7,75.5,63,83.2,98.1,118,131.8,133.2,113.9,141.8,143.2,183.6,221.1,230.9,209.8,238.4,291,280.5,292.4,312.6,330.6,370.9,406.5,478,554.5,622.4,553.3,592.6,552.7,563.2,690.7,786.2
"30","23","    Net dividends","B056RC1",7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2,24.3,25,26.8,29.9,33.2,33,39,44.8,50.8,57.5,64.1,73.8,77.7,83.5,90.8,97.6,106.2,112.3,129.9,158,169.1,180.7,187.9,202.8,234.7,254.2,297.6,334.5,351.6,337.4,377.9,370.9,390,395.3
"31","24","    Undistributed corporate profits with inventory valuation and capital consumption adjustments","A127RC1",11.7,11.6,9.3,10.1,11.3,10.6,11.9,17,15.3,15.2,13,19.4,17.6,18.1,24.1,26.4,30.1,36.2,38.7,36.9,35.6,31.2,24.6,34.8,42.9,45.6,29.8,50.2,59,73.2,81,75.7,49.9,68,65.4,100.1,130.3,133.4,103.7,126.1,161.1,122.6,123.3,131.9,142.7,168.1,171.8,223.8,256.9,287.9,201.7,255.3,174.8,192.3,300.7,390.9
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Includes rent paid by private enterprises to government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
