"","Table 3#5# Taxes on Production and Imports                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"11","4","    Gasoline","B2000C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,2.4,2.4,2.5,2.6,2.7,2.8,2.9,3,3.2,3.3,3.5,3.7,3.9,4.1,4,4.1,4.3,4.4,4.5,4.4,4.1,4.1,4.1,7.9,8.9,8.9,9.2,9,9.8,9.5,10,15.2,15.5,16,21.3,21.2,22.3,22.1,23.4,23.4,23.4,23.3,23.3,23.8
"12","5","    Alcoholic beverages","B2001C1",0,0,0,0,0.1,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.9,1.2,1.5,2.1,2.3,2.6,2.3,2.1,2.2,2.4,2.4,2.7,2.8,2.6,2.8,3,2.8,2.9,3,3.1,3.2,3.3,3.4,3.6,3.7,3.9,4.1,4.3,4.6,4.7,4.9,5,5.1,5.3,5.3,5.3,5.3,5.6,5.6,5.5,5.6,5.4,5.5,5.2,5.1,5.6,5.7,5.7,5.6,5.7,7.4,7.6,7.5,7,7.3,7.5,7.3,7.4,7.7,7.8,7.9,8.1,8.1
"13","6","    Tobacco","B2002C1",0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.9,1,0.9,1,1.2,1.3,1.3,1.3,1.3,1.4,1.7,1.6,1.5,1.6,1.6,1.7,1.8,1.9,1.9,2,2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.4,2.3,2.4,2.5,2.4,2.5,2.5,2.5,2.6,2.5,5,4.6,4.5,4.6,4.6,4.4,4.3,4.2,5,5.4,5.7,5.8,5.9,5.8,5.9,5.6,5.6,6.7,7.1,7.4,7.2
"14","7","    Diesel fuel","B2003C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.5,0.5,0.5,0.6,0.6,1.2,1.9,2.6,2.6,2.7,4.1,3.2,3.3,4.3,4.2,4.1,7.1,6.6,7.8,7.4,7.7,8.3,8.6,8.6,8.9,8.9
"15","8","    Air transport","B2004C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1,1.2,1.4,1.5,1.1,1.4,2.1,2.3,2.4,2.6,2.6,3.1,3.2,3.5,4.7,4.8,5,5.5,5.7,2.5,6.5,8.3,8.8,9.9,9.1,10.4,10.5
"16","9","    Crude oil windfall profits tax","B2005C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,24.3,15.7,9.9,8.3,5.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","    Other \1\","B2006C1",0.1,0.1,0.1,0.2,0.7,0.9,0.8,0.6,0.6,0.6,0.6,0.7,1.1,1.3,1.6,2.2,2.8,3.3,3.7,4,4,4.5,4.8,5.2,5.8,4.8,5.4,5.6,6.2,5.7,4.4,4.6,4.5,5.1,5.4,5.8,5.3,3.8,4.1,5.1,5.5,5.3,5.3,4.5,5,5,4.6,3.7,3.9,4.2,4.2,3.4,3.5,3.1,4,4.5,5.5,5.3,6.1,6.8,7,7.1,8.6,7.9,8.5,11.2,9.4,8.2,9.4,9.1,10.9,10.2,9.2,9.3,9.3
"18","11","  Customs duties","B235RC1",0.6,0.5,0.4,0.2,0.3,0.3,0.4,0.4,0.5,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.7,0.7,0.8,0.8,1,1.1,1,1.2,1.2,1.3,1.6,1.9,1.9,2.3,2.4,2.5,3.1,3,3.3,3.7,5.9,4.6,5.4,7.1,7.5,7.2,8.6,8.6,9.1,11.9,12.2,13.7,15.5,16.4,17.5,17.5,16.8,18.3,19.8,21.4,19.8,19.2,19.6,19.6,19.2,21.1,20.6,19.9,21.4
"19","12","  Other \2\","B036RC1",0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","13","State and local","W072RC1",5.7,6,5.8,5.7,5.3,5.5,5.8,6.2,6.6,6.8,6.9,7.2,7.5,7.5,7.6,7.8,8.2,9.1,10.4,11.9,13,14.2,15.6,17,18.4,19.4,21,23.3,25.1,26.5,28.8,31.5,33.8,36.3,38.7,41.8,45.3,48.8,52.8,59.5,66,73.3,81.5,89.4,97.4,104.8,113.2,125,136.9,145.6,154.4,166.7,185.7,200,218.9,242.5,262.1,279.7,301.6,324.6,349.1,374.1,395.3,420.1,436.8,466.3,482.4,507.9,533.8,558.8,590.2,621.1,642.8,675.3,708.7
"21","14","  Sales taxes","B248RC1",0.4,0.5,0.6,0.6,0.7,0.9,1.2,1.4,1.5,1.6,1.7,1.8,2.1,2,2,2,2.3,2.9,3.5,4.1,4.3,4.8,5.4,5.8,6.3,6.5,7.1,8,8.6,10,11.1,12.2,13,14,15,16.5,18.2,20,21.4,25.1,28.6,31.6,35.4,39.8,44.1,48.2,51.7,57.8,64,71,77.3,82.9,90.7,96.2,107.7,121,131.1,139.9,150.3,162.4,172.3,184.3,190.7,204.3,216.4,231.4,242.7,256.2,268.7,283.9,301.6,316.6,321.1,329.1,343.9
"22","15","    State","A1666C1",0.4,0.5,0.5,0.6,0.6,0.9,1.1,1.3,1.4,1.5,1.5,1.7,1.9,1.9,1.8,1.9,2.1,2.7,3.2,3.7,3.9,4.3,4.8,5.2,5.5,5.8,6.3,7.1,7.6,8.9,10,10.8,11.6,12.6,13.4,14.5,16.1,18,19.4,22.8,25.7,28.2,31.4,35.2,38.8,42,44.7,49.9,55,60.8,65.7,70,76.5,80.3,90,100.9,109,115.8,124.6,135.1,142.3,152.5,157.5,169.7,179.4,191.7,200.5,211.8,221.3,233.3,245.9,255.5,259.6,266.5,278.5
"23","16","      General \3\","L305131",NA,NA,0,0,0.1,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,1.1,1.3,1.6,1.6,1.8,2.1,2.3,2.5,2.6,2.8,3.2,3.5,3.5,4.1,4.4,4.8,5.4,5.8,6.4,7.3,8.6,9.5,11.7,13.3,14.8,16.6,18.9,21.1,23.9,25.8,29.3,33.1,37.5,41.8,44.8,49,51.2,58.2,66.5,72.3,76.8,83,91.2,96.3,103.4,105,112.1,118.2,127.9,135.1,143.8,151.4,159.5,169.1,177.8,179.5,182,188.9
"24","17","      Gasoline","L305141",0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,0.9,0.7,0.7,0.8,1,1.2,1.3,1.5,1.6,1.8,2,2.1,2.3,2.5,2.8,2.9,3,3.2,3.4,3.6,3.8,4,4.2,4.5,4.8,5,5.5,6,6.4,6.9,7.6,8.3,8.1,8.4,9,9.3,9.7,9.7,9.6,10.1,10.5,11.6,12.9,14,14.9,16.5,17.6,18.6,20.1,21.4,22.9,24,25.2,25.7,26.6,27.7,28.6,29.6,30.4,31.5,32.4,32.7
"25","18","      Alcoholic beverages \3\","L305151",NA,NA,0,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.5,1.6,1.7,1.9,2,2,2.1,2.2,2.3,2.4,2.5,2.7,2.7,2.8,3,3.1,3.1,3.2,3.1,3.1,3.3,3.5,3.6,3.6,3.6,3.6,3.7,3.7,3.8,4,4.1,4.2,4.2,4.4
"26","19","      Tobacco \3\","L305161",NA,NA,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.8,1,1,1.1,1.2,1.2,1.4,1.6,1.7,2,2.1,2.4,2.6,3,3.2,3.3,3.3,3.5,3.6,3.7,3.7,3.8,3.9,4.1,4,4.2,4.4,4.6,4.7,4.8,5.4,5.8,6.1,6.1,6.5,7,7.3,7.5,7.5,8.1,8.2,8.5,8.6,10.4,12
"27","20","      Public utilities \4\","L305171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.2,1.3,1.4,1.5,1.9,2.1,2.4,2.7,2.9,3.7,4.6,5.4,5.9,5.9,6.2,6,6.1,6.1,6.2,6.7,7,7.9,8,8.5,7.9,8.9,8.9,8.8,9.4,8.8,9.5,10,10.9
"28","21","      Insurance receipts \4\","L305181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,1.2,1.1,1.4,1.4,1.6,1.7,1.7,2,2.4,2.7,2.9,3.2,3.4,3.5,4,4.2,4.8,5.9,6.7,7.3,7.3,7.5,7.9,7.9,8.1,8.5,9,8.9,9.2,9.6,9.7,9.8,10.3,11.5,12.9
"29","22","      Other \4\","L305191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1.2,1.3,1.5,1.5,1.6,1.9,2.1,2.2,2.3,2.4,2.7,3,3.5,4.1,4.3,4.4,4.5,5.1,5.2,5.7,6.6,9.2,10.9,11,11.9,12.5,12.9,14.8,16,16,15.9,15.9,16.7
"30","23","    Local","A1667C1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.9,2.1,2,1.9,2.3,2.9,3.5,4,4.6,5.2,6.1,7,7.9,9,10.2,11.5,12.8,14.3,15.9,17.7,20.1,22.1,24.1,25.7,27.2,30.1,31.8,33.2,34.6,37,39.7,42.2,44.4,47.4,50.6,55.6,61.1,61.6,62.6,65.4
"31","24","      General","L305211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.9,0.9,1,1.1,1.2,1.3,1.3,1.2,1.4,1.8,2.2,2.5,3,3.4,4.1,4.6,5.2,5.9,6.7,7.7,8.8,9.8,10.8,12.2,14,15.5,16.9,17.9,18.8,21,22.2,23,23.9,25.5,27.5,29.3,30.6,32.8,35.4,39.5,43.5,43.5,43.7,45.4
"32","25","      Public utilities","L305221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.9,1,1.1,1.3,1.5,1.8,2,2.3,2.5,2.6,2.8,3.2,3.5,3.8,4,4.1,4.3,4.5,4.8,5.1,5.6,6,6.5,6.8,7.2,7.5,7.9,8.2,8.5,9.2,9.9,10.4,11
"33","26","      Other","L305231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.7,1.8,2,2.3,2.6,3.1,3.5,3.9,4.2,4.4,4.6,4.7,5,5.4,5.7,6.2,6.7,7,7.6,8.4,8.2,8.5,9
"34","27","  Property taxes","B249RC1",4.5,4.7,4.5,4.4,4,3.9,4,4.1,4.2,4.3,4.3,4.4,4.4,4.4,4.5,4.6,4.6,4.8,5.3,5.9,6.6,7.1,7.7,8.4,9.1,9.7,10.4,11.5,12.6,13.8,14.8,16.2,17.6,19,20.2,21.7,23.2,24.5,27,29.9,32.8,36.7,40.4,43.2,46.4,49,53.4,58.2,63.2,63.7,64.4,68.8,77.1,85.3,91.9,99.7,107.5,116.2,126.4,136.5,149.9,161.5,176.1,184.7,187.3,199.4,202.6,212.4,223.5,231,242.8,254.6,269.3,291.5,305
"35","28","  Motor vehicle licenses","S230201",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1,1,1,1.1,1.1,1.2,1.3,1.4,1.5,1.4,1.6,1.6,1.7,1.8,2,2.1,2.1,2.1,2.3,2.6,2.7,3,3.2,3.4,3.6,3.7,4,4.5,4.9,5.5,5.4,5.8,6.1,6.3,6.7,6.6,6.9,7.2
"36","29","  Severance taxes \5\","S230431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9,1.6,1.8,2.1,2.3,2.6,3.5,5,7.5,7.8,7.1,7.3,7,5,4.3,4.1,4.4,5.2,5.1,4.8,4.4,4.4,4,4.5,4.7,3.6,3.5,5.3,5.6,4.4,5.6
"37","30","  Special assessments","S230551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.8,0.9,0.9,0.9,1.1,1.2,1.3,1.5,1.6,1.8,2,2.1,2.3,2.5,2.4,2.4,2.4,2.5,2.8,2.9,3.1,3.1,3.4,3.7,3.7,3.8,3.9,4.5,4.9,5.2
"38","31","  Other taxes \6\","S230401",0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.9,1,1.2,1.3,1.5,1.6,1.8,2,2.2,2.3,2.5,2.8,2.9,1.7,1.4,1.5,1.6,1.6,1.7,1.8,1.9,2.2,2.4,2.4,2.5,2.6,3.1,3.6,3.9,3.8,4,4.4,4.8,5.5,6.2,6.8,6.8,7,8.4,10.1,11.8,13.6,15.1,16,16.8,17.1,17.4,19.6,21.4,23.1,24.4,26,27.4,30.6,32.2,34,35.7,38.5,41.8
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Consists largely of taxes on telephone services, tires, coal, nuclear fuel,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","and trucks, and of refunds other than those for alcoholic beverages and tobacco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Consists of the capital stock tax in 1933-45.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. For 1929-30, included in line 31.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","4. Prior to 1958, included in line 31.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Prior to 1959, included in line 31.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","6. Consists largely of business licenses and of documentary and stamp taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","See also footnotes 3, 4, and 5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
