"","Table 1#5#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"16","9","    Nondurable goods","DNDGRL1",2.8,2.2,1.9,4,2.9,-2.4,0.9,4.8,2.3,3.6,2.6,-0.2,1.3,1,3.3,4.1,3,3.6,1.7,2.6,2.7,1.2,-0.3,1.9,2.5,3.9,2.5,2.9,2.9,3.7,5,3.2,1.7,1.9,3.5,3.3,3.3,3.3,1.7,-1.1,-1.8,2.2,1.8,0.7,1.9,1.8
"17","10","      Food and beverages purchased for off-premises consumption","DFXARL1",2.8,2.8,1.2,2,-1.7,-2,1.8,4.9,1.5,-0.4,1.4,1,-0.3,1.9,2.5,2,3,2,-0.6,2.6,1.2,2.1,-0.1,-0.4,0.8,2.8,0.5,1,0.9,1.4,4.1,2.5,1.4,0.4,2.3,2.3,3.8,3.1,1.3,-1.2,-1.5,2.1,1.1,0.8,1,0
"18","11","      Clothing and footwear","DCLORL1",1.9,-1.2,4.2,7.1,7.2,-1.9,2.5,4.6,5.4,10.5,5.8,3.1,6.4,1.7,6.8,8.3,4.5,7.5,3.7,2.9,5.3,-0.7,0.1,5.3,4.3,5.6,4.1,4.9,3.3,6.1,6.6,4.8,0.9,3.1,4.9,4.6,5.4,3.5,2,-0.5,-4.9,5.3,3.9,0.7,1,1.1
"19","12","      Gasoline and other energy goods","DGOERL1",4.3,3.8,3.5,5.1,5.7,-8.1,2.3,5.4,1.8,1.6,-2.9,-8.8,-1.3,0.2,2.2,2.7,1.9,5.1,1.9,2.8,1.6,-1.8,-0.8,4,2.5,1.6,1.9,1.6,2,2.8,2.3,-2.6,-0.1,0.8,0.1,0.9,-0.4,-0.2,-0.2,-4.5,0.4,-0.8,-2.8,-1.9,0.9,1.2
"20","13","      Other nondurable goods","DONGRL1",2.7,3.3,0.4,4.8,6.8,-0.3,-3.2,4.2,1.6,7.1,5.8,1.8,2.3,-0.4,2.5,5.5,2.7,2.3,3.7,2.3,3.3,2.5,-0.5,2,3.6,5.1,4.1,4.4,5.5,5.3,6.1,5,3.1,3,5,4.4,3.4,4.9,2.7,0.4,-1.7,2.3,3.6,1.9,3.4,4.1
"21","14","  Services","DSERRL1",4.4,3.9,3.5,5.8,4.7,1.9,3.8,4.3,4.1,4.6,3.1,1.6,1.7,2,5.2,3.9,5.3,3.2,4.5,4.5,3.2,3,1.6,4,3.1,3.1,3,2.9,3.2,4.6,3.9,5,2.4,1.9,2.2,3.2,3.2,2.7,2,0.8,-0.9,1.2,1.8,1.3,1.9,2
"22","15","    Household consumption expenditures (for services)","DHCERL1",4.6,3.9,3.4,5.8,4.9,2.1,3.9,4.2,4.2,4.6,3,1.5,1.5,1.5,4.9,3.5,5.2,2.9,4.4,4.2,2.8,2.4,1.2,3.5,2.9,2.9,2.9,2.8,3.6,4.4,3.7,4.9,2.1,1.5,2,3.2,3.3,2.3,2,0.3,-1,1.2,2,1.2,1.8,1.9
"23","16","      Housing and utilities","DHUTRL1",5.5,3.8,4.3,5.3,4.7,4.7,3.2,2.8,2.8,4.8,3.6,3.5,1.5,0.8,2.1,3.4,3.9,2.4,2.7,3.4,2.5,1.9,2.2,2,2.7,3.3,3,2.3,2.1,3.1,3,3.2,2.7,0.7,1.3,2.5,4.1,1.9,1,1,1.1,1.2,1.2,0.6,1.3,0.9
"24","17","      Health care","DHLCRL1",7.4,5.4,7.2,6.8,7.2,3.4,5.1,4.4,4.9,4.6,3.4,2.9,4.8,0.2,3,1.6,3.1,3.1,4.2,3.9,1.1,3.4,1.9,3,0.5,0.8,2.1,2.1,3.1,3.2,1.6,3.4,5,5.9,2.7,3.6,3.3,2.3,2.5,2.3,1.8,1.3,2.5,3.2,2.1,2.6
"25","18","      Transportation services","DTRSRL1",6.7,3.5,4.2,5.7,1.7,0.6,1.3,5,7.1,2.4,3,-5.9,-3.7,-2.2,7.5,11.7,10.5,4.3,4.1,5.8,2.2,-0.1,-4.7,5.1,5.7,9.5,7.5,8.2,7.5,4.4,5.7,4.8,-0.7,-2.9,0.7,2.7,1,0.2,1,-5.2,-9.8,-0.9,2.4,1.9,2.7,2.5
"26","19","      Recreation services","DRCARL1",5.9,3.6,3.4,5.3,8.5,6.8,5.2,6.9,6.3,4.9,4.9,3.4,8.5,4.8,8.5,6.6,7.2,4.6,4.5,9.5,6.2,4.3,-0.7,6.6,6.3,5.1,7.6,4.5,3.2,3.2,4.7,2.9,-0.2,0.6,3.4,5.2,2.5,3.5,3.9,-0.8,-3.3,1.3,2.3,1.7,2.4,0.2
"27","20","      Food services and accommodations","DFSARL1",2.2,3.5,-0.1,7.6,5,-0.9,4.2,6,2.7,4.2,3.1,0,1,0.7,3.3,2.8,1.3,2.9,5.2,5.9,2.8,3.6,0.1,2.5,2.2,1.5,0.2,0.6,2.1,2.6,2.5,4.6,-0.2,1.5,3.7,4,3.6,3.2,1.3,-1,-4.1,1.5,2.6,2.5,2.2,2.9
"28","21","      Financial services and insurance","DIFSRL1",1.4,3.7,3.7,5.8,5.7,2.4,9.6,5.4,6.2,5.1,3.1,1.3,-0.8,7.8,14.4,0.9,10.8,4.7,5.6,2.2,5.4,2.3,8.5,7,7,2.4,3.4,3.5,5.2,8.8,9.8,10.1,-2,-0.7,0.2,4,5.3,2.3,3.1,-0.7,-2.5,2.1,1.8,-4.5,2.1,4.2
"29","22","      Other services","DOTSRL1",2.9,3.2,0.4,4.4,2.8,-3.2,0.8,3.8,4.9,5.3,0.9,-0.6,-0.5,2.1,6.5,5,6.9,1.1,7,4,3.1,1.7,-3.6,3.9,2.2,3.9,2.1,3.5,5.7,7.5,3.1,7.1,4.4,0.5,2.8,2.4,1.1,3,2.1,-0.3,-2.6,0.6,1.9,1.9,1.2,0.9
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRL1",1,6.3,5.8,5.1,0.8,-1.6,0.6,6.1,1.7,4.7,3.4,5.2,8.3,17.3,16.1,16.4,7.9,13.5,7.9,15,15,21.7,14.2,20.8,8.2,8.8,4.8,5.7,-8,9.8,7.8,8.4,8.3,10.3,6.3,1.9,-0.2,12.7,2.7,12.6,0.9,0.8,-1.1,5.1,4.1,4.1
"31","24","      Gross output of nonprofit institutions \2\","DNPERL1",5.2,5.1,7.1,5.7,2.9,1.3,3.8,5.4,3.8,5.5,2.8,3,4.1,4.3,3.8,3.5,3.5,4.9,4,5.4,3.6,6,3.7,5.4,2.5,2.2,1.3,2.6,1.4,4.8,3.4,3.8,4.8,5.9,2.1,2.6,2.5,3.9,2.3,3.2,1.6,1.3,1,3.1,1.8,2.4
"32","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRL1",6.9,4.7,7.6,5.9,3.6,2.4,5,5.1,4.5,5.7,2.7,2.3,2.9,0.7,0.4,-0.1,2.2,2.5,2.9,2.7,0.5,1.8,0.9,1.4,0.9,0.4,0.4,1.7,4.2,3.4,2.1,2.3,3.6,4.4,0.6,2.9,3.4,1.1,2.2,0.1,1.9,1.4,1.7,2.5,1,1.9
"33","26","Gross private domestic investment","A006RL1",5.6,-6.1,10.3,11.3,10.9,-6.6,-16.2,19.1,14.3,11.6,3.5,-10.1,8.8,-13,9.3,27.3,-0.1,0.2,2.8,2.5,4,-2.6,-6.6,7.3,8,11.9,3.2,8.8,11.4,9.5,8.4,6.5,-6.1,-0.6,4.1,8.8,6.4,2.1,-3.1,-9.4,-21.6,12.9,5.2,9.2,4.9,6
"34","27","  Fixed investment","A007RL1",5.9,-2.1,6.9,11.4,8.6,-5.6,-9.8,9.8,13.6,11.6,5.8,-5.9,2.7,-6.7,7.5,16.2,5.5,1.8,0.6,3.3,3.2,-1.4,-5.1,5.5,7.7,8.2,6.1,8.9,8.6,10.2,8.8,6.9,-1.6,-3.5,4,6.7,6.8,2,-2,-6.8,-16.7,1.5,6.3,8.3,4.7,5.2
"35","28","    Nonresidential","A008RL1",7,-0.9,0,8.7,13.2,0.8,-9,5.7,10.8,13.8,10,0,6.1,-3.6,-0.4,16.7,6.6,-1.7,0.1,5,5.7,1.1,-3.9,2.9,7.5,7.9,9.7,9.1,10.8,10.8,9.7,9.1,-2.4,-6.9,1.9,5.2,7,7.1,5.9,-0.7,-15.6,2.5,7.7,7.2,3,6.1
"36","29","      Structures","A009RL1",5.4,0.3,-1.6,3.1,8.2,-2.2,-10.5,2.4,4.1,14.4,12.7,5.9,8,-1.6,-10.8,13.9,7.1,-11,-2.9,0.7,2,1.5,-11.1,-6,-0.3,1.8,6.4,5.7,7.3,5.1,0.1,7.8,-1.5,-17.7,-3.9,-0.4,1.7,7.2,12.7,6.1,-18.9,-16.4,2.3,13.1,-0.5,8
"37","30","      Equipment","Y033RL1",8.3,-1.8,0.8,12.7,18.5,2.1,-10.5,6.1,15.5,15.1,8.2,-4.4,3.7,-7.6,4.6,19.4,5.5,1.1,0.4,6.6,5.3,-2.1,-4.6,5.9,12.7,12.3,12.1,9.5,11.1,13.1,12.5,9.7,-4.3,-5.4,3.2,7.7,9.6,8.6,3.2,-6.9,-22.9,15.9,13.6,6.8,4.6,6.3
"38","31","        Information processing equipment","Y034RL1",20.1,10.6,6.7,14.4,18.4,14.4,-3.3,14.7,24.5,30.9,20.4,16.6,15.6,1,16.2,26.9,9.8,7.3,4.4,9.2,9.7,1.4,2,14.6,13.7,13.8,20.4,20.8,20.6,23.7,22,20.7,-1.2,-4.7,9.4,10.1,8.6,12.9,11.5,0.4,-8.9,9.9,1.6,3.2,3,2.6
"39","32","          Computers and peripheral equipment","B935RL1",50,33.3,25,60,6.3,35.3,0,47.8,47.1,96,62.2,57.9,55.4,2.1,52,63.5,25.5,15,25.6,14.3,21.6,-1.2,8.6,36.8,28.2,24.3,50.8,44.4,45,45.4,42.1,21.3,2.5,4.8,9.8,12.2,11.4,23.3,13.1,5.9,-0.4,10.3,-2,4.7,-0.2,-2.6
"40","33","          Other","A937RL1",15.9,7.7,1.2,6,21.2,10.6,-4,9.5,20.3,19.2,12.3,7.6,5.7,0.7,5.1,13.9,3.2,4.1,-4,6.9,4.5,2.5,-0.6,6.1,7.7,9.3,7.6,9.6,8.6,12.6,11.5,20.3,-3.1,-9.1,9.1,9.1,7.4,8.6,10.9,-1.8,-12.2,9.8,3,2.6,4.3,4.5
"41","34","        Industrial equipment","A680RL1",6.6,1.4,-8.2,7.8,18.2,7.7,-15.2,0.5,6,11.3,7.1,-4.3,-1.6,-8.7,-7.9,14.4,4.6,-0.5,-2.5,5,7,-5.8,-6.4,1.8,8.5,8.9,9.8,3.7,2.2,4.4,0.6,8.6,-7.4,-6.7,0.4,-1.8,8.6,8.4,3.1,-4.8,-22.2,-0.5,21.1,3.8,3.9,13.2
"42","35","        Transportation equipment","A681RL1",4,-17.9,8,16.2,20.3,-9.5,-13.8,11.2,21.5,10.5,4.4,-18.4,-2.8,-11.4,12.6,19.1,3.9,-3.8,-4.9,5.9,-9.9,-1.3,-2.7,2.3,19.1,17.2,7.5,3.3,7.2,8.1,18,-2,-9.4,-9.6,-7.4,14,12.2,7.4,-4.2,-23,-55,94,33.7,18.9,6.2,11.2
"43","36","        Other equipment","A862RL1",6.8,4.3,-0.3,13.3,16.9,-1.3,-7.4,0.8,12.5,10.2,2,-10.1,2.7,-13.5,-3.6,13.2,1,-1.8,2.8,4.8,11.6,-3.8,-14.5,-0.5,9.5,8.1,5.4,3.8,9.7,10.2,2.6,5.6,-0.8,-0.7,6.8,7.3,9.6,4.1,-1.2,-4.8,-19.8,8.6,10.9,4,5.7,-0.5
"44","37","      Intellectual property products","Y001RL1",5.4,-0.1,0.4,7,5,2.9,0.9,10.9,6.6,7.1,11.7,5,10.9,6.2,7.9,13.7,9,7,3.9,7.1,11.7,8.4,6.4,6,4.2,4,7.3,11.3,13,10.8,12.4,8.9,0.5,-0.5,3.8,5.1,6.5,4.5,4.8,3,-1.4,1.9,3.6,3.9,3.4,4.6
"45","38","        Software \4\","B985RL1",34.7,27.6,6.3,17.4,13.7,17,17.3,8.6,4.2,18.5,24.5,18,16.3,15.5,17.9,26.4,18.8,11.9,14,19.2,28.9,17.9,13.3,17.5,11.8,9.8,10,17.3,29.5,20.8,23.3,13.8,0.7,-0.1,6.8,10,6.4,4.1,6,4.9,0.2,-1,6.9,5.6,3.1,3.9
"46","39","        Research and development \5\","Y006RL1",6.5,0.4,-0.1,4.7,6.7,0.4,-1.6,6.3,5.3,7.8,7.4,6.7,6.4,5.2,5.6,10.2,8.6,4.1,1.9,4.1,6.5,5.3,4.5,0.3,-0.6,0,5.1,8.8,5.6,5,6.1,5,1.3,-2.6,-0.7,1,5.9,6.3,6,3.4,-2.8,2.4,1,1.9,3.9,6.2
"47","40","        Entertainment, literary, and artistic originals","Y020RL1",-5.7,-12.3,-1.3,7.6,-4.3,1.4,-3.2,27.1,11.6,-1.7,14.7,-9.4,20.8,0.8,5.4,11.5,-0.5,10.4,-1.6,1,4.5,3.5,1.1,4.8,5.4,5.3,8.3,7.3,2.9,4.7,3,5.9,-3,5,7.5,1.5,8.4,1.1,-2.4,-4.6,-2.9,11.6,0.6,4.1,2.5,1.8
"48","41","    Residential","A011RL1",3.1,-5.2,26.6,17.4,-0.6,-19.6,-12.1,22.1,20.5,6.7,-3.7,-20.9,-8.2,-18.1,42,14.8,2.3,12.4,2,-0.9,-3.2,-8.5,-8.9,13.8,8.2,9,-3.4,8.2,2.4,8.6,6.3,0.7,0.9,6.1,9.1,10,6.6,-7.6,-18.8,-24,-21.2,-2.5,0.5,13.5,11.9,1.6
"49","42","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","    Farm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","44","    Nonfarm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","45","Net exports of goods and services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","46","  Exports","A020RL1",4.9,10.7,1.7,7.8,18.8,7.9,-0.6,4.4,2.4,10.5,9.9,10.8,1.2,-7.6,-2.6,8.2,3.3,7.7,10.9,16.2,11.6,8.8,6.6,6.9,3.3,8.8,10.3,8.2,11.9,2.3,2.6,8.6,-5.8,-1.7,1.8,9.8,6.3,9,9.3,5.7,-8.8,11.9,6.9,3.3,3,3.1
"54","47","    Goods","A253RL1",5.2,11.2,-0.1,10.9,24.5,8.5,-2.1,5.1,1.9,10.4,10.6,12.3,-0.6,-8.5,-3.2,7.1,3.5,5.4,12.2,17.8,11.4,8.6,6.7,7.5,3.2,9.6,11.6,8.9,14.5,2.2,4.2,10.1,-6.2,-3.4,1.9,8.6,7.3,9.4,7.5,6.1,-12.1,14.4,6.5,3.7,2.8,4
"55","48","    Services","A646RL1",3.9,9,7.3,-0.4,1.7,5.4,5.9,1.1,4.5,11.2,7.1,4.2,9.8,-4.4,-0.2,11.8,2.8,14.4,7.6,11.9,12,9.5,6.4,5.4,3.3,7,6.8,6.3,5.3,2.8,-1.4,4.7,-5,2.7,1.5,12.7,3.8,8.1,13.7,4.8,-1.1,6.8,7.6,2.4,3.6,1.1
"56","49","  Imports","A021RL1",5.7,4.3,5.3,11.3,4.6,-2.3,-11.1,19.5,10.9,8.7,1.7,-6.6,2.6,-1.3,12.6,24.3,6.5,8.5,5.9,3.9,4.4,3.6,-0.1,7,8.6,11.9,8,8.7,13.5,11.7,10.1,13,-2.8,3.7,4.5,11.4,6.3,6.3,2.5,-2.6,-13.7,12.7,5.5,2.3,1.1,3.9
"57","50","    Goods","A255RL1",5.5,3.9,8.4,13.6,7.1,-2.8,-12.6,22.6,12.2,9,1.7,-7.4,2.1,-2.5,13.6,24.2,6.3,10.3,4.6,4.1,4.3,2.9,0.5,9.4,10,13.4,9,9.4,14.4,11.8,12.8,13.1,-3.2,3.7,4.9,11.2,6.7,5.9,1.8,-3.7,-15.8,14.9,5.8,2.1,0.9,4
"58","51","    Services","A656RL1",6.3,5.2,-2.8,4.2,-3.4,-0.1,-4.3,6.9,5,7.1,1.4,-2.2,5.9,5.3,8.1,25.1,7.6,1.1,11.8,3.4,4.8,6.5,-2.6,-2.7,2.7,5.3,3,5.2,8.7,10.9,-3,12.6,-0.6,3.3,2.1,12.7,4.5,8.6,6.2,3.7,-3.8,3.8,4,3.4,2.2,3.2
"59","52","Government consumption expenditures and gross investment","A822RL1",0.2,-2,-1.8,-0.5,-0.3,2.3,2.2,0.5,1.2,2.9,1.9,1.9,1,1.8,3.8,3.6,6.8,5.4,3,1.3,2.9,3.2,1.2,0.5,-0.8,0.1,0.5,1,1.9,2.1,3.4,1.9,3.8,4.4,2.2,1.6,0.6,1.5,1.6,2.8,3.2,0.1,-3,-1.4,-2,-0.2
"60","53","  Federal","A823RL1",-2.4,-6.1,-6.4,-3.1,-3.6,0.7,0.5,0.2,2.2,2.5,2.3,4.4,4.5,3.7,6.5,3.3,7.9,5.9,3.8,-1.3,1.7,2.1,0,-1.5,-3.5,-3.5,-2.6,-1.2,-0.8,-0.9,2,0.3,3.9,7.2,6.8,4.5,1.7,2.5,1.7,6.8,5.7,4.4,-2.7,-1.8,-5.7,-1.9
"61","54","    National defense","A824RL1",-4.1,-8.2,-10.2,-6.9,-5.1,-1,-1,-0.5,1,0.8,2.7,3.9,6.2,7.2,7.3,5.2,8.8,6.9,5.1,-0.2,-0.2,0.3,-1,-4.5,-5.1,-4.9,-4,-1.6,-2.7,-2.1,1.5,-0.9,3.5,7,8.5,6,2,2,2.5,7.5,5.4,3.2,-2.3,-3.3,-6.6,-2.2
"62","55","      Consumption expenditures","A997RL1",-3.5,-8.1,-7.5,-6.3,-6.9,-2.7,-2.1,-2.1,0.6,0.7,0.9,2.9,5,5.6,4.5,2.5,5.3,5.3,3.6,2.3,0.6,0.4,1.5,-4.1,-3.4,-4.4,-4,-1.8,-1.5,-2.7,1.7,-1.4,2.9,5.4,7.8,5.1,1.1,1,1.6,6.9,6.3,3.7,-1.5,-2.8,-6,-0.7
"63","56","      Gross investment","A788RL1",-6.8,-8.5,-21.8,-10.1,4.2,7.4,3.8,6.3,2.4,1.1,9.5,7.3,10.7,12.8,15.9,13.1,18.1,10.8,8.6,-6.3,-2.5,-0.1,-7.9,-5.4,-10.4,-6.4,-4,-0.9,-7,0.2,1,1,5.7,13.2,11.1,9.5,5.1,5.6,5.6,9.8,2.1,1.4,-5,-5.1,-8.9,-7.9
"64","57","    Nondefense","A825RL1",3.9,1,5.6,7.2,0.2,4.6,3.9,1.6,4.7,6,1.7,5.4,1,-3.6,4.7,-1.4,5.7,3.1,0.2,-4.3,7.2,7.3,2.4,5.9,0,-0.8,0,-0.5,2.8,1.3,2.7,2.3,4.7,7.4,4.1,2,1.3,3.5,0.3,5.5,6.2,6.4,-3.4,1,-4.1,-1.5
"65","58","      Consumption expenditures","A542RL1",9.4,3.9,8.8,9,0.1,6.6,4.4,-0.4,4,3.9,1.8,6.9,2.4,-1.9,6.9,-3.2,5.8,3.4,-2.6,-5.7,8.4,7.1,0.6,5.9,-1,1,-1,-2,4.3,-0.5,1.2,4,5.7,7.6,4.3,2.4,1.3,3.1,-0.1,6.2,6.9,5.9,-4.6,2.1,-3.7,-0.7
"66","59","      Gross investment","A798RL1",-3.6,-3.8,-0.4,3.5,0.3,0.3,2.7,6.1,6.1,10.4,1.4,2.4,-1.9,-7.4,-0.1,3.2,5.4,2.5,6.8,-1.3,5,7.7,6.3,6,2,-4.7,2.3,3,-0.5,5.6,6.1,-1.3,2.3,7,3.7,0.9,1.3,4.4,1.2,3.6,4.3,8.2,0.1,-2.3,-5.2,-3.9
"67","60","  State and local","A829RL1",3.5,2.9,3.1,2.2,2.8,3.7,3.6,0.8,0.4,3.3,1.5,-0.2,-2,0.1,1.3,3.8,5.7,5,2.2,3.9,4,4.1,2.2,2.1,1.2,2.8,2.7,2.4,3.6,3.8,4.2,2.8,3.7,2.9,-0.4,-0.1,0,0.9,1.5,0.3,1.6,-2.7,-3.3,-1.2,0.5,0.9
"68","61","    Consumption expenditures","A991RL1",6.5,6.1,5,3.8,3.4,4.5,4.9,1.4,1.9,2,0.6,-0.3,-0.4,1.6,1.3,2.1,4.5,4.5,2,3.5,3.6,3.3,2.2,2.2,1.7,2.8,2.4,1.9,2.7,4.1,3.4,2.1,3.4,2.7,-0.6,0.1,0.6,0.7,1.6,0.2,2.1,-2.6,-2.7,-0.2,1.2,1.1
"69","62","    Gross investment","A799RL1",-4,-6,-2.7,-3.1,0.7,0.9,-0.8,-1.6,-5.9,9,4.9,0.6,-8.2,-5.9,1.4,12,10.8,7.1,2.8,5.2,5.4,7.8,2.4,1.3,-1,2.9,4.2,4.6,7.6,2.9,8,5.6,5,3.7,0.6,-1.1,-2.6,1.7,1.1,0.9,-0.6,-3.3,-5.9,-5.6,-2.9,0.4
