"","Table 1#6#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"12","3","  Goods","DGDSRS2",1.17,1.15,0.9,0.75,1.74,3.61,2.38,1.15,1.55,1.74,2.62,3.1,2.05,0.74,0.48,0.5,0.41,-0.12,0.81,0.66,0.96,1.01,0.6,0.29,0.21,0.24,0.22,0.26,-0.03,-0.35,0.12,0.46,-0.02,-0.22,-0.03,0.32,0.46,0.31,0.26,0.65,-0.51,0.35,0.81,0.28,-0.11,-0.09
"13","4","    Durable goods","DDURRS2",0.25,0.19,0.3,0.1,0.14,0.59,0.76,0.48,0.41,0.51,0.58,0.72,0.52,0.3,0.16,0.12,0.09,0.1,0.26,0.15,0.16,0.08,0.12,0.05,0.08,0.16,0.06,-0.08,-0.18,-0.24,-0.24,-0.16,-0.17,-0.22,-0.32,-0.17,-0.08,-0.13,-0.16,-0.15,-0.12,-0.1,-0.06,-0.09,-0.13,-0.18
"14","5","      Motor vehicles and parts","DMOTRS2",0.08,0.11,0.17,0.01,0.02,0.22,0.31,0.26,0.22,0.26,0.27,0.24,0.23,0.14,0.1,0.1,0.09,0.11,0.18,0.06,0.11,0.01,0.09,0.06,0.12,0.15,0.13,0.07,0.01,-0.04,0.01,0.01,0.01,-0.02,-0.1,-0.03,0.05,0,-0.01,-0.06,0.01,0.12,0.07,0.03,0.01,-0.01
"15","6","      Furnishings and durable household equipment","DFDHRS2",0.1,0.06,0.05,0.04,0.06,0.22,0.26,0.11,0.09,0.13,0.16,0.2,0.17,0.11,0.05,0.03,0.02,0.02,0.03,0.03,0.01,0.02,0.01,0.02,0.01,0.03,0,0.01,0,0,-0.03,-0.01,-0.03,-0.04,-0.06,-0.02,0,-0.01,-0.02,-0.01,-0.01,-0.07,-0.03,0,-0.03,-0.06
"16","7","      Recreational goods and vehicles","DREQRS2",0.04,0,0.06,0.03,0.03,0.08,0.12,0.06,0.05,0.06,0.08,0.1,0.07,0.04,-0.02,-0.02,-0.03,-0.06,-0.02,-0.01,0,-0.01,-0.02,-0.05,-0.06,-0.04,-0.08,-0.15,-0.18,-0.18,-0.19,-0.14,-0.15,-0.15,-0.14,-0.11,-0.13,-0.14,-0.16,-0.11,-0.14,-0.15,-0.14,-0.13,-0.11,-0.09
"17","8","      Other durable goods","DODGRS2",0.04,0.02,0.02,0.03,0.03,0.07,0.07,0.05,0.04,0.06,0.08,0.19,0.05,0.01,0.03,0.02,0.01,0.02,0.07,0.07,0.05,0.07,0.04,0.03,0.01,0.02,0.02,-0.01,-0.01,-0.02,-0.03,-0.01,0,-0.01,-0.02,0,-0.01,0.02,0.03,0.04,0.01,0,0.03,0.01,0,-0.02
"18","9","    Nondurable goods","DNDGRS2",0.92,0.96,0.6,0.65,1.6,3.02,1.62,0.67,1.14,1.23,2.04,2.39,1.53,0.45,0.33,0.37,0.32,-0.22,0.55,0.51,0.8,0.93,0.48,0.24,0.13,0.08,0.16,0.34,0.16,-0.11,0.36,0.62,0.15,0,0.29,0.49,0.54,0.44,0.42,0.8,-0.38,0.45,0.88,0.37,0.03,0.09
"19","10","      Food and beverages purchased for off-premises consumption","DFXARS2",0.42,0.53,0.22,0.43,1.09,1.35,0.7,0.17,0.52,0.79,0.8,0.7,0.58,0.21,0.09,0.22,0.08,0.16,0.21,0.19,0.33,0.31,0.2,0.05,0.09,0.1,0.13,0.17,0.11,0.07,0.09,0.12,0.15,0.08,0.1,0.15,0.09,0.08,0.19,0.3,0.06,0.02,0.2,0.12,0.05,0.09
"20","11","      Clothing and footwear","DCLORS2",0.24,0.16,0.15,0.08,0.14,0.31,0.18,0.13,0.16,0.07,0.07,0.14,0.12,0.05,0.05,0.02,0.07,-0.01,0.1,0.11,0.05,0.11,0.06,0.02,-0.02,-0.05,-0.07,-0.04,0,-0.05,-0.04,-0.03,-0.05,-0.07,-0.06,-0.01,-0.02,-0.01,-0.02,-0.02,0.02,-0.01,0.04,0.08,0.02,0.01
"21","12","      Gasoline and other energy goods","DGOERS2",0.08,0.04,0.04,0.03,0.24,0.91,0.2,0.14,0.2,0.12,0.87,1.14,0.44,-0.16,-0.12,-0.03,0.01,-0.54,0.07,0.01,0.16,0.27,-0.03,-0.01,-0.02,0,0.02,0.12,0,-0.21,0.12,0.42,-0.06,-0.1,0.24,0.28,0.4,0.26,0.18,0.4,-0.7,0.34,0.56,0.08,-0.06,-0.08
"22","13","      Other nondurable goods","DONGRS2",0.18,0.23,0.19,0.12,0.13,0.46,0.53,0.24,0.26,0.24,0.29,0.41,0.38,0.35,0.31,0.17,0.17,0.17,0.18,0.2,0.25,0.23,0.25,0.18,0.08,0.03,0.08,0.09,0.05,0.09,0.19,0.11,0.12,0.09,0.01,0.06,0.08,0.11,0.07,0.12,0.24,0.11,0.08,0.09,0.02,0.08
"23","14","  Services","DSERRS2",1.52,1.67,1.68,1.31,1.49,2.63,2.73,2.22,2.41,2.48,2.68,3.38,3.37,2.62,2.17,1.81,1.73,1.44,1.06,1.75,1.73,1.7,1.48,1.4,1.39,1.09,1.11,1.11,1.13,0.84,0.82,1.13,1.26,1.09,1.31,1.25,1.37,1.4,1.35,1.31,0.46,0.74,0.81,0.94,0.9,0.97
"24","15","    Household consumption expenditures","DHCERS2",1.46,1.63,1.62,1.27,1.43,2.49,2.64,2.17,2.34,2.42,2.59,3.28,3.31,2.68,2.25,1.86,1.75,1.48,1.08,1.76,1.81,1.81,1.58,1.52,1.47,1.1,1.11,1.08,1.08,0.75,0.77,1.05,1.18,1.08,1.35,1.27,1.34,1.39,1.32,1.3,0.52,0.76,0.79,0.94,0.87,0.92
"25","16","      Housing and utilities","DHUTRS2",0.32,0.44,0.52,0.39,0.46,0.57,0.82,0.75,0.91,0.73,0.83,1.11,1.19,1.02,0.73,0.57,0.58,0.53,0.41,0.45,0.46,0.5,0.39,0.33,0.34,0.3,0.32,0.35,0.32,0.27,0.27,0.38,0.53,0.34,0.37,0.32,0.41,0.48,0.4,0.41,0.14,0.03,0.17,0.22,0.3,0.36
"26","17","      Health care","DHLCRS2",0.28,0.32,0.23,0.2,0.22,0.46,0.57,0.51,0.45,0.46,0.54,0.69,0.74,0.71,0.6,0.5,0.4,0.4,0.45,0.57,0.67,0.68,0.65,0.63,0.49,0.37,0.33,0.22,0.18,0.17,0.19,0.24,0.29,0.24,0.36,0.35,0.31,0.29,0.35,0.27,0.28,0.27,0.2,0.2,0.16,0.13
"27","18","      Transportation services","DTRSRS2",0.11,0.14,0.13,0.07,0.08,0.16,0.21,0.14,0.13,0.13,0.17,0.3,0.23,0.1,0.07,0.07,0.04,0.02,0.09,0.1,0.09,0.08,0.06,0.06,0.07,0.03,0.05,0.03,0.05,0.04,0.04,0.07,0.03,0.01,0.05,0.03,0.08,0.09,0.05,0.11,0.06,0.04,0.05,0.04,0.02,0.02
"28","19","      Recreation services","DRCARS2",0.05,0.06,0.06,0.03,0.05,0.09,0.1,0.07,0.07,0.08,0.09,0.11,0.09,0.08,0.07,0.07,0.07,0.06,0.07,0.07,0.09,0.11,0.1,0.06,0.07,0.05,0.05,0.08,0.08,0.06,0.08,0.09,0.08,0.07,0.07,0.06,0.07,0.08,0.07,0.08,0.03,0.03,0.04,0.07,0.04,0.05
"29","20","      Food services and accommodations","DFSARS2",0.22,0.28,0.2,0.14,0.26,0.45,0.36,0.27,0.3,0.35,0.44,0.41,0.37,0.24,0.18,0.18,0.17,0.16,0.16,0.18,0.19,0.2,0.17,0.09,0.08,0.07,0.1,0.11,0.12,0.1,0.1,0.11,0.11,0.09,0.08,0.13,0.12,0.13,0.15,0.15,0.09,0.05,0.1,0.12,0.08,0.11
"30","21","      Financial services and insurance","DIFSRS2",0.24,0.15,0.17,0.18,0.07,0.24,0.23,0.13,0.24,0.42,0.18,0.26,0.25,0.19,0.35,0.24,0.33,0.06,-0.2,0.19,0.12,0.06,-0.02,0.15,0.24,0.09,0.1,0.16,0.19,0,-0.04,0.05,-0.02,0.12,0.21,0.19,0.15,0.13,0.15,0.06,-0.22,0.19,0.12,0.18,0.13,0.14
"31","22","      Other services","DOTSRS2",0.24,0.24,0.3,0.25,0.29,0.52,0.35,0.3,0.24,0.24,0.33,0.4,0.45,0.34,0.25,0.23,0.17,0.24,0.12,0.2,0.18,0.2,0.23,0.21,0.17,0.18,0.16,0.15,0.14,0.11,0.13,0.1,0.17,0.21,0.21,0.19,0.21,0.18,0.16,0.23,0.14,0.14,0.11,0.12,0.13,0.11
"32","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRS2",0.06,0.04,0.06,0.04,0.06,0.14,0.09,0.05,0.07,0.06,0.09,0.09,0.05,-0.06,-0.09,-0.05,-0.02,-0.04,-0.02,-0.01,-0.08,-0.11,-0.1,-0.13,-0.07,0,0,0.02,0.05,0.08,0.05,0.08,0.07,0.01,-0.04,-0.03,0.03,0.02,0.02,0.01,-0.06,-0.02,0.02,0,0.03,0.06
"33","24","Gross private domestic investment","A006RS2",0.81,0.71,0.81,0.72,0.99,1.81,1.96,0.9,1.32,1.57,1.81,1.83,1.77,0.98,0.05,0.2,0.24,0.41,0.37,0.45,0.45,0.36,0.27,-0.01,0.19,0.24,0.27,-0.01,0.01,-0.14,0.03,0.27,0.17,0.07,0.21,0.55,0.77,0.7,0.33,0.17,-0.14,-0.12,0.19,0.2,0.27,0.29
"34","25","  Fixed investment","A007RS2",0.79,0.7,0.8,0.71,0.96,1.71,1.95,0.92,1.3,1.53,1.73,1.8,1.71,1.02,0.07,0.17,0.27,0.44,0.36,0.48,0.44,0.36,0.28,0,0.19,0.24,0.27,0.01,0.03,-0.1,0.04,0.28,0.18,0.07,0.22,0.54,0.76,0.69,0.33,0.17,-0.15,-0.11,0.18,0.2,0.27,0.32
"35","26","    Nonresidential","A008RS2",0.49,0.56,0.54,0.39,0.48,1.19,1.56,0.65,0.79,0.85,1.1,1.26,1.37,0.83,-0.02,0.04,0.14,0.23,0.15,0.31,0.29,0.27,0.23,-0.04,0.02,0.09,0.12,-0.08,-0.07,-0.21,-0.13,0.08,-0.04,-0.05,-0.02,0.16,0.34,0.35,0.26,0.23,-0.04,-0.1,0.16,0.18,0.13,0.15
"36","27","      Structures","A009RS2",0.24,0.24,0.28,0.26,0.29,0.53,0.45,0.18,0.3,0.36,0.48,0.43,0.67,0.41,-0.12,0.04,0.1,0.08,0.06,0.15,0.13,0.11,0.06,0,0.08,0.09,0.11,0.07,0.11,0.13,0.09,0.11,0.15,0.11,0.09,0.17,0.29,0.31,0.18,0.16,-0.07,-0.03,0.07,0.09,0.07,0.07
"37","28","      Equipment","Y033RS2",0.18,0.24,0.19,0.08,0.11,0.51,0.98,0.39,0.42,0.41,0.5,0.68,0.55,0.3,0.02,-0.06,0,0.14,0.04,0.09,0.12,0.13,0.1,-0.01,-0.07,-0.01,-0.08,-0.16,-0.2,-0.33,-0.29,-0.16,-0.21,-0.12,-0.1,-0.01,0.02,-0.02,0.02,0.01,0.06,-0.09,0.04,0.05,0.02,0.03
"38","29","        Information processing equipment","Y034RS2",0.01,0.01,-0.03,-0.03,0.01,0.02,0.1,0.01,-0.03,-0.08,-0.03,0.01,0.05,0.02,-0.07,-0.12,-0.1,-0.07,-0.08,-0.03,-0.03,-0.05,-0.05,-0.09,-0.12,-0.1,-0.16,-0.27,-0.27,-0.36,-0.32,-0.18,-0.23,-0.15,-0.15,-0.1,-0.09,-0.1,-0.08,-0.09,-0.06,-0.03,-0.02,-0.03,-0.02,0
"39","30","          Computers and peripheral equipment","B935RS2",-0.02,-0.03,-0.07,-0.06,-0.01,-0.05,-0.02,-0.04,-0.04,-0.14,-0.07,-0.11,-0.07,-0.05,-0.12,-0.16,-0.13,-0.11,-0.12,-0.05,-0.05,-0.07,-0.07,-0.1,-0.11,-0.09,-0.14,-0.24,-0.24,-0.29,-0.25,-0.13,-0.17,-0.11,-0.08,-0.05,-0.08,-0.08,-0.06,-0.06,-0.04,-0.02,-0.02,-0.01,0,0
"40","31","          Other","A937RS2",0.03,0.04,0.04,0.03,0.02,0.08,0.11,0.06,0.01,0.06,0.04,0.12,0.11,0.08,0.05,0.04,0.02,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0,-0.01,-0.01,-0.03,-0.02,-0.07,-0.07,-0.04,-0.06,-0.05,-0.07,-0.05,-0.01,-0.02,-0.01,-0.03,-0.02,-0.01,0,-0.02,-0.01,0
"41","32","        Industrial equipment","A680RS2",0.06,0.09,0.08,0.03,0.05,0.18,0.38,0.15,0.17,0.17,0.2,0.27,0.2,0.09,0.04,0.02,0.03,0.07,0.07,0.07,0.06,0.08,0.05,0.03,0.02,0.03,0.05,0.03,0.01,0.01,0.01,0.01,0.01,0,0.01,0.03,0.04,0.04,0.05,0.06,0.01,0.01,0.03,0.02,0,0.01
"42","33","        Transportation equipment","A681RS2",0.06,0.08,0.08,0.04,0.02,0.17,0.18,0.11,0.13,0.17,0.17,0.19,0.12,0.07,0.02,0.02,0.05,0.09,0.02,0.02,0.04,0.05,0.06,0.02,0.01,0.04,0,0.04,0.04,0.01,0.01,0,0,0.02,0.03,0.05,0.01,0.01,0.02,0,0.04,-0.04,0.02,0.03,0.02,0.02
"43","34","        Other equipment","A862RS2",0.05,0.05,0.07,0.04,0.03,0.14,0.33,0.12,0.14,0.15,0.16,0.21,0.19,0.11,0.03,0.03,0.03,0.04,0.03,0.04,0.05,0.05,0.04,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.06,0.03,0.03,0.03,0.07,-0.03,0.02,0.04,0.02,0.01
"44","35","      Intellectual property products","Y001RS2",0.07,0.08,0.06,0.05,0.08,0.15,0.13,0.07,0.08,0.09,0.12,0.14,0.15,0.12,0.08,0.06,0.04,0.02,0.04,0.08,0.03,0.03,0.07,-0.03,0.02,0.01,0.08,0.01,0.02,-0.02,0.07,0.12,0.01,-0.04,-0.01,0,0.03,0.06,0.06,0.06,-0.03,0.02,0.05,0.04,0.03,0.04
"45","36","        Software \1\","B985RS2",0,0,-0.01,0,0,0.01,0.01,0,0,-0.01,0.01,0.01,0.01,0.01,0,-0.01,-0.01,-0.02,0,-0.01,-0.04,-0.03,0,-0.08,-0.01,-0.03,-0.01,-0.02,-0.03,-0.04,0.02,0.05,0.01,-0.03,-0.04,-0.04,-0.01,0.02,0.01,0.01,-0.02,-0.02,0,0,0.01,0
"46","37","        Research and development","Y006RS2",0.04,0.04,0.04,0.03,0.06,0.12,0.09,0.05,0.06,0.07,0.09,0.12,0.11,0.09,0.07,0.05,0.03,0.02,0.03,0.07,0.04,0.03,0.04,0.04,0.02,0.03,0.07,0.02,0.05,0.02,0.04,0.06,0,-0.01,0.02,0.03,0.04,0.03,0.04,0.05,-0.01,0.04,0.05,0.04,0.02,0.04
"47","38","        Entertainment, literary, and artistic originals","Y020RS2",0.03,0.03,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0.01
"48","39","    Residential","A011RS2",0.3,0.14,0.26,0.32,0.49,0.51,0.39,0.28,0.51,0.67,0.63,0.54,0.34,0.2,0.09,0.13,0.12,0.21,0.21,0.17,0.15,0.1,0.05,0.05,0.16,0.15,0.15,0.09,0.1,0.12,0.17,0.2,0.22,0.12,0.24,0.38,0.42,0.34,0.07,-0.06,-0.11,-0.01,0.02,0.02,0.14,0.18
"49","40","  Change in private inventories","A014RS2",0.02,0.01,0.01,0.01,0.03,0.11,0.01,-0.02,0.02,0.04,0.08,0.03,0.06,-0.05,-0.01,0.03,-0.03,-0.03,0.02,-0.04,0.01,-0.01,-0.01,-0.01,0,0,0,-0.02,-0.02,-0.04,-0.01,-0.01,0,0,-0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,-0.03
"50","41","    Farm","B018RS2",0,-0.01,0,0,0,-0.07,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,0,-0.04,-0.02,0,-0.03,-0.02,0,-0.06,-0.01,-0.01,0,-0.01,0,0,0,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,-0.01,0,0,-0.02
"51","42","    Nonfarm","A015RS2",0.02,0.02,0.01,0.01,0.03,0.17,0.03,0,0.04,0.06,0.08,0.04,0.06,0,0.01,0.03,0.01,-0.01,0.01,0.03,0.01,0,0,0,0,0,0,-0.01,-0.01,-0.03,-0.01,-0.01,0,0,-0.01,0,0.01,0.02,0.01,0,0,0,0.01,0,0,-0.01
"52","43","Government consumption expenditures and gross investment","A822RS2",1.39,1.86,1.83,1.69,1.45,2.08,2.07,1.21,1.29,1.31,1.61,2.09,1.99,1.34,0.81,0.82,0.63,0.36,0.57,0.65,0.77,0.84,0.74,0.64,0.48,0.51,0.54,0.38,0.35,0.3,0.59,0.74,0.51,0.44,0.69,0.82,0.92,0.78,0.8,0.81,-0.06,0.55,0.59,0.29,0.23,0.21
"53","44","  Federal","A823RS2",0.67,0.98,0.96,0.96,0.71,0.81,0.89,0.62,0.57,0.59,0.65,0.9,0.91,0.68,0.34,0.38,0.21,0.06,0.08,0.3,0.26,0.3,0.34,0.23,0.19,0.21,0.24,0.12,0.11,0.08,0.15,0.2,0.11,0.2,0.28,0.24,0.29,0.22,0.21,0.22,-0.02,0.22,0.23,0.07,0.08,0.06
"54","45","    National defense","A824RS2",0.52,0.72,0.73,0.81,0.51,0.58,0.58,0.43,0.41,0.42,0.45,0.64,0.63,0.49,0.25,0.28,0.12,0.01,0.06,0.21,0.18,0.23,0.22,0.18,0.09,0.13,0.15,0.08,0.06,0.05,0.1,0.12,0.07,0.13,0.2,0.15,0.2,0.16,0.14,0.15,-0.04,0.13,0.15,0.05,0.04,0.05
"55","46","      Consumption expenditures","A997RS2",0.43,0.6,0.64,0.63,0.45,0.49,0.48,0.34,0.32,0.33,0.37,0.53,0.51,0.38,0.19,0.23,0.13,0.06,0.09,0.17,0.14,0.19,0.18,0.16,0.06,0.1,0.11,0.07,0.06,0.04,0.08,0.11,0.07,0.13,0.19,0.13,0.18,0.14,0.12,0.13,-0.04,0.11,0.12,0.04,0.03,0.04
"56","47","      Gross investment","A788RS2",0.1,0.12,0.09,0.19,0.06,0.09,0.1,0.09,0.09,0.08,0.08,0.1,0.12,0.11,0.06,0.05,-0.01,-0.05,-0.03,0.03,0.04,0.04,0.04,0.02,0.03,0.03,0.04,0.01,0,0,0.01,0.01,0,0,0.01,0.01,0.02,0.02,0.02,0.02,0,0.01,0.03,0.01,0.01,0.01
"57","48","    Nondefense","A825RS2",0.15,0.26,0.23,0.15,0.19,0.24,0.32,0.19,0.16,0.17,0.21,0.27,0.28,0.19,0.09,0.09,0.09,0.04,0.02,0.09,0.07,0.07,0.13,0.05,0.1,0.08,0.09,0.04,0.04,0.03,0.06,0.08,0.04,0.07,0.08,0.09,0.09,0.07,0.07,0.06,0.02,0.09,0.08,0.01,0.05,0.02
"58","49","      Consumption expenditures","A542RS2",0.1,0.19,0.17,0.11,0.14,0.14,0.22,0.14,0.11,0.12,0.13,0.17,0.19,0.13,0.06,0.07,0.07,0.03,0,0.06,0.05,0.05,0.1,0.04,0.08,0.06,0.07,0.04,0.04,0.03,0.05,0.06,0.04,0.07,0.07,0.08,0.07,0.06,0.06,0.05,0.02,0.07,0.06,0.01,0.04,0.01
"59","50","      Gross investment","A798RS2",0.05,0.07,0.06,0.04,0.06,0.1,0.1,0.05,0.05,0.05,0.08,0.1,0.09,0.06,0.02,0.02,0.02,0.01,0.01,0.03,0.03,0.02,0.02,0.01,0.02,0.01,0.02,0,0,0,0.01,0.02,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0.02,0.01,0,0.01,0.01
"60","51","  State and local","A829RS2",0.72,0.88,0.87,0.73,0.74,1.27,1.18,0.59,0.73,0.72,0.96,1.18,1.08,0.65,0.47,0.44,0.41,0.3,0.49,0.35,0.52,0.55,0.4,0.42,0.29,0.3,0.31,0.26,0.24,0.22,0.44,0.54,0.4,0.24,0.41,0.58,0.63,0.56,0.59,0.59,-0.03,0.33,0.37,0.22,0.15,0.14
"61","52","      Consumption expenditures","A991RS2",0.52,0.65,0.67,0.59,0.56,0.83,0.89,0.53,0.64,0.59,0.76,0.92,0.84,0.53,0.45,0.43,0.38,0.24,0.42,0.3,0.47,0.48,0.36,0.41,0.25,0.25,0.24,0.22,0.21,0.19,0.39,0.47,0.35,0.2,0.37,0.48,0.47,0.43,0.43,0.49,-0.08,0.33,0.31,0.15,0.11,0.11
"62","53","      Gross investment","A799RS2",0.19,0.23,0.2,0.13,0.18,0.44,0.29,0.06,0.09,0.13,0.2,0.27,0.24,0.13,0.03,0.01,0.03,0.06,0.07,0.06,0.05,0.06,0.03,0.01,0.04,0.05,0.06,0.03,0.03,0.03,0.04,0.07,0.05,0.04,0.03,0.1,0.16,0.13,0.16,0.1,0.04,0.01,0.06,0.06,0.03,0.03
"63",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","54","  Final sales of computers to domestic purchasers \2\","W489RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08,-0.12,-0.07,-0.06,-0.14,-0.18,-0.14,-0.14,-0.14,-0.07,-0.07,-0.1,-0.1,-0.16,-0.16,-0.13,-0.21,-0.37,-0.38,-0.45,-0.39,-0.23,-0.28,-0.2,-0.15,-0.09,-0.14,-0.14,-0.11,-0.11,-0.09,-0.05,-0.06,-0.04,-0.03,-0.03
"65","55","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.81,10.51,9.25,5.74,3.65,3.5,3.15,2.23,2.95,3.58,3.97,4.01,3.19,2.48,2.43,2.22,2.36,2.1,1.85,1.1,1.95,2.82,2.2,1.58,2.33,3.03,3.66,3.33,2.84,3.06,-0.15,1.57,2.46,1.74,1.33,1.41
"66","56","  Food \3\","B981RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.22,0.04,0.14,0.21,0.13,0.33,0.31,0.2,0.04,0.08,0.1,0.12,0.16,0.09,0.06,0.08,0.12,0.15,0.07,0.09,0.16,0.08,0.08,0.18,0.3,0.06,0.02,0.19,0.11,0.05,0.07
"67","57","  Energy goods and services","B982RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.05,0.05,-0.57,0.05,0.03,0.21,0.3,0.01,0.02,0.03,0.01,0.03,0.15,0.03,-0.27,0.11,0.48,0.07,-0.17,0.34,0.34,0.53,0.38,0.22,0.52,-0.79,0.35,0.56,0.05,-0.03,-0.04
"68","58","  Gross domestic purchases excluding food and energy","B983RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.39,3.06,2.92,2.52,2.56,3.35,3.36,3.3,2.88,2.27,2.15,1.98,2,1.43,1.34,0.86,1.36,1.99,1.7,1.48,1.75,2.45,2.9,2.73,2.33,2.13,0.49,1.16,1.65,1.54,1.27,1.35
