"","Table 3#9#6# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67"
"11","3","      Gross investment \2\","A782RX1",472.6,480.4,487.4,499.4,502.4,496.1,500.5,503.4,509.8,534.3,514.8,536.4,547.4,552,561.3,566.1,566.4,572.1,584.3,582.7,583.2,590.9,589.4,582.3,579.9,585.8,588.9,591.9,596.4,609.9,606.4,608.1,608.5,619.8,621.7,624.9,625.7,643.1,649.8,645.4,638.2,651.3,654.6,644,635,651.3,654.1,645.7,623,620.2,614.1,611.2,594,595.4,586.2,573.5,558.1,560.6,559.5,554.4,532.3,546,546.2,550.8
"12","4","        Structures","A760RX1",294,290.7,292.7,304.2,311.8,301,303.4,305,310,334.1,306.5,329.4,336.8,332.3,334.8,339.5,336.2,334.2,344.1,336.8,335.2,337.8,327.8,317,314.9,314.4,312.1,314.6,312.3,320.6,316.1,311.4,313,316.6,314.7,313.7,311.1,318.1,320.4,317.1,316.5,322.5,323.4,313.3,304.2,318.2,319.4,307.2,298.8,292.6,286.8,282.9,272.5,269,260.4,253.9,246,250.8,249.7,246.6,239,248.3,249,250.4
"13","5","        Equipment","Y054RX1",72,76.5,79.6,81.3,78.9,79.3,80.5,80.3,80,82.8,84.1,85.4,87.5,92.3,95.8,94.6,94.3,98.1,99.1,100.7,101.1,104.1,108,108.5,106.8,110.7,113.9,114,119.1,123.2,122,125.9,123.7,130.5,133.4,136.4,138.1,148,152.1,150.6,143.3,149.3,150.7,149.7,148.4,151,150.6,154.1,140.8,144.6,144,144.1,137.9,142.6,143,137.5,131,131.6,133.8,135,122.8,128.8,127.9,129.7
"14","6","        Intellectual property products","Y055RX1",120.1,123.6,124.7,124.6,125.4,126.8,127.5,129.2,131.7,133,134.3,135.2,136.9,139.2,141.7,143.8,146.8,149.3,151.6,154,155.1,156.7,159.3,160.7,162,163.7,165.1,165.5,166.2,167.7,169.5,171.4,172.5,173.2,173.9,174.9,176.5,177,177.4,177.7,178.4,179.4,180.6,181,182.3,182.1,184,184.4,183.2,182.8,183.1,184,183.5,183.8,183,182.3,181.3,178.2,176.2,173.2,170.6,168.9,169.3,170.8
"15","7","          Software","Y056RX1",24,26.9,27.1,27,27,27.7,27.5,28.1,29,28.5,27.9,27,26.7,26.6,26.7,26,26.1,26.5,27.1,28.1,27.7,27.7,28.7,29.1,29,29.8,30.2,30.3,30.4,30.7,31.2,32.1,32.6,32.6,32.8,32.8,34.2,34.4,34.5,34,33.5,33.7,34.1,34.8,35.4,35.1,35.9,36.3,36.7,37.1,37.7,38.3,38.1,38.7,38.6,38.7,39.4,38.5,39,39.1,39.2,39.3,40.2,40.7
"16","8","          Research and development","Y057RX1",96,96.2,97.1,97.1,97.8,98.6,99.5,100.6,102.1,103.9,105.9,108,110,112.5,114.9,117.9,120.8,122.9,124.5,126,127.5,129,130.7,131.6,133.1,133.9,134.9,135.3,135.8,137,138.3,139.3,139.9,140.5,141.1,142.1,142.3,142.6,142.9,143.7,144.8,145.7,146.5,146.2,146.9,147.1,148.2,148.1,146.6,145.8,145.5,145.8,145.5,145.3,144.5,143.8,142.1,140,137.4,134.4,131.7,129.9,129.5,130.5
"17","9","Federal","A823RX1",801.2,805.2,819.4,835.6,804.6,832.8,818.9,814.6,832.3,848.7,855.9,862.6,884,904.7,919,935.7,935.9,982.8,977.1,996,1003,1013,1030.7,1021.8,1027.6,1029.8,1048.6,1033.2,1058.9,1057.7,1058,1069,1054.5,1071.2,1091.6,1097.5,1115.2,1135.7,1169.1,1189.3,1180.1,1218.9,1235.6,1236.2,1247.8,1273.4,1285,1276.4,1241.2,1246,1233.3,1225.2,1216,1213.1,1235.4,1193,1162.5,1152.2,1148.7,1117.8,1117.4,1114.9,1141.6,1119.7
"18","10","    Consumption expenditures","A957RX1",636.7,632.9,644.1,659,632.3,662.7,646.1,642.3,659.6,670.5,674.6,678.4,695,708,715.4,730.8,728.4,768.3,760.2,778,782.9,787.9,799.3,791.1,797.8,795.9,809.5,795.7,815.4,809.4,811.8,817.3,804.5,813.3,832,837.3,852.5,860.3,887.9,905.2,903.1,935.2,947.4,949.1,959.6,977.8,987.2,976.3,953.4,956.9,947.7,940.8,939.8,934.3,958.7,922.7,902.8,896.1,893.8,867.2,880.1,874.3,902.2,877.6
"19","11","    Gross investment","A787RX1",167.1,173.5,176.5,178.3,173.4,172.9,174.5,173.9,174.9,180.1,182.9,185.5,190.3,197.7,204.1,205.7,208.1,215.4,217.5,218.9,220.9,225.7,231.8,231.1,230.3,234.3,239.4,237.6,243.6,248.4,246.3,251.8,250,257.9,259.6,260.2,262.7,275.4,281.2,284.2,277,283.7,288.1,287.1,288.2,295.6,297.8,300.1,287.8,289.1,285.6,284.5,276,278.7,276.5,270.2,259.4,255.9,254.6,250.4,236.7,240,238.7,241.6
"20","12","      Structures","A801RX1",26.5,25.5,24.7,24.5,22.5,20.8,20.7,19.1,18.7,19.7,19.8,20.1,22.2,22.5,23.1,23.5,23.8,25.1,24.7,22.6,22.8,22.5,22,19.3,19.3,18,18.8,16.7,17.8,18.7,18.4,20.9,20.3,23.3,23,21.8,21.2,24.2,26.1,27.9,27.8,27.8,30,31,30.6,34,33.9,32.8,33.2,31.3,28.3,25,23.2,21.8,19.8,20.4,17.3,16.9,16.5,15.2,15.2,15.2,15.1,15.9
"21","13","      Equipment","Y058RX1",42.4,45.9,48.4,50.3,47.1,46.9,47.8,47.2,46.6,49.4,50.8,52,53.5,58.3,61.8,60.8,60.4,64.1,64.7,65.8,66.5,69.8,73.9,74.2,72.4,75.9,79.1,79.1,83.8,86.6,83.7,85.3,83.5,87.8,89.3,90.3,92.4,102,105.7,106.7,99.1,105,106.4,104.3,104.5,108.7,109.4,112.6,100.8,104.3,103.6,105.1,98.9,103.1,103.8,97.8,91.5,91.2,92.8,93,81.8,87.4,86.2,87.3
"22","14","      Intellectual property products","Y059RX1",102.7,105.8,106.6,106.3,106.6,107.7,108.3,109.5,111.5,112.9,114.1,115.3,116.8,118.7,120.9,123.2,126,128.3,129.9,132,133,134.5,136.8,137.9,139.2,140.5,141.7,141.8,141.9,143,144.2,145.6,146.3,146.9,147.5,148.1,149.1,149.3,149.4,149.6,150.1,150.8,151.7,151.9,153.1,153,154.6,154.8,153.8,153.5,153.6,154.3,153.8,153.7,152.8,151.8,150.3,147.5,145.2,142.1,139.4,137.3,137.3,138.2
"23","15","        Software","Y060RX1",15.7,18.4,18.5,18.3,18.1,18.5,18.4,18.7,19.3,19,18.6,17.9,17.7,17.4,17.3,16.9,16.8,17.1,17.2,17.8,17.4,17.5,18.2,18.4,18.3,18.9,19.3,19.3,19.4,19.5,19.8,20.5,20.8,20.9,21.1,21.1,22.1,22.2,22.2,21.9,21.5,21.6,21.9,22.3,23.1,22.9,23.6,23.9,24.1,24.4,24.7,25.1,24.9,25.2,25.1,25,25.4,24.8,25,25,25,25,25.6,25.8
"24","16","        Research and development","Y061RX1",86.9,87,87.7,87.6,88.1,88.7,89.5,90.4,91.8,93.5,95.3,97.1,99,101.2,103.5,106.4,109.2,111.2,112.8,114.2,115.6,117.1,118.6,119.6,120.9,121.6,122.4,122.5,122.6,123.5,124.4,125.1,125.6,126,126.3,127,127,127.1,127.1,127.7,128.5,129.2,129.8,129.6,130,130.1,131,130.9,129.7,129.2,129,129.3,129,128.7,127.7,126.9,125.1,122.9,120.3,117.3,114.6,112.6,112,112.7
"25","17","  National defense","A824RX1",503.6,508.9,522.6,532.8,500.9,522.8,512.6,512.7,519.6,528.4,534.2,537.8,549.9,562.8,572.4,584.1,583.7,625.3,617.3,635.5,640.9,648,668.4,653.4,659.1,664.6,679.1,659.3,672.6,678,674.2,690.5,676.6,691,706.9,708,719.7,733.6,764.5,774.5,757.5,788.4,804.9,802.3,798.6,811,825.9,818.6,788.4,801.3,805.1,785.3,770.4,767.9,789.8,746.7,725.5,721.8,722.6,701,693.9,695.4,721.7,697.9
"26","18","    Consumption expenditures","A997RX1",420.2,420.7,431.6,445,412.2,435.1,422.8,423,430.2,434.4,437.5,439.3,449.9,455.6,459.6,470.8,468,505.3,494.7,510.6,513.9,517.5,531.2,517.1,523.4,524.6,536.3,518.6,529.4,528.3,527.6,538.6,526,533.5,548.8,549.6,559.1,562.1,588.6,597,587.4,612.1,626.6,627,625.3,633.7,647.1,637.9,620.7,630.7,636.7,616.9,610.2,604.9,628.1,591,577.6,575.6,576.4,557.4,562.3,559.5,586.7,561.9
"27","19","    Gross investment","A788RX1",86.7,90.6,93.4,91.4,90.8,90.9,92.1,92,92,96.1,98.5,100.2,101.7,108.3,113.4,114.2,116.3,121.1,123.3,125.7,127.6,131,137.6,136.5,136,140.2,143,140.8,143.3,149.7,146.7,151.9,150.6,157.5,158.2,158.4,160.6,171.6,175.9,177.5,170.1,176.3,178.3,175.3,173.2,177.3,178.8,180.7,167.6,170.5,168.3,168.3,160,162.9,161.4,155.6,147.8,145.9,145.9,143.4,131.1,135.5,134.4,135.6
"28","20","      Structures","A808RX1",9.1,8.9,8.4,7.7,7.8,8,8.8,8.1,7.5,8.2,7.6,7.9,8.2,8.5,9.1,9.1,9.7,9.9,10,9.5,9.6,9,9.4,8.2,8.8,8.5,8.7,8.1,8.1,8.6,8.2,9.1,9.2,11.7,10.5,9.6,10.5,13.1,14.4,15.8,16.3,16.9,17.9,17.5,16.1,16.9,17.3,16.7,15.2,14.1,12.3,10.5,9.1,7.9,6.7,7,6.3,6.3,6.2,5.1,4.9,4.8,4.8,4.5
"29","21","      Equipment","Y050RX1",33.5,36.6,39.4,38.4,38.3,38,38.5,38.5,38.5,41.2,42.8,43,43.4,48,50.9,49.9,49.7,52.7,53.3,54.7,55.2,57.5,62.2,61.2,59.4,63.1,65,63.3,65.7,70.8,67.4,70.6,68.5,72.4,73.8,74.6,75.9,84.6,88.1,88.8,81.4,87.4,88.6,86.7,85.7,89.5,90.1,93.4,82.2,86.3,85.7,87,80.3,84.6,85.5,80.2,74.9,75.2,77.1,77.3,66.2,71.7,70.6,71.7
"30","22","      Intellectual property products","Y052RX1",45.5,46.2,46.3,45.8,45.3,45.5,45.7,46.2,46.7,47.3,48.4,49.7,50.7,52.2,53.8,55.7,57.5,59.1,60.5,61.9,63.3,64.7,66.3,67.1,68,68.7,69.4,69.4,69.5,70.2,71.2,72.2,73,73.4,73.8,74.2,74.2,73.9,73.4,72.9,72.4,72,71.8,71.1,71.4,71,71.3,70.7,70.2,70.1,70.2,70.7,70.5,70.3,69.3,68.3,66.4,64.3,62.6,61,59.8,59,59,59.5
"31","23","        Software","Y053RX1",5.6,6.5,6.6,6.5,6.1,6.3,6.2,6.3,6.1,5.8,5.8,5.9,5.8,5.8,5.8,5.7,5.5,5.6,5.7,5.8,5.7,5.8,6,6.1,5.9,6.1,6.2,6.2,6.2,6.2,6.3,6.5,6.6,6.6,6.6,6.6,6.9,6.9,6.9,6.8,6.7,6.8,6.9,7,7.2,7.2,7.4,7.5,7.6,7.7,7.7,7.8,7.7,7.8,7.8,7.7,7.8,7.6,7.7,7.7,7.7,7.7,7.8,7.9
"32","24","        Research and development","Y076RX1",39.7,39.4,39.5,39,39,39,39.3,39.7,40.4,41.4,42.5,43.6,44.8,46.3,47.9,49.9,51.9,53.5,54.8,56.1,57.5,58.9,60.2,61,62.1,62.6,63.2,63.2,63.3,64,64.8,65.7,66.3,66.9,67.2,67.6,67.4,67,66.4,66.1,65.7,65.3,64.9,64.1,64.2,63.7,63.9,63.2,62.6,62.4,62.5,63,62.8,62.5,61.6,60.6,58.6,56.7,55,53.5,52.3,51.4,51.3,51.7
"33","25","  Nondefense","A825RX1",297.6,296.4,297,303,303.5,310,306.2,301.9,312.6,320.1,321.5,324.5,333.9,341.7,346.4,351.4,352.1,357.5,359.8,360.6,362.1,365,362.4,368.5,368.6,365.3,369.6,374,386.4,379.8,383.8,378.5,378,380.2,384.7,389.6,395.5,402.1,404.5,414.8,422.6,430.4,430.7,433.9,449.2,462.4,459.1,457.7,452.7,444.7,428.2,439.9,445.6,445.2,445.6,446.3,436.9,430.4,426.1,416.7,423.4,419.4,419.8,421.6
"34","26","    Consumption expenditures","A542RX1",216.6,212.4,212.8,214.5,220.2,227.7,223.4,219.5,229.4,236.1,237.1,239.1,245.1,252.3,255.7,260,260.3,263.1,265.6,267.4,269,270.4,268.2,274,274.4,271.3,273.3,277.2,286.1,281.1,284.3,278.7,278.5,279.8,283.2,287.7,293.4,298.3,299.2,308.1,315.7,323.1,320.8,322.1,334.2,344.1,340.1,338.4,332.7,326.2,311.1,323.8,329.6,329.4,330.6,331.7,325.2,320.4,317.4,309.7,317.7,314.7,315.4,315.5
"35","27","    Gross investment","A798RX1",80.4,82.9,83,86.9,82.6,82.1,82.3,81.8,82.9,83.9,84.4,85.3,88.5,89.3,90.7,91.4,91.8,94.2,94.2,93.2,93.2,94.6,94.2,94.6,94.3,94.1,96.3,96.8,100.3,98.7,99.5,99.8,99.4,100.4,101.5,101.9,102.1,103.8,105.3,106.7,106.9,107.4,109.8,111.9,115,118.3,119,119.4,120.1,118.6,117.3,116.2,116,115.8,115,114.6,111.6,110,108.7,107,105.5,104.5,104.2,105.9
"36","28","      Structures","A830RX1",17.4,16.6,16.4,16.8,14.7,12.8,11.9,11,11.3,11.5,12.2,12.2,14.1,14,14.1,14.5,14.1,15.3,14.8,13.2,13.2,13.5,12.7,11.2,10.5,9.6,10.1,8.6,9.7,10.2,10.2,11.9,11.2,11.7,12.5,12.2,10.7,11.1,11.7,12.1,11.5,11,12.1,13.5,14.5,17.2,16.5,16.1,18,17.1,16,14.5,14.1,13.8,13.2,13.4,11,10.6,10.3,10.1,10.3,10.4,10.3,11.5
"37","29","      Equipment","Y066RX1",8.6,9.1,8.9,11.2,8.7,8.7,9.1,8.7,8.2,8.4,8.2,9,10,10.3,10.9,10.8,10.7,11.3,11.4,11.2,11.4,12.3,11.9,13.1,12.9,12.9,14.1,15.6,17.8,15.7,16.2,14.7,15,15.3,15.4,15.8,16.5,17.4,17.6,17.9,17.7,17.6,17.8,17.6,18.8,19.2,19.3,19.2,18.6,18,17.9,18.1,18.6,18.5,18.4,17.6,16.6,16,15.7,15.7,15.6,15.7,15.6,15.6
"38","30","      Intellectual property products","Y067RX1",57.2,59.6,60.2,60.4,61.2,62.1,62.5,63.2,64.8,65.5,65.6,65.5,66.1,66.5,67,67.5,68.5,69.2,69.4,70,69.7,69.8,70.6,70.8,71.2,71.8,72.3,72.3,72.5,72.8,73,73.4,73.4,73.4,73.7,73.9,74.8,75.3,76,76.7,77.7,78.8,79.9,80.8,81.7,82,83.3,84.1,83.6,83.4,83.4,83.6,83.3,83.4,83.5,83.6,84,83.3,82.6,81.1,79.6,78.4,78.4,78.8
"39","31","        Software","Y068RX1",10,11.9,11.9,11.7,11.9,12.2,12.2,12.4,13.2,13.2,12.7,12,11.9,11.6,11.5,11.1,11.3,11.5,11.5,12,11.7,11.7,12.2,12.3,12.4,12.8,13.1,13.1,13.2,13.3,13.5,13.9,14.2,14.4,14.5,14.5,15.2,15.2,15.3,15.1,14.8,14.9,15,15.3,15.8,15.7,16.2,16.4,16.5,16.7,16.9,17.3,17.2,17.4,17.4,17.3,17.5,17.1,17.4,17.3,17.3,17.3,17.7,17.8
"40","32","        Research and development","Y069RX1",47.2,47.6,48.2,48.6,49.2,49.7,50.2,50.8,51.4,52.1,52.8,53.5,54.2,54.9,55.6,56.5,57.3,57.7,58,58.1,58.1,58.2,58.4,58.5,58.8,59,59.2,59.2,59.3,59.5,59.6,59.5,59.2,59.1,59.1,59.4,59.6,60.1,60.7,61.7,62.9,63.9,64.9,65.5,65.8,66.3,67.1,67.7,67.1,66.7,66.5,66.3,66.2,66.1,66.2,66.3,66.6,66.2,65.3,63.9,62.4,61.2,60.7,61.1
"41","33","State and local","A829RX1",1624.5,1634,1648,1668.1,1680.8,1681.2,1691,1703.6,1722.9,1756.8,1747.3,1778.9,1795.9,1799.8,1805.9,1807.9,1798.5,1791.7,1798,1793,1793.3,1799,1791,1787.7,1787.6,1790.2,1792.9,1798.6,1794.9,1806.9,1813,1820.6,1829,1836.4,1836.7,1842.5,1836.9,1839.3,1847.1,1846.6,1860.4,1877.1,1877.4,1870.6,1836.5,1832.8,1818.5,1795.2,1771.1,1763,1756.8,1753.1,1741.7,1741.7,1739.2,1735.5,1736.8,1748.3,1753,1755.7,1750.2,1764.7,1769.5,1775.2
"42","34","  Consumption expenditures","A991RX1",1313.4,1322.6,1332.7,1341.8,1344.9,1351.5,1358.5,1367.1,1380.6,1394.5,1409.2,1420.9,1431.9,1439.8,1443.8,1442.6,1435.8,1431.7,1427.7,1426.1,1428.3,1431.5,1432,1435.1,1436.5,1437.5,1442.5,1443.3,1441.5,1445.1,1452.4,1463.9,1470.1,1474.3,1474.4,1477.7,1473.7,1471.7,1478.6,1485.4,1499.3,1509.6,1511,1513.6,1489.6,1477.2,1462.4,1449.6,1435.8,1431.7,1428,1426,1423.3,1424.5,1428.8,1431.5,1437.3,1443,1447.6,1451.1,1454.1,1458.4,1461.7,1465.7
"43","35","  Gross investment","A799RX1",311.2,311.5,315.5,326.6,336.3,330,332.8,336.9,342.7,363.3,338,358.6,364.7,360.5,362.7,366.1,363.3,360.6,371.4,367.8,365.9,368.4,359.4,352.7,351,352.7,350.2,355.3,353.3,362.1,360.8,356.7,358.9,362.2,362.4,364.9,363.2,367.7,368.6,361.2,361.2,367.6,366.5,356.9,346.7,355.6,356.2,345.5,335.1,331,328.4,326.6,317.9,316.6,309.7,303.2,298.6,304.5,304.6,303.7,295.2,305.4,307,308.7
"44","36","    Structures","A842RX1",267.2,265,267.8,279.6,289.4,280.4,282.9,286.2,291.6,314.8,287,309.7,314.8,310,311.8,316.1,312.5,309.1,319.5,314.4,312.6,315.5,306,298,295.9,296.8,293.7,298.4,294.9,302.2,298.1,290.6,292.9,293.4,291.9,292.1,290.1,294,294.2,289.2,288.7,294.7,293.3,282.4,273.6,284.2,285.6,274.5,265.7,261.4,258.6,257.9,249.2,247.1,240.5,233.4,228.6,233.7,233,231.2,223.6,232.9,233.7,234.2
"45","37","    Equipment","Y070RX1",29.9,30.8,31.3,31.6,31.9,32.6,32.9,33.1,33.4,33.3,33.1,33.4,34.1,34,34,33.9,33.9,34,34.4,34.8,34.5,34.3,33.9,34.2,34.4,34.8,34.9,35,35.6,36.6,38.4,40.6,40.3,42.7,44.1,46.1,45.7,46,46.4,44,44.2,44.3,44.3,45.4,43.9,42.3,41.2,41.4,40,40.3,40.4,39,38.9,39.5,39.2,39.7,39.5,40.4,41,42,40.9,41.4,41.7,42.4
"46","38","    Intellectual property products","Y071RX1",17.4,17.8,18.1,18.4,18.7,19.1,19.2,19.7,20.1,20.1,20.1,19.9,20.1,20.4,20.8,20.6,20.9,21,21.7,22.1,22.1,22.2,22.5,22.8,22.8,23.2,23.5,23.8,24.2,24.7,25.2,25.8,26.2,26.3,26.4,26.7,27.4,27.8,28,28.1,28.3,28.6,28.9,29.1,29.2,29.2,29.4,29.6,29.4,29.4,29.5,29.7,29.8,30.1,30.2,30.5,31,30.8,31.1,31.2,31.3,31.7,32.2,32.7
"47","39","      Software","Y072RX1",8.3,8.5,8.7,8.8,9,9.2,9.1,9.5,9.7,9.6,9.4,9.1,9,9.2,9.4,9.1,9.3,9.4,10,10.3,10.3,10.3,10.5,10.7,10.7,10.9,10.9,10.9,11,11.2,11.4,11.6,11.8,11.7,11.6,11.7,12.2,12.3,12.3,12.1,12,12.1,12.3,12.5,12.3,12.1,12.2,12.4,12.5,12.8,13,13.2,13.3,13.5,13.5,13.7,14,13.7,14,14.1,14.2,14.4,14.6,15
"48","40","      Research and development","Y073RX1",9,9.2,9.3,9.5,9.7,9.8,10,10.1,10.3,10.4,10.6,10.8,11,11.2,11.3,11.5,11.6,11.6,11.7,11.8,11.8,11.9,12,12.1,12.1,12.3,12.5,12.8,13.2,13.5,13.8,14.1,14.3,14.6,14.8,15,15.2,15.5,15.7,16,16.3,16.5,16.6,16.6,16.8,17,17.2,17.2,16.9,16.6,16.5,16.5,16.5,16.6,16.7,16.9,17,17.1,17.1,17.1,17.2,17.4,17.6,17.8
"49","41","Residual","A979RX1",-17.6,-14.1,-13.2,-14,-16.8,-14.6,-14.6,-15,-15.5,-18.5,-13.9,-17,-16.9,-14.6,-13.6,-14.4,-13.3,-10.5,-11.9,-9.7,-8.9,-8.4,-6.1,-4.6,-4.1,-3.9,-2.7,-2.8,-1.5,-2.2,-1.8,-0.9,-1.4,-1.1,-0.4,-0.4,-0.1,-0.3,0.1,-0.2,-0.1,-0.2,0,0,0.5,-0.1,-0.1,-0.1,0.1,0.3,0.2,0.5,0.8,0.8,0.2,0.7,1.3,1.6,1.2,1.3,1.8,1.7,1.7,1.7
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
