"","Table 5#2#6# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"54","47","  Intellectual property products","Y055RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.3,127.2,133.5,140.4,150.4,157.9,164.1,168.7,173.6,177.2,179.8,183.2,183.3,183.1,177.2
"55","48","  Less: Consumption of fixed capital","Y091RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.5,119.1,120.9,123.2,126.4,130.9,136,141.2,146.3,151.4,155.9,159.8,163.4,166.6,168.7
"56","49","  Equals: Net intellectual property products","Y092RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,8.1,12.6,17.2,24,27.1,28.1,27.5,27.3,25.7,23.9,23.5,19.9,16.6,8.5
"57","50","      Federal","Y093RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,4.9,9.4,14.3,21,23.9,24.9,23.4,22.8,20.9,19.2,19,16.2,13.1,5.2
"58","51","        National defense","Y094RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.9,-5.1,-1.9,3.1,8.6,12,12.8,12,12.2,9.9,6.4,4.5,2.9,1.7,-4
"59","52","        Nondefense","Y095RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,9.9,11.3,11.2,12.4,11.9,12,11.4,10.5,11,12.8,14.5,13.3,11.4,9.2
"60","53","      State and local","Y096RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,3.1,3.1,2.8,3.1,3.2,3.2,4,4.5,4.9,4.7,4.4,3.7,3.4,3.4
"61",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","54","  Gross domestic fixed investment","W172RX1",865.5,837.5,861.6,928.9,994.3,955.8,885.5,956.1,1054.6,1167.1,1233.6,1180.7,1203,1138.3,1221.6,1405.4,1503.8,1550.6,1578.3,1615.5,1662.9,1661.3,1592.5,1658.5,1743.2,1849.7,1945.5,2095,2250,2450.2,2654.7,2822.3,2807,2757.5,2865.7,3032,3201.9,3271.6,3231.1,3074.6,2672.7,2702.6,2802.5,2951.9,3032.5
"63","55","  Less: Consumption of fixed capital","A262RX1",480.6,501.5,518.9,538.7,566,590.4,609.4,628.2,652.8,682.5,716.9,749.2,778.3,808.8,836.4,872.6,921.2,968.1,1014.9,1058.9,1103,1144.9,1179,1210.3,1247,1289.7,1341.1,1399.3,1470,1555.7,1653.4,1755.4,1841.9,1905.1,1963.9,2032.6,2111,2194.4,2274.6,2338.4,2368.4,2382.4,2412.9,2456.1,2506.2
"64","56","  Equals: Net domestic fixed investment","W173RX1",391.9,341,343.9,388.8,426.3,365,277.5,328.3,399.5,481.7,514.4,433,424.9,331.8,387.3,533.9,586.6,588.8,572.1,562.7,565.6,525.4,424.1,456.5,499.7,560,603.4,693.4,776,888.6,995,1059.9,961.2,852.3,901.6,997.4,1086.5,1073.3,953.8,735.2,304.3,320.3,391,499.2,531.1
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","for fixed assets; change in inventories is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Note. Most chained (2009) dollar series are calculated as the product of the chain-type quantity index and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","usually not additive.  Chained (2009) dollar estimates of net investment are calculated by subtracting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","consumption of fixed capital from gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
