"","Table 2#4#6# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"31","24","      Telephone and facsimile equipment (67)","DTCERX1",2,2.6,3,3.5,4.8,6.1,7.1,9.5,12,12.8,12.7,13.2,14.7,18.2,19.7
"32","25","  Nondurable goods","DNDGRX1",1806,1863.6,1896,1931.1,1998.5,2063.7,2132.3,2202.2,2239.3,2214.7,2175.1,2223.5,2263.2,2280.1,2322.6
"33","26","    Food and beverages purchased for off-premises consumption","DFXARX1",668.1,684.5,694,697,713.3,729.8,757.6,780.8,791.3,781.9,770,786.5,795.1,801.6,809.4
"34","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX1",580.9,591.3,597.4,598.8,615.2,629.9,655.3,673.6,682.4,673.7,663.4,674,679,681.4,688.3
"35","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRX1",87.1,92.9,96.2,97.7,97.8,99.6,102,106.8,108.5,107.8,106.1,112.1,115.9,120.2,121
"36","29","      Food produced and consumed on farms (6)","DFFDRX1",0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3
"37","30","    Clothing and footwear","DCLORX1",243.2,255,257.4,265.2,278.3,291.2,306.8,317.4,323.9,322.3,306.5,322.7,335.3,337.7,341.2
"38","31","      Garments","DGARRX1",193.8,203.2,205.4,212.4,222.7,232.8,245.6,252.7,256.6,256.1,244.3,258.1,267.2,268.4,271.8
"39","32","        Women's and girls' clothing (10)","DWGCRX1",110.9,118,119.8,124.4,130.8,137.5,146,150,152.7,153,145.8,154.2,159.6,161.2,164.2
"40","33","        Men's and boys' clothing (11)","DMBCRX1",73.4,75.2,75.2,76.9,79.8,81.7,84.5,86.3,86.2,85.2,81.5,86.1,89,89.2,88.9
"41","34","        Children's and infants' clothing (12)","DCICRX1",9.6,10,10.5,11.1,12.3,13.6,15.1,16.4,17.7,18,17.1,17.8,18.6,18,18.7
"42","35","      Other clothing materials and footwear (13 and 17)","DOCCRX1",49.4,51.8,51.9,52.8,55.5,58.3,61.1,64.8,67.3,66.2,62.1,64.6,68.1,69.3,69.4
"43","36","    Gasoline and other energy goods","DGOERX1",302.3,294.4,294.2,296.4,296.8,299.3,298,297.4,296.8,283.4,284.5,282.2,274.3,269.2,271.7
"44","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRX1",270.3,265.8,265.7,267.1,267.2,270.9,273,274,273.2,262.4,260.2,259.9,254.7,251.3,253.8
"45","38","      Fuel oil and other fuels (29)","DFULRX1",33.5,29.4,29.2,30.2,30.5,29.1,25.2,23.6,23.8,21.1,24.3,22.4,19.6,17.8,17.8
"46","39","    Other nondurable goods","DONGRX1",605.8,636.1,656,675.7,709.5,740.6,765.9,803.3,825.2,828.3,814.2,833,863.2,879.7,909.9
"47","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRX1",192.6,210.7,229,242.6,259.5,270.8,276.7,295.8,309.7,315,320.9,322.4,329.4,333.7,349.4
"48","41","      Recreational items (parts of 80, 92, and 93)","DREIRX1",78,84.3,87.7,93.1,98.4,103.8,113.6,120.7,127,127.7,123.8,132,140.3,147.8,155.4
"49","42","      Household supplies (parts of 32 and 36)","DHOURX1",87.8,88.6,89.1,91.2,97.6,102.2,106.1,109.2,111,110.2,105.2,109.5,114.4,117.1,122.4
"50","43","      Personal care products (part of 118)","DOPCRX1",68.7,72,74,76.3,81.6,87.1,92.4,97.6,101.4,103.2,100.1,105.8,112,114.7,119.1
"51","44","      Tobacco (127)","DTOBRX1",121.4,118.5,116.3,110.7,109.4,112.2,111,113.4,110.7,106.8,99.5,95.8,94.4,92.9,89.7
"52","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRX1",62.8,65.1,62.5,61.5,61.6,63.1,63.4,63.6,61.3,60.7,58.2,62.3,67.1,69.3,72.1
"53","46","      Net expenditures abroad by U.S. residents (131)","DNFRRX1",6.3,7.2,7.7,8.3,7.5,6.7,6,5.6,5.2,5.1,6.5,5.7,7.1,6.7,5.4
"54","47","Services","DSERRX1",5331.6,5599.3,5731,5838.2,5966.9,6156.6,6353.4,6526.6,6656.4,6708.6,6648.5,6727.6,6851.4,6942.4,7073.1
"55","48","  Household consumption expenditures (for services)","DHCERX1",5192.5,5447,5562.8,5648,5763,5949.1,6147.3,6291.8,6415.2,6435.1,6372.5,6449.3,6575.9,6653.4,6772.5
"56","49","    Housing and utilities","DHUTRX1",1550.5,1600.5,1643,1653.8,1676,1717.9,1788.4,1823.2,1840.8,1860.1,1881,1904.3,1928,1940.4,1965.7
"57","50","      Housing","DHSGRX1",1278,1320.5,1364.7,1369.9,1387.7,1428.4,1493.6,1533.6,1547.2,1571.1,1591.6,1608.7,1637.3,1657.7,1678.1
"58","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRX1",303.6,306.4,312.2,309.9,300.3,301.6,306.8,316.6,334.6,343.9,359.7,372.1,395.1,410.4,414.8
"59","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRX1",956.1,993,1031.4,1038.9,1065.5,1104.7,1164.3,1194.6,1190.4,1205.1,1209.9,1214.6,1220.1,1225,1241
"60","53","        Rental value of farm dwellings (22)","DFARRX1",17.9,21,20.8,20.8,21,20.9,20.9,20.9,20.8,20.8,20.7,20.6,20.6,20.6,20.5
"61","54","        Group housing (23)","DGRHRX1",1.3,1.3,1.2,1.1,1.1,1.1,1.1,1.2,1.3,1.3,1.3,1.3,1.4,1.6,1.7
"62","55","      Household utilities","DUTLRX1",274.3,281.8,279,285.1,289.6,290.1,294.9,289.4,293.4,288.9,289.4,295.5,290.9,282.8,287.8
"63","56","        Water supply and sanitation (25)","DWRSRX1",75.9,76.7,77.4,78.2,78.2,76.6,75.9,77.3,76.4,76.3,74.3,73.4,72.4,70.4,69.6
"64","57","        Electricity and gas","DELGRX1",198.5,205.2,201.8,207.1,211.5,213.6,219,212.3,217,212.8,215.1,222.2,218.5,212.5,218.7
"65","58","          Electricity (27)","DELCRX1",142.6,147.5,144.8,151.5,154,157,164.2,160.3,162.6,160.2,157,166.5,163.7,160.4,162.2
"66","59","          Natural gas (28)","DGHERX1",55.2,57,56.3,55,56.9,56.2,55.3,52.8,54.9,53.3,58.1,55.7,54.8,51.9,56.8
"67","60","    Health care","DHLCRX1",1178.3,1218.8,1279.6,1355.6,1392.5,1442.3,1490.4,1525.2,1563.2,1598.8,1627.4,1649.2,1690.3,1745,1781.1
"68","61","      Outpatient services","DOUTRX1",516.5,540.9,571.5,609.8,638.9,668.3,691.3,708.1,721.3,742.2,744.7,751.4,770,797,817.8
"69","62","        Physician services (44)","DPHYRX1",254.1,270,285.5,308.8,329,347.8,363,375.4,378.5,393,392.8,393.2,402.2,416.4,432.8
"70","63","        Dental services (45)","DDENRX1",91.8,95.4,100,104.4,103.2,105.3,105.3,104.2,105,105,102.1,101.7,101.5,101.4,98.3
"71","64","        Paramedical services (46)","DPMSRX1",173.1,177.8,188.4,198.7,207.7,216,223.4,228.6,237.9,244.2,249.8,256.6,266.4,279.4,287.1
"72","65","      Hospital and nursing home services","DHPNRX1",665,680.3,710,747.2,754,774,799.1,817.1,841.9,856.6,882.6,897.8,920.3,948,963.4
"73","66","        Hospitals (51)","DHSPRX1",539.7,554.9,584.3,619.9,621.8,639.8,661.4,677.5,698.2,711,736.6,748.4,768.5,795.4,810.8
"74","67","        Nursing homes (52)","DNRSRX1",125.3,125.4,125.7,127.5,132.2,134.3,137.8,139.7,143.7,145.6,146.1,149.4,151.8,152.6,152.5
"75","68","    Transportation services","DTRSRX1",317.5,332.8,330.5,320.8,322.9,331.5,334.7,335.5,339,321.3,289.7,287.1,294.1,299.6,307.6
"76","69","      Motor vehicle services","DMVSRX1",240.5,249.3,248.4,238.2,238,242.4,247.6,249.2,251.2,238.6,210.4,210.6,218.5,222.2,227.8
"77","70","        Motor vehicle maintenance and repair (60)","DVMRRX1",169.7,174.8,177.5,175,178.5,180.5,182.4,177.5,177.2,165.4,149.2,149.5,155.5,156.4,157.2
"78","71","        Other motor vehicle services (61)","DOVSRX1",69.8,73.3,70.2,63,59.7,62,65.2,71.6,74,73.2,61.2,61.1,63,65.9,71.1
"79","72","      Public transportation","DPUBRX1",77.4,83.6,82.4,82.7,85,89.2,87.3,86.6,87.9,82.9,79.3,76.6,75.9,77.6,80
"80","73","        Ground transportation (63)","DGRDRX1",31,32.5,34.1,32.9,32.2,33.8,34.4,36,36.5,36.2,34.5,34.1,34.9,35.5,36
"81","74","        Air transportation (64)","DAITRX1",45.3,49.4,46.8,47.9,50.6,53,50.4,48.1,48.8,44.2,42.2,39.8,38.2,39.1,40.7
"82","75","        Water transportation (65)","DWATRX1",1.3,1.6,1.8,1.9,2.1,2.2,2.3,2.3,2.5,2.5,2.5,2.7,2.8,3.1,3.3
"83","76","    Recreation services","DRCARX1",316.8,326,325.4,327.3,338.4,355.8,364.7,377.4,392.1,389,376,381,389.6,396.1,405.7
"84","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRX1",117.7,118.4,117,117.8,120.9,125.5,130.7,136.1,142.4,142,137.9,141.3,147.9,150.8,154.1
"85","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRX1",84.5,88,88.9,86.2,87,90.6,89.1,89.4,93.2,94.5,93.6,95.1,96.3,97,100.1
"86","79","      Gambling (91)","DGAMRX1",80.3,84.2,84.8,88.3,94.7,102.3,106,111.4,113.8,109.8,105,103.8,104.8,106.2,108.4
"87","80","      Other recreational services (81, 94, and part of 92)","DOTRRX1",34.3,35.2,34.5,34.8,35.6,37.1,38.7,40.4,42.7,42.7,39.5,40.7,40.8,42.2,43.1
"88","81","    Food services and accommodations","DFSARX1",511.4,534.7,533.7,541.7,561.6,584.2,605.1,624.7,632.6,626.1,600.3,609.6,625.3,641.1,655.4
"89","82","      Food services","DFSERX1",450.3,470.2,473.9,480.7,496.7,514.9,529.5,544.5,550.4,541.9,517.9,525.2,538,550.2,559.7
"90","83","        Purchased meals and beverages (102)","DPMBRX1",438.7,458.5,462,468.7,484.2,502,515.4,529,534.5,526.3,502.3,510.3,522.2,534.5,544.4
"91","84","        Food furnished to employees (including military) (103)","DFOORX1",11.6,11.7,11.9,12,12.5,12.9,14.1,15.6,16,15.6,15.6,14.9,15.8,15.7,15.4
"92","85","      Accommodations (104)","DACCRX1",61.7,65.1,60.9,62.1,65.9,70.2,76.3,80.6,82.5,84.3,82.4,84.4,87.2,90.9,95.6
"93","86","    Financial services and insurance","DIFSRX1",598.7,659.2,646,641.7,643.1,668.7,704.1,720.1,742.5,737.4,719,733.9,747.2,713.7,728.5
"94","87","      Financial services","DFNLRX1",340.8,385.6,371.8,372.6,371.8,389.9,408.5,425,442.8,445.5,452.2,453.2,457.1,437.3,450.2
"95","88","        Financial services furnished without payment (107)","DIMPRX1",187.5,195.3,188.4,184.9,182.6,194,201.8,199.6,207.4,211.7,229.4,235.5,241.2,226.5,231.1
"96","89","        Financial service charges, fees, and commissions (108)","DOFIRX1",153.1,189.7,182.8,187.3,189.1,195.6,206.5,226.2,236.3,234.6,222.9,217.7,215.8,210.7,219.1
"97","90","      Insurance","DINSRX1",262.6,275.9,277.8,272.1,274.5,281.7,298.8,297.6,301.7,293.1,266.7,280.7,290.1,276.5,278.3
"98","91","        Life insurance (110)","DLIFRX1",79.9,85,80.7,71.2,70.5,80.5,85,88,88.8,88.8,80,85.8,90.2,89.6,87.1
"99","92","        Net household insurance (111)","DFINRX1",6.2,6.2,6.1,5.9,6.1,6.6,6.7,6.5,7.7,8.3,7.3,7.4,8,7.8,7.8
"100","93","        Net health insurance (112)","DHINRX1",122.7,131,136.4,141.8,145.1,138.1,147.3,143.6,140.5,132,119.4,130.2,136,125.9,129.8
"101","94","        Net motor vehicle and other transportation insurance (116)","DTINRX1",53.7,54,54.9,54,53.9,56.9,60.2,59.7,64.8,63.9,60,57.3,56,53.5,53.5
"102","95","    Other services","DOTSRX1",719.7,770.6,804.4,808.7,831.3,850.8,860.5,886.2,904.7,902.2,879.2,884.3,901.2,918.1,928.9
"103","96","      Communication","DCOMRX1",130,148.9,156.8,159.3,163.6,171.9,178.9,191.3,210.6,221.6,217.9,227,243.2,253.8,268.6
"104","97","        Telecommunication services (71)","DTCSRX1",113.7,126.4,133.7,133.4,133.6,138.4,144.8,151.5,153.4,156.1,149.6,153.2,161.1,162.7,169.9
"105","98","        Postal and delivery services (68)","DPSSRX1",14.1,14,13.1,12.2,12,12.2,12.3,13,12.9,13.3,12,11.2,9.8,9.1,8.7
"106","99","        Internet access (72)","DINTRX1",7.7,13.1,14.2,17,20.4,23.2,23.7,28.1,44.2,52.1,56.3,62.6,72.4,82.2,90.3
"107","100","      Education services","DTEDRX1",213.8,221.3,225.4,220.3,218.8,214.3,214.2,216.4,219.5,220.5,219.9,225,225.2,223.3,225
"108","101","        Higher education (97)","DHEDRX1",134.8,140.4,144.3,141.7,142.7,140.7,141.6,143.2,144.5,145.2,146.7,150.4,150.2,149.2,151.1
"109","102","        Nursery, elementary, and secondary schools (98)","DNEHRX1",40.1,39.9,40,39.3,38.2,37.2,36.3,36,36.2,35.8,34.8,34,34.4,33.9,33.3
"110","103","        Commercial and vocational schools (99)","DVEDRX1",38.5,40.6,40.8,39.1,37.8,36.5,36.4,37.2,38.8,39.5,38.4,40.5,40.6,40.2,40.5
"111","104","      Professional and other services (121)","DPRSRX1",161.8,162.7,166,166.3,172.4,172,171.8,172.8,174.9,172.1,161.5,158.2,158,157.2,155.2
"112","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRX1",103.2,108.3,107.7,109.3,112.5,117.3,119.5,120.8,120.4,117.7,109.9,112.5,116.2,118.3,116.8
"113","106","      Social services and religious activities (120)","DSOCRX1",99.7,104,110.1,112.8,116.1,119.6,122.3,125.4,129.6,131.9,133.2,136.4,137.5,139.2,142.5
"114","107","      Household maintenance (parts of 31, 33, and 36)","DHHMRX1",61.7,63.6,60.8,59.1,60.6,63.7,64.1,64.6,66.4,66,60.3,58.5,60.7,62.3,64.4
"115","108","      Net foreign travel","DFORRX1",-33.6,-26.7,-14.2,-12.4,-8.1,-5.5,-8.7,-4.7,-17.1,-27.5,-23.5,-33.3,-38.6,-34.6,-40.6
"116","109","        Foreign travel by U.S. residents (129)","DFTRRX1",90.8,102.1,96.5,92,91.6,104.4,106.4,109.4,107.2,105.5,98.8,101.8,102.7,112,114.8
"117","110","        Less: Expenditures in the United States by nonresidents (130)","DEXFRX1",124.4,128.8,110.7,104.5,99.7,109.9,115,114.1,124.3,133.1,122.3,135.1,141.3,146.6,155.4
"118","111","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1",150.1,162.6,176.1,194.2,206.3,210.3,209.9,236.6,242.9,273.6,276,278.3,275.2,289.3,301.2
"119","112","    Gross output of nonprofit institutions (133) \2\","DNPERX1",777.7,807.3,845.9,896,914.4,938.4,961.7,999.1,1022.2,1055.2,1072.6,1086,1097.1,1131.2,1151.4
"120","113","    Less: Receipts from sales of goods and services by nonprofit institutions (134) \3\","DNPSRX1",638.5,653.5,677,706.7,710.7,731,755.6,764.1,780.9,781.5,796.5,807.7,821.6,842,850.8
"121","114","Residual","A965RX1",-177.1,-138.5,-123.6,-96.2,-73.3,-47.4,-29.9,-18.7,-5,-5.7,-0.1,-4.2,-17.5,-34.8,-52.1
"122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","government, and the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","3. Excludes unrelated sales, secondary sales, and sales to business, government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","and the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Note.  Chained (2009) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","index and the 2009 current-dollar value of the corresponding series, divided by 100. Because the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","formula for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","chained-dollar estimates are usually not additive. The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
