"","Table 5#5#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"31","22","    Aircraft","C281RW2",-1.71,-0.72,-1.71,0.78,1.22,-0.82,-0.27,-0.2,0.66,0.39,1.11,0.07,-0.44,-0.55,-0.02,-0.31,0.12,0.49,0.17,0.16,-0.67,0.79,0.15,-0.07,-0.17,-1.07,0.77,-0.15,0.42,0.9,1.45,0.16,0.17,-1.39,-1.24,0.32,-0.28,-0.26,0.71,-0.02,-1.45,0.68,0.81,0.38,-0.04
"32","23","    Ships and boats","C282RW2",0.1,-0.03,-0.1,0.28,0.6,-0.32,0.43,-0.11,0.05,-0.07,0.19,-0.03,0.28,-0.7,-0.53,-0.12,-0.16,0.04,0.1,-0.08,-0.05,0,0,-0.12,0.24,-0.09,-0.02,0.09,0.06,0.02,0.01,0.06,-0.05,0.07,0.04,0.07,-0.03,-0.06,0.15,0.09,-0.23,0,-0.06,0.05,0.09
"33","24","    Railroad equipment","C283RW2",0.71,-0.64,0.11,-0.23,0.23,0.32,-0.22,-0.6,0.22,0.47,0.75,-0.35,-1.07,-0.58,-0.31,0.29,-0.09,-0.07,-0.12,0.24,0.26,0,-0.08,-0.05,0.11,0.25,0.07,-0.01,0.1,0.14,0.12,-0.05,-0.22,-0.1,-0.07,0.03,0.18,0.12,0.03,0.03,-0.35,0.02,0.5,0.24,-0.4
"34","25","  Other equipment","A682RW2",1.63,0.94,-0.18,3.08,4.39,0,-1.99,0.42,3.02,2.89,1.19,-2.59,0.59,-3.91,-0.98,2.78,0.16,-0.33,0.62,0.8,2.27,-0.79,-3.22,-0.11,2.26,1.43,1.05,0.73,1.71,1.9,0.45,1,-0.22,-0.13,1.44,1.79,2.25,1.12,-0.19,-0.94,-5,2.23,2.01,0.96,1.36
"35","26","    Furniture and fixtures","A667RW2",0.4,-0.12,-0.27,0.96,0.3,-0.43,-0.56,0.29,0.78,0.44,0.3,0.21,0.13,0.23,0.33,0.78,0.22,0.15,0.36,-0.19,0.6,-0.37,-0.67,0.5,0.04,0.11,0.25,0.1,0.67,0.61,0.43,0.37,-0.34,-0.24,0.03,0.16,0.25,0.06,-0.32,-0.31,-1.3,0.02,0.42,0.02,0.15
"36","27","    Agricultural machinery","C268RW2",0.03,0.65,-0.39,0.96,1.76,-0.42,0.45,-0.35,-0.06,0.31,0.47,-1.27,-0.17,-1.64,-0.6,0.18,-0.62,-0.24,0.07,0.71,0.5,0.3,-0.7,-0.45,0.37,0.29,0.04,-0.03,0.36,0.1,-0.71,0.18,0.11,0.31,0.21,0.27,0.15,-0.2,-0.01,0.31,0.06,-0.29,0.41,-0.72,0.1
"37","28","    Construction machinery","C269RW2",0.37,-0.18,-0.06,0.87,0.91,0.32,-1.08,-0.26,1.34,1.11,-0.45,-1.2,-0.29,-1.46,0.28,1.07,0.27,-0.15,-0.3,-0.14,0.72,-0.04,-1.3,-0.06,0.66,0.34,0.3,0.35,0.2,0.4,0.02,0.03,-0.35,-0.23,0.14,0.48,0.8,0.5,-0.23,-0.27,-1.84,1.71,0.05,1.84,1.13
"38","29","    Mining and oilfield machinery","C270RW2",0.05,0.34,0.17,-0.3,0.25,0.4,0.37,0.02,0.14,-0.15,-0.07,-0.04,0.97,-1.03,-0.93,-0.15,-0.13,-0.36,-0.02,0.07,0.07,-0.05,-0.1,-0.05,0.31,-0.02,0,0.02,0.14,0,0.25,-0.01,0.09,-0.31,0.14,0.12,0.28,0.47,0.47,-0.05,-0.41,0.32,0.58,0.15,-0.23
"39","30","    Service industry machinery","C570RW2",0.43,0,0.08,0.04,0.27,-0.13,-0.52,0.29,0.22,0.36,0.28,-0.05,-0.02,0,0.04,0.51,0.19,0.01,0.25,0.05,0.18,-0.42,-0.21,-0.11,0.16,0.24,0.13,0.07,-0.05,0.31,0.21,0.08,0.09,-0.09,0.11,0.17,0.22,0.03,0.02,-0.2,-0.23,0.42,0.19,0.13,0.05
"40","31","    Electrical equipment, n.e.c.","A670RW2",0.08,0.07,0,0.14,0.14,0.01,-0.09,0.12,-0.03,0.31,0.16,0.11,0.06,-0.22,0.04,0.08,0.04,0.03,0,0.08,-0.02,-0.1,-0.15,0.01,0,0.04,0.05,-0.02,0.07,0.11,-0.03,0.03,0.04,0.05,0.03,0.14,-0.05,-0.02,-0.11,-0.01,-0.15,0.06,-0.01,-0.01,0.02
"41","32","    Other","C286RW2",0.27,0.19,0.29,0.4,0.77,0.26,-0.57,0.31,0.64,0.51,0.49,-0.36,-0.08,0.21,-0.13,0.31,0.19,0.23,0.27,0.23,0.23,-0.12,-0.1,0.05,0.73,0.44,0.28,0.25,0.31,0.38,0.28,0.32,0.14,0.38,0.76,0.46,0.59,0.27,-0.01,-0.42,-1.12,-0.01,0.38,-0.45,0.14
"42","33","  Less: Sale of equipment scrap, excluding autos","C287RW2",-0.14,0,0.11,0.03,-0.41,-0.3,0.25,-0.22,0.02,-0.43,-0.72,0.26,0.02,0.82,0.2,-0.08,0.03,-0.02,-0.09,0.15,0.02,-0.03,0.11,0.01,-0.48,0.08,-0.05,-0.04,0.03,0,0.06,0.03,0.08,-0.02,0.01,-0.16,-0.06,-0.16,-0.09,-0.15,0.27,-0.06,0.56,-0.02,-0.05
"43","34","Residential equipment","B013RW2",0.2,0.13,0.2,0.36,0.24,0.03,-0.12,0.09,0.16,0.14,0.14,0,0,-0.06,0.18,0.18,0.12,0.13,0.07,0.06,0.01,-0.05,-0.06,0.05,0.03,0.01,0.02,-0.01,-0.01,0.07,0.11,0.07,0.02,0.03,0.07,0.14,0.05,0.02,-0.03,-0.06,-0.11,0.08,0.05,0.01,0.07
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1. For 1929-45, includes electrical transmission, distribution, and industrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","apparatus (line 16) and electrical equipment, n.e.c. (line 31).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2. Includes net purchases of used vehicles.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
