"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","      Gross investment \2\","A782RA3",6.065,6.193,7.057,7.531,8.501,9.126,9.427,10.019,10.912,12.199,13.25,12.984,12.017,12.517,12.945,13.029,15.138,18.142,20.795,23.467,23.58,23.614,23.857,24.392,25.789,26.594,26.514,25.748,26.397,25.645,24.301,23.831,23.89,24.337,23.284,22.935,23.527,23.996,24.65,25.257,25.93,25.628,26.203,26.439,27.199,27.623,28.157,29.255,30.763,30.787,30.788,29.818,30.024,30.086,31.367,31.389,33.711,32.672,33.789,35.072,35.336,35.122,35.966,36.047,35.967,36.084,37.973,37.256,37.713,38.189,38.194,38.262,37.785,38.101,39.594,39.881,41.752,41.182,42.8,44.083,45.326,44.124,44.798,44.733,44.268,44.787,44.607,43.83,44.668,42.491
"12","4","        Structures","A760RA3",11.171,12.204,13.641,15.279,15.859,17.653,19.01,19.582,21.191,23.882,27.083,27.578,27.19,28.685,28.792,29.202,30.538,34.174,35.302,36.038,37.918,38.126,38.263,39.407,40.573,39.802,39.868,41.664,44.111,42.738,43.537,42.794,43.702,43.98,42.231,41.78,42.695,43.66,44.246,44.273,46.338,45.823,46.177,47.256,50.454,50.356,52.399,54.818,55.128,54.739,52.715,49.345,50.161,52.022,54.118,54.915,58.856,54.692,55.702,59.563,57.663,57.958,57.62,58.82,59.844,60.037,63.763,61.013,62.29,64.233,64.42,64.268,63.675,66.203,69.534,70.519,71.395,70.386,70.215,72.574,74.352,72.565,71.149,72.644,73.27,75.408,75.59,75.086,73.58,72.944
"13","5","        Equipment","Y054RA3",2.984,2.533,3.948,3.974,5.569,5.889,5.506,6.596,7.743,9.185,9.492,8.283,5.954,6.021,7.045,7.103,11.477,16.732,23.115,29.591,28.132,27.873,28.235,28.696,31.582,34.29,33.67,29.846,29.47,28.294,23.872,22.939,22.302,22.699,20.945,19.641,19.553,19.267,19.849,20.859,20.467,19.456,20.369,19.976,19.604,20.584,20.37,21.201,24.536,24.608,25.776,25.254,24.832,23.054,24.405,23.424,26.14,25.629,27.413,27.605,29.087,27.808,29.426,27.843,25.591,24.725,25.746,25.32,24.888,24.276,23.784,23.62,22.549,20.89,21.677,20.848,24.013,22.257,25.972,27.237,28.848,26.955,29.57,27.928,26.185,25.74,24.899,22.981,26.227,20.85
"14","6","        Intellectual property products","Y055RA3",4.35,4.365,4.454,4.565,4.712,4.911,4.999,5.102,5.175,5.246,5.349,5.445,5.57,5.645,5.682,5.728,5.702,5.759,5.874,6.024,6.2,6.368,6.561,6.723,6.898,7.076,7.301,7.553,7.843,8.073,8.285,8.499,8.691,9.107,9.634,10.351,11.188,12.002,12.787,13.425,13.991,14.516,14.889,15.172,15.348,15.481,15.721,15.998,16.333,16.622,16.929,17.187,17.641,18.297,18.763,19.192,19.728,20.392,20.961,21.405,21.83,22.467,23.323,24.388,25.683,26.83,28.068,28.535,29.143,29.621,30.014,30.397,30.744,31.445,32.216,33.14,34.23,35.102,35.817,36.296,36.547,36.774,36.985,37.297,37.548,37.803,38.011,38.145,38.239,38.114
"15","7","          Software","Y056RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031,0.032,0.035,0.038,0.172,0.32,0.392,0.457,0.317,0.31,0.313,0.349,0.378,0.405,0.42,0.444,0.475,0.511,1.233,0.602,0.808,0.812,0.848,0.889,0.741,1.061,1.151,1.213,1.296,1.43,1.646,1.779,1.827,1.816,1.864,1.903,1.941,2.07,2.229,2.346,2.566,2.811
"16","8","          Research and development","Y057RA3",5.989,6.009,6.131,6.285,6.487,6.761,6.882,7.024,7.124,7.222,7.364,7.496,7.668,7.771,7.822,7.885,7.849,7.928,8.087,8.293,8.535,8.767,9.032,9.255,9.496,9.742,10.051,10.397,10.797,11.114,11.406,11.7,11.965,12.537,13.262,14.249,15.402,16.523,17.603,18.481,19.261,19.983,20.497,20.887,21.129,21.313,21.642,22.022,22.482,22.879,23.305,23.667,24.293,25.162,25.791,26.365,27.145,28.064,28.847,29.442,30.017,30.886,32.063,33.525,35.302,36.871,38.214,39.183,39.919,40.579,41.104,41.613,42.171,42.974,43.995,45.241,46.706,47.843,48.718,49.309,49.632,49.952,50.218,50.628,50.956,51.24,51.441,51.562,51.573,51.268
"17","9","Federal","B823RA3",19.58,19.701,19.653,19.251,19.667,20.398,20.839,21.764,22.195,22.997,22.745,21.693,20.775,21.252,20.635,23.235,27.556,33.069,38.424,41.36,43.045,44.719,45.815,46.463,48.097,49.492,48.293,47.651,45.304,43.016,41.138,40.663,39.885,39.052,39.45,38.138,37.9,38.819,38.201,39.479,40.273,39.751,39.946,40.433,39.227,40.461,40.327,41.212,40.369,41.114,41.656,41.243,39.688,39.765,40.985,41.134,41.267,41.616,42.849,43.636,45.269,45.425,46.785,47.004,45.406,45.199,47.762,46.534,46.301,46.278,46.019,45.635,45.244,45.329,47.007,48.062,49.208,50.558,52.529,53.121,56.544,55.934,56.864,56.905,57.895,57.588,57.27,56.991,56.832,56.115
"18","10","    Consumption expenditures","B957RA3",28.141,28.202,27.39,26.449,26.251,27.198,27.879,28.97,28.999,29.667,28.636,27.352,27.022,27.441,26.118,30.225,34.7,40.591,46.206,47.71,50.573,53.106,54.407,55.188,56.436,57.783,56.282,56.831,53.143,50.316,49.2,48.921,48.202,46.683,48.15,46.424,45.79,46.804,44.98,46.375,47.654,47.109,46.804,47.773,45.555,47.057,46.7,47.372,44.672,45.734,46.303,46.093,43.682,44.112,45.141,45.407,43.991,44.838,46.068,46.952,48.875,49.277,50.837,51.243,49.413,48.945,51.741,50.746,50.032,50.139,49.804,49.067,48.949,49.381,51.386,52.942,53.115,55.626,57.21,57.722,62.459,62.526,62.782,63.354,65.517,65.275,65.074,65.209,63.974,64.728
"19","11","    Gross investment","B787RA3",4.6,4.827,6.034,6.512,7.856,8.194,8.229,8.82,9.828,10.776,11.778,11.169,9.372,9.91,10.466,10.527,14.242,18.706,23.175,27.93,27.697,27.932,28.61,28.997,31.06,32.403,31.774,29.369,29.297,28.037,25.127,24.384,23.572,23.897,22.546,22.002,22.417,23.12,24.44,25.428,25.396,24.952,25.907,25.601,26.092,26.802,27.034,28.191,30.375,30.549,31.004,30.303,30.235,29.746,31.174,31.118,33.734,33.249,34.387,34.96,36.004,35.754,36.687,36.588,35.488,35.721,37.709,36.18,36.774,36.529,36.419,36.672,35.84,35.318,36.312,36.399,39.233,38.396,40.943,41.642,42.471,40.66,42.777,41.836,40.583,40.17,39.648,38.592,40.481,37.02
"20","12","      Structures","B801RA3",6.014,19.594,30.984,42.361,46.287,48.137,51.314,47.476,52.539,56.266,76.464,79.49,68.853,78.263,74.825,76.56,100.19,127.983,141.136,155.124,168.194,175.347,183.762,184.685,191.588,182.229,171.352,165.724,167.946,151.991,145.825,138.776,124.717,118.104,107.695,102.208,101.657,112.149,125.655,125.53,124.834,122.135,127.155,123.135,138.188,137.795,145.13,156.592,153.18,152.785,141.935,127.594,129.218,136.37,143.58,151.085,164.81,150.104,144.275,148.833,145.3,151.919,137.156,145.639,136.527,141.447,156.967,118.224,131.617,129.263,130.088,133.932,125.655,130.066,132.895,136.148,140.639,134.734,130.885,124.513,113.929,100.264,107.875,105.152,102.295,97.342,96.692,99.091,94.007,94.989
"21","13","      Equipment","Y058RA3",3.391,2.841,4.206,4.124,6.224,6.492,6.204,7.523,8.975,10.419,10.686,9.211,6.468,6.72,7.968,7.912,13.151,19.441,26.814,34.645,33.003,32.715,33.142,33.627,36.848,39.983,39.372,34.864,34.216,32.773,27.441,26.322,25.612,26.24,23.846,22.405,22.283,21.932,22.538,23.693,23.073,21.888,22.889,22.325,21.946,23.153,22.785,23.791,27.741,27.786,29.085,28.55,27.831,25.722,27.355,26.259,29.543,28.982,30.889,31.157,32.887,31.27,33.136,31.231,28.505,27.383,28.622,28.11,27.613,26.84,26.17,25.963,24.686,22.672,23.503,22.468,26.23,24.226,28.506,29.822,31.933,29.424,32.532,30.706,28.367,27.751,26.634,24.362,28.21,21.882
"22","14","      Intellectual property products","Y059RA3",5.158,5.177,5.287,5.424,5.603,5.845,5.95,6.072,6.155,6.237,6.357,6.469,6.617,6.705,6.746,6.798,6.764,6.831,6.969,7.149,7.36,7.562,7.792,7.985,8.193,8.404,8.67,8.966,9.309,9.58,9.83,10.085,10.315,10.82,11.462,12.337,13.361,14.356,15.312,16.087,16.772,17.406,17.854,18.192,18.397,18.553,18.839,19.172,19.578,19.924,20.293,20.599,21.136,21.913,22.467,22.975,23.622,24.424,25.106,25.631,26.138,26.904,27.931,29.209,30.766,32.139,33.62,34.165,34.889,35.456,35.923,36.376,36.77,37.595,38.499,39.59,40.888,41.912,42.744,43.278,43.547,43.795,44.035,44.39,44.677,44.96,45.188,45.323,45.398,45.199
"23","15","        Software","Y060RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.299,0.449,0.515,0.584,0.36,0.358,0.357,0.396,0.439,0.48,0.482,0.48,0.48,0.48,1.554,0.517,0.823,0.82,0.889,0.965,0.695,1.152,1.229,1.261,1.338,1.482,1.775,1.921,1.987,1.976,2.086,2.136,2.191,2.36,2.587,2.741,3.021,3.331
"24","16","        Research and development","Y061RA3",6.525,6.549,6.688,6.861,7.088,7.394,7.527,7.681,7.786,7.89,8.043,8.184,8.371,8.482,8.534,8.6,8.556,8.642,8.816,9.043,9.311,9.566,9.858,10.101,10.365,10.631,10.967,11.343,11.776,12.119,12.436,12.758,13.05,13.688,14.5,15.607,16.903,18.161,19.37,20.35,21.217,22.019,22.586,23.014,23.275,23.471,23.832,24.252,24.763,25.201,25.671,26.067,26.758,27.723,28.417,29.048,29.911,30.93,31.795,32.447,33.078,34.038,35.344,36.97,38.949,40.695,42.187,43.258,44.067,44.789,45.358,45.906,46.508,47.386,48.508,49.883,51.505,52.752,53.7,54.324,54.641,54.96,55.223,55.655,56,56.295,56.498,56.611,56.599,56.227
"25","17","  National defense","B824RA3",25.596,24.243,25.182,25.777,25.396,24.755,24.534,25.458,26.095,26.538,26.494,24.957,24.083,24.303,25.769,29.508,36.947,45.13,53.774,58.28,60.094,63.2,64.57,65.602,67.452,67.967,67.225,66.031,61.978,59.478,56.8,54.964,54.848,53.027,53.585,51.991,51.811,53.093,52.945,54.535,55.049,55.486,55.99,55.344,54.909,55.518,55.519,55.936,54.161,53.438,54.293,53.852,53.098,52.715,54.368,53.809,55.232,55.005,56.679,57.719,59.824,59.21,60.216,60.26,58.073,57.715,60.035,58.415,57.533,56.826,56.709,55.899,54.924,54.687,56.357,57.954,59.968,61.274,64.952,66.618,70.384,70.507,72.135,71.489,73.075,73.018,71.792,71.178,70.619,69.276
"26","18","    Consumption expenditures","B997RA3",35.832,33.91,34.23,34.877,33.509,32.196,32.053,32.909,33.058,32.976,32.766,31.077,31.221,31.6,33.103,38.261,46.326,54.699,63.325,65.604,68.922,73.276,74.577,75.693,76.288,75.564,75.084,75.712,69.27,66.597,65.263,62.965,63.443,60.471,62.264,60.456,60.037,61.686,60.485,61.93,62.845,64.229,64.217,63.511,62.817,63.196,62.883,62.465,57.63,56.423,57.209,57.416,56.562,57.047,58.402,57.927,57.834,57.869,59.464,60.898,63.382,63.152,64.214,65.131,63.365,63.212,65.522,64.908,63.524,63.059,63.215,62.278,61.779,62.402,64.376,67.24,68.413,71.323,74.467,76.06,80.411,81.554,82.364,82.456,85.886,86.249,84.769,84.771,82.217,83.022
"27","19","    Gross investment","B788RA3",6,5.742,7.723,8.19,9.492,10.045,9.721,10.668,12.052,13.336,13.579,12.439,9.914,9.856,11.145,12.189,17.846,24.84,32.508,39.908,39.149,39.931,41.221,41.994,45.602,48.018,46.954,42.992,43.251,41.299,36.732,35.841,34.761,35.049,33.471,32.408,32.653,33.199,34.799,36.45,36.25,35.085,36.376,35.9,35.939,36.868,37.388,39.156,42.662,42.808,43.677,42.206,41.703,39.918,41.89,41.244,45.065,44.413,46.038,46.311,47.566,46.371,47.178,45.752,43.078,42.397,44.488,41.285,41.371,40.299,39.708,39.204,37.469,35.697,36.655,35.741,39.165,37.337,41.715,43.387,45.743,43.918,46.997,44.974,42.845,41.97,41.329,39.521,42.947,37.468
"28","20","      Structures","B808RA3",2.659,9.584,23.411,35.246,37.802,36.161,37.896,31.764,37.546,31.855,32.932,39.499,34.51,35.298,43.276,69.854,113.77,165.331,196.132,221.256,242.743,270.159,292.413,294.911,305.373,288.41,268.974,255.91,267.792,233.992,222.775,219.886,199.401,191.19,173.557,162.151,156.087,164.736,177.365,179.049,177.338,169.464,175.463,170.363,181.822,180.42,194.937,215.207,206.93,199.959,183.324,156.104,154.441,156.583,170.996,177.541,197.702,180.697,160.981,162.64,158.148,160.453,128.984,132.962,123.406,125.809,154.931,70.99,95.024,86.29,91.685,91.242,75.987,78.53,85.29,83.984,86.755,83.626,88.861,81.345,83.643,72.132,81.001,76.268,74.605,68.498,78.558,83.879,80.578,84.804
"29","21","      Equipment","Y050RA3",3.7,2.881,5.531,5.64,7.65,8.463,7.741,9.623,11.627,14.097,14.522,12.352,8.463,8.421,10.24,10.617,17.837,26.826,38.007,49.02,46.225,45.738,46.348,47.193,52.292,57.013,55.773,49.153,48.467,46.541,38.972,37.327,36.318,36.705,34.183,31.921,31.416,30.805,31.833,33.603,32.649,30.664,32.234,31.603,31.157,32.721,32.486,33.815,39.464,39.568,41.62,40.532,39.758,36.611,38.851,37.026,41.684,40.662,43.916,44.191,46.56,44.413,47.213,44.468,40.225,38.701,40.294,39.437,38.412,37.241,36.307,35.844,34.089,31.116,32.407,30.894,36.225,32.893,39.21,41.406,44.08,40.931,45.391,42.484,39.642,38.872,37.307,33.837,39.309,29.861
"30","22","      Intellectual property products","Y052RA3",9.8,9.777,9.885,9.99,10.13,10.464,10.568,10.669,10.745,10.787,10.69,10.515,10.296,10.137,10.07,10.183,10.286,10.568,10.997,11.487,12.02,12.564,13.175,13.708,14.529,15.15,15.854,16.535,17.252,17.852,18.357,18.793,19.158,19.967,21.126,22.758,24.709,26.465,28.09,29.568,30.726,31.47,31.911,32.079,31.955,32.052,32.619,33.554,34.608,35.439,35.844,35.875,35.906,36.004,36.536,37.209,38.366,39.661,40.363,40.52,40.426,40.485,40.697,40.989,41.485,41.941,42.599,42.221,42.166,41.898,41.366,40.789,40.209,40.034,39.954,40.063,40.411,41.166,42.303,43.945,45.806,47.032,47.315,47.011,46.005,45.429,45.315,45.563,46.26,46.369
"31","23","        Software","Y053RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.361,0.482,0.59,0.589,0.352,0.351,0.352,0.351,0.469,0.586,0.586,0.465,0.465,0.464,1.964,0.576,1.021,1.017,0.894,1.115,0.669,1.328,1.438,1.431,1.652,1.858,2.059,2.368,2.235,2.211,2.308,2.381,2.464,2.553,2.832,2.91,3.115,3.311
"32","24","        Research and development","Y076RA3",11.662,11.636,11.764,11.889,12.056,12.453,12.577,12.697,12.788,12.837,12.722,12.514,12.253,12.063,11.984,12.119,12.241,12.577,13.087,13.671,14.305,14.953,15.679,16.314,17.291,18.029,18.868,19.678,20.532,21.245,21.846,22.365,22.799,23.762,25.142,27.083,29.405,31.495,33.43,35.189,36.566,37.451,37.977,38.178,38.03,38.145,38.819,39.929,41.181,42.17,42.658,42.704,42.754,42.852,43.465,44.27,45.706,47.25,48.086,48.273,48.133,48.175,48.428,48.807,49.398,49.943,50.353,50.25,50.071,49.753,49.15,48.404,47.828,47.448,47.324,47.456,47.814,48.66,49.966,51.845,54.102,55.572,55.883,55.501,54.277,53.565,53.353,53.628,54.404,54.481
"33","25","  Nondefense","B825RA3",9.267,12.403,10.552,8.448,10.204,13.464,15.165,16.152,16.223,17.722,17.094,16.885,15.867,16.831,12.317,12.913,11.697,12.687,12.415,12.682,14.155,13.377,14,13.995,15.268,18.115,16.182,16.458,16.973,15.071,14.548,16.369,14.486,15.31,15.44,14.608,14.272,14.582,13.113,13.874,15.192,12.935,12.594,15.109,12.525,14.88,14.495,16.208,16.953,20.217,20.232,19.867,16.898,17.786,18.274,19.638,17.561,18.889,19.37,19.729,20.559,22.013,23.969,24.481,23.881,23.927,26.888,26.324,27.191,28.315,27.821,28.151,28.735,29.361,31.046,31.184,30.866,32.286,31.365,30.134,32.962,31.112,30.851,32.068,32.041,31.307,32.532,32.822,33.341,33.684
"34","26","    Consumption expenditures","B542RA3",14.285,18.928,15.695,11.682,13.642,19.301,21.779,23.487,23.265,25.542,22.753,22.194,20.903,21.398,14.086,16.432,13.831,15.255,15.329,15.428,17.515,16.679,18.004,18.169,20.655,25.806,22.431,22.837,24.15,21.012,20.286,23.737,20.801,21.928,22.831,21.214,20.157,19.998,16.862,18.232,20.294,15.896,15.015,19.344,14.075,17.803,17.326,20.094,21.314,26.627,26.811,25.812,20.368,20.732,21.182,22.846,18.933,21.286,21.85,21.729,22.638,24.197,26.683,26.158,24.211,23.157,26.842,25.142,25.649,26.792,25.578,25.203,25.765,25.859,27.91,27.105,25.486,27.275,26.06,24.633,30.033,28.175,27.431,28.882,28.755,27.428,29.519,29.888,31.009,31.669
"35","27","    Gross investment","B798RA3",2.392,3.467,3.477,3.974,5.407,5.399,6.004,6.027,6.447,6.875,9.136,9.4,8.748,10.295,9.645,8.055,8.606,8.958,8.227,8.698,9.331,8.656,8.337,8.098,7.684,7.309,7.381,7.471,6.867,6.721,6.485,5.97,5.584,5.983,4.966,5.276,5.999,7.006,7.911,7.808,8.064,8.838,9.266,9.239,10.531,10.902,10.652,10.817,10.842,11.071,10.84,11.43,12.106,13.803,14.368,15.314,15.998,15.776,16.14,17.255,17.991,19.33,20.516,22.677,24.201,25.995,27.892,29.131,30.608,31.743,32.435,33.97,34.614,36.169,37.266,39.039,41.001,41.79,41.37,40.468,38.779,36.917,37.516,38.345,38.5,38.838,38.49,38.636,38.045,37.809
"36","28","      Structures","B830RA3",9.951,31.87,42.275,54.598,60.226,65.783,70.779,68.781,73.848,87.11,128.966,128.758,111.261,130.29,115.238,92.307,97.404,103.123,98.937,102.608,108.257,94.891,89.838,89.289,93.27,90.861,87.707,89.1,81.774,82.399,80.77,68.932,60.108,54.507,50.531,50.608,55.646,69.022,84.756,82.732,82.96,85.277,89.779,86.548,106.709,107.389,108.014,111.42,112.718,119.166,113.26,110.92,116.145,129.228,129.661,138.997,147.472,133.688,141.478,149.524,146.602,158.243,159.292,173.293,163.701,171.664,174.665,178.295,182.241,186.188,182.444,191.055,188.956,195.715,194.92,203.076,209.83,200.518,186.965,181.086,156.405,139.113,146.282,145.345,140.982,136.694,125.036,124.611,117.106,114.636
"37","29","      Equipment","Y066RA3",2.517,2.558,1.367,0.927,3.071,2.149,2.764,2.828,3.069,2.333,2.259,2.301,2.07,2.934,2.922,1.936,2.807,3.16,2.204,3.005,3.931,4.049,4.047,3.726,2.881,2.541,3.314,3.437,2.877,2.49,2.079,2.133,2.084,3.315,1.049,1.454,2.285,2.538,2.132,1.868,2.018,2.742,2.428,1.934,1.661,2.133,1.369,1.707,1.899,1.815,1.473,2.128,1.571,1.727,2.006,2.455,2.71,3.135,2.163,2.395,2.696,2.284,2.123,2.058,2.588,2.37,2.782,2.992,3.531,3.596,3.517,3.804,3.604,3.672,3.517,3.531,3.814,4.614,4.453,3.918,4.68,3.73,3.872,4.323,3.27,3.035,2.911,3.176,3.438,3.844
