"","Table 6#22B# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"23","16","    Primary metal industries","B1736C0",388,420,463,556,734,1052,1225,1352,1397,1471,1385,1365,1446,1472,1808,1848,1982,2098,2260,2497,2667,2716
"24","17","    Fabricated metal products","B1737C0",164,176,191,228,261,300,334,383,399,454,499,525,580,621,743,763,798,864,905,1010,1140,1235
"25","18","    Machinery, except electrical","B1738C0",297,339,376,439,514,588,684,788,868,953,987,1096,1143,1226,1398,1381,1552,1681,1770,2071,2246,2507
"26","19","    Electric and electronic equipment","B1739C0",218,237,264,304,353,420,484,567,655,759,868,949,1075,1232,1418,1597,1758,1953,2204,2522,2844,3269
"27","20","    Motor vehicles and equipment","B1740C0",279,314,355,394,460,580,694,805,935,1093,1142,1216,1494,1515,1793,2049,2238,2621,3093,3334,3568,3629
"28","21","    Other transportation equipment","B1741C0",101,114,113,141,175,208,231,254,292,355,423,484,547,586,668,747,819,892,993,1280,1555,1672
"29","22","    Instruments and related products","B1742C0",33,38,43,63,75,83,94,112,138,151,168,182,197,242,273,330,292,332,382,450,532,587
"30","23","    Miscellaneous manufacturing industries","B1743C0",73,80,77,87,94,105,117,139,152,165,182,187,184,194,209,197,211,228,233,254,303,349
"31","24","  Nondurable goods","A1744C0",2069,2342,2531,2865,3170,3589,4192,4850,5239,5755,6298,6701,6982,7506,8581,9246,9803,10524,11235,11963,12915,14066
"32","25","    Food and kindred products","B1745C0",383,444,478,535,567,585,648,735,762,830,999,1064,1101,1166,1348,1386,1485,1574,1782,1750,1884,2104
"33","26","    Tobacco manufactures","B1746C0",14,17,20,21,21,26,30,35,41,45,51,58,62,65,74,82,82,83,90,94,97,147
"34","27","    Textile mill products","B1747C0",157,176,196,214,229,249,267,300,317,338,332,333,341,379,415,435,463,481,516,565,589,652
"35","28","    Apparel and other textile products","B1748C0",41,48,48,55,58,63,69,77,79,80,90,97,96,103,127,125,140,152,179,197,218,233
"36","29","    Paper and allied products","B1749C0",125,143,159,185,211,243,286,352,387,438,486,498,524,571,686,701,761,778,821,895,964,1030
"37","30","    Printing and publishing","B1750C0",202,224,244,266,281,301,319,355,383,418,459,497,552,588,676,737,812,867,939,1025,1129,1281
"38","31","    Chemicals and allied products","B1751C0",358,420,474,552,676,823,979,1148,1249,1370,1507,1698,1768,1953,2310,2484,2609,2838,2972,3155,3440,3731
"39","32","    Petroleum and coal products","B1752C0",688,768,807,906,982,1137,1410,1630,1779,1962,2066,2141,2205,2321,2532,2847,2992,3264,3405,3697,3981,4142
"40","33","    Rubber and miscellaneous plastics products","B1753C0",79,77,82,105,117,135,157,188,207,236,268,275,288,318,369,390,404,429,466,514,544,663
"41","34","    Leather and leather products","B1754C0",22,25,23,26,28,27,27,30,35,38,40,40,45,42,44,59,55,58,65,71,69,83
"42","35","Transportation and public utilities","A1755C0",2219,2331,2569,3049,3345,3822,4150,4783,5139,5529,5776,6314,6656,7004,7938,8504,9069,9799,10771,11669,12754,13831
"43","36","  Transportation","A1756C0",1349,1400,1463,1783,1965,2231,2207,2460,2517,2603,2568,2663,2693,2740,3207,3278,3478,3741,4207,4595,5003,5339
"44","37","    Railroad transportation","B1757C0",901,898,932,1159,1305,1473,1396,1527,1491,1469,1361,1305,1225,1161,1418,1425,1538,1644,1844,1848,1895,2022
"45","38","    Local and interurban passenger transit","B1758C0",121,136,125,133,135,138,121,141,150,146,141,133,129,147,163,154,169,178,213,245,254,230
"46","39","    Trucking and warehousing","B1759C0",112,133,152,198,212,233,262,325,379,407,410,500,524,519,601,612,635,705,777,823,861,1008
"47","40","    Water transportation","B1760C0",77,91,92,105,112,121,123,136,138,145,183,204,212,201,231,251,266,279,274,309,356,317
"48","41","    Transportation by air","B1761C0",85,85,89,95,103,144,173,179,197,261,301,344,421,507,567,567,553,607,754,968,1233,1334
"49","42","    Pipelines, except natural gas","B1762C0",31,33,49,56,60,69,74,80,84,79,87,91,96,102,104,133,173,169,174,185,192,219
"50","43","    Transportation services","B1763C0",22,24,24,37,38,53,58,72,78,96,85,86,86,103,123,136,144,159,171,217,212,209
"51","44","  Communication","A1764C0",343,367,443,489,529,603,698,809,902,1043,1172,1346,1505,1680,1870,2327,2590,2853,3147,3437,3795,4116
"52","45","    Telephone and telegraph","B1765C0",331,346,414,449,472,518,571,627,672,740,813,925,1008,1110,1227,1615,1809,2017,2217,2392,2651,2877
"53","46","    Radio and television","B1766C0",12,21,29,40,57,85,127,182,230,303,359,421,497,570,643,712,781,836,930,1045,1144,1239
"54","47","  Electric, gas, and sanitary services","B1767C0",527,564,663,777,851,988,1245,1514,1720,1883,2036,2305,2458,2584,2861,2899,3001,3205,3417,3637,3956,4376
"55","48","Wholesale trade","B1768C0",254,322,378,441,465,488,539,670,739,797,769,792,850,846,944,979,1017,1120,1253,1328,1616,1857
"56","49","Retail trade","B1769C0",496,578,651,715,760,808,868,1013,1106,1233,1252,1367,1486,1573,1745,1824,1962,2124,2282,2569,2637,3049
"57","50","Finance, insurance, and real estate","A1770C0",523,638,680,794,858,969,1106,1269,1404,1615,1771,1952,2197,2370,2629,2777,3150,3367,3581,3810,4166,4712
"58","51","  Banking","A1771C0",73,83,91,101,112,125,144,174,193,222,248,327,361,397,428,463,574,632,691,819,1058,1258
"59","52","    Federal Reserve banks","B1772C0",1,1,1,2,3,3,3,3,3,4,4,5,6,6,6,6,6,6,5,5,6,5
"60","53","    Commercial and mutual banks","B1773C0",72,82,90,99,109,122,141,171,190,218,244,322,355,391,422,457,568,626,686,814,1052,1253
"61","54","  Credit agencies other than banks","B1774C0",16,17,20,25,27,34,41,49,55,70,88,25,27,30,33,35,44,48,53,63,81,97
"62","55","  Security and commodity brokers","B1775C0",2,3,3,3,3,3,4,4,6,5,6,7,8,9,16,11,14,17,18,20,33,47
"63","56","  Insurance carriers","B1776C0",29,36,45,64,75,90,101,114,129,138,148,166,200,203,240,264,290,298,339,356,395,518
"64","57","  Insurance agents, brokers, and service","B1777C0",4,5,6,7,7,10,12,14,17,18,21,23,26,33,34,37,38,40,42,45,59,67
"65","58","  Real estate","B1778C0",385,442,495,578,615,687,782,880,963,1105,1206,1335,1494,1593,1751,1863,2072,2199,2321,2338,2406,2613
"66","59","  Holding and other investment offices","B1779C0",14,52,20,16,19,20,22,34,41,57,54,69,81,105,127,104,118,133,117,169,134,112
"67","60","Services","A1780C0",665,761,813,888,931,1011,1096,1216,1394,1538,1601,1826,2015,2130,2420,2986,3210,3452,3957,4170,4380,5124
"68","61","  Hotels and other lodging places","B1781C0",82,91,98,108,110,117,132,151,168,198,197,226,246,267,298,317,340,375,398,427,438,485
"69","62","  Personal services","B1782C0",47,55,60,67,70,76,75,88,99,108,124,139,149,172,183,201,206,209,235,263,285,293
"70","63","  Business services","B1783C0",56,68,82,100,114,130,146,177,233,284,318,360,395,449,530,612,613,724,780,854,1008,1320
"71","64","  Auto repair, services, and parking","B1784C0",25,32,40,55,66,93,114,139,203,244,258,333,390,361,437,517,627,683,741,728,847,1007
"72","65","  Miscellaneous repair services","B1785C0",4,5,6,6,7,10,12,13,17,22,12,17,16,19,23,23,31,31,31,34,42,39
"73","66","  Motion pictures","B1786C0",366,414,424,444,451,464,479,493,499,475,454,462,450,462,496,726,778,789,1085,1078,916,1003
"74","67","  Amusement and recreation services","B1787C0",41,48,51,53,56,61,72,85,97,117,137,173,237,253,292,300,312,306,312,300,350,346
"75","68","  Other services","A1788C0",44,48,52,55,57,60,66,70,78,90,101,116,132,147,161,290,303,335,375,486,494,631
"76","69","    Health services","B1789C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,50,61,75,102,97,136
"77","70","    Legal services","B1790C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,0
"78","71","    Educational services","B1791C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,14,19,27,31,35
"79","72","    Other \1\","B1792C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,240,259,281,357,366,460
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1. Consists of social services, membership organizations, and miscellaneous professional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
