"","Table 5#8#6A# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"11","3","Nonfarm","A373RX1",608.9,616.2,626.8,633.8,633.8,637.9,643.9,643.3,651.9,657.6,664.5,666,669,677.4,688,695.2,707,717.5,723,739.7,750.6,761.5,764.7,782.6,772,761.4,760.1,759.1,768.2,782.4,793.1,800.4,809.4,817,831.8,839.5,853,865.1,874,888.8,897.9,909,911.2,914.9,919.7,925,916,914.4,926.7,927.1,938.9,945.4,936,932.6,931.1,915.3,905,906.8,916.1,926.9,949.2,970.3,991.9,1005.8,1008.1,1013.6,1016.8,1025.6,1034.5,1040.4,1038.8,1036.7,1048.9,1057.9,1058.9,1081.6,1088.3,1098.8,1107.5,1120.1,1132.8,1143,1147.5,1153.5,1157.1,1167.9,1173.4,1168.5,1163.5,1157.7,1161.3,1168.5,1166.6,1170,1174.5,1180.4,1193,1201.8,1207.3,1212.7,1221,1240,1252.5,1273.1,1292.4,1306,1314.9,1320.9,1322.5,1327.9,1337.2,1345.9,1360.7,1386.7,1404.5,1426.3
"12","4","    Durable goods \3\","A374RX1",299.9,303,308.7,313.9,312.8,312.7,316.9,312.6,317.6,319.5,323.6,321,322.9,326.6,331.9,338.9,346.8,356.3,365.5,374.4,379.3,382.3,387.5,399.3,394.8,391,387.5,382.9,385.4,392,398.7,404.8,408.6,411.9,418.2,423.2,432.6,440.5,445.3,455.7,465.1,473.4,474.8,476.9,477.7,476.8,470.5,472.8,476.6,479.8,483.3,482.6,475.6,475.4,474.4,461.3,450.8,451.6,455.1,462.6,475.2,487,499.1,510.1,510.2,512.1,511,513.3,517,517.9,512.9,509.7,517.9,524.1,522.2,535.6,537.7,541.9,550,560,570.3,575,575.2,580.3,580.4,586.2,590.6,587.6,578.6,571.2,572,571.3,567.1,568.8,568.3,567.5,573.9,577.4,580.1,585,591.2,601.8,609.7,620.7,632.6,640.8,646.4,653.7,656.2,660.9,670.4,672.5,680.1,695.3,704.9,671.3
"13","5","    Nondurable goods \3\","A375RX1",308.2,312.5,317.3,318.3,319.9,324.8,326.3,331.5,334.7,338.8,341.3,346.7,347.7,352.5,357.8,356.8,359.9,359.6,354,361.7,367.8,376.2,373.4,378.7,372.4,365.3,368.1,372.8,380,387.7,391.3,391.7,397.2,401.5,410.3,412.7,415.8,419.6,423.4,427,425.2,427.1,428,429.6,433.8,440.8,438.5,434,442.9,439.5,448.2,456.3,454.4,450.8,450.4,449,450.7,451.8,457.9,460.4,469.7,478.6,487.6,489.2,491.6,495.4,500.7,507.9,513.2,519,523.9,525.9,529,531.1,534.9,543.2,548.5,555,554.2,555.3,556.1,561.8,566.9,567,571,575.9,576.4,574.7,580.6,583.8,586.8,596.1,599.4,601.1,607,614.8,621,626.5,629.3,629,630.4,638.4,642.4,651.8,658.3,663.2,666,663.5,662.2,662.3,660.9,667.9,675.1,685.3,693.3,628.2
"14","6","  Manufacturing","A376RX1",306.4,308.7,312.5,316.1,315,315.6,317.4,316,316.4,315.3,313.8,312.2,312.9,314.9,319.5,320.8,326.1,331.6,336.5,344.5,349.3,356.4,361.8,370.5,370.2,365.3,361.2,361.2,362.7,367.7,372.9,378.4,379.4,382.3,387.3,389,390.6,396.3,401.1,406.8,410.8,415.3,418.4,422.5,428.7,430.5,423.7,422.9,427.3,427.2,430.5,428.6,424.3,419.2,416.7,409.4,398.5,400.3,403.9,408.9,417.1,430.7,442.8,444.4,441.6,441.3,438.6,436.6,434.4,434.8,431.4,432,432,433.3,436.5,442.4,446.6,450.9,454.3,463.1,469,476,480.1,480.5,485.5,487.8,491.5,491.4,489.8,484.6,483.2,483.1,480,478,480.2,477.3,478.1,481.1,482.8,481.7,485,488.8,492,496.5,503,507.7,511.5,513.7,519,518,522.3,526.1,531.1,538.4,544.7,553.1
"15","7","    Durable goods","B377RX1",172.8,174.2,175.9,179.2,178.1,177.2,179.2,177.7,177.5,175.7,174.4,172.1,172.5,173.2,176.4,178.3,182.1,186.4,192.6,198.3,200.9,203.6,207.6,212.7,213,210.9,206.7,203.3,203.1,205.3,208,212.3,213,213.4,215.7,217,219.3,223.6,227.1,231.2,235.6,239.8,242,245.9,248.2,248.9,245.5,245.9,248.3,247.4,250.1,248,243.8,242.5,239.9,233.9,226.2,227.1,227.5,231.4,236.2,244.4,252.7,256.1,254.8,254.7,253.2,249.7,248.3,247.5,245.4,243.9,243.4,244.6,246.3,249.7,252,254.6,257.1,263.2,268.1,271.7,273.7,274.6,277.1,278.5,280.2,280,277.3,273.2,271.7,269.6,266.5,264.4,263.9,260.8,261.1,262.8,264.7,264.9,267.2,270.2,272,275,278.5,281,284.2,287,291.4,292,295.6,297.7,300.3,304.9,309,314.2
"16","8","    Nondurable goods","B378RX1",133.5,134.2,136.6,136.2,136.6,138.6,138,138.6,139.3,140.6,140.8,142.3,142.4,144,145.1,143.8,144.9,145.5,142.6,144.5,146.7,151.5,152.6,156,155.3,152.3,153.1,157.6,159.7,162.8,165.5,166.1,166.4,169.4,172.3,172.5,171.3,172.3,173.1,174.4,173.1,172.6,173.3,172.8,177.2,178.4,174.9,173.4,175.4,176.5,176.8,177.3,178,173.5,174.1,173.6,171.1,172,175.9,176.4,179.8,185.1,188.1,185.1,183.5,183.3,182.1,184.8,184,185.8,184.4,187.6,188.4,188.3,189.7,192.1,194.1,195.8,196.3,198.4,198.7,202.2,204.5,203.8,206.3,207.3,209.3,209.5,211.3,210.7,211,213.9,214.5,214.9,218.4,219.1,219.7,221,220.4,218.8,219.6,220.1,221.5,222.9,226,228,228.4,227.4,227.9,226,226.4,228.2,230.6,233.3,235.3,238.4
"17","9","  Wholesale trade","A379RX1",130.1,133.1,135.5,136.5,139,140.9,143.7,146.8,146.9,149.5,151.4,154.5,154.1,156.7,160.3,161.4,163.6,163.2,162.9,165.8,170.7,175.5,174.9,181.2,178.1,174,174.8,173.4,174.3,180,184.4,184.8,188.6,191.4,195.8,199.8,206.2,208.9,209.9,215.7,220.2,222.6,225.1,226.4,229.7,233.5,233.5,232.4,237.8,235.3,235.9,239,237.6,239,238.2,235.9,232.6,228,232,234.7,238.8,242.6,251,253,255.7,257.6,258.3,259.8,262.2,264.8,270.3,269.1,269.5,271.3,270.2,277.6,283.2,286.6,289.2,288.1,287,291.6,292.2,291.7,293.9,298.2,300.8,301.2,303.4,299.5,300.8,305.6,306.4,309,310.5,315.3,316.5,317.8,320.5,322,321.5,326.5,331.7,339.5,344.9,349.1,352.6,353.9,354.8,356.1,353.8,356.5,363.3,373.7,379.1,388.4
"18","10","    Durable goods","A380RX1",71.1,73.3,74.6,75.3,76.5,76.8,78.7,79.5,80,81.2,82.6,84.8,85,87.2,88.5,90.7,92.1,93.9,95,96.1,98.3,99.9,102.1,105.7,105.8,103.8,102.4,102.6,103.1,106.4,108.7,109,110.5,112.1,114.2,116.8,121.7,124.5,125.5,129.2,132.6,133.4,135.6,135.7,136.8,139,138.2,140.4,142.1,143.9,143.9,145.5,146,147.3,145.9,141.7,137.6,135.1,136.5,138.6,141,143.3,148.1,150.1,150.7,151.3,150.9,150.6,151.4,152.8,155.1,154,154.5,156.3,154,158.4,162,161.2,164.9,164.2,163.8,166.8,166.6,165.3,166.4,168,169.8,168.6,169.4,165.6,165.2,168,166.8,169,170.1,171.2,171.5,171.5,173,174.7,174.5,178.7,181.8,185.9,190,192.7,194.5,197.8,198.8,199.4,200.9,200.9,205.4,212.6,215.1,220.2
"19","11","    Nondurable goods","A381RX1",58.1,58.9,59.9,60.2,61.5,63.3,64.1,66.6,66.1,67.5,67.8,68.6,67.9,68.2,70.6,69,69.8,67.3,65.9,67.7,70.5,73.6,70.7,73.3,70,67.9,70.3,68.6,69.1,71.3,73.5,73.6,75.8,77,79.3,80.6,81.9,81.6,81.5,83.6,84.4,86.1,86.3,87.5,89.7,91.3,91.9,88.7,92.3,88.1,88.6,90,88,88,88.7,91.1,92.2,90.1,92.9,93.4,95,96.5,100,99.8,102.1,103.5,104.9,107,108.8,109.9,113.4,113.5,113.3,113,115,117.8,119.5,125,123,122.6,121.7,123.1,124.2,125.4,126.6,129.7,130.3,132.3,133.9,134.4,136.4,138.4,141,141.1,141.4,145.8,146.9,148.4,149.5,149,148.8,148.9,150.9,154.7,155.8,156.9,158.7,155.9,155.5,156.4,151.7,154.8,156.2,158.5,161.7,165.6
"20","12","      Merchant wholesalers","A802RX1",95.9,98.4,100.4,101.2,103.9,105.4,108.2,111,111,113.8,116,119.3,119.2,121.7,124.8,125.9,128,126.9,126.5,128.9,133.6,138,136.9,141.6,137.5,134.2,134.7,133.3,134.3,139,142.3,143,146.2,148.9,154,158.1,165.5,169.5,170.4,175.3,180.6,182,184.4,184.9,186.6,189.2,192.1,193,196.1,194.2,195,197.6,195.7,199.2,197.5,195.2,193.2,188.9,191.7,194.4,198.4,201,208.4,210.6,213.4,215.3,217.3,218.8,221.6,223.8,229.6,228,228.8,231.6,230.6,237.3,242.5,245.8,248.4,246.3,245,248.7,248.6,249,250.2,254,257,257.5,259.6,256.6,257.4,262,263.2,265.8,266.3,271.9,273.2,274.6,277.4,278.5,277.4,282.5,287.1,293.8,298.4,301.4,304.3,304.8,304.7,306.4,303.8,306.6,313,322.6,327.6,335.3
"21","13","        Durable goods","B803RX1",55.6,57.5,58.7,59.2,60.7,60.9,62.8,63.7,64.4,65.9,67.6,70.1,70.2,72.4,73.5,75.6,76.8,78.1,78.7,80,82.1,84.2,86,88.8,88.4,86,84.5,85.1,85.7,88.7,90.3,89.8,91.7,93.5,96.2,98.9,103.6,106.5,107.6,110.9,113.5,113.9,116.3,116.6,117.9,119.9,119.8,122.2,123.7,125.3,124.7,126,126.3,127.6,126,122.5,118.9,116.2,117.7,119.7,122.3,124.1,128.5,130.2,130.7,131.1,131.1,131.3,132.2,133.9,136.2,135.1,135.6,137.8,135.6,139.8,143.3,142.4,146.1,144.6,144.2,147.1,146.3,145.3,146,147.2,149.4,148.3,149.3,145.8,145,148,147.2,149.5,150.1,152,152.5,152.6,154.1,155.2,154.5,158.9,161.6,165,168.6,170.7,172.1,174.7,175.1,175.8,177,177.2,181.4,188.3,190.6,194.6
"22","14","        Nondurable goods","B804RX1",39.3,39.8,40.6,41,42.2,43.5,44.2,46.2,45.5,46.8,47.2,47.9,47.5,47.9,49.9,48.7,49.5,47.2,46.3,47.3,49.8,52,49.3,51.2,47.6,46.7,48.7,46.7,47,48.8,50.4,51.7,52.9,53.8,56.2,57.5,60.1,61.1,60.8,62.5,65.1,66.1,66,66.2,66.6,67.1,70.1,68.6,70.1,66.6,68,69.3,66.9,69.2,69.2,70.7,72.6,71,72.3,73.1,74.3,75,78.1,78.4,81,82.6,85,86.5,88.6,89,92.9,92.5,92.7,93.1,95,97.4,98.9,104.1,102.2,101.7,100.6,101.3,102.2,104,104.5,107.5,108.2,110.1,111.4,112.3,114.5,116,118.5,118.5,118.3,122.5,123.4,125,126.3,126,125.8,126,127.9,131.2,132,132.7,134.4,131.6,130.9,132,127.5,130.5,132.6,135,137.8,141.6
"23","15","      Nonmerchant wholesalers","A805RX1",32.9,33.3,33.7,33.9,33.8,34.2,34.3,34.5,34.6,34.4,34.2,34,33.8,33.9,34.4,34.4,34.5,35.2,35.2,35.7,36,36.3,36.7,38.3,39.3,38.4,38.7,38.7,38.7,39.6,40.7,40.5,41,41.1,40.6,40.5,39.7,38.6,38.6,39.5,38.8,39.7,40,40.7,42.1,43.1,40.8,39.1,41.1,40.6,40.5,41,41.4,39.6,40.4,40.4,39.2,38.8,40,39.9,40.1,41.3,42.3,42.2,42.2,42.2,41,41,40.8,41.2,40.8,41.3,40.9,40,39.9,40.6,41,41.1,41.2,42.1,42.3,43.2,43.8,43,44,44.5,44.1,44.1,44.1,43.3,43.8,44,43.5,43.6,44.5,43.8,43.7,43.5,43.6,43.9,44.6,44.4,45,46.2,47,48.2,48.8,49.6,50.6,50.3,50.6,50.5,50.8,51.7,52,53.6
"24","16","        Durable goods","B806RX1",13.5,13.7,13.9,14.1,14,14,14,14,13.9,13.8,13.6,13.5,13.5,13.6,13.8,14,14.2,14.6,14.9,14.8,15,14.7,15.1,15.8,16.2,16.3,16.3,16.1,16,16.4,16.9,17.6,17.3,17.2,16.9,16.9,17.1,17.2,17.1,17.5,18.2,18.5,18.5,18.3,18.2,18.4,17.9,17.7,18,18.1,18.6,18.9,19.1,19.1,19.3,18.6,18.1,18.1,18.2,18.3,18.2,18.6,19.1,19.4,19.4,19.6,19.3,18.9,18.8,18.7,18.7,18.8,18.7,18.4,18.3,18.6,18.7,18.7,18.9,19.4,19.5,19.7,20.1,19.9,20.2,20.5,20.3,20.2,20,19.7,20.1,20,19.6,19.5,19.9,19.3,19.1,19,19.1,19.6,20,20,20.4,21,21.5,22,22.5,23.1,23.7,23.6,23.9,23.7,23.9,24.4,24.5,25.6
"25","17","        Nondurable goods","B807RX1",21.6,21.9,22.1,22.1,22.1,22.7,22.8,23.2,23.6,23.6,23.5,23.5,23.1,23,23.4,23,22.9,22.9,22.3,23.3,23.3,24.4,24.3,25.2,25.8,24.4,24.8,25.2,25.4,26,26.6,25,26.2,26.6,26.4,26.3,24.7,23,23.2,23.7,21.6,22.4,22.9,24,25.8,26.8,24.7,22.9,24.9,24.1,23.4,23.5,23.9,21.5,22.3,23.3,22.5,21.9,23.4,23.2,23.7,24.5,25,24.4,24.3,24,23,23.6,23.4,24.2,23.7,24.3,23.8,23,23.1,23.6,23.8,24,23.9,24.1,24.3,25.2,25.4,24.6,25.5,25.5,25.5,25.6,26,25.4,25.3,25.8,25.9,26,26.6,26.8,27,26.9,26.8,26.4,26.5,26.4,26.5,27,27.3,27.9,28,28,28.4,28.1,27.9,28.1,28.2,28.6,28.8,29.2
"26","18","  Retail trade","A382RX1",112.4,113.7,117,118.9,118,119.8,121.2,118.9,125.7,129,135.2,135.1,136.9,139.7,141.6,145.6,148.8,153.1,153.1,157.3,156.2,155.6,153.6,155,148.6,146.6,148.2,147.2,152.6,155.4,157.3,158.5,160.7,162.7,165.4,167.6,172,174.5,175.3,178.8,179,182.9,180,178.7,176.6,175.4,174.6,173.6,174.5,178.2,181.4,183.3,178.6,179,182.4,179.1,181.2,185.7,189.4,193.7,203.7,207.5,208.3,217.3,218.7,221.9,225.6,234.1,241.3,241.9,238.2,237.8,248.8,254.1,253,260.9,258.6,261.6,264.8,269.2,277.5,278.2,278,285,280.9,284.9,285.2,283.3,277.2,278.5,282,283.8,282.6,285.4,286.2,288.9,299.4,301.6,302.4,305.7,310,318.1,322.3,328,334.1,339,340.4,341.3,337.3,341.6,347.9,349.4,350.5,356.3,360.6,363.7
"27","19","    Durable goods","B383RX1",48.5,48.4,50.5,51.6,50.8,51.5,52.1,48.9,53.4,56,60.5,58.8,59.7,60.7,61.6,64.4,66.4,69.7,70.9,72.4,72.5,71.5,70.3,73.4,68.9,69.3,71.3,70.1,72.1,73.6,75.8,76.9,78.6,79.7,81.7,83.2,85.6,85.9,85.9,88.9,90.3,93.2,90.4,88.6,86.1,83.3,81.3,80.8,80.1,82.9,83.4,83.7,80.5,80.3,83.5,80.2,81.5,83.5,85.3,87.7,92.2,93.2,92.3,98.4,99.4,101.3,102.4,108.7,113.4,114,109.4,108.8,117.2,120.4,118.7,124.4,120.8,123.4,125.6,129.7,135.2,133.3,131.6,136.7,132.8,135.7,136.7,135.4,129.1,129.6,131.7,130.6,130,131.5,130.8,131.8,137.9,139.4,138.7,140.9,144.6,147.8,150.6,154.2,158.3,161.3,162,163.2,160.3,163.9,167.9,168,168.5,171.4,174.1,176.7
"28","20","      Motor vehicle dealers \4\","B864RX1",26.7,26.3,27.9,28.9,27.8,28.6,29.1,25,29.5,32.1,36.6,34,33.9,33.9,33.6,35,36.6,38.9,40,41.7,41,39.6,38.7,41.9,37.9,38.6,40.5,38.4,40.1,40.5,42,42.4,44,45.1,46.6,48.4,49.8,48.9,48.4,51.8,53.5,56.7,53.5,51.9,49,45.9,44.2,44.1,36.7,39.6,39.7,39.2,36.9,37.4,40.6,36.7,37.3,38.3,39.4,41.1,44.5,44.1,43,47.9,47.9,49.5,49.3,55.5,58.8,59,53.2,54,62.4,63.4,61.2,65.2,60.5,62.7,63.6,67.2,72.6,70,66.8,72,66.9,69.2,70.9,70.4,65,65.8,67.6,66.4,66.8,67.8,67.4,67.8,73.1,74,71.9,71.7,74.6,75.4,76.9,79.1,82.5,84.2,83,84.6,80.8,83.8,87.4,87.1,85.9,86.7,88.4,92.2
"29","21","      Other \4\","A865RX1",21.8,22.1,22.7,22.9,23,23,23.1,23.5,24,24.2,24.7,25.3,26.1,27,28,29.4,29.8,31,31.2,31.2,31.9,32,31.6,31.9,31.1,30.9,31.1,31.8,32.2,33.2,34,34.6,34.8,34.9,35.4,35.4,36.4,37.3,37.7,37.8,37.7,37.7,37.7,37.4,37.4,37.4,37,36.7,42.7,42.9,43.3,43.9,43,42.4,42.5,42.9,43.6,44.6,45.3,46,47.3,48.5,48.7,50.1,51,51.4,52.6,52.9,54.4,54.8,55.7,54.4,54.7,56.9,57.3,59,59.9,60.4,61.6,62.2,62.6,63.2,64.4,64.6,65.5,66.2,65.6,64.8,63.6,63.4,63.9,63.8,62.9,63.4,63.2,63.7,64.6,65.2,66.5,68.9,69.7,72.1,73.3,74.8,75.5,76.7,78.6,78.2,79.1,79.7,80.1,80.5,81,82.6,84.1,80.7
"30","22","    Nondurable goods","B384RX1",63,64.5,65.5,66.2,66.2,67.3,68.1,69.5,71.4,71.9,73.2,75,75.9,77.6,78.7,79.7,80.9,81.6,80.3,82.9,81.8,82.3,81.6,79.5,77.9,75.4,74.7,75,78.5,79.7,79.2,79.2,79.6,80.5,81,81.6,83.5,85.8,86.7,86.9,85.5,86.2,86.4,87.2,87.9,89.9,91.3,91,92.7,93.4,96.3,97.9,96.8,97.3,97.2,97.7,98.3,100.9,102.7,104.5,109.8,112.9,114.7,117.2,117.5,118.5,121.3,122.8,124.9,124.8,126.6,126.8,128.4,130.3,131.2,132.8,134.8,134.8,135.6,135.5,137.7,140.8,142.6,144.1,144.4,145.1,144.2,143.7,144.8,145.6,146.8,150.2,149.6,150.8,152.4,154.2,158.2,158.8,160.5,161.3,161.5,166.5,167.5,169.3,170.9,172.5,173.1,172.7,171.9,172,174,175.6,176.3,179,180.6,180.9
