"","Table 4#2#1# Percent Change From Preceding Period in Real Export","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"49","41","  Travel (for all purposes including education)","Y805RL1",NA,102.1,38.2,-56.3,1.6,-15.7,17,-20.5,43.3,6.5
"50","42","  Charges for the use of intellectual property n.e.c.","B908RL1",NA,-2.8,-3.5,26.8,44.9,-31.6,-5,13.1,79.9,-17.8
"51","43","  Other business services \3\","Y806RL1",NA,32.1,47.6,-7.7,-10.1,50.8,9.2,20.5,11.2,9.2
"52","44","  Government goods and services n.e.c.","Y807RL1",NA,-2.2,12.1,4.2,-6.8,0.1,12.3,32.2,-13.1,-2.6
"53","45","  Other","B910RL1",NA,12.9,7.5,6.3,4.4,6.3,4.8,4.6,5.3,1.4
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","  Exports of durable goods","A332RL1",NA,2.9,-10.9,5.1,17.1,16.9,25.5,-4.9,-28.2,92.4
"56","47","  Exports of nondurable goods","A339RL1",NA,-6.2,-0.7,11.9,10.6,-7.1,38.8,-14.9,-63.1,310.3
"57","48","  Exports of agricultural goods \4\","B181RL1",NA,-5.4,-12.5,21.3,18.6,-35.5,25.9,-13.6,-81.3,796.9
"58","49","  Exports of nonagricultural goods","A182RL1",NA,0.4,-5,4.7,15,21.4,35.3,-10.6,-36.9,114.5
"59","50","  Imports of durable goods","A333RL1",NA,-6.4,13.1,40.8,65.7,7.1,22.6,3.8,-41.7,160.5
"60","51","  Imports of nondurable goods","A340RL1",NA,-15.9,-6.5,44.9,7.6,14.1,41.3,-17.7,-43.2,153
"61","52","  Imports of nonpetroleum goods","A187RL1",NA,-12.6,10.4,39.4,36.5,11.1,29,-6.2,-44.9,169.8
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Includes net exports of goods under merchanting, beginning in 1999, reclassified from services to goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","3. Includes maintenance and repair services, insurance services, financial services, telecommunication, computer and information ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","services and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","other other business services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","4. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
