"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"36","17","Current transfer payments","A084RC1","11,084.0","11,100.0","15,184.0","12,220.0","13,332.0","13,048.0","14,600.0","13,952.0","15,276.0","16,100.0","16,508.0","16,080.0","23,692.0","17,048.0","13,360.0","13,924.0","13,348.0","13,680.0","13,872.0","13,904.0","12,316.0","13,120.0","14,024.0","13,216.0","13,612.0","13,612.0","13,656.0","14,116.0","14,664.0","15,108.0","16,000.0","16,756.0","17,204.0","16,824.0","16,848.0","16,812.0","17,068.0","17,424.0","17,820.0","18,096.0","18,688.0","20,216.0","20,096.0","21,328.0","22,652.0","24,604.0","25,032.0","24,528.0","26,844.0","26,908.0","26,412.0","27,508.0","26,816.0","28,228.0","27,932.0","29,572.0","31,096.0","32,844.0","31,704.0","31,804.0","32,540.0","33,008.0","32,140.0","33,364.0","34,792.0","34,908.0","33,264.0","34,108.0","35,004.0","35,628.0","34,492.0","35,128.0","36,352.0","37,680.0","39,396.0","38,392.0","39,788.0","41,452.0","41,268.0","45,308.0","48,584.0","49,800.0","50,948.0","51,892.0","54,404.0","58,160.0","59,628.0","61,444.0","61,388.0","64,072.0"
"37","18","  Government social benefits","W063RC1","9,352.0","9,196.0","13,052.0","10,112.0","10,308.0","10,072.0","9,744.0","9,400.0","10,140.0","10,712.0","11,184.0","11,392.0","19,768.0","13,280.0","10,220.0","10,400.0","10,300.0","10,548.0","10,684.0","10,620.0","10,480.0","10,628.0","11,396.0","11,472.0","11,464.0","11,428.0","11,676.0","12,128.0","12,888.0","13,568.0","13,944.0","14,588.0","14,556.0","14,736.0","14,864.0","14,860.0","15,176.0","15,364.0","15,812.0","16,016.0","16,836.0","18,032.0","18,224.0","19,436.0","20,808.0","22,648.0","22,976.0","22,472.0","22,736.0","22,612.0","22,844.0","23,476.0","23,556.0","24,188.0","24,988.0","25,964.0","27,800.0","28,624.0","28,768.0","28,268.0","28,844.0","28,748.0","29,140.0","29,836.0","31,192.0","30,184.0","30,384.0","30,900.0","31,824.0","31,356.0","31,624.0","31,848.0","33,072.0","32,968.0","36,308.0","35,116.0","36,112.0","36,188.0","38,092.0","41,480.0","44,396.0","45,504.0","47,156.0","48,172.0","50,424.0","53,704.0","55,096.0","56,228.0","57,740.0","58,756.0"
"38","19","    To persons","A063RC1","9,352.0","9,196.0","13,052.0","10,112.0","10,308.0","10,072.0","9,744.0","9,400.0","10,140.0","10,712.0","11,184.0","11,392.0","19,768.0","13,280.0","10,220.0","10,400.0","10,300.0","10,548.0","10,684.0","10,620.0","10,480.0","10,628.0","11,396.0","11,472.0","11,464.0","11,428.0","11,676.0","12,128.0","12,888.0","13,568.0","13,944.0","14,588.0","14,556.0","14,736.0","14,864.0","14,860.0","15,176.0","15,364.0","15,812.0","16,016.0","16,836.0","18,032.0","18,224.0","19,436.0","20,808.0","22,648.0","22,976.0","22,472.0","22,736.0","22,612.0","22,844.0","23,476.0","23,304.0","23,968.0","24,740.0","25,700.0","27,512.0","28,348.0","28,504.0","27,992.0","28,520.0","28,460.0","28,852.0","29,540.0","30,852.0","29,852.0","30,076.0","30,584.0","31,496.0","31,036.0","31,264.0","31,472.0","32,700.0","32,340.0","35,896.0","34,716.0","35,692.0","35,772.0","37,512.0","41,040.0","43,928.0","45,008.0","46,408.0","47,664.0","49,920.0","53,196.0","54,452.0","55,656.0","57,184.0","58,180.0"
"39","20","    To the rest of the world \3\","W016RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","252.0","220.0","248.0","264.0","288.0","276.0","264.0","276.0","324.0","288.0","288.0","296.0","340.0","332.0","308.0","316.0","328.0","320.0","360.0","376.0","372.0","628.0","412.0","400.0","420.0","416.0","580.0","440.0","468.0","496.0","748.0","508.0","504.0","508.0","644.0","572.0","556.0","576.0"
"40","21","  Other current transfer payments to the rest of the world (net) \3\","W017RC1","1,732.0","1,904.0","2,132.0","2,108.0","3,024.0","2,976.0","4,856.0","4,552.0","5,136.0","5,388.0","5,324.0","4,688.0","3,924.0","3,768.0","3,140.0","3,524.0","3,048.0","3,132.0","3,188.0","3,284.0","1,836.0","2,492.0","2,628.0","1,744.0","2,148.0","2,184.0","1,980.0","1,988.0","1,776.0","1,540.0","2,056.0","2,168.0","2,648.0","2,088.0","1,984.0","1,952.0","1,892.0","2,060.0","2,008.0","2,080.0","1,852.0","2,184.0","1,872.0","1,892.0","1,844.0","1,956.0","2,056.0","2,056.0","4,108.0","4,296.0","3,568.0","4,032.0","3,260.0","4,040.0","2,944.0","3,608.0","3,296.0","4,220.0","2,936.0","3,536.0","3,696.0","4,260.0","3,000.0","3,528.0","3,600.0","4,724.0","2,880.0","3,208.0","3,180.0","4,272.0","2,868.0","3,280.0","3,280.0","4,712.0","3,088.0","3,276.0","3,676.0","5,264.0","3,176.0","3,828.0","4,188.0","4,296.0","3,792.0","3,720.0","3,980.0","4,456.0","4,532.0","5,216.0","3,648.0","5,316.0"
"41","22","Interest payments \1\","A180RC1","4,370.0","4,322.0","4,266.0","4,306.0","4,320.0","4,322.0","4,336.0","4,434.0","4,501.0","4,531.0","4,550.0","4,590.0","4,642.0","4,679.0","4,741.0","4,778.0","4,822.0","4,806.0","4,837.0","4,911.0","4,905.0","4,874.0","4,916.0","4,965.0","5,004.0","5,005.0","5,053.0","5,118.0","5,188.0","5,239.0","5,280.0","5,277.0","5,210.0","5,131.0","5,304.0","5,491.0","5,474.0","5,689.0","5,838.0","6,283.0","6,055.0","6,225.0","6,318.0","6,634.0","6,095.0","5,962.0","6,117.0","6,398.0","7,271.0","6,796.0","7,302.0","7,723.0","10,672.0","10,648.0","10,276.0","10,028.0","9,902.0","10,039.0","10,249.0","10,418.0","10,675.0","10,961.0","11,265.0","11,411.0","11,546.0","11,759.0","12,083.0","12,488.0","12,700.0","12,956.0","12,976.0","13,100.0","13,372.0","13,696.0","13,726.0","14,010.0","14,372.0","14,842.0","15,310.0","15,752.0","15,834.0","15,815.0","16,395.0","17,404.0","17,878.0","18,673.0","19,133.0","19,400.0","19,262.0","19,855.0"
"42","23","  To persons and business \1\","A204RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","10,268.0","10,304.0","9,968.0","9,756.0","9,626.0","9,779.0","9,977.0","10,114.0","10,355.0","10,625.0","10,921.0","11,055.0","11,182.0","11,379.0","11,667.0","12,044.0","12,256.0","12,516.0","12,540.0","12,608.0","12,884.0","13,224.0","13,254.0","13,486.0","13,848.0","14,298.0","14,734.0","15,200.0","15,286.0","15,215.0","15,815.0","16,740.0","17,178.0","17,945.0","18,473.0","18,680.0","18,510.0","19,091.0"
"43","24","  To the rest of the world","B093RC1","24.0","12.0","12.0","16.0","12.0","16.0","24.0","16.0","28.0","20.0","28.0","24.0","24.0","24.0","40.0","36.0","48.0","48.0","48.0","44.0","48.0","48.0","80.0","80.0","80.0","80.0","92.0","92.0","60.0","56.0","56.0","64.0","64.0","80.0","108.0","124.0","136.0","136.0","156.0","188.0","188.0","208.0","204.0","204.0","168.0","92.0","128.0","168.0","208.0","236.0","296.0","384.0","404.0","344.0","308.0","272.0","276.0","260.0","272.0","304.0","320.0","336.0","344.0","356.0","364.0","380.0","416.0","444.0","444.0","440.0","436.0","492.0","488.0","472.0","472.0","524.0","524.0","544.0","576.0","552.0","548.0","600.0","580.0","664.0","700.0","728.0","660.0","720.0","752.0","764.0"
"44","25","Subsidies \2\","A107RC1","315.0","219.0","160.0","89.0","160.0","60.0","375.0","627.0","345.0","159.0","287.0","237.0","442.0","555.0","511.0","834.0","878.0","838.0","566.0","711.0","465.0","430.0","426.0","316.0","347.0","67.0","283.0","-205.0","-294.0","257.0","-110.0","-273.0","-155.0","-80.0","-365.0","-205.0","-78.0","178.0","513.0","812.0","863.0","776.0","607.0","501.0","635.0","831.0","1,023.0","1,169.0","1,148.0","928.0","1,088.0","1,068.0","1,024.0","1,280.0","1,048.0","1,232.0","1,572.0","2,008.0","2,172.0","2,304.0","2,284.0","2,384.0","2,216.0","2,208.0","2,032.0","2,176.0","2,296.0","2,432.0","2,728.0","2,880.0","2,648.0","2,660.0","2,924.0","2,972.0","2,988.0","3,144.0","3,564.0","3,928.0","4,064.0","4,240.0","3,992.0","3,872.0","3,684.0","3,696.0","4,036.0","4,204.0","4,220.0","4,236.0","4,340.0","4,464.0"
"45","26","Less: Wage accruals less disbursements","A184RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","36.0","44.0","728.0","-632.0","48.0","48.0","32.0","0.0","-48.0","-72.0","-104.0","-80.0","0.0","0.0","0.0","0.0","120.0","460.0","-580.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","640.0","616.0","-1,256.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","116.0","-116.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"46","27","    Net government saving","A922RC1","7,619.0","6,857.0","3,160.0","9,344.0","8,824.0","6,334.0","2,664.0","1,709.0","-1,855.0","-5,064.0","-4,836.0","-4,803.0","-7,346.0","3,530.0","15,320.0","16,001.0","19,946.0","12,564.0","7,773.0","8,683.0","9,761.0","5,761.0","4,386.0","6,931.0","7,173.0","6,627.0","6,945.0","399.0","210.0","1,316.0","1,604.0","3,048.0","6,541.0","9,962.0","8,622.0","11,629.0","12,730.0","11,131.0","12,204.0","11,575.0","10,877.0","8,560.0","8,369.0","1,965.0","-605.0","-5,824.0","-3,922.0","91.0","6,153.0","8,663.0","6,986.0","6,361.0","15,918.0","12,373.0","10,878.0","6,511.0","6,539.0","4,705.0","6,904.0","9,188.0","7,245.0","7,087.0","8,557.0","7,746.0","9,412.0","11,750.0","11,811.0","10,990.0","8,349.0","3,616.0","7,685.0","9,512.0","13,732.0","13,201.0","6,044.0","6,111.0","12,672.0","11,424.0","9,486.0","6,463.0","-2,049.0","-3,498.0","-2,103.0","-1,646.0","1,116.0","679.0","8,753.0","9,663.0","21,836.0","19,140.0"
"47","28","Social insurance funds","A221RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-1,254.0","-3,519.0","-3,417.0","-2,354.0","-597.0","-252.0","-644.0","-1,139.0","1,367.0","829.0","216.0","-764.0","-2,111.0","-2,735.0","-2,654.0","-1,800.0","-653.0","-271.0","-507.0","-841.0","-150.0","1,157.0","1,203.0","1,234.0","527.0","1,369.0","1,545.0","1,743.0","922.0","1,718.0","-1,171.0","623.0","6,503.0","6,832.0","6,326.0","4,807.0","3,826.0","4,337.0","4,111.0","4,674.0","4,703.0","3,012.0","2,750.0","2,783.0","5,262.0","5,625.0"
"48","29","Other","A391RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","649.0","-2,305.0","-504.0","2,444.0","6,750.0","8,915.0","7,630.0","7,500.0","14,551.0","11,544.0","10,662.0","7,275.0","8,650.0","7,440.0","9,558.0","10,988.0","7,898.0","7,358.0","9,064.0","8,587.0","9,562.0","10,593.0","10,608.0","9,756.0","7,822.0","2,247.0","6,140.0","7,769.0","12,810.0","11,483.0","7,215.0","5,488.0","6,169.0","4,592.0","3,160.0","1,656.0","-5,875.0","-7,835.0","-6,214.0","-6,320.0","-3,587.0","-2,333.0","6,003.0","6,880.0","16,574.0","13,515.0"
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","30","  Total receipts","W066RC1","56,435.0","55,686.0","55,423.0","58,020.0","58,965.0","57,950.0","57,249.0","57,144.0","56,157.0","54,368.0","54,266.0","53,229.0","58,742.0","63,332.0","70,394.0","75,204.0","84,232.0","81,176.0","80,838.0","85,198.0","85,724.0","86,276.0","87,197.0","90,807.0","93,105.0","93,591.0","93,097.0","88,007.0","85,722.0","86,059.0","87,056.0","89,559.0","94,313.0","96,613.0","99,103.0","101,619.0","103,074.0","105,345.0","105,605.0","108,992.0","112,021.0","112,191.0","112,494.0","109,649.0","106,588.0","106,800.0","110,749.0","115,332.0","121,413.0","125,688.0","125,314.0","126,736.0","136,993.0","136,752.0","136,652.0","136,134.0","136,970.0","139,611.0","142,542.0","147,042.0","149,247.0","151,796.0","154,874.0","156,919.0","160,750.0","164,069.0","166,612.0","168,802.0","168,839.0","166,674.0","170,746.0","173,372.0","180,597.0","183,573.0","183,269.0","188,299.0","199,253.0","205,310.0","209,196.0","213,092.0","215,371.0","217,367.0","223,722.0","230,196.0","242,139.0","249,335.0","263,067.0","270,136.0","282,578.0","288,326.0"
"51","31","    Current receipts","W021RC1","55,396.0","54,772.0","54,382.0","57,030.0","57,913.0","56,741.0","56,215.0","56,167.0","55,240.0","53,467.0","53,339.0","52,314.0","57,926.0","62,496.0","69,545.0","74,405.0","83,320.0","80,316.0","79,911.0","84,137.0","84,689.0","85,197.0","86,094.0","89,804.0","91,882.0","92,538.0","91,984.0","86,804.0","84,529.0","84,915.0","85,912.0","88,388.0","93,074.0","95,497.0","97,860.0","100,205.0","101,604.0","103,623.0","103,986.0","107,387.0","110,374.0","110,280.0","110,613.0","107,940.0","104,838.0","105,109.0","109,098.0","113,644.0","119,722.0","123,956.0","123,432.0","124,821.0","134,983.0","134,505.0","134,507.0","133,568.0","134,419.0","137,220.0","139,971.0","144,519.0","146,829.0","149,069.0","152,225.0","154,161.0","157,953.0","161,163.0","163,574.0","166,003.0","165,888.0","163,325.0","167,319.0","169,879.0","177,003.0","180,151.0","179,655.0","184,497.0","195,307.0","201,343.0","205,351.0","209,306.0","211,384.0","213,496.0","219,559.0","226,305.0","238,451.0","245,299.0","258,850.0","265,725.0","278,016.0","283,526.0"
"52","32","    Capital transfer receipts","W067RC1","1,039.0","914.0","1,041.0","990.0","1,052.0","1,209.0","1,034.0","977.0","917.0","901.0","927.0","915.0","816.0","836.0","849.0","799.0","912.0","860.0","927.0","1,061.0","1,035.0","1,079.0","1,103.0","1,003.0","1,223.0","1,053.0","1,113.0","1,203.0","1,193.0","1,144.0","1,144.0","1,171.0","1,239.0","1,116.0","1,243.0","1,414.0","1,470.0","1,722.0","1,619.0","1,605.0","1,647.0","1,911.0","1,881.0","1,709.0","1,750.0","1,691.0","1,651.0","1,688.0","1,691.0","1,732.0","1,882.0","1,915.0","2,010.0","2,247.0","2,145.0","2,566.0","2,551.0","2,391.0","2,571.0","2,523.0","2,418.0","2,727.0","2,649.0","2,758.0","2,797.0","2,906.0","3,038.0","2,799.0","2,951.0","3,349.0","3,427.0","3,493.0","3,594.0","3,422.0","3,614.0","3,802.0","3,946.0","3,967.0","3,845.0","3,786.0","3,987.0","3,871.0","4,163.0","3,891.0","3,688.0","4,036.0","4,217.0","4,411.0","4,562.0","4,800.0"
"53","33","  Total expenditures","W068RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","133,159.0","136,202.0","139,061.0","142,179.0","145,365.0","148,678.0","150,401.0","153,914.0","158,249.0","160,265.0","162,536.0","164,973.0","165,966.0","166,766.0","171,017.0","172,804.0","175,957.0","178,611.0","178,593.0","178,200.0","180,963.0","184,514.0","192,991.0","197,941.0","204,341.0","210,288.0","218,170.0","226,128.0","237,570.0","238,843.0","245,687.0","249,310.0","257,459.0","266,541.0","271,475.0","277,674.0","278,704.0","284,480.0"
"54","34","    Current expenditures","W022RC1","47,777.0","47,915.0","51,222.0","47,686.0","49,089.0","50,407.0","53,551.0","54,458.0","57,095.0","58,531.0","58,175.0","57,117.0","65,272.0","58,966.0","54,225.0","58,404.0","63,374.0","67,752.0","72,138.0","75,454.0","74,928.0","79,436.0","81,708.0","82,873.0","84,709.0","85,911.0","85,039.0","86,405.0","84,319.0","83,599.0","84,308.0","85,340.0","86,533.0","85,535.0","89,238.0","88,576.0","88,874.0","92,492.0","91,782.0","95,812.0","99,497.0","101,720.0","102,244.0","105,975.0","105,443.0","110,933.0","113,020.0","113,553.0","113,569.0","115,293.0","116,446.0","118,460.0","119,065.0","122,132.0","123,629.0","127,057.0","127,880.0","132,515.0","133,067.0","135,331.0","139,584.0","141,982.0","143,668.0","146,415.0","148,541.0","149,413.0","151,763.0","155,013.0","157,539.0","159,709.0","159,634.0","160,367.0","163,271.0","166,950.0","173,611.0","178,386.0","182,635.0","189,919.0","195,865.0","202,843.0","213,433.0","216,994.0","221,662.0","227,951.0","237,335.0","244,620.0","250,097.0","256,062.0","256,180.0","264,386.0"
"55","35","    Gross government investment","A782RC1","4,257.0","4,293.0","4,712.0","5,126.0","6,248.0","6,698.0","7,130.0","7,995.0","8,565.0","9,521.0","10,317.0","10,380.0","9,031.0","9,351.0","10,231.0","10,583.0","12,974.0","16,230.0","18,990.0","22,302.0","21,855.0","21,971.0","22,473.0","22,939.0","23,936.0","24,624.0","24,305.0","23,098.0","23,780.0","23,203.0","21,674.0","21,392.0","20,999.0","21,894.0","20,746.0","20,264.0","21,769.0","22,245.0","23,896.0","23,727.0","24,238.0","23,913.0","24,611.0","24,745.0","25,110.0","25,263.0","27,333.0","28,224.0","30,526.0","29,504.0","29,346.0","27,830.0","27,688.0","27,539.0","28,975.0","28,864.0","31,360.0","29,963.0","31,193.0","32,799.0","33,036.0","32,654.0","33,737.0","33,733.0","32,974.0","32,826.0","34,843.0","33,915.0","34,224.0","34,624.0","34,755.0","34,902.0","34,233.0","34,776.0","36,493.0","36,718.0","38,662.0","38,178.0","40,271.0","42,037.0","43,449.0","42,046.0","43,157.0","43,256.0","43,123.0","44,014.0","43,833.0","43,579.0","45,359.0","43,391.0"
"56","36","    Capital transfer payments","W069RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","8.0","8.0","12.0","16.0","16.0","20.0","20.0","24.0","24.0","24.0","24.0","28.0","28.0","28.0","32.0","44.0","40.0","60.0","52.0","84.0","100.0","96.0","92.0","108.0","116.0","128.0","140.0","120.0","120.0","108.0","156.0","92.0","84.0","92.0","84.0","84.0","72.0","84.0","84.0","84.0","96.0","64.0","80.0","80.0","100.0","64.0","88.0","88.0","84.0","84.0","84.0","100.0","116.0","144.0","88.0","84.0","76.0"
"57","37","    Net purchases of nonproduced assets","AD07RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,126.0","1,373.0","1,415.0","1,370.0","1,336.0","1,546.0","1,627.0","1,455.0","1,614.0","1,759.0","1,621.0","1,634.0","1,522.0","1,841.0","1,868.0","1,497.0","1,966.0","2,196.0","2,245.0","1,153.0","1,875.0","1,445.0","1,819.0","1,945.0","2,372.0","1,920.0","2,119.0","1,665.0","1,418.0","847.0","2,350.0","9.0","-616.0","573.0","514.0","1,553.0","1,139.0","1,175.0"
"58","38","    Less: Consumption of fixed capital","A264RC1","11,003.0","10,601.0","10,499.0","10,262.0","9,895.0","9,635.0","9,582.0","9,333.0","9,236.0","8,834.0","8,446.0","8,208.0","7,918.0","7,764.0","7,835.0","8,144.0","8,393.0","8,523.0","8,691.0","8,912.0","9,095.0","9,380.0","9,741.0","9,962.0","10,208.0","10,442.0","10,479.0","10,596.0","10,766.0","11,059.0","11,227.0","11,451.0","11,463.0","11,526.0","11,841.0","12,085.0","12,440.0","12,675.0","12,879.0","13,059.0","13,349.0","13,531.0","13,706.0","13,794.0","13,606.0","13,733.0","13,979.0","14,149.0","14,268.0","14,376.0","14,513.0","14,657.0","14,804.0","14,942.0","15,054.0","15,204.0","15,319.0","15,462.0","15,614.0","15,811.0","16,105.0","16,250.0","16,598.0","16,965.0","17,163.0","17,398.0","17,549.0","17,705.0","17,856.0","17,990.0","18,125.0","18,306.0","18,500.0","18,753.0","18,996.0","19,188.0","19,408.0","19,829.0","20,149.0","20,505.0","20,818.0","21,128.0","21,566.0","21,990.0","22,483.0","22,782.0","23,113.0","23,608.0","24,058.0","24,548.0"
"59","39","  Net lending or net borrowing (-)","AD01RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,834.0","550.0","-2,409.0","-6,045.0","-8,395.0","-9,067.0","-7,859.0","-6,872.0","-9,002.0","-8,469.0","-7,662.0","-8,054.0","-5,216.0","-2,697.0","-4,405.0","-4,002.0","-7,118.0","-11,937.0","-7,847.0","-4,828.0","-366.0","-941.0","-9,722.0","-9,642.0","-5,088.0","-4,978.0","-8,974.0","-13,036.0","-22,199.0","-21,476.0","-21,965.0","-19,114.0","-15,320.0","-17,206.0","-8,408.0","-7,538.0","3,874.0","3,846.0"
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","1. Prior to 1960, interest payments to persons (line 23) and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","interest receipts on line 9 are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","included in interest payments (line 22), which is shown net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","of interest receipts. Miscellaneous receipts on line 9 includes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","rents and royalties received by governments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2. Prior to 1959, subsidies (line 25) and the current surplus of government enterprises",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
