"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"60","41","    Current expenditures","W013RC1","184,099.0","201,577.0","220,586.0","245,198.0","262,634.0","294,451.0","348,274.0","376,658.0","410,085.0","452,927.0","500,866.0","589,451.0","676,690.0","752,621.0","819,491.0","881,452.0","953,018.0","1,010,655.0","1,045,873.0","1,096,944.0","1,171,974.0","1,259,201.0","1,320,343.0","1,450,495.0","1,504,312.0","1,542,512.0","1,614,004.0","1,674,685.0","1,716,290.0","1,744,282.0","1,796,158.0","1,871,935.0","1,979,769.0","2,112,103.0","2,261,464.0","2,393,406.0","2,573,089.0","2,728,317.0","2,899,951.0","3,119,303.0","3,457,486.0"
"61","42","    Gross government investment","A787RC1","14,966.0","14,828.0","11,695.0","12,000.0","13,629.0","16,620.0","19,512.0","22,556.0","24,716.0","27,587.0","31,641.0","36,282.0","41,928.0","47,487.0","56,402.0","64,377.0","74,418.0","80,415.0","85,831.0","79,845.0","82,962.0","88,513.0","88,247.0","88,765.0","83,759.0","77,871.0","78,630.0","80,448.0","73,428.0","76,419.0","81,624.0","80,068.0","81,533.0","90,147.0","96,222.0","103,263.0","110,462.0","120,688.0","127,427.0","145,252.0","152,425.0"
"62","43","    Capital transfer payments","W020RC1","5,860.0","5,260.0","5,949.0","6,051.0","5,997.0","7,926.0","9,711.0","10,617.0","11,193.0","11,984.0","14,522.0","16,739.0","15,736.0","14,670.0","15,582.0","17,783.0","19,565.0","20,081.0","19,099.0","19,754.0","20,211.0","28,205.0","26,507.0","22,613.0","24,304.0","26,047.0","27,900.0","28,420.0","29,214.0","28,898.0","36,344.0","36,590.0","42,013.0","49,199.0","62,589.0","63,499.0","84,786.0","70,498.0","82,815.0","160,818.0","224,551.0"
"63","44","    Net purchases of nonproduced assets","AD08RC1","111.0","-262.0","-432.0","-707.0","-3,195.0","-5,658.0","-414.0","-2,364.0","-1,404.0","-619.0","-2,823.0","-4,034.0","-5,484.0","-3,630.0","-4,899.0","-3,904.0","-1,148.0","-2,981.0","-398.0","-116.0","-694.0","-734.0","197.0","239.0","210.0","162.0","-7,389.0","-3,781.0","-7,597.0","-5,796.0","-375.0","-240.0","-664.0","290.0","-175.0","26.0","-479.0","-13,348.0","-1,299.0","-19,167.0","-7,043.0"
"64","45","    Less: Consumption of fixed capital","A918RC1","15,386.0","16,054.0","16,456.0","16,610.0","17,029.0","18,180.0","19,714.0","21,376.0","23,049.0","24,976.0","26,953.0","29,998.0","33,799.0","37,576.0","40,684.0","44,549.0","48,033.0","51,563.0","55,175.0","59,094.0","63,310.0","67,747.0","72,047.0","74,595.0","77,835.0","80,087.0","81,702.0","81,934.0","82,528.0","82,827.0","85,044.0","87,773.0","88,596.0","89,152.0","90,839.0","94,818.0","100,436.0","106,561.0","112,648.0","119,764.0","124,348.0"
"65","46","  Net lending or net borrowing (-)","AD02RC1","6,568.0","-15,578.0","-24,862.0","-20,271.0","-6,139.0","-10,402.0","-74,850.0","-57,516.0","-50,429.0","-37,666.0","-24,853.0","-69,091.0","-68,247.0","-148,707.0","-196,868.0","-199,202.0","-217,042.0","-233,587.0","-191,493.0","-171,166.0","-164,210.0","-213,082.0","-250,338.0","-328,226.0","-297,762.0","-229,276.0","-208,661.0","-153,913.0","-52,091.0","42,048.0","95,027.0","184,663.0","34,164.0","-277,956.0","-422,200.0","-426,827.0","-352,350.0","-247,230.0","-315,045.0","-755,188.0","-1,476,585.0"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Includes dividends tax for 1933-34 and automobile use tax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","for 1942-46 as shown in table 3.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Includes the capital stock tax for 1933-45 as shown in table 3.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","3. Prior to 1960, interest payments to persons and business (line 29)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","and interest receipts (line 13) are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","included in interest payments (line 28), which is shown net of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","interest receipts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","4. Beginning with 1959, includes royalties paid from petroleum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","production on the Outer Continental Shelf.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","5. Prior to 1959, subsidies (line 31) and the current surplus of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","government enterprises (line 18) are not shown separately; subsidies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","6. Prior to 1960, government social benefits to the rest of the world",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","(line 24) are included in line 27, ""other current transfer payments to the rest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","of the world (net).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
