"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"22","3","Plus: Imports of goods and services","A021RX1","199,557.0","238,927.0","235,831.0","233,240.0","232,476.0","237,071.0","236,527.0","240,195.0","237,364.0","255,270.0","260,913.0","243,228.0","278,775.0","268,870.0","274,466.0","286,830.0","300,085.0","291,435.0","283,384.0","285,499.0","275,816.0","290,427.0","285,351.0","282,519.0","254,171.0","233,832.0","253,272.0","266,791.0","283,505.0","295,783.0","307,851.0","318,040.0","333,096.0","336,167.0","331,482.0","336,185.0","358,739.0","359,875.0","364,574.0","369,574.0","368,562.0","370,552.0","364,901.0","372,874.0","373,150.0","346,071.0","321,182.0","338,417.0","352,872.0","353,406.0","349,375.0","359,396.0","349,154.0","343,449.0","359,383.0","345,276.0","353,182.0","380,333.0","409,957.0","430,067.0","464,643.0","484,108.0","496,636.0","511,188.0","499,909.0","524,468.0","519,408.0","539,764.0","539,272.0","562,239.0","577,818.0","582,268.0","578,785.0","593,219.0","604,757.0","618,659.0","615,767.0","608,688.0","623,058.0","642,039.0","645,019.0","648,074.0","647,192.0","658,904.0","679,801.0","678,664.0","675,927.0","657,802.0","650,309.0","661,865.0","680,494.0","695,528.0","700,585.0","712,105.0","723,336.0","740,646.0","756,683.0","772,320.0","782,488.0","813,928.0","832,894.0","863,924.0","888,226.0","913,220.0","933,245.0","942,119.0","945,357.0","957,436.0","988,561.0","1,010,688.0","1,043,461.0","1,064,042.0","1,109,488.0","1,146,733.0","1,188,991.0","1,214,654.0","1,260,215.0","1,289,095.0","1,306,469.0","1,348,725.0","1,383,077.0","1,427,155.0","1,478,929.0","1,514,404.0","1,575,814.0","1,623,851.0","1,680,568.0","1,679,324.0","1,654,828.0","1,605,542.0","1,566,677.0","1,548,000.0","1,586,785.0","1,640,366.0","1,667,429.0","1,697,394.0","1,676,895.0","1,700,926.0","1,720,712.0","1,784,380.0","1,829,767.0","1,903,065.0","1,930,724.0","1,979,660.0","1,991,032.0","2,012,901.0","2,025,235.0","2,081,994.0","2,121,325.0","2,144,880.0","2,170,548.0","2,168,061.0","2,192,720.0","2,217,475.0","2,244,568.0","2,182,397.0","2,174,606.0","2,190,400.0","2,189,780.0","2,052,211.0","1,840,835.0","1,789,850.0","1,880,823.0","1,903,558.0","1,954,800.0","2,101,053.0","2,184,241.0"
"23","4","Equals: Gross domestic purchases","A712RX1","4,345,850.0","4,353,119.0","4,383,454.0","4,352,135.0","4,342,453.0","4,344,137.0","4,383,298.0","4,338,017.0","4,454,227.0","4,498,069.0","4,529,250.0","4,545,908.0","4,637,448.0","4,744,808.0","4,780,410.0","4,860,395.0","4,977,481.0","5,010,174.0","4,972,639.0","5,004,451.0","4,941,339.0","4,954,785.0","4,921,299.0","4,887,411.0","4,782,894.0","4,802,488.0","4,920,493.0","4,982,266.0","5,123,007.0","5,174,905.0","5,205,359.0","5,253,379.0","5,342,833.0","5,440,996.0","5,527,130.0","5,546,563.0","5,588,192.0","5,761,699.0","5,819,223.0","5,883,691.0","5,891,309.0","5,898,455.0","5,913,492.0","5,909,882.0","5,914,261.0","5,736,953.0","5,683,868.0","5,823,406.0","5,958,433.0","5,908,782.0","5,985,920.0","5,925,524.0","5,836,374.0","5,855,741.0","5,881,549.0","5,887,776.0","5,965,184.0","6,136,811.0","6,292,129.0","6,438,960.0","6,599,965.0","6,726,058.0","6,795,976.0","6,859,467.0","6,907,358.0","6,998,459.0","7,105,471.0","7,170,011.0","7,220,698.0","7,272,996.0","7,349,245.0","7,370,303.0","7,405,038.0","7,479,215.0","7,533,616.0","7,655,856.0","7,657,390.0","7,726,331.0","7,772,424.0","7,878,855.0","7,935,232.0","7,967,092.0","8,020,236.0","8,041,177.0","8,118,999.0","8,139,154.0","8,130,166.0","8,030,123.0","7,976,796.0","8,017,477.0","8,056,204.0","8,087,823.0","8,167,913.0","8,268,366.0","8,349,064.0","8,453,152.0","8,485,841.0","8,548,111.0","8,607,443.0","8,730,231.0","8,828,242.0","8,955,209.0","9,006,597.0","9,114,150.0","9,142,223.0","9,158,735.0","9,196,054.0","9,259,136.0","9,345,167.0","9,513,167.0","9,623,747.0","9,686,077.0","9,789,662.0","9,930,360.0","10,072,690.0","10,178,312.0","10,315,208.0","10,449,116.0","10,607,226.0","10,788,180.0","10,925,454.0","11,039,882.0","11,198,669.0","11,400,535.0","11,471,251.0","11,701,802.0","11,738,601.0","11,813,906.0","11,767,823.0","11,832,962.0","11,824,073.0","11,877,911.0","11,996,470.0","12,079,660.0","12,156,039.0","12,198,452.0","12,236,095.0","12,356,082.0","12,543,756.0","12,660,810.0","12,762,294.0","12,901,398.0","13,009,482.0","13,136,809.0","13,248,954.0","13,296,841.0","13,404,421.0","13,494,217.0","13,648,718.0","13,695,519.0","13,722,810.0","13,755,717.0","13,786,222.0","13,891,161.0","13,935,764.0","13,922,415.0","13,866,902.0","13,850,132.0","13,737,248.0","13,463,342.0","13,212,630.0","13,143,675.0","13,239,758.0","13,338,234.0","13,467,600.0","13,637,744.0","13,778,194.0"
"24","5","Less: Change in private inventories","A014RX1","37,013.0","31,210.0","34,862.0","18,029.0","3,939.0","16,662.0","16,167.0","-14,348.0","38,479.0","32,965.0","31,473.0","-2,959.0","10,835.0","37,953.0","38,977.0","14,931.0","23,076.0","52,936.0","23,225.0","56,805.0","26,446.0","37,006.0","12,662.0","40,166.0","-15,390.0","-29,588.0","-5,783.0","-347.0","31,779.0","47,139.0","43,890.0","14,233.0","24,038.0","40,154.0","71,110.0","37,108.0","43,170.0","42,460.0","44,773.0","51,908.0","39,802.0","44,869.0","16,955.0","10,282.0","13,368.0","11,403.0","-48,822.0","-13,259.0","55,360.0","14,319.0","57,854.0","28,303.0","-27,215.0","-5,432.0","6,782.0","-52,846.0","-47,706.0","-6,693.0","-5,641.0","29,439.0","88,698.0","83,089.0","86,889.0","54,377.0","17,212.0","25,087.0","20,786.0","38,591.0","35,321.0","17,249.0","-9,450.0","-9,155.0","36,591.0","20,098.0","-657.0","76,752.0","17,900.0","22,874.0","20,709.0","26,188.0","54,384.0","41,038.0","10,769.0","16,291.0","15,113.0","37,019.0","24,927.0","-10,795.0","-17,231.0","-20,997.0","-507.0","33,021.0","2,727.0","23,904.0","21,119.0","23,843.0","40,276.0","26,832.0","6,292.0","15,598.0","50,523.0","90,485.0","56,041.0","80,091.0","65,862.0","37,721.0","8,211.0","16,493.0","3,163.0","26,774.0","62,015.0","32,778.0","43,189.0","103,888.0","75,428.0","86,976.0","117,202.0","43,242.0","60,576.0","65,481.0","89,433.0","41,067.0","44,552.0","99,080.0","18,741.0","101,007.0","63,074.0","58,110.0","-34,837.0","-10,665.0","-30,834.0","-90,747.0","-15,050.0","13,413.0","19,823.0","32,889.0","31,540.0","-3,491.0","2,961.0","38,347.0","52,379.0","78,658.0","62,691.0","71,577.0","91,430.0","15,543.0","11,807.0","81,030.0","65,813.0","72,544.0","67,510.0","31,825.0","17,324.0","44,868.0","36,093.0","12,617.0","-8,231.0","-20,570.0","-27,390.0","-94,321.0","-125,799.0","-161,784.0","-128,213.0","-36,701.0","44,131.0","68,847.0","111,509.0"
"25","6","Equals: Final sales to domestic purchasers","A713RX1","4,323,623.0","4,339,475.0","4,364,781.0","4,354,838.0","4,363,826.0","4,349,150.0","4,388,609.0","4,381,823.0","4,432,407.0","4,481,775.0","4,516,452.0","4,574,992.0","4,648,883.0","4,723,545.0","4,756,196.0","4,868,013.0","4,967,481.0","4,966,888.0","4,962,278.0","4,952,199.0","4,926,914.0","4,933,203.0","4,933,579.0","4,847,456.0","4,840,063.0","4,872,786.0","4,953,348.0","5,009,326.0","5,105,841.0","5,136,470.0","5,173,396.0","5,255,896.0","5,333,835.0","5,411,752.0","5,457,891.0","5,522,608.0","5,552,580.0","5,726,396.0","5,779,986.0","5,841,695.0","5,857,856.0","5,859,256.0","5,916,267.0","5,923,197.0","5,920,107.0","5,747,628.0","5,779,436.0","5,865,513.0","5,908,668.0","5,918,061.0","5,930,474.0","5,909,633.0","5,900,806.0","5,886,104.0","5,896,136.0","5,984,404.0","6,051,950.0","6,175,765.0","6,324,925.0","6,425,686.0","6,506,457.0","6,637,693.0","6,703,526.0","6,808,310.0","6,905,527.0","6,990,984.0","7,102,073.0","7,142,462.0","7,197,550.0","7,274,528.0","7,382,115.0","7,409,271.0","7,385,104.0","7,478,384.0","7,556,464.0","7,586,549.0","7,658,389.0","7,721,371.0","7,764,366.0","7,866,881.0","7,887,920.0","7,936,616.0","8,025,931.0","8,039,495.0","8,120,484.0","8,112,246.0","8,119,172.0","8,060,890.0","8,014,192.0","8,058,662.0","8,074,859.0","8,067,632.0","8,183,470.0","8,255,831.0","8,341,858.0","8,444,903.0","8,456,745.0","8,535,493.0","8,616,624.0","8,729,097.0","8,789,250.0","8,870,084.0","8,959,360.0","9,039,278.0","9,083,307.0","9,133,343.0","9,201,933.0","9,254,696.0","9,357,117.0","9,498,011.0","9,567,789.0","9,658,879.0","9,755,931.0","9,829,924.0","10,002,423.0","10,095,222.0","10,199,804.0","10,412,133.0","10,552,812.0","10,729,116.0","10,841,459.0","11,004,266.0","11,158,694.0","11,303,753.0","11,456,060.0","11,601,388.0","11,677,233.0","11,757,592.0","11,806,127.0","11,847,275.0","11,858,319.0","11,971,628.0","12,015,418.0","12,069,957.0","12,139,496.0","12,168,827.0","12,206,865.0","12,361,515.0","12,541,988.0","12,623,362.0","12,710,905.0","12,823,760.0","12,946,988.0","13,065,647.0","13,157,991.0","13,281,350.0","13,392,431.0","13,412,851.0","13,584,126.0","13,624,051.0","13,655,229.0","13,722,761.0","13,768,008.0","13,843,369.0","13,897,687.0","13,911,072.0","13,873,768.0","13,873,181.0","13,763,031.0","13,562,699.0","13,343,171.0","13,304,256.0","13,362,602.0","13,369,853.0","13,414,275.0","13,557,730.0","13,655,393.0"
"26",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","7","  Final sales of domestic product","A190RX1","4,221,815.0","4,242,588.0","4,264,575.0","4,265,395.0","4,276,956.0","4,268,734.0","4,306,985.0","4,299,003.0","4,352,199.0","4,382,298.0","4,420,853.0","4,474,155.0","4,536,307.0","4,611,616.0","4,653,182.0","4,761,426.0","4,865,813.0","4,889,670.0","4,895,738.0","4,901,419.0","4,895,375.0","4,900,791.0","4,885,695.0","4,814,705.0","4,852,350.0","4,902,083.0","4,946,162.0","5,004,604.0","5,073,780.0","5,090,881.0","5,122,374.0","5,193,950.0","5,242,681.0","5,326,975.0","5,383,006.0","5,426,932.0","5,433,812.0","5,649,436.0","5,701,241.0","5,774,472.0","5,792,716.0","5,792,441.0","5,876,433.0","5,903,241.0","5,914,704.0","5,798,789.0","5,874,369.0","5,926,829.0","5,955,968.0","5,967,848.0","5,974,754.0","5,939,509.0","5,922,812.0","5,920,257.0","5,881,483.0","5,968,642.0","6,031,688.0","6,117,075.0","6,230,535.0","6,312,388.0","6,354,608.0","6,471,087.0","6,530,762.0","6,625,957.0","6,738,264.0","6,789,600.0","6,899,854.0","6,928,073.0","6,999,371.0","7,052,177.0","7,151,424.0","7,191,978.0","7,172,756.0","7,268,405.0","7,355,237.0","7,388,269.0","7,497,508.0","7,587,884.0","7,623,952.0","7,721,923.0","7,759,158.0","7,834,527.0","7,933,203.0","7,943,108.0","8,029,307.0","8,032,754.0","8,048,588.0","8,020,019.0","7,987,964.0","8,045,422.0","8,056,541.0","8,049,149.0","8,173,541.0","8,232,049.0","8,322,479.0","8,409,066.0","8,403,609.0","8,474,053.0","8,540,519.0","8,642,819.0","8,689,043.0","8,762,243.0","8,857,169.0","8,928,350.0","8,966,403.0","9,019,396.0","9,126,837.0","9,180,089.0","9,259,357.0","9,392,071.0","9,433,029.0","9,565,428.0","9,632,633.0","9,709,308.0","9,862,528.0","9,925,948.0","9,988,321.0","10,157,133.0","10,274,324.0","10,448,496.0","10,517,306.0","10,648,210.0","10,779,724.0","10,917,484.0","11,027,635.0","11,158,007.0","11,206,355.0","11,278,054.0","11,335,068.0","11,385,224.0","11,373,823.0","11,472,838.0","11,496,425.0","11,528,861.0","11,579,700.0","11,569,082.0","11,616,471.0","11,743,825.0","11,933,413.0","12,005,297.0","12,076,216.0","12,136,270.0","12,241,057.0","12,339,165.0","12,443,249.0","12,572,035.0","12,671,167.0","12,667,239.0","12,851,310.0","12,890,967.0","12,898,340.0","13,027,762.0","13,071,141.0","13,146,400.0","13,230,370.0","13,352,175.0","13,346,167.0","13,382,406.0","13,249,638.0","13,094,063.0","12,964,162.0","12,971,411.0","12,984,468.0","13,051,139.0","13,085,459.0","13,114,741.0","13,154,464.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
