"","Table 7#16# Relation of Corporate Profits, Taxes, and Dividends ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","      Posttabulation amendments and revisions \1\","B1175C1","89.0","120.0","146.0","174.0","468.0","229.0","192.0","360.0","324.0","394.0","401.0","505.0","505.0","-2,556.0","-3,964.0","-2,924.0","-1,391.0","-540.0","-972.0","-831.0","-797.0","-1,019.0","-1,069.0","-1,247.0","-1,426.0","-443.0","-1,894.0","-2,145.0","-2,089.0","-183.0","646.0","1,375.0","686.0","364.0","410.0","522.0","726.0","501.0","544.0","650.0","988.0"
"22","4","      Income of organizations not filing corporation income tax returns","A1629C1","81.0","31.0","29.0","77.0","80.0","80.0","52.0","50.0","59.0","63.0","57.0","81.0","58.0","87.0","109.0","146.0","214.0","243.0","249.0","408.0","412.0","390.0","568.0","512.0","519.0","467.0","467.0","662.0","851.0","839.0","990.0","1,197.0","1,017.0","1,089.0","1,137.0","1,336.0","1,573.0","1,959.0","2,199.0","2,771.0","3,380.0"
"23","5","        Federal Reserve banks","B1630C1","38.0","6.0","0.0","21.0","7.0","8.0","6.0","5.0","9.0","1.0","9.0","14.0","8.0","14.0","26.0","55.0","94.0","89.0","89.0","228.0","235.0","190.0","294.0","346.0","394.0","322.0","296.0","468.0","625.0","595.0","734.0","942.0","773.0","863.0","954.0","1,135.0","1,342.0","1,685.0","1,953.0","2,502.0","3,075.0"
"24","6","        Federally sponsored credit agencies \2\","B1631C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7.0","15.0","14.0","20.0","19.0","41.0","27.0","26.0","31.0","31.0","32.0","34.0","41.0","45.0","57.0","69.0","73.0","81.0","97.0","118.0","91.0","106.0","103.0"
"25","7","        Other \3\","B1632C1","43.0","25.0","29.0","56.0","73.0","72.0","46.0","45.0","50.0","62.0","48.0","67.0","50.0","73.0","83.0","91.0","120.0","154.0","153.0","165.0","163.0","180.0","255.0","125.0","98.0","119.0","140.0","163.0","194.0","210.0","215.0","210.0","187.0","157.0","110.0","120.0","134.0","156.0","155.0","163.0","202.0"
"26","8","      Depletion on domestic minerals","B1176C1","559.0","463.0","268.0","246.0","246.0","312.0","349.0","437.0","524.0","437.0","438.0","475.0","544.0","578.0","644.0","712.0","693.0","596.0","944.0","1,454.0","1,229.0","1,409.0","1,576.0","1,582.0","1,720.0","1,836.0","2,122.0","2,350.0","2,560.0","2,373.0","2,474.0","2,685.0","2,679.0","2,765.0","2,865.0","3,274.0","3,435.0","3,595.0","3,862.0","4,276.0","4,236.0"
"27","9","      Adjustment to depreciate expenditures for mining exploration, shafts, and wells","B1177C1","88.0","47.0","-43.0","-22.0","-58.0","-36.0","4.0","52.0","132.0","99.0","91.0","107.0","117.0","36.0","63.0","206.0","250.0","275.0","339.0","636.0","581.0","697.0","857.0","1,002.0","1,080.0","1,120.0","1,200.0","1,204.0","1,061.0","776.0","824.0","612.0","543.0","608.0","370.0","434.0","385.0","339.0","269.0","240.0","321.0"
"28","10","      State and local taxes on corporate income","B1179C1","145.0","98.0","75.0","57.0","59.0","100.0","131.0","157.0","165.0","134.0","156.0","199.0","277.0","350.0","458.0","465.0","455.0","462.0","604.0","671.0","605.0","770.0","883.0","826.0","809.0","773.0","968.0","1,044.0","1,019.0","1,004.0","1,162.0","1,249.0","1,290.0","1,502.0","1,653.0","1,844.0","1,977.0","2,230.0","2,625.0","3,310.0","3,610.0"
"29","11","      Interest payments of regulated investment companies","B1181C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-52.0","-237.0"
"30","12","      Bad debt expense","B1182C1","942.0","980.0","1,183.0","1,313.0","1,249.0","1,182.0","965.0","901.0","756.0","672.0","715.0","617.0","736.0","544.0","418.0","336.0","277.0","346.0","685.0","712.0","825.0","755.0","757.0","941.0","1,144.0","1,350.0","1,653.0","1,920.0","1,894.0","2,083.0","2,331.0","2,849.0","3,144.0","3,507.0","3,540.0","3,908.0","4,230.0","4,273.0","4,422.0","4,910.0","5,875.0"
"31","13","      Disaster adjustments (net) \4\","W779RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"32",NA,"Less: Tax-return measures of:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","14","        Gains, net of losses, from sale of property","B1183C1","745.0","-242.0","-1,288.0","-1,565.0","-1,355.0","-54.0","187.0","372.0","143.0","44.0","37.0","-720.0","-994.0","-203.0","-196.0","19.0","569.0","1,064.0","666.0","694.0","570.0","959.0","1,132.0","1,055.0","811.0","1,792.0","1,697.0","1,676.0","1,577.0","2,846.0","1,794.0","2,603.0","4,019.0","3,422.0","3,610.0","3,910.0","5,211.0","5,391.0","7,542.0","8,919.0","7,775.0"
"34","15","        Dividends received from domestic corporations","B1184C1","2,593.0","2,571.0","1,969.0","1,260.0","1,026.0","2,217.0","3,014.0","2,676.0","2,682.0","1,791.0","1,906.0","2,021.0","2,235.0","1,344.0","1,334.0","1,429.0","1,418.0","1,713.0","1,882.0","2,194.0","2,162.0","2,460.0","2,377.0","2,350.0","2,389.0","2,332.0","2,572.0","2,688.0","2,681.0","2,829.0","2,948.0","3,082.0","3,275.0","3,641.0","3,592.0","4,022.0","4,521.0","4,435.0","4,420.0","4,856.0","5,031.0"
"35","16","        Income on equities in foreign corporations and branches (to U.S. corporations)","B1185C1","417.0","334.0","150.0","67.0","90.0","173.0","290.0","343.0","357.0","369.0","328.0","356.0","338.0","309.0","266.0","385.0","393.0","640.0","961.0","1,147.0","1,174.0","1,504.0","1,920.0","1,841.0","1,901.0","1,829.0","2,393.0","2,487.0","2,667.0","2,694.0","2,814.0","2,945.0","3,477.0","3,556.0","4,308.0","5,162.0","5,246.0","5,714.0","6,454.0","7,138.0","7,808.0"
"36","17","      Costs of trading or issuing corporate securities \5\","B1186C1","320.0","180.0","97.0","41.0","44.0","35.0","99.0","150.0","97.0","60.0","70.0","70.0","58.0","33.0","46.0","76.0","144.0","181.0","144.0","159.0","131.0","161.0","194.0","206.0","191.0","233.0","291.0","286.0","317.0","322.0","396.0","386.0","504.0","416.0","446.0","487.0","569.0","729.0","1,023.0","1,254.0","1,411.0"
"37","18","Plus: Income received from equities in foreign corporations and branches by all U.S. residents, net of corresponding payments","B1187C1","232.0","137.0","-4.0","-34.0","-2.0","60.0","159.0","104.0","272.0","301.0","324.0","266.0","391.0","378.0","372.0","423.0","342.0","691.0","986.0","1,261.0","1,125.0","1,269.0","1,744.0","1,888.0","1,798.0","1,962.0","2,354.0","2,821.0","3,092.0","2,523.0","2,718.0","3,137.0","3,316.0","3,772.0","4,081.0","4,469.0","4,706.0","4,528.0","4,775.0","5,636.0","6,595.0"
"38","19","Equals: Profits before taxes, NIPAs","A053RC1","10,595.0","4,291.0","357.0","-1,480.0","1,728.0","3,079.0","4,216.0","6,931.0","7,450.0","4,443.0","7,628.0","10,437.0","18,342.0","22,047.0","25,552.0","24,455.0","20,021.0","24,936.0","31,945.0","35,876.0","29,607.0","43,233.0","44,788.0","40,230.0","41,683.0","39,343.0","49,884.0","50,463.0","49,080.0","42,963.0","53,756.0","51,631.0","51,569.0","57,006.0","62,079.0","69,096.0","80,150.0","86,700.0","83,547.0","92,439.0","91,371.0"
"39","20","Federal income and excess profits taxes, IRS","B1188C1","1,193.0","712.0","399.0","286.0","423.0","596.0","779.0","1,192.0","1,276.0","860.0","1,232.0","2,549.0","7,168.0","12,256.0","15,926.0","14,884.0","10,795.0","8,875.0","10,982.0","11,920.0","9,817.0","17,317.0","22,082.0","19,148.0","19,869.0","16,861.0","21,741.0","21,364.0","20,582.0","18,814.0","22,525.0","21,866.0","22,188.0","23,930.0","26,298.0","27,857.0","31,662.0","34,449.0","33,301.0","39,694.0","39,374.0"
"40","21","Plus: Posttabulation amendments and revisions, including results of audit and renegotiation and carryback refunds","B1189C1","62.0","61.0","43.0","47.0","58.0","76.0","73.0","96.0","100.0","78.0","99.0","146.0","228.0","-1,123.0","-2,230.0","-2,307.0","-465.0","-71.0","-163.0","-59.0","-142.0","108.0","-36.0","-280.0","-92.0","440.0","39.0","181.0","332.0","-308.0","227.0","-92.0","109.0","139.0","420.0","290.0","272.0","197.0","53.0","-55.0","-432.0"
"41","22","      Amounts paid to U.S. Treasury by Federal Reserve banks","B1190C1","4.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75.0","167.0","193.0","197.0","255.0","292.0","343.0","276.0","252.0","402.0","543.0","524.0","911.0","897.0","687.0","799.0","880.0","1,582.0","1,297.0","1,649.0","1,907.0","2,464.0","3,019.0"
"42","23","      State and local taxes on corporate income","B1179C1","145.0","98.0","75.0","57.0","59.0","100.0","131.0","157.0","165.0","134.0","156.0","199.0","277.0","350.0","458.0","465.0","455.0","462.0","604.0","671.0","605.0","770.0","883.0","826.0","809.0","773.0","968.0","1,044.0","1,019.0","1,004.0","1,162.0","1,249.0","1,290.0","1,502.0","1,653.0","1,844.0","1,977.0","2,230.0","2,625.0","3,310.0","3,610.0"
"43","24","      Taxes paid by domestic corporations to foreign governments on income earned abroad","B1199C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","81.0","86.0","109.0","123.0","140.0","170.0","189.0","223.0","248.0","263.0","303.0"
"44","25","Less: U.S. tax credits claimed for foreign taxes paid","B1191C1","35.0","29.0","19.0","7.0","19.0","28.0","32.0","36.0","39.0","43.0","46.0","60.0","63.0","68.0","80.0","93.0","96.0","162.0","230.0","278.0","270.0","467.0","625.0","587.0","642.0","726.0","959.0","998.0","1,053.0","1,070.0","1,179.0","1,224.0","1,493.0","1,564.0","1,915.0","2,270.0","2,616.0","2,861.0","3,160.0","3,664.0","3,988.0"
"45","26","      Investment tax credit \6\","B1192C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","834.0","1,105.0","1,318.0","1,716.0","2,006.0","2,075.0","2,384.0","1,909.0"
"46","27","      Other tax credits \6\","B1193C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"47","28","Equals: Taxes on corporate income, NIPAs","A054RC1","1,369.0","842.0","498.0","385.0","521.0","744.0","951.0","1,409.0","1,502.0","1,029.0","1,441.0","2,834.0","7,610.0","11,415.0","14,074.0","12,949.0","10,689.0","9,104.0","11,268.0","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,727.0","22,782.0","22,890.0","24,095.0","26,371.0","28,155.0","31,065.0","33,881.0","32,899.0","39,628.0","39,977.0"
"48","29","Profits after tax, NIPAs (19-28)","A055RC1","9,226.0","3,449.0","-141.0","-1,865.0","1,207.0","2,335.0","3,265.0","5,522.0","5,948.0","3,414.0","6,187.0","7,603.0","10,732.0","10,632.0","11,478.0","11,506.0","9,332.0","15,832.0","20,677.0","23,455.0","19,404.0","25,308.0","22,229.0","20,831.0","21,396.0","21,719.0","27,843.0","28,470.0","27,657.0","23,999.0","30,029.0","28,849.0","28,679.0","32,911.0","35,708.0","40,941.0","49,085.0","52,819.0","50,648.0","52,811.0","51,394.0"
"49","30","Dividends paid in cash or assets, IRS","B1194C1","8,520.0","8,184.0","6,151.0","3,886.0","3,127.0","4,859.0","5,941.0","7,379.0","7,514.0","5,013.0","5,747.0","6,089.0","6,701.0","5,607.0","5,728.0","6,057.0","6,081.0","7,497.0","8,365.0","9,386.0","9,569.0","11,553.0","11,300.0","11,263.0","11,601.0","11,913.0","13,592.0","14,498.0","14,914.0","14,952.0","16,242.0","17,193.0","18,038.0","19,565.0","21,105.0","23,305.0","25,998.0","27,033.0","28,239.0","31,563.0","32,951.0"
"50","31","Plus: Posttabulation amendments and revisions \7\","B1195C1","22.0","18.0","13.0","5.0","13.0","18.0","20.0","21.0","26.0","38.0","38.0","44.0","39.0","40.0","49.0","30.0","-5.0","-85.0","-46.0","-37.0","-31.0","-58.0","-126.0","-117.0","-102.0","-178.0","-290.0","-377.0","-359.0","-347.0","-588.0","-590.0","-512.0","-693.0","-522.0","-89.0","-716.0","-1,557.0","-1,838.0","-2,686.0","-2,710.0"
"51","32","      Dividends paid by Federal Reserve banks and certain federally sponsored credit agencies \2\","B1196C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","4.0","9.0","9.0","10.0","10.0","10.0","9.0","9.0","11.0","10.0","6.0","13.0","20.0","29.0","43.0","60.0","75.0","84.0","91.0","110.0","104.0","111.0","117.0"
"52","33","      U.S. receipts of dividends from abroad, net of payments to abroad","B1197C1","232.0","137.0","-4.0","-34.0","-2.0","60.0","159.0","104.0","122.0","247.0","184.0","234.0","231.0","225.0","238.0","293.0","228.0","425.0","689.0","836.0","832.0","984.0","1,162.0","1,099.0","1,135.0","1,422.0","1,579.0","1,813.0","1,886.0","1,734.0","1,862.0","1,956.0","2,395.0","2,671.0","2,674.0","3,203.0","3,331.0","2,842.0","3,180.0","3,368.0","3,836.0"
"53","34","      Earnings remitted to foreign residents from their unincorporated U.S. affiliates","B1634C1","24.0","23.0","19.0","12.0","10.0","10.0","16.0","24.0","24.0","22.0","23.0","12.0","10.0","9.0","7.0","6.0","31.0","7.0","23.0","41.0","74.0","77.0","65.0","66.0","83.0","76.0","75.0","63.0","59.0","85.0","85.0","66.0","51.0","65.0","57.0","45.0","56.0","94.0","114.0","110.0","124.0"
"54","35","      Interest payments of regulated investment companies","B1635C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-52.0","-237.0"
"55","36","Less: Dividends received by U.S. corporations","B1198C1","2,830.0","2,760.0","2,061.0","1,303.0","1,080.0","2,318.0","3,177.0","2,869.0","2,891.0","2,103.0","2,156.0","2,266.0","2,418.0","1,500.0","1,468.0","1,574.0","1,552.0","1,967.0","2,223.0","2,576.0","2,614.0","3,104.0","3,007.0","2,898.0","2,965.0","2,945.0","3,344.0","3,446.0","3,453.0","3,754.0","3,988.0","4,154.0","4,790.0","5,076.0","5,474.0","6,506.0","6,734.0","6,312.0","6,601.0","6,948.0","7,935.0"
"56","37","      Earnings of U.S. residents remitted by their unincorporated foreign affiliates","B1636C1","167.0","134.0","52.0","22.0","30.0","62.0","115.0","136.0","135.0","52.0","70.0","97.0","132.0","127.0","108.0","196.0","184.0","303.0","491.0","623.0","601.0","624.0","834.0","863.0","875.0","1,015.0","1,145.0","1,281.0","1,311.0","1,117.0","1,063.0","1,134.0","1,324.0","1,565.0","1,679.0","1,848.0","1,821.0","1,540.0","1,688.0","1,931.0","1,907.0"
"57","38","Equals: Net corporate dividend payments, NIPAs","B056RC1","5,801.0","5,468.0","4,066.0","2,544.0","2,038.0","2,567.0","2,844.0","4,523.0","4,660.0","3,165.0","3,766.0","4,016.0","4,431.0","4,254.0","4,446.0","4,617.0","4,600.0","5,574.0","6,321.0","7,036.0","7,238.0","8,838.0","8,570.0","8,560.0","8,886.0","9,282.0","10,478.0","11,280.0","11,742.0","11,566.0","12,570.0","13,366.0","13,901.0","15,027.0","16,236.0","18,194.0","20,205.0","20,670.0","21,510.0","23,535.0","24,239.0"
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Consists largely of an adjustment to expense all meals and entertainment, of oilwell bonus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","payments written off, of adjustments for insurance carriers and savings and loan associations,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","of amortization of intangible assets, and of tax-exempt interest income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2. Consists of the Farm Credit System beginning with 1947 and the Federal Home Loan Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","beginning with 1952.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists of nonprofit organizations serving business and of credit unions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Consists of disaster losses valued at historic-cost less net insurance receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","for disaster-related losses valued at replacement-cost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","5. Includes the imputed financial service charge paid by corporations to domestic securities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","dealers who do not charge an explicit commission.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","6. Beginning with 1984, the investment tax credit is included in other tax credits (line 27).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","7. Consists largely of an adjustment to remove capital gains distributions of regulated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","investment companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
