"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218"
"11","3","  Durable goods manufacturing industries","KP30D0",181983,188465,190135,193434,190712,195974,199814,197244,199494,197600,202490,202336,197019,206325,206436,203594,204743,199405,196567,204421,207532,210880,212139,212692,212765,214917,212177,214285,217799,214737,215451,219892,216459,219432,218193,219402,226157,213646,219405,225102,220899,223195,219779,217418,224030,218256,214975,218925,209795,213990,210910,201868,208321,205251,200765,200979,194807,195345,195536,198183,196852,196935,195826,202395,202365,200611,201204,203015,200691,200947,200994,194014,198455,199919,200360,196610,198993,200554,202750,198748,205937,205369,205872,204633,201752,203040,210107,204969,203541,204814,202837,206350,206820,206519,207541,211401,212929,211314,209044,215149,213464,214645,210710,216223,218763,220904,221345,227298,221853,225119,225304,218136,223852,223456,215940,222571,218988,219226,220164,226537,220247,224300,226731,227257,230482,228621,231375,233582,230669,229556,230119,229968,232992,229700,222309,226296,222198,220905,220889,211494,211147,200107,192346,188639,174710,175100,171975,167738,164934,164461,171922,169643,174218,173958,176323,180922,183486,179059,180792,185467,185652,185253,193422,193367,195181,193256,192944,196383,196926,195455,202437,195931,197034,198149,201716,204047,202500,205659,204710,208606,211719,209121,209754,211051,214163,212880,214032,211079,212642,212310,214838,216840,215045,216190,217138,215495,219125,218867,217906,220352,221346,221389,225806,220671,219354,221386,224848,224859,224476,227207,235050,230727,231486,230310,229241
"12","4","    Wood product manufacturing","KP3210",7690,7538,7566,7734,7578,7737,8050,7804,7974,7737,7909,7866,8076,8149,8076,7924,7854,8092,7986,7868,7772,8044,8179,8366,8158,8570,8343,8558,8549,8282,8458,8252,8201,8336,8418,8528,8846,8612,9067,8391,8426,8163,7945,8067,8103,7997,7743,7849,7625,7751,7617,7777,7895,7898,7970,7819,7809,7777,7714,7791,7965,8074,7930,8026,8044,8113,8221,8034,7790,8005,8187,8025,8045,7723,7948,7835,7771,7995,8034,8146,8136,8289,8381,7967,8032,7726,8131,8356,8378,8121,8286,8629,8225,8050,8292,8629,8432,8547,8493,8631,8611,8491,8659,8761,8849,9192,9463,9553,9645,9812,9508,8779,8802,8895,8510,8692,8505,8298,8349,9265,8202,7981,8142,8060,8329,8255,8131,8242,8185,8006,7944,8075,7896,7612,7424,7395,7048,7251,7081,6878,6651,6703,6237,5781,5314,5517,5407,5431,5444,5374,5356,5432,5481,5460,5452,5434,5490,5683,5693,5883,5774,5595,5605,5540,5549,5642,5733,5894,5663,5509,5670,5673,5618,5700,5784,5707,5740,5761,5823,5886,6044,5849,5855,5830,5829,5805,5881,5899,5794,6026,5836,5989,6220,6260,6132,6140,6308,6300,6356,6369,6463,6428,6487,6353,6341,6321,6518,6846,6914,7073,7006,6846,6770,6725,6693
"13","5","    Nonmetallic mineral product manufacturing","KP3270",9142,9370,9567,9664,9626,9675,9735,9745,9786,9675,9762,9648,9857,9967,10047,10138,10386,10235,10193,10131,10107,10139,10283,10431,10246,10314,10270,10131,10179,10205,10157,10322,10349,10406,10517,10471,10584,10022,10477,10582,10202,10224,10426,10187,10422,10268,10053,10022,9960,10085,9919,9892,10185,10111,10053,10100,9773,9905,9808,9806,9836,9845,9882,10137,10092,10079,9934,10018,9968,9790,9753,9704,9874,9758,9872,9811,9961,10077,10242,10204,10512,10670,9702,9811,9790,9705,10495,10407,10154,10281,10461,10430,10314,10310,10571,10669,10621,10582,10646,10782,10750,10806,10697,10832,10954,11053,11180,11290,11599,11629,11354,10912,11128,11114,10907,10845,10869,10977,10837,11240,11129,11273,11363,11268,11389,11086,11044,11000,10828,10884,10729,10443,10418,10347,10110,10259,10130,10120,10027,9682,9615,9444,8475,8175,7852,7878,7374,7237,7276,7345,7640,7547,7537,7350,7355,7382,7378,7358,7488,7714,7709,7737,7729,7681,7666,7624,7583,7400,7707,7635,7715,7552,7588,7664,7640,7649,7710,7816,7956,8150,7803,7756,7725,7777,7815,7657,7706,7694,7676,7801,7767,7867,7795,7802,7652,7804,7891,7986,7967,8069,8090,8138,8035,7935,8027,8088,8134,8318,8225,8264,8387,8330,8491,8460,8304
"14","6","    Primary metal manufacturing","KP3310",18124,18696,18384,18574,18402,18823,18675,18697,18849,18746,19420,19087,19266,19870,19555,19412,19254,18819,18718,19170,18880,18884,18704,18504,18668,18845,18514,18467,18864,18658,18823,18984,19093,18936,19076,19462,19408,18466,18545,18671,17751,18364,18310,17575,18013,17613,17427,17455,16873,17104,16817,16311,16767,16705,16840,16693,16402,16367,16375,16171,16270,16328,16555,17048,17082,16971,16836,17059,16818,16970,16626,16341,16573,16149,16183,15905,16110,15751,16113,15796,16065,16489,16592,16892,16964,17002,17784,17255,16994,17768,17983,17970,17909,17734,17988,18266,18170,17990,17924,17960,17738,17993,17504,18362,18887,19025,18706,18687,18799,18513,18566,18086,18494,18653,18244,18544,17978,17612,17729,18316,18462,18426,18421,18284,18552,18221,18476,18645,19356,19986,20062,20199,20369,20316,19219,19566,18942,18869,19154,18722,18242,17542,16581,15575,14201,14352,13428,13187,12932,13006,14413,14266,14273,14918,15207,15975,15641,15963,16546,16486,16584,16753,17254,17699,17762,17310,17374,17323,17700,17121,17627,17212,17528,18133,18350,18368,18624,19464,19802,21147,20614,20469,20216,20342,20855,20553,20783,21050,20741,20554,21408,21863,21286,21215,20924,21242,21170,21589,21943,22148,22351,22501,22684,22433,22155,21945,22347,22683,22618,22906,23142,23048,23121,23221,22987
"15","7","    Fabricated metal product manufacturing","KP3320",26564,27160,27263,28161,27334,28184,27852,28149,28372,28369,28528,28394,28252,29061,28874,28548,28910,28763,28931,28872,28783,28806,28957,29075,29031,29075,28500,28826,29050,28789,28969,28946,28889,29342,29610,29643,30370,29114,30377,30705,29829,30370,30177,29609,30027,29312,29244,29673,28868,28964,28642,27961,30859,27683,27544,28077,27034,27027,26703,26627,26708,26853,26635,27626,27320,27515,27186,27613,27471,27374,27175,26662,26432,27619,27337,26835,26840,26680,27203,26435,26686,27000,26819,26942,26302,25886,27718,26904,26675,26399,26904,26742,26870,26696,27431,27423,27726,27611,27456,28502,28154,28216,27722,28272,28719,29119,29245,29717,29861,30232,30248,29824,29993,30107,29223,29548,29504,29360,29510,30416,30353,30510,30690,31201,31283,31255,31293,31529,30934,31253,31359,31145,31793,31527,30655,31859,31108,30932,30647,29600,29060,28329,27451,25787,24820,24412,23877,23035,22674,22690,23194,23097,23215,23393,23540,23432,23481,23705,23750,24219,24647,24438,24363,24652,24923,24977,25273,25550,25360,25541,26548,25645,25835,26035,26171,26319,26729,26759,27032,27592,27650,27204,27420,26816,26762,26866,26779,26869,26926,26942,27060,27093,27479,27409,26935,27408,27255,27155,27221,27178,27259,27438,27495,27260,27297,27598,27715,27567,27739,28215,28244,28230,28475,28343,28408
"16","8","    Machinery manufacturing","KP3330",26463,27728,28483,28338,27857,29314,28771,28843,29755,29175,29821,30641,29389,29937,30599,29356,30057,30439,29259,28636,29096,28884,28573,29094,27983,28155,27882,27867,28685,29089,28256,28772,29494,29566,29023,30474,30343,28397,30281,30924,29680,30271,30364,30022,30682,29770,29429,30352,29473,29334,28913,27383,27858,27361,26712,27258,25912,26035,25103,25257,24460,25381,25475,25152,26404,26581,25529,26326,26889,25928,26356,26120,25189,25414,26589,25419,26537,26610,25562,25854,26302,25374,25806,26173,25124,24663,27109,26377,25753,26936,26968,26679,27611,27682,26740,28689,28506,28269,28007,28435,28403,28466,28357,28706,29080,29163,29517,30376,29373,29226,30327,29808,29739,30514,29637,30486,30060,30424,30193,31172,28366,29987,31215,32005,31904,31894,31879,31779,32024,31014,31133,31824,30918,31756,31658,31420,30475,30875,30284,29733,30687,29162,28927,28508,25544,25389,24459,23469,23473,23874,23204,22734,23603,23392,24092,25055,24194,24847,25881,25555,26586,26897,25762,26775,27545,26800,27063,29246,28093,27537,29535,28285,28769,29575,29544,31716,31032,30496,30370,31789,29928,30451,32222,30926,30908,32175,31996,31950,31695,31584,32776,32387,32148,32719,32582,31951,32385,31738,31656,31951,31843,32035,33401,33582,32151,32809,33768,33323,33322,33142,34206,34247,34351,34006,33971
"17","9","    Computer and electronic product manufacturing","KP3340",20749,21757,22581,22303,22647,23483,23696,24263,24336,23850,23633,24311,23218,24682,24742,24417,24346,25167,24582,24829,25827,25696,26011,26550,26183,26706,26723,27314,27876,28282,29292,28680,28549,28958,28752,28305,29343,29327,30263,31305,31833,31555,31952,32459,33237,32656,32253,33714,31846,31526,30555,27939,27219,27829,26538,25797,25902,25339,25108,25837,24751,24892,24835,24225,24491,24077,23767,24038,23391,22964,23431,22523,23357,23642,23626,23946,23976,24596,24526,25122,25730,26367,26093,26424,26204,25936,25999,26441,26556,26441,26933,26992,26625,27377,27298,27309,27563,27399,27993,27226,27647,27945,27359,28131,28349,27984,28603,29855,28568,31061,30078,29194,30066,30127,29399,30542,30086,29389,30293,29467,29606,31509,30691,30977,31566,31466,30218,31903,32277,31211,32307,33114,33830,32598,32331,32324,32858,31592,31806,30801,31186,28831,28769,30283,26313,26837,27346,26149,26007,25838,27487,26729,26503,27436,27086,26979,29997,27732,26196,29064,28049,25422,29275,29117,29072,29081,29843,29072,29813,29747,29381,29880,30316,29394,29595,30671,30202,30091,30485,29439,30426,30904,28758,30523,31848,30738,31892,29246,30361,31262,29733,30535,29705,29572,30544,29077,29440,29690,29121,29751,30158,29470,30332,30422,30963,30656,31013,31066,30662,31271,32249,31893,31121,30995,30827
"18","10","    Electrical equipment, appliance, and component manufacturing","KP3350",11044,11148,11119,11550,11257,11471,11418,11461,11815,11983,12124,11530,11830,12146,11929,11732,11827,11730,11906,11908,12061,11822,12011,12158,11908,12089,11956,12142,12239,11997,12337,12676,12106,12323,12351,12217,13081,12496,12827,12891,12687,12971,12923,12700,12810,12699,12938,13028,12604,12974,12611,12219,12264,12117,11354,11502,10745,10805,10292,10834,10271,10543,10726,10821,10921,10699,10516,10448,10453,10496,10680,10488,10430,10252,10366,10112,10137,10217,10385,10037,10439,10462,10686,10658,10352,10350,10486,10469,10498,10402,10741,10673,10700,10577,10779,10750,10874,10885,10433,10650,10672,10740,10813,10967,11088,11198,11155,10918,11037,10898,10963,10734,11145,10869,10753,10855,10681,10683,10603,11043,11155,11225,11503,11602,11301,11240,11170,11336,11329,11292,11158,11233,11455,11178,10972,11172,11279,11139,11451,10982,10867,10674,9795,9789,9141,9256,8775,8917,8659,8670,8901,8496,8483,8731,8766,8741,8624,8703,8801,9036,8813,8926,8993,9096,9063,9279,9341,9514,9361,9385,9626,9381,9456,9505,9311,9712,9799,9599,9561,9680,9835,9649,9773,9706,9730,9590,9587,9557,9540,9404,9581,9686,9654,9755,9613,9522,9730,9658,9638,9526,9455,9671,9677,9516,9529,9506,9685,9549,9550,9741,9904,9918,9929,9812,9952
"19","11","    Transportation equipment manufacturing","KP3360",49308,51496,51160,53740,52052,52909,57201,53679,53811,53431,56997,56092,52580,57372,57062,57027,57425,50051,49351,57239,58645,62444,62801,61507,63413,63709,62355,63332,64362,61430,60703,65107,61630,63248,62292,62396,65997,58911,58685,61637,60000,61134,57129,55834,59451,56606,54910,55294,51848,55485,55793,53272,57097,56943,55343,55575,53120,54170,56524,57712,57991,56419,55377,60713,59160,58235,60398,60662,59536,60865,59925,55531,59840,60618,59662,58154,58982,59893,61487,57558,62447,60751,61648,60054,59308,62263,63037,59422,59098,58898,55360,58756,59151,58236,58225,58925,60320,59446,57324,62242,60806,61311,59184,61725,62145,63605,62409,65445,61689,62213,62842,59689,63166,61813,58130,61895,59872,61570,61759,64813,62427,62926,64259,63699,66113,65078,69219,68584,65169,64984,64580,62984,65496,63809,59611,61528,59572,59735,60342,55005,55217,50299,47267,46886,44176,44008,44221,43389,41613,40789,44424,44372,48322,46393,48024,50863,51685,47736,49151,50229,50119,52149,57115,55481,56397,55272,53312,55385,55527,55711,58746,54852,54568,54633,57847,56550,55299,57954,56028,56905,61355,58994,59586,61096,62464,61484,61703,60553,61725,60739,62330,63119,62297,62989,64502,63967,66370,66049,65139,66319,66690,66722,68534,63899,63897,65300,66356,66020,66044,67244,72550,68710,69111,68611,67933
"20","12","      Motor vehicle and parts manufacturing","KP3MV0",34419,35398,34670,36072,34913,35381,38465,36777,36630,37014,38655,37949,34941,38606,38659,38036,39235,32435,31462,38154,39374,41129,41673,41936,42472,43497,42938,42478,43670,43202,41311,43757,43531,43620,43218,43286,45506,41818,42158,42708,40291,41990,39800,37474,41106,39395,37036,37531,34409,37180,38229,36347,38658,37576,36998,36959,34579,36438,38075,38440,39383,38334,37230,42952,41975,40965,42656,43777,41782,43711,42281,38695,43588,42942,42298,41778,42338,42588,44170,41350,44970,44080,43804,43438,42919,44102,45744,43306,41784,42169,39053,41975,42479,41284,42288,43150,43324,43037,40251,43621,42991,43540,41621,43681,45610,45181,43267,44420,44559,43769,45043,42524,45205,44285,40777,43584,41012,42702,42108,45336,41497,42753,43876,42719,44199,43632,46794,45214,43211,41798,41675,41088,41612,41160,37345,37883,36238,36603,36718,33031,33590,30309,29442,26950,24432,24123,23893,23773,22180,21282,25357,25787,27190,26993,28430,29830,31258,27810,29434,30441,31595,33273,35704,35898,36661,35748,34456,35709,36071,35744,38903,34870,35285,35183,37830,36020,35648,37003,36220,36962,37979,37808,38301,39814,40479,39872,40191,39161,39251,38211,39537,40384,40673,41932,42072,43358,42735,43036,42614,43527,43875,43779,45374,41955,41087,43248,43661,43450,44262,43900,48324,44997,45252,44619,44779
"21","13","      Other transportation equipment manufacturing","KP3OT0",14797,16179,16731,18033,17501,17930,19101,17031,17387,16424,18604,18430,18099,19123,18681,19447,18379,18294,18714,19548,19665,21965,21691,19795,21392,20427,19520,21288,20987,18066,19632,21768,17894,19719,19092,19129,20587,16857,16161,18965,20085,19282,17312,18710,18412,17214,18165,17996,17844,18651,17715,17105,18703,19853,18708,19024,19099,18039,18755,19673,18853,18319,18458,17659,17060,17219,17653,16618,17716,16930,17567,16853,15931,17567,17253,16171,16446,17170,17105,16009,17243,16390,17708,16362,16134,18036,17003,15816,17207,16542,16214,16610,16470,16826,15679,15472,16797,16177,16986,18536,17692,17627,17461,17913,16252,18280,19088,21034,16957,18336,17635,17026,17803,17373,17249,18194,18802,18786,19594,19363,20915,20118,20319,20946,21884,21415,22383,23348,21937,23189,22906,21887,23899,22656,22282,23661,23346,23146,23634,21972,21635,19994,17819,19937,19745,19885,20325,19612,19430,19506,19067,18588,21130,19403,19594,21037,20429,19930,19722,19793,18541,18900,21425,19625,19784,19568,18899,19719,19506,20007,19924,20009,19333,19495,20087,20561,19700,20994,19857,19996,23398,21229,21330,21341,22040,21667,21570,21444,22511,22559,22832,22781,21685,21137,22495,20721,23683,23078,22594,22867,22895,23020,23248,22019,22866,22137,22773,22652,21892,23411,24338,23786,23933,24053,23232
"22","14","    Furniture and related product manufacturing","KP3370",6675,6939,6887,6782,6708,6765,6753,6770,6855,6947,7022,7001,7279,7240,7347,7194,7095,7231,7503,7356,7385,7323,7449,7452,7617,7637,7591,7350,7666,7644,7459,7547,7571,7476,7408,7565,7341,7329,7645,7864,7766,7688,7765,7772,7707,7761,7658,7570,7533,7565,7414,7377,7270,7048,7235,7398,7079,7205,7132,7198,7306,7412,7416,7603,7559,7658,7493,7582,7730,7710,7653,7857,7612,7581,7470,7101,7374,7386,7477,7600,7525,7532,7606,7266,7618,7406,7373,7512,7645,7580,7678,7697,7594,7681,7609,7756,7825,7888,7836,8072,7942,7874,7860,7731,7854,7878,8062,8092,8113,8036,7963,8054,7875,7791,7603,7670,7726,7623,7560,7756,7558,7520,7712,7599,7538,7605,7675,7667,7669,7714,7629,7531,7416,7241,7162,7295,7190,7165,6956,6850,6746,6322,6106,5779,5309,5343,5179,5058,5016,4990,5069,5001,4897,4854,4821,4846,4779,4915,4901,4834,4974,5022,4909,4838,4915,4847,5058,4971,5115,5060,5222,5144,5120,5112,4965,5073,4990,5011,4948,5023,5170,5013,5139,5150,5140,5083,5081,5134,5150,5122,5116,5222,5202,5225,5212,5267,5255,5291,5286,5317,5321,5321,5401,5332,5243,5290,5283,5334,5222,5322,5356,5399,5400,5477,5470
"23","15","    Miscellaneous durable goods manufacturing","KP3390",9814,10057,10015,10000,10049,10364,10150,9911,10263,10259,10363,10303,10419,10567,10849,10384,10344,10973,10468,10680,10636,10539,10693,10822,10941,10968,10956,10866,10845,10572,10623,10749,10841,10944,10976,11025,11111,10520,10838,11463,11267,11438,11630,11463,11694,11700,11576,11687,11447,11711,11372,11341,11413,11180,11309,11354,11157,11092,11037,10861,11622,11617,11520,12010,12236,11803,12336,12308,11967,12232,12357,12173,12051,12065,12284,12140,12059,11772,12237,12230,12176,12440,12551,12550,12093,12084,12464,12011,11837,12227,11764,11870,12130,12329,12799,13293,13182,12970,13020,13023,12994,13032,12802,12928,13073,12979,13185,13437,13360,13329,13544,13264,13580,13693,13592,13538,13826,13616,13515,13411,13149,13027,13014,12889,12775,12821,12730,13204,12945,13215,13149,13271,13225,13172,13094,13419,13577,13233,13042,12957,12806,12641,12658,12090,12058,12124,11909,11872,11837,11875,12245,11975,11925,12028,11967,12168,12227,12355,12241,12380,12300,12134,12328,12334,12146,12318,12281,11955,12487,12213,12341,12321,12220,12197,12337,12198,12161,12348,12302,12294,12393,12382,12484,12461,12434,12487,12257,12486,12542,12482,12588,12457,12602,12576,12527,12428,12654,12736,12813,12993,12998,12866,13001,13233,13143,13240,13355,13421,13405,13275,13367,13421,13937,13864,13912
"24","16","  Nondurable goods manufacturing industries","KP30N0",203634,206318,205631,206377,208315,208894,209145,210352,210181,211111,212788,210135,211974,212731,211390,210450,210581,210216,209008,210669,210345,208928,208194,208661,208307,212733,210223,207553,209298,211381,209948,210450,211270,212757,213684,211158,212811,208558,211661,213878,212766,213783,212308,211466,212300,210220,210039,209860,210112,210621,206562,203209,205783,200431,204464,208884,201681,206318,206118,208192,207963,207055,207142,205261,209940,209402,204922,208310,209356,207184,207818,208190,206235,203740,204636,202557,205688,206720,209411,207380,209289,209004,205310,206540,205719,202671,209587,208527,208234,210487,211740,212781,212769,214145,214751,215639,218299,218171,218347,219698,220356,220873,219928,222998,219826,212445,218872,218155,221281,218852,220019,217734,221392,217296,219955,218517,217244,215605,215572,218800,222801,224832,221479,218081,218521,219465,216500,220406,222683,229006,227029,228470,227521,223455,216939,221656,217365,217536,211735,211522,199759,204853,197315,197159,196924,200585,195411,192607,191780,194774,194152,193650,197546,201689,199945,200498,196675,201166,203121,199218,195288,197505,198116,198821,200316,199099,202554,205329,207455,203985,203400,202130,198109,201025,199629,201860,200442,201879,203584,204577,202928,203320,200987,198403,199436,196409,201458,201368,201114,201890,205281,205561,206482,205116,199649,199484,201162,199371,203807,201903,201767,202939,205957,207624,204770,204842,202003,201158,201815,202712,200827,200272,200908,201362,204472
"25","17","    Food manufacturing","KP3110",45248,45265,45262,45293,45809,45883,46166,45988,45681,45824,46597,46867,48305,47754,47979,47896,47055,46954,46920,47523,47222,47452,47498,47080,47129,47937,47835,46929,47979,47775,47466,47305,48070,47824,48002,47711,47625,46558,47570,48657,47569,48144,48269,48057,48701,48144,48085,48138,50140,48438,48154,47998,47590,47644,47482,47988,47624,47741,48835,48969,48988,49241,49436,48575,48957,48035,47939,50344,48981,50239,50320,50459,49617,49415,49845,50456,50026,50435,50979,50961,50998,49661,48848,49388,49187,47672,48014,49149,47960,48183,49681,50892,50600,51321,51514,50100,51260,51177,50325,50270,51221,51230,51160,50987,51441,50266,51270,51110,51133,51475,51306,51840,51542,50917,50824,51131,50819,51413,51381,51650,51351,51313,51050,50938,52105,52068,52088,53007,52604,52764,52840,52982,52394,51269,52385,53010,53132,52829,52575,51558,52347,52121,51857,52011,52350,52551,53205,52989,51905,52342,52534,51843,52190,52338,52162,51388,52048,52801,53545,51906,51727,52149,51798,51179,51359,50948,51158,51429,51923,52080,51717,51848,51746,52003,51342,51622,51347,52004,51258,51445,51548,50118,50779,51159,51639,51179,51157,50802,50846,50681,51024,51462,51424,51520,51196,51877,51620,51218,51601,51665,52016,52102,52398,52639,52954,53853,53593,52609,52599,52738,52332,52508,53055,53024,52946
"26","18","    Beverage and tobacco product manufacturing","KP3120",12815,12674,13386,12634,13193,12989,13093,13385,13239,13616,14017,13196,12842,13753,13615,13053,13363,13706,13183,13363,13286,13151,12533,12164,12078,12303,12725,11906,12036,12698,12046,12282,11569,12201,12237,11392,12050,11529,12452,11703,12687,12125,11950,12400,11717,12124,12365,11983,11913,12134,12036,11671,12832,12123,12210,13163,11523,12638,11152,11461,11186,10454,11104,10213,10733,10486,10395,10420,10158,10154,10061,10218,10392,10387,11201,10961,11032,11264,11311,11168,11075,11146,10865,10999,10600,10445,11652,10973,11105,11712,11207,11475,11513,11408,11323,11384,11023,11020,11194,11630,12146,12174,12261,12613,11871,12009,12024,11886,11820,11456,11563,11438,12018,11871,11506,12100,11325,11790,11666,11252,11408,11307,11712,11673,12092,11996,11879,12209,11422,12012,11362,11002,10946,10422,10861,10984,11017,10976,11114,10974,10939,10989,10689,11024,10879,10898,10302,10786,10674,10913,10670,10721,10655,10642,10370,10483,10387,9974,10651,10596,10391,10731,10907,11300,11185,10996,10953,10303,10252,10325,10865,10732,10796,11217,10459,10854,10790,10556,10916,10919,10399,10737,10787,10979,11352,10550,10830,11112,10391,10641,10774,10345,10182,10285,10587,10765,11148,10683,10992,10770,10959,10962,10679,10229,10246,10144,10371,10606,10326,10507,10695,10508,10577,10745,10590
"27","19","    Textile mills","KP3130",5338,5363,5308,5306,5174,5143,5190,5073,5197,5201,5173,5208,5416,5309,5367,5004,5141,5085,5144,5089,4980,5004,5041,4955,5228,4974,4826,5026,5052,5039,4927,4942,4982,4994,5033,5039,4893,4860,4934,4839,4822,4894,4830,4792,4782,4701,4619,4596,4538,4560,4413,4157,4336,4285,3995,4244,4166,4102,4019,4169,4011,4240,4226,4348,4416,4377,4427,4426,4362,4349,4436,4208,4263,4235,4239,4048,3925,4045,3978,3990,4004,4097,3936,3903,3893,3787,3791,3822,3807,3651,3807,3819,3869,3808,3841,4069,4019,4061,3886,4027,3981,3978,3834,3713,3635,3629,3688,3664,3597,3601,3581,3484,3378,3373,3359,3359,3306,3309,3275,3173,3328,3301,3206,3153,3204,3107,3090,3047,3035,3036,2973,2951,2899,2790,2805,2829,2675,2730,2777,2662,2589,2525,2398,2236,2154,2140,2116,2129,2116,2130,2168,2198,2247,2303,2347,2354,2374,2371,2374,2381,2365,2389,2368,2366,2363,2359,2351,2374,2397,2411,2365,2317,2301,2309,2306,2283,2282,2262,2274,2271,2312,2292,2350,2301,2299,2293,2282,2290,2277,2260,2297,2289,2286,2331,2293,2340,2349,2352,2380,2375,2395,2414,2367,2402,2311,2347,2388,2384,2374,2404,2413,2355,2366,2339,2338
"28","20","    Textile product mills","KP3140",2918,3048,3060,3074,3031,3072,3118,3114,3122,3135,3152,3172,3174,3161,3013,3088,3035,3046,3077,3006,3071,3079,3084,3143,3209,3155,3123,3218,3239,3187,3286,3274,3274,3352,3343,3262,3412,3380,3463,3385,3344,3338,3282,3308,3203,3200,3138,3052,3113,3204,3093,2964,3095,3150,3135,3151,3148,3015,3059,3076,2914,3197,3145,3217,3241,3194,3026,3059,3099,3044,3029,3095,2853,2925,2976,2944,2908,2907,2974,2955,3046,3081,3074,3426,3277,3221,3256,3172,3148,3109,3163,3196,3147,3193,3176,3163,3256,3246,3161,3178,3146,3139,3148,3187,3385,3239,3242,3154,3189,3176,3157,3048,3059,3021,2981,2861,2851,2788,2728,2747,2668,2618,2585,2529,2526,2520,2480,2492,2456,2454,2475,2438,2428,2385,2402,2421,2442,2453,2378,2319,2196,2140,2014,1915,1895,1880,1806,1786,1753,1690,1770,1745,1756,1758,1777,1819,1827,1788,1785,1787,1794,1736,1724,1707,1719,1735,1743,1749,1720,1780,1828,1776,1758,1799,1752,1740,1780,1764,1799,1823,1815,1795,1839,1838,1831,1812,1797,1849,1806,1831,1834,1825,1910,1933,1901,1916,1936,1927,1953,1916,1959,1965,1988,2018,1782,1828,1807,1807,1835,1893,1857,1879,1824,1839,1824
"29","21","    Apparel manufacturing","KP3150",5635,5922,5640,5977,5873,5855,5964,5934,6127,6023,6152,5860,5758,5829,5690,5709,5605,5708,5643,5657,5556,5376,5410,5460,5552,5534,5430,5494,5438,5344,5405,5250,5274,5263,5221,5210,5331,5125,5449,5264,5199,5089,5080,5217,5069,5115,4959,5042,4995,5086,5113,4948,4805,4671,4529,4820,4543,4360,4114,4182,4012,4033,3676,3801,3680,3670,3559,3522,3425,3230,3448,3383,3400,3357,3342,3296,3353,3522,3472,3423,3335,3277,3215,3062,3006,2910,3030,2883,2909,2784,2817,2755,2718,2739,2693,2738,2767,2710,2649,2676,2690,2882,2703,2658,2618,2669,2782,2779,2626,2626,2953,2752,2905,2772,2627,2526,2462,2479,2339,2349,2272,2246,2201,2156,2065,1928,1908,2037,1896,1854,1882,1795,1838,1720,1712,1732,1698,1657,1659,1593,1576,1433,1401,1344,1284,1295,1212,1175,1150,1146,1166,1074,1057,1145,1116,1123,1091,1119,1138,1118,1153,1136,1114,1115,1079,1092,1077,1094,1066,1052,1057,1051,1033,1043,977,1035,1051,1037,1072,1063,1072,1034,1032,1026,1013,1028,1061,1076,1039,1101,1057,1028,1073,1058,1016,1061,1061,1046,1059,1050,1072,1070,1059,1063,1052,1071,1072,1086,1147,1174,1164,1093,1151,1190,1204
"30","22","    Leather and allied product manufacturing","KP3160",1031,1062,1075,1050,1028,1049,1036,1015,1003,995,997,1021,1046,1034,1004,997,969,969,928,952,942,882,940,988,913,900,896,888,924,904,936,923,948,948,925,947,900,834,906,947,912,918,941,913,867,903,895,946,920,911,944,876,888,842,729,725,731,735,704,704,605,608,549,553,538,538,508,506,521,506,529,506,525,526,521,522,519,507,532,526,498,519,522,508,495,490,497,508,517,529,527,533,535,531,537,454,604,556,540,566,618,558,528,534,510,498,534,517,521,534,546,525,519,519,525,506,505,528,479,489,506,509,506,481,477,463,458,455,457,433,413,407,370,356,338,553,511,454,463,461,473,419,395,379,373,360,360,355,340,357,359,349,365,365,376,379,392,405,387,395,397,406,412,417,426,428,443,449,436,446,450,447,448,449,448,448,449,440,442,442,444,437,455,450,457,442,437,436,429,438,416,436,461,435,420,422,422,416,419,416,406,426,427,429,428,414,417,422,411,424,423,422,410,426,435
