"","Table 5#7#6A# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"28","9","    Nondurable goods","A664RX1","5,012.0","2,926.0","4,041.0","1,434.0","4,915.0","7,471.0","3,214.0","9,907.0","-1,822.0","5,495.0","1,267.0","3,015.0","-2,743.0","1,033.0","9,747.0","-6,299.0","3,311.0","-10,074.0","-5,668.0","7,123.0","11,092.0","12,361.0","-11,542.0","10,420.0","-13,086.0","-8,285.0","9,468.0","-6,645.0","1,711.0","9,059.0","8,730.0","173.0","8,924.0","4,991.0","9,252.0","5,094.0","5,278.0","-1,302.0","-475.0","8,284.0","3,439.0","6,533.0","1,004.0","4,938.0","8,734.0","6,172.0","2,692.0","-12,955.0","14,284.0","-16,639.0","1,980.0","5,388.0","-7,671.0","-247.0","3,005.0","9,392.0","4,626.0","-8,693.0","11,158.0","2,088.0","6,402.0","6,094.0","13,803.0","-738.0","9,332.0","5,575.0","5,518.0","8,478.0","7,222.0","4,525.0","13,969.0","464.0","-761.0","-1,310.0","7,854.0","11,424.0","6,833.0","21,659.0","-7,970.0","-1,507.0","-3,568.0","5,745.0","4,247.0","4,644.0","4,992.0","12,255.0","2,610.0","8,100.0","6,179.0","2,012.0","8,120.0","7,759.0","10,366.0","607.0","1,165.0","17,417.0","4,397.0","6,030.0","4,606.0","-2,089.0","-710.0","345.0","8,129.0","15,010.0","4,264.0","4,708.0","7,260.0","-11,344.0","-1,437.0","3,426.0","-18,849.0","12,612.0","5,465.0","8,973.0","12,927.0","15,803.0"
"29","10","      Merchant wholesalers","A151RX1","9,401.0","10,099.0","7,993.0","3,224.0","10,743.0","6,065.0","10,842.0","11,406.0","-10.0","11,264.0","8,687.0","13,414.0","-770.0","10,270.0","12,291.0","4,501.0","8,182.0","-4,275.0","-1,557.0","9,407.0","18,844.0","17,794.0","-4,329.0","18,714.0","-16,625.0","-12,994.0","2,091.0","-5,549.0","3,630.0","18,932.0","13,221.0","2,800.0","12,695.0","11,017.0","20,148.0","16,550.0","29,600.0","15,891.0","3,618.0","19,876.0","21,203.0","5,534.0","9,332.0","2,212.0","6,614.0","10,548.0","11,616.0","3,713.0","12,399.0","-7,649.0","3,258.0","10,242.0","-7,776.0","14,253.0","-6,871.0","-9,206.0","-8,107.0","-17,225.0","11,169.0","11,129.0","15,806.0","10,314.0","29,692.0","8,765.0","11,181.0","7,557.0","8,134.0","6,190.0","10,938.0","8,880.0","23,375.0","-6,618.0","3,274.0","10,957.0","-3,628.0","26,794.0","20,713.0","13,258.0","10,069.0","-8,190.0","-5,270.0","14,974.0","-353.0","1,254.0","4,791.0","15,556.0","11,955.0","1,777.0","8,562.0","-12,263.0","3,331.0","18,374.0","5,086.0","10,194.0","2,192.0","22,267.0","5,240.0","5,675.0","10,905.0","4,493.0","-4,252.0","20,451.0","18,352.0","26,635.0","18,514.0","11,859.0","11,674.0","2,076.0","-573.0","6,714.0","-10,169.0","11,124.0","25,826.0","38,317.0","19,854.0","30,898.0"
"30","11","        Durable goods","C626RX1","5,168.0","7,745.0","4,687.0","1,881.0","5,911.0","960.0","7,634.0","3,652.0","2,567.0","6,018.0","6,852.0","9,911.0","696.0","8,515.0","4,421.0","8,658.0","4,692.0","5,141.0","2,476.0","5,277.0","8,103.0","8,781.0","7,076.0","11,079.0","-1,698.0","-9,306.0","-5,964.0","2,311.0","2,423.0","11,759.0","6,717.0","-2,287.0","7,719.0","7,254.0","10,586.0","10,979.0","18,885.0","11,515.0","4,402.0","13,030.0","10,537.0","1,692.0","9,565.0","1,195.0","5,085.0","8,167.0","-323.0","9,486.0","6,113.0","6,401.0","-2,386.0","5,108.0","1,053.0","5,316.0","-6,654.0","-13,911.0","-14,316.0","-10,622.0","5,788.0","7,969.0","10,645.0","7,172.0","17,391.0","6,822.0","2,158.0","1,495.0","3.0","787.0","3,665.0","6,607.0","9,506.0","-4,741.0","2,292.0","8,628.0","-8,710.0","16,745.0","14,056.0","-3,452.0","14,497.0","-5,784.0","-1,554.0","11,395.0","-2,995.0","-4,281.0","2,889.0","4,880.0","8,663.0","-4,276.0","3,932.0","-13,827.0","-3,511.0","12,061.0","-3,082.0","9,055.0","2,695.0","7,416.0","1,896.0","437.0","5,927.0","4,686.0","-3,008.0","17,589.0","10,720.0","13,952.0","14,194.0","8,629.0","5,235.0","10,543.0","1,626.0","2,710.0","4,885.0","735.0","17,003.0","27,340.0","9,351.0","16,176.0"
"31","12","        Nondurable goods","C627RX1","4,170.0","2,015.0","3,216.0","1,307.0","4,765.0","5,384.0","2,924.0","7,999.0","-2,883.0","5,187.0","1,502.0","3,040.0","-1,630.0","1,273.0","8,128.0","-4,908.0","3,540.0","-9,424.0","-3,689.0","4,056.0","10,085.0","8,616.0","-10,448.0","7,432.0","-14,455.0","-3,570.0","7,904.0","-7,709.0","1,158.0","6,951.0","6,357.0","5,176.0","4,842.0","3,622.0","9,519.0","5,316.0","10,357.0","4,064.0","-1,033.0","6,562.0","10,688.0","3,898.0","-615.0","972.0","1,391.0","2,177.0","12,057.0","-6,014.0","6,135.0","-14,357.0","5,748.0","5,052.0","-9,393.0","9,102.0","79.0","5,893.0","7,681.0","-6,467.0","5,418.0","2,892.0","4,885.0","2,916.0","12,206.0","1,560.0","10,025.0","6,776.0","9,408.0","6,195.0","8,080.0","1,715.0","15,561.0","-1,565.0","855.0","1,497.0","7,620.0","9,687.0","5,890.0","20,730.0","-7,341.0","-2,122.0","-4,231.0","2,730.0","3,557.0","7,208.0","1,874.0","12,091.0","2,755.0","7,776.0","4,952.0","3,814.0","8,673.0","5,847.0","10,199.0","124.0","-975.0","16,774.0","3,748.0","6,262.0","5,137.0","-924.0","-1,054.0","871.0","7,647.0","13,279.0","3,143.0","2,660.0","6,918.0","-11,197.0","-2,778.0","4,297.0","-18,073.0","12,017.0","8,303.0","9,592.0","11,192.0","15,308.0"
"32","13","      Nonmerchant wholesalers","A152RX1","2,207.0","1,890.0","1,579.0","867.0","-573.0","1,593.0","393.0","975.0","421.0","-823.0","-1,129.0","-616.0","-709.0","225.0","2,077.0","-183.0","679.0","2,508.0","159.0","2,134.0","1,035.0","1,407.0","1,557.0","6,240.0","3,934.0","-3,289.0","958.0","-65.0","275.0","3,550.0","4,466.0","-1,113.0","2,177.0","238.0","-1,935.0","-448.0","-3,285.0","-4,283.0","221.0","3,407.0","-2,579.0","3,614.0","1,179.0","2,526.0","5,844.0","4,023.0","-9,461.0","-6,651.0","8,049.0","-2,014.0","-608.0","1,982.0","1,836.0","-7,123.0","2,986.0","-64.0","-4,718.0","-1,685.0","4,792.0","-101.0","699.0","4,743.0","3,944.0","-397.0","-103.0","22.0","-4,519.0","-226.0","-734.0","1,398.0","-1,257.0","1,887.0","-1,803.0","-3,398.0","-634.0","2,989.0","1,526.0","523.0","300.0","3,630.0","763.0","3,488.0","2,592.0","-3,102.0","4,075.0","1,869.0","-1,465.0","-131.0","105.0","-3,214.0","1,787.0","872.0","-1,844.0","164.0","3,690.0","-2,834.0","-267.0","-736.0","38.0","1,439.0","2,602.0","-596.0","2,276.0","4,670.0","3,389.0","4,685.0","2,572.0","3,214.0","4,097.0","-1,287.0","994.0","-393.0","1,284.0","3,474.0","1,449.0","6,302.0"
"33","14","        Durable goods","C628RX1","1,187.0","873.0","728.0","580.0","-370.0","67.0","199.0","-164.0","-423.0","-579.0","-605.0","-317.0","94.0","342.0","795.0","525.0","773.0","1,858.0","1,303.0","-380.0","650.0","-1,288.0","1,476.0","2,945.0","1,533.0","660.0","-109.0","-1,032.0","-133.0","1,500.0","1,998.0","2,698.0","-948.0","-631.0","-1,146.0","-89.0","963.0","284.0","-226.0","1,574.0","2,864.0","1,114.0","-160.0","-704.0","-268.0","564.0","-1,977.0","-530.0","880.0","652.0","1,926.0","1,275.0","542.0","300.0","465.0","-2,618.0","-1,996.0","193.0","44.0","439.0","-464.0","1,734.0","2,038.0","1,130.0","245.0","681.0","-1,295.0","-1,626.0","-123.0","-587.0","7.0","232.0","-412.0","-917.0","-586.0","1,252.0","613.0","-49.0","546.0","2,306.0","153.0","819.0","1,554.0","-765.0","1,196.0","1,361.0","-1,034.0","-353.0","-717.0","-1,350.0","1,704.0","-534.0","-1,479.0","-177.0","1,494.0","-2,562.0","-591.0","-394.0","390.0","1,827.0","1,740.0","-111.0","1,471.0","2,537.0","1,890.0","2,278.0","1,807.0","2,482.0","2,258.0","-354.0","1,221.0","-666.0","843.0","1,856.0","572.0","4,173.0"
"34","15","        Nondurable goods","C629RX1","870.0","1,043.0","872.0","87.0","-87.0","2,341.0","174.0","1,902.0","1,615.0","0.0","-422.0","-254.0","-1,343.0","-416.0","1,506.0","-1,457.0","-586.0","-27.0","-2,348.0","3,902.0","268.0","4,337.0","-488.0","3,434.0","2,759.0","-5,814.0","1,540.0","1,769.0","649.0","2,289.0","2,668.0","-6,544.0","4,815.0","1,490.0","-623.0","-455.0","-6,426.0","-6,549.0","718.0","1,930.0","-8,426.0","3,249.0","2,010.0","4,391.0","7,307.0","3,894.0","-8,581.0","-7,101.0","7,964.0","-3,057.0","-2,993.0","597.0","1,473.0","-9,371.0","3,050.0","3,809.0","-3,003.0","-2,540.0","6,264.0","-865.0","1,725.0","3,505.0","1,916.0","-2,472.0","-575.0","-1,176.0","-4,008.0","2,580.0","-868.0","3,330.0","-2,077.0","2,438.0","-1,932.0","-3,294.0","239.0","1,978.0","1,066.0","903.0","-670.0","778.0","834.0","3,547.0","778.0","-3,081.0","3,649.0","97.0","-167.0","436.0","1,452.0","-2,090.0","-645.0","2,269.0","140.0","574.0","2,504.0","709.0","733.0","-306.0","-672.0","-1,418.0","430.0","-660.0","501.0","1,949.0","1,322.0","2,459.0","321.0","0.0","1,690.0","-1,151.0","-757.0","615.0","312.0","1,549.0","1,016.0","1,380.0"
"35","16","  Retail trade","A153RX1","5,124.0","5,005.0","13,379.0","7,408.0","-3,395.0","7,039.0","5,686.0","-9,022.0","26,951.0","13,460.0","24,649.0","-473.0","7,356.0","10,977.0","7,793.0","15,791.0","13,095.0","16,909.0","112.0","16,787.0","-4,213.0","-2,655.0","-7,882.0","5,407.0","-25,501.0","-7,879.0","6,217.0","-4,006.0","21,797.0","11,012.0","7,860.0","4,732.0","8,680.0","8,078.0","10,637.0","9,106.0","17,562.0","9,833.0","3,319.0","14,019.0","870.0","15,574.0","-11,839.0","-5,086.0","-8,299.0","-4,785.0","-3,522.0","-3,730.0","3,470.0","15,038.0","12,758.0","7,265.0","-18,583.0","1,444.0","13,690.0","-13,271.0","8,322.0","18,373.0","14,562.0","17,138.0","40,173.0","15,112.0","3,017.0","36,280.0","5,716.0","12,441.0","15,018.0","33,895.0","28,850.0","2,546.0","-14,867.0","-1,618.0","43,739.0","21,475.0","-4,571.0","31,758.0","-9,179.0","11,963.0","12,626.0","17,888.0","33,156.0","2,739.0","-874.0","28,114.0","-16,367.0","15,729.0","1,288.0","-7,740.0","-24,133.0","5,149.0","13,835.0","7,518.0","-4,782.0","10,975.0","3,155.0","10,806.0","42,112.0","8,896.0","3,089.0","13,118.0","17,297.0","32,477.0","16,496.0","23,143.0","24,401.0","19,401.0","5,605.0","3,682.0","-15,917.0","17,079.0","25,162.0","5,970.0","4,649.0","22,899.0","17,296.0","12,474.0"
"36","17","    Durable goods","C630RX1","1,897.0","-392.0","8,534.0","4,574.0","-3,257.0","2,702.0","2,325.0","-12,874.0","18,015.0","10,572.0","17,893.0","-6,555.0","3,489.0","4,029.0","3,396.0","11,235.0","7,925.0","13,342.0","4,985.0","5,957.0","353.0","-4,146.0","-4,958.0","12,494.0","-17,788.0","1,539.0","8,093.0","-4,812.0","8,026.0","5,844.0","8,988.0","4,277.0","6,597.0","4,474.0","7,923.0","6,169.0","9,715.0","982.0","-43.0","12,222.0","5,609.0","11,628.0","-11,250.0","-7,411.0","-10,049.0","-11,057.0","-7,838.0","-2,155.0","-2,749.0","11,232.0","1,919.0","1,174.0","-12,838.0","-534.0","12,487.0","-13,185.0","5,303.0","8,115.0","7,028.0","9,474.0","18,352.0","3,655.0","-3,311.0","24,254.0","4,093.0","7,645.0","4,431.0","25,062.0","18,861.0","2,467.0","-18,671.0","-2,275.0","33,627.0","12,830.0","-6,858.0","22,781.0","-14,449.0","10,521.0","8,609.0","16,398.0","22,186.0","-7,596.0","-6,799.0","20,296.0","-15,489.0","11,673.0","4,064.0","-5,272.0","-25,473.0","2,055.0","8,599.0","-4,571.0","-2,358.0","6,095.0","-2,675.0","3,908.0","24,342.0","5,961.0","-2,754.0","8,928.0","14,716.0","12,637.0","11,149.0","14,668.0","16,440.0","11,725.0","3,035.0","4,629.0","-11,551.0","14,552.0","15,909.0","260.0","1,988.0","11,672.0","10,921.0","10,297.0"
"37","18","      Motor vehicle dealers \2\","C631RX1","690.0","-1,613.0","6,383.0","4,012.0","-4,222.0","2,972.0","2,145.0","-16,521.0","17,980.0","10,545.0","17,753.0","-10,345.0","-290.0","-148.0","-979.0","5,361.0","6,623.0","9,279.0","4,261.0","6,938.0","-3,029.0","-5,586.0","-3,463.0","12,939.0","-16,039.0","2,780.0","7,660.0","-8,704.0","6,861.0","1,516.0","6,020.0","1,666.0","6,291.0","4,448.0","6,283.0","7,155.0","5,572.0","-3,645.0","-1,992.0","13,435.0","6,848.0","12,878.0","-12,862.0","-6,491.0","-11,507.0","-12,208.0","-6,943.0","-510.0","-8,883.0","11,596.0","142.0","-1,619.0","-9,485.0","2,288.0","12,629.0","-15,630.0","2,426.0","4,038.0","4,397.0","6,897.0","13,432.0","-1,543.0","-4,402.0","19,401.0","257.0","6,174.0","-547.0","24,863.0","13,062.0","861.0","-23,199.0","3,097.0","33,684.0","3,945.0","-8,798.0","15,949.0","-18,908.0","8,924.0","3,784.0","14,296.0","21,483.0","-10,470.0","-12,502.0","20,447.0","-20,264.0","9,242.0","6,808.0","-2,053.0","-21,480.0","3,131.0","7,020.0","-4,508.0","1,591.0","3,966.0","-1,717.0","1,691.0","20,959.0","3,648.0","-8,096.0","-846.0","11,640.0","2,884.0","5,970.0","8,879.0","13,735.0","6,844.0","-4,793.0","6,269.0","-15,059.0","12,061.0","14,372.0","-1,450.0","-4,581.0","2,958.0","6,808.0","11,858.0"
"38","19","      Other \2\","A632RX1","1,118.0","862.0","2,597.0","948.0","342.0","91.0","380.0","1,488.0","1,815.0","1,076.0","1,912.0","2,252.0","3,292.0","3,654.0","3,746.0","5,701.0","1,819.0","4,520.0","1,078.0","-116.0","2,619.0","624.0","-1,635.0","1,003.0","-3,195.0","-787.0","1,163.0","2,599.0","1,681.0","3,978.0","3,181.0","2,483.0","794.0","391.0","1,997.0","-289.0","4,198.0","3,787.0","1,551.0","140.0","-462.0","86.0","237.0","-1,419.0","198.0","-192.0","-1,414.0","-1,419.0","4,752.0","650.0","1,671.0","2,514.0","-3,724.0","-2,514.0","534.0","1,504.0","2,833.0","4,051.0","2,709.0","2,773.0","5,289.0","4,876.0","860.0","5,434.0","3,664.0","1,639.0","4,703.0","1,242.0","6,078.0","1,596.0","3,347.0","-4,974.0","1,075.0","8,668.0","1,605.0","7,063.0","3,650.0","1,848.0","4,768.0","2,482.0","1,373.0","2,402.0","4,998.0","631.0","3,747.0","2,700.0","-2,339.0","-3,154.0","-4,606.0","-909.0","1,761.0","-189.0","-3,763.0","2,159.0","-982.0","2,181.0","3,735.0","2,288.0","5,056.0","9,518.0","3,198.0","9,603.0","5,154.0","5,765.0","2,701.0","4,857.0","7,785.0","-1,643.0","3,551.0","2,447.0","1,505.0","1,697.0","1,794.0","6,361.0","6,212.0","3,779.0"
"39","20","    Nondurable goods","C633RX1","3,227.0","5,760.0","4,300.0","2,549.0","159.0","4,331.0","3,339.0","5,448.0","7,560.0","1,918.0","5,258.0","7,210.0","3,738.0","6,963.0","4,313.0","3,739.0","4,763.0","2,907.0","-5,212.0","10,701.0","-4,597.0","1,804.0","-2,657.0","-8,187.0","-6,629.0","-10,021.0","-2,605.0","1,239.0","13,806.0","4,942.0","-1,983.0","82.0","1,578.0","3,388.0","2,108.0","2,491.0","7,396.0","9,374.0","3,631.0","588.0","-5,670.0","3,023.0","547.0","3,268.0","3,024.0","7,913.0","5,503.0","-1,341.0","7,054.0","2,814.0","11,528.0","6,493.0","-4,623.0","2,227.0","-315.0","1,678.0","2,591.0","10,157.0","7,313.0","7,119.0","21,459.0","12,113.0","7,464.0","9,797.0","1,203.0","4,186.0","11,068.0","6,141.0","8,249.0","-304.0","7,035.0","1,066.0","6,173.0","7,688.0","3,517.0","6,634.0","7,886.0","71.0","3,200.0","-690.0","8,976.0","12,370.0","7,401.0","5,876.0","1,005.0","2,945.0","-3,507.0","-2,060.0","4,536.0","3,105.0","4,608.0","13,746.0","-2,338.0","4,539.0","6,696.0","7,019.0","16,163.0","2,376.0","6,838.0","3,258.0","562.0","20,111.0","4,157.0","7,056.0","6,177.0","6,656.0","2,378.0","-1,826.0","-3,015.0","511.0","7,797.0","6,295.0","3,124.0","10,660.0","6,279.0","1,248.0"
"40","21","  Other","A154RX1","2,914.0","4,916.0","3,672.0","817.0","-462.0","-1,097.0","458.0","3,903.0","2,813.0","4,248.0","-941.0","3,068.0","3,575.0","4,666.0","2,087.0","2,660.0","3,088.0","1,538.0","4,000.0","5,538.0","13,122.0","-1,782.0","498.0","7,046.0","-4,415.0","1,889.0","3,689.0","7,071.0","4,918.0","4,534.0","-4,970.0","-1,129.0","11,715.0","-412.0","12,810.0","-45.0","6,534.0","4,817.0","10,150.0","-857.0","2,535.0","880.0","-1,412.0","-2,267.0","-12,507.0","5,164.0","-3,718.0","4,982.0","7,624.0","-3,507.0","19,659.0","16,542.0","3,494.0","1,672.0","-5,985.0","-11,508.0","9,259.0","-1,908.0","-7,096.0","-4,814.0","-26.0","-2,090.0","1,991.0","5,830.0","5,930.0","4,497.0","7,172.0","4,513.0","7,033.0","10,949.0","2,789.0","-5,609.0","2,715.0","1,788.0","-491.0","6,833.0","-2,168.0","-1,989.0","-2,166.0","-276.0","-3,832.0","-9,780.0","11.0","-5,695.0","2,400.0","980.0","-4,595.0","-14,573.0","2,941.0","9,100.0","445.0","3,366.0","7,294.0","33.0","-104.0","5,214.0","-3,089.0","10,093.0","1,703.0","6,274.0","4,627.0","7,254.0","-817.0","10,221.0","4,343.0","-1,125.0","118.0","7,521.0","-228.0","1,684.0","3,545.0","2,735.0","9,208.0","9,163.0","7,713.0","5,170.0"
"41","22","    Durable goods","C636RX1","-2,006.0","-86.0","2,486.0","-450.0","-194.0","-878.0","-872.0","917.0","212.0","-629.0","-2,266.0","-1,448.0","1,903.0","508.0","-598.0","249.0","3,389.0","-1,114.0","2,625.0","1,323.0","1,096.0","-2,095.0","1,270.0","42.0","-2,196.0","-1,021.0","1,614.0","292.0","1,410.0","-270.0","-2,061.0","236.0","253.0","2,752.0","-131.0","-1,653.0","2,318.0","2,454.0","1,314.0","-1,346.0","1,516.0","855.0","-78.0","-2,457.0","-676.0","-4,185.0","72.0","3,200.0","1,846.0","-339.0","520.0","-859.0","2,188.0","1,167.0","-83.0","1,653.0","820.0","-728.0","490.0","-4,745.0","4,320.0","555.0","-1,835.0","-2,387.0","261.0","-1,775.0","-1,539.0","711.0","-955.0","-1,285.0","-1,883.0","-231.0","-273.0","655.0","502.0","532.0","-669.0","-1,444.0","-1,316.0","1,724.0","395.0","272.0","366.0","1,785.0","2,023.0","19.0","-637.0","-1,635.0","-3,703.0","-918.0","2,718.0","-107.0","3,313.0","578.0","-2,010.0","844.0","-2,929.0","1,180.0","466.0","2,736.0","2,235.0","99.0","750.0","17.0","827.0","-1,048.0","-81.0","527.0","2,377.0","-1,985.0","1,034.0","489.0","1,109.0","1,388.0","1,555.0","925.0"
"42","23","    Nondurable goods","C637RX1","5,367.0","5,138.0","924.0","1,292.0","-259.0","-187.0","1,382.0","3,027.0","2,633.0","5,009.0","1,511.0","4,754.0","1,526.0","4,213.0","2,815.0","2,445.0","-713.0","2,904.0","1,100.0","4,209.0","12,228.0","387.0","-798.0","7,112.0","-2,287.0","2,957.0","2,118.0","6,899.0","3,552.0","4,897.0","-2,935.0","-1,391.0","11,644.0","-3,197.0","13,146.0","1,649.0","4,238.0","2,327.0","8,966.0","547.0","1,042.0","66.0","-1,310.0","95.0","-11,999.0","8,841.0","-3,808.0","2,263.0","6,133.0","-3,214.0","19,249.0","17,222.0","1,767.0","756.0","-5,909.0","-12,748.0","8,583.0","-1,344.0","-7,511.0","-982.0","-3,552.0","-2,543.0","3,478.0","7,794.0","5,716.0","5,990.0","8,489.0","3,918.0","7,862.0","12,144.0","4,521.0","-5,457.0","2,980.0","1,203.0","-954.0","6,391.0","-1,553.0","-619.0","-910.0","-1,954.0","-4,255.0","-10,135.0","-340.0","-7,424.0","548.0","982.0","-4,031.0","-13,183.0","6,312.0","10,043.0","-2,083.0","3,505.0","4,227.0","-509.0","1,797.0","4,477.0","-273.0","9,069.0","1,287.0","3,645.0","2,423.0","7,241.0","-1,606.0","10,345.0","3,547.0","-57.0","204.0","7,086.0","-2,616.0","3,699.0","2,555.0","2,289.0","8,302.0","7,885.0","6,214.0","4,401.0"
"43","24","Residual","A969RX1","400.0","-1,300.0","-1,200.0","2,700.0","-2,500.0","-3,700.0","500.0","-8,100.0","1,500.0","-2,400.0","1,100.0","-7,200.0","1,600.0","-400.0","-200.0","1,800.0","-5,300.0","8,000.0","7,200.0","-6,700.0","-11,400.0","-6,400.0","1,300.0","-10,600.0","8,600.0","5,700.0","-4,700.0","-5,300.0","-4,300.0","-4,500.0","800.0","4,700.0","-6,100.0","-1,700.0","-2,900.0","200.0","-200.0","1,700.0","1,600.0","-1,500.0","5,100.0","1,400.0","1,900.0","1,400.0","-1,800.0","-3,500.0","-4,700.0","-1,600.0","-400.0","1,300.0","500.0","-3,500.0","-3,100.0","400.0","-1,700.0","-7,800.0","-5,700.0","2,400.0","-5,600.0","2,700.0","-1,700.0","1,400.0","1,700.0","7,000.0","-2,200.0","-600.0","-3,300.0","-6,500.0","-400.0","-2,800.0","-5,200.0","-4,900.0","5,500.0","5,700.0","-2,600.0","3,200.0","-1,000.0","-1,800.0","6,000.0","5,300.0","6,800.0","-500.0","-1,900.0","2,600.0","-2,500.0","-400.0","600.0","-900.0","-7,600.0","-4,800.0","-900.0","-6,200.0","-7,200.0","-500.0","-3,700.0","-5,900.0","3,900.0","-1,500.0","1,700.0","4,300.0","2,800.0","3,100.0","1,200.0","1,200.0","4,300.0","4,400.0","4,500.0","5,100.0","-1,400.0","3,900.0","5,500.0","-3,400.0","4,500.0","5,600.0","-3,000.0","-5,000.0"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. Prior to 1981, inventories of auto and home supply stores are included in motor vehicle dealers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Beginning with 1981, these inventories are included in 'other durable goods.'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Note. Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier periods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
