"","Table 5#10# Changes in Net Stock of Produced Assets (Fixed Asset","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"28","8","Gross fixed investment","W172RC1","72,415.0","78,372.0","85,122.0","85,396.0","93,128.0","100,868.0","105,959.0","103,936.0","117,605.0","119,244.0","123,504.0","133,474.0","142,099.0","153,721.0","168,259.0","184,117.0","190,494.0","207,103.0","223,928.0"
"29","9","  Private \2\","A007RC1","52,844.0","53,753.0","58,467.0","60,005.0","68,772.0","73,732.0","75,728.0","71,315.0","81,749.0","83,245.0","83,605.0","90,875.0","97,660.0","107,332.0","120,396.0","130,550.0","132,833.0","147,869.0","164,387.0"
"30","10","    Nonresidential","A008RC1","34,183.0","34,895.0","38,768.0","38,563.0","43,369.0","49,745.0","53,097.0","48,492.0","53,121.0","56,389.0","56,594.0","61,232.0","64,805.0","72,232.0","85,233.0","97,172.0","99,206.0","107,670.0","120,012.0"
"31","11","      Structures","B009RC1","11,954.0","12,224.0","13,570.0","13,865.0","15,157.0","18,180.0","18,950.0","17,629.0","18,149.0","19,568.0","19,715.0","20,778.0","21,199.0","23,737.0","28,321.0","31,349.0","31,511.0","33,557.0","37,698.0"
"32","12","      Equipment","Y033RC1","19,874.0","19,694.0","21,531.0","20,812.0","23,888.0","26,343.0","28,561.0","24,876.0","28,345.0","29,679.0","28,904.0","32,056.0","34,367.0","38,684.0","45,779.0","53,023.0","53,693.0","58,532.0","65,163.0"
"33","13","      Intellectual property products","Y001RC1","2,355.0","2,977.0","3,667.0","3,886.0","4,324.0","5,222.0","5,586.0","5,987.0","6,627.0","7,142.0","7,975.0","8,398.0","9,239.0","9,811.0","11,133.0","12,800.0","14,002.0","15,581.0","17,151.0"
"34","14","    Residential","A011RC1","18,661.0","18,858.0","19,699.0","21,442.0","25,403.0","23,987.0","22,631.0","22,823.0","28,628.0","26,856.0","27,011.0","29,643.0","32,855.0","35,100.0","35,163.0","33,378.0","33,627.0","40,199.0","44,375.0"
"35","15","  Government \3\","A782RC1","19,571.0","24,619.0","26,655.0","25,391.0","24,356.0","27,136.0","30,231.0","32,621.0","35,856.0","35,999.0","39,899.0","42,599.0","44,439.0","46,389.0","47,863.0","53,567.0","57,661.0","59,234.0","59,541.0"
"36","16","    Structures","A760RC1","9,526.0","11,104.0","11,658.0","12,111.0","12,010.0","13,394.0","14,872.0","16,501.0","16,856.0","16,600.0","18,015.0","18,635.0","19,928.0","21,056.0","22,846.0","25,085.0","26,454.0","28,548.0","28,959.0"
"37","17","    Equipment","Y054RC1","7,942.0","11,140.0","12,313.0","10,238.0","8,760.0","8,896.0","9,479.0","9,693.0","11,995.0","11,571.0","13,077.0","14,097.0","12,807.0","12,413.0","11,213.0","13,078.0","15,027.0","13,642.0","12,858.0"
"38","18","    Intellectual property products","Y055RC1","2,103.0","2,376.0","2,684.0","3,042.0","3,586.0","4,846.0","5,880.0","6,427.0","7,005.0","7,828.0","8,807.0","9,867.0","11,705.0","12,920.0","13,804.0","15,404.0","16,179.0","17,044.0","17,724.0"
"39","19","Less: Stock reconciliation adjustments","K100191","-122.0","-162.0","39.0","202.0","169.0","213.0","275.0","-203.0","401.0","495.0","435.0","234.0","326.0","200.0","235.0","698.0","813.0","1,050.0","1,068.0"
"40","20","  Private","K100201","-209.0","-203.0","-153.0","176.0","420.0","305.0","258.0","-234.0","410.0","470.0","338.0","181.0","330.0","206.0","272.0","725.0","803.0","935.0","926.0"
"41","21","    Nonresidential","K100211","-15.0","-61.0","-22.0","276.0","451.0","343.0","269.0","-233.0","410.0","470.0","340.0","182.0","331.0","206.0","272.0","726.0","803.0","936.0","927.0"
"42","22","      Intersectoral auto valuation adjustment \4\","K100221","19.0","-19.0","60.0","301.0","359.0","431.0","269.0","-467.0","394.0","451.0","439.0","308.0","288.0","249.0","208.0","162.0","256.0","186.0","332.0"
"43","23","      Brokers' commissions on sale of nonresidential used structures and dealers' margins on used equipment","K100231","359.0","315.0","290.0","248.0","410.0","449.0","450.0","435.0","441.0","446.0","448.0","489.0","514.0","568.0","682.0","765.0","728.0","758.0","814.0"
"44","24","      Electric plants put in place less electric plants put in use \5\","K100241","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","16.0","22.0","30.0","193.0","176.0","272.0","730.0","545.0","719.0","726.0"
"45","25","      Abandoned electric plants \6\","K100251","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"46","26","      Less: Sale of equipment scrap, excluding autos \7\","C287RC1","102.0","78.0","103.0","41.0","124.0","158.0","116.0","63.0","119.0","139.0","205.0","182.0","239.0","349.0","457.0","498.0","364.0","361.0","530.0"
"47","27","      Other \8\","K100271","-291.0","-279.0","-269.0","-232.0","-194.0","-379.0","-334.0","-138.0","-313.0","-304.0","-364.0","-463.0","-425.0","-438.0","-433.0","-433.0","-362.0","-366.0","-415.0"
"48","28","    Residential \8\","K100281","-194.0","-142.0","-131.0","-100.0","-31.0","-38.0","-11.0","-1.0","0.0","0.0","-2.0","-1.0","-1.0","0.0","0.0","-1.0","0.0","-1.0","-1.0"
"49","29","  Government","K100291","87.0","41.0","192.0","26.0","-251.0","-92.0","17.0","31.0","-9.0","25.0","97.0","53.0","-4.0","-6.0","-37.0","-27.0","10.0","115.0","142.0"
"50","30","    Electric plants put in place less electric plants put in use \5\","K100301","86.0","42.0","191.0","25.0","-253.0","-96.0","15.0","28.0","-9.0","25.0","97.0","53.0","-3.0","-6.0","-36.0","-27.0","10.0","115.0","142.0"
"51","31","    Other \8\","K100311","1.0","-1.0","1.0","1.0","2.0","4.0","2.0","3.0","0.0","0.0","0.0","0.0","-1.0","0.0","-1.0","0.0","0.0","0.0","0.0"
"52","32","Less: Consumption of fixed capital","A262RC1","37,758.0","40,618.0","43,480.0","45,981.0","48,885.0","54,125.0","58,913.0","62,425.0","65,438.0","67,893.0","70,607.0","74,101.0","78,003.0","82,379.0","87,980.0","95,293.0","103,519.0","113,324.0","124,863.0"
"53","33","  Private","A024RC1","27,746.0","29,542.0","31,346.0","32,958.0","34,992.0","38,809.0","42,257.0","44,911.0","46,818.0","48,208.0","49,782.0","51,792.0","54,158.0","57,275.0","61,566.0","67,170.0","73,326.0","80,602.0","89,433.0"
"54","34","    Nonresidential","A753RC1","22,070.0","23,464.0","24,959.0","26,265.0","27,832.0","31,099.0","34,198.0","36,551.0","38,034.0","38,939.0","40,108.0","41,684.0","43,629.0","46,122.0","49,571.0","54,208.0","59,420.0","65,378.0","72,373.0"
"55","35","      Structures","B188RC1","6,194.0","6,548.0","6,871.0","7,016.0","7,392.0","8,296.0","8,963.0","9,109.0","9,433.0","9,686.0","9,874.0","10,223.0","10,545.0","10,980.0","11,664.0","12,555.0","13,410.0","14,554.0","16,006.0"
"56","36","      Equipment","Y080RC1","13,895.0","14,775.0","15,684.0","16,572.0","17,439.0","19,365.0","21,305.0","23,048.0","23,761.0","23,923.0","24,415.0","25,142.0","26,242.0","27,639.0","29,739.0","32,564.0","35,866.0","39,372.0","43,374.0"
"57","37","      Intellectual property products","Y083RC1","1,981.0","2,141.0","2,404.0","2,677.0","3,001.0","3,438.0","3,930.0","4,394.0","4,840.0","5,330.0","5,819.0","6,319.0","6,842.0","7,503.0","8,168.0","9,089.0","10,144.0","11,452.0","12,993.0"
"58","38","    Residential","A754RC1","5,676.0","6,080.0","6,385.0","6,693.0","7,163.0","7,711.0","8,061.0","8,360.0","8,785.0","9,270.0","9,673.0","10,110.0","10,529.0","11,154.0","11,998.0","12,965.0","13,907.0","15,224.0","17,059.0"
"59","39","  Government","A264RC1","10,012.0","11,076.0","12,134.0","13,023.0","13,893.0","15,316.0","16,656.0","17,514.0","18,620.0","19,685.0","20,825.0","22,309.0","23,845.0","25,104.0","26,414.0","28,123.0","30,193.0","32,722.0","35,430.0"
"60","40","    Structures","A894RC1","3,489.0","3,731.0","3,847.0","3,894.0","4,072.0","4,586.0","4,987.0","5,181.0","5,373.0","5,504.0","5,742.0","6,060.0","6,419.0","6,758.0","7,196.0","7,817.0","8,408.0","9,168.0","10,198.0"
"61","41","    Equipment","Y085RC1","4,991.0","5,672.0","6,441.0","7,101.0","7,512.0","7,989.0","8,388.0","8,457.0","8,809.0","9,211.0","9,547.0","10,131.0","10,684.0","10,877.0","11,126.0","11,473.0","12,151.0","12,869.0","13,421.0"
"62","42","    Intellectual property products","Y091RC1","1,531.0","1,673.0","1,847.0","2,027.0","2,310.0","2,740.0","3,281.0","3,876.0","4,438.0","4,970.0","5,537.0","6,117.0","6,742.0","7,469.0","8,093.0","8,832.0","9,635.0","10,686.0","11,812.0"
"63","43","Change in private inventories \9\","A014RC1","9,909.0","3,514.0","1,948.0","-1,937.0","4,988.0","3,950.0","777.0","-366.0","3,917.0","3,232.0","2,974.0","6,101.0","5,621.0","4,821.0","9,247.0","13,636.0","9,866.0","9,053.0","9,173.0"
"64",NA,"Other changes in volume of assets"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","44","Less: Other changes in volume of assets","K100441","63.0","105.0","83.0","83.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","355.0","488.0","717.0","521.0"
"66","45","  Private fixed assets \10\","K100451",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"67","46","    Nonresidential fixed assets","K100461",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"68","47","      Structures","K100471",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"69","48","      Equipment","K100481",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"70","49","      Intellectual property products","K100491",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"71","50","    Residential fixed assets","K100501",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"72","51","  Government fixed assets \11\","K100511","63.0","105.0","83.0","83.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","355.0","488.0","717.0","521.0"
"73","52","    General government","K100521","63.0","105.0","83.0","83.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","355.0","488.0","717.0","521.0"
"74","53","    Government enterprises","K100531","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"75",NA,"Revaluation"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","54","Nominal holding gains or losses (-)","K100541","54,107.0","4,994.0","-6,268.0","8,669.0","48,721.0","62,999.0","23,215.0","8,499.0","2,348.0","-664.0","7,838.0","14,575.0","-3,418.0","41,546.0","49,471.0","80,399.0","78,248.0","138,693.0","144,314.0"
"77","55","  Neutral holding gains or losses (-) \12\","K100551","40,797.0","15,629.0","13,615.0","8,638.0","31,981.0","50,302.0","43,053.0","21,836.0","22,849.0","23,536.0","14,493.0","22,976.0","25,941.0","30,285.0","44,308.0","65,914.0","79,560.0","117,800.0","148,755.0"
"78","56","    Fixed assets","K100561","35,850.0","13,803.0","12,209.0","7,809.0","28,933.0","45,859.0","39,370.0","20,016.0","20,906.0","21,593.0","13,309.0","21,089.0","23,809.0","27,860.0","40,794.0","60,459.0","73,052.0","108,449.0","137,272.0"
"79","57","      Private","K100571","27,103.0","10,303.0","9,067.0","5,834.0","21,545.0","34,223.0","29,112.0","14,781.0","15,324.0","15,862.0","9,719.0","15,345.0","17,184.0","20,035.0","29,456.0","43,677.0","52,622.0","78,124.0","99,306.0"
"80","58","        Nonresidential","K100581","13,848.0","5,271.0","4,656.0","2,994.0","10,918.0","17,618.0","15,388.0","7,891.0","8,118.0","8,425.0","5,121.0","8,066.0","9,022.0","10,601.0","15,554.0","23,279.0","28,071.0","41,867.0","53,101.0"
"81","59","        Residential","K100591","13,255.0","5,032.0","4,411.0","2,840.0","10,627.0","16,605.0","13,724.0","6,890.0","7,206.0","7,437.0","4,598.0","7,279.0","8,162.0","9,434.0","13,902.0","20,398.0","24,551.0","36,257.0","46,205.0"
"82","60","      Government","K100601","8,747.0","3,500.0","3,142.0","1,975.0","7,388.0","11,636.0","10,258.0","5,235.0","5,582.0","5,731.0","3,590.0","5,744.0","6,625.0","7,825.0","11,338.0","16,782.0","20,430.0","30,325.0","37,966.0"
"83","61","    Private inventories \1\","K100611","4,947.0","1,826.0","1,406.0","829.0","3,048.0","4,443.0","3,683.0","1,820.0","1,943.0","1,943.0","1,184.0","1,887.0","2,132.0","2,425.0","3,514.0","5,455.0","6,508.0","9,351.0","11,483.0"
"84","62","  Real holding gains or losses (-)","K100621","13,310.0","-10,635.0","-19,883.0","31.0","16,740.0","12,697.0","-19,838.0","-13,337.0","-20,501.0","-24,200.0","-6,655.0","-8,401.0","-29,359.0","11,261.0","5,163.0","14,485.0","-1,312.0","20,893.0","-4,441.0"
"85","63","    Fixed assets","K100631","15,226.0","3,184.0","-14,692.0","911.0","23,897.0","12,321.0","-18,523.0","-15,572.0","-16,193.0","-22,387.0","-5,877.0","-8,030.0","-24,117.0","13,973.0","3,011.0","17,356.0","5,915.0","25,997.0","-3,158.0"
"86","64","      Private","K100641","5,700.0","3,313.0","-5,015.0","-745.0","18,672.0","840.0","-11,902.0","-16,319.0","-5,776.0","-17,519.0","-6,538.0","-11,510.0","-22,006.0","15,319.0","937.0","12,858.0","3,121.0","23,756.0","-15,183.0"
"87","65","        Nonresidential","K100651","4,381.0","3,322.0","-1,077.0","-3,809.0","16,123.0","12,561.0","1,084.0","-9,344.0","-189.0","-12,491.0","-3,813.0","-4,973.0","-6,058.0","2,210.0","-1,418.0","-100.0","-131.0","3,476.0","-1,921.0"
"88","66","        Residential","K100661","1,319.0","-9.0","-3,938.0","3,064.0","2,549.0","-11,721.0","-12,986.0","-6,975.0","-5,587.0","-5,028.0","-2,725.0","-6,537.0","-15,948.0","13,109.0","2,355.0","12,958.0","3,252.0","20,280.0","-13,262.0"
"89","67","      Government","K100671","9,526.0","-129.0","-9,677.0","1,656.0","5,225.0","11,481.0","-6,621.0","747.0","-10,417.0","-4,868.0","661.0","3,480.0","-2,111.0","-1,346.0","2,074.0","4,498.0","2,794.0","2,241.0","12,025.0"
"90","68","    Private inventories \1\","K100681","-1,916.0","-13,819.0","-5,191.0","-880.0","-7,157.0","376.0","-1,315.0","2,235.0","-4,308.0","-1,813.0","-778.0","-371.0","-5,242.0","-2,712.0","2,152.0","-2,871.0","-7,227.0","-5,104.0","-1,283.0"
"91",NA,"Closing balance"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","69","Produced assets \13\","K100691","1,085,545.0","1,131,861.0","1,169,064.0","1,214,926.0","1,312,707.0","1,426,186.0","1,496,947.0","1,546,796.0","1,604,826.0","1,658,250.0","1,721,524.0","1,801,336.0","1,867,308.0","1,984,818.0","2,123,577.0","2,305,383.0","2,479,170.0","2,718,927.0","2,969,888.0"
"93","70","  Fixed assets","K100701","958,201.0","1,012,996.0","1,052,036.0","1,099,886.0","1,196,788.0","1,301,498.0","1,369,114.0","1,415,274.0","1,471,752.0","1,521,814.0","1,581,708.0","1,653,903.0","1,717,364.0","1,830,340.0","1,954,186.0","2,119,772.0","2,284,412.0","2,510,869.0","2,742,457.0"
"94","71","    Private","K100711","713,808.0","751,835.0","783,164.0","815,124.0","888,699.0","958,380.0","1,008,802.0","1,033,903.0","1,077,971.0","1,110,881.0","1,147,548.0","1,190,282.0","1,228,631.0","1,313,836.0","1,402,785.0","1,521,974.0","1,636,421.0","1,804,632.0","1,962,783.0"
"95","72","      Nonresidential","K100721","366,187.0","386,271.0","403,681.0","414,889.0","457,016.0","505,498.0","540,601.0","551,323.0","573,928.0","586,843.0","604,297.0","626,756.0","650,565.0","689,280.0","738,807.0","804,225.0","871,149.0","957,848.0","1,055,739.0"
"96","73","      Residential","K100731","347,621.0","365,564.0","379,483.0","400,235.0","431,683.0","452,882.0","468,201.0","482,580.0","504,043.0","524,038.0","543,251.0","563,526.0","578,066.0","624,556.0","663,978.0","717,749.0","765,272.0","846,784.0","907,044.0"
"97","74","    Government","K100741","244,393.0","261,161.0","268,872.0","284,762.0","308,089.0","343,118.0","360,312.0","381,371.0","393,781.0","410,933.0","434,160.0","463,621.0","488,733.0","516,504.0","551,401.0","597,798.0","647,991.0","706,237.0","779,674.0"
"98","75","  Private inventories \1\","A371RC1","127,344.0","118,865.0","117,028.0","115,040.0","115,919.0","124,688.0","127,833.0","131,522.0","133,074.0","136,436.0","139,816.0","147,433.0","149,944.0","154,478.0","169,391.0","185,611.0","194,758.0","208,058.0","227,431.0"
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","1. Estimates of government inventories are not available.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","2. Private fixed investment shown in table 5.2.5, line 7.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","3. Gross government investment shown in table 5.2.5, line 26.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","4. Used autos are valued at acquisition prices less depreciation in the estimates of the stocks of private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","fixed assets and consumer durable goods; net purchases of used autos by business from consumers are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","valued at wholesale prices in gross fixed investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","5. This adjustment reflects a timing difference between fixed investment and the stock of produced assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","In investment, the value of structures and equipment for electric plants is recorded on a put-in-place",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","basis; in the stocks, the investment is recorded when the plants are put in use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","6. Consists of the value of abandoned nuclear power plants that were never put in use. The investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","in these plants is included in gross fixed investment, but does not enter the opening or closing balances.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","7. Sale of equipment scrap, excluding autos shown in table 5.5.5, line 33.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","8. Consists primarily of statistical revisions to the NIPAs that have not been incorporated into the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","fixed assets accounts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","9. Change in private inventories shown in table 1.1.5, line 14. Inventory estimates are not adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","for disaster losses, theft, obsolescence, or infestation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","10. Consists of disaster losses. Private fixed assets destroyed are valued at current cost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","11. Consists of disaster and war losses. Government fixed assets destroyed are valued at current cost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","12. Neutral holding gains are the gains derived from holding an asset if the price of an asset changed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","in the same proportion as the general price level. The chain-type price index for gross domestic purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","is used as a measure for the general price level.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","13. Equals lines 1+8-19-32+43-44+54.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
