"","Table 3#23# State and Local Government Current Receipts and Expe","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"33","14","    Current expenditures","W024RU1","23,850.0","24,616.0","25,426.0","26,350.0","27,443.0","28,450.0","29,468.0","30,568.0","31,800.0","32,861.0","33,740.0","34,586.0","35,832.0","36,707.0","37,638.0","38,302.0","39,278.0","40,322.0","41,148.0","42,394.0","43,367.0","45,140.0","46,831.0","48,752.0","51,048.0","52,985.0","54,087.0","55,182.0","55,990.0","56,705.0","57,681.0","58,683.0","60,185.0","61,832.0","63,062.0","64,391.0","65,923.0","67,341.0","68,653.0","69,951.0","71,886.0","73,163.0","75,279.0","77,245.0","79,516.0","81,237.0","83,670.0","85,522.0","87,962.0","90,163.0","91,718.0","93,028.0","95,228.0","97,612.0","99,414.0","100,991.0","103,628.0","105,400.0","106,512.0","108,031.0","110,390.0","112,643.0","114,234.0","117,428.0","119,932.0","122,522.0","125,625.0","128,573.0","130,630.0","132,600.0","134,895.0","138,237.0","139,963.0","142,176.0","143,971.0","146,766.0","148,923.0","151,530.0","154,194.0","158,218.0","162,377.0","166,503.0","170,079.0","174,399.0","177,805.0","181,129.0","185,678.0","191,417.0","192,869.0","198,671.0","203,203.0","209,867.0","210,409.0","217,207.0","222,099.0","223,352.0","223,923.0","226,785.0","231,083.0","232,493.0","234,353.0","238,491.0","241,453.0","246,751.0","249,466.0","253,706.0","255,003.0","253,214.0","255,963.0","262,833.0","262,165.0","264,056.0","266,557.0","269,104.0","271,995.0","276,490.0","277,175.0","281,798.0","284,158.0","290,207.0","294,451.0","299,924.0","305,941.0","312,247.0","313,684.0","320,400.0","325,758.0","333,344.0","342,469.0","355,384.0","354,189.0","365,879.0","367,187.0","374,468.0","379,803.0","387,893.0","392,870.0","397,964.0","401,046.0","404,131.0","410,737.0","421,303.0","421,548.0","429,854.0","432,743.0","443,516.0","445,759.0","453,372.0","450,112.0","461,136.0","466,758.0","472,294.0","485,585.0","491,741.0","492,975.0","503,015.0","504,886.0","516,685.0","524,055.0","528,517.0","533,390.0","547,817.0","552,870.0","557,075.0","554,835.0","558,783.0","557,844.0","564,364.0","561,167.0","564,479.0","559,857.0","560,914.0","563,290.0","570,706.0","569,099.0","574,833.0","574,577.0","580,984.0","583,779.0","584,234.0","587,846.0","595,591.0","604,516.0","604,771.0"
"34","15","Consumption expenditures","A991RU1","19,109.0","19,761.0","20,442.0","21,125.0","21,942.0","22,633.0","23,406.0","24,130.0","25,019.0","25,743.0","26,456.0","26,993.0","27,857.0","28,503.0","29,228.0","29,795.0","30,502.0","31,271.0","32,072.0","32,966.0","34,148.0","35,410.0","36,767.0","38,161.0","39,694.0","41,113.0","42,097.0","42,711.0","43,292.0","43,908.0","44,562.0","45,418.0","46,571.0","47,612.0","48,836.0","49,986.0","51,010.0","51,837.0","52,953.0","54,056.0","55,575.0","56,354.0","58,068.0","59,451.0","61,033.0","62,545.0","63,938.0","65,267.0","67,106.0","68,454.0","69,658.0","70,871.0","72,387.0","73,802.0","74,931.0","76,293.0","77,728.0","78,729.0","79,706.0","80,563.0","82,432.0","84,042.0","85,873.0","87,614.0","89,802.0","91,761.0","94,126.0","96,118.0","97,610.0","98,809.0","100,486.0","102,985.0","104,571.0","106,325.0","107,693.0","109,758.0","111,727.0","113,690.0","115,495.0","118,025.0","121,229.0","124,103.0","126,518.0","129,476.0","132,674.0","134,785.0","137,750.0","140,970.0","142,319.0","143,806.0","145,843.0","148,162.0","150,874.0","153,849.0","156,383.0","157,936.0","159,605.0","160,860.0","162,265.0","163,745.0","166,853.0","169,312.0","171,960.0","174,112.0","176,399.0","178,657.0","180,092.0","181,675.0","183,673.0","186,049.0","187,885.0","190,472.0","192,809.0","194,716.0","197,435.0","200,970.0","203,661.0","207,050.0","210,734.0","214,235.0","218,321.0","223,176.0","228,049.0","232,456.0","236,411.0","239,988.0","243,929.0","248,788.0","254,125.0","258,511.0","262,403.0","264,700.0","267,851.0","271,653.0","274,539.0","276,995.0","280,548.0","280,177.0","281,910.0","284,503.0","289,733.0","294,560.0","298,937.0","304,338.0","307,375.0","310,835.0","316,489.0","321,908.0","323,968.0","329,167.0","334,108.0","338,664.0","346,200.0","350,666.0","354,481.0","360,024.0","365,593.0","371,238.0","378,041.0","373,871.0","371,964.0","375,851.0","378,798.0","381,747.0","380,299.0","380,262.0","378,851.0","378,891.0","378,903.0","382,398.0","382,590.0","380,909.0","384,102.0","382,690.0","383,538.0","385,986.0","387,478.0","388,511.0","391,296.0","393,405.0","396,445.0","399,539.0","402,630.0","402,375.0"
"35","16","Currrent transfer payments","LA0000241",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","61,139.0","61,907.0","63,414.0","65,889.0","64,150.0","67,601.0","68,831.0","70,852.0","71,543.0","77,366.0","73,657.0","82,504.0","80,241.0","82,745.0","83,114.0","86,935.0","85,347.0","88,840.0","89,626.0","89,753.0","92,407.0","98,958.0","95,314.0","98,339.0","97,943.0","104,914.0","101,056.0","102,706.0","96,737.0","102,018.0","102,252.0","102,915.0","108,108.0","107,713.0","105,973.0","111,478.0","109,523.0","115,155.0","113,345.0","117,375.0","118,148.0","124,558.0","124,413.0","125,510.0","125,850.0","129,831.0","130,651.0","137,494.0","135,004.0","134,816.0","129,427.0","131,120.0","129,554.0","137,779.0","134,857.0","137,815.0","135,873.0","141,605.0","142,516.0","142,317.0","144,865.0","150,740.0","157,030.0","157,237.0"
"36","17","  Government social benefit payments to persons","B109RU1","3,172.0","3,238.0","3,312.0","3,495.0","3,697.0","3,937.0","4,094.0","4,373.0","4,575.0","4,814.0","4,873.0","5,070.0","5,324.0","5,450.0","5,570.0","5,609.0","5,829.0","6,043.0","5,985.0","6,227.0","5,876.0","6,236.0","6,407.0","6,757.0","7,324.0","7,678.0","7,686.0","8,114.0","8,337.0","8,407.0","8,669.0","8,725.0","8,944.0","9,427.0","9,306.0","9,362.0","9,791.0","10,280.0","10,334.0","10,362.0","10,579.0","10,925.0","11,173.0","11,639.0","12,234.0","12,308.0","13,174.0","13,485.0","13,837.0","14,431.0","14,509.0","14,313.0","14,683.0","15,327.0","15,665.0","15,522.0","16,354.0","16,798.0","16,659.0","17,095.0","17,393.0","17,830.0","17,365.0","18,581.0","18,668.0","19,022.0","19,457.0","20,113.0","20,328.0","20,837.0","21,246.0","21,933.0","22,000.0","22,404.0","22,802.0","23,520.0","23,731.0","24,235.0","24,777.0","25,758.0","25,960.0","26,726.0","27,640.0","29,022.0","29,579.0","30,925.0","32,448.0","34,703.0","34,282.0","38,113.0","40,130.0","43,992.0","41,338.0","44,842.0","47,046.0","46,770.0","45,896.0","47,702.0","50,766.0","50,846.0","49,719.0","51,351.0","51,445.0","54,192.0","54,031.0","55,693.0","55,518.0","52,394.0","53,699.0","58,583.0","56,307.0","55,666.0","55,702.0","56,440.0","56,940.0","58,476.0","57,305.0","59,178.0","58,280.0","61,016.0","61,139.0","61,907.0","63,414.0","65,889.0","64,150.0","67,601.0","68,831.0","70,852.0","71,543.0","77,366.0","73,657.0","82,504.0","80,241.0","82,745.0","83,114.0","86,935.0","85,347.0","88,840.0","89,626.0","89,753.0","92,407.0","98,958.0","95,314.0","98,339.0","97,943.0","104,914.0","101,056.0","102,706.0","96,737.0","102,018.0","102,252.0","102,915.0","108,108.0","107,713.0","105,973.0","111,478.0","109,523.0","115,155.0","113,345.0","117,375.0","118,148.0","124,558.0","124,413.0","125,510.0","125,850.0","129,831.0","130,651.0","137,494.0","135,004.0","134,816.0","129,427.0","131,120.0","129,554.0","137,779.0","134,857.0","137,815.0","135,873.0","141,605.0","142,516.0","142,317.0","144,865.0","150,740.0","157,030.0","157,237.0"
"37","18","  Current transfer payments to the rest of the world","LA0000251",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"38","19","Interest payments \1\","B111RU1","1,563.0","1,611.0","1,666.0","1,723.0","1,798.0","1,874.0","1,962.0","2,059.0","2,199.0","2,296.0","2,402.0","2,513.0","2,639.0","2,742.0","2,826.0","2,884.0","2,930.0","2,989.0","3,070.0","3,177.0","3,317.0","3,466.0","3,627.0","3,802.0","3,996.0","4,156.0","4,263.0","4,312.0","4,316.0","4,344.0","4,401.0","4,491.0","4,617.0","4,742.0","4,868.0","4,988.0","5,067.0","5,167.0","5,307.0","5,466.0","5,657.0","5,803.0","5,953.0","6,069.0","6,162.0","6,297.0","6,469.0","6,678.0","6,924.0","7,179.0","7,449.0","7,738.0","8,047.0","8,370.0","8,703.0","9,060.0","9,432.0","9,761.0","10,038.0","10,267.0","10,462.0","10,673.0","10,902.0","11,144.0","11,376.0","11,657.0","11,962.0","12,264.0","12,613.0","12,876.0","13,088.0","13,246.0","13,324.0","13,380.0","13,407.0","13,416.0","13,385.0","13,519.0","13,830.0","14,340.0","15,093.0","15,580.0","15,828.0","15,808.0","15,460.0","15,327.0","15,386.0","15,649.0","16,167.0","16,648.0","17,125.0","17,610.0","18,097.0","18,419.0","18,573.0","18,551.0","18,329.0","18,131.0","17,962.0","17,813.0","17,694.0","17,741.0","17,965.0","18,365.0","18,957.0","19,278.0","19,317.0","19,068.0","18,514.0","18,121.0","17,889.0","17,827.0","17,944.0","17,840.0","17,508.0","16,929.0","16,096.0","15,458.0","15,033.0","14,846.0","14,886.0","14,736.0","14,371.0","13,790.0","13,002.0","12,682.0","12,860.0","13,557.0","14,786.0","15,908.0","16,918.0","17,834.0","18,639.0","19,925.0","21,733.0","24,072.0","26,954.0","28,861.0","29,759.0","29,649.0","28,504.0","27,693.0","27,205.0","27,085.0","27,333.0","27,674.0","28,121.0","28,665.0","29,314.0","29,858.0","30,305.0","30,622.0","30,807.0","30,697.0","30,333.0","29,703.0","28,774.0","29,555.0","32,131.0","36,572.0","42,778.0","47,107.0","49,357.0","49,515.0","48,281.0","48,160.0","47,948.0","47,741.0","47,046.0","47,155.0","47,729.0","48,773.0","49,521.0","50,123.0","50,590.0","50,916.0","51,109.0","50,749.0","49,848.0","48,391.0","46,414.0","45,189.0","44,731.0","45,033.0"
"39","20","  To persons and business \1\","Y705RU1","1,563.0","1,611.0","1,666.0","1,723.0","1,797.0","1,874.0","1,962.0","2,059.0","2,199.0","2,296.0","2,402.0","2,513.0","2,639.0","2,742.0","2,826.0","2,884.0","2,930.0","2,989.0","3,069.0","3,177.0","3,317.0","3,466.0","3,627.0","3,802.0","3,996.0","4,156.0","4,263.0","4,312.0","4,316.0","4,344.0","4,401.0","4,491.0","4,617.0","4,742.0","4,868.0","4,988.0","5,067.0","5,167.0","5,307.0","5,466.0","5,657.0","5,803.0","5,953.0","6,069.0","6,162.0","6,297.0","6,469.0","6,678.0","6,924.0","7,179.0","7,449.0","7,738.0","8,047.0","8,370.0","8,703.0","9,060.0","9,432.0","9,761.0","10,038.0","10,267.0","10,462.0","10,673.0","10,902.0","11,144.0","11,376.0","11,657.0","11,962.0","12,264.0","12,613.0","12,876.0","13,088.0","13,246.0","13,324.0","13,380.0","13,407.0","13,416.0","13,385.0","13,519.0","13,830.0","14,340.0","15,093.0","15,580.0","15,828.0","15,808.0","15,460.0","15,327.0","15,386.0","15,649.0","16,167.0","16,648.0","17,125.0","17,610.0","18,097.0","18,419.0","18,573.0","18,551.0","18,329.0","18,131.0","17,962.0","17,813.0","17,694.0","17,741.0","17,965.0","18,365.0","18,957.0","19,278.0","19,317.0","19,068.0","18,514.0","18,121.0","17,889.0","17,827.0","17,944.0","17,840.0","17,508.0","16,929.0","16,096.0","15,458.0","15,033.0","14,846.0","14,886.0","14,736.0","14,371.0","13,790.0","13,002.0","12,682.0","12,860.0","13,557.0","14,786.0","15,908.0","16,918.0","17,834.0","18,639.0","19,925.0","21,733.0","24,072.0","26,954.0","28,861.0","29,759.0","29,649.0","28,504.0","27,693.0","27,205.0","27,085.0","27,333.0","27,674.0","28,121.0","28,665.0","29,314.0","29,858.0","30,305.0","30,622.0","30,807.0","30,697.0","30,333.0","29,703.0","28,045.0","28,794.0","31,350.0","35,849.0","42,078.0","46,495.0","48,749.0","48,893.0","47,678.0","47,587.0","47,391.0","47,156.0","46,416.0","46,508.0","47,079.0","48,133.0","48,814.0","49,397.0","49,875.0","50,246.0","50,435.0","50,097.0","49,196.0","47,753.0","45,760.0","44,513.0","44,061.0","44,370.0"
"40","21","  To the rest of the world","Y706RU1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","730.0","762.0","780.0","723.0","700.0","612.0","608.0","621.0","603.0","573.0","557.0","584.0","630.0","647.0","650.0","640.0","708.0","726.0","715.0","671.0","674.0","652.0","652.0","639.0","655.0","676.0","670.0","663.0"
"41","22","Subsidies","B114RU1","6.0","6.0","6.0","7.0","6.0","6.0","6.0","6.0","7.0","8.0","9.0","10.0","12.0","13.0","14.0","15.0","17.0","19.0","21.0","24.0","26.0","28.0","30.0","32.0","35.0","38.0","41.0","44.0","45.0","46.0","49.0","49.0","52.0","51.0","52.0","55.0","55.0","57.0","60.0","67.0","75.0","81.0","85.0","86.0","87.0","87.0","89.0","91.0","95.0","99.0","102.0","106.0","111.0","113.0","115.0","115.0","114.0","112.0","110.0","106.0","103.0","98.0","94.0","90.0","86.0","83.0","80.0","79.0","79.0","78.0","76.0","73.0","67.0","67.0","69.0","73.0","80.0","87.0","91.0","94.0","95.0","94.0","94.0","94.0","92.0","92.0","94.0","96.0","101.0","103.0","104.0","104.0","100.0","98.0","96.0","94.0","93.0","92.0","90.0","89.0","88.0","86.0","84.0","82.0","79.0","78.0","77.0","77.0","77.0","80.0","84.0","91.0","102.0","108.0","112.0","115.0","114.0","113.0","111.0","109.0","105.0","105.0","107.0","112.0","121.0","129.0","138.0","147.0","2,015.0","3,599.0","1,211.0","841.0","456.0","145.0","417.0","-109.0","21.0","86.0","-249.0","226.0","93.0","92.0","92.0","92.0","92.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","470.0","2,665.0","2,188.0","1,810.0","996.0","737.0","538.0","699.0","500.0","301.0","302.0","303.0","405.0","530.0","394.0","238.0","214.0","110.0","111.0","112.0","113.0","114.0","115.0","116.0","117.0","118.0","119.0","121.0","122.0","123.0","124.0","125.0"
"42","23","    Net state and local government saving","A924RU1","-110.0","1,854.0","-786.0","3,147.0","-46.0","2,569.0","-2,479.0","2,917.0","-1,516.0","851.0","-2,424.0","3,671.0","-738.0","3,986.0","-2,128.0","7,298.0","1,354.0","3,384.0","-933.0","5,837.0","110.0","1,506.0","-2,370.0","3,071.0","-3,085.0","-838.0","-4,916.0","3,274.0","-1,322.0","270.0","-3,233.0","7,084.0","-381.0","1,842.0","-1,753.0","8,735.0","1,240.0","5,097.0","-495.0","7,601.0","1,256.0","1,467.0","-2,133.0","7,610.0","2,748.0","8.0","-4,533.0","7,155.0","2,166.0","635.0","-5,735.0","7,071.0","-1,029.0","-193.0","-8,777.0","4,898.0","-2,936.0","-823.0","-3,961.0","8,997.0","6,171.0","5,582.0","-1,976.0","11,148.0","6,491.0","1,793.0","-93.0","12,070.0","6,402.0","1,043.0","-325.0","13,311.0","3,947.0","3,540.0","-5,842.0","10,429.0","7,891.0","4,701.0","-5,104.0","9,499.0","6,690.0","3,298.0","-7,667.0","5,105.0","3,653.0","-969.0","-13,397.0","4,261.0","-2,575.0","-7,380.0","-17,042.0","1,901.0","-7,623.0","-9,124.0","-26,075.0","5,311.0","-10,890.0","-10,948.0","-22,638.0","7,258.0","-4,113.0","-10,429.0","-20,399.0","7,973.0","-4,906.0","-11,806.0","-25,120.0","10,286.0","-954.0","-4,957.0","-18,735.0","12,192.0","1,861.0","-1,087.0","-15,124.0","16,028.0","5,888.0","3,498.0","-16,269.0","22,287.0","6,493.0","2,284.0","-21,208.0","21,660.0","7,526.0","8,108.0","-25,792.0","20,065.0","-3,027.0","-10,434.0","-47,789.0","-4,037.0","-25,455.0","-24,588.0","-60,347.0","-10,537.0","-38,260.0","-37,521.0","-52,900.0","7,274.0","-27,663.0","-32,307.0","-59,884.0","11,490.0","-19,841.0","-12,015.0","-53,403.0","18,661.0","-10,667.0","5,108.0","-54,898.0","21,052.0","-21,002.0","1,657.0","-68,304.0","14,920.0","-41,726.0","-15,344.0","-93,982.0","-14,003.0","-74,216.0","-59,582.0","-120,572.0","-17,545.0","-75,768.0","-57,492.0","-99,779.0","-4,258.0","-63,345.0","-37,733.0","-106,871.0","-7,975.0","-69,431.0","-44,268.0","-99,349.0","-7,727.0","-58,831.0","-29,045.0","-93,080.0","-6,145.0","-60,964.0","-24,853.0","-86,054.0","4,162.0"
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","24","  Gross government investment","A799RU1","6,106.0","7,714.0","8,136.0","6,861.0","5,946.0","7,421.0","8,501.0","7,467.0","6,501.0","7,979.0","8,497.0","7,734.0","6,663.0","7,900.0","8,734.0","8,046.0","7,241.0","8,609.0","9,425.0","8,714.0","8,246.0","10,542.0","11,417.0","10,295.0","9,018.0","11,638.0","13,032.0","10,861.0","9,108.0","11,723.0","13,116.0","10,945.0","8,227.0","11,417.0","13,053.0","11,263.0","8,151.0","12,857.0","15,724.0","14,092.0","9,627.0","14,184.0","17,877.0","16,668.0","12,603.0","16,589.0","19,257.0","17,250.0","13,560.0","16,714.0","19,226.0","17,418.0","12,755.0","16,651.0","19,814.0","17,773.0","13,270.0","16,933.0","20,810.0","17,814.0","14,457.0","19,139.0","23,454.0","20,539.0","16,223.0","22,091.0","26,418.0","22,616.0","18,449.0","24,429.0","28,941.0","24,381.0","19,874.0","25,571.0","30,251.0","26,497.0","21,194.0","28,155.0","32,213.0","28,850.0","23,177.0","30,019.0","34,549.0","31,470.0","26,411.0","33,064.0","37,946.0","34,743.0","27,336.0","34,455.0","39,925.0","35,580.0","29,562.0","35,691.0","39,860.0","34,610.0","27,988.0","35,712.0","41,105.0","36,398.0","28,736.0","36,768.0","44,276.0","39,033.0","31,921.0","40,697.0","46,313.0","41,048.0","33,805.0","42,642.0","49,224.0","44,489.0","40,309.0","47,249.0","52,651.0","45,618.0","38,176.0","48,077.0","56,834.0","50,652.0","43,076.0","53,308.0","61,398.0","55,828.0","48,476.0","58,331.0","66,638.0","59,433.0","51,149.0","65,051.0","69,154.0","64,435.0","55,255.0","66,372.0","75,311.0","66,357.0","55,767.0","67,619.0","77,604.0","67,911.0","57,333.0","71,134.0","79,351.0","69,636.0","58,840.0","74,417.0","84,017.0","73,489.0","63,757.0","80,973.0","90,153.0","79,415.0","69,411.0","86,807.0","97,711.0","86,855.0","73,736.0","91,390.0","103,823.0","89,892.0","75,949.0","93,956.0","104,849.0","88,293.0","71,938.0","90,206.0","102,539.0","87,175.0","70,326.0","86,568.0","98,382.0","85,216.0","69,463.0","85,442.0","94,736.0","80,104.0","65,655.0","82,465.0","94,050.0","80,745.0","65,441.0","84,325.0","96,623.0","84,873.0"
"45","25","  Consumption of fixed capital","A919RU1","2,304.0","2,387.0","2,439.0","2,523.0","2,600.0","2,691.0","2,776.0","2,879.0","2,954.0","3,028.0","3,087.0","3,163.0","3,231.0","3,285.0","3,360.0","3,450.0","3,547.0","3,653.0","3,758.0","3,898.0","4,129.0","4,440.0","4,763.0","5,001.0","5,143.0","5,209.0","5,266.0","5,342.0","5,419.0","5,498.0","5,542.0","5,609.0","5,720.0","5,812.0","5,923.0","6,027.0","6,139.0","6,293.0","6,451.0","6,607.0","6,795.0","7,029.0","7,280.0","7,542.0","7,821.0","8,117.0","8,445.0","8,758.0","9,066.0","9,346.0","9,593.0","9,834.0","10,040.0","10,259.0","10,432.0","10,525.0","10,601.0","10,652.0","10,734.0","10,811.0","10,911.0","11,038.0","11,171.0","11,293.0","11,472.0","11,628.0","11,798.0","11,995.0","12,191.0","12,442.0","12,683.0","12,961.0","13,177.0","13,415.0","13,655.0","13,856.0","14,102.0","14,320.0","14,563.0","14,798.0","15,040.0","15,326.0","15,609.0","15,892.0","16,193.0","16,518.0","16,868.0","17,119.0","17,361.0","17,628.0","17,852.0","18,025.0","18,174.0","18,431.0","18,642.0","18,894.0","19,203.0","19,488.0","19,699.0","19,958.0","20,278.0","20,551.0","20,897.0","21,213.0","21,596.0","21,929.0","22,227.0","22,533.0","22,793.0","22,993.0","23,269.0","23,528.0","23,788.0","24,085.0","24,313.0","24,670.0","24,928.0","25,204.0","25,614.0","26,007.0","26,364.0","26,827.0","27,219.0","27,738.0","28,236.0","28,839.0","29,329.0","29,774.0","30,213.0","30,570.0","30,910.0","31,296.0","31,688.0","32,101.0","32,460.0","32,773.0","33,175.0","33,471.0","33,784.0","34,106.0","34,529.0","35,335.0","36,441.0","37,473.0","37,979.0","38,850.0","39,877.0","40,590.0","41,062.0","42,155.0","42,945.0","44,143.0","45,427.0","46,238.0","47,017.0","47,893.0","48,723.0","49,476.0","50,412.0","51,543.0","52,117.0","52,032.0","51,926.0","52,112.0","52,503.0","52,983.0","53,399.0","53,849.0","54,431.0","55,168.0","55,950.0","56,621.0","57,211.0","57,830.0","58,293.0","58,563.0","58,925.0","59,365.0","59,838.0","60,373.0","60,876.0","61,319.0","61,802.0","62,077.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
