"","Table 5#8#6A# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"34","15","      Nonmerchant wholesalers","A805RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","19,471.0","19,671.0","20,265.0","20,214.0","20,708.0","21,151.0","21,632.0","21,710.0","21,435.0","21,503.0","21,761.0","22,054.0","22,507.0","22,917.0","23,380.0","23,793.0","24,215.0","24,551.0","24,962.0","25,284.0","25,527.0","25,625.0","25,705.0","25,825.0","26,056.0","26,147.0","26,342.0","26,463.0","26,669.0","26,996.0","27,607.0","28,116.0","28,783.0","29,794.0","30,321.0","30,662.0","31,162.0","31,150.0","31,781.0","32,098.0","32,308.0","32,859.0","33,332.0","33,726.0","33,943.0"
"35","16","        Durable goods","B806RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7,056.0","7,168.0","7,514.0","7,355.0","7,597.0","7,902.0","8,180.0","8,207.0","8,059.0","7,984.0","8,003.0","8,199.0","8,452.0","8,753.0","8,979.0","9,176.0","9,346.0","9,564.0","9,876.0","9,988.0","10,016.0","10,035.0","10,063.0","10,100.0","10,212.0","10,306.0","10,492.0","10,576.0","10,668.0","10,844.0","11,082.0","11,464.0","11,780.0","12,237.0","12,497.0","12,658.0","12,854.0","12,898.0","13,039.0","13,146.0","13,225.0","13,522.0","13,740.0","13,923.0","14,068.0"
"36","17","        Nondurable goods","B807RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","14,522.0","14,602.0","14,823.0","15,023.0","15,284.0","15,365.0","15,544.0","15,604.0","15,483.0","15,706.0","16,030.0","16,091.0","16,274.0","16,314.0","16,559.0","16,783.0","17,068.0","17,149.0","17,170.0","17,416.0","17,704.0","17,806.0","17,868.0","17,969.0","18,091.0","18,051.0","17,990.0","18,010.0","18,131.0","18,273.0","18,700.0","18,720.0","19,085.0","19,673.0","19,937.0","20,121.0","20,470.0","20,367.0","21,017.0","21,274.0","21,425.0","21,643.0","21,904.0","22,122.0","22,143.0"
"37","18","  Retail trade","A382RX1","41,456.0","41,914.0","41,057.0","43,626.0","46,360.0","46,673.0","47,256.0","48,413.0","47,333.0","46,834.0","49,004.0","47,167.0","47,705.0","49,194.0","51,702.0","55,063.0","57,715.0","58,223.0","56,294.0","55,348.0","53,841.0","52,594.0","53,653.0","55,194.0","55,692.0","56,935.0","57,406.0","56,716.0","56,839.0","56,996.0","57,404.0","56,825.0","59,168.0","60,639.0","61,693.0","63,581.0","63,977.0","64,085.0","63,744.0","63,841.0","63,979.0","65,060.0","66,037.0","66,566.0","65,379.0","64,636.0","64,579.0","65,242.0","66,624.0","68,869.0","69,127.0","68,867.0","73,201.0","73,398.0","74,023.0","73,681.0","71,038.0","71,189.0","71,840.0","72,271.0","73,699.0","74,413.0","75,813.0","77,369.0","78,337.0","78,359.0","79,523.0","81,596.0","83,251.0","85,322.0","87,141.0","86,019.0","90,095.0","91,867.0","92,764.0","94,690.0","96,958.0","100,424.0","100,208.0","102,415.0","102,844.0","101,984.0","100,980.0","102,385.0","104,658.0","107,027.0","106,863.0","111,138.0","112,419.0","113,671.0","117,015.0","118,867.0"
"38","19","    Durable goods","B383RX1","17,491.0","17,898.0","18,372.0","18,793.0","20,672.0","20,888.0","20,985.0","21,476.0","20,941.0","20,064.0","22,373.0","20,466.0","19,758.0","20,735.0","21,730.0","25,122.0","25,960.0","26,869.0","26,610.0","25,874.0","25,098.0","24,308.0","24,410.0","25,334.0","26,040.0","26,623.0","27,353.0","26,560.0","26,184.0","26,273.0","26,301.0","25,739.0","27,012.0","28,214.0","28,451.0","29,394.0","29,681.0","28,904.0","28,456.0","28,359.0","28,292.0","29,096.0","29,987.0","30,535.0","29,483.0","28,565.0","28,118.0","28,342.0","29,139.0","30,381.0","30,127.0","29,364.0","31,987.0","32,394.0","32,574.0","32,417.0","30,271.0","29,988.0","29,709.0","29,560.0","29,820.0","29,898.0","30,923.0","31,551.0","31,696.0","31,450.0","32,065.0","33,623.0","34,752.0","35,503.0","36,527.0","35,097.0","37,839.0","39,016.0","39,813.0","40,329.0","41,488.0","43,673.0","43,130.0","44,116.0","43,184.0","42,004.0","41,277.0","42,021.0","43,303.0","45,403.0","44,622.0","47,990.0","48,464.0","48,366.0","50,500.0","51,643.0"
"39","20","      Motor vehicle dealers \4\","B864RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,266.0","12,040.0","13,273.0","12,809.0","11,771.0","14,667.0","15,203.0","15,438.0","15,228.0","13,015.0","13,029.0","13,021.0","13,030.0","13,267.0","13,202.0","13,969.0","14,746.0","15,098.0","14,847.0","15,290.0","16,734.0","17,575.0","17,974.0","19,188.0","16,969.0","19,202.0","20,691.0","21,475.0","22,399.0","22,594.0","24,290.0","23,213.0","24,628.0","23,686.0","21,823.0","20,707.0","21,594.0","22,830.0","24,508.0","23,172.0","26,525.0","26,698.0","26,295.0","27,891.0","28,894.0"
"40","21","      Other \4\","A865RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","16,064.0","16,162.0","16,296.0","16,433.0","16,568.0","16,637.0","16,582.0","16,558.0","16,582.0","16,405.0","16,148.0","15,912.0","15,775.0","15,820.0","15,939.0","16,244.0","16,196.0","16,052.0","16,030.0","16,227.0","16,483.0","16,825.0","17,176.0","17,152.0","17,582.0","18,275.0","18,176.0","18,278.0","18,036.0","18,886.0","19,509.0","19,829.0","19,636.0","19,534.0","19,899.0","20,105.0","20,088.0","20,268.0","20,826.0","21,148.0","21,557.0","21,836.0","22,052.0","22,701.0","22,938.0"
"41","22","    Nondurable goods","B384RX1","23,324.0","23,384.0","22,120.0","24,182.0","25,039.0","25,130.0","25,593.0","26,234.0","25,706.0","26,127.0","25,870.0","26,031.0","27,326.0","27,788.0","29,268.0","29,093.0","30,881.0","30,440.0","28,768.0","28,587.0","27,886.0","27,466.0","28,442.0","29,014.0","28,747.0","29,387.0","29,059.0","29,228.0","29,778.0","29,843.0","30,237.0","30,269.0","31,273.0","31,439.0","32,277.0","33,177.0","33,263.0","34,304.0","34,472.0","34,694.0","34,924.0","35,119.0","35,099.0","35,007.0","35,002.0","35,318.0","35,804.0","36,254.0","36,776.0","37,692.0","38,290.0","38,952.0","40,449.0","40,165.0","40,626.0","40,448.0","40,191.0","40,699.0","41,747.0","42,396.0","43,628.0","44,307.0","44,578.0","45,500.0","46,371.0","46,691.0","47,205.0","47,566.0","47,995.0","49,326.0","50,059.0","50,563.0","51,677.0","52,186.0","52,212.0","53,662.0","54,725.0","55,871.0","56,266.0","57,466.0","59,007.0","59,470.0","59,255.0","59,884.0","60,799.0","60,861.0","61,597.0","62,206.0","63,012.0","64,452.0","65,527.0","66,164.0"
"42","23","  Other","A385RX1","29,739.0","30,062.0","31,036.0","32,047.0","31,465.0","31,359.0","31,401.0","31,560.0","31,560.0","30,852.0","29,834.0","28,734.0","29,021.0","29,269.0","29,736.0","31,916.0","32,260.0","32,924.0","33,721.0","34,873.0","35,846.0","36,168.0","36,096.0","35,136.0","34,604.0","33,566.0","32,862.0","32,047.0","32,214.0","32,125.0","32,158.0","32,216.0","31,827.0","31,870.0","31,533.0","30,964.0","31,726.0","32,234.0","32,755.0","33,858.0","34,256.0","34,203.0","35,095.0","35,876.0","35,869.0","35,869.0","35,844.0","35,818.0","35,983.0","36,594.0","36,746.0","37,486.0","37,519.0","38,206.0","38,613.0","38,694.0","39,431.0","40,406.0","41,153.0","42,683.0","42,592.0","42,784.0","42,677.0","42,550.0","43,412.0","44,218.0","44,502.0","45,485.0","45,893.0","47,212.0","47,861.0","48,305.0","48,733.0","49,649.0","49,904.0","50,374.0","50,355.0","50,235.0","50,582.0","51,718.0","52,476.0","53,894.0","56,072.0","57,828.0","58,626.0","58,631.0","59,385.0","59,472.0","60,201.0","61,430.0","62,348.0","62,552.0"
"43","24","    Durable goods","B386RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,333.0","3,583.0","3,678.0","3,532.0","3,678.0","3,695.0","3,683.0","3,729.0","3,904.0","4,305.0","4,536.0","4,937.0","5,315.0","5,449.0","5,588.0","5,699.0","5,664.0","5,781.0","5,857.0","5,811.0","5,631.0","5,851.0","6,000.0","5,828.0","5,965.0","6,268.0","6,599.0","6,570.0","6,542.0","6,235.0","6,006.0","5,962.0","6,198.0","6,045.0","6,275.0","6,589.0","6,854.0","6,559.0","6,124.0","5,821.0","5,535.0","5,034.0","5,012.0","5,634.0","5,521.0"
"44","25","    Nondurable goods","B387RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","33,062.0","32,947.0","33,466.0","33,792.0","34,387.0","34,401.0","35,121.0","35,487.0","35,374.0","35,680.0","36,420.0","36,728.0","37,871.0","37,624.0","37,661.0","37,424.0","37,335.0","38,087.0","38,829.0","39,175.0","40,394.0","40,560.0","41,747.0","42,616.0","42,915.0","43,014.0","43,583.0","43,878.0","44,394.0","44,712.0","44,843.0","45,244.0","46,145.0","47,085.0","48,286.0","50,172.0","51,680.0","52,821.0","53,314.0","54,435.0","54,857.0","56,198.0","57,483.0","57,714.0","58,037.0"
"45","26","Residual","A968RX1","21,400.0","20,600.0","18,800.0","17,500.0","17,900.0","18,300.0","18,900.0","19,400.0","18,800.0","19,200.0","20,100.0","20,300.0","19,900.0","19,300.0","19,500.0","17,400.0","17,000.0","15,400.0","13,900.0","12,900.0","12,300.0","13,000.0","13,400.0","13,800.0","14,200.0","14,800.0","15,200.0","16,100.0","15,900.0","15,700.0","15,700.0","15,400.0","15,800.0","15,900.0","15,900.0","16,400.0","16,400.0","16,500.0","15,500.0","15,200.0","15,200.0","15,900.0","16,000.0","15,700.0","15,300.0","15,000.0","15,200.0","14,800.0","14,900.0","14,800.0","14,000.0","12,900.0","14,200.0","13,700.0","13,700.0","13,100.0","11,600.0","10,900.0","11,000.0","10,500.0","11,500.0","11,200.0","11,700.0","11,700.0","11,900.0","11,800.0","11,400.0","10,600.0","10,600.0","10,200.0","10,200.0","10,300.0","11,000.0","11,200.0","12,000.0","12,100.0","12,600.0","12,800.0","14,000.0","13,500.0","13,300.0","13,600.0","12,500.0","12,000.0","12,300.0","12,600.0","12,400.0","12,500.0","12,800.0","12,400.0","12,200.0","12,700.0"
"46","27","    Final sales of domestic business \5\","A809RX1","101,523.0","102,292.0","103,733.0","104,091.0","104,350.0","104,615.0","104,438.0","104,693.0","105,016.0","106,118.0","106,059.0","106,821.0","108,733.0","111,669.0","117,501.0","114,359.0","116,062.0","114,992.0","117,546.0","119,101.0","119,268.0","120,428.0","118,604.0","123,282.0","126,001.0","126,723.0","126,640.0","125,372.0","125,644.0","127,058.0","129,002.0","131,578.0","134,521.0","136,370.0","138,840.0","139,745.0","139,554.0","140,700.0","141,458.0","143,776.0","144,572.0","143,701.0","144,840.0","143,908.0","139,741.0","139,299.0","142,195.0","145,139.0","149,875.0","152,503.0","154,026.0","152,883.0","155,872.0","157,183.0","156,301.0","156,802.0","157,284.0","158,986.0","160,050.0","163,992.0","165,547.0","168,643.0","169,243.0","170,430.0","171,925.0","175,989.0","178,452.0","180,891.0","185,745.0","188,281.0","191,008.0","191,591.0","195,314.0","199,145.0","202,342.0","208,230.0","212,335.0","212,033.0","213,242.0","213,282.0","213,824.0","216,472.0","217,239.0","218,939.0","223,282.0","225,812.0","229,626.0","230,820.0","233,962.0","234,415.0","235,486.0","235,157.0"
"47","28","    Final sales of goods and structures of domestic business \5\","A810RX1","59,520.0","59,652.0","60,639.0","61,326.0","61,597.0","61,491.0","61,445.0","61,534.0","61,517.0","62,353.0","62,564.0","63,258.0","64,566.0","66,595.0","70,527.0","68,074.0","69,264.0","67,749.0","69,534.0","70,849.0","70,761.0","71,346.0","69,886.0","73,437.0","75,205.0","75,593.0","75,529.0","74,973.0","74,782.0","75,661.0","76,540.0","78,416.0","80,543.0","82,829.0","83,985.0","83,939.0","83,599.0","84,438.0","84,725.0","85,790.0","86,817.0","86,024.0","86,748.0","85,412.0","82,867.0","82,479.0","83,909.0","86,202.0","88,770.0","90,200.0","91,336.0","90,164.0","92,396.0","92,900.0","92,829.0","92,676.0","92,833.0","93,206.0","94,410.0","96,868.0","97,902.0","99,443.0","100,253.0","100,730.0","101,717.0","103,985.0","105,968.0","107,175.0","110,214.0","111,426.0","113,425.0","113,198.0","115,662.0","117,645.0","120,171.0","124,126.0","127,248.0","125,999.0","127,232.0","126,602.0","126,460.0","128,447.0","128,729.0","129,581.0","132,291.0","133,425.0","135,933.0","136,365.0","138,787.0","138,290.0","138,878.0","137,782.0"
"48",NA,"Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","29","  Private inventories to final sales","A811RX2","4.02","3.98","3.89","3.87","3.89","3.94","4.01","4.05","4.03","3.95","3.94","3.87","3.82","3.74","3.59","3.80","3.81","3.94","3.92","3.89","3.92","3.88","3.97","3.86","3.80","3.81","3.83","3.85","3.83","3.77","3.70","3.62","3.56","3.55","3.51","3.53","3.57","3.57","3.56","3.52","3.51","3.55","3.54","3.54","3.63","3.62","3.55","3.51","3.42","3.40","3.38","3.43","3.43","3.42","3.47","3.43","3.40","3.38","3.40","3.35","3.37","3.34","3.36","3.36","3.38","3.33","3.31","3.29","3.23","3.21","3.19","3.21","3.20","3.18","3.18","3.13","3.13","3.19","3.22","3.29","3.35","3.34","3.37","3.38","3.35","3.37","3.34","3.35","3.35","3.38","3.41","3.43"
"50","30","  Nonfarm inventories to final sales","A812RX2","2.35","2.35","2.30","2.32","2.35","2.37","2.42","2.44","2.43","2.37","2.37","2.30","2.29","2.27","2.19","2.37","2.40","2.53","2.55","2.54","2.56","2.52","2.58","2.52","2.49","2.50","2.52","2.52","2.49","2.44","2.38","2.33","2.31","2.32","2.32","2.34","2.39","2.40","2.41","2.40","2.40","2.42","2.42","2.41","2.45","2.42","2.36","2.34","2.29","2.31","2.31","2.36","2.38","2.38","2.41","2.37","2.34","2.33","2.35","2.32","2.35","2.33","2.36","2.36","2.37","2.34","2.35","2.34","2.31","2.31","2.31","2.34","2.35","2.34","2.35","2.31","2.33","2.39","2.44","2.51","2.57","2.56","2.59","2.61","2.58","2.59","2.58","2.60","2.60","2.63","2.66","2.70"
"51","31","  Nonfarm inventories to final sales of goods and structures","A813RX2","4.01","4.02","3.94","3.94","3.98","4.04","4.11","4.15","4.15","4.03","4.01","3.89","3.85","3.80","3.65","3.98","4.03","4.30","4.30","4.27","4.32","4.25","4.38","4.23","4.17","4.20","4.22","4.21","4.18","4.10","4.02","3.92","3.86","3.82","3.83","3.90","3.99","4.00","4.03","4.02","3.99","4.05","4.04","4.07","4.13","4.08","4.01","3.93","3.87","3.91","3.89","4.00","4.02","4.03","4.06","4.01","3.97","3.97","3.98","3.93","3.97","3.96","3.99","4.00","4.01","3.97","3.95","3.95","3.90","3.90","3.89","3.95","3.97","3.96","3.95","3.88","3.88","4.03","4.08","4.24","4.35","4.31","4.36","4.41","4.35","4.39","4.36","4.40","4.39","4.46","4.51","4.60"
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","1. Inventories are as of the end of the quarter.The quarter-to-quarter changes calculated from this",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","table are at quarterly rates, whereas the change in private inventories component of GDP is stated at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Beginning with the fourth quarter of 1990, farm inventories includes materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","3. Prior to the fourth quarter of 1958, inventories held by construction establishments are included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","in line 5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","4. Prior to 1981, inventories of auto and home supply stores are included in motor vehicle dealers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Beginning with 1981, these inventories are included in 'other durable goods.'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","5. Quarterly totals at monthly rates. Final sales of domestic business equals final sales of domestic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","product less gross output of general government, gross value added of nonprofit institutions, compensation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","paid to domestic workers, and imputed rental of owner-occupied nonfarm housing. It includes a small",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","amount of final sales by farm and by government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Note. Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier periods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","are based on the 1972 Standard Industrial Classification (SIC). Manufacturing estimates for 1981 and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","earlier periods and trade estimates for 1966 and earlier periods are based on the 1972 SIC; later estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
