"","Table 3#11#6# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"28","9","    Intermediate goods and services purchased \3\","W087RX1","123,174.0","126,975.0","138,678.0","150,432.0","123,826.0","142,588.0","133,061.0","132,936.0","142,489.0","144,438.0","147,880.0","150,616.0","158,498.0","162,134.0","168,336.0","177,218.0","170,918.0","204,204.0","192,395.0","207,134.0","206,889.0","210,419.0","221,116.0","205,752.0","210,717.0","212,301.0","223,229.0","204,989.0","218,314.0","217,171.0","213,364.0","222,964.0","211,081.0","218,118.0","229,762.0","229,078.0","235,807.0","235,429.0","255,079.0","258,206.0","245,044.0","263,678.0","273,066.0","270,577.0","266,062.0","271,881.0","283,578.0","272,914.0","255,333.0","264,760.0","270,202.0","249,988.0","252,389.0","246,734.0","251,523.0","242,958.0","227,731.0","222,086.0","212,365.0","203,417.0","201,293.0","198,047.0","209,028.0","194,505.0","202,106.0","202,055.0","201,245.0","203,550.0"
"29","10","      Durable goods","A998RX1","21,838.0","24,822.0","26,546.0","23,948.0","24,352.0","24,213.0","24,329.0","23,299.0","22,734.0","24,652.0","26,187.0","23,296.0","23,682.0","25,022.0","26,757.0","25,395.0","24,561.0","28,198.0","28,928.0","29,106.0","29,342.0","30,462.0","32,157.0","30,597.0","29,672.0","30,515.0","31,646.0","31,670.0","32,512.0","32,702.0","33,770.0","35,470.0","34,130.0","35,805.0","38,309.0","39,422.0","40,199.0","42,461.0","44,690.0","45,266.0","41,586.0","45,602.0","48,756.0","47,284.0","43,564.0","45,842.0","48,067.0","50,313.0","41,820.0","44,129.0","45,372.0","47,062.0","44,711.0","44,407.0","45,045.0","43,983.0","38,872.0","39,245.0","39,257.0","38,086.0","36,332.0","36,173.0","34,512.0","37,167.0","34,164.0","34,386.0","35,012.0","37,733.0"
"30","11","        Aircraft","B999RX1","10,594.0","12,099.0","12,810.0","11,080.0","11,585.0","10,552.0","11,208.0","10,016.0","9,645.0","10,532.0","12,309.0","10,290.0","10,073.0","10,805.0","11,164.0","10,874.0","10,398.0","12,493.0","12,496.0","13,020.0","12,209.0","12,389.0","13,211.0","12,629.0","11,139.0","11,091.0","10,944.0","11,363.0","10,889.0","10,479.0","10,817.0","12,625.0","10,291.0","11,108.0","12,085.0","13,004.0","11,678.0","12,531.0","13,501.0","13,946.0","13,430.0","14,291.0","14,976.0","16,023.0","13,814.0","15,365.0","16,307.0","19,029.0","15,649.0","17,536.0","18,804.0","19,790.0","18,322.0","18,391.0","19,591.0","20,271.0","16,891.0","17,396.0","18,119.0","17,953.0","16,208.0","16,115.0","14,966.0","16,644.0","14,532.0","14,615.0","15,998.0","17,981.0"
"31","12","        Missiles","B277RX1","2,455.0","2,501.0","2,633.0","2,664.0","2,532.0","2,807.0","2,805.0","3,112.0","3,149.0","3,030.0","3,012.0","2,759.0","2,631.0","2,433.0","3,048.0","2,984.0","2,398.0","2,552.0","2,584.0","3,033.0","2,635.0","2,759.0","3,159.0","2,849.0","3,173.0","3,581.0","3,393.0","3,955.0","4,196.0","4,549.0","4,008.0","4,289.0","4,402.0","4,433.0","4,687.0","4,925.0","4,839.0","4,653.0","4,693.0","4,708.0","4,138.0","4,299.0","5,391.0","4,273.0","4,049.0","4,500.0","4,644.0","4,696.0","3,805.0","3,537.0","3,580.0","3,541.0","3,572.0","3,363.0","3,577.0","3,411.0","3,137.0","3,831.0","3,619.0","3,145.0","3,039.0","3,253.0","3,288.0","3,831.0","3,058.0","3,454.0","3,028.0","3,943.0"
"32","13","        Ships","B278RX1","1,200.0","1,470.0","1,581.0","1,345.0","1,551.0","1,629.0","1,547.0","1,394.0","1,366.0","1,537.0","1,507.0","1,241.0","1,412.0","1,507.0","1,680.0","1,339.0","1,409.0","1,496.0","1,515.0","1,433.0","1,415.0","1,693.0","1,818.0","1,480.0","1,470.0","1,542.0","1,705.0","1,310.0","1,720.0","1,449.0","1,398.0","1,418.0","1,519.0","1,468.0","865.0","914.0","778.0","912.0","860.0","746.0","708.0","784.0","816.0","572.0","751.0","777.0","824.0","776.0","668.0","727.0","732.0","732.0","1,610.0","1,597.0","1,579.0","1,542.0","1,524.0","1,508.0","1,493.0","1,461.0","1,476.0","1,498.0","1,538.0","1,612.0","1,657.0","1,691.0","1,725.0","1,739.0"
"33","14","        Vehicles","B288RX1","927.0","949.0","883.0","880.0","608.0","871.0","776.0","762.0","758.0","793.0","898.0","814.0","814.0","776.0","762.0","825.0","748.0","822.0","845.0","833.0","796.0","773.0","872.0","949.0","972.0","1,080.0","1,349.0","1,378.0","1,508.0","1,686.0","1,943.0","2,006.0","2,055.0","2,482.0","2,580.0","2,728.0","2,730.0","3,103.0","3,040.0","3,722.0","2,323.0","3,639.0","3,963.0","4,114.0","3,716.0","3,597.0","3,157.0","3,356.0","2,877.0","3,034.0","2,764.0","2,905.0","2,368.0","2,661.0","2,542.0","2,216.0","1,694.0","1,580.0","1,610.0","1,390.0","1,658.0","1,463.0","914.0","1,310.0","1,378.0","1,244.0","1,179.0","1,162.0"
"34","15","        Electronics","B388RX1","2,248.0","2,567.0","2,772.0","2,493.0","2,771.0","2,937.0","2,617.0","2,861.0","2,768.0","2,941.0","2,909.0","2,957.0","3,046.0","3,268.0","3,431.0","3,181.0","3,468.0","3,829.0","4,236.0","3,638.0","4,077.0","4,548.0","4,553.0","4,692.0","4,698.0","5,204.0","6,192.0","5,823.0","6,063.0","6,128.0","6,810.0","6,572.0","7,156.0","7,679.0","8,483.0","8,040.0","9,702.0","10,595.0","11,576.0","11,504.0","10,254.0","11,373.0","11,960.0","11,545.0","10,591.0","11,032.0","11,565.0","11,119.0","8,451.0","8,910.0","8,887.0","9,233.0","8,302.0","7,992.0","7,654.0","7,166.0","6,693.0","6,245.0","5,858.0","5,556.0","5,337.0","5,175.0","5,043.0","4,930.0","4,843.0","4,784.0","4,742.0","4,736.0"
"35","16","        Other durable goods","B389RX1","4,573.0","5,394.0","6,011.0","5,624.0","5,411.0","5,509.0","5,506.0","5,249.0","5,153.0","5,918.0","5,676.0","5,301.0","5,769.0","6,284.0","6,746.0","6,258.0","6,167.0","7,036.0","7,261.0","7,198.0","8,236.0","8,324.0","8,586.0","8,005.0","8,252.0","8,048.0","8,077.0","7,860.0","8,181.0","8,464.0","8,833.0","8,574.0","8,751.0","8,665.0","9,622.0","9,835.0","10,477.0","10,669.0","11,012.0","10,636.0","10,731.0","11,218.0","11,649.0","10,758.0","10,641.0","10,573.0","11,570.0","11,343.0","10,362.0","10,388.0","10,615.0","10,875.0","10,546.0","10,408.0","10,116.0","9,403.0","8,950.0","8,708.0","8,580.0","8,600.0","8,614.0","8,669.0","8,764.0","8,839.0","8,684.0","8,591.0","8,345.0","8,187.0"
"36","17","      Nondurable goods","A725RX1","13,166.0","14,547.0","17,552.0","14,646.0","17,427.0","16,681.0","14,491.0","14,257.0","14,921.0","16,559.0","15,696.0","17,475.0","17,447.0","18,848.0","17,821.0","19,735.0","20,332.0","21,435.0","17,541.0","20,659.0","23,293.0","22,891.0","25,152.0","19,622.0","21,063.0","23,822.0","24,159.0","22,517.0","21,924.0","21,490.0","23,373.0","22,723.0","23,060.0","22,643.0","23,119.0","21,696.0","22,760.0","23,256.0","23,225.0","24,224.0","22,840.0","24,740.0","26,365.0","23,850.0","24,032.0","24,129.0","22,955.0","23,173.0","24,143.0","23,347.0","24,178.0","24,921.0","24,326.0","23,469.0","22,594.0","21,918.0","21,338.0","20,082.0","19,502.0","17,980.0","16,997.0","17,239.0","18,455.0","18,528.0","18,697.0","18,621.0","18,335.0","18,021.0"
"37","18","        Petroleum products","B780RX1","7,640.0","8,780.0","10,874.0","6,673.0","8,749.0","7,747.0","7,654.0","7,203.0","8,625.0","8,707.0","9,017.0","10,295.0","9,931.0","10,698.0","9,512.0","12,083.0","12,793.0","11,542.0","6,629.0","9,980.0","12,013.0","10,860.0","13,054.0","7,257.0","8,250.0","11,673.0","11,539.0","10,596.0","9,579.0","9,806.0","11,456.0","10,757.0","10,308.0","10,543.0","10,318.0","9,986.0","10,036.0","10,570.0","10,324.0","10,631.0","9,692.0","10,193.0","11,288.0","10,664.0","10,677.0","10,885.0","10,455.0","10,385.0","11,070.0","10,469.0","10,896.0","11,328.0","11,247.0","10,643.0","10,165.0","9,484.0","9,178.0","8,302.0","8,008.0","7,006.0","6,264.0","6,400.0","7,195.0","7,017.0","7,020.0","7,020.0","7,020.0","7,020.0"
"38","19","        Ammunition","B781RX1","2,187.0","2,345.0","3,011.0","2,370.0","2,126.0","2,046.0","2,734.0","2,520.0","2,437.0","2,751.0","2,812.0","2,765.0","2,975.0","3,425.0","3,511.0","3,183.0","2,747.0","3,529.0","3,616.0","3,653.0","4,242.0","4,372.0","4,583.0","4,566.0","4,372.0","4,606.0","4,914.0","4,596.0","4,656.0","4,488.0","4,410.0","4,606.0","4,470.0","3,910.0","4,627.0","4,001.0","4,544.0","3,977.0","4,365.0","4,523.0","3,819.0","4,285.0","4,128.0","4,479.0","4,188.0","4,396.0","3,890.0","4,096.0","3,854.0","3,811.0","4,000.0","4,264.0","4,075.0","4,061.0","3,982.0","3,782.0","3,567.0","3,346.0","3,111.0","2,868.0","2,802.0","2,923.0","3,196.0","3,669.0","3,881.0","3,863.0","3,628.0","3,156.0"
"39","20","        Other nondurable goods","B783RX1","3,819.0","4,157.0","4,736.0","5,153.0","6,398.0","6,499.0","4,245.0","4,570.0","4,257.0","5,199.0","4,330.0","5,035.0","5,004.0","5,238.0","5,018.0","5,330.0","5,730.0","6,665.0","6,341.0","6,766.0","7,011.0","7,298.0","7,410.0","7,393.0","8,088.0","7,279.0","7,489.0","7,130.0","7,584.0","6,978.0","7,097.0","7,033.0","8,064.0","7,940.0","8,006.0","7,447.0","8,131.0","8,398.0","8,422.0","9,038.0","9,346.0","10,255.0","10,966.0","8,681.0","9,139.0","8,775.0","8,508.0","8,637.0","9,046.0","9,043.0","9,211.0","9,192.0","8,754.0","8,664.0","8,403.0","8,842.0","8,813.0","8,836.0","8,801.0","8,702.0","8,700.0","8,664.0","8,668.0","8,542.0","8,513.0","8,454.0","8,394.0","8,550.0"
"40","21","      Services","A489RX1","87,386.0","86,573.0","94,034.0","111,237.0","81,620.0","101,386.0","93,450.0","94,729.0","104,433.0","102,803.0","105,167.0","109,825.0","117,213.0","118,284.0","123,276.0","132,116.0","126,288.0","154,456.0","144,945.0","156,840.0","154,228.0","156,793.0","163,660.0","155,047.0","159,704.0","157,772.0","167,260.0","150,499.0","163,715.0","162,801.0","155,765.0","164,357.0","153,421.0","159,236.0","167,927.0","167,748.0","172,561.0","169,245.0","187,465.0","188,808.0","180,646.0","193,323.0","197,899.0","199,473.0","198,414.0","201,907.0","212,805.0","199,618.0","188,898.0","197,330.0","200,597.0","177,377.0","182,872.0","178,521.0","183,915.0","177,092.0","167,199.0","162,723.0","153,578.0","147,535.0","148,282.0","144,826.0","155,955.0","138,735.0","148,969.0","148,787.0","147,690.0","147,712.0"
