"","Table 6#16B# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"38","19","        Electric and electronic equipment","A410RBC1","4,284.0","3,733.0","3,447.0","2,673.0","1,764.0","2,671.0","2,702.0","2,948.0","2,624.0","3,071.0","3,454.0","3,923.0","4,215.0","4,044.0","4,428.0","4,731.0","5,031.0","4,864.0","5,054.0","5,090.0","4,176.0","2,778.0","1,972.0","1,813.0","2,979.0","4,758.0","5,364.0","4,903.0","5,929.0","5,646.0","6,016.0","6,581.0","7,000.0","7,877.0","8,365.0","9,298.0","8,710.0","9,328.0","10,299.0","9,468.0","9,438.0","9,206.0","8,614.0","8,428.0","9,062.0","8,046.0","9,518.0","10,415.0","11,532.0","10,940.0","9,615.0","7,624.0","6,920.0","7,111.0","6,138.0","4,409.0","6,583.0","7,239.0","8,010.0","10,743.0","11,418.0","8,625.0","10,698.0","9,479.0","7,818.0","6,800.0","8,196.0","6,403.0","7,413.0","7,135.0","6,095.0","7,828.0","10,054.0","12,004.0","12,002.0","8,133.0"
"39","20","        Motor vehicles and equipment","A411RBC1","6,214.0","4,869.0","5,447.0","4,487.0","2,384.0","3,740.0","2,554.0","-1,637.0","5,693.0","5,376.0","6,265.0","6,367.0","6,560.0","7,055.0","6,024.0","7,931.0","9,380.0","8,740.0","6,729.0","4,602.0","1,752.0","998.0","3,525.0","2,595.0","-883.0","1,552.0","6,181.0","6,172.0","8,932.0","9,006.0","9,420.0","8,991.0","10,307.0","12,074.0","11,695.0","11,532.0","9,755.0","11,943.0","13,349.0","11,880.0","14,269.0","9,342.0","3,243.0","2,540.0","502.0","-5,917.0","-1,485.0","1,299.0","1,610.0","5,448.0","1,165.0","1,312.0","-2,550.0","6,292.0","4,630.0","81.0","3,939.0","5,431.0","9,157.0","11,104.0","12,968.0","9,308.0","12,299.0","11,327.0","10,982.0","11,791.0","7,776.0","10,159.0","8,001.0","7,393.0","6,063.0","7,130.0","7,752.0","8,660.0","3,510.0","2,098.0"
"40","21","        Other","A412RC1","7,239.0","6,120.0","5,396.0","4,519.0","3,260.0","4,482.0","3,636.0","3,243.0","4,346.0","4,851.0","4,339.0","5,192.0","5,428.0","5,851.0","6,342.0","6,660.0","6,926.0","6,819.0","7,606.0","6,673.0","7,213.0","5,624.0","3,572.0","3,617.0","3,093.0","4,810.0","6,862.0","6,824.0","8,344.0","9,068.0","8,405.0","8,311.0","8,817.0","8,728.0","10,852.0","11,806.0","11,352.0","12,930.0","12,723.0","13,387.0","12,166.0","11,517.0","10,549.0","10,428.0","7,759.0","4,453.0","4,564.0","6,049.0","3,008.0","802.0","992.0","-719.0","2,637.0","8,121.0","9,337.0","5,756.0","10,463.0","13,012.0","13,523.0","14,791.0","21,821.0","20,290.0","18,018.0","18,593.0","15,539.0","15,788.0","15,967.0","15,953.0","15,741.0","15,198.0","17,193.0","19,813.0","22,119.0","20,929.0","22,554.0","20,486.0"
"41","22","      Nondurable goods","Q401RBC1","19,938.0","19,759.0","19,678.0","18,369.0","18,108.0","18,956.0","18,818.0","18,098.0","19,567.0","19,951.0","20,273.0","20,581.0","20,509.0","19,654.0","21,561.0","22,280.0","23,595.0","23,841.0","23,515.0","26,318.0","26,907.0","29,489.0","32,234.0","28,199.0","28,329.0","35,754.0","41,308.0","43,545.0","46,355.0","44,087.0","43,497.0","40,840.0","40,795.0","45,904.0","48,226.0","46,423.0","43,144.0","50,280.0","52,336.0","53,887.0","55,128.0","55,145.0","59,990.0","62,175.0","69,529.0","63,630.0","62,296.0","66,905.0","73,536.0","73,845.0","90,019.0","77,429.0","71,415.0","68,136.0","73,042.0","68,065.0","59,205.0","62,382.0","65,940.0","67,735.0","64,255.0","65,830.0","55,241.0","55,067.0","57,445.0","56,367.0","68,460.0","63,810.0","42,436.0","36,421.0","27,469.0","37,354.0","28,584.0","43,801.0","60,068.0","69,297.0"
"42","23","        Food and kindred products","A402RBC1","2,948.0","2,938.0","3,519.0","3,133.0","2,937.0","3,456.0","3,418.0","3,620.0","3,509.0","3,734.0","4,054.0","3,578.0","3,246.0","3,430.0","3,223.0","2,708.0","1,870.0","1,911.0","2,207.0","5,245.0","3,050.0","4,072.0","2,263.0","2,435.0","7,681.0","9,516.0","8,950.0","9,177.0","8,474.0","7,103.0","8,272.0","5,897.0","5,125.0","7,633.0","9,891.0","6,345.0","5,802.0","6,515.0","7,373.0","7,004.0","6,243.0","6,919.0","6,503.0","5,884.0","7,902.0","6,650.0","4,333.0","7,738.0","10,502.0","9,467.0","9,504.0","9,449.0","7,170.0","7,856.0","8,657.0","8,607.0","7,079.0","7,116.0","5,830.0","7,459.0","7,456.0","7,332.0","7,507.0","7,725.0","8,434.0","9,319.0","11,302.0","8,967.0","7,460.0","7,114.0","7,599.0","9,340.0","7,922.0","10,716.0","12,573.0","12,555.0"
"43","24","        Chemicals and allied products","A403RBC1","5,495.0","5,264.0","5,084.0","4,834.0","4,686.0","4,622.0","4,598.0","4,357.0","4,798.0","5,225.0","5,242.0","5,415.0","5,777.0","5,572.0","6,258.0","6,497.0","7,150.0","7,004.0","6,833.0","7,427.0","7,025.0","6,920.0","5,969.0","6,282.0","6,082.0","7,056.0","8,384.0","9,144.0","10,219.0","10,204.0","10,050.0","9,106.0","9,304.0","9,542.0","9,352.0","9,593.0","9,230.0","9,982.0","10,204.0","11,466.0","10,457.0","10,015.0","9,258.0","8,244.0","9,090.0","6,798.0","7,637.0","9,374.0","10,814.0","11,189.0","10,819.0","10,770.0","9,892.0","8,937.0","8,154.0","6,905.0","9,454.0","9,725.0","11,688.0","11,984.0","12,684.0","12,522.0","10,802.0","10,604.0","11,128.0","10,902.0","10,258.0","7,144.0","9,552.0","9,354.0","9,822.0","11,287.0","12,911.0","15,948.0","20,132.0","21,295.0"
"44","25","        Petroleum and coal products","A404RBC1","3,656.0","3,752.0","3,544.0","3,390.0","3,645.0","4,015.0","3,785.0","4,235.0","4,361.0","3,774.0","3,730.0","4,157.0","3,444.0","3,115.0","3,478.0","4,050.0","5,179.0","5,663.0","6,330.0","5,380.0","7,921.0","10,360.0","16,425.0","10,748.0","7,401.0","9,938.0","12,063.0","12,391.0","14,344.0","13,906.0","14,016.0","14,139.0","12,916.0","14,136.0","13,833.0","14,239.0","12,657.0","16,809.0","18,848.0","18,600.0","20,759.0","22,915.0","27,001.0","33,193.0","36,922.0","36,369.0","35,729.0","34,911.0","35,027.0","36,609.0","54,534.0","40,558.0","40,248.0","34,803.0","38,256.0","33,918.0","22,219.0","25,251.0","28,077.0","27,033.0","22,096.0","23,827.0","15,657.0","15,887.0","16,004.0","13,674.0","24,711.0","26,297.0","4,120.0","-1,112.0","-10,985.0","-8,709.0","-13,194.0","-3,743.0","2,264.0","9,168.0"
"45","26","        Other","A405RC1","7,839.0","7,805.0","7,531.0","7,012.0","6,840.0","6,863.0","7,017.0","5,886.0","6,899.0","7,218.0","7,247.0","7,431.0","8,042.0","7,537.0","8,602.0","9,025.0","9,396.0","9,263.0","8,145.0","8,266.0","8,911.0","8,137.0","7,577.0","8,734.0","7,165.0","9,244.0","11,911.0","12,833.0","13,318.0","12,874.0","11,159.0","11,698.0","13,450.0","14,593.0","15,150.0","16,246.0","15,455.0","16,974.0","15,911.0","16,817.0","17,669.0","15,296.0","17,228.0","14,854.0","15,615.0","13,813.0","14,597.0","14,882.0","17,193.0","16,580.0","15,162.0","16,652.0","14,105.0","16,540.0","17,975.0","18,635.0","20,453.0","20,290.0","20,345.0","21,259.0","22,019.0","22,149.0","21,275.0","20,851.0","21,879.0","22,472.0","22,189.0","21,402.0","21,304.0","21,065.0","21,033.0","25,436.0","20,945.0","20,880.0","25,099.0","26,279.0"
"46","27","    Transportation and public utilities","Q416RBC1","11,774.0","11,646.0","10,717.0","10,261.0","9,707.0","8,576.0","8,695.0","8,072.0","9,393.0","10,159.0","9,843.0","8,861.0","9,783.0","10,103.0","10,325.0","11,451.0","10,619.0","9,939.0","10,300.0","10,061.0","8,773.0","9,157.0","9,828.0","8,753.0","8,537.0","9,621.0","13,556.0","15,215.0","15,837.0","17,699.0","18,558.0","17,787.0","19,210.0","20,460.0","23,025.0","21,948.0","20,985.0","25,728.0","27,338.0","27,899.0","24,650.0","23,814.0","18,759.0","19,078.0","19,649.0","18,548.0","23,813.0","26,909.0","20,665.0","21,561.0","28,565.0","29,523.0","29,283.0","31,053.0","27,687.0","24,487.0","27,633.0","36,255.0","35,901.0","37,541.0","44,072.0","46,014.0","44,120.0","44,678.0","41,305.0","39,283.0","39,747.0","35,990.0","38,373.0","40,856.0","40,437.0","37,397.0","39,977.0","46,041.0","40,831.0","41,184.0"
"47","28","      Transportation","A417RBC1","835.0","756.0","359.0","306.0","-97.0","-542.0","127.0","-538.0","23.0","879.0","1,025.0","582.0","1,365.0","1,119.0","1,459.0","1,961.0","1,761.0","947.0","970.0","1,539.0","1,886.0","2,732.0","2,629.0","659.0","-684.0","-1,197.0","1,581.0","2,321.0","2,896.0","2,874.0","3,601.0","1,699.0","2,790.0","3,299.0","3,761.0","3,413.0","130.0","5,224.0","5,977.0","5,432.0","4,394.0","5,468.0","2,296.0","3,589.0","3,707.0","1,065.0","2,339.0","3,833.0","2,067.0","574.0","2,121.0","1,233.0","-515.0","1,257.0","-1,402.0","-1,153.0","-1,376.0","3,298.0","4,103.0","5,389.0","5,962.0","5,831.0","5,106.0","4,244.0","2,808.0","2,869.0","2,578.0","707.0","868.0","3,548.0","3,470.0","2,380.0","1,109.0","1,912.0","581.0","1,004.0"
"48","29","      Communication","A418RBC1","5,980.0","6,054.0","5,676.0","5,731.0","5,573.0","5,403.0","5,176.0","5,241.0","5,258.0","4,987.0","4,492.0","4,298.0","4,720.0","4,563.0","4,810.0","5,029.0","4,996.0","5,269.0","5,527.0","5,286.0","5,563.0","5,172.0","5,187.0","5,495.0","4,613.0","5,283.0","5,555.0","5,933.0","6,966.0","7,661.0","8,122.0","8,552.0","8,437.0","9,194.0","9,391.0","9,742.0","11,045.0","11,678.0","11,981.0","11,855.0","11,398.0","11,819.0","10,912.0","9,995.0","9,526.0","9,167.0","11,788.0","12,827.0","12,311.0","12,016.0","13,398.0","13,883.0","13,176.0","13,562.0","13,623.0","12,369.0","15,205.0","15,361.0","13,730.0","13,870.0","17,655.0","19,075.0","16,981.0","17,045.0","17,419.0","18,254.0","19,255.0","19,700.0","22,435.0","21,686.0","22,279.0","21,483.0","21,234.0","22,175.0","22,305.0","22,253.0"
"49","30","      Electric, gas, and sanitary services","A419RBC1","4,959.0","4,836.0","4,682.0","4,224.0","4,231.0","3,715.0","3,392.0","3,369.0","4,112.0","4,293.0","4,326.0","3,981.0","3,698.0","4,421.0","4,056.0","4,461.0","3,862.0","3,723.0","3,803.0","3,236.0","1,324.0","1,253.0","2,012.0","2,599.0","4,608.0","5,535.0","6,420.0","6,961.0","5,975.0","7,164.0","6,835.0","7,536.0","7,983.0","7,967.0","9,873.0","8,793.0","9,810.0","8,826.0","9,380.0","10,612.0","8,858.0","6,527.0","5,551.0","5,494.0","6,416.0","8,316.0","9,686.0","10,249.0","6,287.0","8,971.0","13,046.0","14,407.0","16,622.0","16,234.0","15,466.0","13,271.0","13,804.0","17,596.0","18,068.0","18,282.0","20,455.0","21,108.0","22,033.0","23,389.0","21,078.0","18,160.0","17,914.0","15,583.0","15,070.0","15,622.0","14,688.0","13,534.0","17,634.0","21,954.0","17,945.0","17,927.0"
"50","31","    Wholesale trade","A414RBC1","4,834.0","4,953.0","4,800.0","5,186.0","4,481.0","4,452.0","4,530.0","4,824.0","5,149.0","4,679.0","5,747.0","6,017.0","6,228.0","6,680.0","7,626.0","8,084.0","8,930.0","6,966.0","7,902.0","11,291.0","10,813.0","14,157.0","9,808.0","14,056.0","14,747.0","13,333.0","14,023.0","14,963.0","15,163.0","13,157.0","13,228.0","13,260.0","13,165.0","17,967.0","21,136.0","13,470.0","14,907.0","16,043.0","17,616.0","18,092.0","18,119.0","20,046.0","20,751.0","21,222.0","19,586.0","17,276.0","16,736.0","20,303.0","22,080.0","22,029.0","21,392.0","29,266.0","22,398.0","21,666.0","19,427.0","19,389.0","18,700.0","22,414.0","23,250.0","23,276.0","30,321.0","27,966.0","31,412.0","31,803.0","28,346.0","24,834.0","25,074.0","20,154.0","21,918.0","23,155.0","29,663.0","22,992.0","21,525.0","16,790.0","19,441.0","17,789.0"
"51","32","    Retail trade","A415RBC1","6,370.0","6,861.0","6,693.0","5,835.0","5,967.0","6,295.0","6,082.0","5,906.0","6,738.0","6,335.0","7,744.0","8,514.0","7,325.0","7,422.0","7,390.0","8,009.0","7,043.0","6,665.0","7,324.0","7,038.0","4,410.0","3,806.0","1,568.0","1,222.0","5,578.0","8,315.0","9,327.0","10,372.0","11,844.0","10,333.0","10,686.0","10,827.0","10,941.0","12,227.0","14,272.0","13,922.0","12,912.0","14,162.0","11,924.0","13,342.0","11,144.0","10,338.0","10,744.0","10,627.0","6,894.0","5,208.0","8,330.0","7,620.0","11,225.0","11,255.0","10,969.0","9,345.0","12,021.0","13,637.0","13,581.0","18,096.0","20,247.0","19,189.0","19,899.0","18,053.0","20,978.0","22,212.0","22,053.0","20,947.0","22,177.0","22,815.0","25,584.0","20,693.0","26,934.0","22,719.0","23,150.0","20,869.0","24,154.0","21,914.0","23,751.0","23,352.0"
"52","33","    Other","A420RC1","6,901.0","6,779.0","6,721.0","5,507.0","4,925.0","5,593.0","5,871.0","6,611.0","6,657.0","6,519.0","6,749.0","6,819.0","7,606.0","6,921.0","7,609.0","8,146.0","9,392.0","9,502.0","9,944.0","9,531.0","9,951.0","9,263.0","9,596.0","11,078.0","11,500.0","11,300.0","11,973.0","12,392.0","14,669.0","15,002.0","15,389.0","16,309.0","17,176.0","19,656.0","19,621.0","20,320.0","19,053.0","22,245.0","22,262.0","24,440.0","22,306.0","24,990.0","27,266.0","26,110.0","22,940.0","25,959.0","25,302.0","24,322.0","22,510.0","20,042.0","20,541.0","17,260.0","13,295.0","14,289.0","11,039.0","10,480.0","10,885.0","12,235.0","13,214.0","13,043.0","13,905.0","12,815.0","10,426.0","11,273.0","13,053.0","9,583.0","12,241.0","10,869.0","16,200.0","15,765.0","15,168.0","11,768.0","17,119.0","21,697.0","22,487.0","19,745.0"
"53","34","Rest of the world","B394RC1","6,260.0","6,436.0","6,748.0","6,936.0","7,200.0","7,380.0","7,288.0","6,532.0","7,476.0","7,960.0","7,752.0","8,232.0","8,864.0","9,088.0","9,928.0","10,256.0","12,484.0","14,044.0","16,404.0","16,660.0","19,212.0","18,164.0","17,024.0","15,476.0","13,860.0","13,352.0","14,368.0","16,944.0","16,012.0","16,584.0","16,396.0","17,200.0","19,148.0","19,180.0","19,760.0","18,364.0","22,436.0","19,680.0","22,468.0","26,892.0","27,768.0","32,780.0","38,984.0","38,912.0","40,248.0","36,852.0","34,892.0","29,892.0","30,139.0","27,503.0","27,484.0","33,590.0","31,614.0","33,607.0","31,138.0","33,989.0","32,909.0","34,345.0","34,998.0","37,973.0","34,623.0","36,443.0","37,838.0","37,370.0","35,544.0","39,925.0","35,767.0","41,155.0","41,858.0","38,452.0","39,348.0","38,237.0","41,294.0","48,468.0","47,755.0","54,520.0"
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
