"","Table 5#4#6BU# Real Private Fixed Investment in Structures by Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","3","  Commercial and health care","W001RX0",119444,114612,120920,119433,120829,126676,124723,129469,128431,129473,129917,129866,130843,136700,140794,141867,140770,135353,126096,118892,116540,111163,107253,104238,100200,101419,103880,104718,103027,107515,107224,103177,104951,104561,103570,104385,106180,109169,115566,116063,120099
"12","4","    Office\1\","W031RX0",42232,40037,44789,46393,48013,51117,49785,54229,54997,54309,54371,52218,54199,59849,62444,64422,63904,59439,52312,46322,42396,39243,37196,34990,31624,31022,32461,34405,32761,33221,32942,32196,34476,33823,31981,32667,33268,34671,39108,39267,41634
"13","5","    Health care","W032RX0",22457,21663,22384,21888,21394,22267,21807,21487,21701,21288,21788,21670,20719,21788,22307,22755,22169,21013,20343,20542,22297,23653,24338,24673,24501,25092,24501,25346,25195,26315,25408,24741,24720,24217,26033,24807,26136,26679,27775,28027,28788
"14","6","      Hospitals and special care","C311RX0",17686,17049,17103,16319,16345,17156,16990,16632,16002,15908,15723,15866,15165,15937,16630,17169,16850,16342,15573,15435,17298,18458,19181,19316,18546,18902,18544,18680,18079,18521,17997,17761,17495,17326,18890,18795,20140,20925,21944,22473,23439
"15","7","        Hospitals","W033RX0",13450,12832,12615,11843,11742,11714,11584,11469,11613,11215,11023,10863,10524,11008,11913,12483,12924,12490,11807,11627,13432,14550,15458,15811,15277,15868,15668,15863,15422,15975,15669,15555,15523,15476,16917,16876,18024,18650,19389,19981,20940
"16","8","        Special care","W034RX0",4235,4217,4487,4475,4603,5442,5406,5163,4388,4693,4699,5003,4640,4928,4716,4686,3926,3852,3766,3807,3866,3907,3722,3504,3268,3033,2875,2816,2657,2545,2327,2206,1971,1850,1973,1918,2115,2274,2554,2492,2498
"17","9","      Medical buildings","W035RX0",4770,4612,5282,5574,5049,5111,4818,4856,5700,5380,6066,5805,5555,5852,5678,5586,5320,4671,4771,5108,4999,5197,5159,5358,5956,6190,5958,6667,7117,7795,7412,6981,7225,6891,7144,6015,5999,5758,5836,5559,5356
"18","10","    Multimerchandise shopping","W036RX0",13810,12698,13197,12409,12762,13749,13697,14056,14768,15252,15179,14873,14542,13475,13991,14614,15425,15435,14792,14240,14956,13996,13244,12959,12662,13188,13586,13659,14266,15427,16041,15244,15766,16467,17416,18399,19589,21235,22274,21556,22770
"19","11","    Food and beverage establishments","W037RX0",9809,8399,9332,9189,9371,9972,8974,9013,7194,8477,8190,8777,8730,8608,8233,7792,7503,7805,8897,7857,7026,6885,6845,7259,7323,6958,7147,7425,6911,7305,6818,5629,6270,6259,5479,5936,5257,5061,5259,4955,4334
"20","12","    Warehouses","W038RX0",13571,13858,13771,12652,12360,12446,13391,13790,13592,13330,13356,13754,13959,13880,13965,14481,14887,15227,14155,13128,12294,10737,9592,9529,10248,10629,11268,10447,9506,9679,10316,9346,9755,9849,9751,10096,10422,10024,10026,10185,10052
"21","13","    Other commercial\2\","W039RX0",17457,17845,17385,16865,16908,17118,17051,16899,16191,16811,17025,18565,18684,19093,19855,17819,16904,16449,15583,16751,17472,16547,15941,14724,13715,14388,14775,13318,14263,15421,15543,15879,13827,13793,12803,12334,11386,11355,10954,11904,12345
"22","14","  Manufacturing","C307RX0",42376,40888,43585,42172,44782,44644,43213,42077,38105,34259,32551,30489,30958,32999,31644,31599,32403,30235,28903,22578,19254,17258,15223,14886,14364,15703,15926,15733,15518,15123,15947,18274,19124,18816,19604,21014,20924,22257,22862,22066,23471
"23","15","  Power and communication","W003RX0",29083,29538,30587,31315,33994,34857,35073,35041,36705,39151,42573,44751,44679,45719,47802,49028,44058,47565,49116,52193,53492,47859,43159,43814,44390,42285,39488,37947,38657,33592,34777,36336,35557,34034,31649,32590,33696,34103,35395,35134,34574
"24","16","    Power","W028RX0",17051,17090,17679,18696,21201,22240,22807,22901,21161,21364,22120,23347,26281,27674,28743,29333,25066,27205,30283,34271,35066,29761,26226,26965,33234,30839,28147,26772,28177,22916,23664,24599,23198,22068,20032,21453,20559,21288,22246,21758,19977
"25","17","      Electric","C571RX0",12026,12054,12163,12315,12566,12844,13140,13487,13371,14307,15659,17322,20177,21714,22838,23423,19197,21263,24131,27776,28069,22499,18794,19445,26017,23619,20683,18838,19734,14680,15727,17126,16387,15619,13642,15378,15253,16534,16792,17522,16274
"26","18","      Other power","W029RX0",5013,5024,5509,6383,8662,9430,9701,9441,7801,7060,6461,6027,6106,5961,5905,5909,5875,5947,6152,6482,6982,7281,7466,7551,7257,7248,7476,7929,8394,8121,7860,7482,6852,6489,6332,6148,5469,5054,5679,4659,4125
"27","19","    Communication","C314RX0",12024,12424,12884,12632,12858,12711,12383,12260,15556,17767,20409,21360,18388,18044,19063,19701,18996,20358,18831,17922,18407,18089,16937,16858,11095,11410,11317,11155,10446,10673,11112,11748,12466,12089,11800,11213,13443,13052,13369,13649,15108
"28","20","  Mining exploration, shafts, and wells","E318RX0",24781,25587,25063,25660,23620,23980,23876,21750,20034,21680,20513,22838,24181,26882,28244,29369,31662,32569,34083,29698,23992,23446,25378,25350,26476,29958,30271,29224,31495,33192,33299,33288,34922,36881,36021,37887,38071,40499,41471,41855,40576
"29","21","    Petroleum and natural gas","C319RX0",23081,23949,23515,24217,22314,22767,22745,20690,19039,20683,19477,21732,22924,25559,26883,28006,30350,31306,32862,28550,22519,21768,23612,23670,24994,28537,28874,27783,29767,31309,31294,31169,32665,34474,33529,35247,35201,37529,38384,38974,37667
"30","22","    Mining","C320RX0",1713,1656,1567,1461,1320,1216,1126,1059,995,996,1035,1106,1256,1324,1361,1363,1301,1238,1173,1124,1592,1875,1965,1849,1541,1376,1339,1429,1791,1976,2151,2321,2495,2676,2854,3038,3472,3523,3704,3257,3386
"31","23","  Other structures","W004RX0",60651,63173,64120,67752,63521,67875,68595,69471,68851,69596,66243,66863,69159,70215,71256,68799,64638,64387,76129,61149,57902,57444,54503,53802,51659,54844,53930,53244,53216,56009,56098,54968,54070,51768,50871,52222,55067,59370,60426,60843,62318
"32","24","    Religious","C309RX0",5910,6362,6268,6844,7012,6433,6952,7578,7695,7581,7336,7338,7867,7756,7867,7746,7646,7832,7963,7815,7875,7723,7415,7464,7625,7688,7776,7283,6725,6955,6863,6726,6484,6052,5947,5695,5993,6021,5792,5721,5715
"33","25","    Educational and vocational","W044RX0",9929,10880,11587,11942,12475,12453,11199,11429,10693,11514,11417,11727,12292,12902,13647,13323,13080,13288,13883,14750,14342,14091,13109,13227,13017,13736,14015,13155,12376,11932,11858,12203,11736,11661,11433,10860,11031,10837,10847,11778,11797
"34","26","    Lodging","W045RX0",17585,18501,18164,17827,16729,19443,21782,21946,21762,20938,20012,19808,20487,21258,20175,18808,17537,17779,17879,15628,13001,13240,11495,10980,10921,12583,10796,10552,11031,12686,13654,13650,13032,12323,12194,13168,14606,18492,19416,20560,22380
"35","27","    Amusement and recreation","W046RX0",11470,11618,11671,11226,9924,11258,11550,12166,12577,12384,11510,11413,11546,10969,10406,9167,8756,9218,8970,9029,8775,8641,8347,7978,7741,8668,8691,8972,8346,8936,8845,8682,8065,7183,7001,7276,7643,8062,8630,8161,7332
"36","28","    Transportation","W047RX0",6364,6483,6653,6833,7461,7638,7704,7311,6895,6563,6332,6338,6402,6567,6709,6830,6844,6795,6438,6290,6020,6203,6130,6012,5762,5449,5550,5633,5624,5870,5823,5870,5876,5928,5885,5814,6493,6658,6458,5891,6904
"37","29","      Air","W048RX0",1194,1128,1132,1072,1294,1269,1327,1154,1248,1352,1417,1573,1606,1792,2060,2296,2326,2272,1896,1693,1303,1424,1342,1282,1233,889,920,925,839,984,854,806,724,706,647,595,628,712,521,346,493
"38","30","      Land\3\","W049RX0",5163,5343,5508,5744,6153,6352,6362,6140,5637,5205,4913,4765,4796,4774,4649,4533,4517,4522,4542,4596,4716,4778,4787,4728,4527,4558,4629,4707,4785,4884,4972,5069,5163,5234,5255,5240,5894,5966,5982,5605,6467
"39","31","    Farm","C316RX0",4149,4193,4461,4419,4497,4969,4625,4570,4824,5848,5093,5371,5642,5570,6268,6472,5226,5011,4885,4541,5099,5077,5380,5540,4587,4634,4689,4711,5665,5764,5566,5018,5624,5666,5568,6277,6031,5826,5510,4840,4630
"40","32","    Other\4\","W050RX0",4133,4114,4207,4079,4442,4731,3904,3528,3440,3887,3683,4007,3948,4129,5064,5431,4685,3648,3134,2534,2230,2152,2634,2825,2133,2042,2237,2620,2995,3290,2771,2050,2429,2149,2042,2214,2261,2268,2401,2398,2065
"41","33","    Brokers' commissions on sale of structures","C321RX0",2094,2033,2138,2125,2183,2242,2245,2330,2359,2287,2263,2269,2368,2444,2483,2369,2325,2359,2241,2168,2113,1986,1860,1849,1884,1959,1972,1979,1993,2005,2071,2086,2129,2141,2153,2290,2391,2519,2648,2685,2785
"42","34","    Net purchases of used structures","E322RX0",-1024,-1029,-1064,2478,-1257,-1329,-1378,-1387,-1391,-1399,-1403,-1408,-1389,-1377,-1363,-1350,-1471,-1559,10819,-1614,-1560,-1676,-1869,-2075,-2017,-1924,-1797,-1658,-1536,-1440,-1368,-1320,-1297,-1293,-1303,-1331,-1310,-1291,-1275,-1252,-1241
"43","35","Residential","A012RX0",377009,381805,383519,387457,395523,406485,417667,427746,431341,434871,437297,442747,447103,443068,433820,434181,436567,442734,444769,440365,451389,461815,464197,471590,476412,488345,513496,526652,530502,555160,559442,558404,573481,600416,610820,609202,608503,590649,560571,530190,508068
"44","36","  Permanent site","A943RX0",221383,224243,222221,226199,232889,239536,249303,257204,261058,260281,261962,268376,272553,268805,259282,259547,263730,268421,269664,264594,268734,277297,280070,283250,288965,293781,309376,325759,327548,340034,345786,344222,358662,373070,382569,387782,388554,370249,344521,314571,292153
"45","37","    Single-family structures","A944RX0",195100,196994,196039,198385,205046,213467,223274,230627,232465,231836,232792,239616,243519,239686,232444,231503,234594,239131,240256,234543,238005,245939,248880,252447,257410,262390,276886,293630,294792,306049,310213,308745,321147,334681,342599,346648,345097,327147,300751,269666,248463
"46","38","    Multifamily structures","C292RX0",26326,27323,26206,27873,27853,26064,26029,26577,28588,28445,29175,28762,29034,29118,26838,28046,29145,29294,29411,30082,30760,31382,31206,30809,31568,31387,32465,32010,32645,33861,35507,35411,37483,38323,39930,41124,43541,43255,44072,45392,44228
"47","39","  Other structures","A863RX0",155547,157486,161135,161137,162560,166886,168357,170558,170296,174583,175328,174369,174550,174266,174538,174630,172837,174311,175095,175779,182685,184523,184125,188347,187412,194584,204124,200730,202770,215021,213389,213950,214410,226984,227825,220896,219408,219987,215738,215518,216037
"48","40","    Manufactured homes","A945RX0",14046,14686,15011,15016,15221,15757,16270,16701,16359,15447,14570,14235,13599,11986,10896,9359,8665,8917,9405,9633,8963,8198,8130,7711,7064,6550,6784,6553,6604,6196,6375,7006,7167,6673,6993,8015,7094,6015,5468,5134,5454
"49","41","    Dormitories","C295RX0",803,870,917,955,926,1025,1029,1203,1211,1235,1288,1604,1617,1308,1149,1357,1553,1396,1461,1520,1479,1408,1264,1519,1520,1548,1617,1505,1433,1550,1354,1062,1134,1073,1203,1402,1596,1554,1492,1495,1741
"50","42","    Improvements","A946RX0",99895,99941,100246,100413,100175,100310,100730,101502,102834,103679,104682,105898,106117,106782,107531,108117,108080,108241,108452,109723,112110,113947,115987,116982,117331,119853,121968,122825,123032,123262,124136,125452,127268,128847,129727,130801,132759,135095,137103,137443,137759
"51","43","    Brokers' commissions on sale of structures","A758RX0",43109,44480,47646,47644,49344,53040,53677,54529,53628,57920,58265,55882,55426,55894,56282,56598,55873,57173,57403,57174,62633,63743,61765,64966,64398,69497,76426,72404,73788,85848,83278,82186,80669,92279,91921,82964,80214,79541,73856,73586,73191
"52","44","    Net purchases of used structures","A759RX0",-2335,-2546,-2744,-2953,-3173,-3328,-3445,-3481,-3834,-3746,-3497,-3268,-2215,-1698,-1313,-806,-1356,-1461,-1665,-2296,-2603,-2906,-3104,-2994,-3071,-3139,-3079,-2883,-2453,-2300,-2220,-2210,-2277,-2375,-2500,-2666,-2637,-2621,-2626,-2588,-2578
"53","45","Residual","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","  Private fixed investment in new structures\5\","W040RX0",611468,612736,621806,624630,635282,653965,662094,673408,672530,673910,673478,684103,692768,700311,697453,698031,694992,696770,691276,669665,660700,656412,650486,651295,652334,667420,684744,698589,702416,719029,727430,726119,745813,759777,765744,780426,787983,784581,772109,744077,727221
"56","47","    Nonresidential structures","A771RX0",275078,272712,283084,281748,285812,297046,294608,296700,291034,293238,290966,293984,298885,311451,318602,319611,312887,309735,302287,284295,269675,256069,245790,242672,238274,246436,245781,242684,244526,248524,250272,248927,252114,250794,246249,253272,258550,270714,280687,281218,284667
"57","48","    Residential structures","A756RX0",336318,339933,338631,342786,349365,356765,367437,376697,381544,380701,382533,390129,393887,388874,378856,378391,382060,387018,389020,385471,391303,400917,405510,409545,415035,421919,440010,457050,459041,471649,478291,478302,494900,510434,521314,528826,530839,513664,489255,459202,437557
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","NOTE. Chained (2000) dollar series are calculated as the product of the chain-type quantity index and the 2000 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference between",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
