"","Table 5#7#6BU# Change in Real Private Inventories by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"38","29","    Materials and supplies","KC30M0",12461,4470,9934,6678,-11815,-2307,-5612,5183,6974,6351,2145,-5102,-12392,1410,6351,6341,3302,2730,5101
"39","30","      Durable goods industries","KC30DM0",8958,4789,5820,8616,-9753,-2903,-3602,4850,5572,5181,2620,-979,-12097,1796,7017,5400,2831,3319,3562
"40","31","      Nondurable goods industries","KC30NM0",2959,-881,4051,-2850,-1518,860,-1957,165,1319,1115,-456,-4047,-295,-336,-320,1157,586,-414,1592
"41","32","    Work-in-process","KC30W0",3957,8389,304,-5510,-10688,317,-735,-2334,8116,4136,13518,-4112,-3048,12707,9555,4338,2266,15693,3270
"42","33","      Durable goods industries","KC30DW0",1430,8649,-1232,-5474,-9009,-329,-724,-2706,7053,2109,9851,-1504,-2998,12601,8922,3916,2795,18150,3705
"43","34","      Nondurable goods industries","KC30NW0",2914,-929,1903,258,-1426,762,17,477,999,2053,3645,-2526,-50,335,865,524,-369,-1701,-339
"44","35","    Finished goods","KC30F0",10145,6814,7989,8029,-6731,853,-2666,3718,7733,8556,1958,-8663,-10822,8104,5433,391,-136,-3611,9359
"45","36","      Durable goods industries","KC30DF0",5836,5429,3059,4462,-4181,-716,-1427,2186,5185,5417,176,-2714,-8964,2482,4390,646,1368,-110,4485
"46","37","      Nondurable goods industries","KC30NF0",4036,910,5030,3446,-2390,1723,-1220,1503,2507,3123,1751,-5888,-1858,5549,1260,-193,-1317,-3331,4889
"47","38","Wholesale trade industries","N658RX0",29989,26502,23587,23129,-15243,364,1892,24238,30897,23828,15873,18256,-61892,24789,16627,25751,24471,29630,31442
"48",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","39","    Durable goods industries","N661RX0",18111,18647,15816,15215,-19162,-1739,2877,21304,22329,18831,3278,8543,-49577,10367,22850,21159,14910,20616,12824
"50","40","    Nondurable goods industries","N664RX0",11501,6622,7050,7431,6114,2477,-1229,2082,8188,4751,12525,9691,-12315,14184,-4388,5742,9801,9600,18286
"51",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","41","    Merchant wholesale industries","N151RX0",26885,23969,20254,18122,-9865,1118,2348,22017,21820,17874,9943,5882,-46099,20646,12494,21605,23214,33841,26540
"53","42","      Durable goods industries","N626RX0",16301,16745,14101,11835,-15403,-2450,2994,20314,17317,15041,2679,6507,-44499,12875,17165,20036,14236,21126,10606
"54","43","        Motor vehicles, parts, and supplies wholesalers","KC42110",1450,803,2863,1324,-1196,2178,1517,1890,3859,1738,1302,3945,-9361,2489,5977,1086,1701,4270,6624
"55","44","        Furniture and home furnishings wholesalers","KC42120",158,379,427,673,-513,435,429,325,483,417,-53,-766,-1900,607,-265,369,561,334,559
"56","45","        Lumber and other construction materials wholesalers","KC42130",766,-172,466,541,-68,313,1336,2019,677,262,-809,-1142,-2190,331,105,414,584,476,424
"57","46","        Professional and commercial equipment wholesalers","KC42140",2463,1378,2065,559,-937,-449,613,1918,1747,3242,1807,1021,-1859,3053,1996,2421,1635,3352,-365
"58","47","          Computers and software wholesalers","K421430",844,701,801,-17,-187,88,726,822,867,1260,716,829,686,2429,1256,1222,1045,2076,-328
"59","48","          Other professional and commercial equipment wholesalers","K4214X0",824,-536,780,1067,-985,-890,-694,979,729,1956,1081,140,-2545,690,778,1210,644,1380,-75
"60","49","        Metal and mineral (except petroleum) wholesalers","KC42150",1199,1996,86,270,-1695,-31,-537,3913,643,2425,-1432,1429,-6977,986,1287,2468,841,2762,-1046
"61","50","        Electrical goods wholesalers","KC42160",475,1971,3087,3643,-4334,-982,213,3087,2362,3048,2587,1173,-5266,2831,1785,3202,1737,1583,3243
"62","51","        Hardware and plumbing and heating equipment wholesalers","KC42170",207,1043,195,1126,-971,357,637,1626,1401,1374,446,-1813,-2298,461,823,179,328,1900,888
"63","52","        Machinery, equipment, and supplies wholesalers","KC42180",5835,7188,2384,1325,-2998,-3382,-2852,4334,4670,3382,1272,890,-10326,2981,5555,8852,5790,6515,-124
"64","53","        Miscellaneous durable goods wholesalers","KC42190",1636,2475,31,1883,-2520,-1109,931,1131,1207,-1259,-2209,1599,-4322,-478,309,1071,1152,154,455
"65","54","      Nondurable goods industries","N627RX0",10360,6398,5544,6008,7295,4063,-831,927,4098,2563,7265,-565,-1600,7845,-3491,2721,9136,12983,15535
"66","55","        Paper and paper products wholesalers","KC42210",883,31,-232,303,-776,107,67,715,444,-299,102,-226,-600,26,-43,69,-92,8,167
"67","56","        Drugs and druggists' sundries wholesalers","KC42220",2263,1472,4465,5984,9149,1099,-300,-844,-2394,505,844,-593,-424,1285,1266,121,3665,6398,3520
"68","57","        Apparel, piece goods, and notions wholesalers","KC42230",1450,289,-675,119,-30,1138,-268,815,1443,86,349,553,-3074,2697,430,-975,946,1056,3622
"69","58","        Grocery and related products wholesalers","KC42240",1201,-253,1529,-114,-2021,1823,-1586,-372,1760,1244,1124,1037,-1173,1185,1281,351,224,459,1384
"70","59","        Farm product raw material wholesalers","KC42250",1820,2001,1736,645,245,-1362,2077,-3620,2326,288,1804,-1830,3491,3295,-5583,1019,3173,3425,175
"71","60","        Chemical and allied products wholesalers","KC42260",467,805,415,-455,516,242,-238,-268,122,-125,438,222,-1417,678,493,642,277,-11,691
"72","61","        Petroleum amd petroleum products wholesalers","KC42270",130,1988,-2984,-739,3443,-1731,-417,1490,186,488,481,-550,3962,-1470,-969,126,-288,-355,4574
"73","62","        Beer, wine, and distilled alcoholic beverages wholesalers","KC42280",445,217,350,150,-299,532,241,413,564,744,1112,991,-967,314,630,728,650,754,210
"74","63","        Miscellaneous nondurable goods wholesalers","KC42290",1227,1092,-429,-450,-1557,665,-262,2164,-157,-504,947,118,-1398,414,1011,419,708,1710,1684
"75","64","    Nonmerchant wholesale industries","N152RX0",3127,2519,3365,5060,-5500,-789,-480,2234,8993,5893,5802,12219,-15793,4138,4041,4150,1435,-3813,4973
"76","65","      Durable goods industries","KC42ND0",1861,1946,1740,3277,-3684,667,-97,1046,4958,3770,597,2030,-5078,-2520,5686,1121,674,-501,2221
"77","66","      Nondurable goods industries","KC42NN0",1064,49,1607,1483,-1457,-1890,-429,1215,4023,2124,5097,10114,-10715,6075,-893,2856,764,-3112,2746
"78","67","Retail trade industries","N153RX0",15761,16222,27462,21775,-11294,27715,19142,25172,5160,9766,6561,-30149,-49714,18422,-1101,25763,27384,11928,31313
"79","68","  Motor vehicle and parts dealers","N631RX0",5076,1826,12349,11699,-9170,17180,12915,7552,-2911,-683,2911,-12243,-32931,11689,1171,20478,16665,6754,13958
"80","69","  Furniture, furnishings, electronics, and appliance stores","KC44230",731,1158,1427,1535,-146,1760,1823,3264,1258,1086,1248,-3639,-1737,2340,-733,1133,-41,308,19
"81","70","  Building material and garden equipment and supplies dealers","KC4440",1683,2463,2467,1457,33,2199,1010,2440,2080,-83,751,-5190,-2540,171,-405,615,2289,1114,3243
"82","71","  Food and beverage stores","N542RX0",462,1261,2016,-730,519,1074,-1451,358,-253,994,1208,-445,-332,333,-143,116,659,768,1020
"83","72","  Clothing and clothing accessories stores","KC4480",1096,1458,1566,3313,-1280,2263,698,2793,1395,3480,-1187,-2255,-4916,355,-1372,962,2835,1447,2777
"84","73","  General merchandise stores","N543RX0",165,415,3070,1177,176,2308,1431,4924,3088,1081,-247,-4070,-2870,2188,929,1021,105,-508,2851
"85","74","    Department stores","KC45210",264,-1056,693,-687,-2052,-1475,-1521,740,646,-1109,-934,-3461,-2176,1768,-1505,-4198,3505,-1480,692
"86","75","    Other general merchandise stores","KC45290",-118,1606,2464,1972,2390,3978,3094,4264,2477,2257,710,-599,-694,429,2410,5126,-3288,922,2142
"87","76","  Other retail stores","KC44X0",6510,8236,3720,1846,-356,-780,1382,3366,778,4067,1813,-2289,-4388,1395,-545,1660,4862,2093,7407
"88","77","Other industries","N154RX0",6217,6598,8368,14299,-419,-760,1668,4607,2510,4283,-168,1756,-5515,-1094,3316,3424,1027,7113,7374
