"","Table 2#6# Personal Income and Its Disposition, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"185","14","     Personal interest income","A064RC1","994,263.0","998,504.0","1,000,827.0","1,000,227.0","1,000,528.0","999,817.0","995,006.0","987,410.0","976,908.0","972,885.0","968,486.0","963,943.0","948,381.0","937,256.0","927,926.0","925,732.0","925,895.0","928,804.0","933,236.0","937,260.0","942,111.0","949,898.0","963,372.0","980,132.0","1,005,973.0","1,023,953.0","1,039,413.0","1,054,626.0","1,072,646.0","1,090,749.0","1,101,977.0","1,110,575.0","1,116,453.0","1,130,076.0","1,146,429.0","1,164,827.0","1,164,428.0","1,163,385.0","1,159,610.0","1,181,358.0","1,200,489.0","1,222,871.0","1,224,946.0","1,235,102.0","1,249,323.0","1,259,176.0","1,261,130.0","1,254,927.0","1,267,988.0","1,286,923.0","1,313,964.0","1,334,951.0","1,350,662.0","1,360,212.0","1,370,077.0","1,381,817.0","1,394,890.0","1,385,261.0","1,381,031.0","1,373,832.0","1,372,426.0","1,361,436.0","1,355,004.0","1,358,866.0","1,359,135.0","1,357,788.0","1,369,008.0","1,377,766.0","1,385,859.0","1,358,948.0","1,344,947.0","1,338,203.0","1,313,490.0","1,298,133.0","1,277,877.0","1,281,592.0","1,282,321.0","1,282,230.0","1,266,013.0","1,250,964.0","1,236,405.0","1,224,623.0","1,224,717.0","1,228,798.0","1,216,726.0","1,205,001.0","1,196,579.0","1,195,769.0","1,197,735.0","1,202,628.0","1,195,916.0","1,184,058.0","1,168,526.0","1,179,601.0","1,192,325.0","1,205,466.0","1,203,663.0","1,203,010.0","1,201,899.0","1,203,768.0","1,209,546.0","1,219,014.0","1,211,388.0","1,203,056.0","1,194,455.0","1,198,927.0","1,200,438.0","1,199,573.0","1,203,135.0","1,205,386.0","1,206,309.0","1,209,016.0","1,217,469.0","1,231,799.0","1,222,793.0","1,206,098.0","1,182,249.0","1,198,689.0","1,217,557.0","1,239,079.0","1,227,435.0","1,215,791.0","1,204,148.0","1,217,841.0","1,231,535.0","1,245,228.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","15","     Personal dividend income","B703RC1","412,466.0","407,764.0","408,699.0","409,429.0","408,834.0","415,057.0","425,940.0","434,695.0","443,295.0","449,673.0","479,502.0","491,677.0","502,603.0","514,962.0","523,862.0","530,955.0","542,031.0","551,195.0","550,008.0","541,662.0","549,595.0","552,871.0","546,379.0","838,747.0","552,187.0","542,044.0","569,311.0","569,110.0","576,957.0","561,507.0","566,921.0","573,955.0","582,767.0","604,397.0","612,227.0","628,347.0","662,592.0","686,913.0","705,952.0","704,465.0","717,835.0","725,540.0","726,486.0","731,646.0","739,517.0","748,052.0","762,916.0","772,152.0","768,110.0","772,582.0","797,967.0","816,004.0","829,028.0","815,744.0","826,068.0","831,171.0","836,260.0","837,348.0","831,986.0","835,912.0","861,005.0","869,536.0","864,644.0","838,595.0","824,143.0","818,611.0","810,889.0","798,912.0","782,385.0","761,859.0","736,207.0","698,483.0","682,777.0","648,672.0","626,944.0","574,676.0","550,098.0","530,528.0","511,389.0","499,824.0","494,326.0","487,872.0","484,186.0","482,902.0","497,679.0","509,169.0","506,834.0","514,020.0","524,379.0","533,980.0","543,674.0","554,904.0","567,005.0","575,484.0","589,108.0","619,156.0","638,616.0","654,887.0","649,076.0","661,799.0","673,076.0","682,994.0","692,313.0","697,110.0","699,439.0","704,059.0","704,398.0","708,690.0","704,295.0","703,519.0","704,781.0","710,455.0","718,578.0","718,668.0","716,575.0","724,072.0","728,919.0","734,315.0","768,855.0","1,029,876.0","668,511.0","744,215.0","747,350.0","755,908.0","768,489.0","777,509.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","16","   Personal current transfer receipts","A577RC1","1,314,208.0","1,317,125.0","1,326,280.0","1,328,954.0","1,333,762.0","1,345,201.0","1,350,817.0","1,357,451.0","1,363,238.0","1,353,083.0","1,355,053.0","1,369,168.0","1,381,766.0","1,397,119.0","1,403,241.0","1,406,696.0","1,413,095.0","1,415,185.0","1,406,759.0","1,427,753.0","1,425,232.0","1,431,997.0","1,438,905.0","1,452,465.0","1,474,228.0","1,487,107.0","1,492,252.0","1,505,995.0","1,509,762.0","1,509,064.0","1,505,080.0","1,531,078.0","1,532,054.0","1,532,180.0","1,533,834.0","1,531,449.0","1,587,770.0","1,579,009.0","1,586,548.0","1,590,612.0","1,600,062.0","1,607,898.0","1,619,376.0","1,626,828.0","1,626,256.0","1,620,211.0","1,623,687.0","1,647,475.0","1,691,155.0","1,703,952.0","1,709,072.0","1,701,231.0","1,704,621.0","1,703,378.0","1,716,601.0","1,724,169.0","1,741,893.0","1,747,760.0","1,753,678.0","1,775,764.0","1,787,631.0","1,793,441.0","1,812,057.0","1,824,489.0","2,007,795.0","1,987,836.0","1,860,580.0","1,879,981.0","1,899,114.0","1,900,696.0","1,909,651.0","1,944,385.0","2,006,948.0","2,027,469.0","2,063,141.0","2,096,127.0","2,265,119.0","2,149,615.0","2,150,695.0","2,161,938.0","2,200,226.0","2,168,679.0","2,184,065.0","2,208,451.0","2,244,062.0","2,252,226.0","2,263,653.0","2,257,704.0","2,260,635.0","2,264,244.0","2,265,707.0","2,301,395.0","2,298,045.0","2,299,530.0","2,304,814.0","2,310,892.0","2,307,645.0","2,308,292.0","2,312,871.0","2,311,935.0","2,312,878.0","2,302,225.0","2,301,442.0","2,300,184.0","2,300,010.0","2,304,942.0","2,305,726.0","2,314,900.0","2,323,959.0","2,325,636.0","2,335,904.0","2,348,584.0","2,350,495.0","2,357,472.0","2,364,193.0","2,353,829.0","2,375,191.0","2,373,754.0","2,381,406.0","2,408,753.0","2,419,366.0","2,427,827.0","2,430,853.0","2,415,966.0","2,434,368.0","2,440,418.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","17","     Government social benefits to persons","A063RC1","1,284,333.0","1,287,458.0","1,297,003.0","1,300,246.0","1,305,718.0","1,317,916.0","1,324,385.0","1,331,959.0","1,338,772.0","1,329,731.0","1,333,024.0","1,348,672.0","1,363,013.0","1,379,741.0","1,386,871.0","1,390,964.0","1,397,753.0","1,399,984.0","1,391,451.0","1,412,099.0","1,408,993.0","1,414,935.0","1,420,615.0","1,432,538.0","1,452,259.0","1,463,477.0","1,467,343.0","1,480,189.0","1,483,273.0","1,482,108.0","1,477,871.0","1,503,836.0","1,504,997.0","1,505,528.0","1,507,952.0","1,506,702.0","1,564,523.0","1,556,931.0","1,565,307.0","1,569,875.0","1,579,648.0","1,587,624.0","1,599,059.0","1,606,274.0","1,605,270.0","1,598,597.0","1,601,162.0","1,623,753.0","1,665,952.0","1,677,422.0","1,681,366.0","1,672,503.0","1,674,928.0","1,672,777.0","1,685,149.0","1,691,940.0","1,708,962.0","1,714,201.0","1,719,579.0","1,741,214.0","1,752,719.0","1,758,170.0","1,776,433.0","1,788,516.0","1,971,497.0","1,951,235.0","1,823,700.0","1,842,841.0","1,861,732.0","1,863,092.0","1,871,844.0","1,906,400.0","1,969,155.0","1,989,587.0","2,025,141.0","2,057,977.0","2,226,804.0","2,111,120.0","2,112,005.0","2,123,036.0","2,161,093.0","2,129,295.0","2,144,414.0","2,168,515.0","2,203,826.0","2,211,668.0","2,222,753.0","2,216,443.0","2,218,775.0","2,221,763.0","2,222,673.0","2,258,113.0","2,254,595.0","2,253,340.0","2,258,892.0","2,264,658.0","2,260,608.0","2,262,064.0","2,265,872.0","2,264,664.0","2,265,581.0","2,255,026.0","2,254,061.0","2,253,316.0","2,253,503.0","2,258,537.0","2,259,924.0","2,270,024.0","2,279,923.0","2,282,334.0","2,293,229.0","2,306,431.0","2,308,812.0","2,316,209.0","2,323,300.0","2,313,242.0","2,334,848.0","2,333,591.0","2,341,364.0","2,368,772.0","2,375,548.0","2,383,861.0","2,386,739.0","2,371,704.0","2,389,956.0","2,395,872.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","18","       Social security \2\","W823RC1","456,384.0","457,620.0","460,428.0","460,212.0","465,072.0","463,956.0","462,756.0","466,068.0","465,468.0","465,660.0","466,176.0","472,572.0","474,180.0","482,244.0","482,628.0","484,056.0","484,836.0","485,508.0","479,484.0","492,840.0","486,228.0","488,196.0","488,976.0","496,968.0","501,060.0","510,204.0","508,188.0","513,168.0","511,800.0","513,648.0","513,072.0","515,052.0","514,008.0","515,388.0","514,404.0","522,744.0","538,284.0","535,104.0","540,720.0","542,052.0","542,892.0","546,048.0","544,716.0","544,824.0","548,784.0","545,676.0","545,748.0","554,304.0","565,080.0","567,588.0","572,160.0","570,708.0","577,848.0","576,504.0","573,792.0","577,476.0","583,404.0","576,360.0","577,728.0","589,188.0","593,976.0","594,540.0","603,456.0","599,616.0","604,668.0","604,284.0","608,724.0","608,388.0","609,516.0","609,336.0","611,316.0","618,684.0","648,060.0","651,936.0","655,620.0","661,860.0","657,444.0","667,968.0","665,124.0","662,004.0","676,668.0","672,972.0","671,496.0","682,488.0","676,200.0","678,624.0","681,744.0","688,848.0","689,856.0","689,040.0","693,360.0","690,696.0","696,720.0","696,408.0","695,496.0","705,096.0","702,084.0","702,036.0","705,732.0","713,688.0","712,680.0","712,608.0","715,008.0","715,164.0","716,844.0","717,372.0","717,912.0","728,184.0","748,404.0","752,472.0","759,036.0","757,668.0","757,860.0","765,588.0","762,300.0","759,084.0","772,920.0","762,492.0","767,040.0","781,116.0","784,968.0","789,036.0","795,360.0","785,832.0","797,328.0","801,516.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","19","       Medicare \3\","W824RC1","267,240.0","268,632.0","270,120.0","271,716.0","273,408.0","275,196.0","277,092.0","279,084.0","281,184.0","283,380.0","285,684.0","288,084.0","290,580.0","293,064.0","295,536.0","297,984.0","300,420.0","302,976.0","305,808.0","308,472.0","311,544.0","313,284.0","315,336.0","317,760.0","320,808.0","323,256.0","325,608.0","327,180.0","329,208.0","331,260.0","333,156.0","335,184.0","337,176.0","339,096.0","341,028.0","342,972.0","387,504.0","389,664.0","391,380.0","393,504.0","395,544.0","397,704.0","399,912.0","402,216.0","404,544.0","406,944.0","409,392.0","411,888.0","414,432.0","417,012.0","419,604.0","422,232.0","424,872.0","427,548.0","430,248.0","432,972.0","435,720.0","438,492.0","441,288.0","444,108.0","446,952.0","449,832.0","452,700.0","455,580.0","458,484.0","461,388.0","464,316.0","467,256.0","470,208.0","473,172.0","476,136.0","479,124.0","482,136.0","484,968.0","487,632.0","490,128.0","492,444.0","494,604.0","496,596.0","498,408.0","500,064.0","501,540.0","502,848.0","504,000.0","503,304.0","505,092.0","506,916.0","508,800.0","510,684.0","512,628.0","514,608.0","516,612.0","518,640.0","520,728.0","522,840.0","524,988.0","527,172.0","529,272.0","531,264.0","533,172.0","534,972.0","536,688.0","538,320.0","539,856.0","541,296.0","542,628.0","543,876.0","545,040.0","546,108.0","547,536.0","549,336.0","551,508.0","554,052.0","556,956.0","560,244.0","563,892.0","567,924.0","572,304.0","577,080.0","582,204.0","586,824.0","591,084.0","590,052.0","584,412.0","587,004.0","590,352.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","20","       Medicaid","W729RC1","261,837.0","260,618.0","259,574.0","258,380.0","258,847.0","263,121.0","270,747.0","272,657.0","271,551.0","264,777.0","263,953.0","268,250.0","277,236.0","283,901.0","289,207.0","292,971.0","293,883.0","292,253.0","289,007.0","287,686.0","288,087.0","291,807.0","295,435.0","296,282.0","298,526.0","300,459.0","305,059.0","311,855.0","311,521.0","308,952.0","302,107.0","299,074.0","299,191.0","306,670.0","306,705.0","302,836.0","294,919.0","289,559.0","289,506.0","289,741.0","294,698.0","300,320.0","308,467.0","311,267.0","306,510.0","297,390.0","298,543.0","308,327.0","328,672.0","335,070.0","334,754.0","318,942.0","312,896.0","310,534.0","316,017.0","319,406.0","324,049.0","328,157.0","330,524.0","331,115.0","330,409.0","331,216.0","334,291.0","335,928.0","339,487.0","340,301.0","341,839.0","340,889.0","340,128.0","339,399.0","340,453.0","345,524.0","353,074.0","356,841.0","363,053.0","365,410.0","368,194.0","372,016.0","377,981.0","379,436.0","377,027.0","372,627.0","371,822.0","373,495.0","379,562.0","382,376.0","383,114.0","382,808.0","383,661.0","389,419.0","399,912.0","406,273.0","410,159.0","412,038.0","413,700.0","416,574.0","418,044.0","419,164.0","419,144.0","412,979.0","409,243.0","403,818.0","398,577.0","394,428.0","395,355.0","396,773.0","398,687.0","399,356.0","396,463.0","399,137.0","406,788.0","415,699.0","423,192.0","423,845.0","421,510.0","421,458.0","421,424.0","423,362.0","425,306.0","426,632.0","423,472.0","423,633.0","424,019.0","422,892.0","426,288.0","425,232.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","21","       Unemployment insurance","W825RC1","49,656.0","49,956.0","54,108.0","55,032.0","52,056.0","57,636.0","54,780.0","53,292.0","56,088.0","51,756.0","51,588.0","52,140.0","46,800.0","43,668.0","39,672.0","35,256.0","36,936.0","35,436.0","33,408.0","35,736.0","32,088.0","33,300.0","33,420.0","31,368.0","35,808.0","32,328.0","31,320.0","31,056.0","32,424.0","29,772.0","31,116.0","31,236.0","29,868.0","34,812.0","30,984.0","30,564.0","30,876.0","30,012.0","29,352.0","30,396.0","30,156.0","29,040.0","31,320.0","31,176.0","30,024.0","31,308.0","29,964.0","30,780.0","33,036.0","32,796.0","29,340.0","32,316.0","31,344.0","29,232.0","34,224.0","31,092.0","34,284.0","35,076.0","33,168.0","36,960.0","36,432.0","35,868.0","37,944.0","38,256.0","36,132.0","39,060.0","45,060.0","61,176.0","68,364.0","62,196.0","67,728.0","85,548.0","90,096.0","98,436.0","112,404.0","117,528.0","129,096.0","140,172.0","139,680.0","148,968.0","149,256.0","141,156.0","151,392.0","156,336.0","161,544.0","158,952.0","159,012.0","145,224.0","141,552.0","134,736.0","119,484.0","143,076.0","129,408.0","126,132.0","126,252.0","120,876.0","122,400.0","117,204.0","114,564.0","109,788.0","111,924.0","105,552.0","105,084.0","104,748.0","98,976.0","102,528.0","99,912.0","98,028.0","103,164.0","96,816.0","90,324.0","93,288.0","84,240.0","80,136.0","85,188.0","74,460.0","76,452.0","75,216.0","72,324.0","78,264.0","75,576.0","73,776.0","72,276.0","70,128.0","68,676.0","65,928.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","22","       Veterans' benefits","W826RC1","31,152.0","31,092.0","31,776.0","31,524.0","31,788.0","31,968.0","32,136.0","31,800.0","32,448.0","32,028.0","32,040.0","32,196.0","33,048.0","33,576.0","33,852.0","33,876.0","33,540.0","33,840.0","33,756.0","34,788.0","34,284.0","34,344.0","34,656.0","35,016.0","36,000.0","35,976.0","36,384.0","35,868.0","36,348.0","36,636.0","36,252.0","36,696.0","36,492.0","36,552.0","36,492.0","36,876.0","38,544.0","38,412.0","38,232.0","38,724.0","38,640.0","38,856.0","38,568.0","39,408.0","39,120.0","39,240.0","39,336.0","39,432.0","40,740.0","40,668.0","40,332.0","42,360.0","41,592.0","41,280.0","42,012.0","42,096.0","41,628.0","42,732.0","42,240.0","42,720.0","44,088.0","44,472.0","43,944.0","44,532.0","44,340.0","45,348.0","45,816.0","44,892.0","45,636.0","45,768.0","45,504.0","46,128.0","49,716.0","49,140.0","50,304.0","50,220.0","50,136.0","51,108.0","51,348.0","51,960.0","52,680.0","53,076.0","54,348.0","54,396.0","54,900.0","56,664.0","56,136.0","56,352.0","57,456.0","57,612.0","58,176.0","58,992.0","59,484.0","59,340.0","60,312.0","60,108.0","61,140.0","61,512.0","61,980.0","62,604.0","61,500.0","63,420.0","63,660.0","64,584.0","65,736.0","64,608.0","64,224.0","64,344.0","66,204.0","67,020.0","68,136.0","68,424.0","69,180.0","69,060.0","70,836.0","71,628.0","71,484.0","72,792.0","73,176.0","73,944.0","76,128.0","78,192.0","76,068.0","78,012.0","80,328.0","81,612.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","23","       Other","W827RC1","218,064.0","219,540.0","220,997.0","223,382.0","224,548.0","226,039.0","226,874.0","229,057.0","232,033.0","232,129.0","233,583.0","235,431.0","241,169.0","243,288.0","245,976.0","246,820.0","248,138.0","249,970.0","249,988.0","252,577.0","256,762.0","254,004.0","252,792.0","255,144.0","260,057.0","261,253.0","260,784.0","261,061.0","261,972.0","261,840.0","262,167.0","286,594.0","288,262.0","273,010.0","278,339.0","270,710.0","274,396.0","274,179.0","276,118.0","275,458.0","277,718.0","275,656.0","276,076.0","277,383.0","276,288.0","278,040.0","278,179.0","279,022.0","283,992.0","284,288.0","285,176.0","285,945.0","286,376.0","287,680.0","288,856.0","288,898.0","289,877.0","293,384.0","294,631.0","297,124.0","300,862.0","302,243.0","304,097.0","314,604.0","488,386.0","460,854.0","317,945.0","320,240.0","327,880.0","333,221.0","330,707.0","331,392.0","346,073.0","348,266.0","356,128.0","372,831.0","529,490.0","385,252.0","381,276.0","382,260.0","405,398.0","387,924.0","392,508.0","397,800.0","428,316.0","429,960.0","435,831.0","434,411.0","435,565.0","438,328.0","437,133.0","442,464.0","440,184.0","438,694.0","440,292.0","437,016.0","429,768.0","432,876.0","433,188.0","432,432.0","435,263.0","432,940.0","433,412.0","434,535.0","435,296.0","434,628.0","435,313.0","435,072.0","419,580.0","419,354.0","419,609.0","419,844.0","420,288.0","420,624.0","423,222.0","422,720.0","424,644.0","427,425.0","426,438.0","426,612.0","428,580.0","428,140.0","428,964.0","430,428.0","430,332.0","431,232.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","24","     Other current transfer receipts, from business (net)","B931RC1","29,875.0","29,667.0","29,278.0","28,708.0","28,044.0","27,285.0","26,432.0","25,492.0","24,466.0","23,352.0","22,029.0","20,496.0","18,753.0","17,377.0","16,371.0","15,732.0","15,342.0","15,201.0","15,308.0","15,654.0","16,239.0","17,061.0","18,291.0","19,927.0","21,969.0","23,630.0","24,909.0","25,806.0","26,489.0","26,956.0","27,209.0","27,243.0","27,057.0","26,652.0","25,882.0","24,747.0","23,246.0","22,078.0","21,241.0","20,736.0","20,414.0","20,274.0","20,316.0","20,554.0","20,986.0","21,613.0","22,525.0","23,722.0","25,202.0","26,530.0","27,705.0","28,728.0","29,693.0","30,601.0","31,452.0","32,228.0","32,931.0","33,558.0","34,098.0","34,549.0","34,912.0","35,271.0","35,624.0","35,973.0","36,299.0","36,601.0","36,880.0","37,140.0","37,382.0","37,605.0","37,806.0","37,986.0","37,793.0","37,881.0","38,001.0","38,150.0","38,315.0","38,495.0","38,689.0","38,902.0","39,134.0","39,384.0","39,651.0","39,935.0","40,237.0","40,558.0","40,900.0","41,261.0","41,861.0","42,481.0","43,034.0","43,282.0","43,450.0","46,190.0","45,922.0","46,234.0","47,037.0","46,228.0","46,999.0","47,272.0","47,297.0","47,199.0","47,381.0","46,869.0","46,507.0","46,405.0","45,803.0","44,877.0","44,036.0","43,302.0","42,675.0","42,154.0","41,683.0","41,263.0","40,893.0","40,587.0","40,343.0","40,162.0","40,042.0","39,981.0","43,818.0","43,966.0","44,114.0","44,262.0","44,412.0","44,546.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","25","   Less: Contributions for government social insurance, domestic","A061RC1","762,384.0","763,560.0","767,112.0","769,488.0","775,188.0","777,900.0","779,772.0","783,396.0","787,152.0","791,928.0","797,124.0","796,068.0","808,944.0","809,700.0","812,484.0","817,020.0","826,104.0","828,684.0","835,092.0","839,652.0","841,368.0","843,456.0","842,616.0","845,016.0","858,600.0","860,256.0","860,568.0","864,624.0","866,796.0","869,964.0","876,852.0","878,700.0","881,820.0","885,648.0","887,160.0","889,152.0","909,900.0","917,004.0","919,188.0","921,528.0","916,800.0","918,084.0","920,928.0","921,156.0","923,700.0","928,800.0","932,856.0","941,148.0","953,304.0","958,968.0","960,792.0","958,896.0","956,916.0","958,128.0","959,292.0","957,384.0","962,856.0","964,332.0","969,984.0","975,924.0","983,160.0","986,004.0","990,300.0","986,700.0","987,084.0","987,816.0","987,840.0","991,200.0","993,060.0","996,156.0","991,152.0","978,372.0","968,844.0","959,100.0","955,872.0","963,276.0","967,800.0","967,788.0","963,888.0","963,420.0","962,988.0","964,728.0","968,148.0","967,032.0","975,436.0","969,076.0","971,536.0","979,336.0","986,944.0","985,756.0","987,628.0","989,296.0","988,192.0","990,904.0","990,664.0","994,528.0","910,123.0","912,943.0","914,707.0","914,407.0","916,003.0","918,919.0","926,275.0","924,727.0","923,203.0","919,195.0","915,763.0","922,255.0","936,588.0","944,088.0","946,812.0","947,256.0","943,200.0","944,844.0","943,668.0","945,624.0","952,956.0","955,728.0","966,444.0","981,576.0","1,087,476.0","1,093,992.0","1,095,372.0","1,096,416.0","1,098,720.0","1,103,580.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
