"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"34","15","    Housing and utilities","DHUTRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","51,312.0","52,171.0","53,398.0","54,512.0","55,463.0","56,191.0","57,034.0","58,193.0","58,795.0","59,975.0","60,641.0","61,795.0","62,851.0","63,865.0","64,945.0","66,243.0","67,114.0","67,434.0","68,684.0","69,597.0","70,616.0","71,498.0","72,611.0","73,871.0","74,752.0","76,062.0","77,215.0","78,446.0","79,458.0","80,627.0","81,729.0","83,090.0","84,072.0","85,603.0","86,892.0","88,808.0","90,472.0","91,499.0","93,456.0","95,566.0","97,712.0","99,524.0"
"35","16","    Health care","DHLCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","14,464.0","14,728.0","14,939.0","15,195.0","15,547.0","16,089.0","15,987.0","16,497.0","16,641.0","17,051.0","17,222.0","17,567.0","18,138.0","18,817.0","19,483.0","20,105.0","20,469.0","20,759.0","21,096.0","21,583.0","22,672.0","23,735.0","24,726.0","25,464.0","26,061.0","26,194.0","25,869.0","26,027.0","26,731.0","28,059.0","29,307.0","30,616.0","31,193.0","31,664.0","32,136.0","32,722.0","34,128.0","35,947.0","37,326.0","38,902.0","40,259.0","41,601.0"
"36","17","    Transportation services","DTRSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,386.0","8,585.0","8,830.0","8,983.0","9,091.0","9,127.0","9,202.0","9,297.0","9,357.0","9,501.0","9,606.0","9,785.0","9,923.0","10,129.0","10,187.0","10,295.0","10,401.0","10,526.0","10,682.0","10,872.0","11,086.0","11,248.0","11,448.0","11,617.0","11,745.0","12,007.0","12,266.0","12,515.0","12,627.0","12,945.0","13,084.0","13,612.0","13,886.0","14,072.0","14,425.0","14,721.0","15,188.0","15,628.0","16,093.0","16,580.0","17,128.0","17,726.0"
"37","18","    Recreation services","DRCARC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,642.0","5,875.0","6,010.0","6,156.0","6,341.0","6,443.0","6,521.0","6,615.0","6,743.0","6,855.0","6,980.0","7,202.0","7,247.0","7,556.0","7,429.0","7,587.0","7,708.0","7,786.0","8,220.0","7,990.0","8,353.0","8,315.0","8,459.0","8,789.0","8,868.0","8,903.0","8,968.0","9,163.0","9,288.0","9,629.0","9,882.0","10,273.0","10,418.0","10,261.0","10,812.0","10,314.0","11,085.0","11,583.0","11,874.0","12,268.0","12,577.0","12,950.0"
"38","19","    Food services and accommodations","DFSARC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","18,949.0","19,465.0","20,093.0","20,446.0","20,295.0","20,658.0","20,457.0","20,528.0","20,812.0","20,781.0","20,874.0","21,388.0","21,691.0","22,048.0","22,451.0","22,836.0","23,011.0","23,205.0","23,272.0","23,735.0","24,360.0","24,813.0","25,040.0","25,298.0","26,044.0","26,867.0","27,498.0","28,313.0","29,013.0","29,409.0","30,005.0","30,110.0","30,335.0","30,503.0","31,147.0","31,843.0","33,468.0","34,200.0","35,101.0","35,609.0","36,030.0","37,345.0"
"39","20","    Financial services and insurance","DIFSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,985.0","12,326.0","12,620.0","13,004.0","13,183.0","13,503.0","13,714.0","13,803.0","14,447.0","14,850.0","14,686.0","15,078.0","15,125.0","15,533.0","15,353.0","15,389.0","15,203.0","15,494.0","16,107.0","16,826.0","16,980.0","17,476.0","18,145.0","18,364.0","18,630.0","18,989.0","19,499.0","20,460.0","21,068.0","21,324.0","21,420.0","21,275.0","22,039.0","22,400.0","23,321.0","23,608.0","23,699.0","25,701.0","26,545.0","27,246.0","27,296.0","28,164.0"
"40","21","    Other services","DOTSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","24,745.0","25,321.0","25,735.0","26,271.0","26,626.0","27,098.0","27,075.0","27,427.0","27,585.0","28,164.0","28,322.0","28,946.0","29,300.0","29,755.0","30,060.0","30,290.0","30,319.0","31,316.0","32,028.0","32,784.0","33,019.0","33,638.0","33,853.0","34,530.0","34,986.0","35,838.0","37,222.0","38,370.0","38,659.0","39,417.0","40,035.0","41,392.0","42,121.0","43,343.0","43,992.0","44,832.0","45,710.0","46,454.0","47,146.0","47,699.0","48,904.0","49,917.0"
"41","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,661.0","4,796.0","4,935.0","5,063.0","5,122.0","5,084.0","5,040.0","4,991.0","4,958.0","5,197.0","5,330.0","5,500.0","5,574.0","5,520.0","5,442.0","5,381.0","5,447.0","5,644.0","5,883.0","6,100.0","6,387.0","6,430.0","6,450.0","6,465.0","6,528.0","6,796.0","7,117.0","7,407.0","7,536.0","7,489.0","7,422.0","7,373.0","7,528.0","7,847.0","8,236.0","8,588.0","8,722.0","8,726.0","8,799.0","8,924.0","9,061.0","9,279.0"
"42","23","    Gross output of nonprofit institutions \2\","DNPERC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","13,473.0","13,779.0","14,048.0","14,333.0","14,629.0","14,953.0","14,720.0","15,034.0","15,051.0","15,806.0","15,961.0","16,316.0","16,639.0","16,843.0","17,022.0","17,225.0","17,569.0","18,075.0","18,598.0","19,114.0","19,880.0","20,171.0","20,398.0","20,552.0","21,106.0","21,775.0","22,400.0","23,033.0","23,630.0","24,206.0","24,532.0","24,990.0","25,547.0","26,496.0","27,485.0","28,385.0","29,133.0","30,071.0","30,626.0","31,562.0","32,473.0","33,540.0"
"43","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,812.0","8,983.0","9,113.0","9,270.0","9,507.0","9,869.0","9,680.0","10,043.0","10,093.0","10,609.0","10,631.0","10,816.0","11,065.0","11,323.0","11,580.0","11,844.0","12,122.0","12,431.0","12,715.0","13,014.0","13,493.0","13,741.0","13,948.0","14,087.0","14,578.0","14,979.0","15,283.0","15,626.0","16,094.0","16,717.0","17,110.0","17,617.0","18,019.0","18,649.0","19,249.0","19,797.0","20,411.0","21,345.0","21,827.0","22,638.0","23,412.0","24,261.0"
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","25","  PCE excluding food and energy \4\","DPCCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","225,984.0","231,853.0","236,327.0","237,598.0","241,259.0","245,444.0","245,745.0","246,920.0","246,995.0","251,286.0","254,633.0","261,603.0","265,678.0","271,099.0","274,253.0","279,587.0","282,303.0","287,103.0","292,598.0","297,069.0","305,017.0","311,411.0","318,111.0","319,808.0","329,681.0","334,119.0","341,207.0","351,302.0","360,138.0","363,276.0","371,146.0","376,542.0","379,956.0","388,099.0","394,823.0","400,015.0","415,290.0","426,968.0","440,000.0","447,294.0","456,742.0","466,442.0"
"46","26","  Energy goods and services \5\","DNRGRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","22,643.0","22,771.0","22,990.0","23,477.0","23,703.0","24,208.0","24,276.0","24,525.0","24,282.0","24,719.0","24,605.0","24,757.0","25,405.0","25,550.0","25,628.0","26,600.0","27,172.0","26,402.0","26,893.0","26,893.0","27,456.0","27,782.0","28,476.0","28,743.0","28,949.0","29,903.0","30,427.0","30,965.0","31,106.0","31,990.0","32,615.0","33,129.0","33,247.0","34,127.0","34,115.0","35,026.0","35,864.0","35,704.0","36,568.0","36,796.0","38,004.0","38,614.0"
"47","27","  Market-based PCE \6\","DPCMRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"48","28","  Market-based PCE excluding food and energy \6\","DPCXRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","5. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
