"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181"
"22","3","  Goods \1\","A253RC1","31,640.0","39,948.0","39,484.0","41,972.0","43,024.0","45,028.0","44,764.0","45,364.0","45,868.0","45,724.0","48,448.0","42,188.0","49,696.0","48,868.0","51,824.0","56,788.0","64,360.0","70,936.0","75,616.0","84,784.0","93,052.0","100,612.0","101,248.0","109,012.0","112,036.0","105,944.0","107,148.0","113,388.0","113,516.0","116,268.0","118,984.0","122,312.0","121,328.0","126,176.0","126,132.0","120,972.0","125,027.0","146,103.0","149,271.0","161,194.0","166,992.0","175,724.0","188,039.0","205,414.0","217,823.0","224,192.0","226,896.0","234,207.0","242,192.0","242,001.0","234,176.0","238,017.0","224,851.0","225,952.0","211,598.0","197,604.0","200,709.0","202,794.0","207,397.0","218,280.0","218,267.0","224,630.0","228,365.0","231,235.0","225,665.0","223,501.0","217,395.0","222,408.0","220,524.0","223,040.0","224,503.0","235,937.0","234,320.0","248,650.0","264,168.0","283,049.0","304,585.0","321,435.0","331,647.0","345,472.0","354,804.0","374,778.0","372,371.0","375,455.0","390,704.0","394,585.0","398,173.0","403,082.0","414,480.0","421,289.0","425,922.0","432,562.0","440,930.0","441,565.0","452,738.0","456,567.0","452,190.0","458,460.0","454,363.0","474,716.0","477,592.0","496,429.0","524,037.0","542,189.0","562,222.0","575,619.0","595,591.0","599,678.0","608,166.0","611,943.0","615,444.0","637,769.0","658,267.0","687,046.0","704,663.0","700,792.0","694,450.0","672,834.0","666,751.0","689,398.0","687,787.0","696,999.0","716,839.0","744,161.0","762,027.0","791,191.0","822,682.0","812,620.0","799,254.0","763,886.0","717,699.0","693,963.0","690,037.0","717,704.0","729,184.0","713,385.0","722,330.0","724,118.0","739,014.0","777,732.0","801,911.0","827,559.0","838,880.0","862,877.0","888,878.0","923,708.0","927,811.0","960,743.0","1,008,600.0","1,039,135.0","1,055,482.0","1,089,198.0","1,110,370.0","1,141,128.0","1,181,769.0","1,228,030.0","1,279,101.0","1,363,785.0","1,374,737.0","1,172,902.0","1,012,079.0","1,010,560.0","1,073,631.0","1,162,477.0","1,205,439.0","1,255,588.0","1,286,312.0","1,366,395.0","1,423,145.0","1,469,264.0","1,496,984.0","1,505,001.0","1,520,670.0","1,539,457.0","1,545,600.0","1,538,255.0","1,531,633.0","1,535,617.0"
"23","4","    Durable","A332RC1","20,458.0","23,998.0","24,532.0","25,754.0","26,268.0","27,988.0","27,216.0","27,002.0","27,730.0","27,798.0","28,204.0","26,460.0","29,992.0","29,738.0","31,188.0","33,244.0","36,880.0","40,318.0","42,434.0","45,816.0","50,752.0","55,828.0","57,168.0","62,096.0","62,032.0","63,770.0","63,488.0","65,934.0","66,432.0","68,220.0","69,740.0","71,784.0","70,400.0","72,770.0","73,126.0","71,870.0","74,295.0","84,168.0","85,944.0","96,634.0","101,232.0","104,205.0","107,732.0","118,903.0","131,038.0","133,568.0","130,792.0","137,904.0","138,689.0","145,706.0","138,049.0","138,017.0","129,312.0","130,373.0","124,681.0","114,333.0","116,282.0","118,988.0","118,748.0","127,526.0","127,766.0","130,908.0","133,423.0","137,409.0","136,568.0","139,949.0","135,423.0","137,047.0","137,373.0","143,053.0","141,210.0","148,834.0","148,481.0","156,718.0","165,155.0","181,391.0","195,327.0","206,759.0","209,645.0","223,386.0","229,616.0","240,014.0","243,585.0","246,001.0","259,274.0","261,130.0","264,385.0","263,102.0","269,321.0","282,020.0","287,849.0","289,927.0","296,557.0","293,822.0","303,092.0","308,579.0","306,929.0","311,670.0","310,895.0","326,388.0","331,009.0","342,113.0","359,024.0","366,313.0","379,690.0","387,595.0","401,194.0","407,600.0","411,276.0","416,090.0","420,161.0","437,039.0","457,124.0","481,639.0","497,726.0","492,789.0","494,194.0","478,032.0","477,230.0","496,756.0","492,804.0","496,942.0","512,631.0","532,544.0","547,004.0","571,201.0","591,322.0","584,094.0","573,195.0","540,930.0","503,070.0","483,981.0","479,409.0","498,472.0","504,411.0","488,847.0","486,114.0","491,118.0","499,716.0","530,347.0","545,563.0","562,401.0","573,010.0","581,928.0","600,789.0","622,647.0","632,751.0","663,087.0","691,577.0","708,468.0","715,731.0","744,418.0","755,206.0","772,414.0","792,820.0","812,338.0","825,812.0","865,016.0","866,307.0","760,627.0","651,406.0","630,995.0","672,174.0","733,075.0","754,062.0","796,502.0","810,556.0","843,760.0","865,660.0","892,328.0","912,642.0","919,082.0","946,845.0","949,124.0","945,784.0","942,593.0","941,963.0","961,042.0"
"24","5","    Nondurable","A339RC1","11,182.0","15,950.0","14,952.0","16,218.0","16,756.0","17,040.0","17,548.0","18,362.0","18,138.0","17,926.0","20,244.0","15,728.0","19,704.0","19,130.0","20,636.0","23,544.0","27,480.0","30,618.0","33,182.0","38,968.0","42,300.0","44,784.0","44,080.0","46,916.0","50,004.0","42,174.0","43,660.0","47,454.0","47,084.0","48,048.0","49,244.0","50,528.0","50,928.0","53,406.0","53,006.0","49,102.0","50,732.0","61,935.0","63,327.0","64,560.0","65,760.0","71,519.0","80,307.0","86,511.0","86,785.0","90,624.0","96,104.0","96,303.0","103,503.0","96,295.0","96,127.0","100,000.0","95,539.0","95,579.0","86,917.0","83,271.0","84,427.0","83,806.0","88,649.0","90,754.0","90,501.0","93,722.0","94,942.0","93,826.0","89,097.0","83,552.0","81,972.0","85,361.0","83,151.0","79,987.0","83,293.0","87,103.0","85,839.0","91,932.0","99,013.0","101,658.0","109,258.0","114,676.0","122,002.0","122,086.0","125,188.0","134,764.0","128,786.0","129,454.0","131,430.0","133,455.0","133,788.0","139,980.0","145,159.0","139,269.0","138,073.0","142,635.0","144,373.0","147,743.0","149,646.0","147,988.0","145,261.0","146,790.0","143,468.0","148,328.0","146,583.0","154,316.0","165,013.0","175,876.0","182,532.0","188,024.0","194,397.0","192,078.0","196,890.0","195,853.0","195,283.0","200,730.0","201,143.0","205,407.0","206,937.0","208,003.0","200,256.0","194,802.0","189,521.0","192,642.0","194,983.0","200,057.0","204,208.0","211,617.0","215,023.0","219,990.0","231,360.0","228,526.0","226,059.0","222,956.0","214,629.0","209,982.0","210,628.0","219,232.0","224,773.0","224,538.0","236,216.0","233,000.0","239,298.0","247,385.0","256,348.0","265,158.0","265,870.0","280,949.0","288,089.0","301,061.0","295,060.0","297,656.0","317,023.0","330,667.0","339,751.0","344,780.0","355,164.0","368,714.0","388,949.0","415,692.0","453,289.0","498,769.0","508,430.0","412,275.0","360,673.0","379,565.0","401,457.0","429,402.0","451,377.0","459,086.0","475,756.0","522,635.0","557,485.0","576,936.0","584,342.0","585,919.0","573,825.0","590,333.0","599,816.0","595,662.0","589,670.0","574,575.0"
"25","6","  Services \1\","A646RC1","12,334.0","13,967.0","13,856.0","14,487.0","13,889.0","15,561.0","15,510.0","15,694.0","17,206.0","17,379.0","16,945.0","18,094.0","18,943.0","18,284.0","19,629.0","19,341.0","19,599.0","20,987.0","21,960.0","22,836.0","23,657.0","26,056.0","25,390.0","27,573.0","29,333.0","30,883.0","26,950.0","29,143.0","30,072.0","30,353.0","32,791.0","33,764.0","34,026.0","35,730.0","36,193.0","36,837.0","39,572.0","40,113.0","42,031.0","44,221.0","44,678.0","45,183.0","46,240.0","48,252.0","50,685.0","53,197.0","57,776.0","58,310.0","63,269.0","66,447.0","68,155.0","66,670.0","68,344.0","68,770.0","68,030.0","67,664.0","69,986.0","69,715.0","70,777.0","68,303.0","74,698.0","77,562.0","77,371.0","77,363.0","80,334.0","80,616.0","79,869.0","83,017.0","92,871.0","92,069.0","95,960.0","99,053.0","102,120.0","106,700.0","107,675.0","109,046.0","114,129.0","118,023.0","121,924.0","121,132.0","130,368.0","132,434.0","136,963.0","139,913.0","147,509.0","151,320.0","156,955.0","165,081.0","158,676.0","169,420.0","174,649.0","182,628.0","184,328.0","184,571.0","186,600.0","184,802.0","191,386.0","194,605.0","196,505.0","196,855.0","203,611.0","210,530.0","212,817.0","216,429.0","219,320.0","223,202.0","235,776.0","239,710.0","239,741.0","247,066.0","244,097.0","265,991.0","260,071.0","267,368.0","269,357.0","267,504.0","268,536.0","274,425.0","268,478.0","276,905.0","271,429.0","273,869.0","280,355.0","285,169.0","290,944.0","298,996.0","298,167.0","300,697.0","298,669.0","293,494.0","280,804.0","267,397.0","283,660.0","289,291.0","293,635.0","301,898.0","293,032.0","289,682.0","305,125.0","322,517.0","339,186.0","346,026.0","349,530.0","366,526.0","377,483.0","379,207.0","386,075.0","397,503.0","411,837.0","427,722.0","427,422.0","454,724.0","468,473.0","483,289.0","511,314.0","538,571.0","537,011.0","555,091.0","555,320.0","534,590.0","507,230.0","510,951.0","517,511.0","540,766.0","540,941.0","551,425.0","573,963.0","593,998.0","606,330.0","626,209.0","646,435.0","631,229.0","652,742.0","657,942.0","653,572.0","675,473.0","682,569.0","691,579.0"
"26","7","Income receipts","B645RC1","11,084.0","11,534.0","12,060.0","12,438.0","12,872.0","13,175.0","13,024.0","12,261.0","13,285.0","14,074.0","13,952.0","14,733.0","15,192.0","15,746.0","16,684.0","17,490.0","20,281.0","22,422.0","25,233.0","26,228.0","29,670.0","30,328.0","30,462.0","28,820.0","26,925.0","26,529.0","28,088.0","30,554.0","31,384.0","32,254.0","32,554.0","33,260.0","35,780.0","36,953.0","38,130.0","37,937.0","42,472.0","42,584.0","46,239.0","53,712.0","57,618.0","64,106.0","73,413.0","78,147.0","83,574.0","79,623.0","74,869.0","78,302.0","85,740.0","89,746.0","95,908.0","96,702.0","98,324.0","107,183.0","101,450.0","97,016.0","93,804.0","98,792.0","105,241.0","109,690.0","114,835.0","123,208.0","127,291.0","122,125.0","112,635.0","114,332.0","110,019.0","113,660.0","116,479.0","112,127.0","109,209.0","107,480.0","112,383.0","121,378.0","125,897.0","133,485.0","145,471.0","146,475.0","153,453.0","163,066.0","171,439.0","179,764.0","178,658.0","180,934.0","183,763.0","184,516.0","184,722.0","202,387.0","186,772.0","167,995.0","161,533.0","157,152.0","154,791.0","157,094.0","148,901.0","147,421.0","151,953.0","154,392.0","157,408.0","158,646.0","165,410.0","176,125.0","190,956.0","205,681.0","221,248.0","231,694.0","229,869.0","236,521.0","240,530.0","239,222.0","245,764.0","260,100.0","270,174.0","283,013.0","286,111.0","280,986.0","289,855.0","293,271.0","282,138.0","281,853.0","295,235.0","310,987.0","330,557.0","348,903.0","363,341.0","386,129.0","379,632.0","401,656.0","361,356.0","337,998.0","310,245.0","291,634.0","299,720.0","313,935.0","330,255.0","319,310.0","334,096.0","345,471.0","357,488.0","387,406.0","421,108.0","437,316.0","459,113.0","488,253.0","538,566.0","554,206.0","585,092.0","625,291.0","661,920.0","719,501.0","744,608.0","770,726.0","802,952.0","869,048.0","911,590.0","918,577.0","905,950.0","899,439.0","876,133.0","745,482.0","628,875.0","616,339.0","640,535.0","689,022.0","696,452.0","711,863.0","720,531.0","751,245.0","772,543.0","804,456.0","822,295.0","811,979.0","818,037.0","814,449.0","812,007.0","829,808.0","813,276.0","....."
"27","8","  Wage and salary receipts","B4188C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","876.0","892.0","920.0","944.0","984.0","992.0","1,000.0","1,000.0","996.0","988.0","996.0","1,000.0","996.0","996.0","1,024.0","1,052.0","1,128.0","1,168.0","1,168.0","1,224.0","1,272.0","1,276.0","1,300.0","1,312.0","1,720.0","1,752.0","1,824.0","1,888.0","1,740.0","1,784.0","1,848.0","1,908.0","1,860.0","1,900.0","1,972.0","2,040.0","2,172.0","2,176.0","2,188.0","2,180.0","2,176.0","2,176.0","2,188.0","2,184.0","2,268.0","2,264.0","2,276.0","2,272.0","2,360.0","2,400.0","2,464.0","2,524.0","4,240.0","4,244.0","4,248.0","4,252.0","4,396.0","4,392.0","4,392.0","4,400.0","4,508.0","4,508.0","4,516.0","4,520.0","4,560.0","4,564.0","4,576.0","4,580.0","4,656.0","4,668.0","4,676.0","4,688.0","4,732.0","4,720.0","4,736.0","4,748.0","4,788.0","4,788.0","4,800.0","4,804.0","5,004.0","5,012.0","5,020.0","5,016.0","5,084.0","5,092.0","5,108.0","5,120.0","5,192.0","5,196.0","5,192.0","5,144.0","5,456.0","5,476.0","5,492.0","5,488.0","5,904.0","5,936.0","5,944.0","5,936.0","6,092.0","6,108.0","6,124.0","6,092.0","6,084.0","6,184.0","6,316.0","6,556.0","6,564.0","....."
"28","9","  Income receipts on assets","W160RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","115,596.0","111,235.0","108,291.0","106,536.0","111,394.0","120,387.0","124,897.0","132,485.0","144,480.0","145,487.0","152,454.0","162,064.0","170,442.0","178,768.0","177,634.0","179,882.0","182,630.0","183,347.0","183,555.0","201,164.0","185,510.0","166,722.0","160,233.0","155,839.0","153,071.0","155,339.0","147,078.0","145,528.0","150,212.0","152,611.0","155,554.0","156,738.0","163,549.0","174,227.0","188,984.0","203,641.0","219,073.0","229,515.0","227,680.0","234,339.0","238,353.0","237,044.0","243,574.0","257,915.0","267,906.0","280,750.0","283,834.0","278,714.0","287,495.0","290,869.0","279,672.0","279,329.0","290,994.0","306,743.0","326,309.0","344,651.0","358,945.0","381,738.0","375,239.0","397,256.0","356,847.0","333,489.0","305,728.0","287,114.0","295,159.0","309,370.0","325,679.0","314,729.0","329,441.0","340,803.0","352,811.0","382,714.0","416,379.0","432,592.0","454,373.0","483,506.0","533,778.0","549,418.0","580,292.0","620,486.0","656,916.0","714,493.0","739,584.0","765,707.0","797,872.0","863,955.0","906,483.0","913,454.0","900,757.0","894,238.0","870,942.0","740,342.0","623,418.0","610,863.0","635,038.0","683,534.0","690,550.0","705,922.0","714,584.0","745,306.0","766,449.0","798,346.0","816,168.0","805,891.0","811,956.0","808,264.0","805,694.0","823,257.0","806,712.0","....."
"29","10","    Interest","A2067C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","65,231.0","61,527.0","60,985.0","59,048.0","58,367.0","61,346.0","64,217.0","69,545.0","76,431.0","72,375.0","81,117.0","88,242.0","96,067.0","103,000.0","101,994.0","103,626.0","102,151.0","101,768.0","104,818.0","118,287.0","103,116.0","91,651.0","88,685.0","82,884.0","74,571.0","71,947.0","68,799.0","72,387.0","63,984.0","65,126.0","64,844.0","65,370.0","68,217.0","74,078.0","80,119.0","89,886.0","97,776.0","100,265.0","101,283.0","101,828.0","103,573.0","102,118.0","105,152.0","108,612.0","114,648.0","121,317.0","123,111.0","130,148.0","137,077.0","138,186.0","140,027.0","134,931.0","129,781.0","135,036.0","142,551.0","152,157.0","160,973.0","177,503.0","178,427.0","184,132.0","164,953.0","146,525.0","128,952.0","109,607.0","102,683.0","106,238.0","107,535.0","107,361.0","98,953.0","103,484.0","101,508.0","101,652.0","101,687.0","109,460.0","121,659.0","141,334.0","160,589.0","175,063.0","196,473.0","217,089.0","246,957.0","279,078.0","299,059.0","316,528.0","332,479.0","365,461.0","378,085.0","364,026.0","301,274.0","275,257.0","270,089.0","231,707.0","164,339.0","149,719.0","135,324.0","128,684.0","124,921.0","129,060.0","130,362.0","133,587.0","133,684.0","141,258.0","144,211.0","152,812.0","149,481.0","145,260.0","144,560.0","146,076.0","149,248.0","....."
"30","11","    Dividends","B3375C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","26,852.0","23,344.0","31,712.0","29,584.0","25,148.0","28,564.0","29,860.0","28,076.0","46,836.0","50,008.0","33,964.0","49,704.0","45,152.0","42,320.0","44,760.0","59,280.0","43,184.0","46,104.0","43,564.0","41,780.0","43,256.0","40,728.0","41,120.0","40,680.0","47,592.0","46,108.0","45,556.0","39,476.0","39,092.0","40,780.0","39,432.0","38,564.0","59,768.0","53,308.0","62,304.0","63,228.0","58,520.0","61,268.0","57,488.0","56,960.0","63,952.0","69,856.0","70,276.0","72,212.0","73,928.0","82,896.0","80,676.0","82,460.0","82,180.0","78,692.0","88,856.0","83,260.0","103,952.0","87,548.0","97,340.0","81,112.0","80,768.0","86,620.0","79,800.0","97,440.0","92,508.0","88,156.0","81,592.0","86,568.0","86,216.0","84,863.0","103,885.0","95,638.0","109,334.0","94,199.0","93,298.0","107,222.0","125,882.0","141,960.0","130,344.0","144,386.0","194,956.0","233,598.0","452,747.0","572,058.0","176,752.0","200,552.0","176,000.0","190,759.0","202,049.0","266,674.0","246,545.0","280,658.0","347,772.0","299,253.0","288,288.0","330,150.0","251,119.0","214,776.0","235,936.0","221,732.0","233,442.0","244,112.0","233,561.0","280,861.0","278,559.0","283,457.0","295,213.0","313,149.0","299,507.0","307,473.0","306,536.0","278,050.0","303,236.0","....."
"31","12","    Reinvested earnings on U.S. direct investment abroad","B3475C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","23,513.0","26,364.0","15,594.0","17,904.0","27,879.0","30,477.0","30,820.0","34,864.0","21,213.0","23,104.0","37,373.0","24,118.0","29,223.0","33,448.0","30,880.0","16,976.0","37,295.0","35,475.0","35,173.0","41,097.0","39,138.0","34,343.0","30,428.0","32,275.0","30,908.0","37,284.0","32,723.0","33,665.0","47,136.0","46,705.0","51,278.0","52,804.0","35,564.0","46,841.0","46,561.0","50,527.0","62,777.0","67,982.0","68,909.0","75,551.0","70,828.0","65,070.0","68,146.0","77,091.0","79,330.0","76,537.0","80,047.0","66,106.0","68,238.0","73,991.0","50,789.0","61,138.0","57,261.0","84,159.0","86,418.0","111,382.0","117,204.0","117,615.0","117,012.0","115,684.0","99,386.0","98,808.0","95,184.0","90,939.0","106,260.0","118,269.0","114,259.0","111,730.0","121,154.0","143,120.0","158,005.0","173,840.0","188,810.0","181,172.0","202,370.0","197,786.0","178,233.0","140,757.0","-68,928.0","-168,661.0","233,207.0","234,863.0","264,525.0","258,420.0","263,344.0","231,820.0","281,853.0","268,770.0","251,711.0","319,728.0","312,565.0","178,485.0","207,960.0","246,368.0","263,778.0","333,118.0","332,187.0","332,750.0","350,661.0","330,858.0","354,206.0","373,631.0","376,744.0","339,930.0","362,968.0","355,531.0","354,598.0","399,131.0","354,228.0","....."
"32","13","    Current payments to the rest of the world","W163RC1","53,453.0","64,804.0","63,948.0","66,183.0","65,994.0","68,538.0","69,807.0","70,934.0","72,019.0","77,106.0","79,690.0","77,836.0","88,862.0","87,651.0","91,736.0","96,401.0","102,035.0","108,937.0","110,334.0","118,491.0","129,861.0","154,333.0","156,791.0","161,013.0","150,405.0","141,902.0","143,797.0","151,462.0","161,820.0","169,881.0","181,923.0","185,510.0","199,156.0","207,701.0","208,312.0","214,681.0","232,081.0","241,655.0","248,927.0","260,389.0","271,097.0","287,712.0","305,258.0","334,399.0","362,749.0","347,166.0","331,384.0","364,112.0","389,538.0","398,029.0","391,172.0","396,805.0","390,874.0","384,473.0","395,121.0","379,542.0","372,401.0","398,944.0","431,331.0","453,046.0","486,345.0","513,332.0","523,472.0","534,150.0","508,056.0","529,820.0","528,567.0","554,261.0","558,206.0","569,106.0","579,903.0","592,775.0","599,765.0","631,121.0","651,801.0","682,601.0","691,071.0","695,901.0","713,493.0","749,300.0","763,328.0","780,566.0","769,663.0","783,801.0","812,032.0","803,304.0","822,248.0","824,886.0","713,378.0","743,956.0","775,155.0","789,161.0","801,866.0","822,644.0","840,969.0","857,228.0","852,076.0","881,152.0","884,852.0","937,638.0","938,707.0","991,385.0","1,048,651.0","1,101,979.0","1,121,210.0","1,149,132.0","1,160,271.0","1,160,173.0","1,190,502.0","1,206,685.0","1,237,929.0","1,277,287.0","1,319,681.0","1,338,546.0","1,382,174.0","1,412,267.0","1,416,917.0","1,435,801.0","1,441,183.0","1,483,169.0","1,497,849.0","1,561,579.0","1,642,147.0","1,708,434.0","1,801,951.0","1,865,660.0","1,927,045.0","1,949,885.0","1,879,596.0","1,779,014.0","1,720,396.0","1,596,502.0","1,679,172.0","1,773,156.0","1,808,222.0","1,821,216.0","1,880,774.0","1,875,391.0","1,911,962.0","1,984,061.0","2,096,470.0","2,223,262.0","2,277,990.0","2,427,194.0","2,499,950.0","2,558,334.0","2,627,612.0","2,807,157.0","2,868,400.0","2,991,702.0","3,079,371.0","3,054,231.0","3,175,098.0","3,244,953.0","3,279,837.0","3,301,466.0","3,430,963.0","3,524,622.0","3,501,653.0","3,056,494.0","2,542,948.0","2,490,809.0","2,611,629.0","2,789,226.0","2,888,081.0","2,979,066.0","3,067,163.0","3,137,910.0","3,265,451.0","3,372,719.0","3,390,763.0","3,414,737.0","3,480,352.0","3,456,407.0","3,432,262.0","3,444,923.0","3,465,535.0","....."
"33","14","Imports of goods and services","B021RC1","43,803.0","52,671.0","52,364.0","53,126.0","53,517.0","55,204.0","56,431.0","57,889.0","58,652.0","63,295.0","65,482.0","61,939.0","72,173.0","71,409.0","74,091.0","79,190.0","85,360.0","89,469.0","91,138.0","98,669.0","110,314.0","129,382.0","133,610.0","136,552.0","124,888.0","115,245.0","122,055.0","128,730.0","138,938.0","147,116.0","155,848.0","162,679.0","176,433.0","183,041.0","182,903.0","187,393.0","203,282.0","208,840.0","215,062.0","221,816.0","229,827.0","243,097.0","257,307.0","280,466.0","304,312.0","292,598.0","279,201.0","299,200.0","319,724.0","321,963.0","309,897.0","319,447.0","309,477.0","299,115.0","309,282.0","294,860.0","295,250.0","317,950.0","343,381.0","357,971.0","387,978.0","406,499.0","409,590.0","416,361.0","397,308.0","418,571.0","414,167.0","438,868.0","439,418.0","443,990.0","459,434.0","468,626.0","477,686.0","502,338.0","517,318.0","537,513.0","542,713.0","546,098.0","552,849.0","574,314.0","586,154.0","595,389.0","584,427.0","598,152.0","626,767.0","614,759.0","630,102.0","647,282.0","620,317.0","613,921.0","621,669.0","638,270.0","645,823.0","658,951.0","677,853.0","688,536.0","699,310.0","716,281.0","719,251.0","745,049.0","761,827.0","797,560.0","833,751.0","860,559.0","886,899.0","908,343.0","905,843.0","909,201.0","936,735.0","952,751.0","973,757.0","992,620.0","1,027,213.0","1,039,651.0","1,070,888.0","1,085,344.0","1,098,236.0","1,109,622.0","1,109,901.0","1,145,000.0","1,170,154.0","1,221,938.0","1,281,013.0","1,329,230.0","1,410,673.0","1,452,401.0","1,512,491.0","1,522,002.0","1,490,119.0","1,419,450.0","1,364,320.0","1,317,334.0","1,347,968.0","1,423,138.0","1,456,060.0","1,491,761.0","1,515,862.0","1,515,101.0","1,539,878.0","1,606,370.0","1,684,699.0","1,776,760.0","1,821,410.0","1,908,817.0","1,941,073.0","1,987,063.0","2,038,165.0","2,137,974.0","2,190,564.0","2,238,781.0","2,281,845.0","2,252,556.0","2,302,204.0","2,350,965.0","2,393,970.0","2,455,020.0","2,561,160.0","2,668,796.0","2,690,666.0","2,304,899.0","1,908,868.0","1,856,718.0","1,993,093.0","2,145,333.0","2,241,433.0","2,336,719.0","2,404,029.0","2,465,711.0","2,584,149.0","2,667,670.0","2,697,075.0","2,730,659.0","2,764,204.0","2,755,252.0","2,723,538.0","2,729,523.0","2,737,267.0","2,765,695.0"
