"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","    Wages and salaries","A576RC1","50,460.0","46,214.0","39,157.0","30,514.0","29,027.0","33,734.0","36,722.0","41,954.0","46,139.0","43,013.0","45,985.0","49,860.0","62,085.0","82,098.0","105,786.0","116,749.0","117,493.0","112,005.0","123,097.0","135,550.0","134,733.0","147,253.0","171,607.0","185,636.0","198,989.0","197,263.0","212,151.0","229,026.0","239,951.0","241,317.0","259,842.0","272,855.0","280,519.0","299,358.0","314,851.0","337,788.0","363,757.0","400,321.0","429,009.0","471,972.0","518,333.0"
"22","4","      Private industries","A132RC1","45,499.0","41,035.0","33,873.0","25,522.0","23,864.0","27,637.0","30,195.0","34,059.0","38,615.0","34,755.0","37,744.0","41,396.0","51,895.0","66,122.0","79,169.0","83,781.0","82,591.0","91,305.0","105,584.0","116,530.0","113,906.0","124,620.0","142,378.0","152,258.0","164,651.0","162,358.0","175,555.0","190,224.0","198,938.0","197,195.0","213,788.0","223,673.0","228,048.0","243,011.0","254,825.0","272,863.0","293,847.0","321,932.0","342,526.0","375,283.0","412,733.0"
"23","5","      Government","B202RC1","4,961.0","5,179.0","5,284.0","4,992.0","5,163.0","6,097.0","6,527.0","7,895.0","7,524.0","8,258.0","8,241.0","8,464.0","10,190.0","15,976.0","26,617.0","32,968.0","34,902.0","20,700.0","17,513.0","19,020.0","20,827.0","22,633.0","29,229.0","33,378.0","34,338.0","34,905.0","36,596.0","38,802.0","41,013.0","44,122.0","46,054.0","49,182.0","52,471.0","56,347.0","60,026.0","64,925.0","69,910.0","78,389.0","86,483.0","96,689.0","105,600.0"
"24","6","    Supplements to wages and salaries","A038RC1","984.0","993.0","955.0","864.0","796.0","855.0","986.0","1,379.0","2,220.0","2,454.0","2,624.0","2,948.0","4,164.0","6,005.0","6,984.0","7,651.0","8,900.0","10,585.0","9,394.0","8,920.0","9,779.0","11,212.0","14,320.0","15,705.0","16,533.0","17,180.0","18,748.0","20,614.0","23,029.0","23,802.0","26,467.0","28,996.0","30,569.0","33,554.0","36,328.0","39,033.0","42,590.0","49,965.0","53,934.0","60,129.0","67,683.0"
"25","7","      Employer contributions for employee pension and insurance funds \1\","B040RC1","976.0","986.0","950.0","856.0","792.0","848.0","974.0","1,137.0","1,190.0","1,255.0","1,320.0","1,572.0","2,448.0","3,997.0","4,656.0","5,114.0","5,437.0","5,519.0","5,463.0","5,916.0","6,430.0","7,839.0","10,226.0","11,562.0","12,323.0","12,568.0","13,574.0","14,946.0","16,661.0","17,453.0","18,612.0","19,746.0","20,959.0","22,372.0","23,923.0","26,401.0","29,497.0","33,119.0","35,915.0","40,179.0","44,929.0"
"26","8","      Employer contributions for government social insurance","B039RC1","8.0","7.0","5.0","8.0","4.0","7.0","12.0","242.0","1,030.0","1,199.0","1,304.0","1,376.0","1,716.0","2,008.0","2,328.0","2,537.0","3,463.0","5,066.0","3,931.0","3,004.0","3,349.0","3,373.0","4,094.0","4,143.0","4,210.0","4,612.0","5,174.0","5,668.0","6,368.0","6,349.0","7,855.0","9,250.0","9,610.0","11,182.0","12,405.0","12,632.0","13,093.0","16,846.0","18,019.0","19,950.0","22,754.0"
"27","9","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","14,015.0","10,872.0","8,315.0","5,012.0","5,268.0","7,007.0","10,124.0","10,393.0","12,521.0","10,598.0","11,120.0","12,234.0","16,650.0","23,341.0","28,225.0","29,346.0","30,824.0","35,671.0","34,579.0","39,279.0","34,690.0","37,514.0","42,594.0","43,040.0","42,017.0","42,255.0","44,272.0","45,819.0","47,785.0","50,158.0","50,346.0","50,587.0","53,199.0","55,234.0","56,398.0","59,132.0","63,662.0","67,933.0","69,475.0","73,832.0","77,005.0"
"28","10","    Farm","B042RC1","5,659.0","3,897.0","3,034.0","1,750.0","2,224.0","2,580.0","4,894.0","3,947.0","5,638.0","4,011.0","4,023.0","4,065.0","6,026.0","9,688.0","11,543.0","11,438.0","11,824.0","14,211.0","14,342.0","16,704.0","11,989.0","12,872.0","15,303.0","14,313.0","12,169.0","11,749.0","10,716.0","10,588.0","10,550.0","12,422.0","10,044.0","10,648.0","11,249.0","11,217.0","11,010.0","9,781.0","12,029.0","13,018.0","11,642.0","11,660.0","12,833.0"
"29","11","    Nonfarm","A045RC1","8,356.0","6,975.0","5,281.0","3,262.0","3,044.0","4,427.0","5,230.0","6,446.0","6,883.0","6,587.0","7,097.0","8,169.0","10,624.0","13,653.0","16,682.0","17,908.0","19,000.0","21,460.0","20,237.0","22,575.0","22,701.0","24,642.0","27,291.0","28,727.0","29,848.0","30,506.0","33,556.0","35,231.0","37,235.0","37,736.0","40,302.0","39,939.0","41,950.0","44,017.0","45,388.0","49,351.0","51,633.0","54,915.0","57,833.0","62,172.0","64,172.0"
"30","12","  Rental income of persons with capital consumption adjustment","A048RC1","6,062.0","5,369.0","4,438.0","3,598.0","2,857.0","2,515.0","2,563.0","2,683.0","2,965.0","3,479.0","3,715.0","3,846.0","4,414.0","5,453.0","6,024.0","6,337.0","6,578.0","6,898.0","6,889.0","7,484.0","7,798.0","8,779.0","9,719.0","10,816.0","12,028.0","13,061.0","13,422.0","13,668.0","14,053.0","14,796.0","15,557.0","16,463.0","17,200.0","18,046.0","18,727.0","18,831.0","19,337.0","19,910.0","20,346.0","20,111.0","20,374.0"
"31","13","  Personal income receipts on assets","W210RC1","12,625.0","11,911.0","10,499.0","8,602.0","7,628.0","8,267.0","8,537.0","10,035.0","10,352.0","8,756.0","9,416.0","9,701.0","10,235.0","10,044.0","10,447.0","10,866.0","11,681.0","13,577.0","15,401.0","16,792.0","17,922.0","20,656.0","21,438.0","22,499.0","24,588.0","26,593.0","29,397.0","32,444.0","35,554.0","37,319.0","40,576.0","44,335.0","47,150.0","51,620.0","55,995.0","62,455.0","68,739.0","74,162.0","79,837.0","87,300.0","98,686.0"
"32","14","    Personal interest income","A064RC1","6,824.0","6,443.0","6,433.0","6,058.0","5,590.0","5,700.0","5,693.0","5,512.0","5,692.0","5,591.0","5,650.0","5,685.0","5,804.0","5,790.0","6,001.0","6,249.0","7,081.0","8,003.0","9,080.0","9,756.0","10,684.0","11,818.0","12,868.0","13,939.0","15,702.0","17,311.0","18,919.0","21,164.0","23,812.0","25,753.0","28,006.0","30,969.0","33,249.0","36,593.0","39,759.0","44,261.0","48,534.0","53,492.0","58,327.0","63,765.0","74,447.0"
"33","15","    Personal dividend income","B703RC1","5,801.0","5,468.0","4,066.0","2,544.0","2,038.0","2,567.0","2,844.0","4,523.0","4,660.0","3,165.0","3,766.0","4,016.0","4,431.0","4,254.0","4,446.0","4,617.0","4,600.0","5,574.0","6,321.0","7,036.0","7,238.0","8,838.0","8,570.0","8,560.0","8,886.0","9,282.0","10,478.0","11,280.0","11,742.0","11,566.0","12,570.0","13,366.0","13,901.0","15,027.0","16,236.0","18,194.0","20,205.0","20,670.0","21,510.0","23,535.0","24,239.0"
"34","16","  Personal current transfer receipts","A577RC1","1,189.0","1,221.0","2,348.0","1,745.0","1,691.0","1,752.0","1,976.0","3,081.0","1,975.0","2,399.0","2,518.0","2,681.0","2,656.0","2,664.0","2,489.0","3,107.0","5,642.0","10,550.0","10,820.0","10,252.0","11,212.0","13,972.0","11,411.0","11,882.0","12,516.0","14,314.0","15,684.0","16,827.0","19,527.0","23,466.0","24,239.0","25,740.0","29,450.0","30,392.0","32,209.0","33,504.0","36,178.0","39,617.0","48,014.0","56,094.0","62,304.0"
"35","17","    Government social benefits to persons","A063RC1","791.0","869.0","1,921.0","1,274.0","1,274.0","1,347.0","1,584.0","2,687.0","1,600.0","2,142.0","2,237.0","2,394.0","2,306.0","2,322.0","2,102.0","2,674.0","5,142.0","10,122.0","10,428.0","9,881.0","10,857.0","13,417.0","10,538.0","10,994.0","11,674.0","13,747.0","14,754.0","15,592.0","18,132.0","22,226.0","22,917.0","24,428.0","28,089.0","28,843.0","30,341.0","31,317.0","33,913.0","37,504.0","45,752.0","53,306.0","58,973.0"
"36","18","      Social security \2\","W823RC1",".....",".....",".....",".....",".....",".....",".....",".....","1.0","10.0","14.0","35.0","88.0","130.0","165.0","209.0","273.0","378.0","463.0","554.0","665.0","952.0","1,872.0","2,176.0","2,980.0","3,632.0","4,914.0","5,652.0","7,316.0","8,478.0","10,175.0","11,130.0","12,614.0","14,298.0","15,245.0","16,018.0","18,067.0","19,786.0","21,122.0","24,598.0","26,382.0"
"37","19","      Medicare \3\","W824RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,008.0","4,699.0","5,890.0","6,695.0"
"38","20","      Medicaid","W729RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,881.0","2,720.0","3,997.0","4,551.0"
"39","21","      Unemployment insurance","W825RC1",".....",".....",".....",".....",".....",".....",".....",".....","2.0","393.0","435.0","534.0","358.0","350.0","81.0","67.0","558.0","2,600.0","1,591.0","1,270.0","2,247.0","1,489.0","886.0","1,075.0","1,084.0","2,324.0","1,598.0","1,575.0","1,948.0","4,244.0","2,853.0","3,079.0","4,401.0","3,182.0","3,061.0","2,776.0","2,365.0","1,913.0","2,237.0","2,207.0","2,327.0"
"40","22","      Veterans' benefits","W826RC1","558.0","599.0","1,576.0","782.0","555.0","444.0","471.0","1,881.0","584.0","524.0","541.0","546.0","516.0","506.0","521.0","953.0","2,865.0","5,504.0","6,196.0","5,515.0","4,900.0","7,675.0","4,581.0","4,322.0","4,074.0","4,057.0","4,366.0","4,329.0","4,473.0","4,566.0","4,492.0","4,488.0","4,853.0","4,573.0","4,750.0","4,632.0","4,849.0","4,822.0","5,547.0","5,852.0","6,612.0"
"41","23","      Other","W827RC1",".....",".....",".....",".....","719.0","903.0","1,113.0","806.0","1,013.0","1,215.0","1,247.0","1,279.0","1,344.0","1,336.0","1,335.0","1,445.0","1,446.0","1,638.0","2,178.0","2,542.0","3,045.0","3,301.0","3,200.0","3,421.0","3,536.0","3,734.0","3,876.0","4,037.0","4,395.0","4,938.0","5,397.0","5,731.0","6,221.0","6,790.0","7,285.0","7,891.0","8,632.0","8,094.0","9,427.0","10,762.0","12,406.0"
"42","24","    Other current transfer receipts, from business (net)","B931RC1","398.0","352.0","427.0","471.0","417.0","405.0","392.0","394.0","375.0","257.0","281.0","287.0","350.0","342.0","387.0","433.0","500.0","428.0","392.0","371.0","355.0","555.0","873.0","888.0","842.0","567.0","930.0","1,235.0","1,395.0","1,240.0","1,322.0","1,312.0","1,361.0","1,549.0","1,868.0","2,187.0","2,265.0","2,113.0","2,262.0","2,788.0","3,331.0"
"43","25","  Less: Contributions for government social insurance, domestic","A061RC1","74.0","73.0","70.0","71.0","63.0","69.0","72.0","312.0","1,473.0","1,617.0","1,752.0","1,870.0","2,334.0","2,892.0","3,778.0","4,347.0","5,340.0","6,618.0","5,564.0","4,616.0","4,890.0","5,482.0","6,634.0","6,923.0","7,106.0","8,074.0","9,091.0","9,987.0","11,413.0","11,384.0","13,834.0","16,444.0","17,005.0","19,117.0","21,669.0","22,387.0","23,416.0","31,336.0","34,867.0","38,695.0","44,127.0"
"44","26","Less: Personal current taxes","W055RC1","1,729.0","1,571.0","1,003.0","728.0","812.0","900.0","1,067.0","1,295.0","1,922.0","1,858.0","1,487.0","1,686.0","2,310.0","4,888.0","16,737.0","17,663.0","19,442.0","17,210.0","19,790.0","19,205.0","16,733.0","18,912.0","27,055.0","32,005.0","33,242.0","30,160.0","32,859.0","36,591.0","38,886.0","38,548.0","42,289.0","46,068.0","47,250.0","51,555.0","54,552.0","52,069.0","57,664.0","66,378.0","72,961.0","86,987.0","104,506.0"
"45","27","Equals: Disposable personal income","A067RC1","83,532.0","74,936.0","64,639.0","49,536.0","46,392.0","53,161.0","59,769.0","67,918.0","72,777.0","67,224.0","72,139.0","77,714.0","95,560.0","121,825.0","139,440.0","152,046.0","156,336.0","165,458.0","174,826.0","194,456.0","194,511.0","214,992.0","237,400.0","250,650.0","266,323.0","272,432.0","291,724.0","311,820.0","329,600.0","340,926.0","360,904.0","376,464.0","393,832.0","417,532.0","438,287.0","476,287.0","513,183.0","554,194.0","592,787.0","643,756.0","695,752.0"
"46","28","Less: Personal outlays","A068RC1","79,594.0","71,618.0","61,842.0","49,651.0","46,763.0","52,264.0","56,750.0","63,132.0","67,882.0","65,252.0","68,215.0","72,417.0","82,310.0","89,966.0","100,804.0","109,673.0","121,158.0","145,883.0","163,804.0","177,239.0","180,862.0","194,982.0","211,452.0","222,807.0","237,083.0","244,248.0","263,513.0","277,124.0","292,674.0","302,027.0","323,757.0","338,641.0","349,460.0","371,168.0","391,603.0","421,447.0","454,903.0","492,838.0","520,564.0","571,671.0","620,719.0"
"47","29","  Personal consumption expenditures","DPCERC1","77,384.0","70,136.0","60,671.0","48,712.0","45,944.0","51,460.0","55,931.0","62,187.0","66,839.0","64,268.0","67,209.0","71,290.0","81,071.0","89,004.0","99,900.0","108,648.0","119,979.0","144,303.0","161,979.0","175,010.0","178,472.0","192,192.0","208,485.0","219,471.0","233,012.0","239,924.0","258,679.0","271,569.0","286,735.0","296,027.0","317,508.0","331,578.0","341,966.0","363,108.0","382,482.0","411,193.0","443,582.0","480,597.0","507,412.0","557,449.0","604,486.0"
"48","30","  Personal interest payments \4\","B069RC1","1,532.0","875.0","664.0","524.0","464.0","482.0","499.0","610.0","706.0","667.0","704.0","799.0","904.0","659.0","439.0","420.0","437.0","672.0","943.0","1,275.0","1,566.0","2,038.0","2,229.0","2,555.0","3,187.0","3,410.0","3,983.0","4,563.0","4,867.0","4,991.0","5,457.0","6,242.0","6,517.0","6,963.0","7,935.0","8,941.0","9,945.0","10,679.0","11,147.0","12,184.0","13,990.0"
"49","31","  Personal current transfer payments","W211RC1","678.0","607.0","507.0","415.0","355.0","322.0","320.0","335.0","337.0","317.0","302.0","328.0","335.0","303.0","465.0","605.0","742.0","908.0","882.0","954.0","824.0","752.0","738.0","781.0","884.0","914.0","851.0","992.0","1,072.0","1,009.0","792.0","821.0","977.0","1,097.0","1,186.0","1,313.0","1,376.0","1,562.0","2,005.0","2,038.0","2,243.0"
"50","32","    To government","W062RC1","335.0","301.0","228.0","198.0","164.0","160.0","158.0","159.0","162.0","164.0","151.0","150.0","156.0","180.0","216.0","248.0","269.0","247.0","219.0","276.0","318.0","314.0","349.0","369.0","410.0","437.0","430.0","488.0","567.0","574.0","320.0","342.0","476.0","543.0","530.0","602.0","578.0","778.0","982.0","1,039.0","1,128.0"
"51","33","    To the rest of the world (net)","B070RC1","343.0","306.0","279.0","217.0","191.0","162.0","162.0","176.0","175.0","153.0","151.0","178.0","179.0","123.0","249.0","357.0","473.0","661.0","663.0","678.0","506.0","438.0","389.0","412.0","474.0","477.0","421.0","504.0","505.0","435.0","472.0","479.0","501.0","554.0","656.0","711.0","798.0","784.0","1,023.0","999.0","1,115.0"
"52","34","Equals: Personal saving","A071RC1","3,938.0","3,318.0","2,797.0","-115.0","-371.0","897.0","3,019.0","4,786.0","4,895.0","1,972.0","3,924.0","5,297.0","13,250.0","31,859.0","38,636.0","42,373.0","35,178.0","19,575.0","11,022.0","17,217.0","13,649.0","20,010.0","25,948.0","27,843.0","29,240.0","28,184.0","28,211.0","34,696.0","36,926.0","38,899.0","37,147.0","37,823.0","44,372.0","46,364.0","46,684.0","54,840.0","58,280.0","61,356.0","72,223.0","72,085.0","75,033.0"
"53","35","  Personal saving as a percentage of disposable personal income","A072RC1","4.7","4.4","4.3","-0.2","-0.8","1.7","5.1","7.0","6.7","2.9","5.4","6.8","13.9","26.2","27.7","27.9","22.5","11.8","6.3","8.9","7.0","9.3","10.9","11.1","11.0","10.3","9.7","11.1","11.2","11.4","10.3","10.0","11.3","11.1","10.7","11.5","11.4","11.1","12.2","11.2","10.8"
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","36","  Personal income excluding current transfer receipts, millions of chained (2009) dollars \5\","W875RX1","848,526.0","793,403.0","747,008.0","649,344.0","631,599.0","694,398.0","762,534.0","848,935.0","900,718.0","845,158.0","910,008.0","973,591.0","1,137,699.0","1,317,988.0","1,495,456.0","1,532,959.0","1,505,229.0","1,423,639.0","1,380,264.0","1,445,796.0","1,432,894.0","1,556,820.0","1,677,010.0","1,758,495.0","1,839,704.0","1,832,081.0","1,955,181.0","2,057,483.0","2,101,530.0","2,094,658.0","2,196,707.0","2,262,857.0","2,323,111.0","2,447,119.0","2,539,725.0","2,688,975.0","2,863,940.0","3,034,817.0","3,147,689.0","3,308,887.0","3,462,460.0"
"56",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","37","    Total, millions of chained (2009) dollars \5\","A067RX1","843,076.0","789,714.0","762,882.0","662,955.0","643,797.0","705,708.0","774,310.0","871,861.0","901,375.0","852,015.0","923,202.0","986,218.0","1,141,833.0","1,294,358.0","1,356,816.0","1,399,025.0","1,383,137.0","1,368,553.0","1,312,902.0","1,382,159.0","1,393,345.0","1,521,852.0","1,573,332.0","1,627,809.0","1,706,870.0","1,731,376.0","1,846,471.0","1,934,847.0","1,984,944.0","2,005,919.0","2,092,076.0","2,146,929.0","2,222,654.0","2,329,068.0","2,416,535.0","2,588,094.0","2,748,851.0","2,895,022.0","3,020,571.0","3,157,369.0","3,264,449.0"
"58",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","38","      Current dollars","A229RC0","685","608","521","396","369","420","469","530","564","517","551","588","716","903","1,020","1,099","1,117","1,170","1,213","1,326","1,304","1,417","1,539","1,597","1,669","1,678","1,765","1,854","1,924","1,958","2,038","2,083","2,143","2,238","2,315","2,482","2,641","2,819","2,983","3,207","3,432"
"60","39","      Chained (2009) dollars","A229RX0","6,917","6,411","6,145","5,306","5,122","5,579","6,080","6,802","6,990","6,556","7,046","7,464","8,559","9,598","9,923","10,109","9,885","9,679","9,109","9,426","9,340","10,033","10,197","10,371","10,697","10,662","11,172","11,502","11,589","11,519","11,811","11,877","12,097","12,482","12,766","13,485","14,144","14,726","15,198","15,728","16,102"
"61","40","  Population (midperiod, thousands)","B230RC0","121,878","123,188","124,149","124,949","125,690","126,485","127,362","128,181","128,961","129,969","131,028","132,122","133,402","134,860","136,739","138,397","139,928","141,389","144,126","146,631","149,188","151,684","154,287","156,954","159,565","162,391","165,275","168,221","171,274","174,141","177,130","180,760","183,742","186,590","189,300","191,927","194,347","196,599","198,752","200,745","202,736"
"62",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","41","    Disposable personal income, current dollars","A067RP1",".....","-10.3","-13.7","-23.4","-6.3","14.6","12.4","13.6","7.2","-7.6","7.3","7.7","23.0","27.5","14.5","9.0","2.8","5.8","5.7","11.2","0.0","10.5","10.4","5.6","6.3","2.3","7.1","6.9","5.7","3.4","5.9","4.3","4.6","6.0","5.0","8.7","7.7","8.0","7.0","8.6","8.1"
"64","42","    Disposable personal income, chained (2009) dollars","A067RL1",".....","-6.3","-3.4","-13.1","-2.9","9.6","9.7","12.6","3.4","-5.5","8.4","6.8","15.8","13.4","4.8","3.1","-1.1","-1.1","-4.1","5.3","0.8","9.2","3.4","3.5","4.9","1.4","6.6","4.8","2.6","1.1","4.3","2.6","3.5","4.8","3.8","7.1","6.2","5.3","4.3","4.5","3.4"
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
