"","Table 2#7B# Wages and Salaries by Industry, Monthly             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153"
"23","4","    Manufacturing","N552RC1","742,331.0","740,491.0","737,667.0","733,277.0","721,785.0","712,486.0","711,101.0","698,327.0","695,042.0","691,825.0","689,639.0","686,481.0","679,118.0","679,167.0","683,373.0","683,572.0","687,218.0","689,314.0","680,899.0","677,724.0","677,487.0","675,118.0","673,666.0","674,198.0","667,853.0","666,745.0","670,322.0","664,175.0","670,104.0","671,367.0","663,633.0","668,608.0","676,471.0","687,630.0","696,212.0","687,733.0","677,980.0","672,759.0","673,363.0","681,253.0","693,396.0","694,155.0","703,031.0","709,207.0","709,600.0","704,660.0","700,600.0","703,118.0","707,526.0","705,937.0","703,437.0","705,675.0","707,482.0","707,038.0","711,849.0","714,821.0","713,839.0","720,256.0","713,855.0","712,707.0","733,250.0","743,055.0","742,581.0","740,263.0","733,988.0","733,269.0","734,470.0","733,887.0","732,606.0","737,021.0","737,729.0","749,941.0","754,337.0","752,234.0","754,054.0","757,848.0","753,567.0","749,966.0","752,317.0","745,376.0","751,211.0","742,533.0","751,074.0","755,877.0","749,673.0","747,604.0","753,371.0","745,263.0","745,740.0","748,604.0","743,043.0","740,809.0","735,145.0","738,369.0","730,307.0","709,045.0","683,859.0","674,237.0","664,104.0","665,698.0","658,062.0","653,822.0","648,957.0","648,910.0","650,460.0","657,619.0","665,274.0","664,039.0","653,750.0","642,537.0","651,272.0","665,119.0","679,466.0","673,693.0","679,059.0","682,069.0","685,053.0","687,699.0","691,274.0","697,672.0","705,205.0","700,922.0","710,252.0","704,446.0","705,883.0","704,847.0","713,563.0","711,597.0","709,539.0","706,794.0","699,907.0","712,308.0","727,783.0","736,679.0","735,148.0","741,310.0","730,756.0","734,887.0","733,831.0","730,298.0","732,887.0","725,248.0","735,183.0","761,216.0","739,046.0","748,245.0","748,089.0","748,410.0","750,240.0","754,444.0"
"24","5","  Services-producing industries","N233RC1","3,092,067.0","3,112,333.0","3,120,961.0","3,099,722.0","3,091,938.0","3,090,281.0","3,076,316.0","3,076,631.0","3,072,137.0","3,070,587.0","3,075,415.0","3,078,284.0","3,075,653.0","3,072,690.0","3,084,630.0","3,099,851.0","3,109,796.0","3,130,056.0","3,114,199.0","3,124,360.0","3,132,572.0","3,133,502.0","3,135,904.0","3,130,613.0","3,120,750.0","3,126,919.0","3,143,558.0","3,162,686.0","3,194,945.0","3,209,157.0","3,227,076.0","3,247,452.0","3,260,598.0","3,280,589.0","3,304,754.0","3,301,614.0","3,311,202.0","3,315,991.0","3,330,321.0","3,353,426.0","3,396,658.0","3,409,932.0","3,444,809.0","3,465,799.0","3,479,382.0","3,499,410.0","3,493,160.0","3,506,094.0","3,508,452.0","3,516,916.0","3,520,979.0","3,546,792.0","3,558,752.0","3,580,828.0","3,618,792.0","3,627,140.0","3,651,040.0","3,673,550.0","3,692,885.0","3,709,927.0","3,763,766.0","3,791,860.0","3,808,402.0","3,830,751.0","3,807,594.0","3,823,460.0","3,843,843.0","3,849,663.0","3,876,856.0","3,904,100.0","3,937,787.0","3,987,879.0","4,031,045.0","4,077,005.0","4,093,520.0","4,076,882.0","4,071,356.0","4,087,016.0","4,091,511.0","4,088,298.0","4,110,732.0","4,125,262.0","4,150,213.0","4,177,801.0","4,182,222.0","4,196,885.0","4,207,559.0","4,185,761.0","4,184,193.0","4,181,285.0","4,182,540.0","4,196,853.0","4,207,209.0","4,219,015.0","4,184,311.0","4,114,864.0","4,013,791.0","3,958,979.0","3,946,793.0","3,998,387.0","4,035,886.0","4,038,326.0","4,020,538.0","4,020,960.0","4,025,254.0","4,041,028.0","4,062,973.0","4,066,628.0","4,037,805.0","4,015,283.0","4,033,232.0","4,087,961.0","4,128,496.0","4,137,466.0","4,160,476.0","4,174,535.0","4,180,178.0","4,202,676.0","4,202,659.0","4,236,494.0","4,271,336.0","4,301,641.0","4,307,706.0","4,311,725.0","4,319,662.0","4,344,230.0","4,394,442.0","4,383,142.0","4,381,135.0","4,360,107.0","4,345,823.0","4,385,020.0","4,451,696.0","4,500,551.0","4,528,535.0","4,524,804.0","4,516,878.0","4,532,782.0","4,526,643.0","4,555,189.0","4,607,226.0","4,641,037.0","4,717,184.0","4,802,620.0","4,621,317.0","4,660,495.0","4,674,379.0","4,682,265.0","4,696,485.0","4,728,540.0"
"25","6","    Trade, transportation, and utilities","N234RC1","852,407.0","852,649.0","853,906.0","849,640.0","848,701.0","849,174.0","845,213.0","843,909.0","842,971.0","839,791.0","841,174.0","840,459.0","840,711.0","840,371.0","845,133.0","844,047.0","847,585.0","850,909.0","849,073.0","849,218.0","849,811.0","846,385.0","848,356.0","849,546.0","848,134.0","851,114.0","855,391.0","853,952.0","856,182.0","856,365.0","858,170.0","865,841.0","870,545.0","880,179.0","883,632.0","878,167.0","879,193.0","879,818.0","881,488.0","890,817.0","900,965.0","905,277.0","913,963.0","918,226.0","922,333.0","924,650.0","919,899.0","924,002.0","926,519.0","928,914.0","927,817.0","934,493.0","935,416.0","939,245.0","948,942.0","948,661.0","950,590.0","955,309.0","958,660.0","963,640.0","975,831.0","985,053.0","987,520.0","992,420.0","984,404.0","988,323.0","994,640.0","994,056.0","997,169.0","1,003,092.0","1,008,254.0","1,017,530.0","1,020,524.0","1,032,806.0","1,042,082.0","1,043,338.0","1,043,349.0","1,049,237.0","1,043,516.0","1,036,817.0","1,040,927.0","1,047,858.0","1,053,563.0","1,052,231.0","1,050,616.0","1,053,563.0","1,055,749.0","1,049,372.0","1,047,396.0","1,047,063.0","1,042,980.0","1,043,316.0","1,046,395.0","1,047,095.0","1,037,482.0","1,022,611.0","1,004,179.0","989,663.0","978,208.0","982,040.0","986,839.0","981,221.0","974,603.0","979,564.0","982,859.0","983,157.0","986,096.0","986,848.0","981,315.0","972,000.0","976,010.0","990,345.0","999,595.0","1,000,908.0","1,006,761.0","1,006,225.0","1,010,005.0","1,013,665.0","1,010,777.0","1,019,468.0","1,027,803.0","1,032,008.0","1,035,569.0","1,040,053.0","1,039,749.0","1,046,942.0","1,057,010.0","1,053,976.0","1,053,479.0","1,053,721.0","1,052,371.0","1,061,402.0","1,080,148.0","1,091,004.0","1,089,234.0","1,083,926.0","1,081,209.0","1,086,291.0","1,083,802.0","1,089,332.0","1,096,970.0","1,102,463.0","1,116,565.0","1,123,612.0","1,106,941.0","1,116,060.0","1,122,462.0","1,120,659.0","1,124,753.0","1,128,144.0"
"26","7","    Other services-producing industries \1\","N235RC1","2,239,660.0","2,259,685.0","2,267,055.0","2,250,083.0","2,243,237.0","2,241,107.0","2,231,103.0","2,232,721.0","2,229,167.0","2,230,796.0","2,234,241.0","2,237,824.0","2,234,942.0","2,232,320.0","2,239,497.0","2,255,803.0","2,262,210.0","2,279,147.0","2,265,126.0","2,275,142.0","2,282,761.0","2,287,117.0","2,287,548.0","2,281,067.0","2,272,616.0","2,275,805.0","2,288,166.0","2,308,735.0","2,338,763.0","2,352,792.0","2,368,906.0","2,381,611.0","2,390,054.0","2,400,410.0","2,421,122.0","2,423,447.0","2,432,009.0","2,436,173.0","2,448,833.0","2,462,609.0","2,495,693.0","2,504,655.0","2,530,846.0","2,547,573.0","2,557,049.0","2,574,761.0","2,573,262.0","2,582,093.0","2,581,933.0","2,588,002.0","2,593,162.0","2,612,299.0","2,623,336.0","2,641,583.0","2,669,850.0","2,678,479.0","2,700,450.0","2,718,241.0","2,734,225.0","2,746,288.0","2,787,935.0","2,806,806.0","2,820,883.0","2,838,332.0","2,823,190.0","2,835,137.0","2,849,203.0","2,855,607.0","2,879,687.0","2,901,007.0","2,929,533.0","2,970,349.0","3,010,521.0","3,044,199.0","3,051,439.0","3,033,543.0","3,028,007.0","3,037,780.0","3,047,995.0","3,051,481.0","3,069,805.0","3,077,404.0","3,096,651.0","3,125,570.0","3,131,606.0","3,143,322.0","3,151,810.0","3,136,389.0","3,136,797.0","3,134,222.0","3,139,560.0","3,153,537.0","3,160,815.0","3,171,919.0","3,146,829.0","3,092,253.0","3,009,612.0","2,969,316.0","2,968,585.0","3,016,347.0","3,049,046.0","3,057,105.0","3,045,935.0","3,041,397.0","3,042,395.0","3,057,871.0","3,076,877.0","3,079,780.0","3,056,491.0","3,043,283.0","3,057,223.0","3,097,616.0","3,128,901.0","3,136,558.0","3,153,715.0","3,168,310.0","3,170,173.0","3,189,011.0","3,191,882.0","3,217,026.0","3,243,532.0","3,269,633.0","3,272,136.0","3,271,672.0","3,279,913.0","3,297,288.0","3,337,431.0","3,329,166.0","3,327,655.0","3,306,387.0","3,293,452.0","3,323,617.0","3,371,548.0","3,409,546.0","3,439,301.0","3,440,878.0","3,435,669.0","3,446,491.0","3,442,841.0","3,465,857.0","3,510,256.0","3,538,574.0","3,600,618.0","3,679,008.0","3,514,376.0","3,544,435.0","3,551,917.0","3,561,606.0","3,571,732.0","3,600,396.0"
"27","8","Government","B202RC1","799,888.0","805,330.0","808,311.0","811,591.0","814,761.0","820,271.0","824,941.0","828,624.0","832,091.0","835,617.0","839,861.0","842,688.0","858,822.0","861,900.0","864,187.0","866,678.0","870,802.0","873,774.0","875,486.0","878,879.0","879,176.0","880,710.0","882,867.0","884,581.0","899,890.0","905,590.0","908,960.0","910,601.0","912,050.0","914,615.0","916,772.0","915,352.0","914,677.0","918,249.0","919,841.0","923,113.0","937,412.0","942,123.0","945,839.0","948,811.0","950,751.0","952,237.0","953,673.0","955,855.0","957,495.0","960,108.0","963,227.0","964,436.0","980,933.0","982,933.0","983,588.0","985,623.0","987,754.0","989,560.0","992,817.0","993,890.0","996,691.0","997,788.0","1,001,668.0","1,004,887.0","1,015,353.0","1,018,886.0","1,022,312.0","1,025,305.0","1,027,988.0","1,031,105.0","1,035,842.0","1,039,885.0","1,046,640.0","1,049,258.0","1,052,200.0","1,054,856.0","1,071,858.0","1,077,043.0","1,079,567.0","1,080,535.0","1,082,019.0","1,084,800.0","1,087,354.0","1,092,320.0","1,097,550.0","1,100,036.0","1,103,902.0","1,109,174.0","1,121,833.0","1,128,536.0","1,132,306.0","1,134,849.0","1,137,305.0","1,141,416.0","1,145,825.0","1,151,374.0","1,155,843.0","1,159,341.0","1,160,307.0","1,160,336.0","1,166,806.0","1,166,387.0","1,167,466.0","1,173,529.0","1,176,409.0","1,178,026.0","1,177,674.0","1,177,906.0","1,177,467.0","1,179,027.0","1,179,926.0","1,181,129.0","1,186,131.0","1,186,918.0","1,189,251.0","1,191,766.0","1,200,480.0","1,198,174.0","1,194,318.0","1,190,408.0","1,186,199.0","1,190,458.0","1,189,645.0","1,189,342.0","1,190,252.0","1,189,771.0","1,191,652.0","1,195,704.0","1,196,336.0","1,201,797.0","1,199,004.0","1,199,602.0","1,196,109.0","1,191,410.0","1,189,961.0","1,191,647.0","1,197,439.0","1,200,251.0","1,200,493.0","1,197,569.0","1,194,703.0","1,194,214.0","1,192,537.0","1,194,956.0","1,197,694.0","1,197,787.0","1,199,448.0","1,200,725.0","1,197,996.0","1,196,136.0","1,193,328.0","1,194,432.0","1,194,708.0","1,194,240.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Other services-producing industries consists of information; finance and insurance; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","estate and rental and leasing; professional, scientific, and technical services; management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","of companies and enterprises; administrative and support and waste management and remediation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","services; educational services; health care and social assistance; arts, entertainment, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","recreation; accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
