"","Table 5#4#6AU# Real Private Fixed Investment in Structures by Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"34","27","  Permanent site","A943RX0",181345,156107,182045,194322,217577,203233,222308,223511
"35","28","    Single-family structures","A944RX0",154210,135139,164127,179738,198906,180565,197262,196629
"36","29","    Multifamily structures","C292RX0",26739,20606,17511,14118,18241,22610,24998,26932
"37","30","  Other structures","A863RX0",111632,107812,119470,132102,141186,143439,152831,158826
"38","31","    Manufactured homes","A945RX0",6752,5879,7339,9313,11281,12857,14206,14690
"39","32","    Dormitories","C295RX0",1026,357,464,686,397,576,663,887
"40","33","    Improvements","A946RX0",74798,71579,79181,89182,94313,94247,98315,100124
"41","34","    Brokers' commissions on sale of structures","A758RX0",31195,31986,34517,35521,36817,37275,41564,45719
"42","35","    Net purchases of used structures","A759RX0",-2139,-2035,-2032,-2594,-1541,-1468,-1938,-2644
"43","36","Residual","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA
"45","37","  Private fixed investment in new structures\5\","W040RX0",538547,478600,499089,522178,556157,558067,596151,617658
"46","38","    Nonresidential structures","A771RX0",275306,244919,230305,228444,232271,246857,260364,278156
"47","39","    Residential structures","A756RX0",263668,234065,268946,293644,323559,311119,335652,339417
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Also includes medical buildings; in table 5.4.6B, these buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Consists of stores, restaurants, garages, service stations, warehouses, beauty and trade schools, mobile structures, and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","buildings used for commercial purposes.  Also includes financial buidings of two stories or less.  In table 5.4.6B, financial ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","buildings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","of two stories or less are included in office; bus or truck garages are included in transportation; and beauty and trade schools ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","included in educational and vocational structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. Consists of hotels and motels, buildings used primarily for social and recreational activities, and buildings not elsewhere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","classified, such as passenger terminals, greenhouses, and animal hospitals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","4. Consists primarily of streets, dams and reservoirs, sewer and water facilities, parks, and airfields.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","NOTE. Chained (2000) dollar series are calculated as the product of the chain-type quantity index and the 2000 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","more than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
