"","Table 6#21D# Undistributed Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"50","43","    Transit and ground passenger transportation","N3443C0",411,143,374,172,544,387,544,514,510,354,51,664,1102,740,733,NA,NA
"51","44","    Pipeline transportation","N3444C0",151,-239,-891,244,297,47,87,19,184,304,489,920,289,-5531,494,NA,NA
"52","45","    Other transportation and support activities \2\","N3445C0",-1037,-1951,113,1439,1790,1320,2726,6143,5238,-370,2844,2368,5318,5968,7503,NA,NA
"53","46","    Warehousing and storage","N3446C0",275,253,106,106,202,-84,101,506,754,170,222,638,389,501,61,NA,NA
"54","47","  Information","N3447C0",-8890,-28384,-62540,-52673,-24904,-22049,-14124,53463,49309,41201,35677,35236,48777,35865,41576,62986,51985
"55","48","    Publishing industries (includes software)","N3448C0",3798,6609,-9024,-4590,3687,2535,-24769,14239,2096,-5058,-4880,681,6342,4441,2237,NA,NA
"56","49","    Motion picture and sound recording industries","N3449C0",-569,537,-166,2656,6635,5347,7430,6223,6271,5628,9965,9317,15730,17916,18740,NA,NA
"57","50","    Broadcasting and telecommunications","N3450C0",-7418,-28392,-35712,-38745,-35222,-29901,-3089,29579,34203,36808,26656,21267,24099,14294,26651,NA,NA
"58","51","    Information and data processing services","N3451C0",-4700,-7138,-17637,-11995,-4,-30,6304,3423,6739,3824,3936,3971,2606,-787,-6052,NA,NA
"59","52","  Finance and insurance","N3491C0",-36280,-32394,-81444,-26044,27497,37168,57878,55223,23007,-73844,-208842,57972,38757,6099,52372,-93316,4621
"60","53","    Federal Reserve banks","N3453C0",-1304,892,5476,1361,-1460,-2461,1381,4330,3915,405,2201,-1501,-9295,-1059,-18358,NA,NA
"61","54","    Credit intermediation and related activities","N3492C0",30775,36820,37360,44597,61055,55127,43768,54720,39502,30536,29330,71315,59395,80057,89855,NA,NA
"62","55","    Securities, commodity contracts, and investments","N3493C0",-18903,-19160,-43662,-24206,-5566,-4481,482,1885,-4889,-52070,-126421,7575,-7198,-25153,-3174,NA,NA
"63","56","    Insurance carriers and related activities","N3456C0",-9186,-2383,-16129,-13472,-2387,13594,45931,53257,47106,28376,-39989,23646,34981,3171,43617,NA,NA
"64","57","    Funds, trusts, and other financial vehicles","N3457C0",-37663,-48564,-64489,-34323,-24145,-24610,-33683,-58969,-62628,-81091,-73962,-43064,-39126,-50918,-59568,NA,NA
"65","58","  Real estate and rental and leasing","N3458C0",-7340,-6152,-9119,-10704,-9778,-11858,-14568,-8408,-15134,-28821,-27379,-13985,-11050,-23012,-13864,-12443,-15314
"66","59","    Real estate","N3459C0",-8012,-6088,-7442,-10509,-9371,-10030,-10970,-13233,-20351,-32640,-26954,-15550,-12679,-15712,-19541,NA,NA
"67","60","    Rental and leasing services and lessors of intangible assets \3\","N3460C0",673,-64,-1677,-195,-407,-1828,-3598,4826,5217,3819,-424,1565,1629,-7300,5677,NA,NA
"68","61","  Professional, scientific, and technical services","N3461C0",4175,5450,-16176,-11387,389,4306,9199,13195,10583,8978,11669,22228,30843,17711,22733,14285,6579
"69","62","    Legal services","N3462C0",628,1512,2782,3652,4521,3296,4306,5683,5462,4058,5843,7316,7084,8042,7941,NA,NA
"70","63","    Computer systems design and related services","N3463C0",2225,-373,-15922,-11542,-4995,-818,-183,-1071,-1354,-840,1439,4941,5488,-2761,5082,NA,NA
"71","64","    Miscellaneous professional, scientific, and technical services \4\","N3464C0",1322,4311,-3036,-3497,863,1828,5076,8583,6474,5759,4387,9971,18271,12429,9710,NA,NA
"72","65","  Management of companies and enterprises \5\","N3465C0",11725,17869,32136,44487,50477,49975,35138,65070,49451,29752,68682,108193,150528,111839,83587,80207,70590
"73","66","  Administrative and waste management services","N3468C0",-1739,2954,2038,3455,2699,5155,5320,10106,6346,9186,6067,9920,13382,12655,11690,11668,12311
"74","67","    Administrative and support services","N3469C0",339,2894,1634,2639,1461,3003,4231,7472,7842,6110,4371,6180,9689,9661,8404,NA,NA
"75","68","    Waste management and remediation services","N3470C0",-2078,60,404,816,1238,2152,1089,2634,-1496,3076,1696,3740,3693,2994,3287,NA,NA
"76","69","  Educational services","N3471C0",1387,1257,1137,798,1483,1562,2532,3284,3282,3117,2756,6330,6839,5574,4765,4317,4444
"77","70","  Health care and social assistance","N3472C0",5057,9826,13011,16937,23686,25113,25408,32872,33392,26735,32126,41304,46797,42771,44125,49286,55658
"78","71","    Ambulatory health care services","N3473C0",5573,8336,9518,13426,16737,16667,17321,21788,22017,19486,20899,26708,28945,25507,23204,NA,NA
"79","72","    Hospitals and nursing and residential care facilities","N3477C0",-510,887,1560,1078,4506,5691,5306,7205,7264,1966,6548,8499,10132,12847,15250,NA,NA
"80","73","    Social assistance","N3478C0",-6,602,1933,2434,2443,2755,2781,3879,4111,5283,4678,6097,7719,4416,5671,NA,NA
"81","74","  Arts, entertainment, and recreation","N3479C0",4,-396,-1182,83,563,251,627,1830,2324,-587,202,1877,2945,4583,4844,7340,8631
"82","75","    Performing arts, spectator sports, museums, and related activities","N3480C0",-377,-314,-492,-93,-280,424,673,193,911,-1032,14,649,670,2379,2579,NA,NA
"83","76","    Amusements, gambling, and recreation industries","N3481C0",380,-83,-690,176,843,-173,-46,1638,1412,445,189,1228,2275,2204,2265,NA,NA
"84","77","  Accommodation and food services","N3482C0",1757,3513,6104,3885,5969,4103,5302,7249,6793,3281,3264,2583,6477,9004,11919,13260,11483
"85","78","    Accommodation","N3483C0",-652,262,1584,-415,597,-218,238,968,606,-2529,421,-4756,-2694,1687,2362,NA,NA
"86","79","    Food services and drinking places","N3484C0",2409,3250,4520,4301,5372,4321,5064,6281,6187,5810,2843,7339,9171,7317,9557,NA,NA
"87","80","  Other services, except government","N3485C0",-516,-258,1484,2437,745,1451,1884,5622,5084,3381,-2027,3990,8806,7692,8957,10035,10200
"88","81","Rest of the world","A3474C0",60491,80477,116939,129733,110856,134533,142714,-21784,178262,212953,226184,239053,273764,266995,231038,268464,282583
"89","82","  Receipts from the rest of the world \6\","B3475C0",63539,84805,116879,96080,112630,149030,192534,20350,247754,261447,265623,260932,336613,345736,318676,353327,381697
"90","83","  Less: Payments to the rest of the world \7\","B3476C0",3048,4328,-60,-33653,1773,14496,49820,42134,69492,48493,39439,21880,62849,78741,87639,84863,99114
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","2. Consists of scenic and sightseeing transportation; transportation support activities; and couriers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural, engineering,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","and related services; specialized design services; management, scientific, and technical consulting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","services; scientific research and development services; advertising and related services; and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","5. Consists of bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","6. Consists of receipts by all U.S. residents of their share of the reinvested earnings of their incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","foreign affiliates and reinvested earnings of their unincorporated foreign affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","7. Consists of payments to foreign residents of their share of the reinvested earnings of their incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","U.S. affiliates and reinvested earnings of their unincorporated U.S. affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
