"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"13","5","    Other","B247RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.2,1.2,1.3,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,2,2,2,2,2,2.1,2.1,2.1,2.2,2.2,2.2,2.3,2.3,2.4,2.4,2.4,2.4,2.5,2.5,2.6,2.7,2.7,2.8,2.9,3,3.1,3.1
"14","6","  Taxes on production and imports","W072RC1",9.9,10.2,10.6,11.1,11.4,11.7,12.1,12.3,12.6,12.9,13.2,13.4,13.7,14,14.6,14.6,15.3,15.3,15.6,16,16.3,16.8,17.2,17.7,18,18.2,18.6,18.8,19,19.2,19.5,19.9,20.3,20.7,21.3,21.9,22.4,23,23.6,24.1,24.6,25,25.4,25.5,25.8,26.1,26.7,27.4,27.9,28.2,29.3,30,30.4,31.2,31.8,32.4,32.9,33.4,34.1,34.8,35.5,36,36.5,37.1,37.6,38.3,39.1,39.8,40.7,41.4,42.4,42.9,43.8,44.7,45.8,46.8,47.5,48.2,49.2,50.1,50.7,51.7,53.5,55.2,57.2,58.7,60.4,61.8,63.3,65.1,67,68.8
"15","7","    Sales taxes","B248RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,9.8,10,10.3,10.7,10.9,11.4,11.5,11.8,12.1,12.3,12.4,12.6,12.8,13.2,13.6,13.9,13.9,14,14.2,14.3,14.7,15.3,15.6,16.1,16.3,16.7,16.7,17.2,17.8,18.5,19.2,19.5,19.7,20.2,20.4,20.4,20.7,21.8,22.7,23.8,24.6,25.6,26.2,27.1,28.1,29.1,29.9
"16","8","    Property taxes","B249RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,13.6,13.9,14.2,14.4,14.5,14.9,15.4,15.6,16,16.5,16.9,17.2,17.5,17.7,18,18.3,18.7,19.2,19.6,19.9,20.1,20.4,20.6,21,21.4,21.9,22.4,22.8,23.1,23.3,23.6,23.9,24.3,24.7,25.2,25.8,26.6,27.3,28.1,28.9,29.6,30.3,30.9,31.6,32.3,33.1,34.1
"17","9","    Other","W073RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2.7,2.8,3,2.8,2.9,2.9,3,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.4,3.5,3.5,3.5,3.6,3.7,3.7,3.8,3.8,3.9,4,4,4.1,4.2,4.3,4.5,4.4,4.4,4.5,4.4,4.5,4.6,4.6,4.6,4.7,4.7,4.7,4.8
"18","10","  Taxes on corporate income","B102RC1",0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.9,0.9,1,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.8,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1,1,1,1.1,1,1.1,1.1,1,1,0.9,0.9,0.9,1,1.2,1.2,1.3,1.1,1.1,1.4,1.3,1.2,1.1,1.2,1.2,1.3,1.4,1.5,1.5,1.5,1.5,1.5,1.6,1.7,1.7,1.8,1.8,1.9,1.8,1.9,1.9,2,2.1,2.3,2.3,2.2,2.2,2.6,2.6,2.6,2.7,3.2,3.3,3.3,3.4,3.8,3.7,3.5,3.4
"19","11","Contributions for government social insurance","B104RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1.1
"20","12","Income receipts on assets","W074RC1",0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.1,1.1,1.1,1.2,1.3,1.4,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.6,1.5,1.5,1.6,1.7,1.7,1.8,2,1.9,2,2.1,2.2,2.2,2.3,2.5,2.6,2.7,2.7,2.8,2.8,3.1,3.3,3.4,3.4,3.5,3.7,4,4.2,4.5,4.7
"21","13","  Interest receipts \1\","B112RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.9,1.1,1.1,1,1,1,1.1,1.1,1.1,1.1,1.1,1.2,1.1,1.1,1.2,1.3,1.3,1.4,1.5,1.5,1.5,1.6,1.8,1.7,1.8,2,2,2.2,2.2,2.2,2.2,2.5,2.7,2.6,2.7,2.8,3,3.2,3.5,3.7,3.9
"22","14","  Dividends","B081RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Rents and royalties","S230541",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8
"24","16","Current transfer receipts","W075RC1",0.8,1.2,1.5,1.3,1.3,1.6,1.8,2.1,2.1,2,2.4,2.3,2.2,2.3,2.2,2.2,2.4,2.4,2.3,2.5,2.4,2.5,2.7,2.7,2.2,3.1,2.7,2.7,2.8,2.7,2.8,2.8,2.7,2.9,3,2.9,2.9,3,3.2,3.2,3.5,3.3,3.5,3.7,3.5,3.9,3.8,4.6,3.7,4.2,4,4.1,4.2,4.3,4.3,4.4,4.6,5,5.1,5.1,5.3,5.3,5.6,5.6,5.6,5.8,6.1,6.3,6.9,6.8,6.5,6.9,6.8,7.4,7.7,7.8,9.3,10.4,10.8,11.1,11.6,12.2,12.2,13.3,12.4,13.9,13.2,13.8,13.8,14.7,15.8,16.8
"25","17","  Federal grants-in-aid","B089RC1",0.6,1,1.3,1,1,1.3,1.4,1.7,1.7,1.6,2,1.9,1.8,1.9,1.8,1.8,2,2,1.8,2,1.9,2,2.2,2.2,1.7,2.6,2.2,2.2,2.3,2.2,2.3,2.3,2.2,2.3,2.4,2.3,2.3,2.4,2.5,2.5,2.8,2.6,2.8,3,2.7,3.2,3.1,3.9,3.3,3.8,3.7,3.7,3.7,3.8,3.8,3.9,4,4.3,4.4,4.4,4.6,4.6,4.9,4.8,4.9,5.1,5.4,5.6,6.1,6,5.7,6.1,6,6.5,6.8,6.9,8.3,9.4,9.7,10,10.3,10.8,10.8,11.9,10.9,12.5,11.7,12.3,12.2,13.1,14.2,15.1
"26","18","  From business (net)","W076RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"27","19","  From persons","B246RC1",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,0.9,1,1,1,1,1,1,1.1,1.1,1.1
"28","20","  From the rest of the world","LA0000161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","21","Current surplus of government enterprises","B115RC1",0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.3,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3
"30","22","    Current expenditures","W024RC1",13.1,13.8,14.6,15,15.8,16.1,16.6,16.7,17.1,17.4,17.9,18.4,19.1,19.8,19.5,19.7,19.9,20,20.3,20.7,20.9,21.9,21.7,22.2,22.7,22.8,23.3,23.3,23.8,24.4,25.2,25.5,26.4,26.8,27.2,27.7,28.2,28.8,29.5,30.3,30.9,31.7,32.6,33.4,34.5,35.5,36.1,36.7,37.5,37.9,38.4,39.1,40.3,41.5,42,42.7,44,45.3,45.9,46.7,47.3,47.9,48.4,49.2,50.2,51.2,52.3,53.5,54.7,55.9,56.7,58,59.4,61,62.5,63.9,65.8,67.9,69.9,72,73.1,75.1,78.2,81.1,83.9,86.8,89.5,92.6,95.3,98.3,101.9,105.4
"31","23","Consumption expenditures","A991RC1",10.7,11.1,11.5,12,12.2,12.5,13,13.5,13.8,13.9,14.4,14.6,15,15.2,15.5,15.8,16.1,16.3,16.7,17,17,17.8,17.6,18,18.6,18.5,18.9,19,19.4,19.9,20.6,20.9,21.6,21.9,22.2,22.7,23.1,23.7,24.3,24.9,25.4,26.1,26.8,27.5,28.3,29.2,29.7,30.2,30.6,31,31.4,32,32.9,33.9,34.4,35.1,36.2,37.2,37.5,38.1,38.6,39.1,39.5,40.2,41,41.8,42.7,43.6,44.6,45.6,46.4,47.5,48.7,49.9,51.3,52.5,54,55.5,57.1,58.8,59.9,61.3,63.3,65.1,67.5,69.5,71.7,74.1,76.4,79,81.8,84.5
"32","24","Current transfer payments","LA0000171",1.6,1.9,2.4,2.3,2.8,2.8,2.7,2.4,2.5,2.6,2.7,2.9,3.2,3.7,3,2.9,2.8,2.7,2.6,2.6,2.8,3,2.9,2.9,2.9,3,3.1,2.9,3,3,3.1,3.1,3.2,3.3,3.3,3.2,3.3,3.2,3.3,3.4,3.5,3.5,3.6,3.7,4,4,4,4.1,4.3,4.3,4.3,4.4,4.4,4.5,4.6,4.7,4.9,4.9,5,5.1,5.2,5.3,5.3,5.5,5.6,5.7,5.7,5.8,6,6.1,6.2,6.4,6.5,6.6,6.7,6.8,7,7.5,7.7,8.2,8.4,8.9,9.5,10.1,10.6,11.4,11.7,12.1,12.6,12.8,13.4,14
"33","25","  Government social benefit payments to persons","B109RC1",1.6,1.9,2.4,2.3,2.8,2.8,2.7,2.4,2.5,2.6,2.7,2.9,3.2,3.7,3,2.9,2.8,2.7,2.6,2.6,2.8,3,2.9,2.9,2.9,3,3.1,2.9,3,3,3.1,3.1,3.2,3.3,3.3,3.2,3.3,3.2,3.3,3.4,3.5,3.5,3.6,3.7,4,4,4,4.1,4.3,4.3,4.3,4.4,4.4,4.5,4.6,4.7,4.9,4.9,5,5.1,5.2,5.3,5.3,5.5,5.6,5.7,5.7,5.8,6,6.1,6.2,6.4,6.5,6.6,6.7,6.8,7,7.5,7.7,8.2,8.4,8.9,9.5,10.1,10.6,11.4,11.7,12.1,12.6,12.8,13.4,14
"34","26","  Current transfer payments to the rest of the world","LA0000151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","Interest payments \1\","B111RC1",0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.9,2,2,2.1,2.1,2.2,2.2,2.3,2.3,2.4,2.6,2.6,2.7,2.8,3,3.1,3,2.9,3,3.2,3.4,3.5,3.5,3.5,3.5,3.5,3.6,3.7,3.9,4.1,4.1,4.3,4.1,4.2,4.3,4.5,4.5,4.6,4.7,4.8,5,5,4.8,4.9,5.4,5.9,5.8,5.9,6.1,6.3,6.3,6.4,6.7,6.9
"36","28","  To persons and business \1\","Y705RC1",0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.9,2,2,2.1,2.1,2.2,2.2,2.3,2.3,2.4,2.6,2.6,2.7,2.8,3,3.1,3,2.9,3,3.2,3.4,3.5,3.5,3.5,3.5,3.5,3.6,3.7,3.9,4.1,4.1,4.3,4.1,4.2,4.3,4.5,4.5,4.6,4.7,4.8,5,5,4.8,4.9,5.4,5.9,5.8,5.9,6.1,6.3,6.3,6.4,6.7,6.9
"37","29","  To the rest of the world","Y706RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","30","Subsidies","B114RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","31","    Net state and local government saving","A924RC1",0.1,0.2,0,-0.1,-0.3,0.1,0,0.4,0.6,0.4,0.6,0.3,0,-0.3,0.8,0.8,1.7,1.5,1.3,1.6,1.8,1.3,2.1,2.3,1.7,2.8,2.3,2.4,2.4,2.1,1.8,1.9,1.7,2,2.5,2.6,2.9,3.1,3.1,2.9,3.4,2.8,2.5,1.9,1,0.8,0.9,1.9,1.4,2,2.6,2.8,2.7,2.5,2.5,2.5,2.1,1.9,2.4,2.6,3,3.2,3.8,3.7,3.4,3.6,4,3.8,4.5,4.3,4.4,4.1,3.9,4.1,4.1,4.2,5.2,5.4,5.4,4.8,5.2,4.7,4.2,4.8,4.3,5.1,4,3.6,3.7,3.9,4.6,4.3
