"","Table 1#1#7# Percent Change From Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"16","9","    Nonresidential","A008RV1",4.2,4.8,4.7,3.4,4,9.7,13.2,5.5,6.6,6.7,8,8.8,9.5,5.7,-0.2,0.3,1,1.8,1.1,2.5,2.3,2.1,1.9,-0.4,0.2,0.8,1,-0.6,-0.6,-1.6,-0.9,0.5,-0.3,-0.4,-0.2,1.4,3,2.9,2.1,1.8,-0.3,-0.9,1.5,1.7,0.8,1
"17","10","      Structures","A009RV1",6.6,6.6,7.7,7.2,7.7,13.8,11.9,4.9,8.7,9.7,11.6,9.3,13.7,7.9,-2.5,0.9,2.4,1.9,1.6,4.2,3.9,3.2,1.8,0,2.9,3.5,4.3,2.5,3.8,4.6,3.1,3.9,5.2,4.2,3.6,7.5,12.6,12.2,6.1,4.8,-2.2,-1.2,3,4,1.6,1.5
"18","11","      Equipment","Y033RV1",2.8,3.7,3.2,1.3,1.7,7.5,15.2,6.1,6.1,5.6,6.5,8.8,7.3,4.1,0.3,-0.8,0,2,0.7,1.4,1.9,2,1.7,-0.2,-1.2,-0.2,-1.1,-2.3,-2.8,-4.5,-3.9,-2.2,-2.9,-2,-1.7,-0.2,0.3,-0.3,0.3,0.1,1.3,-2,0.9,1,0.4,0.7
"19","12","      Intellectual property products","Y001RV1",4.4,4.8,3.7,3,4.9,9.3,8,4.4,4.4,5.2,6.6,7.7,7.5,5.7,3.7,2.8,1.7,0.8,1.8,3.1,1.3,1,2.4,-1.2,0.7,0.4,2.8,0.3,0.6,-0.4,1.9,3.3,0.3,-1,-0.2,-0.1,0.9,1.6,1.7,1.7,-0.8,0.5,1.3,1.1,0.7,0.9
"20","13","    Residential","A011RV1",7,3.2,5.8,6.1,8.9,10.3,9.2,6.5,10.2,12.3,11.3,10.8,8.1,5.4,2.4,3,2.7,4.4,4.3,3.5,3.3,2.3,1.3,1.2,4.1,3.6,3.6,2.1,2.4,2.6,3.7,4.4,4.7,2.5,4.7,7,7.2,5.8,1.3,-1.5,-3.5,-0.4,0.8,0.9,5.1,6.1
"21","14","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","Net exports of goods and services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","16","  Exports","A020RV1",3.3,3.9,3.6,4.4,13.1,23.2,10.2,3.3,4.1,6.1,12,10.1,7.4,0.5,0.4,0.9,-3,-1.7,2.2,5.1,1.7,0.6,1.1,-0.5,0.2,1.2,2.2,-1.3,-1.8,-2.4,-0.8,1.8,-0.6,-0.6,2,3.5,4.3,3.4,3.2,4.7,-5.5,4.3,6.4,0.9,0.2,0.1
"24","17","    Goods","A253RV1",3.1,4.5,2.7,2.7,15.7,25.9,11,2.7,3.7,5.8,13,9.6,7.1,-0.8,-0.6,0.9,-5,-3.5,2.3,6.2,1.3,-0.9,0,-1.6,-0.5,1.1,2.4,-2.5,-2.8,-3.2,-1.4,1.7,-0.6,-0.7,2,3.7,3.5,3.5,3.4,4.9,-6.7,5,7.6,0.4,-0.5,-0.7
"25","18","    Services","A646RV1",4.1,2.1,6.5,9.4,5,12.6,6.9,5.8,5.6,7.5,8.2,12.7,8.7,5.7,4,1,3.6,3.4,2.1,2.2,2.8,4.7,4.3,2.3,1.8,1.2,1.9,2,1,-0.2,0.8,2.1,-0.6,-0.4,1.8,3.1,6.1,3.3,2.7,4,-2.7,2.6,3.7,2,1.7,1.9
"26","19","  Imports","A021RV1",2.6,5.9,6.1,7,17.4,43.1,8.3,3,8.8,7.1,17.1,24.6,5.4,-3.4,-3.7,-0.9,-3.3,0,6.1,4.8,2.2,2.9,-0.8,0.1,-0.8,0.9,2.7,-1.7,-3.5,-5.4,0.6,4.4,-2.5,-1.2,3.4,4.7,6,4.1,3.4,10.5,-10.4,5.8,7.7,0.6,-0.8,-0.2
"27","20","    Goods","A255RV1",2.8,6.8,5.1,7.7,17.9,49.6,8.4,2.7,9.2,6.7,17.9,26.2,5.6,-4,-4.2,-0.7,-3.9,-2.2,7.1,4.8,2.8,1.8,-1.9,-0.5,-1.1,0.7,2.7,-2.5,-4.1,-6,0.1,5.3,-2.8,-1.8,3,4.9,6.6,4.3,3.6,11.4,-12.2,6.7,8.8,0.6,-1.1,-0.5
"28","21","    Services","A656RV1",2,3.6,9.1,5,15.7,18.9,8.1,4.5,7.1,9.1,12.9,16.1,4.3,0.1,-1.6,-1.7,-0.1,10.8,1.4,4.9,-0.5,7.5,3.7,2.8,0.8,2,3.1,2.5,0,-2,3.3,-0.5,-0.5,1.7,5.7,3.5,2.8,3,2.8,5.6,-1.8,1.8,2.2,0.7,1.1,1.2
"29","22","Government consumption expenditures and gross investment","A822RV1",5.9,7.9,7.9,7.5,6.6,9.5,9.2,5.4,6.1,6.4,8.1,10.3,9.8,6.5,3.9,4,3.1,1.7,2.7,3.2,3.9,4.2,3.6,3.1,2.4,2.7,2.9,2.1,1.9,1.7,3.4,4.3,2.9,2.5,3.8,4.5,5.1,4.4,4.4,4.3,-0.3,2.7,3,1.6,1.6,1.8
"30","23","  Federal","A823RV1",5.1,7.8,8.1,8.7,6.7,7.9,8.7,6.1,5.9,6.3,7.2,9.8,9.5,6.9,3.3,3.8,2.1,0.6,0.8,3.1,2.7,3.2,3.7,2.5,2.2,2.6,3.2,1.7,1.5,1.2,2.5,3.3,1.8,3.3,4.3,3.5,4.2,3.3,3,3,-0.3,2.6,2.7,1,1,1.6
"31","24","    National defense","A824RV1",5,7.4,8.3,10.3,6.9,8,8.2,6.3,6.3,6.8,7.4,10.4,9.8,7.2,3.4,3.9,1.7,0.2,0.8,2.9,2.6,3.4,3.3,2.8,1.5,2.5,3,1.7,1.4,1.1,2.5,3.3,1.8,3.4,4.9,3.4,4.6,3.5,3.1,3.3,-0.8,2.4,2.8,1.1,0.6,1.4
"32","25","    Nondefense","A825RV1",5.3,9.1,7.7,4.7,6.3,7.5,9.8,5.8,5.1,5.4,6.7,8.5,8.9,6.1,2.9,3.3,3.3,1.6,0.6,3.6,3,2.7,4.8,1.7,3.6,3,3.6,1.7,1.8,1.2,2.4,3.3,1.8,3,3.2,3.6,3.6,2.8,2.9,2.6,0.7,3.1,2.5,0.9,1.6,2
"33","26","  State and local","A829RV1",6.8,8.1,7.7,6.4,6.6,11,9.6,4.8,6.3,6.5,8.8,10.8,9.9,6.1,4.4,4.3,4.1,2.9,4.7,3.3,4.8,5,3.5,3.6,2.6,2.7,2.7,2.3,2.2,2,4,4.8,3.5,2.1,3.5,5.1,5.6,5,5.2,5.1,-0.3,2.7,3.1,1.9,2,1.9
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","  Gross national product","A001RV1",4.9,5.3,5.1,4.3,5.5,8.9,9.3,5.5,6.2,7,8.3,9,9.4,6.1,3.9,3.6,3.2,2,2.5,3.5,3.9,3.7,3.3,2.3,2.4,2.1,2.1,1.8,1.7,1.1,1.4,2.3,2.3,1.5,2,2.7,3.2,3.1,2.7,1.9,0.8,1.3,2.1,1.8,1.6,1.6
"36",NA,"  Implicit price deflators:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","28","    Gross domestic product \1\","A191RI1",4.9,5.3,5.1,4.3,5.4,9,9.3,5.5,6.2,7,8.3,9,9.3,6.2,3.9,3.5,3.2,2,2.6,3.5,3.9,3.7,3.3,2.3,2.4,2.1,2.1,1.8,1.7,1.1,1.5,2.3,2.3,1.5,2,2.7,3.2,3.1,2.7,2,0.8,1.2,2.1,1.8,1.6,1.6
"38","29","    Gross national product \1\","A001RI1",4.9,5.3,5.1,4.3,5.5,9,9.3,5.5,6.2,7,8.3,9,9.3,6.2,4,3.5,3.2,2,2.6,3.5,3.9,3.7,3.3,2.3,2.4,2.1,2.1,1.8,1.7,1.1,1.5,2.3,2.3,1.5,2,2.7,3.2,3.1,2.7,2,0.8,1.3,2.1,1.8,1.6,1.6
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. The percent change for this series is calculated from the implicit price deflator in NIPA table 1.1.9.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
