"","Table 1#17#1# Percent Change From Preceding Period in Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"16","7","    Gross national income","A023RL1",3.3,-0.1,3,5.5,6,-0.4,-0.7,5.2,4.9,5.4,2.7,-0.1,2.8,-0.9,3.2,7.7,3.7,2.8,4.3,5.2,2.5,1.6,-0.1,3.2,2.2,4.3,3.5,4.3,5,5.2,4.5,4.8,1.2,1.3,2.4,3.9,3.5,3.8,0.5,-0.6,-2.8,3,2.4,3.1,1.3,2.6
"17","8","    Net national product \2\","A027RL1",2.8,-0.4,3.3,5.5,6,-1.1,-1,5.9,4.8,5.6,3.2,-1,2.2,-2.9,4.8,7.6,3.6,3,3.2,4.3,3.6,1.7,-0.7,3.7,2.7,4,2.6,3.7,4.3,4.1,4.5,3.8,0.5,1.4,2.9,4,3.2,2.2,1.9,-0.5,-3.7,3.2,1.9,2.1,1.4,2.5
"18",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","    Gross domestic purchases","A712RL1",3.2,-0.1,3.5,5.4,4.8,-1.2,-1.1,6.5,5.3,5.5,2.5,-1.9,2.7,-1.3,5.9,8.7,4.5,3.7,3.2,3.3,3.1,1.5,-0.7,3.6,3.3,4.4,2.6,3.9,4.7,5.5,5.5,4.8,1.2,2.3,3.1,4.3,3.5,2.6,1.1,-1.3,-3.8,2.9,1.6,2.1,1.2,2.5
"20","10","    Final sales to domestic purchasers \3\","A713RL1",3.2,0.6,2.9,5.4,4.4,-1,0.2,5.1,5.1,5.4,2.9,-1,1.6,0,5.6,6.8,5.6,4,2.8,3.4,3,1.7,-0.4,3.3,3.2,3.8,3,3.9,4.2,5.6,5.6,4.9,2,1.8,3.1,3.9,3.6,2.6,1.4,-0.9,-3.1,1.5,1.7,1.9,1.2,2.5
"21","11","    Final sales to private domestic purchasers \4\","PB0000031",4.2,1.4,4.4,7.3,5.8,-1.9,-0.4,6.4,6.2,6,3.2,-1.7,1.8,-0.5,6.1,7.6,5.3,3.7,2.8,4,3,1.3,-0.9,4,4.3,4.7,3.6,4.6,4.8,6.4,6.1,5.5,1.7,1.3,3.3,4.4,4.2,2.8,1.3,-1.7,-4.6,1.9,2.9,2.9,2.2,3.2
"22",NA,"Purchasing power of income: \5\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","12","    Command-basis gross domestic product","C191RL1",3.2,0.1,3.2,5.1,5.4,-1.6,-0.1,5.4,4.2,5.5,2.7,-1.5,2.7,-1.4,5.1,7.5,4.4,3.4,3.2,4.2,3.7,1.7,0.2,3.5,2.9,4.1,2.7,3.9,4.7,4.9,4.7,3.8,1.3,1.9,2.6,3.6,3,2.5,1.7,-1.2,-1.8,2.2,1.3,2.3,1.7,2.5
"24","13","    Command-basis net domestic product \2\","C362RL1",2.9,-0.5,3.1,5.3,5.5,-2.4,-0.6,5.8,4.3,5.6,2.4,-2.5,2.5,-2.4,5.4,8.1,4.2,3.2,2.9,4.2,3.6,1.4,-0.3,3.7,2.8,4.2,2.4,3.8,4.7,4.7,4.4,3.4,0.7,1.7,2.6,3.6,2.9,2.3,1.4,-2,-2.4,2.6,1.3,2.4,1.6,2.6
"25","14","    Command-basis gross national product","CB22RL1",3.1,0.1,3.2,5.1,5.6,-1.4,-0.3,5.5,4.3,5.4,3,-1.5,2.6,-1.4,5,7.4,4.1,3.2,3.2,4.3,3.7,1.9,0.1,3.5,2.8,3.9,2.7,3.9,4.6,4.8,4.7,3.9,1.5,1.9,2.8,3.7,3,2.3,2.1,-1,-1.9,2.6,1.5,2.2,1.7,2.5
"26","15","    Command-basis net national product \2\","C027RL1",2.8,-0.5,3.2,5.3,5.7,-2.3,-0.9,5.9,4.4,5.6,2.7,-2.5,2.3,-2.3,5.3,7.9,3.9,2.9,2.9,4.3,3.6,1.5,-0.4,3.6,2.8,4,2.5,3.8,4.6,4.7,4.5,3.5,0.9,1.6,2.7,3.8,2.9,2,1.8,-1.6,-2.5,2.9,1.5,2.2,1.6,2.6
"27",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","16","    Disposable personal income","A067RL1",3.4,4.6,4.6,4.8,6.1,-1.1,2.5,3.1,3.2,4.6,2,0.7,2.5,2.1,3.5,6.9,3.1,3.9,2.2,4.7,3,2,0.7,4.3,1.6,2.7,3.4,3.2,3.7,5.9,3.3,5,2.8,3.1,2.7,3.6,1.5,4,2.1,1.5,-0.4,1,2.5,3.2,-1.4,2.7
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. The arithmetic average of gross domestic product and of gross domestic income, deflated by the implicit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","price deflator for GDP.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2. In this table, the net measures are the corresponding gross measures excluding the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","3. Gross domestic purchases excluding change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","4. Final sales to domestic purchasers less government consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","5. The command-basis estimates (lines 12-15) measure the purchasing power of the income generated by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","the sale of goods and services produced; they reflect gains or losses in real income resulting from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","changes in the terms of trade for exports and imports. For more detail on the command-basis measures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","see NIPA tables 1.8.3 and 1.8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
