"","Table 6#11B# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"22","14","    Wholesale trade","J4914C0",105,110,128,155,162,182,195,247,277,343,395,492,518,556,605,647,745,856,988,1074,1206,1447
"23","15","    Retail trade","J4915C0",189,200,221,239,261,284,313,349,378,478,543,608,694,793,908,1017,1117,1182,1287,1449,1696,1939
"24","16","    Finance, insurance, and real estate","J4916C0",163,185,192,217,261,304,350,384,428,471,567,649,681,714,795,888,998,1141,1282,1445,1566,1602
"25","17","    Services","J4917C0",113,120,133,166,179,206,216,246,277,331,396,556,647,719,803,924,1021,1182,1389,1618,1686,2035
"26","18","  Government","B4918C0",3295,3594,4288,5731,6523,6615,6643,6774,7143,7850,8282,8373,8934,9678,9982,10687,11483,12550,14208,15444,17496,19454
"27","19","Rest of the world","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,"        By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","20","Employer contributions for employee pension and insurance funds","B040RC0",5916,6430,7839,10226,11562,12323,12568,13574,14946,16661,17453,18612,19746,20959,22372,23923,26401,29497,33119,35915,40179,44929
"30","21","  Pension plans \1\","B4934C0",4472,4841,5989,7981,9053,9465,9524,10108,10850,11950,12360,13079,13660,14375,15068,16038,17601,19644,22227,24133,26131,29009
"31","22","    Private pension plans","B4921C0",1196,1262,1713,2262,2543,2861,2903,3377,3757,4153,4134,4770,4862,4959,5429,5740,6567,7616,8638,9411,9505,10605
"32","23","      Defined benefit","Y696RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24","      Defined contribution","W351RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","    Government employee pension plans","B4935C0",3276,3579,4276,5719,6510,6604,6621,6731,7093,7797,8226,8309,8798,9416,9639,10298,11034,12028,13589,14722,16626,18404
"35","26","      Federal","Y392RC0",2307,2484,3101,4441,5063,5033,4899,4881,5043,5521,5695,5809,5976,6214,6594,6904,7366,7955,9026,9903,10801,11592
"36","27","      State and local","Y239RC0",969,1095,1175,1278,1447,1571,1722,1850,2050,2276,2531,2500,2822,3202,3045,3394,3668,4073,4563,4819,5825,6812
"37","28","  Private insurance funds","B4936C0",1444,1589,1850,2246,2509,2858,3044,3466,4096,4711,5093,5533,6085,6585,7304,7885,8800,9853,10892,11782,14049,15919
"38","29","    Group insurance","B4922C0",679,827,1095,1386,1545,1801,1983,2331,2804,3277,3652,4021,4471,4899,5431,5911,6689,7563,8268,8928,10742,12334
"39","30","      Group health insurance","B4923C0",509,616,810,1057,1184,1380,1518,1770,2136,2511,2785,3050,3391,3766,4212,4577,5208,5912,6434,6892,8358,9929
"40","31","      Group life insurance","B4924C0",170,211,285,329,361,421,465,561,668,766,867,971,1080,1133,1219,1334,1481,1651,1834,2036,2384,2405
"41","32","    Workers' compensation","B4925C0",765,762,755,859,964,1057,1061,1085,1162,1266,1293,1378,1494,1579,1715,1822,1991,2169,2488,2734,3178,3473
"42","33","    Supplemental unemployment","B4926C0",NA,NA,NA,NA,NA,NA,NA,51,130,168,148,134,120,107,158,153,119,121,136,120,129,112
"43","34","  Publicly administered government employee insurance funds","Y390RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","35","  Benefits paid by pension and insurance funds","B4928C0",1240,1376,3117,3820,4334,4949,5433,6133,7192,8209,9173,10249,11355,12738,14224,15601,17491,19502,21984,24304,28231,32514
"46","36","    Pension plans \2\","B4937C0",750,869,1363,1565,1766,2039,2248,2547,2966,3361,3778,4323,4805,5385,6086,6804,7764,8755,10374,11829,13244,15341
"47","37","    Private insurance funds","B4939C0",490,507,1754,2255,2568,2910,3185,3586,4226,4848,5395,5926,6550,7353,8138,8797,9727,10747,11610,12475,14987,17173
"48","38","      Group insurance","B4940C0",NA,NA,1212,1622,1881,2188,2446,2818,3380,3937,4333,4855,5397,6109,6826,7411,8272,9214,9904,10573,12939,14899
"49","39","        Group health insurance","B4930C0",NA,NA,886,1242,1456,1703,1905,2210,2686,3102,3416,3863,4332,4882,5463,5918,6758,7572,8047,8465,10540,12231
"50","40","        Group life insurance","B4931C0",NA,NA,326,380,425,485,541,608,694,835,917,992,1065,1227,1363,1493,1514,1642,1857,2108,2399,2668
"51","41","      Workers' compensation","B4932C0",490,507,542,633,687,722,739,768,841,891,927,996,1062,1114,1210,1289,1393,1471,1624,1783,1943,2174
"52","42","      Supplemental unemployment","B4933C0",NA,NA,NA,NA,NA,NA,NA,NA,5,20,135,75,91,130,102,97,62,62,82,119,105,100
"53","43","  Publicly administered government employee insurance funds","Y391RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Includes defined benefit and defined contributions plans. Additional detail is available in tables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","7.20 - 7.25.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2. Includes cash benefit payments and withdrawals. Additional detail is available in tables 7.20 - 7.25.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
