"","Table 1#3#5# Gross Value Added by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","4","  Farm","B359RC1",22.8,23.7,25.4,29.7,46.8,44.2,45.6,43,43.5,50.7,60.1,51.4,65,60.4,44.9,64.2,63.7,59.9,62,61.4,73.9,77.8,70.4,79.9,71.3,83.6,68.4,92.6,88.1,79,70.9,76,78.1,74,93.1,118.9,104.5,99.4,113.5,126.3,109.8,129.7,166.2,151.5,189.9,177.2
"12","5","Households and institutions","A193RC1",87.6,95.2,105.2,114.8,125.6,138.3,153,166.4,181.5,204.5,228.9,260.7,293.9,325.6,355.8,387.7,415.8,451.6,495.3,546.8,592.4,642.5,683.9,728.7,781.1,832.4,885.7,931.6,984.3,1049.5,1122.1,1202.7,1279.4,1357.2,1427,1510.9,1599.5,1689.4,1749.6,1855.3,1913.6,1928.8,1974.4,2029.4,2086.4,2172.3
"13","6","  Households","B701RC1",57.6,61.8,67.8,73.4,79.5,86.6,95,103.2,112.3,127.1,142,161.3,181.5,199.8,216.8,234.7,252.1,272.9,295.5,322.2,346.5,372.3,391.7,413.8,444.1,478.5,512.7,540.7,571.7,607.8,651.8,700.9,753.1,790.5,828.4,879.5,944,1000.6,1028.7,1086.6,1110.1,1111.4,1130.4,1147.6,1180.5,1234.6
"14","7","  Nonprofit institutions serving households \3\","B702RC1",30,33.4,37.4,41.4,46.1,51.7,58,63.2,69.2,77.3,86.9,99.4,112.5,125.7,139,153,163.7,178.7,199.9,224.6,245.9,270.2,292.2,314.8,337,354,373,390.9,412.7,441.7,470.3,501.9,526.3,566.7,598.6,631.4,655.5,688.8,720.9,768.7,803.5,817.4,843.9,881.8,905.9,937.7
"15","8","General government \4\","A765RC1",149.3,164.4,179.6,194.6,208.4,227,250.3,267,287.2,312.3,339,374.6,413.8,449.9,478.9,514.4,555.5,591.7,629.7,676.7,728.9,784.7,835,880.7,909.8,940.5,969.6,993.9,1027,1067.3,1123.7,1190.5,1260.5,1333.9,1413.7,1495.4,1574.3,1652.5,1746.5,1843.5,1907.6,1975.9,2007.1,2028.6,2052.7,2098
"16","9","  Federal","A766RC1",76.9,82.4,87.4,92.2,95.8,101.8,109.5,116.2,123.6,133.5,142.5,157.3,176,193,204.9,221.1,236.3,247.3,258.5,275.9,290.1,304.3,321.3,327.7,329.8,330.6,331.3,330.5,332.3,335,343.7,358.7,369.2,396.2,432,457.5,487.5,509.6,536.3,570.3,603.6,643.6,664.1,668.9,663.2,669.9
"17","10","  State and local","A767RC1",72.4,82,92.2,102.4,112.6,125.2,140.7,150.8,163.5,178.8,196.4,217.3,237.8,256.9,273.9,293.3,319.1,344.4,371.2,400.8,438.8,480.3,513.7,553,580,609.9,638.2,663.4,694.7,732.3,780,831.8,891.3,937.8,981.7,1037.9,1086.8,1142.8,1210.2,1273.2,1304,1332.3,1343,1359.8,1389.5,1428.1
"18",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross housing value added","A2009C1",73.6,79.4,87.1,94.7,102.3,111.5,122.6,132.4,145.8,162.6,180.3,206.4,233.8,260.3,283.8,306.8,337.2,369,397.7,430,457.8,491.7,520.4,551.9,584.8,625.4,668.5,701,737.9,780.4,832.3,888.5,952.7,995.8,1029.2,1087.2,1163.1,1234,1285.9,1362.4,1409,1424.7,1470.2,1497.8,1534.2,1606.2
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Equals gross domestic product excluding gross value added of households and institutions and of general",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Equals compensation of employees of nonprofit institutions, the rental value of nonresidential fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","assets owned and used by nonprofit institutions serving households, and rental income of persons for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4. Equals compensation of general government employees plus general government consumption of fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
