"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190"
"11","3","  Nonfarm \2\","A358RX1",3104.1,3107.7,3124.5,3101.9,3097.9,3103.6,3135.3,3084.7,3189.3,3210.4,3239,3247.7,3333.5,3425.9,3463.9,3529,3662.3,3704,3692.9,3687.3,3664.1,3664,3612.5,3584.3,3499.3,3524.9,3597.5,3662.7,3778.2,3815.8,3838,3871,3935.9,4028.2,4111.9,4098.7,4120.8,4324,4360.2,4440.9,4432.7,4438.5,4471,4475.9,4486.4,4360.2,4354.8,4457.8,4558.1,4502.8,4539.3,4468.3,4364.7,4390.8,4368,4367.9,4452,4605.5,4729.9,4841.7,4942.8,5039.3,5084,5120.8,5171.2,5222.3,5303.5,5351.8,5407.1,5436,5489.9,5518,5556.8,5628.8,5669.4,5777.3,5802.3,5901.3,5935,6024.3,6074.5,6121.8,6167.6,6171.9,6239.7,6261.3,6247.5,6165.3,6119.5,6181.5,6218.1,6244.1,6328.8,6406.5,6475.5,6558.2,6563.3,6602.5,6653.2,6749.5,6815,6929.6,6971.6,7082.3,7115.1,7140.9,7222.4,7285.9,7336.5,7483.5,7574.9,7670.9,7731.6,7869.7,7981.7,8052.4,8149.7,8242,8368.8,8540.9,8621.6,8697.6,8829.5,9006.9,9010.3,9208.5,9209,9262.7,9220,9277.4,9226.6,9234.8,9359.4,9391.9,9434.5,9428.9,9472.7,9575.6,9797,9942.1,9981.9,10085.4,10184.4,10272.2,10402.4,10457.5,10558.3,10632.1,10795.4,10815.9,10830,10949,10962,11073.1,11165.5,11187.6,11043.4,11098.8,11007.6,10666.1,10466.4,10434.7,10459.2,10590.6,10649.6,10773.2,10883.1,10984.8,10916.5,11036.1,11067.2,11224.4,11332.1,11409,11438.6,11444.5,11491.9,11524.4,11624.2,11771.8,11735.8,11891.3,12051.3,12128,12142.8,12294.2,12329.7
"12","4","  Farm","B359RX1",27,27.2,27.6,27.5,27.5,27.8,28.3,28.6,29.2,29.6,29.8,29.7,27.4,30.1,29.6,31.1,27.7,29.8,26.2,33.2,27.8,29.1,28.5,28.8,32.8,34.3,34.8,34.3,32.9,32.3,32.1,32.6,31.9,33.7,34.2,37.2,32.2,32.9,35.6,31.5,35.2,35.1,36.6,37.1,36.4,35.9,33,34.1,39.7,42.5,52.3,49.6,49.5,49.3,47.2,47.5,39.7,30.6,26.2,29.4,37.1,42.3,45.1,46.3,49.7,50.3,57.4,52.9,51.7,47.8,51.9,50.5,50.7,50.2,52.4,51,50.5,46.1,44.1,41.2,50.6,51.4,52.2,52.8,54.9,54.1,55.6,57.4,55.4,55.3,54.7,57,62.4,66,66.3,63.2,57.6,59.8,48.9,60.8,69.8,70.4,70.9,65,56.4,55.2,52.3,55.7,62.1,65.4,62.7,64.3,67.7,70.6,74.2,72.1,67.9,66.4,68.2,68.2,67.9,72.2,69.9,72.9,82.2,83.7,86.3,83.4,80.7,72.9,70.6,86.6,64.1,80.4,88.1,91.1,92.3,97.4,88.9,80.7,100.4,87.4,93.9,102.6,99.4,102.8,103.1,101.2,98.3,113.4,103.1,94.9,91.4,86.6,81,85.7,96.1,90.9,88.9,102.9,102.9,104.2,118.7,113.3,108.2,115.5,115.1,106.9,111.7,101.7,101.6,107.8,99.7,97.2,89.1,88.7,103.8,112.6,121.4,121.8,110.7,117.9,119.9,121.9,124.8,123.2,132.9
"13","5","Households and institutions","A193RX1",599.5,606.7,611.7,615.2,614.8,615.3,620.8,629.1,638.4,644.3,651.2,657.4,665.5,671.6,677.1,682.3,687.1,693.6,701.4,709.9,718.2,724.3,730.1,736.4,744.2,751.4,757,760,760.1,763.1,765.8,767.1,761.3,766.9,775.5,779.9,792.9,800.5,806.7,817.8,824.9,829.7,835.8,840.4,850.9,858.5,865.8,869.6,873.1,876.9,880.2,889,895,900.8,909.5,913.4,921.3,928.1,935.4,949,952.9,951.9,962.8,976.6,979.5,983.7,987.4,998.3,1009,1016.4,1023.5,1028.7,1039.4,1048.3,1073.7,1085,1098.5,1109.4,1123,1141,1148.1,1159.3,1166.6,1174.8,1185.5,1195.6,1205.1,1212.3,1217.2,1220.8,1228.7,1237.2,1239.4,1251.5,1267.3,1282,1304.6,1317.7,1330.4,1338.7,1347.4,1358.3,1373.1,1382.7,1393.7,1403.7,1409.5,1418.6,1422.5,1430.5,1438.3,1447.7,1458.3,1470.4,1484.5,1500.2,1511.8,1523.8,1534.7,1543.3,1551.4,1564.8,1576.9,1594.1,1609.8,1625,1640.5,1658.8,1660.6,1668.4,1675.8,1677.9,1684.6,1696.6,1701,1708.9,1721.4,1726.6,1730.1,1749.8,1756.5,1768.9,1781.2,1794.6,1811.6,1824.5,1837,1843.8,1853.9,1858.2,1856.5,1851.9,1848.9,1850.4,1857.3,1872,1890.6,1909.7,1918.7,1920.1,1909.8,1907.5,1914.1,1923.1,1930.1,1930.9,1928.6,1932.3,1936.9,1944.1,1948.8,1952.3,1959.2,1960.3,1963.6,1966.4,1971.1,1970.5,1979.2,1987.1,1991.6,2001.9,2008,2012,2018.9,2025.9,2034.8
"14","6","  Households","B701RX1",346.9,351.7,355.1,358.3,358.2,358.9,362.1,367.6,372.6,376.2,381.7,387.7,391.7,394.7,396.9,400.3,403,406.9,412,417.2,423.5,426.9,430.3,434.3,437,440.8,443.5,445.1,445.8,448.2,449.8,449.6,441.5,445.8,453,456.1,467.5,472,476.4,484.5,487.5,488.3,491.3,494.6,501.3,507.2,510,511.8,513,514.6,514.9,517.8,518.4,518.8,522.1,522.3,526.7,529.4,532.6,542.3,543.1,539.8,550,561.4,566.2,568.9,570.1,575.5,579.9,581.2,584.9,585.6,591.5,593.3,608.3,613.3,618.2,621.8,627.4,637.9,639.3,644.4,646.9,648.6,652.1,656.2,659.3,662.6,664.5,665.5,671.4,675.8,675.2,683.4,691.9,698.2,710.5,714.3,721.3,728.4,738.6,747.5,759.1,766.2,772.2,778,780.6,786.2,788.9,792.6,797.4,802.6,807.8,813.5,820.2,827.8,829.6,835.9,842,848.5,857.7,868.6,878,888.3,897.9,907.1,917.4,928.8,935.3,942.6,948.9,947.2,947.1,951,950.7,956.3,967.1,972.9,975.9,991.6,998.3,1009.1,1020.7,1033.7,1050,1062,1072.3,1081.2,1091.4,1095.3,1094.3,1089.4,1082.7,1079.9,1083.5,1092.7,1104.3,1116.5,1120.5,1121.3,1110.8,1106.2,1108.8,1114.5,1118.2,1117.2,1113.1,1113.3,1119.1,1122.6,1121.3,1122,1119.8,1117.4,1118.5,1118.4,1121.4,1121.4,1132.4,1139.8,1145.2,1151.1,1155.5,1156.8,1159.1,1161.3,1164.4
"15","7","  Nonprofit institutions serving households \3\","B702RX1",252.5,254.6,255.9,255.9,255.5,255.1,257.5,260.1,264.5,266.8,267.7,267.3,271.6,274.8,278.3,280,282.1,284.7,287.3,290.4,292.3,294.9,297.3,299.6,304.9,308.3,311.3,312.8,312,312.5,313.7,315.4,318.3,319.3,320.6,321.7,322.7,325.7,327.5,330.3,334.4,338.7,341.9,343.1,346.7,348.2,352.9,354.9,357.4,359.6,362.9,369,374.8,380.6,386.4,390.3,393.9,398.3,402.6,406,409.3,412.1,412.2,414.1,411.9,413.3,416,421.5,428,434.5,438,442.9,447.6,455.1,465.4,472,480.9,488.6,496.8,504.3,510.3,516.6,521.6,528.6,536.1,542.4,549,553.1,556.1,558.9,560.7,564.9,567.8,571.6,579,587.5,598,607.7,613.4,614.4,612.2,614,616.7,619.2,624.2,628.4,631.7,635.1,636.3,640.6,643.6,647.9,653.3,659.9,667.4,675.7,686.2,691.9,696.7,698.6,696.9,699,701.4,708.2,714.2,720.3,725.3,732.1,726.8,727.1,728,732,739.3,747.6,752.6,754.7,756.2,755.4,755.7,759.4,759.2,760.7,761.1,761.5,761.9,762.6,764.7,762.5,762.4,762.7,762.1,762.4,766.1,770.5,773.8,779.2,786.2,793.1,798.2,798.8,798.9,801.2,805.4,808.6,811.9,813.7,815.4,819,817.8,821.4,827.4,830.2,839.2,842.6,844.9,847.7,849.3,848.8,846.6,847.2,846.4,850.8,852.6,855.2,859.8,864.5,870.3
"16","8","General government \4\","A765RX1",1129,1138.4,1147.8,1152.4,1146.1,1146.8,1148.3,1149.2,1150.8,1148.9,1149.9,1151.3,1145.4,1145.4,1150.6,1157.5,1154.3,1153.8,1154.8,1161.3,1172.8,1177.2,1181.3,1187.3,1195,1197.1,1199.7,1201.1,1204.2,1206.1,1210.9,1215.9,1217.2,1219,1225.3,1229.5,1237.2,1241.2,1250.7,1258.7,1260.8,1258.9,1259.4,1269.1,1276.2,1283.9,1284.7,1282.1,1283.9,1286.9,1295.2,1299.8,1303.4,1307.7,1308.3,1310.9,1316,1318.8,1321.9,1321.5,1326.1,1334.7,1345.5,1352.8,1363.3,1374.2,1390.4,1397.8,1405.7,1414.2,1423.1,1436.1,1442.4,1450,1456.7,1472.5,1485.9,1491.1,1499.5,1511.1,1519.4,1528.6,1540.2,1548.7,1563.1,1569.8,1578.3,1581.3,1591,1590.4,1588.2,1588.7,1594.2,1595.9,1599.3,1597.4,1601.3,1601.1,1601.9,1599,1601.4,1603.5,1604.9,1600.8,1606.2,1608.2,1608.3,1598.4,1597.4,1613,1612.5,1612.5,1615.9,1618.8,1623.7,1625.5,1631.4,1637.2,1642.5,1645,1648.4,1649.4,1655,1662.4,1671.3,1684.8,1682.2,1685.2,1696.4,1707.5,1717.3,1723.5,1732.5,1741.3,1748.6,1751.6,1760.6,1765.6,1766.6,1767.9,1771.9,1775,1778.8,1785.7,1790.1,1791.6,1796.2,1798.5,1798.8,1802.9,1813.6,1820.9,1823.8,1829.3,1837.4,1848.2,1858,1865.7,1879.7,1888.4,1896.3,1909.1,1910.4,1914.7,1917.2,1925.8,1918.4,1916.5,1915.7,1913,1909.1,1908.8,1907.7,1905.4,1904.1,1900.3,1896.8,1894.5,1888.1,1880.7,1890.8,1892.5,1892.1,1891.8,1892.5,1893.2,1898.5
"17","9","  Federal","A766RX1",493.2,496.4,499.4,497.6,487.4,482.8,478.7,474.4,471.1,465.6,461.1,456.6,450.4,444.8,444.7,445.6,439.5,434.8,430.9,431.2,435.3,434.9,434.2,434.8,434.4,433.5,433.4,433.7,434.7,435.2,435.7,436.4,436.3,437.1,438.9,439.3,442.1,444.3,445.8,445.3,445.2,445.6,446.6,446.6,449.5,455.2,456.4,455.2,458.9,461.1,463.9,465.6,467.3,470.1,473.2,476.1,480,483.1,486.5,487.7,491.6,495.9,500.1,503.1,507.8,512.9,518,520,523.6,526.1,529.4,532.7,538.1,541.9,548,552.8,554.3,553.7,556.4,560.4,561.5,563.6,566.8,569,573.6,574.9,577,576.9,584.1,580.9,577.1,574.7,573.5,571.2,569,566.3,566.3,563.1,559.6,553.8,552.2,547.5,543.9,537.6,534.5,532.7,529.7,515.2,515.5,519.2,516.6,511.6,510.2,508.4,507,502.3,502.3,501.7,501.7,501.3,501.2,497.8,496.7,496.5,499.1,507.1,499.6,497.7,501.5,503.4,504.2,503,507.3,510.3,513.4,515.5,521.4,525.4,526.6,527.7,530.5,531.2,534.1,537.9,539.6,539.7,540.5,543.4,541.5,542.9,547.7,549,549.4,550,555.2,558,563.4,569.3,577.7,586.3,592.6,603.6,607.5,610.8,617.5,627.4,625.4,626.7,629.5,630.6,630.8,632.5,632.3,630.9,629.7,628.5,626.5,623.8,616.4,607.3,615.8,614.2,612.1,609.8,609.5,609.1,609.3
"18","10","  State and local","A767RX1",603.6,609.8,616.3,623.7,630.2,637.2,644.3,651.1,657.4,662.8,670,677.7,679.6,687.3,693.6,700.1,705,710.9,717.5,724.6,732.1,737.6,743.2,749.1,758.5,762,765.1,766.4,768.4,770,774.8,779.4,781,781.9,786.6,790.7,795.7,797.2,805.8,815.5,817.9,815.3,814.5,825.3,829.5,830.6,829.9,828.5,825.6,826.1,831.6,834.5,836.2,837.4,833.9,833,833.5,832.6,831.7,829.6,829.8,833.7,840.3,844.5,850,855.5,866.9,872.4,876.4,882.6,888.1,898.1,898.4,901.9,902,913.1,925.5,931.6,937.3,945,952.5,959.6,968.2,974.6,984.4,989.9,996.3,999.5,1001.7,1004.5,1006.4,1009.5,1016.4,1020.7,1026.5,1027.4,1031.3,1034.5,1039,1042.1,1046.3,1053.3,1058.5,1061,1069.8,1073.7,1077,1082.2,1080.8,1092.8,1095,1100.4,1105.3,1110.1,1116.6,1123.3,1129.4,1135.8,1141.1,1144,1147.5,1152.1,1159,1166.6,1172.9,1178.3,1183.3,1188.2,1195.6,1204.8,1213.9,1221.2,1225.9,1231.7,1235.9,1236.8,1239.9,1240.7,1240.5,1240.7,1241.7,1244.2,1245.1,1248.1,1250.8,1252.3,1256,1255.4,1257.6,1260.3,1266.2,1272.1,1274.8,1279.7,1282.5,1290.4,1294.8,1296.6,1302.1,1302.1,1303.7,1305.5,1302.9,1303.9,1299.7,1298.4,1292.9,1289.8,1286.1,1282.4,1278.2,1276.2,1275.4,1274.4,1274.3,1271.8,1270.3,1270.7,1271.5,1273.1,1274.7,1278,1279.7,1281.7,1282.6,1283.7,1288.8
"19","11","Residual","A961RX1",-135.7,-140.7,-142.7,-149.4,-149.6,-150,-149,-158.2,-149.8,-149.5,-149.3,-152.4,-151.8,-139.3,-141.6,-134.9,-139.1,-129.6,-154.9,-121.5,-158.1,-156.1,-167.3,-173.7,-174.5,-170.6,-164.2,-160.6,-153.5,-153,-154.3,-151.9,-145.7,-133,-127.6,-125.5,-141.8,-122.1,-116,-127.7,-119.9,-120.7,-114.8,-118.7,-124.9,-144.7,-154.1,-141.1,-117,-119.4,-102,-119.7,-135.9,-136.8,-144,-144,-147.6,-151.2,-149.5,-135.2,-113.1,-97.1,-94.2,-94.2,-87.3,-85.3,-76.7,-81.5,-82.6,-88.4,-83.6,-88.3,-88.1,-86.5,-87.5,-86.8,-92.4,-93.6,-98.7,-102.2,-91,-91.3,-91.8,-95.3,-93.7,-97.1,-100.8,-107.4,-115.7,-112.2,-111.1,-109.6,-101.1,-95.9,-95,-94.3,-102.9,-101.8,-109.1,-95.5,-85.9,-80.9,-81,-78.8,-85.3,-86.8,-84.9,-79.1,-71.4,-64.7,-63.4,-58.6,-55,-48,-43.1,-43.3,-43.9,-42.7,-37.9,-30.8,-28.1,-24.8,-21.4,-16.1,-17.5,-12.5,-13.2,-13.6,-16.6,-17.9,-22.1,-19.5,-20.8,-19.9,-19.4,-19.3,-18.4,-15.3,-12.2,-13.5,-5.5,-11.8,-8.5,-5.6,-5,-4.2,-3.1,-2.4,-0.5,-0.9,-0.8,0.1,-0.4,-1.1,-3,-1.8,1.3,-1.8,-3.4,-0.5,-0.3,0.2,0,0.2,-0.3,0.5,0.5,-1.5,0.6,-5.2,-5.4,-2.8,-7.3,-9.1,-14.3,-15.3,-6,-1.4,1.8,0.5,-3.7,-1.8,-2.1,-2,-1.4,-2.5,-1.2
"20",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","12","  Gross housing value added","A2009X1",442,448.1,453.4,458.1,460,462.8,467.5,473.3,478.6,484.5,491.3,499.1,505.3,510,514.2,519.1,522.4,526.8,531.7,537.2,545.7,553,560,566.3,569.5,572.9,576.6,579.2,580,581.5,581.9,581.2,583.8,588.1,592.4,597.7,610.5,615.3,616.5,622.4,628.3,631.1,635.3,640.7,648.1,656.9,664.2,668.8,671,673.2,673,680,684.1,683.5,690.8,694.7,698.1,702.5,709.5,717,717.2,715.1,726.1,746.7,754.1,757.2,768.9,777.4,782,787.5,789.9,790.7,801.4,801.6,816.2,820.1,827.1,832.1,838.1,848.2,847.9,852.2,854.6,857.1,862.4,867.9,873,877.8,881.8,884.9,892.9,898.9,900.5,909.8,919.2,926.5,936.7,940.6,947.6,955.1,966.6,976.5,990.4,999.5,1008.9,1016.9,1021.1,1027.5,1029.9,1033.6,1038.5,1043.8,1049.8,1056.5,1064.3,1072.7,1075,1081.9,1088.8,1096.2,1106.9,1119,1129,1139.3,1148.1,1157.6,1168.4,1180.6,1189.7,1198.3,1205.4,1204.3,1203.5,1205.6,1202.7,1205,1211.9,1215,1216.8,1232.8,1240.7,1253,1266.4,1280.9,1299.3,1313.2,1325.1,1335,1346.7,1352.7,1354.8,1354.2,1352,1353.1,1359.3,1370.2,1383.1,1397.2,1404.4,1409.3,1403.7,1403.4,1410,1419,1425.5,1428.1,1428.4,1434,1445.4,1454.4,1457.6,1462,1458.8,1453.6,1452,1449.5,1450.6,1449.7,1461,1470,1477.8,1486,1491.9,1494.2,1496.7,1499.3,1502.8
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1. Equals gross domestic product excluding gross value added of households and institutions and of general",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3. Equals compensation of employees of nonprofit institutions, the rental value of nonresidential fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","assets owned and used by nonprofit institutions serving households, and rental income of persons for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
