"","Table 5#6#5BU1# Change in Private Inventories by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"22","13","D         Motor vehicle and parts manufacturing","C336MV0",2276,236,2140,-2504,3280,-732,-1724,3684,2920,-392,-124,4044,-544,1168,360,-1704,-3188,-460,-2864,-3236,-476,2720,1804,-4,-380,244,572,964,3144,-236,288,-2976,4332,-140,-2968,-308,-784,-412,-1136,1412,-540,-4156,-1300
"23","14","D         Other transportation equipment manufacturing","C336OT0",1168,-1100,560,2528,12144,14688,7276,7268,-4188,-5044,3124,-1172,-5920,-13048,-9040,-7772,-3396,-760,2880,3752,-8992,-3804,-6056,6812,-4328,-616,-4160,-1452,-3608,-628,-3548,1568,4244,-3716,4432,6472,-9124,3796,816,-208,5468,7416,3404
"24","15","D       Furniture and related product manufacturing","C3370",68,564,-212,140,272,192,36,112,444,132,-40,804,544,556,328,-492,520,-476,-512,-1136,-232,568,396,520,728,44,-1040,-680,-472,560,184,412,-184,304,612,276,264,-196,76,44,-500,-944,-460
"25","16","D       Miscellaneous durable goods manufacturing","C3390",-152,-232,-260,1604,1136,412,772,-464,948,844,636,576,716,976,1628,92,148,-580,208,380,-560,944,4,-568,1848,-448,396,1520,-232,-1308,-416,384,-296,1632,2736,-116,-1804,-1328,1872,988,876,-1124,208
"26","17","B     Nondurable goods industries","C30N0",4704,6460,6204,10248,3524,-592,-1728,-156,4936,7840,6452,13188,2544,5088,300,-5432,-4228,-7768,-1928,872,2912,116,7204,-6680,2012,156,-3208,-12312,3676,3016,-4152,300,10672,-2180,-6624,2544,8348,9572,-2304,-13056,-7420,3700,2868
"27","18","D       Food manufacturing","C3110",-816,1484,724,1808,812,-404,-560,588,1824,768,1820,1936,3448,-1368,-340,180,-1180,-104,-1376,1320,524,2880,4,-1832,-52,-1432,-1324,-2100,-380,-2588,-276,-1400,-1092,1020,624,-2096,2372,420,1064,2576,-3064,520,1984
"28","19","D       Beverage and tobacco product manufacturing","C3120",-316,928,1304,888,884,-1464,-656,912,-916,36,-1432,1676,512,104,244,-1300,760,52,1184,316,684,136,300,-1036,-1044,216,-424,-328,-92,944,1372,-1964,-256,156,-564,1084,-1224,-764,-324,184,76,456,-1072
"29","20","D       Textile mills","C3130",260,-16,-76,-84,324,-20,168,60,-152,188,100,592,-640,-268,-440,-344,-600,-200,-624,-1012,-992,-500,208,200,368,316,-172,-540,-136,-208,-116,-248,-468,-92,-356,280,-28,-488,104,-808,-828,-280,92
"30","21","D       Textile product mills","C3140",120,548,308,164,-56,-440,-192,-244,288,556,124,400,432,716,324,196,36,-140,180,560,-1600,-568,-768,-1184,284,-68,-84,348,-116,-4,196,-232,576,-176,-148,352,-192,160,28,-504,-332,-112,-188
"31","22","D       Apparel manufacturing","C3150",32,1264,572,-68,-60,-616,208,204,-36,912,1328,332,-648,-724,-220,464,-956,-992,-2296,-2152,-1376,-204,768,624,840,96,-420,-460,-904,-68,340,-44,288,-184,-520,-840,-244,-336,-1324,340,-256,580,112
"32","23","D       Leather and allied product manufacturing","C3160",-264,308,-20,156,140,72,-16,-104,-152,72,64,52,-52,-104,-48,-204,-28,-564,60,-200,-428,-56,32,144,-412,-88,-48,308,-124,-76,-92,220,104,76,60,-4,-444,72,128,12,52,-12,-12
"33","24","D       Paper manufacturing","C3220",1684,-1680,876,1376,12,740,-564,-1696,804,1168,1992,0,1204,328,-932,-2776,-1976,-1424,380,1972,1604,1568,1012,1036,-1244,272,-880,-1192,-1324,16,768,852,1372,660,-1736,-540,524,-724,60,-452,-776,116,1124
"34","25","D       Printing and related support activities","C3230",-288,512,-264,920,-1056,-88,600,-1536,572,900,312,872,452,-688,-212,-988,-296,-1076,-180,376,-392,1600,-344,740,-48,-920,-88,-176,-524,-20,424,-44,84,36,-432,-484,-256,204,-44,-416,56,144,628
"35","26","D       Petroleum and coal product manufacturing","C3240",2604,96,780,384,-2092,-248,-680,964,-648,-1800,1572,860,-636,2000,-1476,-1116,1088,1836,1008,248,-228,-1096,632,-1168,712,888,976,-2188,3516,2028,-2688,252,6288,-3996,3424,424,2176,10864,-3516,-7808,-660,2572,2020
"36","27","D       Chemical manufacturing","C3250",772,2196,2156,4148,4448,992,-372,-648,2592,4532,-592,5368,-664,3836,3964,280,-680,-3068,-256,-640,540,-1216,4528,-2680,2248,-220,712,-5192,3768,2656,-5204,3388,2224,872,-4752,3584,4276,-768,936,-4724,-2244,-1320,-2156
"37","28","D       Plastics and rubber product manufacturing","C3260",916,820,-156,556,168,884,336,1344,760,508,1164,1100,-864,1256,-564,176,-396,-2088,-8,84,4576,-2428,832,-1524,360,1096,-1456,-792,-8,336,1124,-480,1552,-552,-2224,784,1388,932,584,-1456,556,1036,336
"38",NA,"    By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","D     Materials and supplies","C30M0",11452,8212,12948,6872,14896,6836,2616,-5556,8172,2904,5332,17652,-992,13896,7224,2488,-976,-10860,-13776,-7812,1952,-5428,-2148,-6612,-1780,-7688,-10768,-1832,4544,-472,2092,5592,9516,1332,-472,3800,52,1176,5740,-7628,-720,-4236,1020
"40","30","D       Durable goods industries","C30DM0",6968,7832,10964,5568,11060,8692,3088,-2952,6996,636,3404,11192,-1572,14688,8824,8580,-1224,-7876,-12972,-7624,-1260,-6252,-2940,-3648,-2696,-6116,-8400,2068,2388,2636,1876,5616,6840,3272,1640,152,-916,180,6316,2092,-1316,-6176,-4896
"41","31","D       Nondurable goods industries","C30NM0",4484,380,1984,1304,3836,-1856,-472,-2604,1176,2268,1928,6460,580,-792,-1600,-6092,248,-2984,-804,-188,3212,824,792,-2964,916,-1572,-2368,-3900,2156,-3108,216,-24,2676,-1940,-2112,3648,968,996,-576,-9720,596,1940,5916
"42","32","D     Work-in-process","C30W0",-64,-1072,5300,8580,8460,12916,3472,4760,12,-2176,3032,3856,-4768,-3032,-11484,3008,-7728,-9788,-3192,-12284,-8792,-508,2220,5112,3996,-6052,-3400,720,-136,-1228,-11096,2752,9720,-2320,9756,10576,-904,14544,-244,9140,-196,3104,-372
"43","33","D       Durable goods industries","C30DW0",560,-2792,1460,5528,10036,12084,5116,4596,-2172,-5208,5392,1184,-3056,-4632,-11468,2296,-5312,-7912,-5412,-10820,-10536,-1848,-1684,10136,-608,-5244,-3656,4972,-4216,-1192,-6488,1036,6768,272,7872,10660,160,6588,1916,10256,-416,3888,4900
"44","34","D       Nondurable goods industries","C30NW0",-624,1720,3840,3052,-1576,832,-1644,164,2184,3032,-2360,2672,-1712,1600,-16,712,-2416,-1876,2220,-1464,1744,1340,3904,-5024,4604,-808,256,-4252,4080,-36,-4608,1716,2952,-2592,1884,-84,-1064,7956,-2160,-1116,220,-784,-5272
"45","35","D     Finished goods","C30F0",3804,16308,3520,8052,9744,-716,4728,10768,5120,7008,7096,7892,3024,8960,8020,5184,68,-3272,-11528,-3676,-7612,-5280,3056,456,-4532,-1800,-2864,-3224,-5180,7736,7332,-1296,15780,1680,-5592,-1304,6136,120,6080,-3008,-5652,-4400,3916
"46","36","D       Durable goods industries","C30DF0",2960,11948,3140,2160,8480,-1148,4340,8484,3544,4468,212,3836,-652,4680,6104,5236,2128,-364,-8184,-6200,-5568,-3232,548,-852,-1024,-4336,-1768,936,-2620,1576,7092,96,10736,-672,804,-284,-2308,-500,5648,-788,2584,-6944,1692
"47","37","D       Nondurable goods industries","C30NF0",844,4360,380,5892,1264,432,388,2284,1576,2540,6884,4056,3676,4280,1916,-52,-2060,-2908,-3344,2524,-2044,-2048,2508,1308,-3508,2536,-1096,-4160,-2560,6160,240,-1392,5044,2352,-6396,-1020,8444,620,432,-2220,-8236,2544,2224
"48","38","B Wholesale trade industries","CWT0",23076,33560,16112,29980,28768,10076,29472,20372,19376,8692,23340,25248,19420,24856,14548,11600,888,2784,-17920,-27948,-15344,-280,11656,8080,-2236,-6628,2056,9320,8100,13120,29992,24708,28440,15392,6988,21544,19744,26484,41600,7056,5364,-436,16892
"49",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","39","B     Durable goods industries","CWTD0",16476,28928,7528,16372,25520,4868,20748,17588,13048,9900,11492,18764,12764,23100,5824,6144,164,-16756,-20720,-25948,-15904,-2332,12108,4688,3148,-4992,-6244,13324,15032,15232,26376,14728,19336,9500,2360,22660,9320,17120,35060,5924,9692,-14892,-440
"51","40","B     Nondurable goods industries","CWTN0",6600,4632,8584,13608,3248,5208,8724,2784,6328,-1208,11848,6484,6656,1756,8724,5456,724,19540,2800,-2000,560,2052,-452,3392,-5384,-1636,8300,-4004,-6932,-2112,3616,9980,9104,5892,4628,-1116,10424,9364,6540,1132,-4328,14456,17332
"52",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","41","B     Merchant wholesale industries","C42W0",19372,29444,15732,27084,25936,10180,27896,16680,17344,5632,21040,24424,18144,22060,11172,8892,524,3328,-12192,-24876,-12524,1380,9520,7728,1576,-7348,2100,8024,7168,10252,27556,26884,20360,15532,8664,22744,15388,28112,32640,1608,3880,3716,18692
"54","42","B       Durable goods industries","C42WD0",13348,25688,7792,14704,22416,5340,18868,14448,11260,7004,10812,18592,11892,21280,3048,3812,-160,-16316,-16128,-23016,-13888,-1444,10748,4828,5692,-4928,-5824,11376,13328,15176,23168,16696,13344,10412,2520,23048,8144,18804,25460,-184,4764,-10584,2176
"55","43","D         Motor vehicles, parts, and supplies wholesalers","C42110",1808,4468,1388,-1964,4692,-7012,1104,3000,1716,2260,3588,1664,3032,2548,-3872,1188,-1180,-2788,660,-3376,-2044,3524,5164,4488,1772,688,-4364,7492,5040,44,5736,-3792,-324,8912,-1852,5888,4508,972,2592,-3376,-972,-3088,1716
"56","44","D         Furniture and home furnishings wholesalers","C42120",-700,764,404,232,-132,608,200,-100,128,184,44,744,548,1048,-272,368,88,-1168,-240,-672,-576,408,784,440,552,476,-352,736,708,-140,168,-264,224,-552,624,484,-484,968,432,700,688,-188,48
"57","45","D         Lumber and other construction materials wholesalers","C42130",200,944,420,-28,-192,92,-172,76,116,364,444,640,796,540,-304,760,-548,-1188,1400,520,-532,84,1092,1136,752,180,784,3484,1884,1984,1664,2264,2604,-2628,-2176,4908,56,1744,1244,-420,-1736,-1940,-100
"58","46","D         Professional and commercial equipment wholesalers","C42140",2784,10540,5648,4916,8760,264,1580,-572,4048,1916,2060,6488,32,676,3096,-248,-156,-1180,-3320,-2144,456,3636,1780,-8,3148,-580,2116,-416,1060,2636,2632,4200,920,3228,632,2536,3216,3160,6112,2748,4464,1172,2076
"59","47","D           Computers and software wholesalers","C421430",3568,9176,5252,2984,7640,808,264,2076,1600,2616,948,4660,-3200,-888,2848,-440,788,-2008,-1272,-936,1840,2200,616,-1508,3200,872,400,1836,308,2524,836,3004,1056,880,2124,824,1628,712,3976,632,1808,1764,2836
"60","48","D           Other professional and commercial equipment wholesalers","C4214X0",-784,1364,396,1932,1120,-544,1316,-2648,2448,-700,1112,1828,3232,1564,248,192,-944,828,-2048,-1208,-1384,1436,1164,1500,-52,-1452,1716,-2252,752,112,1796,1196,-136,2348,-1492,1712,1588,2448,2136,2116,2656,-592,-760
"61","49","D         Metal and mineral (except petroleum) wholesalers","C42150",2184,1112,-124,204,1452,488,2200,1588,-1356,992,-580,2128,2600,1384,-96,-2504,-1084,-156,-736,-1412,-1232,-368,1776,-1176,-1228,-620,-612,1632,3936,464,2964,4748,2404,-336,-2324,-1628,204,6096,6560,1684,-2216,-2268,-4320
"62","50","D         Electrical goods wholesalers","C42160",3312,588,-104,-520,2892,2684,1436,892,484,1528,4452,6728,1356,3700,4272,4580,492,-3840,-7476,-7568,-4492,-1844,2588,156,-888,-888,-244,488,4332,3560,552,1500,1784,516,1464,2440,1740,1724,4772,1648,-180,188,68
"63","51","D         Hardware and plumbing and heating equipment wholesalers","C42170",-664,912,212,-12,1572,1200,60,376,284,60,-92,608,864,1988,52,748,-900,-808,332,-1020,-640,56,416,60,1712,-1048,-724,-52,-180,948,1696,848,-244,-28,24,2400,1788,944,624,-1476,-228,520,1220
"64","52","D         Machinery, equipment, and supplies wholesalers","C42180",3196,7516,-2048,9092,2988,4808,7136,7392,3836,720,920,-1128,844,4428,644,-2928,2212,-1164,-5748,-7124,-3812,-5984,-964,-496,-212,-2792,-2408,-3276,-236,3972,3412,7440,3524,2064,5136,5196,1756,6812,4124,660,3076,-1824,2332
"65","53","D         Miscellaneous durable goods wholesalers","C42190",1228,-1156,1996,2784,384,2208,5324,1796,2004,-1020,-24,720,1820,4968,-472,1848,916,-4024,-1000,-220,-1016,-956,-1888,228,84,-344,-20,1288,-3216,1708,4344,-248,2452,-764,992,824,-4640,-3616,-1000,-2352,1868,-3156,-864
"66","54","B       Nondurable goods industries","C42WN0",6024,3756,7940,12380,3520,4840,9028,2232,6084,-1372,10228,5832,6252,780,8124,5080,684,19644,3936,-1860,1364,2824,-1228,2900,-4116,-2420,7924,-3352,-6160,-4924,4388,10188,7016,5120,6144,-304,7244,9308,7180,1792,-884,14300,16516
"67","55","D         Paper and paper products wholesalers","C42210",700,268,1512,124,324,-124,-124,460,464,204,264,-812,1300,-292,424,484,-360,-264,-368,-660,-592,576,-640,-184,248,-248,-340,812,460,440,820,188,60,896,176,-60,-620,-676,252,-92,660,1048,40
"68","56","D         Drugs and druggists' sundries wholesalers","C42220",1116,1104,2908,1096,2876,-1140,-8,1856,3344,5628,1864,1596,4396,2860,4548,5176,1916,10276,8796,4944,-896,-1632,-988,6976,4308,-216,508,-4464,2744,-1788,-200,-3164,-3536,-2292,-1256,2028,2400,5104,1076,-576,-3176,3644,-712
"69","57","D         Apparel, piece goods, and notions wholesalers","C42230",2184,1576,-108,2024,-864,496,4,416,-1344,-2768,-792,1736,736,-180,236,-932,2268,2112,-1376,-3420,-312,224,3860,-1540,-224,204,-2236,-512,-488,-1636,2444,724,1640,2132,-156,-1076,-792,-528,1796,544,460,820,1184
"70","58","D         Grocery and related products wholesalers","C42240",-32,748,-284,3332,-432,1992,-412,-1240,2652,-708,3524,2488,-356,-1616,3088,680,-2564,-724,-1600,-20,508,5648,188,448,-60,-3360,2260,-1488,532,-192,-716,-52,1864,804,2928,2052,852,2864,1472,2688,2872,3884,-964
"71","59","D         Farm product raw material wholesalers","C42250",1144,-80,1084,3648,-1580,1520,6780,1112,284,1160,3884,-1656,1128,-532,1508,380,-1008,3292,144,-1056,1400,396,-3708,-2600,-4240,1368,3384,4460,-1548,-6468,-2068,2016,6028,1712,1504,-1544,924,2848,1796,3492,-6700,4904,15672
"72","60","D         Chemical and allied products wholesalers","C42260",452,700,36,-28,-360,488,1180,272,160,-208,52,600,12,-332,-840,-436,-160,600,436,-84,312,52,584,216,-1004,-128,-320,488,-2268,48,444,636,884,700,-256,-1308,592,96,-472,232,1028,-652,396
"73","61","D         Petroleum amd petroleum products wholesalers","C42270",-780,356,-48,664,908,964,1084,-1196,144,-1344,-1060,-2000,-1352,192,-884,128,300,624,452,3024,1008,-1944,-524,-584,-4668,3096,528,-920,-2220,-608,3032,4280,2488,-1444,2508,-2192,3092,-1012,648,-2392,-1164,768,-1468
"74","62","D         Beer, wine, and distilled alcoholic beverages wholesalers","C42280",-1212,868,392,1296,1296,-456,476,-540,2428,-880,-304,124,344,-248,184,668,-820,560,-280,-304,1156,-284,396,752,760,-252,416,-36,-1288,1664,-256,1364,132,76,928,252,540,168,1024,568,1564,928,908
"75","63","D         Miscellaneous nondurable goods wholesalers","C42290",2452,-1784,2448,224,1352,1100,48,1092,-2048,-2456,2796,3756,44,928,-140,-1068,1112,3168,-2268,-4284,-1220,-212,-396,-584,764,-2884,3724,-1692,-2084,3616,888,4196,-2544,2536,-232,1544,256,444,-412,-2672,3572,-1044,1460
"76","64","B     Nonmerchant wholesale industries","C42N0",3704,4116,380,2896,2832,-104,1576,3692,2032,3060,2300,824,1276,2796,3376,2708,364,-544,-5728,-3072,-2820,-1660,2136,352,-3812,720,-44,1296,932,2868,2436,-2176,8080,-140,-1676,-1200,4356,-1628,8960,5448,1484,-4152,-1800
"77","65","D       Durable goods industries","C42ND0",3128,3240,-264,1668,3104,-472,1880,3140,1788,2896,680,172,872,1820,2776,2332,324,-440,-4592,-2932,-2016,-888,1360,-140,-2544,-64,-420,1948,1704,56,3208,-1968,5992,-912,-160,-388,1176,-1684,9600,6108,4928,-4308,-2616
"78","66","D       Nondurable goods industries","C42NN0",576,876,644,1228,-272,368,-304,552,244,164,1620,652,404,976,600,376,40,-104,-1136,-140,-804,-772,776,492,-1268,784,376,-652,-772,2812,-772,-208,2088,772,-1516,-812,3180,56,-640,-660,-3444,156,816
"79","67","B Retail trade industries","C440",-1912,21540,18912,19876,38816,10872,9964,8376,33412,12420,16440,47160,8096,36368,23088,18912,-17128,5936,5344,-37428,20980,28400,18632,28860,23564,9540,19468,11012,24684,28948,17116,18876,10552,-9980,-3008,26176,16708,8696,1048,32,-14584,3516,13792
"80","68","D   Motor vehicle and parts dealers","C4410",-3936,4468,7116,12304,14776,-324,-3716,-1948,20888,424,7644,22796,4196,24320,16004,4696,-21228,9568,7012,-30688,21772,19828,3976,27136,18620,15376,7976,7344,14292,14516,7344,-6568,-952,-20376,-4308,17408,6076,336,-8612,-11056,-15148,-5184,11524
"81","69","D   Furniture, furnishings, electronics, and appliance stores","C44230",1760,1532,772,916,2772,1116,2308,2260,1424,2784,2100,2352,2368,3184,-520,3372,-36,-2432,-1316,1468,3772,1300,2712,-940,-136,1732,1564,2964,2364,2244,3120,5400,-1812,3484,-268,2796,2040,1340,552,-1040,1696,560,2920
"82","70","D   Building material and garden equipment and supplies dealers","C4440",164,1944,2436,908,3016,272,3076,2864,2080,1192,1568,4252,876,3488,2228,-1072,176,360,-292,-344,2884,-744,1656,2164,1056,-816,4508,-92,1720,2708,-484,4944,1976,500,2048,4396,1628,-272,-628,-5488,92,4392,-1276
"83","71","D   Food and beverage stores","C4450",268,40,1828,-756,2220,1916,4,676,1736,868,2780,1900,208,-1704,740,144,1572,720,-484,1176,-1260,352,1392,172,152,-1852,1480,-3940,308,936,548,-164,-44,100,-1748,1668,1524,1140,60,-328,-160,816,2144
"84","72","D   Clothing and clothing accessories stores","C4480",-1856,3468,1656,1420,1800,1944,2096,-1232,2220,1704,-2856,4036,168,2280,3256,4420,-516,-684,140,-3204,-2592,3192,3544,2224,2640,-1912,272,700,864,3740,2248,3280,4596,1832,1160,-484,3048,3420,2032,7772,-2336,-2004,-916
"85","73","D   General merchandise stores","C4520",-2856,3168,-1204,1572,1924,464,2668,-1612,2100,928,2412,5304,700,2004,-1028,2580,6260,328,-1868,-5236,-3468,508,4096,3784,-836,-60,2212,2112,5316,3628,1164,7316,6288,1628,1524,-984,-3712,-328,6016,5344,2428,2684,-1968
"86","74","D     Department stores","C45210",-1380,1944,-1432,1900,228,-696,820,-3168,624,-468,0,2464,-1296,48,-2232,980,1548,-1384,-1416,-7152,-5016,-1804,88,508,-2176,-1120,-1224,-2308,1396,432,-1012,1720,4120,-3196,-176,-1152,-5216,-2032,3076,2420,-948,1776,-332
"87","75","D     Other general merchandise stores","C45290",-1476,1224,228,-328,1696,1160,1848,1556,1476,1396,2412,2840,1996,1956,1204,1600,4712,1712,-452,1916,1548,2312,4008,3276,1340,1060,3436,4420,3920,3196,2176,5596,2168,4824,1700,168,1504,1704,2940,2924,3376,908,-1636
"88","76","D   Other retail stores","C44X0",4544,6920,6308,3512,12308,5484,3528,7368,2964,4520,2792,6520,-420,2796,2408,4772,-3356,-1924,2152,-600,-128,3964,1256,-5680,2068,-2928,1456,1924,-180,1176,3176,4668,500,2852,-1416,1376,6104,3060,1628,4828,-1156,2252,1364
"89","77","B Other industries","COTH0",8512,4508,3016,5280,2904,5136,5464,9280,7552,9092,6996,4824,12764,14180,17548,5092,2232,-544,-248,-728,-2972,1468,-1564,-2344,-1220,3952,1072,1396,5688,4748,6708,5876,-2256,-1968,-4192,-1396,3380,6360,5476,2196,2528,612,288
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
