"","Table 5#6#5BU2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"22","13","D         Motor vehicle and parts manufacturing","X336MV0",1552,4,1936,-2484,2844,-1092,-2524,2644,2108,-736,-128,4104,380,1184,768,-1604,-3072,-940,-3032,-3476,-936,2772,1844,396,-100,344,480,1448,3180,1712,1524,-1628,5800,356,-2708,1440,124,1040,852,1488,-228,-2700,-1320
"23","14","D         Other transportation equipment manufacturing","X336OT0",548,-776,808,2532,12148,14536,6820,7044,-4256,-4848,3332,-468,-4856,-11476,-7780,-6940,-2576,-860,2368,3540,-7960,-2092,-5192,6784,-3636,-216,-3608,-712,-3064,456,-1900,3528,5924,-2812,5088,7012,-7440,5496,3088,1120,6480,8660,4216
"24","15","D       Furniture and related product manufacturing","X3370",-40,636,-152,220,216,232,-64,-92,312,252,152,820,716,620,232,-452,428,-384,-676,-1356,-300,584,400,568,872,40,-656,-256,-84,1408,660,472,300,244,632,808,708,156,408,-112,-376,-560,-428
"25","16","D       Miscellaneous durable goods manufacturing","X3390",-200,-184,-92,1576,800,280,416,-828,416,828,1100,920,1644,812,1988,184,260,-460,-328,-60,-1008,620,-52,-632,2164,16,308,1596,628,4,784,1612,872,2200,2860,1628,-84,540,2780,1288,1064,104,872
"26","17","D     Nondurable goods industries","X30N0",-40,3816,4872,9300,-1248,-4420,-5076,-5132,-448,6736,8852,18044,11024,11824,6024,792,612,-7544,-7720,-10064,-2512,-116,10520,-1644,14696,4716,284,-3748,11876,15140,7808,12820,26024,7920,9392,20768,17520,20268,3940,-10120,-2344,15452,9232
"27","18","D       Food manufacturing","X3110",-440,992,-12,2148,-740,-904,-928,-328,-20,96,2544,2308,4344,80,-492,1000,56,1240,-780,-580,-364,2348,1192,-256,3104,388,908,548,892,1416,-620,-448,1032,1820,1392,-356,2604,1248,1740,3296,-168,4376,3792
"28","19","D       Beverage and tobacco product manufacturing","X3120",-200,1184,1520,1040,1044,-1268,-476,1128,-908,32,-1368,1736,732,372,528,-976,776,32,1104,188,792,236,424,-856,-804,432,-224,-112,340,1356,1840,-1464,-1188,-812,-1504,192,-612,-292,64,532,380,816,-772
"29","20","D       Textile mills","X3130",88,-24,-100,-132,304,0,48,-172,-440,-128,-24,452,-640,-200,-492,-288,-460,-696,-964,-1208,-1100,-632,88,56,268,256,-300,-608,-172,-64,-64,-184,-232,32,-148,420,60,-424,128,-784,-820,-180,124
"30","21","D       Textile product mills","X3140",248,472,236,112,-40,-444,-308,-436,92,372,-8,324,440,776,400,304,16,-400,-140,328,-1644,-604,-768,-1200,228,-152,-192,296,-104,112,276,-176,688,-48,-72,496,-48,212,104,-508,-316,-48,-96
"31","22","D       Apparel manufacturing","X3150",172,1112,456,-68,152,-576,-108,-96,-404,508,912,344,-688,-832,-120,508,-732,-1344,-2612,-2540,-1652,-464,604,476,688,32,-480,-488,-892,-60,344,44,444,-48,-384,-840,-244,-292,-1224,308,-188,680,176
"32","23","D       Leather and allied product manufacturing","X3160",-136,264,-92,128,-28,52,-40,-196,-180,68,44,104,8,-96,0,-76,144,-368,-48,-352,-540,-100,44,156,-296,-124,-28,320,-104,-80,-72,268,88,72,92,4,-296,112,128,56,72,12,-28
"33","24","D       Paper manufacturing","X3220",36,-1624,916,1264,368,468,-528,-1716,132,20,1132,92,1428,968,-108,-1596,-752,-488,-88,304,-408,-60,308,1180,-1056,732,-316,-880,-732,1096,1328,1480,1876,1072,-476,-64,1484,-112,508,-48,-324,-472,220
"34","25","D       Printing and related support activities","X3230",-1128,988,-24,1056,-804,-144,752,-1436,-36,68,-228,924,672,-380,316,-400,296,-600,-596,-696,-1292,820,-444,792,0,-624,60,-64,-256,380,592,408,360,288,308,28,340,420,88,-360,-116,-384,108
"35","26","D       Petroleum and coal product manufacturing","X3240",344,-1904,-28,-480,-4904,-2000,-2008,-656,140,1116,3944,3892,2624,2844,164,228,-80,784,-68,-2076,2012,1440,2340,804,3540,888,2008,1344,5888,4600,1520,2576,13252,2320,11684,5768,5268,15968,-3276,-5672,-432,4888,3692
"36","27","D       Chemical manufacturing","X3250",360,1384,2248,3948,3444,56,-940,-1548,1240,3964,80,6168,2076,5588,5768,1840,1472,-3452,-2048,-2260,-1680,-908,5396,-1328,7200,704,616,-3488,6552,4976,-48,8224,5740,2880,-16,11468,7072,2484,4068,-5084,-196,4152,1096
"37","28","D       Plastics and rubber product manufacturing","X3260",616,972,-248,284,-44,340,-540,324,-64,620,1824,1700,28,2704,60,248,-124,-2252,-1480,-1172,3364,-2192,1336,-1468,1824,2184,-1768,-616,464,1408,2712,2092,3964,344,-1484,3652,1892,944,1612,-1856,-236,1612,920
"38",NA,"    By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","D     Materials and supplies","X30M0",7592,5712,10412,4416,10032,2108,-2692,-11724,1728,64,5692,20108,2956,17020,9164,4128,-1108,-11772,-18488,-14924,-2908,-5760,-316,-4212,3864,-4908,-7928,3836,14524,12856,14420,17344,20300,5272,6120,17272,7544,14836,15284,-6920,2160,6020,3856
"40","30","D       Durable goods industries","X30DM0",5632,5920,8908,3428,7876,5560,-716,-7228,2976,-1176,3108,11964,16,15096,9144,8052,-3244,-9420,-15772,-10496,-3144,-6088,-2436,-3072,-1456,-5488,-7436,4276,8976,10940,10028,12776,11776,3568,2256,7124,4564,10076,14564,2928,124,440,-4332
"41","31","D       Nondurable goods industries","X30NM0",1960,-208,1504,988,2156,-3452,-1976,-4496,-1248,1240,2584,8144,2940,1924,20,-3924,2136,-2352,-2716,-4428,236,328,2120,-1140,5320,580,-492,-440,5548,1916,4392,4568,8524,1704,3864,10148,2980,4760,720,-9848,2036,5580,8188
"42","32","D     Work-in-process","X30W0",-3128,-3916,2824,6584,4476,10184,-108,160,-3584,-3744,3388,5788,84,-1908,-8800,3904,-7452,-10488,-6136,-16288,-10372,480,2808,5732,6640,-5660,-3080,3180,4128,5472,-3444,9632,16248,372,13736,17052,4868,23508,7428,13068,2972,9292,1780
"43","33","D       Durable goods industries","X30DW0",-2312,-5076,-724,3856,7044,10060,2192,928,-5156,-6868,5276,2208,248,-4300,-9772,2128,-5496,-8440,-7360,-13072,-11792,-1012,-1716,9752,168,-5076,-3556,6044,-1204,3744,-888,6116,10540,900,8752,14096,3368,13036,8024,12576,1796,8036,5868
"44","34","D       Nondurable goods industries","X30NW0",-816,1160,3548,2728,-2568,124,-2300,-768,1572,3124,-1888,3580,-164,2392,972,1776,-1956,-2048,1224,-3216,1420,1492,4524,-4020,6472,-584,476,-2864,5332,1728,-2556,3516,5708,-528,4984,2956,1500,10472,-596,492,1176,1256,-4088
"45","35","D     Finished goods","X30F0",1048,13284,1576,7056,5464,-3288,1432,5616,688,5656,8992,11092,11324,11168,12536,7668,3008,-3876,-15996,-10700,-12360,-5332,3772,2376,3136,816,-1864,1584,1000,18296,18500,10044,26004,7028,2152,11324,14472,10472,14552,228,-336,5960,7812
"46","36","D       Durable goods industries","X30DF0",2232,10420,1756,1472,6300,-2196,2232,5484,1460,3284,836,4772,3076,3660,7504,4728,2576,-732,-9768,-8280,-8192,-3396,-104,-1140,232,-3904,-2164,2028,4,6800,12528,5308,14212,284,1608,3660,1432,5436,10736,992,5220,-2656,2680
"47","37","D       Nondurable goods industries","X30NF0",-1184,2864,-180,5584,-836,-1092,-800,132,-772,2372,8156,6320,8248,7508,5032,2940,432,-3144,-6228,-2420,-4168,-1936,3876,3516,2904,4720,300,-444,996,11496,5972,4736,11792,6744,544,7664,13040,5036,3816,-764,-5556,8616,5132
"48","38","D Wholesale trade industries","XWT0",17696,26860,8388,23572,19696,2804,18328,13624,14464,6604,24916,30208,30536,28236,12280,14520,-1176,-1356,-23524,-38112,-17436,308,20604,10156,5380,-5488,4664,22328,22492,29280,37464,35432,40832,20088,14280,32620,31184,46648,50860,20984,24716,16924,23224
"49",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","39","D     Durable goods industries","XWTD0",12104,24288,1808,10760,19396,-944,13552,11468,7812,6708,11104,20372,16240,22252,3948,2964,-5796,-19372,-23980,-30064,-19060,-2660,11600,4108,2952,-4392,-5712,16420,21232,25456,34212,21280,24408,10168,1144,27636,16756,26524,43136,9412,15144,-7156,2544
"51","40","D     Nondurable goods industries","XWTN0",5592,2572,6580,12812,300,3748,4776,2156,6652,-104,13812,9836,14296,5984,8332,11556,4620,18016,456,-8048,1624,2968,9004,6048,2428,-1096,10376,5908,1260,3824,3252,14152,16424,9920,13136,4984,14428,20124,7724,11572,9572,24080,20680
"52",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","41","D     Merchant wholesale industries","X42W0",15836,24440,9324,21548,18420,3672,17948,11736,13592,3836,21952,28356,26428,25368,7616,11404,-1812,-272,-16688,-33184,-13668,1472,18200,8804,7208,-6756,4632,19416,20192,22240,31120,33820,28760,18060,13228,29512,24264,44272,38624,14456,21324,17248,23988
"54","42","D       Durable goods industries","X42WD0",10208,22224,3264,9864,17116,-180,12508,9576,6912,4464,10296,19964,13876,21004,664,956,-6144,-18684,-18964,-26372,-15956,-1640,10660,4184,5264,-4460,-4964,14124,19428,22792,29068,21172,16784,10712,1252,26376,14528,26128,31200,2876,9088,-4768,5088
"55","43","D         Motor vehicles, parts, and supplies wholesalers","X42110",1404,3828,540,-2680,4468,-6980,1276,3528,1688,2392,3776,2176,3152,2912,-3508,1572,-1504,-3060,752,-4264,-2588,2920,4320,3912,1700,512,-4688,7356,4192,-260,5376,-4040,-1100,7984,-2384,4548,4384,1220,2032,-3036,-628,-2996,2348
"56","44","D         Furniture and home furnishings wholesalers","X42120",-748,688,388,204,-56,676,220,-48,108,200,88,780,576,1120,-204,420,136,-1156,-256,-664,-524,416,904,528,556,576,-224,764,576,-80,420,-60,404,-348,716,624,-224,992,596,876,880,-64,120
"57","45","D         Lumber and other construction materials wholesalers","X42130",520,1316,280,-412,-324,-128,-372,-156,632,928,920,240,956,300,-804,504,-596,-580,1360,-64,-340,240,1000,832,848,352,1308,3780,2724,3944,2512,1456,3116,-2332,-2312,5256,1228,1920,528,-1164,-1436,-1964,96
"58","46","D         Professional and commercial equipment wholesalers","X42140",196,7816,2512,1900,4660,-3856,-2296,-3628,816,-584,8,5044,-1452,-596,2016,-1752,-3692,-2372,-4960,-3464,-584,2848,572,-948,1832,-1276,1376,-888,704,1964,1480,2872,-600,1804,-476,1292,2052,2124,5096,1944,3356,644,1212
"59","47","D           Computers and software wholesalers","X421430",828,6280,2108,-104,3500,-3264,-3608,-1072,-1556,60,-1204,3152,-4668,-2188,1568,-2156,-2652,-3300,-3160,-2468,580,1320,-784,-2720,1668,84,-428,1020,-380,1704,-276,1752,-520,-620,1028,-312,368,-516,2744,-152,860,704,1636
"60","48","D           Other professional and commercial equipment wholesalers","X4214X0",-632,1536,404,2004,1160,-592,1312,-2556,2372,-644,1212,1892,3216,1592,448,404,-1040,928,-1800,-996,-1164,1528,1356,1772,164,-1360,1804,-1908,1084,260,1756,1120,-80,2424,-1504,1604,1684,2640,2352,2096,2496,-60,-424
"61","49","D         Metal and mineral (except petroleum) wholesalers","X42150",2300,1220,-272,64,1096,36,1412,368,-2588,488,-588,2668,3748,1816,-340,-3088,-1752,-888,-1332,-1772,-1512,136,2696,-480,-856,-528,-344,2520,7040,5232,6468,8244,3764,-1012,-3404,400,2280,8532,9684,2324,-1704,248,-4044
"62","50","D         Electrical goods wholesalers","X42160",2568,232,-292,-1048,2396,2352,1024,852,412,1160,3956,6388,1068,3600,4244,4264,-48,-4400,-7956,-7832,-4628,-2388,2152,-340,-1324,-1140,-520,128,3516,3076,108,1356,2236,348,984,1976,1768,2624,5380,2196,-88,-208,108
"63","51","D         Hardware and plumbing and heating equipment wholesalers","X42170",-624,952,268,72,1588,1168,48,396,324,72,48,716,936,2076,140,772,-768,-680,476,-856,-588,52,432,140,1756,-944,-644,20,152,1344,2208,1328,336,540,364,2800,1964,1156,1164,-920,288,1028,1488
"64","52","D         Machinery, equipment, and supplies wholesalers","X42180",3232,7356,-2148,8968,3500,5216,7432,7896,4320,964,1000,-904,1304,4812,964,-2576,2624,-656,-5332,-6720,-3684,-5940,-700,-20,148,-2388,-1944,-2768,572,5264,4980,9140,5840,4636,6992,6488,3352,8264,5916,2668,4864,-40,3920
"65","53","D         Miscellaneous durable goods wholesalers","X42190",1360,-1184,1988,2796,-212,1336,3764,368,1200,-1156,1088,2856,3588,4964,-1844,840,-544,-4892,-1716,-736,-1508,76,-716,560,604,376,716,3212,-48,2308,5516,876,2788,-908,772,2992,-2276,-704,804,-2012,3556,-1416,-160
"66","54","D       Nondurable goods industries","X42WN0",5628,2216,6060,11684,1304,3852,5440,2160,6680,-628,11656,8392,12552,4364,6952,10448,4332,18412,2276,-6812,2288,3112,7540,4620,1944,-2296,9596,5292,764,-552,2052,12648,11976,7348,11976,3136,9736,18144,7424,11580,12236,22016,18900
"67","55","D         Paper and paper products wholesalers","X42210",468,-60,1648,504,664,-148,-352,44,216,444,644,-440,1752,680,664,540,-336,-524,-776,-840,-856,276,-556,-48,296,-176,-412,784,348,768,1360,372,404,984,-12,304,-160,-244,632,48,648,924,196
"68","56","D         Drugs and druggists' sundries wholesalers","X42220",1148,960,3016,1364,3968,836,724,2464,3320,5608,2176,1804,4560,2924,4800,5356,1896,10128,8644,4936,-724,-1480,-688,7256,4596,172,916,-4024,3176,-1564,-172,-2896,-2912,-1860,-784,2196,2712,5268,1288,-316,-2708,3740,-268
"69","57","D         Apparel, piece goods, and notions wholesalers","X42230",2244,1712,8,2156,-736,488,-88,392,-1516,-2876,-892,1692,776,-212,148,-928,2308,2292,-1440,-3576,-596,-136,3732,-1524,-60,200,-2304,-480,-580,-1828,2264,688,1436,1856,-256,-1116,-752,-472,1872,560,584,992,1232
"70","58","D         Grocery and related products wholesalers","X42240",-224,420,-388,3328,-164,2108,-132,-1048,2872,-328,3756,2296,-188,-1048,2708,1056,-1272,-304,-1540,-128,1504,4196,-32,548,1112,-2544,3312,-392,176,1824,-784,1116,2144,732,2456,3332,-456,3476,3580,2296,5996,4092,-920
"71","59","D         Farm product raw material wholesalers","X42250",1356,140,-1236,2604,-3120,-644,3120,664,-768,-464,2152,-2168,3448,272,-1652,3092,36,2020,652,-2540,1368,88,2604,-2548,-3976,1948,3116,9244,1608,-6576,-7716,-492,6696,1836,468,-2320,2340,4524,2352,13768,-1184,5040,16928
"72","60","D         Chemical and allied products wholesalers","X42260",444,548,84,-40,-496,368,1008,136,-16,-272,240,968,388,0,-524,-380,168,492,-40,-384,112,472,888,536,-4,-80,-404,572,-1420,612,1592,1748,1172,708,232,392,940,720,212,-392,1200,288,804
"73","61","D         Petroleum amd petroleum products wholesalers","X42270",-1292,-1124,72,220,-1080,212,220,-1716,652,676,688,-600,1016,392,-36,948,-780,280,-604,296,1864,-644,600,156,-1196,308,1308,420,-356,636,4760,6472,4272,-412,8400,-1944,3796,4020,-3204,-2824,644,5408,-2716
"74","62","D         Beer, wine, and distilled alcoholic beverages wholesalers","X42280",-1080,964,428,1228,1408,-392,572,-344,2452,-920,-196,140,440,40,420,772,-660,580,-256,-256,1144,-152,528,896,576,-92,436,48,-920,1416,-188,1412,544,196,1120,328,536,288,876,584,1568,1128,1228
"75","63","D         Miscellaneous nondurable goods wholesalers","X42290",2564,-1344,2428,320,860,1024,368,1568,-532,-2496,3088,4700,360,1316,424,-8,2972,3448,-2364,-4320,-1528,492,464,-652,600,-2032,3628,-880,-1268,4160,936,4228,-1780,3308,352,1964,780,564,-184,-2144,5488,404,2416
"76","64","D     Nonmerchant wholesale industries","X42N0",1860,2420,-936,2024,1276,-868,380,1888,872,2768,2964,1852,4108,2868,4664,3116,636,-1084,-6836,-4928,-3768,-1164,2404,1352,-1828,1268,32,2912,2300,7040,6344,1612,12072,2028,1052,3108,6920,2376,12236,6528,3392,-324,-764
"77","65","D       Durable goods industries","X42ND0",1896,2064,-1456,896,2280,-764,1044,1892,900,2244,808,408,2364,1248,3284,2008,348,-688,-5016,-3692,-3104,-1020,940,-76,-2312,68,-748,2296,1804,2664,5144,108,7624,-544,-108,1260,2228,396,11936,6536,6056,-2388,-2544
"78","66","D       Nondurable goods industries","X42NN0",-36,356,520,1128,-1004,-104,-664,-4,-28,524,2156,1444,1744,1620,1380,1108,288,-396,-1820,-1236,-664,-144,1464,1428,484,1200,780,616,496,4376,1200,1504,4448,2572,1160,1848,4692,1980,300,-8,-2664,2064,1780
"79","67","D Retail trade industries","X440",-6316,17380,14092,16444,33012,8700,6664,7344,31160,12396,21756,51856,9588,38756,23584,21132,-16328,8436,3480,-42580,18916,26088,18868,29500,26820,8788,19068,10288,25436,37992,23596,29368,19332,-3848,6112,29004,18956,17804,4208,2412,-8336,12504,19584
"80","68","D   Motor vehicle and parts dealers","X4410",-4260,3788,5056,11616,13352,-940,-3688,-1228,19600,516,10004,25920,3836,25836,17096,6852,-20048,10472,5784,-32688,20592,17724,2892,26544,18492,15308,5244,3416,11340,16332,9776,-1984,1360,-19504,-2052,16440,4864,2572,-8352,-11604,-16368,-5664,13980
"81","69","D   Furniture, furnishings, electronics, and appliance stores","X44230",-104,176,-744,-196,1232,-324,304,988,136,1692,1596,1880,1840,2512,-1184,2560,-1260,-3024,-2068,960,3256,860,2320,-1148,-812,1524,1520,2616,1944,1728,3056,5492,-1524,3416,-704,2240,2100,1308,48,-1144,1528,532,2992
"82","70","D   Building material and garden equipment and supplies dealers","X4440",372,2264,2536,648,2932,416,3184,2736,1924,1456,2248,4120,1460,4056,2252,-1216,100,604,-148,-548,3140,-52,2380,2616,1040,-532,4908,716,2664,6012,2076,6660,3888,1964,2164,6616,4156,1328,952,-4900,312,5760,-296
"83","71","D   Food and beverage stores","X4450",-20,24,1600,-728,1956,2028,120,856,2156,880,3224,2176,-148,-1292,524,324,2616,1572,-28,1376,-1480,-620,1076,-252,436,-1200,1940,-2712,616,2260,276,680,484,764,-1696,2540,1272,1292,824,-340,1216,1232,2288
"84","72","D   Clothing and clothing accessories stores","X4480",-1820,3596,1696,1440,1888,1944,1992,-1176,2184,1560,-2936,3972,360,2440,3304,4428,-724,-600,64,-3440,-2936,2832,3376,2376,3132,-1428,496,912,1072,3880,2444,3604,4928,2088,1460,-8,3228,4092,3456,9504,100,96,440
"85","73","D   General merchandise stores","X4520",-2964,3140,-1252,1532,1860,564,2700,-1620,2124,784,2456,5452,380,1788,-1304,2280,6536,704,-1664,-5216,-3468,616,4292,4000,-764,-4,2248,2232,5304,3980,1056,7168,6628,1892,1544,-900,-3492,-148,6316,5588,2972,3296,-1580
"86","74","D     Department stores","X45210",-1468,1856,-1524,1820,168,-708,728,-3268,404,-680,-172,2324,-1628,-312,-2596,620,1700,-1164,-1276,-7032,-5012,-1768,148,600,-2104,-1068,-1196,-2280,1340,396,-1080,1668,4272,-3072,-136,-1088,-5096,-1904,3224,2540,-800,1980,-192
"87","75","D     Other general merchandise stores","X45290",-1496,1284,272,-288,1692,1272,1972,1648,1720,1464,2628,3128,2008,2100,1292,1660,4836,1868,-388,1816,1544,2384,4144,3400,1340,1064,3444,4512,3964,3584,2136,5500,2356,4964,1680,188,1604,1756,3092,3048,3772,1316,-1388
"88","76","D   Other retail stores","X44X0",2480,4392,5200,2132,9792,5012,2052,6788,3036,5508,5164,8336,1860,3416,2896,5904,-3548,-1292,1540,-3024,-188,4728,2532,-4636,5296,-4880,2712,3108,2496,3800,4912,7748,3568,5532,5396,2076,6828,7360,964,5308,1904,7252,1760
"89","77","D Other industries","XOTH0",7544,3364,3068,5468,1916,4716,4840,7924,6504,9512,8136,6228,14948,14700,17876,6076,3024,192,-1868,-4332,-4316,1208,-1676,-1656,584,3084,1740,1376,6168,5856,7200,8336,388,-180,24,-324,4504,10256,6040,4396,5928,4432,1288
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
