"","Table 5#4#6AU# Real Private Fixed Investment in Structures by Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35"
"11","3","  Commercial and health care","W001RX0",124812,121376,120312,111801,101231,97277,89558,83440,84537,85200,86752,89016,89272,89777,88525,91968,87744,96881,96002,95755,98954,100341,100107,99287,99643,105973,109356,114524,119444,114612,120920,119433
"12","4","    Commercial, including office","C308RX0",108152,104045,101890,93663,83692,80537,74216,67633,67727,68051,69576,71869,72280,72324,69860,73224,70593,78674,79062,80112,83540,85622,85480,84224,85452,90914,93795,98085,101744,97546,103799,103075
"13","5","      Office, including medical buildings\1\","B346RX0",50870,48809,48574,45730,41409,39844,37423,34362,33077,31802,30064,32796,33285,33044,30868,30352,31198,33338,32282,33451,35331,37742,37210,34375,33335,38065,40422,42197,43997,42030,47654,49895
"14","6","      Commercial\2\","B347RX0",57258,55209,53304,47941,42301,40710,36821,33302,34655,36229,39446,39037,38965,39244,38939,42781,39341,45251,46671,46562,48116,47814,48194,49732,51968,52740,53284,55791,57652,55421,56101,53187
"15","7","    Hospitals and special care","C311RX0",16650,17314,18392,18102,17496,16700,15305,15758,16756,17092,17121,17094,16940,17398,18599,18679,17096,18152,16896,15611,15388,14699,14607,15038,14171,15040,15542,16423,17686,17049,17103,16319
"16","8","  Manufacturing","C307RX0",45863,46467,46066,43193,44508,42915,39346,40465,40426,38438,37322,37380,30637,28856,30462,30644,31392,35612,36646,39087,40007,43280,42976,42044,44295,43363,42482,46824,42376,40888,43585,42172
"17","9","  Power and communication","W003RX0",32434,32709,33488,34815,37564,39364,40335,41267,41286,41898,42116,42765,41601,39373,38236,37867,36166,35162,35440,35616,37153,37312,36431,34420,32778,31237,30085,30932,29083,29538,30587,31315
"18","10","    Power","W028RX0",20972,20877,21612,23127,26757,28740,30338,31495,31362,31767,31949,31927,30379,28928,27638,26395,24799,24184,23977,23937,25387,25189,24485,23330,20924,19575,18479,17657,17051,17090,17679,18696
"19","11","      Electric","C571RX0",13902,13653,14153,15367,18552,20114,21271,21933,21395,21340,21129,20769,20304,19733,19195,18547,17759,17221,16891,16628,16859,16355,15627,14723,13186,12429,11931,11663,12026,12054,12163,12315
"20","12","      Other power","W029RX0",7134,7313,7548,7828,8193,8590,9020,9525,9970,10489,10937,11294,10108,9193,8433,7841,7035,6958,7085,7311,8530,8840,8870,8622,7752,7157,6555,5995,5013,5024,5509,6383
"21","13","    Communication","C314RX0",11408,11754,11819,11690,10975,10860,10318,10141,10286,10490,10519,11142,11466,10687,10822,11679,11552,11155,11636,11849,11951,12300,12115,11262,11954,11739,11658,13229,12024,12424,12884,12632
"22","14","  Mining exploration, shafts, and wells","E318RX0",26083,26845,26481,26966,28662,28214,23138,23970,21127,20284,21388,23276,24117,23649,24452,26960,23736,23270,23786,24972,21955,19971,19587,19630,20403,21865,21854,22069,24781,25587,25063,25660
"23","15","    Petroleum and natural gas","C319RX0",24691,25406,24981,25404,27009,26521,21411,22249,19431,18607,19742,21658,22553,22040,22750,25133,21459,20897,21473,22848,20284,18443,18139,18175,18731,20139,20096,20305,23081,23949,23515,24217
"24","16","    Mining","C320RX0",1457,1504,1555,1614,1706,1742,1752,1752,1697,1670,1654,1651,1615,1649,1738,1874,2214,2287,2242,2097,1678,1531,1457,1461,1662,1723,1752,1759,1713,1656,1567,1461
"25","17","  Other structures","W004RX0",50861,51282,51220,48199,47070,44060,42734,41146,39789,41224,41621,39786,40653,44379,45630,44515,43073,43833,42667,41651,44392,46088,49728,51508,54357,54915,56798,59344,60651,63173,64120,67752
"26","18","    Religious","C309RX0",5485,5413,6007,5246,5159,5090,5035,4910,4717,4478,4459,4377,4753,4914,4974,4818,4575,4791,4769,4526,4608,5245,5307,4903,4789,5171,5103,5500,5910,6362,6268,6844
"27","19","    Educational","C310RX0",6364,6274,6591,6802,6885,6767,6101,6625,7282,7281,6797,5923,5767,6704,7745,7131,7502,6846,6335,6561,7126,7542,7947,7135,8039,8107,9363,10092,9922,10881,11591,11944
"28","20","    Other buildings\3\","C312RX0",21673,23328,22205,20227,19628,17049,15783,13595,11611,11693,11427,11600,11700,14325,15702,14914,14604,15931,14052,14658,16608,16012,17528,21690,23655,23746,25113,27258,28348,29434,29050,28269
"29","21","    Railroads","C573RX0",3542,3469,3389,3312,3083,3047,3096,3245,3574,3737,3845,3885,3786,3691,3681,3723,3836,3878,3904,3896,3791,3876,4024,4206,4497,4726,4887,4986,5021,5123,5290,5519
"30","22","    Farm","C316RX0",3858,3844,3751,3743,3797,3686,3667,3573,3040,3127,3312,3270,3986,4462,4379,4620,4123,3972,4277,3614,3523,3558,3762,3517,4191,4313,4328,4212,4149,4193,4461,4419
"31","23","    Other\4\","C317RX0",9808,8921,9248,8954,8620,8555,9259,9458,9743,10995,11780,10667,10619,10264,9105,9167,8316,8138,9020,8042,8342,9392,10655,9561,8622,8086,7117,6242,6168,6139,6333,6155
"32","24","    Brokers' commissions on sale of structures","C321RX0",1797,1811,1836,1732,1633,1582,1500,1477,1487,1485,1488,1512,1452,1455,1489,1534,1483,1626,1618,1655,1722,1767,1778,1785,1835,1890,1942,2077,2094,2033,2138,2125
"33","25","    Net purchases of used structures","E322RX0",-1776,-1854,-1895,-1909,-1806,-1813,-1840,-1897,-1873,-1825,-1774,-1716,-1654,-1614,-1577,-1549,-1528,-1521,-1510,-1497,-1506,-1498,-1477,-1456,-1405,-1263,-1161,-1097,-1024,-1029,-1064,2478
"34","26","Residential","A012RX0",314515,302291,284806,268745,252381,258346,269581,275765,289914,301272,301962,312304,313803,317543,328677,345749,352790,364764,360852,355920,347868,336620,347221,355327,364935,380504,379598,375537,377009,381805,383519,387457
"35","27","  Permanent site","A943RX0",198250,189281,175551,162302,146799,148763,161801,167070,173789,184693,182766,186930,188597,188751,194505,205433,213312,222536,219674,214786,208176,196397,200468,207892,215229,227031,225083,221889,221383,224243,222221,226199
"36","28","    Single-family structures","A944RX0",169987,161674,148578,136602,122702,127587,142511,147754,155438,164060,165751,171261,174334,174768,179340,190510,197529,204640,199687,193768,186228,174699,177228,184105,190376,200174,201147,197353,195100,196994,196039,198385
"37","29","    Multifamily structures","C292RX0",27821,27184,26597,25354,23775,20827,18904,18918,17959,20207,16616,15263,13836,13537,14706,14392,15232,17383,19606,20742,21794,21625,23249,23771,24845,26892,23797,24459,26326,27323,26206,27873
"38","30","  Other structures","A863RX0",116872,113518,109580,106558,105340,109221,107837,108854,116171,116919,119373,125417,125299,128754,134083,140272,139616,142467,141391,141272,139752,140117,146563,147329,149662,153530,154513,153616,155547,157486,161135,161137
"39","31","    Manufactured homes","A945RX0",7128,6878,6604,6397,5144,5894,6108,6369,6503,6293,7534,9026,8489,8694,9504,10564,10837,10937,11261,12087,12296,12207,13067,13858,13681,14360,14576,14208,14046,14686,15011,15016
"40","32","    Dormitories","C295RX0",1125,1103,1011,864,525,372,277,254,361,423,499,574,693,719,697,635,448,390,367,384,509,561,603,632,610,640,674,727,803,870,917,955
"41","33","    Improvements","A946RX0",77745,76180,72673,72591,71316,70909,71398,72695,75674,77810,80512,82726,85620,88156,90222,92731,93297,94388,94762,94804,93436,93758,94462,95336,97330,98121,98630,99180,99895,99941,100246,100413
"42","34","    Brokers' commissions on sale of structures","A758RX0",33059,31512,31423,28786,30304,34096,32055,31488,35406,34309,32936,35420,33091,33866,36307,38820,36960,38403,36504,35400,34996,35112,39923,39069,39799,42239,42585,41633,43109,44480,47646,47644
"43","35","    Net purchases of used structures","A759RX0",-2173,-2144,-2120,-2119,-2036,-2060,-2039,-2005,-1755,-1967,-2142,-2263,-2619,-2703,-2630,-2422,-1857,-1601,-1408,-1299,-1395,-1428,-1485,-1563,-1733,-1863,-1997,-2160,-2335,-2546,-2744,-2953
"44","36","Residual","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","37","  Private fixed investment in new structures\5\","W040RX0",563309,551242,532705,506925,483180,478293,475428,477512,484665,497464,501752,512488,510717,513401,523029,541579,540743,563449,561037,559398,557572,550851,558394,565442,578835,597427,599219,609132,611468,612736,621806,624630
"47","38","    Nonresidential structures","A771RX0",279894,278571,277569,265189,259458,252485,236223,231503,228654,228625,230601,233333,227193,226815,227814,231953,222470,234946,234668,237000,242884,247694,249495,247360,251664,256983,259933,272871,275078,272712,283084,281748
"48","39","    Residential structures","A756RX0",283796,273089,255598,242185,224124,226219,239586,246335,256272,269000,271283,279222,283484,286529,295107,309452,317899,328171,326042,322119,314530,303142,308848,317961,327031,340260,339120,336187,336318,339933,338631,342786
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Also includes medical buildings; in table 5.4.6B, these buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2. Consists of stores, restaurants, garages, service stations, warehouses, beauty and trade schools, mobile structures, and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","buildings used for commercial purposes.  Also includes financial buidings of two stories or less.  In table 5.4.6B, financial ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","buildings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","of two stories or less are included in office; bus or truck garages are included in transportation; and beauty and trade schools ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","included in educational and vocational structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","3. Consists of hotels and motels, buildings used primarily for social and recreational activities, and buildings not elsewhere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","classified, such as passenger terminals, greenhouses, and animal hospitals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","4. Consists primarily of streets, dams and reservoirs, sewer and water facilities, parks, and airfields.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","NOTE. Chained (2000) dollar series are calculated as the product of the chain-type quantity index and the 2000 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","more than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
