"","Table 5#10U# Capital Transfers (Net)","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198"
"11","3","    Estate and gift taxes paid by persons","B232RC0",1308,1340,1476,1492,1564,1776,1648,2048,1996,1832,2012,1960,1868,2156,2052,2140,2168,2268,2392,2136,2264,2624,2668,2712,2808,2632,2816,3004,3148,3144,2992,2900,3088,2960,3244,2968,2776,3092,3244,3400,3464,3688,3540,3560,3752,3700,3552,3724,3784,3840,4136,6592,6400,4612,4992,5440,5664,4680,4812,5212,5240,4888,4636,4416,4476,4932,5144,4996,5220,5496,5492,6124,12028,5488,5688,5424,5296,5144,5140,5268,5408,5344,5400,5824,6032,6484,6964,6576,6348,6724,7124,7368,9028,7756,7328,5948,5556,5804,6468,5264,6328,5896,5908,5748,6520,6080,6728,6164,6628,6956,7372,6928,7468,7248,7512,6604,7156,6916,8212,8288,8120,9116,8784,9576,9684,14644,11320,10740,11000,10364,11848,10788,11216,10460,11532,11916,11936,12628,12784,14264,15332,16184,14480,14436,14280,14008,15512,15992,16192,17444,18432,17888,19584,20020,21000,21652,23776,25128,25132,26600,27384,28532,27832,31332,28376,27784,27928,28316,28480,30576,26464,26284,27084,24980,26436,22708,22460,20528,20868,24060,23112,23996,27084,24248,23644,24368,25440,26520,29020,27772,27092,27408,21880,28616,25768
"12","4","    Less: Capital transfers paid to persons \1\","W027RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,14368,14488,14676,14940,15264,15756,16112,16300,16332,15964,15904,15912,15992,16368,16424,16388,16260,26048,25928,26756
"13","5","    Less: Capital transfers paid to the rest of the world (net) \2\","AD10RC0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,688,0,0,28196,4272,396,15840,8,8,216,0,0,2444,0,224,0,0,3440,892,12,0,0,1772,0,0,0,0,0,0,276,372,84,20,0,68,0,36,12,24,16680,20,20,72,4,32,16,44,8,20,60,328,364,388,5068,2036,52,236,12,2092,292,8712,404,156,96,4880,1948,8,8,0,128,0
"14","6","    Less: Federal investment grants to State and local governments \3\","AD11RC0",3160,2504,3676,2952,2320,2616,2736,2420,2952,2612,2640,2720,2896,3040,2744,3084,3228,3344,3584,3836,3592,3920,4324,4096,4004,3928,3864,4020,4260,4292,4384,4280,4212,3332,4412,4744,5800,5352,6192,6180,5820,5760,5596,5948,5576,5228,4816,4900,5464,6312,5756,5644,5668,5216,6724,5700,5740,6208,5344,5920,7760,8572,6496,7840,8652,7804,10772,10424,10012,9760,10592,11108,10716,10652,11804,10700,10968,11528,11908,12528,13592,13048,14292,15752,16260,16536,15916,16628,16092,15716,14828,15012,13852,14552,14544,14484,15900,14200,15904,15768,16556,17236,18092,18824,17044,19408,20036,21184,19720,20556,21284,18320,18760,19560,18828,18696,18972,19836,20388,19284,20192,19936,18832,20492,21448,20184,20508,21188,21552,21612,21056,20612,21388,22800,22288,23064,22340,22236,25040,25756,24168,23652,25336,26108,28252,27676,26688,26420,29560,27612,27308,28448,28732,28952,29236,28616,27352,27428,29332,30936,27828,32232,34048,33660,35120,35800,35924,37860,38800,41160,41164,42040,47000,44232,43480,43860,39152,48332,49268,45048,44396,43148,52844,44636,46568,49884,49844,48848,50380,51244,54396,52284,46028,53576,58580
"15","7","    Less: Investment grants to business \4\","AD12RC0",44,40,60,52,84,100,96,92,108,116,128,140,120,120,108,156,92,84,92,84,84,72,84,84,84,96,64,80,80,100,64,88,88,84,84,84,100,116,144,88,80,76,72,80,104,128,108,160,164,120,124,148,172,212,268,124,156,148,148,176,196,232,212,252,256,236,236,236,236,204,180,172,112,224,180,128,144,168,180,164,200,228,268,276,292,284,204,324,188,156,184,280,264,240,164,128,64,40,36,12,20,4,4,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,428,0,0,64,0,0,0,0,0,0,0,0,12,-24,12,12
"16","8","  State and local","AD06RC0",3543,2896,4082,3375,2766,3087,3233,2938,3507,3171,3199,3283,3446,3611,3341,3702,3857,3982,4230,4499,4279,4645,5083,4877,4790,4718,4662,4818,5058,5115,5237,5166,5111,4243,5331,5667,6712,6296,7165,7191,6918,6872,6605,6977,6592,6312,5940,6004,6634,7507,7070,6801,7005,6628,8167,7280,7332,7644,6844,7428,9240,10092,8024,9324,10124,9337,12345,12090,11598,11329,12273,12884,12850,13038,13769,12691,12840,13480,13964,14556,15632,15016,16356,17868,18396,18768,18248,18984,18396,18116,17212,17408,16300,17132,17220,17132,18628,16828,18320,18064,18936,19552,20376,21404,19430,21921,22670,23895,22598,23558,24394,21522,22006,22883,22234,22193,22400,23304,23878,22782,23621,23407,22389,24179,25363,24270,24754,25573,26079,26213,25689,25239,25913,27301,26789,27593,26942,26917,29814,30635,29217,28773,30491,31263,33293,32723,31780,31604,34923,33136,33011,34342,34827,35256,35751,35342,34260,34554,36677,38493,35684,40199,42038,41591,42771,43352,43422,45355,46480,48963,49017,49856,54766,51847,50844,50887,45741,54553,55210,50808,50216,48993,58663,50372,52129,55299,55114,53978,55358,56099,59140,56927,50627,58118,63120
"17","9","    Estate and gift taxes paid by persons","S210200",383,392,406,423,446,471,497,518,555,559,559,563,550,571,597,618,629,638,646,663,687,725,759,781,786,790,798,798,798,823,853,886,899,911,919,923,912,944,973,1011,1098,1112,1009,1029,1016,1084,1124,1104,1170,1195,1314,1157,1337,1412,1443,1580,1592,1436,1500,1508,1480,1520,1528,1484,1472,1533,1573,1666,1586,1569,1681,1776,2134,2386,1965,1991,1872,1952,2056,2028,2040,1968,2064,2116,2136,2232,2332,2356,2304,2400,2384,2396,2448,2580,2676,2648,2728,2628,2416,2296,2380,2316,2284,2580,2386,2513,2634,2711,2878,3002,3110,3202,3246,3323,3406,3497,3428,3468,3490,3498,3429,3471,3557,3687,3915,4086,4246,4385,4527,4601,4633,4627,4525,4501,4501,4529,4602,4681,4774,4879,5049,5121,5155,5155,5041,5047,5092,5184,5363,5524,5703,5894,6095,6304,6515,6726,6908,7126,7345,7557,7856,7967,7990,7931,7651,7552,7498,7495,7680,7803,7853,7816,7766,7615,7364,7027,6589,6221,5942,5760,5820,5845,5819,5736,5561,5415,5270,5130,4978,4855,4744,4643,4599,4542,4540
"18","10","    Federal investment grants to State and local governments \3\","AD11RC0",3160,2504,3676,2952,2320,2616,2736,2420,2952,2612,2640,2720,2896,3040,2744,3084,3228,3344,3584,3836,3592,3920,4324,4096,4004,3928,3864,4020,4260,4292,4384,4280,4212,3332,4412,4744,5800,5352,6192,6180,5820,5760,5596,5948,5576,5228,4816,4900,5464,6312,5756,5644,5668,5216,6724,5700,5740,6208,5344,5920,7760,8572,6496,7840,8652,7804,10772,10424,10012,9760,10592,11108,10716,10652,11804,10700,10968,11528,11908,12528,13592,13048,14292,15752,16260,16536,15916,16628,16092,15716,14828,15012,13852,14552,14544,14484,15900,14200,15904,15768,16556,17236,18092,18824,17044,19408,20036,21184,19720,20556,21284,18320,18760,19560,18828,18696,18972,19836,20388,19284,20192,19936,18832,20492,21448,20184,20508,21188,21552,21612,21056,20612,21388,22800,22288,23064,22340,22236,25040,25756,24168,23652,25336,26108,28252,27676,26688,26420,29560,27612,27308,28448,28732,28952,29236,28616,27352,27428,29332,30936,27828,32232,34048,33660,35120,35800,35924,37860,38800,41160,41164,42040,47000,44232,43480,43860,39152,48332,49268,45048,44396,43148,52844,44636,46568,49884,49844,48848,50380,51244,54396,52284,46028,53576,58580
"19","11","Capital transfers received by the rest of the world (net)","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","12","  Capital transfers received from U.S. government (net)","AD10RC0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,688,0,0,28196,4272,396,15840,8,8,216,0,0,2444,0,224,0,0,3440,892,12,0,0,1772,0,0,0,0,0,0,276,372,84,20,0,68,0,36,12,24,16680,20,20,72,4,32,16,44,8,20,60,328,364,388,5068,2036,52,236,12,2092,292,8712,404,156,96,4880,1948,8,8,0,128,0
"21","13","  Less: Migrants' transfers received by persons (net) \5\","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
