"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","          Value added","W102RG3",5.978,5.998,5.731,5.795,5.868,5.956,6.047,6.107,6.227,6.21,6.2,6.297,6.293,6.24,6.373,6.304,6.59,6.477,6.497,6.593,6.68,6.755,6.836,6.915,6.927,6.972,6.944,7.007,7.042,7.159,7.196,7.253,7.318,7.508,7.539,7.603,7.726,7.848,7.904,7.958,8.076,8.178,8.25,8.354,8.515,8.626,8.69,8.737,8.83,8.861,8.883,8.905,8.992,9.007,9.152,9.21,9.253,9.324,9.364,9.398,9.482,9.501,9.546,9.692,9.793,9.831,9.847,10.023,10.116,10.172,10.259,10.322,10.424,10.478,10.609,10.769,10.908,11.009,11.138,11.19,11.262,11.406,11.54,11.826,11.993,12.145,12.417,12.612,12.716,12.871
"12","4","            Compensation of general government employees","A194RG3",4.723,4.725,4.337,4.367,4.463,4.549,4.602,4.659,4.769,4.785,4.809,4.91,4.927,4.879,4.985,4.842,5.085,4.957,4.96,5.043,5.137,5.203,5.266,5.348,5.357,5.397,5.388,5.46,5.502,5.598,5.634,5.671,5.745,5.942,5.936,5.97,6.054,6.158,6.191,6.227,6.319,6.41,6.466,6.569,6.77,6.874,6.918,6.951,7.047,7.08,7.099,7.122,7.215,7.229,7.381,7.44,7.484,7.558,7.595,7.623,7.704,7.725,7.751,7.888,7.996,8.026,8.045,8.239,8.338,8.395,8.49,8.555,8.66,8.709,8.84,9.006,9.15,9.236,9.363,9.403,9.475,9.623,9.747,10.037,10.185,10.335,10.615,10.791,10.871,10.996
"13","5","            Consumption of general government fixed capital \2\","A265RG3",13.69,13.822,14.184,14.456,14.411,14.522,14.871,14.947,15.118,14.87,14.603,14.621,14.439,14.354,14.644,15.282,15.77,15.932,16.125,16.259,16.165,16.257,16.454,16.418,16.453,16.498,16.313,16.228,16.178,16.408,16.427,16.63,16.577,16.593,16.918,17.204,17.586,17.795,18.01,18.192,18.457,18.6,18.762,18.833,18.594,18.704,18.906,19.036,19.068,19.077,19.109,19.11,19.128,19.14,19.185,19.209,19.239,19.261,19.311,19.378,19.452,19.453,19.626,19.787,19.816,19.897,19.883,19.888,19.914,19.944,19.954,19.988,20.042,20.123,20.218,20.294,20.355,20.541,20.646,20.768,20.818,20.892,21.06,21.235,21.486,21.609,21.751,22.026,22.27,22.59
"14","6","          Intermediate goods and services purchased \3\","W104RG3",10.207,10.331,10.81,11.015,11.367,11.258,11.542,11.449,11.563,11.439,11.345,11.354,11.468,11.633,11.665,12.059,12.442,12.34,12.471,12.671,11.912,12.195,12.283,12.572,12.343,12.379,12.38,12.533,12.799,12.723,12.861,12.963,13.259,13.332,13.426,13.603,13.649,13.772,13.833,13.863,14.27,14.303,14.321,14.42,14.481,14.494,14.519,14.578,14.377,14.233,14.117,14.138,14.059,14.136,14.125,14.581,14.416,14.461,14.254,14.408,14.608,14.796,14.714,14.19,14.966,14.868,14.502,15.009,15.141,15.022,15.46,15.218,15.29,15.38,15.591,16.054,15.964,15.787,16.455,16.469,16.465,16.628,16.833,16.791,16.945,17.25,17.277,17.585,17.596,18.035
"15","7","            Durable goods","W105RG3",17.141,17.319,18.152,18.321,18.457,18.558,19.433,19.48,19.802,19.078,18.996,19.108,19.514,19.699,19.94,21.334,21.251,21.281,21.274,21.49,21.622,21.844,22.093,22.335,22.249,22.402,22.302,22.481,22.347,22.62,23.261,23.721,23.284,23.425,23.933,24.727,25.084,25.346,25.436,25.732,26.369,26.481,26.739,27.098,27.039,26.961,27.181,27.417,27.423,27.616,27.724,27.822,27.829,27.803,27.89,27.864,27.987,28.058,28.153,28.317,28.331,28.427,28.609,29.013,29.191,29.452,29.266,29.222,29.195,29.268,29.243,29.307,29.357,29.562,29.623,29.636,29.827,30.041,30.225,30.48,30.397,30.616,30.988,30.889,31.519,31.868,32.082,32.458,32.62,33.046
"16","8","            Nondurable goods","W106RG3",13.33,13.989,13.96,14.475,15.469,15.127,15.003,14.68,14.736,14.538,14.372,14.439,14.531,14.86,14.702,14.995,15.002,15.41,15.559,15.721,14.714,14.654,14.656,14.613,14.29,14.302,14.338,14.408,15.43,15.413,15.339,15.383,16.283,16.25,16.179,16.316,16.271,16.288,16.417,16.186,16.85,16.934,16.687,16.714,16.47,16.266,16.27,16.235,16.308,15.982,15.542,15.493,15.502,15.769,15.796,15.818,15.891,15.675,15.588,15.547,15.648,15.713,15.759,15.754,15.567,15.518,15.644,15.464,15.54,15.583,15.878,15.855,15.846,15.804,15.981,16.208,16.411,16.445,16.824,16.784,16.679,16.71,16.783,16.442,16.838,17.004,17.101,17.192,17.289,17.403
"17","9","            Services","W107RG3",8.505,8.413,9.095,9.129,9.28,9.224,9.637,9.639,9.773,9.795,9.742,9.694,9.79,9.903,9.957,10.192,10.968,10.57,10.749,10.988,9.793,10.343,10.438,11.016,10.721,10.757,10.803,11.06,11.024,10.698,10.787,10.807,11.113,11.241,11.306,11.338,11.328,11.463,11.504,11.543,11.86,11.866,11.879,11.943,12.159,12.275,12.257,12.321,11.901,11.762,11.792,11.85,11.692,11.702,11.646,12.419,12.086,12.226,11.917,12.164,12.458,12.741,12.538,11.539,12.953,12.762,12.132,13.065,13.255,13.029,13.618,13.212,13.33,13.467,13.728,14.398,14.122,13.768,14.687,14.682,14.735,14.967,15.227,15.354,15.299,15.705,15.656,16.111,16.041,16.704
"18","10","        Less: Own-account investment \4\","W108RG3",11.188,11.185,11.156,11.137,11.075,11.05,11.174,11.347,11.564,11.582,11.642,11.658,11.624,11.632,11.77,11.897,12.404,12.493,12.671,12.856,12.998,13.137,13.261,13.402,13.5,13.593,13.543,13.633,13.677,13.803,13.887,13.984,14.12,14.242,14.265,14.337,14.413,14.494,14.6,14.699,14.829,15.006,15.207,15.437,15.766,15.997,16.079,16.117,15.88,15.898,15.918,15.976,16.093,16.178,16.338,16.443,16.536,16.61,16.675,16.737,16.824,16.84,16.855,16.931,16.965,17.008,17.052,17.171,17.321,17.415,17.509,17.563,17.595,17.617,17.664,17.738,17.809,17.874,17.947,17.978,18.014,18.081,18.19,18.4,18.629,18.835,19.042,19.232,19.386,19.61
"19","11","        Less: Sales to other sectors \5\","W109RG3",4.985,5.807,5.608,5.789,5.8,5.851,5.981,5.87,5.914,5.852,5.817,5.842,5.878,5.932,6.068,6.205,6.402,6.423,6.445,6.489,6.522,6.564,6.588,6.59,6.608,6.647,6.716,6.714,6.777,6.721,6.735,6.779,6.846,6.903,6.88,6.921,6.977,7.06,7.12,7.192,7.294,7.331,7.368,7.395,7.477,7.498,7.538,7.572,7.573,7.624,7.669,7.767,7.823,7.947,8.022,8.078,8.122,8.078,8.091,8.123,8.195,8.224,8.292,8.321,8.34,8.373,8.454,8.523,8.566,8.602,8.663,8.705,8.755,8.821,8.899,8.973,9.048,9.124,9.24,9.295,9.334,9.403,9.529,9.617,9.757,9.9,10.06,10.233,10.396,10.569
"20","12","Federal consumption expenditures \1\","A957RG3",9.283,9.155,8.677,8.688,8.746,8.799,8.849,8.848,9.15,9.157,9.092,9.307,9.325,9.207,9.321,9.152,9.654,9.374,9.374,9.52,9.358,9.52,9.593,9.776,9.666,9.731,9.696,9.808,9.932,9.996,10.035,10.126,10.308,10.602,10.659,10.761,10.866,11.057,11.082,11.115,11.367,11.457,11.529,11.69,11.9,12.028,12.121,12.195,12.175,12.136,12.113,12.115,12.11,12.085,12.279,12.482,12.417,12.456,12.378,12.417,12.534,12.625,12.665,12.661,13.036,13.005,12.859,13.287,13.46,13.456,13.72,13.687,13.779,13.853,14.073,14.478,14.515,14.465,14.811,14.781,14.721,14.906,15.056,15.381,15.53,15.722,16.03,16.262,16.255,16.459
"21","13","      Gross output of general government","W110RG3",9.355,9.348,8.844,8.861,8.897,8.957,9.009,9.001,9.314,9.322,9.254,9.466,9.483,9.368,9.482,9.318,9.827,9.558,9.56,9.707,9.549,9.713,9.785,9.968,9.86,9.927,9.892,10.003,10.128,10.188,10.228,10.323,10.508,10.798,10.849,10.951,11.055,11.248,11.274,11.309,11.561,11.652,11.726,11.888,12.108,12.239,12.329,12.402,12.381,12.343,12.321,12.327,12.325,12.304,12.495,12.694,12.636,12.675,12.601,12.641,12.757,12.847,12.886,12.884,13.247,13.218,13.081,13.501,13.673,13.676,13.933,13.903,13.991,14.062,14.273,14.664,14.699,14.655,14.986,14.958,14.898,15.079,15.229,15.552,15.705,15.899,16.206,16.441,16.445,16.646
"22","14","        Value added","W111RG3",8.19,8.181,7.603,7.607,7.609,7.675,7.692,7.704,7.985,8.011,7.973,8.205,8.19,8.015,8.176,7.942,8.398,8.125,8.076,8.19,8.324,8.408,8.472,8.577,8.549,8.63,8.595,8.675,8.706,8.822,8.813,8.892,9.005,9.346,9.376,9.438,9.561,9.76,9.784,9.825,9.993,10.098,10.184,10.348,10.605,10.766,10.891,10.965,11.098,11.136,11.168,11.178,11.21,11.169,11.408,11.462,11.471,11.494,11.492,11.479,11.542,11.566,11.655,11.894,11.985,11.997,12,12.28,12.438,12.496,12.621,12.707,12.779,12.846,13.027,13.305,13.406,13.467,13.583,13.548,13.489,13.642,13.743,14.191,14.341,14.454,14.858,15.041,15.088,15.164
"23","15","          Compensation of general government employees","B568RG3",5.715,5.683,4.88,4.816,4.865,4.928,4.864,4.865,5.113,5.188,5.206,5.427,5.415,5.249,5.362,5.043,5.414,5.167,5.108,5.192,5.311,5.38,5.419,5.499,5.478,5.531,5.526,5.598,5.622,5.71,5.689,5.73,5.828,6.151,6.142,6.153,6.211,6.375,6.366,6.373,6.48,6.56,6.605,6.737,7.031,7.176,7.261,7.305,7.442,7.474,7.492,7.494,7.52,7.473,7.712,7.762,7.765,7.785,7.769,7.739,7.793,7.824,7.871,8.086,8.178,8.171,8.181,8.49,8.658,8.715,8.851,8.938,9.013,9.073,9.251,9.544,9.642,9.676,9.782,9.722,9.647,9.791,9.866,10.313,10.429,10.524,10.918,11.065,11.064,11.084
"24","16","          Consumption of general government fixed capital \2\","B995RG3",15.088,15.17,15.553,15.823,15.672,15.751,16.136,16.217,16.478,16.247,15.951,16.027,15.972,15.882,16.15,16.79,17.176,17.253,17.432,17.575,17.539,17.57,17.722,17.826,17.792,17.947,17.729,17.737,17.778,17.925,18.013,18.248,18.293,18.303,18.552,18.864,19.253,19.438,19.641,19.848,20.201,20.335,20.575,20.747,20.544,20.64,20.867,21.038,21.041,21.081,21.161,21.197,21.237,21.256,21.318,21.351,21.388,21.409,21.478,21.558,21.617,21.589,21.818,22.012,22.04,22.13,22.099,22.082,22.106,22.139,22.142,22.177,22.201,22.261,22.363,22.43,22.481,22.624,22.716,22.819,22.865,22.97,23.125,23.305,23.521,23.649,23.862,24.1,24.332,24.611
"25","17","        Intermediate goods and services purchased \3\","W113RG3",11.369,11.386,12.337,12.469,12.818,12.692,12.931,12.752,13.108,13.003,12.802,12.813,13.044,13.333,12.904,13.443,13.933,13.785,14.029,14.295,13.115,13.507,13.589,13.983,13.663,13.698,13.666,13.867,14.246,14.141,14.343,14.478,14.896,14.988,15.101,15.344,15.36,15.51,15.544,15.548,16.083,16.113,16.133,16.273,16.341,16.351,16.316,16.382,15.81,15.48,15.253,15.226,15.061,15.144,15.075,15.895,15.539,15.658,15.25,15.519,15.834,16.171,15.995,15.102,16.463,16.263,15.579,16.495,16.705,16.467,17.296,16.708,16.86,16.942,17.259,18.066,17.833,17.373,18.488,18.485,18.425,18.675,18.982,18.853,19.015,19.46,19.42,19.81,19.672,20.287
"26","18","          Durable goods","W114RG3",16.827,16.959,17.966,18.072,18.166,18.202,19.028,19.001,19.358,18.691,18.627,18.753,19.198,19.359,19.525,20.918,20.804,20.83,20.835,21.044,21.17,21.395,21.644,21.889,21.795,21.953,21.855,22.034,21.902,22.157,22.801,23.259,22.788,22.919,23.401,24.183,24.526,24.819,24.915,25.211,25.891,26.027,26.307,26.689,26.627,26.544,26.759,26.967,27.056,27.199,27.336,27.428,27.423,27.397,27.469,27.442,27.492,27.556,27.665,27.766,27.85,27.969,28.146,28.605,28.802,29.011,28.793,28.743,28.704,28.713,28.686,28.756,28.813,28.961,29.046,29.059,29.174,29.359,29.528,29.771,29.684,29.871,30.243,30.122,30.754,31.067,31.308,31.677,31.785,32.234
"27","19","          Nondurable goods","W115RG3",17.827,19.319,18.101,17.92,21.905,19.055,17.734,17.215,18.601,19.076,18.938,19.056,18.943,18.892,18.523,18.254,18.084,18.158,18.063,18.258,16.567,16.768,16.809,16.805,16.221,16.153,16.092,16.23,17.832,17.851,17.799,17.866,19.401,19.321,19.144,19.367,19.069,18.954,19.246,18.518,19.534,19.694,19.037,19.292,18.956,18.523,18.415,18.32,19.367,18.48,17.561,17.324,17.354,17.882,17.776,17.784,17.897,17.369,17.06,16.939,17.077,17.313,17.343,17.362,16.85,16.699,16.941,16.457,16.501,16.799,17.535,17.292,17.34,16.873,17.045,17.322,17.74,17.656,18.246,18.202,17.853,17.847,17.869,17.154,17.807,18.018,18.107,18.202,18.288,18.259
"28","20","          Services","W116RG3",9.459,9.194,10.626,10.542,10.658,10.801,11.199,11.084,11.267,11.214,10.985,10.821,11.028,11.313,11.173,11.59,13.185,12.294,12.563,12.883,10.813,11.674,11.776,12.652,12.136,12.185,12.233,12.601,12.552,11.988,12.096,12.082,12.629,12.812,12.892,12.907,12.852,13.033,12.992,13.006,13.469,13.453,13.432,13.493,13.769,13.906,13.744,13.782,12.169,11.809,11.766,11.807,11.469,11.468,11.337,12.683,12.076,12.318,11.763,12.181,12.643,13.113,12.744,11.052,13.483,13.138,12.058,13.677,14.011,13.54,14.635,13.734,13.96,14.194,14.645,15.917,15.345,14.526,16.182,16.112,16.139,16.535,16.984,17.154,16.916,17.609,17.388,18.028,17.64,18.788
"29","21","      Less: Own-account investment \4\","W117RG3",13.375,13.326,13.277,13.16,12.919,12.848,12.902,13.073,13.523,13.684,13.76,13.788,13.603,13.493,13.592,13.721,14.455,14.574,14.717,14.896,15.182,15.336,15.42,15.563,15.634,15.739,15.675,15.737,15.691,15.767,15.778,15.887,16.046,16.213,16.233,16.264,16.294,16.382,16.44,16.505,16.624,16.787,17.019,17.324,17.775,18.073,18.202,18.217,18.16,18.125,18.139,18.204,18.319,18.422,18.651,18.783,18.888,18.964,19.033,19.104,19.193,19.212,19.233,19.331,19.316,19.352,19.428,19.587,19.817,19.951,20.075,20.104,20.104,20.111,20.133,20.189,20.236,20.253,20.276,20.254,20.231,20.267,20.367,20.611,20.853,21.065,21.282,21.452,21.563,21.78
"30","22","      Less: Sales to other sectors","W118RG3",8.552,11.503,10.167,10.927,10.287,10.775,11.024,10.366,11.13,11.006,10.482,10.392,10.715,10.778,11.015,11.103,11.699,11.736,11.649,11.589,11.535,11.929,11.652,11.454,11.554,11.612,11.619,11.308,12.025,11.547,11.638,11.779,12.096,12.304,12.065,12.229,12.211,12.489,12.512,12.797,13.05,13.008,13.043,12.989,13.457,13.446,13.329,13.359,13.318,13.444,13.432,13.604,13.588,13.62,13.47,13.384,13.462,13.404,13.341,13.387,13.556,13.575,13.63,13.625,13.747,13.711,13.95,14.123,14.141,14.35,14.333,14.316,14.372,14.333,14.424,14.587,14.547,14.723,14.766,14.804,14.743,14.837,15.172,15.532,15.766,16.126,16.558,17.268,18.191,18.015
"31","23","    Defense consumption expenditures \1\","A997RG3",9.397,9.341,8.512,8.48,8.689,8.818,8.921,8.944,9.103,9.098,9.036,9.212,9.223,9.146,9.357,9.301,9.551,9.294,9.29,9.423,9.199,9.371,9.446,9.625,9.494,9.548,9.488,9.594,9.757,9.799,9.863,9.951,10.1,10.408,10.535,10.648,10.769,10.955,10.99,11.036,11.289,11.358,11.438,11.578,11.774,11.881,12.011,12.068,11.982,11.964,11.989,11.994,11.995,11.964,12.096,12.311,12.216,12.253,12.162,12.192,12.306,12.406,12.448,12.351,12.816,12.779,12.592,13.079,13.222,13.173,13.413,13.367,13.457,13.539,13.778,14.2,14.192,14.137,14.518,14.459,14.395,14.591,14.76,15.113,15.208,15.392,15.687,15.895,15.884,16.099
"32","24","      Gross output of general government","W085RG3",9.537,9.48,8.654,8.622,8.827,8.953,9.058,9.083,9.247,9.245,9.184,9.358,9.366,9.289,9.5,9.447,9.705,9.456,9.454,9.589,9.366,9.54,9.616,9.796,9.667,9.721,9.661,9.766,9.928,9.971,10.035,10.124,10.274,10.581,10.705,10.819,10.937,11.122,11.157,11.204,11.457,11.528,11.611,11.752,11.955,12.064,12.194,12.251,12.166,12.148,12.172,12.179,12.182,12.154,12.287,12.499,12.409,12.447,12.36,12.39,12.504,12.602,12.643,12.549,13.004,12.969,12.787,13.267,13.412,13.367,13.604,13.559,13.647,13.727,13.961,14.374,14.366,14.314,14.686,14.629,14.566,14.76,14.929,15.28,15.378,15.564,15.859,16.067,16.058,16.273
"33","25","        Value added","W086RG3",8.672,8.617,7.767,7.735,7.899,8.021,8.076,8.111,8.263,8.302,8.253,8.439,8.431,8.311,8.512,8.326,8.531,8.297,8.258,8.375,8.46,8.542,8.612,8.705,8.65,8.719,8.653,8.737,8.779,8.904,8.894,8.978,9.076,9.419,9.493,9.554,9.675,9.856,9.918,9.959,10.124,10.215,10.312,10.463,10.697,10.846,11,11.056,11.151,11.187,11.223,11.234,11.281,11.254,11.431,11.467,11.456,11.468,11.455,11.423,11.489,11.52,11.623,11.821,11.933,11.94,11.946,12.261,12.369,12.427,12.524,12.62,12.68,12.734,12.933,13.216,13.301,13.374,13.5,13.453,13.368,13.554,13.675,14.125,14.266,14.369,14.794,14.94,14.99,15.052
"34","26","          Compensation of general government employees","B237RG3",6.308,6.21,4.946,4.797,5.07,5.212,5.183,5.197,5.317,5.427,5.418,5.626,5.625,5.499,5.65,5.333,5.481,5.256,5.203,5.284,5.367,5.435,5.48,5.548,5.508,5.544,5.519,5.594,5.625,5.716,5.695,5.735,5.822,6.158,6.187,6.189,6.24,6.387,6.412,6.412,6.511,6.579,6.633,6.753,7.039,7.178,7.291,7.315,7.417,7.451,7.471,7.474,7.517,7.484,7.665,7.701,7.68,7.69,7.659,7.604,7.661,7.703,7.759,7.934,8.056,8.041,8.058,8.426,8.548,8.607,8.722,8.821,8.884,8.929,9.132,9.444,9.53,9.574,9.694,9.617,9.512,9.69,9.783,10.235,10.341,10.43,10.852,10.96,10.965,10.973
"35","27","          Consumption of general government fixed capital \2\","B432RG3",14.86,14.941,15.209,15.55,15.417,15.501,15.848,15.967,16.19,15.935,15.744,15.735,15.67,15.619,15.911,16.56,16.891,16.998,17.172,17.359,17.298,17.328,17.472,17.577,17.505,17.704,17.441,17.47,17.523,17.703,17.778,18.033,18.073,18.057,18.312,18.647,19.044,19.236,19.444,19.67,20.034,20.162,20.393,20.566,20.359,20.436,20.674,20.841,20.843,20.867,20.95,20.989,21.026,21.036,21.098,21.117,21.15,21.165,21.237,21.32,21.388,21.354,21.597,21.789,21.811,21.9,21.855,21.829,21.839,21.872,21.865,21.907,21.937,22,22.101,22.156,22.195,22.345,22.429,22.532,22.584,22.703,22.874,23.068,23.282,23.392,23.595,23.821,24.038,24.298
"36","28","        Intermediate goods and services purchased \3\","W087RG3",9.113,9.101,10.146,10.091,10.504,10.516,11.035,10.905,11.032,10.657,10.56,10.542,10.746,11.041,11.185,11.954,12.259,11.946,12.039,12.216,11.186,11.598,11.693,12.063,11.761,11.778,11.734,11.889,12.343,12.154,12.441,12.536,12.835,12.962,13.236,13.52,13.608,13.778,13.713,13.772,14.286,14.283,14.31,14.398,14.479,14.464,14.518,14.589,13.926,13.702,13.678,13.662,13.468,13.446,13.366,14.279,13.877,14.03,13.63,13.912,14.178,14.513,14.297,13.18,14.811,14.621,13.769,14.787,15.051,14.584,15.383,14.718,14.915,15.102,15.443,16.288,15.949,15.471,16.575,16.491,16.498,16.692,16.978,17.026,17.01,17.391,17.323,17.679,17.51,18.138
"37","29","          Durable goods","A998RG3",15.902,16.052,16.655,16.911,17.09,17.185,17.97,18.031,18.277,17.636,17.596,17.735,18.17,18.319,18.487,19.815,19.682,19.726,19.73,19.938,20.051,20.27,20.508,20.74,20.649,20.802,20.701,20.872,20.748,20.998,21.609,22.048,21.593,21.717,22.178,22.929,23.258,23.539,23.631,23.918,24.567,24.696,24.962,25.325,25.262,25.183,25.387,25.583,25.653,25.78,25.911,25.986,25.968,25.931,25.996,25.964,26.01,26.066,26.185,26.269,26.34,26.451,26.627,27.058,27.237,27.434,27.224,27.164,27.098,27.077,27.081,27.157,27.236,27.395,27.482,27.487,27.597,27.772,27.935,28.167,28.08,28.263,28.619,28.499,29.101,29.402,29.632,29.984,30.086,30.515
