"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","          Value added","W102RA3",28.44,27.563,27.444,26.946,26.759,26.292,26.531,26.806,26.842,26.842,26.761,26.333,26.01,26.422,27.003,29.378,30.428,32.782,34.44,34.82,35.524,36.056,36.32,36.235,36.509,36.69,36.846,36.673,36.599,36.622,36.75,36.844,36.822,36.644,36.875,37.071,37.181,37.367,37.796,38.091,38.28,38.54,38.866,38.619,38.572,38.874,39.406,39.654,39.476,39.642,39.89,40.191,40.639,41.327,41.501,41.805,42.275,42.562,43.126,43.968,44.4,44.762,45.076,45.214,45.607,46.118,46.675,46.945,47.359,47.859,48.313,48.708,48.819,49.383,50.058,50.832,51.527,52.39,53.482,54.555,55.262,55.596,56.312,56.71,57.497,58.201,58.668,58.682,59.184,59.677
"12","4","            Compensation of general government employees","A194RA3",29.816,28.55,28.657,28.405,28.786,28.601,29.483,30.313,30.604,30.874,30.965,30.568,30.259,31.087,32.162,36.04,37.753,41.507,44.072,44.437,45.288,45.847,45.967,45.511,45.638,45.631,45.607,45.065,44.643,44.474,44.494,44.509,44.325,43.894,44.152,44.376,44.407,44.566,45.096,45.429,45.538,45.799,46.153,45.585,45.35,45.664,46.326,46.534,46.058,46.121,46.312,46.559,47.038,47.915,47.973,48.241,48.761,49.004,49.676,50.752,51.14,51.484,51.72,51.687,52.057,52.623,53.246,53.415,53.838,54.403,54.894,55.326,55.324,55.99,56.827,57.827,58.676,59.775,61.19,62.552,63.37,63.605,64.429,64.783,65.732,66.556,67.042,66.911,67.469,68.067
"13","5","            Consumption of general government fixed capital \2\","A265RA3",20.698,20.517,20.13,19.432,18.591,17.865,17.263,16.801,16.511,16.175,15.894,15.517,15.248,15.032,14.848,14.814,14.81,14.924,15.113,15.424,15.792,16.176,16.562,16.961,17.365,17.747,18.1,18.439,18.836,19.109,19.356,19.537,19.734,19.937,20.088,20.21,20.405,20.592,20.802,20.991,21.25,21.458,21.686,21.921,22.145,22.379,22.633,22.894,23.171,23.458,23.746,24.072,24.401,24.694,25.012,25.32,25.639,25.948,26.257,26.607,27.036,27.369,27.754,28.135,28.504,28.853,29.223,29.612,29.95,30.274,30.601,30.88,31.166,31.481,31.79,32.078,32.416,32.755,33.142,33.567,33.987,34.455,34.889,35.319,35.718,36.122,36.502,36.79,37.132,37.373
"14","6","          Intermediate goods and services purchased \3\","W104RA3",5.372,6.329,5.403,5.289,5.536,6.549,6.882,7.852,7.99,8.88,8.684,8.368,8.83,9.44,7.165,7.753,11.222,11.989,14.498,15.265,16.522,18.558,18.738,19.727,20.72,21.464,20.522,21.13,18.733,17.017,16.114,16.009,16.296,16.882,16.573,15.26,14.609,15.765,13.913,14.926,16.052,15.808,15.702,17.138,15.74,17.66,16.49,17.347,15.609,16.216,16.727,16.697,14.451,14.53,15.325,15.514,14.473,15.211,15.574,15.614,16.874,17.132,18.474,19.037,17.734,16.857,19.247,18.512,18.265,18.068,17.914,17.454,17.759,18.172,19.939,20.84,20.918,22.714,22.889,22.636,25.921,25.987,26.037,26.631,28.372,27.896,27.897,28.799,27.812,28.603
"15","7","            Durable goods","W105RA3",2.743,2.962,4.163,4.027,6.617,6.374,7.007,7.784,7.443,8.422,9.072,8.016,11.543,11.81,13.333,15.044,19.849,26.521,31.677,38.665,44.836,49.82,52.302,55.808,59.327,62.932,53.783,50.498,43.785,44.996,38.893,39.052,36.998,37.765,35.159,31.789,31.569,35.912,31.519,34.153,34.917,37.13,36.076,35.527,36.833,40.289,34.149,35.746,24.86,26.774,27.843,27.485,23.991,23.077,24.068,23.424,19.344,19.769,20.514,20.604,23.922,24.384,24.781,24.321,25.274,24.632,24.363,24.613,22.296,22.085,21.128,21.375,21.658,23.812,22.243,23.526,26.794,32.434,30.717,36.894,32.114,31.394,31.339,31.265,36.462,35.719,36.278,36.527,33.495,31.6
"16","8","            Nondurable goods","W106RA3",5.2,6.724,6.372,5.884,4.749,6.724,7.804,9.388,11.606,12.485,11.488,11.3,10.93,12.756,6.094,7.483,10.43,10.26,10.935,10.629,11.98,14.027,14.003,15.315,21.722,24.337,22.603,22.939,19.402,17.715,17.049,18.789,14.07,17.295,15.935,13.912,11.646,12.003,9.351,10.34,12.173,8.931,8.464,14.369,9.863,14.033,13.152,15.184,16.065,19.627,20.453,19.081,14.021,14.022,14.614,15.866,13.335,14.337,15.284,15.483,16.866,18.652,21.682,22.052,18.827,16.12,20.205,19.004,19.592,19.01,20.063,19.19,20.246,18.079,23.267,24.075,22.491,24.866,22.037,20.974,30.385,31.848,30.8,31.025,35.739,36.077,35.815,36.948,36.157,37.079
"17","9","            Services","W107RA3",5.859,6.576,4.838,4.98,5.573,6.183,5.955,6.55,5.525,6.36,6.472,6.267,6.516,6.415,6.061,5.875,9.152,9.069,11.935,11.892,11.861,13.098,12.816,12.981,10.374,9.37,10.836,12.503,11.863,9.484,9.739,8.489,12.286,11.245,12.109,11.742,11.943,12.757,12.022,12.629,13.428,14.275,14.624,14.038,13.668,13.985,13.903,13.935,13.142,11.78,11.983,12.752,12.319,12.72,13.594,13.452,13.986,14.685,14.642,14.58,15.237,14.665,15.407,16.35,15.427,15.374,17.655,16.882,16.76,16.75,16.218,15.775,15.727,16.942,17.929,18.777,18.855,19.427,21.501,20.094,22.479,22.094,22.665,23.575,23.185,22.406,22.39,23.342,22.754,24.106
"18","10","        Less: Own-account investment \4\","W108RA3",7.808,7.656,7.803,8.123,8.684,9.427,9.964,10.271,9.922,10.239,10.616,10.671,10.507,10.742,11.767,12.048,12.356,13.466,14.387,14.591,15.854,16.511,17.192,17.686,18.35,18.172,18.345,18.237,18.348,18.199,17.895,17.593,17.559,17.566,17.698,17.772,18.352,19.017,19.584,19.348,19.893,20.232,20.587,20.803,20.97,21.242,22.108,23.254,24.908,26.007,26.202,26.106,25.639,26.466,26.504,26.836,28.054,26.817,27.6,29.396,28.805,28.393,30.809,31.625,31.544,32.584,33.575,33.581,34.091,34.814,35.48,36.09,36.229,37.49,38.404,38.809,39.419,40.169,40.173,40.972,41.518,40.616,40.526,40.64,40.868,41.474,41.158,41.925,42.719,43.439
"19","11","        Less: Sales to other sectors \5\","W109RA3",11.018,9.798,6.762,6.736,8.318,6.994,7.002,8.321,7.215,7.48,8.206,7.946,8.161,11.638,8.037,8.015,14.515,8.261,8.232,8.137,8.037,8.823,8.217,8.564,8.676,8.661,8.695,8.843,8.915,10.489,9.326,9.816,11.155,18.256,11.544,11.673,11.213,12.553,11.187,11.42,12.631,13.492,13.889,14.194,13.399,16.623,13.256,14.724,15.258,13.798,14.115,15.159,14.993,14.995,15.025,14.914,15.214,15.847,16.009,16.018,17.174,17.672,17.76,17.976,20.25,18.87,19.696,19.94,21.304,20.633,21.82,22.272,23.044,23.251,24.578,24.806,26.45,27.687,26.639,26.933,27.432,28.004,28.615,28.943,29.535,30.244,30.756,31.34,31.233,31.741
"20","12","Federal consumption expenditures \1\","A957RA3",28.141,28.202,27.39,26.449,26.251,27.198,27.879,28.97,28.999,29.667,28.636,27.352,27.022,27.441,26.118,30.225,34.7,40.591,46.206,47.71,50.573,53.106,54.407,55.188,56.436,57.783,56.282,56.831,53.143,50.316,49.2,48.921,48.202,46.683,48.15,46.424,45.79,46.804,44.98,46.375,47.654,47.109,46.804,47.773,45.555,47.057,46.7,47.372,44.672,45.734,46.303,46.093,43.682,44.112,45.141,45.407,43.991,44.838,46.068,46.952,48.875,49.277,50.837,51.243,49.413,48.945,51.741,50.746,50.032,50.139,49.804,49.067,48.949,49.381,51.386,52.942,53.115,55.626,57.21,57.722,62.459,62.526,62.782,63.354,65.517,65.275,65.074,65.209,63.974,64.728
"21","13","      Gross output of general government","W110RA3",28.256,27.98,26.463,25.571,25.849,26.384,27.035,28.357,27.986,28.602,27.788,26.482,26.164,27.392,25.36,29.232,35.146,39.128,44.463,45.87,48.546,51.175,52.285,53.128,54.393,55.616,54.211,54.699,51.262,48.944,47.511,47.29,46.885,47.173,46.861,45.237,44.545,45.853,43.836,45.146,46.648,46.33,46.12,47.05,44.697,46.821,45.689,46.68,44.23,44.927,45.518,45.578,43.17,43.619,44.575,44.816,43.516,44.354,45.487,46.307,48.181,48.661,50.172,50.587,49.159,48.432,51.261,50.267,49.892,49.734,49.639,48.978,48.921,49.348,51.47,52.879,53.396,55.934,57.09,57.547,61.966,62.009,62.312,62.754,64.745,64.531,64.377,64.631,63.432,64.297
"22","14","        Value added","W111RA3",47.746,45.43,44.878,43.465,43.017,41.851,42.249,42.594,42.203,41.7,41.03,39.627,38.74,39.662,41.003,46.777,49.205,54.863,58.795,59.49,61.106,62.262,62.664,62.131,62.512,62.625,62.608,61.802,61.291,61.044,61.019,60.837,60.502,59.697,59.736,59.686,59.607,59.333,59.811,60.027,60.201,60.428,60.653,59.388,58.825,58.872,59.57,59.691,59.046,59.174,59.372,59.671,60.182,61.305,61.075,61.294,61.68,62.149,63.014,64.799,65.732,66.079,66.235,65.979,66.39,67.097,67.645,67.693,67.846,68.351,68.887,68.956,68.713,69.028,69.713,70.79,71.948,73.298,75.23,76.955,78.79,79.079,79.907,80.023,80.667,81.662,82.004,81.249,81.712,82.238
"23","15","          Compensation of general government employees","B568RA3",65.096,60.184,59.906,58.438,59.848,59.119,61.996,64.375,64.351,64.179,63.431,61.167,59.861,62.811,66.714,81.279,87.468,101.398,110.839,111.694,114.706,116.511,116.418,113.939,113.751,112.963,111.952,109.035,106.697,105.401,104.747,103.903,102.642,100.227,100.046,99.719,99.105,98.04,98.765,98.913,98.752,98.885,98.963,95.343,93.534,93.196,94.371,94.134,92.007,91.718,91.598,91.622,92.149,94.24,93.028,92.927,93.192,93.686,95.118,98.636,99.929,100.078,99.644,98.255,98.49,99.484,100.056,99.422,99.182,99.799,100.481,100.215,99.224,99.452,100.541,102.566,104.663,107.184,110.903,114.079,117.519,117.386,118.537,118.114,118.936,120.523,120.722,118.717,119.259,120.146
"24","16","          Consumption of general government fixed capital \2\","B995RA3",28.019,27.727,27.11,26.002,24.661,23.491,22.512,21.748,21.254,20.687,20.203,19.567,19.101,18.719,18.385,18.281,18.221,18.347,18.593,19.031,19.561,20.115,20.672,21.249,21.829,22.372,22.865,23.33,23.88,24.234,24.544,24.746,24.972,25.207,25.361,25.471,25.694,25.901,26.143,26.347,26.659,26.889,27.146,27.412,27.657,27.918,28.212,28.515,28.845,29.188,29.533,29.938,30.344,30.695,31.084,31.455,31.843,32.213,32.584,33.017,33.568,33.97,34.45,34.92,35.368,35.78,36.22,36.685,37.065,37.421,37.78,38.061,38.351,38.682,39,39.282,39.638,39.992,40.417,40.897,41.367,41.91,42.402,42.888,43.328,43.776,44.186,44.455,44.81,45.007
"25","17","        Intermediate goods and services purchased \3\","W113RA3",5.234,7.324,4.937,4.696,5.678,7.82,8.678,10.803,10.502,12.142,11.272,10.198,10.48,11.849,6.788,8.375,16.991,18.788,24.615,26.432,29.82,33.664,35.382,37.51,39.489,41.669,39.012,40.731,34.812,30.716,28.06,27.836,27.426,28.761,28.137,25.146,23.928,26.669,22.359,24.622,27.282,26.456,25.835,28.899,24.962,29.045,26.073,27.89,23.648,24.935,25.954,25.758,20.067,19.682,22.003,22.244,19.031,20.235,21.613,21.237,24.121,24.744,27.733,28.919,25.383,23.006,28.412,26.209,25.23,24.275,23.428,21.925,22.091,22.625,26.378,28.084,27.775,31.64,31.762,30.694,37.885,37.651,37.325,38.123,41.609,39.937,39.182,40.661,37.485,38.719
"26","18","          Durable goods","W114RA3",3.063,3.327,5.093,4.876,8.476,8.133,9.178,10.416,9.919,11.266,12.095,10.387,15.893,16.33,18.742,21.455,28.649,38.914,46.833,57.628,66.972,74.631,78.46,83.836,89.227,94.756,80.633,75.53,65.044,66.946,57.477,57.695,54.654,55.758,51.787,46.651,46.097,52.703,45.9,49.9,50.773,54.052,52.326,51.389,53.607,58.845,49.404,51.768,34.876,37.8,39.364,38.816,33.404,31.921,33.432,32.401,26,26.706,27.774,27.877,32.803,33.562,34.041,33.268,34.589,33.669,33.191,33.475,29.847,29.47,27.885,28.155,28.323,31.596,29.023,30.889,35.845,44.423,41.691,51.131,43.575,42.501,42.455,42.249,49.858,48.34,48.871,49.008,44.155,40.968
"27","19","          Nondurable goods","W115RA3",3.658,9.28,7.73,6.332,2.924,10.246,14.695,20.744,27.697,29.404,24.318,22.967,20.193,28.441,0.638,6.972,20.906,21.524,25.346,24.347,30.538,36.514,39.474,44.586,73.18,86.657,77.932,80.085,63.951,56.177,51.525,59.163,35.827,49.564,43.813,35.227,26.831,28.699,16.84,20.983,30.105,14.945,11.597,37.048,14.611,31.788,26.571,34.782,33.903,49.197,52.288,45.792,22.185,21.737,24.139,29.249,16.629,20.262,24.193,24.617,30.919,39.281,52.747,54.02,37.865,24.377,43.383,36.751,38.829,34.438,38.241,33.203,36.861,25.578,49.946,53.343,44.552,55.34,41.622,35.555,79.917,86.519,80.621,80.051,101.659,101.876,98.747,102.068,96.611,99.916
"28","20","          Services","W116RA3",6.274,7.616,3.847,4.091,5.587,6.568,6.311,7.515,4.965,6.54,6.537,5.852,5.598,5.303,4.627,4.248,10.966,10.922,16.771,16.729,17.12,18.838,19.339,19.523,13.74,11.966,14.622,18.382,16.755,11.749,11.919,9.356,16.23,14.124,16.008,15.277,15.839,17.55,16.081,17.263,18.832,20.39,20.878,19.497,18.07,18.554,18.327,18.424,17.951,14.657,15.008,16.684,15.405,15.49,18.356,17.836,18.212,19.067,19.989,19.15,20.493,19.163,20.695,22.743,20.248,19.755,24.554,22.299,21.594,21.147,19.475,18.06,17.413,19.632,21.316,22.634,22.287,23.07,27.21,23.687,28.27,26.947,27.635,29.018,27.711,25.583,24.85,26.41,24.21,26.467
"29","21","      Less: Own-account investment \4\","W117RA3",9.873,9.652,9.688,10.036,10.937,11.713,12.376,12.741,11.722,11.583,11.936,11.995,11.905,12.258,13.862,14.07,14.551,15.934,17.575,18.135,18.927,20.158,21.461,22.293,23.952,23.789,23.736,23.205,23.492,23.088,22.416,21.901,22.115,21.96,22.144,22.245,22.485,23.418,24.454,24.011,24.809,25.459,26.262,26.463,26.373,26.828,27.898,29.637,29.473,30.985,31.213,31.735,31.476,32.486,32.458,33.391,34.237,34.097,34.396,35.409,35.007,36.229,37.682,38.562,36.988,39.888,41.685,41.581,42.545,43.295,44.342,45.591,45.933,47.858,48.602,48.922,49.83,50.468,51.035,52.167,51.942,51.68,52.045,51.765,51.277,50.98,51.327,52.687,54.018,55.272
"30","22","      Less: Sales to other sectors","W118RA3",117.285,89.655,24.401,22.441,56.492,23.523,21.959,45.543,15.762,15.185,26.724,17.276,17.117,89.979,12.512,13.211,158.881,21.126,19.844,17.06,13.15,29.305,14.112,19.863,20.034,17.365,17.683,18.133,18.402,48.787,17.594,24.551,48.384,202.827,47.989,47.315,37.211,65.857,32.807,35.009,58.771,73.532,76.934,77.94,53.394,117.775,37.214,62.913,71.889,35.879,40.272,61.675,49.427,48.711,48.012,42.357,40.852,45.717,42.155,36.054,44.902,48.551,45.574,44.343,81.143,37.602,48.362,43.021,67.275,37.979,54.422,51.29,54.922,47.174,67.259,59.867,91.72,105.962,68.428,60.029,56.011,55.107,59.735,51.113,48.294,51.167,53.139,59.439,50.331,59.149
"31","23","    Defense consumption expenditures \1\","A997RA3",35.832,33.91,34.23,34.877,33.509,32.196,32.053,32.909,33.058,32.976,32.766,31.077,31.221,31.6,33.103,38.261,46.326,54.699,63.325,65.604,68.922,73.276,74.577,75.693,76.288,75.564,75.084,75.712,69.27,66.597,65.263,62.965,63.443,60.471,62.264,60.456,60.037,61.686,60.485,61.93,62.845,64.229,64.217,63.511,62.817,63.196,62.883,62.465,57.63,56.423,57.209,57.416,56.562,57.047,58.402,57.927,57.834,57.869,59.464,60.898,63.382,63.152,64.214,65.131,63.365,63.212,65.522,64.908,63.524,63.059,63.215,62.278,61.779,62.402,64.376,67.24,68.413,71.323,74.467,76.06,80.411,81.554,82.364,82.456,85.886,86.249,84.769,84.771,82.217,83.022
"32","24","      Gross output of general government","W085RA3",34.698,32.842,33.141,33.766,32.636,31.441,31.331,32.135,32.162,32.076,31.847,30.226,30.337,30.722,32.162,37.099,47.125,52.737,61.004,63.228,66.397,70.583,71.92,73.05,73.73,73.083,72.628,73.208,67.133,64.609,63.298,61.102,61.944,59.113,60.857,59.166,58.62,60.439,59.103,60.512,61.495,62.775,63.008,62.338,61.731,62.209,61.597,61.745,56.683,55.64,56.417,56.709,55.937,56.428,57.668,57.176,57.081,57.253,58.617,59.96,62.337,62.273,63.216,64.096,62.133,62.202,64.436,63.795,62.54,62.056,62.273,61.451,60.908,61.544,63.636,66.235,67.684,70.806,73.344,74.821,78.729,79.974,80.408,80.54,83.788,84.167,82.765,82.901,80.492,81.374
"33","25","        Value added","W086RA3",62.633,58.696,58.579,59.601,55.546,53.398,53.648,53.995,54.079,53.199,52.269,50.622,49.048,49.441,50.911,58.495,64.785,72.959,79.762,81.649,83.842,85.546,86.068,85.329,86.378,86.844,87.194,86.128,85.431,84.895,85.133,84.526,84.063,82.856,82.635,82.553,82.287,81.955,82.554,82.706,82.802,83.005,83.394,81.723,80.255,80.255,81.097,81.251,80.341,80.424,80.633,81.055,81.161,82.253,82.271,82.658,82.999,83.462,84.526,87.272,88.468,88.672,88.531,88.068,87.989,88.775,89.356,89.383,89.266,89.691,90.243,90.151,89.572,89.718,90.281,91.728,93.479,95.072,97.39,99.713,102.452,102.373,103.139,103.356,103.877,105.046,105.35,104.261,104.451,105.087
"34","26","          Compensation of general government employees","B237RA3",77.084,68.826,70.288,76.303,69.824,67.889,71.444,74.751,76.484,76.05,75.252,73.042,70.63,72.779,77.368,96.839,113.075,133.668,150.498,153.984,157.96,160.599,160.194,156.482,157.339,156.834,156.228,152.029,148.572,146.085,145.733,143.531,141.682,137.976,137.009,136.445,135.154,133.742,134.561,134.389,133.72,133.607,133.922,128.975,124.753,124.089,125.434,125.048,122.028,121.328,120.993,121.025,120.239,122.094,121.148,121.248,121.246,121.537,123.246,129.026,130.599,130.253,128.879,126.768,125.774,126.953,127.594,126.92,126.106,126.643,127.53,127.078,125.547,125.62,126.736,129.977,133.819,137.171,141.99,146.778,152.475,151.549,152.675,152.543,153.239,155.363,155.649,153.098,153.255,154.691
"35","27","          Consumption of general government fixed capital \2\","B432RA3",42.47,42.035,40.999,39.24,37.117,35.205,33.621,32.343,31.555,30.612,29.788,28.762,27.95,27.29,26.753,26.492,26.358,26.507,26.855,27.522,28.339,29.198,30.063,30.967,31.881,32.723,33.47,34.209,35.056,35.624,36.112,36.445,36.79,37.143,37.367,37.556,37.877,38.175,38.535,38.823,39.291,39.617,39.969,40.345,40.648,41.021,41.432,41.856,42.289,42.796,43.273,43.839,44.432,44.897,45.46,45.944,46.42,46.898,47.403,47.932,48.698,49.179,49.767,50.332,50.803,51.228,51.676,52.118,52.449,52.737,52.994,53.145,53.261,53.436,53.567,53.633,53.75,53.949,54.264,54.606,54.982,55.475,55.894,56.323,56.66,57.019,57.303,57.397,57.591,57.577
"36","28","        Intermediate goods and services purchased \3\","W087RA3",3.335,3.961,4.802,5,7.082,6.957,6.482,7.736,7.715,8.491,9.026,7.398,9.367,9.725,11.117,13.123,26.292,29.07,38.234,40.621,44.519,51.072,53.166,56.175,56.466,54.693,53.401,55.633,44.389,39.96,37.139,33.48,35.6,31.301,34.961,31.747,30.949,34.823,31.586,34.199,36.021,38.314,38.386,38.806,39.157,40.12,37.96,38.054,28.491,26.145,27.562,27.709,25.914,25.679,28.379,26.857,26.241,26.064,27.768,27.465,31.199,30.853,33.017,35.469,31.319,30.549,34.715,33.275,30.708,29.142,28.965,27.277,26.775,28.003,31.916,35.827,36.878,41.857,44.634,45.112,50.326,53.091,53.142,53.171,59.624,59.06,55.621,57.228,51.674,52.856
"37","29","          Durable goods","A998RA3",2.824,2.962,5.441,5.352,8.831,8.716,9.734,11.09,10.495,12.256,13.184,11.23,17.594,18.1,20.839,24.121,32.024,43.616,52.84,64.947,75.242,84.276,88.581,94.775,100.952,107.048,90.784,85.029,73.233,75.456,64.754,65.04,61.558,62.537,58.502,52.656,51.834,59.292,51.571,56.177,57.134,60.784,58.868,57.912,60.575,66.346,55.81,58.395,39.185,42.486,44.329,43.627,37.632,35.965,37.621,36.423,29.143,29.919,30.984,31.117,36.668,37.603,38.01,37.21,38.633,37.687,36.984,37.323,33.032,32.605,30.793,31.06,31.288,34.965,31.969,34.165,39.775,49.384,46.341,57.271,48.368,47.516,47.314,46.994,55.962,54.383,54.93,55.059,49.486,45.865
