"","Table 5#4#5# Private Fixed Investment in Structures by Type     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","    Office \1\","W031RC1",4.1,4.3,5.2,5.4,6.2,6.5,5.4,5.4,6,7.8,11.2,15.7,20.5,26.8,24.7,31.1,38,34.9,32.5,34.2,34.6,33,26.2,22.2,23,24.6,28.3,30.9,37.7,46.4,51.8,60.2,57.2,40.6,35.1,37.8,42.8,52.5,61.9,63.8,42.8,28,27.3,31.5,34.2
"12","5","    Health care","W032RC1",2.7,3.2,3.7,4.1,4.3,4.5,4.4,4.7,4.8,5.2,5.9,7.3,9.1,12.5,13.4,13.9,13.9,13.3,13.8,15.7,15.9,16.9,15.4,15.4,16.7,16.6,15.9,16.8,19.6,20,20.7,21.9,22,25.2,27.3,29.6,32.1,36,40.1,43.3,39.7,33.3,32.5,35.4,34.2
"13","6","      Hospitals and special care","C311RC1",2.2,2.6,3.1,3.5,3.6,3.7,3.8,4.1,4.1,4.3,4.6,5.4,6.6,9.2,10.4,10.2,9.3,9.1,9.9,11.6,11.8,13,12.2,12.8,13.9,13.7,12.5,13.1,15.1,15.4,15.2,16.2,16.7,19.7,20.4,21,23,28,31.1,32.9,31.3,27.3,26.4,28.2,26.2
"14","7","        Hospitals","W033RC1",1.8,2.1,2.5,2.8,2.9,3,3.1,3.3,3.3,3.4,3.7,4.4,5.3,7.4,8.4,8.2,7.5,7.4,8,9.4,9.5,10.5,9.8,10.3,11.2,11.2,9.9,9.4,11.2,10.7,10.7,11.5,12.7,15.7,17.1,18.2,20.5,24.7,27.6,28.8,27.8,24.2,23.1,23.9,22.3
"15","8","        Special care","W034RC1",0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1,1.3,1.8,2,2,1.8,1.8,1.9,2.3,2.3,2.5,2.4,2.5,2.7,2.4,2.7,3.8,3.9,4.7,4.5,4.7,4,4,3.3,2.8,2.5,3.3,3.5,4.1,3.4,3.1,3.4,4.3,3.9
"16","9","      Medical buildings","W035RC1",0.5,0.5,0.6,0.6,0.7,0.8,0.6,0.6,0.7,0.9,1.3,1.9,2.5,3.3,3,3.8,4.6,4.2,3.9,4.1,4.1,3.9,3.2,2.6,2.7,2.9,3.3,3.6,4.5,4.6,5.5,5.7,5.2,5.5,6.8,8.6,9,8.1,9,10.4,8.5,5.9,6.1,7.2,8
"17","10","    Multimerchandise shopping","W036RC1",1.8,1.9,2.2,3,3.4,3.6,2.9,2.9,3.5,4.5,6,6.5,6.8,6,6.4,9.3,11.7,11.9,12.6,13.2,13.7,13.7,9.9,9.8,10.9,11.4,11.2,12.7,11.5,12.7,14.8,14.6,16.2,15.6,15.4,18.8,22.8,29.2,34.8,32,18.4,12.5,13.4,14.9,16.2
"18","11","    Food and beverage establishments","W037RC1",1,1,1.2,1.6,1.9,1.9,1.5,1.6,1.9,2.4,3.2,3.5,3.6,3.2,3.5,5,6.3,6.4,6.8,7.2,7.4,7.4,5.4,5.3,5.9,5.7,6.7,7.1,8.1,8.7,8,8.6,8.7,7.9,8.4,8.2,7.8,7.4,8,8,4.9,4.6,5.3,5.8,6.6
"19","12","    Warehouses","W038RC1",0.8,0.8,1,1.3,1.5,1.6,1.3,1.3,1.6,2,2.7,3,3,2.7,2.9,4.2,5.3,5.4,5.7,6,6.2,6.2,4.5,4.4,4.9,5.9,8.7,10.9,11.9,12.2,13.3,14.5,15.5,11.9,12.3,12.1,12.8,14.5,16.9,16.7,9.7,5.7,6.5,7,8.7
"20","13","    Other commercial \2\","W039RC1",1.3,1.4,1.6,2.1,2.5,2.6,2.1,2.2,2.6,3.4,4.5,5,5.2,4.6,4.9,7.1,8.9,9,9.5,10,10.4,10.4,7.6,7.4,8.1,11.3,12.2,13.1,15.4,15.9,16.9,19.5,17.8,18.3,16.5,18.8,17.6,16.7,20.2,18.1,11.1,8,8.2,9,9.8
"21","14","  Manufacturing","C307RC1",6.8,7,6.3,5.9,7.9,10,10.6,10.1,11.1,16.2,22,20.5,25.4,26.1,19.5,20.9,24.1,21,21.2,23.2,28.8,33.6,31.4,29,23.6,28.9,35.5,38.2,37.6,40.5,35.1,37.6,37.8,22.7,21.4,23.2,28.4,32.3,40.2,52.8,56.3,39.8,39,45.8,46.3
"22","15","  Power and communication","W003RC1",8.7,10.2,11,12.1,13.8,15.1,15.7,18.2,19.3,21.4,24.6,27.3,30,29.6,25.8,26.5,26.5,28.3,25.4,25,27.5,26.3,31.6,33.9,33.2,31.2,33.1,29.2,28.8,34.2,40.4,48.1,51.1,51,48.1,43.1,48.1,55.8,81.6,95.6,95.8,83.8,81.8,102.3,95.6
"23","16","    Power","W028RC1",6.5,7.3,8,8.8,9.9,10.8,11.9,14.2,14.8,15.8,17.7,19.6,21.8,21.1,18.2,18.5,18.3,19.3,16.2,15.5,17.9,16.5,22.6,24.9,23.6,21,22,17.4,16.4,21.7,22,29.3,31.5,32.6,33.6,27.6,29.2,33.7,54.1,69.2,76.1,66.1,64.3,86.4,78.5
"24","17","      Electric","C571RC1",4.5,5.3,6,6.7,7.6,8.1,8.3,9.8,11.7,13,14.3,15.3,17,17.1,15.3,15.5,14.6,15.8,12.7,11.4,13.1,11.3,16.3,17.1,16.9,15.4,14.8,11.7,11.4,13.1,15.6,23.5,25.5,25.3,26.2,20.9,22.7,26.3,41.5,52.8,60.4,49,50.3,69,54.8
"25","18","      Other power","W029RC1",2,1.9,2,2.1,2.3,2.7,3.5,4.5,3,2.8,3.4,4.2,4.8,4.1,2.9,3,3.7,3.5,3.6,4,4.7,5.2,6.3,7.8,6.6,5.7,7.2,5.7,5,8.6,6.4,5.9,6,7.3,7.4,6.7,6.5,7.4,12.7,16.4,15.7,17.1,14,17.4,23.8
"26","19","    Communication","C314RC1",2.2,2.9,3,3.3,3.9,4.2,3.8,3.9,4.5,5.6,6.9,7.7,8.2,8.5,7.6,8,8.3,9,9.2,9.6,9.6,9.8,9,9,9.6,10.1,11.1,11.8,12.4,12.5,18.4,18.8,19.6,18.4,14.5,15.5,18.8,22.2,27.5,26.3,19.7,17.7,17.5,15.9,17.1
"27","20","  Mining exploration, shafts, and wells","E318RC1",2.8,2.8,2.7,3.1,3.5,5.2,7.4,8.6,11.5,15.4,19,27.4,42.5,44.8,30,31.3,27.9,15.7,13.1,15.7,14.9,17.9,18.5,14.2,16.6,16.4,15,16.8,22.4,22.3,18.3,23.7,34.6,30.2,38.5,47.3,69.4,96,102.2,117,75,86.2,112.3,133.1,139.7
"28","21","    Petroleum and natural gas","C319RC1",2.5,2.5,2.3,2.7,3,4.5,6.5,7.5,10.1,14.1,17.7,25.6,40,42.7,28.5,29.6,26.3,14.6,12.3,14.9,13.9,16.8,17.2,12.9,15.3,14.6,13.8,15.3,21,21.2,17.3,22.4,33.3,28,36.4,43.7,64.4,88,94.9,110.1,69.4,79.6,101.5,122.6,130.1
"29","22","    Mining","C320RC1",0.3,0.3,0.3,0.4,0.5,0.7,0.9,1.1,1.4,1.3,1.4,1.8,2.5,2.1,1.5,1.7,1.7,1.1,0.8,0.9,1,1.1,1.3,1.3,1.3,1.8,1.3,1.5,1.4,1.1,1,1.3,1.3,2.3,2.1,3.6,5,8,7.4,6.9,5.6,6.6,10.8,10.5,9.6
"30","23","  Other structures","W004RC1",7.8,7.8,7.9,8.6,9.9,10.3,10.1,11,12.5,15.2,18.5,20,21.2,21.3,23.3,28.1,31.8,30.7,33.7,32.5,34.3,37.6,33.2,31,34.5,34.9,40.6,48.9,57.2,62.2,64.7,69.4,68.9,59.5,58.8,62.9,63.9,75.1,91.1,105.2,84.5,60.3,55.4,62,65.9
"31","24","    Religious","C309RC1",1,0.9,0.8,0.9,0.8,0.9,0.9,1,1.1,1.4,1.7,1.9,2,1.9,2.3,2.7,3.1,3.5,3.7,3.9,4.3,4.1,3.8,3.4,3.8,3.8,4.2,4.4,5.6,6.5,7.2,7.9,8.3,8.3,8.6,8.2,7.7,7.7,7.5,7.2,6.2,5.2,4.2,3.8,3.7
"32","25","    Educational and vocational","W044RC1",1.1,0.9,1,1.1,1,0.7,0.7,0.7,0.7,0.9,1.1,1.6,1.7,1.9,2.1,2.3,2.7,3.2,4.7,3.8,4.3,4.8,4.9,5.1,5.3,5.5,6.2,7.6,9.8,10.9,10.4,12.7,13.8,14.2,14.3,13.6,13.9,14.6,17.1,18.4,17.9,14.6,14.8,17.1,16.1
"33","26","    Lodging","W045RC1",1.3,1.3,1.4,2,2.3,1.7,1.1,0.9,1,1.4,2.5,3.5,4.4,4.5,5.7,7.4,8.1,8.3,8.5,7.9,8.9,10.8,7.5,4.6,5.7,5.8,8.8,13.5,16,18.3,19.8,20.2,18,13,12.3,14.8,15.7,21.8,34,43.8,31.4,13.9,10.4,12.6,16.3
"34","27","    Amusement and recreation","W046RC1",1,1.1,1.1,1.2,1.3,1.3,1.3,1.5,1.7,2.1,2.5,2.9,3.1,3.7,4.2,5.4,6.7,6.3,6.9,7.5,6.8,7.3,6.9,6.9,7.6,8,8.5,9.3,10.2,10.3,11.5,10.5,9.4,9,9.3,10.1,9,11.2,12.2,12.6,10.1,7.8,8.1,7.5,8.7
"35","28","    Transportation","W047RC1",1.1,1,1.1,1.2,1.3,1.6,1.6,2,2.4,2.9,3.2,3.2,3.4,3.3,3.4,4.1,4.7,3.6,3.2,3.2,3.4,3.4,3.1,3.6,3.9,4.2,4.4,5.4,6.1,7.2,6.5,6.8,7,6.8,6.6,6.8,7.1,8.7,9,9.9,9.1,9.9,9.5,10.9,11
"36","29","      Air","W048RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.6,0.7,0.7,0.8,1,1,1.2,1.3,2,2.2,1.4,1.1,1,0.9,0.9,1,0.9,0.6,0.4,0.6,1.1,1.1
"37","30","      Land \3\","W049RC1",1,0.9,1,1.1,1.2,1.5,1.4,1.9,2.2,2.7,2.9,3,3.1,3,3,3.6,4.2,3,2.6,2.5,2.8,2.7,2.5,3,3.2,3.5,3.6,4.5,5.1,6,5.1,4.9,4.9,5.3,5.5,5.8,6.2,7.8,8,9,8.5,9.5,8.9,9.8,9.9
"38","31","    Farm","C316RC1",1.7,1.9,1.9,1.8,2.5,3.2,3.7,4,4.4,5.2,5.8,5.2,4.7,3.8,3.3,3.3,2.3,2.1,2.6,2.4,2.5,2.8,2.8,2.4,3.4,3.2,3,3.7,3.8,4.3,5.1,6,5.1,5.6,5.1,5.5,5.9,5.8,6.3,8.2,6.6,6,5.4,7,7
"39","32","    Other \4\","W050RC1",0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,1,1.1,1.4,1.5,1.7,1.9,2.2,2.8,4,3.4,3.9,3.3,3.6,4.3,4.3,5.1,4.7,4.3,5,4.3,3.8,3.9,3.5,4.3,3.3,2.4,2.7,3.3,3.1,4,4.4,4.3,3,3.3,3.2,2.8,2.9
"40","33","    Brokers' commissions on sale of structures","C321RC1",0.3,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,1,1.1,1.1,1.3,1.4,1.5,1.3,1.3,1.3,1.4,1.6,1.8,2,2.2,2.3,2.4,2.4,2.1,2,2.1,2.3,2.7,3.4,3.7,3.1,2.4,2.3,2.7,2.8
"41","34","    Net purchases of used structures","E322RC1",-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.2,-0.3,-0.4,-0.5,-0.4,-0.6,-0.7,-0.7,-0.8,-0.9,-0.8,-1.1,-1.4,-1.4,-1.4,-1.3,-1.2,-1.3,-1.1,-0.2,-1.3,-1.5,-1.5,1.6,-1.8,-2.1,-1.5,-0.8,-1.4,-2.9,-3,-2.9,-2.8,-2.5,-2.4,-2.5
"42","35","Residential","A012RC1",43.4,42.3,56.9,70.9,76.6,67.6,64.8,84.6,112.8,135.3,144.7,126.1,124.9,107.2,156.9,185.6,195,229.3,244,250.1,249.9,233.7,215.4,248.8,280.7,317.6,317.7,351.7,369.3,412.1,454.5,477.7,505.2,549.6,628.7,740.7,846.4,827.4,678.8,506.5,383.9,372.7,377.5,433.5,510.8
"43","36","  Permanent site","A943RC1",29.2,27.1,38.7,50.1,54.6,43.4,36.3,50.8,72.2,85.6,89.3,69.6,69.4,57,95,114.6,115.9,135.2,142.7,142.4,143.2,132.1,114.6,135.1,150.9,176.4,171.4,191.1,198.1,224,251.3,265,279.4,298.8,345.7,417.5,480.8,468.8,354.1,230.1,133.9,127.3,123.2,154.5,203.1
"44","37","    Single-family structures","A944RC1",19.7,17.5,25.8,32.8,35.2,29.7,29.6,43.9,62.2,72.8,72.3,52.9,52,41.5,72.5,86.4,87.4,104.1,117.2,120.1,120.9,112.9,99.4,122,140.1,162.3,153.5,170.8,175.2,199.4,223.8,236.8,249.1,265.9,310.6,377.6,433.5,416,305.2,185.8,105.3,112.6,108.2,132,170.8
"45","38","    Multifamily structures","C292RC1",9.5,9.5,12.9,17.2,19.4,13.7,6.7,6.9,10,12.8,17,16.7,17.5,15.5,22.4,28.2,28.5,31,25.5,22.3,22.3,19.3,15.1,13.1,10.8,14.1,17.9,20.3,22.9,24.6,27.4,28.3,30.3,33,35.1,39.9,47.3,52.8,49,44.3,28.5,14.7,15,22.5,32.3
"46","39","  Other structures","A863RC1",14.1,15.2,18.2,20.8,22,24.2,28.5,33.9,40.6,49.7,55.4,56.5,55.4,50.2,61.9,71,79.1,94.1,101.3,107.7,106.6,101.5,100.8,113.8,129.8,141.2,146.3,160.6,171.3,188.2,203.2,212.7,225.8,250.7,283,323.2,365.6,358.6,324.7,276.4,250.1,245.5,254.2,279,307.7
"47","40","    Manufactured homes","A945RC1",2.3,2.3,3.2,3.9,4.4,3.3,2.5,3.2,4.2,4.7,5.1,4.6,4.9,4.8,6.3,6.3,6.1,5.3,5.3,5.2,5.1,4.9,4.4,5.5,7.3,9.6,11.6,13.2,13.9,14.7,14.3,11,9,9.5,8.5,9.6,12.3,10.7,9.4,7.9,4.7,4.7,4.7,5.1,5.7
"48","41","    Dormitories","C295RC1",0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.6,0.6,0.7,0.8,0.3,0.3,0.5,0.3,0.5,0.6,0.8,1,1.3,1.4,1.6,1.5,1.8,1.7,1.5,2.1,2.9,3.8,2.5,1.7,2.2,2.9,3.8
"49","42","    Improvements","A946RC1",8.2,9,10.1,10.9,10.8,13.2,16.4,19,21.8,26.6,30.2,34.1,34.6,31.6,34.3,40,43.8,54,58.1,60.8,61,57.9,56.9,63.8,74,78.9,81.3,87,91,93.8,101.2,109,115.9,125.9,137.2,150.1,164.3,173.6,171.6,160.9,151.7,151.3,157.9,166.2,173.4
"50","43","    Brokers' commissions and other ownership transfer costs \5\","A758RC1",4,4.6,5.9,7,7.7,8.4,9.8,11.9,15.1,19,20.5,18.3,16.5,14.3,21.7,25.2,30.1,36.8,39.6,42.1,41.2,39.6,40.8,45.5,50,53.5,54.2,61.5,68.1,81.8,89.8,92.7,101.2,117.1,139.1,164.7,188.9,174.8,144.7,108.9,95.2,92.8,92.1,107.4,127.4
"51","44","    Net purchases of used structures","A759RC1",-0.8,-0.9,-1.1,-1.1,-1.1,-0.9,-0.4,-0.4,-0.5,-0.7,-0.5,-0.7,-0.8,-0.8,-0.7,-1,-1.3,-2.3,-2.3,-1,-1.3,-1.6,-1.5,-1.5,-2,-1,-1.2,-1.7,-2.4,-3.1,-3.4,-1.4,-1.8,-3.4,-3.6,-2.9,-1.4,-2.6,-4,-5.1,-4,-5,-2.6,-2.6,-2.6
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures","W040RC1",77.6,78.8,94.8,112.2,124.9,121.2,116.6,139,172.6,210.2,242.1,244.4,276.4,271.1,290.1,338.6,360.4,371.1,380.6,391.3,403.3,398.4,359.7,377.5,409.9,451.7,471.7,515.8,552.1,607.7,651.2,703.6,731.6,718.5,775.1,880.1,1003.1,1069.5,1034.5,954.4,730.8,647.4,669.8,775.3,842.9
"54","46","    Nonresidential structures \6\","A771RC1",37.5,40.2,42.7,47.2,54.9,61.1,61.2,65.8,74.3,93.2,117.4,136,167.2,177.4,154.3,177.2,194.2,176.3,173.9,182.3,193.3,202.8,183.7,172.7,177.1,186.6,206.9,223.9,248.5,274.3,283.2,317.2,325.8,282.6,281.9,301.2,344.2,414.3,496.5,551.7,438,362.5,381.8,446.6,456.9
"55","47","    Residential structures \7\","A756RC1",40.1,38.6,52.1,65,70,60.1,55.4,73.1,98.2,117,124.7,108.5,109.2,93.7,135.8,161.4,166.2,194.9,206.7,209,210,195.6,176.1,204.8,232.8,265.2,264.8,291.9,303.7,333.4,368.1,386.4,405.8,435.8,493.2,578.9,658.9,655.2,538.1,402.7,292.8,284.9,288,328.7,386
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Consists of brokers' commissions on the sale of residential structures and adjoining land, title insurance,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","state and local documentary stamp taxes, attorney fees, title abstract and escrow fees, and fees for surveys and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","engineering services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","7. Excludes net purchases of used structures and brokers' commissions and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
