"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19",NA,"      Current receipts"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","Budget receipts","M318011","187,792.0","193,743.0","188,392.0","208,649.0","232,225.0","264,932.0","280,997.0","300,005.0","356,861.0","401,997.0","465,940.0","520,050.0","602,612.0","617,766.0","600,558.0","663,620.0","733,729.0","768,766.0","853,808.0","908,353.0","990,703.0","1,031,309.0","1,054,265.0","1,090,454.0","1,154,471.0","1,258,721.0","1,351,932.0","1,453,177.0","1,579,423.0","1,721,955.0","1,827,645.0","2,025,457.0","1,991,426.0","1,853,395.0","1,782,532.0","1,880,279.0","2,153,859.0","2,407,254.0","2,568,001.0","2,523,991.0","2,104,989.0","2,162,724.0"
"21","2","Less: Coverage differences","M318021","5,055.0","5,531.0","5,585.0","7,802.0","7,255.0","7,329.0","7,397.0","8,325.0","10,549.0","8,607.0","8,979.0","10,129.0","11,193.0","12,820.0","9,764.0","9,974.0","11,479.0","12,576.0","12,138.0","12,510.0","13,598.0","16,257.0","15,796.0","16,182.0","17,357.0","19,999.0","19,321.0","22,682.0","25,327.0","31,197.0","36,130.0","38,494.0","37,539.0","36,580.0","32,030.0","35,843.0","36,157.0","39,476.0","37,578.0","40,501.0","35,257.0","30,631.0"
"22","3","        Contributions received by federal employee retirement plans \1\","M318041","1,450.0","1,766.0","1,953.0","2,098.0","2,187.0","2,347.0","2,565.0","2,815.0","2,969.0","3,237.0","3,494.0","3,719.0","3,985.0","4,212.0","4,436.0","4,580.0","4,759.0","4,741.0","4,715.0","4,634.0","4,510.0","4,522.0","4,562.0","4,788.0","4,805.0","4,661.0","4,550.0","4,469.0","4,418.0","4,335.0","4,472.0","4,763.0","4,713.0","4,594.0","4,631.0","4,596.0","4,459.0","4,358.0","4,258.0","4,165.0","4,142.0","4,077.0"
"23","4","        Capital transfers received \2\","M318051","3,484.0","3,640.0","3,729.0","5,425.0","4,910.0","5,027.0","4,602.0","5,205.0","7,317.0","5,232.0","5,347.0","6,317.0","6,726.0","7,788.0","5,933.0","5,846.0","6,270.0","6,791.0","7,308.0","7,292.0","8,603.0","11,328.0","10,973.0","11,002.0","12,343.0","15,078.0","14,569.0","17,062.0","19,683.0","23,894.0","27,643.0","28,829.0","28,223.0","26,352.0","21,735.0","24,679.0","24,550.0","27,706.0","25,845.0","28,604.0","23,300.0","18,253.0"
"24","5","        Financial transactions","M318061","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"25","6","        Other \3\","M318071","105.0","125.0","-97.0","279.0","158.0","-45.0","230.0","305.0","263.0","138.0","138.0","93.0","482.0","820.0","-605.0","-452.0","450.0","1,044.0","115.0","584.0","485.0","407.0","261.0","392.0","209.0","260.0","202.0","1,151.0","1,226.0","2,968.0","4,015.0","4,902.0","4,603.0","5,634.0","5,664.0","6,568.0","7,148.0","7,412.0","7,475.0","7,732.0","7,815.0","8,301.0"
"26","7","Less: Netting and grossing differences","M318081","-4,649.0","-4,482.0","-4,010.0","-5,262.0","-5,432.0","-4,466.0","-5,146.0","-6,485.0","-8,741.0","-9,010.0","-12,194.0","-13,232.0","-17,867.0","-28,529.0","-30,324.0","-35,103.0","-40,763.0","-44,347.0","-41,599.0","-44,808.0","-49,083.0","-45,729.0","-56,987.0","-56,876.0","-63,983.0","-62,800.0","-62,165.0","-63,235.0","-69,495.0","-65,996.0","-66,191.0","-71,612.0","-69,746.0","-79,161.0","-87,222.0","-91,531.0","-97,613.0","-110,864.0","-121,816.0","-137,112.0","-168,153.0","-220,624.0"
"27","8","        Supplementary medical insurance premiums","M318091",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-3,856.0","-4,254.0","-4,943.0","-5,563.0","-5,739.0","-6,520.0","-8,797.0","-11,590.0","-11,610.0","-12,180.0","-13,242.0","-15,308.0","-17,750.0","-20,241.0","-20,040.0","-20,421.0","-20,747.0","-21,561.0","-21,907.0","-23,753.0","-25,952.0","-28,432.0","-32,140.0","-38,243.0","-45,088.0","-50,198.0","-54,179.0","-56,955.0","-60,653.0"
"28","9","        Interest receipts","W704MC1","-2,458.0","-2,496.0","-2,659.0","-2,965.0","-3,098.0","-2,962.0","-3,307.0","-4,083.0","-4,745.0","-5,723.0","-7,131.0","-8,438.0","-11,043.0","-14,418.0","-15,302.0","-16,561.0","-17,647.0","-22,331.0","-17,281.0","-18,415.0","-16,727.0","-16,378.0","-22,332.0","-17,443.0","-15,080.0","-11,628.0","-11,691.0","-13,949.0","-12,136.0","-11,682.0","-12,365.0","-13,605.0","-11,418.0","-11,437.0","-11,406.0","-9,689.0","-9,038.0","-10,383.0","-11,373.0","-12,497.0","-30,908.0","-40,181.0"
"29","10","        Current surplus of government enterprises","W705MC1","406.0","973.0","1,645.0","1,276.0","1,376.0","2,214.0","3,017.0","3,104.0","2,872.0","3,013.0","2,305.0","3,777.0","3,902.0","2,724.0","2,955.0","3,292.0","3,220.0","1,839.0","2,539.0","2,563.0","1,071.0","5,113.0","2,863.0","1,122.0","-534.0","1,603.0","-144.0","1,416.0","364.0","-660.0","-1,165.0","31.0","4,900.0","895.0","-3,998.0","-1,671.0","3,699.0","3,337.0","2,297.0","3,511.0","3,967.0","4,862.0"
"30","11","        Other \4\","M318111","-2,597.0","-2,959.0","-2,996.0","-3,573.0","-3,710.0","-3,718.0","-4,856.0","-5,506.0","-6,868.0","-6,300.0","-7,368.0","-8,571.0","-10,726.0","-12,979.0","-13,723.0","-16,891.0","-20,773.0","-18,116.0","-20,337.0","-20,159.0","-21,837.0","-22,854.0","-25,338.0","-27,313.0","-33,061.0","-35,025.0","-30,089.0","-30,662.0","-37,302.0","-32,907.0","-31,100.0","-36,131.0","-39,475.0","-42,667.0","-43,386.0","-48,031.0","-54,031.0","-58,730.0","-62,542.0","-73,947.0","-84,257.0","-124,652.0"
"31","12","Plus: Timing differences","M318121","-1,243.0","-2,882.0","-249.0","293.0","2,465.0","1,317.0","-3,647.0","6,290.0","528.0","3,426.0","3,880.0","-4,902.0","-6,869.0","-8,378.0","7,396.0","7,481.0","-731.0","2,154.0","-23.0","-484.0","3,578.0","2,591.0","2,032.0","-810.0","1,860.0","2,162.0","1,565.0","1,294.0","5,636.0","964.0","-3,422.0","-12,919.0","5,652.0","-17,857.0","22,613.0","27,690.0","31,551.0","12,563.0","-15,369.0","-61,717.0","5,465.0","13,154.0"
"32","13","        Taxes on corporate income","M318131","-2,426.0","-3,084.0","1,825.0","-915.0","824.0","207.0","-3,784.0","4,835.0","-801.0","1,372.0","1,635.0","-5,116.0","-4,205.0","-10,868.0","5,631.0","4,539.0","-336.0","2,315.0","2,350.0","-440.0","2,331.0","3,911.0","647.0","-3,135.0","3,991.0","-1,138.0","2,988.0","427.0","3,001.0","-3,562.0","234.0","-12,607.0","6,604.0","-16,326.0","27,162.0","26,958.0","30,067.0","14,552.0","-15,894.0","-55,234.0","16.0","45,001.0"
"33","14","        Federal and state unemployment insurance taxes","M318141","16.0","13.0","-75.0","460.0","376.0","133.0","-73.0","647.0","316.0","364.0","120.0","146.0","143.0","426.0","1,738.0","-58.0","-15.0","587.0","-1,104.0","641.0","896.0","-152.0","235.0","647.0","186.0","679.0","69.0","-172.0","-272.0","-165.0","501.0","421.0","-28.0","1,035.0","-516.0","-89.0","499.0","-435.0","-174.0","-1,034.0","282.0","1,602.0"
"34","15","        Withheld personal income tax and social security contributions","M318151","1,082.0","173.0","-1,686.0","762.0","1,168.0","965.0","185.0","993.0","876.0","1,621.0","2,000.0","-404.0","-3,054.0","2,613.0","204.0","4,343.0","864.0","1,080.0","798.0","77.0","672.0","710.0","421.0","817.0","-136.0","959.0","-620.0","2,237.0","2,029.0","1,725.0","2,705.0","1,702.0","-19.0","-574.0","-2,413.0","2,035.0","3,297.0","1,821.0","1,762.0","-2,117.0","-3,235.0","-4,266.0"
"35","16","        Excise taxes","M318161","22.0","-42.0","-381.0","-85.0","-118.0","-116.0","-218.0","-185.0","-118.0","-96.0","-126.0","304.0","-56.0","-711.0","-224.0","-1,342.0","-1,244.0","-1,828.0","-2,067.0","-1,691.0","-784.0","-1,191.0","558.0","2.0","-2,966.0","1,385.0","-1,163.0","-1,161.0","778.0","2,989.0","-7,098.0","-2,685.0","-1,134.0","-2,045.0","-1,781.0","-1,453.0","-2,338.0","-3,358.0","-784.0","-3,300.0","8,041.0","4,565.0"
"36","17","        Other","M318171","63.0","58.0","68.0","71.0","215.0","128.0","243.0","0.0","255.0","165.0","251.0","168.0","303.0","162.0","47.0","-1.0","0.0","0.0","0.0","929.0","463.0","-687.0","171.0","859.0","785.0","277.0","291.0","-37.0","100.0","-23.0","236.0","250.0","229.0","53.0","161.0","239.0","26.0","-17.0","-279.0","-32.0","361.0","-33,748.0"
"37","18","Equals: Federal government current receipts, NIPAs","M318181","186,143.0","189,812.0","186,568.0","206,402.0","232,867.0","263,386.0","275,099.0","304,455.0","355,581.0","405,826.0","473,035.0","518,251.0","602,417.0","625,097.0","628,514.0","696,230.0","762,282.0","802,691.0","883,246.0","940,167.0","1,029,766.0","1,063,372.0","1,097,488.0","1,130,338.0","1,202,957.0","1,303,684.0","1,396,341.0","1,495,024.0","1,629,227.0","1,757,718.0","1,854,284.0","2,045,656.0","2,029,285.0","1,878,119.0","1,860,337.0","1,963,657.0","2,246,866.0","2,491,205.0","2,636,870.0","2,558,885.0","2,243,350.0","2,365,871.0"
"38",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","19","Budget outlays","M318191","184,548.0","196,588.0","211,425.0","231,876.0","246,526.0","268,392.0","324,601.0","365,610.0","401,896.0","450,759.0","493,221.0","579,011.0","660,546.0","728,420.0","795,931.0","841,844.0","936,884.0","989,865.0","1,002,232.0","1,062,614.0","1,144,020.0","1,251,775.0","1,323,759.0","1,380,794.0","1,409,111.0","1,461,907.0","1,515,884.0","1,560,608.0","1,601,307.0","1,652,685.0","1,702,035.0","1,789,215.0","1,863,191.0","2,011,152.0","2,160,117.0","2,293,006.0","2,472,205.0","2,655,435.0","2,728,702.0","2,982,544.0","3,517,677.0","3,456,213.0"
"40","20","Less: Coverage differences","M318201","10,169.0","8,133.0","3,152.0","3,967.0","-1,335.0","-2,457.0","5,563.0","10,329.0","11,772.0","19,370.0","21,220.0","25,889.0","20,489.0","25,857.0","16,897.0","27,032.0","40,138.0","33,331.0","22,328.0","27,454.0","35,167.0","68,458.0","89,267.0","11,367.0","-20,660.0","-12,247.0","-23,035.0","-11,652.0","-34,625.0","-15,554.0","-11,545.0","-3,905.0","-10,549.0","10,030.0","21,379.0","30,267.0","48,133.0","57,084.0","17,344.0","56,783.0","339,819.0","11,988.0"
"41","21","        Federal employee retirement plan transactions \1\","M318221","2,628.0","2,583.0","3,013.0","3,116.0","3,608.0","4,300.0","4,598.0","5,441.0","4,400.0","6,039.0","6,335.0","6,569.0","7,713.0","7,678.0","7,145.0","6,942.0","-23,825.0","-25,998.0","-26,662.0","-27,088.0","-28,368.0","-28,379.0","-30,548.0","-32,455.0","-32,191.0","-30,376.0","-29,214.0","-27,323.0","-31,611.0","-31,117.0","-31,850.0","-31,380.0","-31,739.0","-33,617.0","-32,983.0","-33,232.0","-38,908.0","-41,562.0","-39,933.0","-52,036.0","-30,713.0","-51,150.0"
"42","22","          Interest received","M318231","-819.0","-1,161.0","-1,043.0","-1,477.0","-1,552.0","-1,820.0","-2,144.0","-2,459.0","-2,822.0","-3,170.0","-3,821.0","-4,721.0","-5,732.0","-7,547.0","-9,294.0","-11,000.0","-14,132.0","-17,299.0","-19,278.0","-22,152.0","-25,128.0","-28,018.0","-30,681.0","-33,269.0","-35,550.0","-36,871.0","-39,603.0","-41,393.0","-43,091.0","-44,830.0","-46,874.0","-46,616.0","-49,100.0","-49,925.0","-48,999.0","-47,390.0","-50,443.0","-53,991.0","-52,750.0","-62,607.0","-43,239.0","-54,191.0"
"43","23","          Contributions received (employer)","M318241","-1,478.0","-1,948.0","-2,662.0","-3,197.0","-3,886.0","-4,829.0","-6,736.0","-7,909.0","-10,810.0","-11,163.0","-12,899.0","-15,786.0","-18,425.0","-19,789.0","-20,947.0","-21,144.0","-49,308.0","-51,210.0","-52,234.0","-53,240.0","-53,974.0","-54,471.0","-57,799.0","-58,944.0","-58,272.0","-57,844.0","-57,242.0","-55,958.0","-62,033.0","-62,106.0","-62,597.0","-64,712.0","-66,153.0","-69,913.0","-76,758.0","-83,030.0","-91,906.0","-97,424.0","-103,272.0","-110,838.0","-117,670.0","-129,951.0"
"44","24","          Benefits paid","M318251","4,921.0","5,686.0","6,710.0","7,782.0","9,038.0","10,937.0","13,465.0","15,793.0","18,013.0","20,351.0","23,029.0","27,049.0","31,840.0","34,982.0","37,343.0","39,041.0","39,572.0","42,465.0","44,808.0","48,248.0","50,672.0","54,043.0","57,868.0","59,690.0","61,552.0","64,263.0","67,543.0","69,932.0","73,409.0","75,719.0","77,509.0","79,844.0","83,406.0","86,089.0","92,566.0","96,940.0","103,193.0","109,605.0","115,817.0","121,113.0","130,016.0","132,720.0"
"45","25","          Administrative expenses","M318261","4.0","6.0","8.0","8.0","8.0","12.0","13.0","16.0","19.0","21.0","26.0","27.0","30.0","32.0","43.0","45.0","43.0","46.0","42.0","56.0","62.0","67.0","64.0","68.0","79.0","76.0","88.0","96.0","104.0","100.0","112.0","104.0","108.0","132.0","208.0","248.0","248.0","248.0","272.0","296.0","180.0","272.0"
"46","26","        Financing disbursements from credit programs \5\","M318271",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-1,184.0","1,324.0","-2,304.0","-4,344.0","-11,728.0","-20,724.0","-11,008.0","-15,388.0","-17,128.0","-23,290.0","-15,734.0","-7,132.0","4,228.0","5,677.0","16,388.0","-16,772.0","-28,009.0","-404,207.0","-157,431.0"
"47","27","        Other differences in funds covered \6\","M318281","-2,209.0","-2,722.0","-3,596.0","-4,175.0","-6,240.0","-8,562.0","-15,735.0","-16,243.0","-17,166.0","-19,466.0","-22,572.0","-26,082.0","-34,537.0","-32,257.0","-28,152.0","-26,299.0","-8,642.0","-2,506.0","-1,598.0","-304.0","-303.0","-364.0","-291.0","108.0","-293.0","-397.0","396.0","330.0","742.0","1,430.0","2,950.0","2,644.0","4,370.0","4,456.0","8,702.0","3,604.0","6,269.0","6,681.0","6,324.0","6,494.0","6,669.0","7,338.0"
"48","28","        Net investment \7\","M318291","541.0","-1,073.0","-3,113.0","-4,479.0","-3,704.0","-3,206.0","-1,441.0","1,161.0","1,956.0","1,559.0","4,632.0","5,948.0","7,438.0","9,292.0","14,013.0","18,409.0","25,276.0","28,224.0","30,730.0","23,055.0","20,677.0","20,680.0","17,926.0","13,493.0","8,544.0","-289.0","-2,186.0","-1,402.0","-9,215.0","-6,970.0","-5,141.0","-5,783.0","-7,945.0","-261.0","4,658.0","7,272.0","9,526.0","13,628.0","15,126.0","22,654.0","32,973.0","35,627.0"
"49","29","        Capital transfers paid \8\","M318301","6,124.0","5,647.0","5,503.0","5,779.0","6,318.0","7,065.0","8,255.0","9,925.0","11,325.0","11,301.0","13,476.0","16,038.0","16,480.0","14,782.0","15,172.0","16,880.0","18,784.0","20,775.0","18,864.0","19,479.0","19,516.0","20,669.0","21,380.0","21,775.0","23,336.0","24,490.0","27,362.0","27,918.0","29,053.0","28,269.0","31,490.0","35,305.0","40,981.0","45,074.0","45,715.0","46,772.0","65,136.0","51,844.0","53,068.0","59,189.0","236,274.0","142,161.0"
"50","30","        Financial transactions","M318311","3,201.0","3,650.0","2,371.0","3,495.0","1,178.0","4,864.0","11,453.0","10,963.0","12,381.0","20,610.0","20,086.0","25,202.0","30,844.0","28,727.0","15,602.0","13,733.0","29,635.0","14,170.0","1,761.0","11,911.0","23,322.0","55,914.0","80,126.0","9,519.0","-21,840.0","-4,071.0","-8,124.0","220.0","7,657.0","8,730.0","7,012.0","11,937.0","7,307.0","9,215.0","1,790.0","948.0","463.0","9,764.0","12,690.0","57,859.0","514,618.0","34,671.0"
"51","31","          Loan disbursements less loan repayments and sales","M318321","3,203.0","3,620.0","2,416.0","3,266.0","1,194.0","4,846.0","11,723.0","10,904.0","12,697.0","21,254.0","20,236.0","25,683.0","29,522.0","26,756.0","19,536.0","15,562.0","26,008.0","12,573.0","-72.0","84.0","12,133.0","5,534.0","12,905.0","4,528.0","4,800.0","423.0","12,859.0","12,811.0","21,055.0","13,943.0","20,242.0","11,842.0","16,561.0","15,077.0","7,364.0","8,796.0","7,265.0","16,751.0","19,381.0","29,771.0","318,098.0","139,291.0"
"52","32","          Deposit insurance","B1069C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","947.0","1,268.0","1,500.0","2,311.0","704.0","-3,765.0","-1,673.0","1,588.0","23,790.0","57,876.0","69,637.0","5,524.0","-22,816.0","-1,982.0","-14,758.0","-7,786.0","-9,818.0","-3,113.0","-3,207.0","-2,074.0","-814.0","728.0","935.0","220.0","461.0","1,152.0","813.0","22,454.0","34,900.0","29,222.0"
"53","33","          Net purchases of foreign currency","M318341","344.0","305.0","206.0","138.0","8.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"54","34","          Other","M318351","-346.0","-275.0","-251.0","91.0","-24.0","16.0","-270.0","59.0","-316.0","-644.0","-150.0","-481.0","375.0","703.0","-5,434.0","-4,140.0","2,923.0","5,362.0","3,506.0","10,239.0","-12,601.0","-7,496.0","-2,416.0","-533.0","-3,824.0","-2,512.0","-6,225.0","-4,805.0","-3,580.0","-2,100.0","-10,023.0","2,169.0","-8,440.0","-6,590.0","-6,509.0","-8,068.0","-7,263.0","-8,139.0","-7,504.0","5,634.0","161,620.0","-133,842.0"
"55","35","        Net purchases of nonproduced assets","M318361","-101.0","-47.0","-696.0","232.0","-2,429.0","-6,021.0","-1,577.0","-1,024.0","-1,391.0","-850.0","-1,484.0","-2,380.0","-7,625.0","-2,188.0","-7,319.0","-3,298.0","-1,691.0","-1,892.0","-1,371.0","-87.0","-709.0","-961.0","186.0","234.0","212.0","218.0","-7,374.0","-105.0","-10,959.0","-5,328.0","-1,108.0","-194.0","-816.0","266.0","50.0","110.0","-734.0","-315.0","-13,891.0","-10,004.0","-16,571.0","101.0"
"56","36","          Outer Continental Shelf","M318371","-342.0","-175.0","-884.0","-22.0","-2,529.0","-6,329.0","-1,921.0","-1,319.0","-1,551.0","-1,232.0","-1,908.0","-2,790.0","-7,831.0","-2,372.0","-7,507.0","-3,414.0","-1,943.0","-2,083.0","-1,572.0","-1,292.0","-867.0","-1,104.0","-1.0","-1.0","0.0","3.0","0.0","0.0","-212.0","-453.0","-42.0","-221.0","0.0","0.0","-243.0","0.0","0.0","-69.0","0.0","-8,525.0","-220.0","-22.0"
"57","37","          Land and other \9\","M318381","241.0","128.0","188.0","254.0","100.0","308.0","344.0","295.0","160.0","382.0","424.0","410.0","206.0","184.0","188.0","116.0","252.0","191.0","201.0","1,205.0","158.0","143.0","187.0","235.0","212.0","215.0","-7,374.0","-105.0","-10,747.0","-4,875.0","-1,066.0","27.0","-816.0","266.0","293.0","110.0","-734.0","-246.0","-13,891.0","-1,479.0","-16,351.0","123.0"
"58","38","        Other \10\","M318391","-15.0","95.0","-330.0","-1.0","-66.0","-897.0","10.0","106.0","267.0","177.0","747.0","594.0","176.0","-177.0","436.0","665.0","601.0","558.0","604.0","488.0","1,032.0","899.0","488.0","-123.0","248.0","482.0","449.0","438.0","432.0","440.0","490.0","694.0","583.0","631.0","579.0","565.0","704.0","656.0","732.0","636.0","776.0","671.0"
"59","39","Less: Netting and grossing differences","M318401","-4,649.0","-4,482.0","-4,010.0","-5,262.0","-5,432.0","-4,466.0","-5,146.0","-6,485.0","-8,741.0","-9,010.0","-12,194.0","-13,232.0","-17,867.0","-28,529.0","-30,324.0","-35,103.0","-40,763.0","-44,347.0","-41,599.0","-44,808.0","-49,083.0","-45,729.0","-56,987.0","-56,876.0","-63,983.0","-62,800.0","-62,165.0","-63,235.0","-69,495.0","-65,996.0","-66,191.0","-71,612.0","-69,746.0","-79,161.0","-87,222.0","-91,531.0","-97,613.0","-110,864.0","-121,816.0","-137,112.0","-168,153.0","-220,624.0"
"60","40","        Supplementary medical insurance premiums","M318411",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-3,856.0","-4,254.0","-4,943.0","-5,563.0","-5,739.0","-6,520.0","-8,797.0","-11,590.0","-11,610.0","-12,180.0","-13,242.0","-15,308.0","-17,750.0","-20,241.0","-20,040.0","-20,421.0","-20,747.0","-21,561.0","-21,907.0","-23,753.0","-25,952.0","-28,432.0","-32,140.0","-38,243.0","-45,088.0","-50,198.0","-54,179.0","-56,955.0","-60,653.0"
