"","Table 5U# BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"15","8","S1 EN442ZZZMA     Furniture and home furnishings stores","T050080",58029,61078,66175,69108,73210,78059,82789,89724,96572,96195,98712,101799,108136,113628
"16","9","S4 EN4421ZZMA       Furniture Stores","T050090",33593,35415,37761,39338,41668,44496,46831,49848,53663,53352,54071,55009,59751,62124
"17","10","S4 EN4422ZZMA       Home furnishings stores","T050100",24436,25664,28414,29770,31542,33563,35959,39876,42909,42843,44641,46790,48385,51504
"18","11","S1 EN443ZZZMA     Electronics and appliance stores","T050110",45362,51661,60830,68786,72562,74240,80349,86594,91667,90599,96172,98596,105480,111735
"19","12","S1 EN444ZZZMA   Building material and garden equipment and supplies dealers","T050120",168056,180113,200180,208891,223215,240520,255246,275813,290139,303170,316193,338075,387645,425584
"20","13","S2 EN4441ZZMA     Building material and supplies dealers","T050130",142831,155481,174020,181476,193071,207679,221046,241370,254149,266271,280444,300673,348026,382808
"21","14","S3 EN4442ZZMA     Lawn and garden equipment and supplies stores","T050140",25225,24631,26160,27415,30144,32841,34201,34443,35990,36898,35749,37402,39619,42776
"22","15","S1 EN445ZZZMA   Food and beverage stores","T050150",381372,385287,395393,401651,412640,420909,432544,453779,472218,493090,495156,506857,529175,555490
"23","16","S1 EN4451ZZMA     Grocery stores","T050160",346487,350369,359815,365892,375250,382226,391837,411590,426595,445058,446763,456933,475596,496724
"24","17","S3 EN4452ZZMA     Specialty food stores","T050170",11895,12106,12169,12443,12860,13209,13679,13890,14938,16091,16216,17258,19443,22241
"25","18","S2 EN4453ZZMA     Beer, wine, liquor stores","T050180",22990,22812,23409,23316,24530,25474,27029,28299,30685,31941,32177,32666,34136,36524
"26","19","S1 EN448ZZZMA   Clothing and clothing accessories stores","T050190",127406,132196,136782,139223,144761,148502,157899,168936,177083,176015,180171,187014,198825,211076
"27","20","S2 EN4481ZZMA     Clothing stores","T050200",91026,93884,96084,96749,99967,104103,110867,118643,125102,125546,128402,133170,142969,153745
"28","21","S2 EN4482ZZMA     Shoe stores","T050210",19188,19572,20454,20881,21772,21942,22738,23216,23342,23224,23427,23740,24117,24848
"29","22","S3 EN4483ZZMA     Jewelry, luggage, and leather goods stores","T050220",17192,18740,20244,21594,23023,22457,24294,27077,28639,27245,28342,30104,31740,32482
"30","23","S1 EN452ZZZMA   General merchandise stores","T050230",265118,284175,304731,321195,336965,353643,375445,406762,431086,454925,476023,500309,536348,569287
"31","24","S1 EN4521ZZMA     Department stores","T050240",189819,200949,213032,220593,227299,235440,239277,247044,248328,243757,235409,229357,230330,229431
"32","25","S2 EN4529ZZMA     Other general merchandise stores","T050250",75299,83226,91698,100601,109666,118203,136168,159718,182758,211169,240614,270952,306018,339856
"33","26","S1 EN44EZZZMA   Other retail stores","T050260",448238,474607,511771,544887,591440,623076,644966,706600,789579,794183,813359,862062,953407,1064583
"34","27","S1 EN446ZZZMA     Health and personal care stores","T050270",93084,95953,99731,105056,112979,121996,133453,147131,160641,171809,184534,196602,208161,221444
"35","28","S1 EN447ZZZMA     Gasoline stations","T050280",160921,167042,176122,186302,199967,205252,196941,217064,252864,251891,250143,272931,318461,382081
"36","29","S1 EN451ZZZMA     Sporting goods, hobby, book, and music stores","T050290",52273,55472,60953,64554,67867,69389,73511,78382,81756,83523,84281,84947,87991,89875
"37","30","S4 EN4511ZZMA       Sporting goods, hobby, and musical instrument stores","T050300",36207,38136,41759,43645,45894,46614,49412,52875,55881,57060,57876,58715,62070,64923
"38","31","S4 EN4512ZZMA       Book, periodical, and music Stores","T050310",16067,17336,19194,20908,21973,22774,24099,25507,25876,26463,26404,26232,25921,24953
"39","32","S1 EN453ZZZMA     Miscellaneous store retailers","T050320",58725,65752,74122,81041,88293,96129,104672,110997,114344,109841,110251,109146,113746,119987
"40","33","S3 EN4531ZZMA       Florists","T050330",6791,6819,6985,7040,7556,7753,8094,8371,8833,8588,8321,7652,7327,7850
"41","34","S3 EN4532ZZMA       Office supplies, stationery, and gift stores","T050340",22820,25397,28861,31187,32840,35736,39476,42689,45136,43094,42832,42501,42580,43256
"42","35","S4 EN4533ZZMA       Used merchandise stores","T050350",6003,6602,6600,7148,7845,8690,9768,10224,10811,10405,10231,10144,10192,10784
"43","36","S4 EN4539ZZMA       Other miscellaneous store retailers","T050360",23110,26934,31675,35667,40052,43950,47335,49713,49564,47754,48867,48850,53646,58097
"44","37","S1 EN454ZZZMA     Nonstore retailers","T050370",83235,90388,100844,107934,122333,130311,136389,153027,179974,177119,184149,198436,225048,251195
"45","38","S2 EN4541ZZMA       Electronic shopping and mail-order houses","T050380",36015,41592,48097,53872,62484,71606,81160,94519,112407,111235,118214,126815,143309,157695
"46","39","S4 EN4542ZZMA       Vending machine operators","T050390",7252,7066,7179,6971,7706,8016,8437,9171,9946,9545,9727,9244,9053,9432
"47","40","S4 EN4543ZZMA       Direct selling establishments","T050400",39968,41730,45568,47090,52143,50689,46791,49336,57621,56339,56208,62377,72686,84068
"48","41","S1 EN722ZZZMA Food services and drinking places","T050410",215104,228275,238432,246973,256758,272466,287897,302269,323569,337009,351419,369823,402244,430927
"49","42","S4 EN7221ZZMA   Full-service restaurants","T050420",91799,96992,102983,105473,110855,121398,126775,132968,140995,145558,152412,158864,171044,183677
"50","43","S4 EN7222ZZMA   Limited-service eating places","T050430",92611,100250,104187,109194,112412,115566,123539,129010,138718,146765,153161,163060,179849,192093
"51","44","S4 EN7223ZZMA   Special food Services","T050440",17717,18216,18846,19162,19823,21397,22780,24803,27285,27816,28171,29023,30330,32898
"52","45","S4 EN7224ZZMA   Drinking places (alcoholic beverages)","T050450",12978,12817,12416,13143,13667,14105,14803,15489,16571,16870,17675,18875,21022,22260
"53",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","S1 EN04472BMA   Retail and food services except motor vehicle and parts dealers","T050460",1708686,1797393,1914293,2000714,2111551,2211415,2317135,2490478,2671913,2745186,2827205,2964534,3221261,3482310
"55","47","S1 EN44GZZZMA   Retail trade except motor vehicle and parts dealers","T050470",1493581,1569118,1675861,1753741,1854793,1938949,2029238,2188209,2348344,2408177,2475786,2594712,2819016,3051383
"56","48","S2 EN44BZZZMA   GAFO-Department store merchandise stores\1\","T050480",571008,609980,658333,694053,728206,759569,809469,873087,923300,944351,978191,1015165,1079360,1138858
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes industries EN442ZZZMA, EN443ZZZMA, EN448ZZZMA, EN451ZZZMA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","EN452ZZZMA, and EN4532ZZMA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
