"","Table 5#4#6BU# Real Private Fixed Investment in Structures by Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"40","33","    Brokers' commissions on sale of structures","C321RX0",2098,2250,2294,2416,2274,1952,1844,1910,1995
"41","34","    Net purchases of used structures","E322RX0",-160,-1338,-1400,-1370,1544,-1795,-1793,-1562,-1756
"42","35","Residential","A012RX0",382446,411856,436563,439543,441108,462245,501303,552875,592747
"43","36","  Permanent site","A943RX0",223511,244734,262919,265047,266603,277337,304470,340864,365919
"44","37","    Single-family structures","A944RX0",196629,218104,234177,236788,237131,246318,272579,307531,327523
"45","38","    Multifamily structures","C292RX0",26932,26630,28742,28259,29483,31039,31858,33185,38397
"46","39","  Other structures","A863RX0",158826,167090,173644,174496,174505,184920,196791,211821,226556
"47","40","    Manufactured homes","A945RX0",14690,15987,15153,11460,9155,8251,6739,6524,6219
"48","41","    Dormitories","C295RX0",887,1046,1335,1358,1482,1417,1548,1356,1340
"49","42","    Improvements","A946RX0",100124,100680,104273,107137,108624,114757,120477,124645,131478
"50","43","    Brokers' commissions on sale of structures","A758RX0",45719,52648,56424,56050,56906,63277,70795,81118,89008
"51","44","    Net purchases of used structures","A759RX0",-2644,-3357,-3586,-1508,-1695,-2901,-3063,-2269,-2049
"52","45","Residual","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","  Private fixed investment in new structures\5\","W040RX0",617658,656189,676002,697139,688174,654725,675437,720786,757028
"55","47","    Nonresidential structures","A771RX0",278156,293541,292305,312138,302303,253553,242981,248000,252771
"56","48","    Residential structures","A756RX0",339417,362567,383727,385001,385894,401818,433488,473932,505596
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","NOTE. Chained (2000) dollar series are calculated as the product of the chain-type quantity index and the 2000 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference between",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
